context: Battle of Ceres response:	Initiate the tactical heavy laser system!
context: driving the enemies into Point EH.\You can count on me!\Kei, set up a trap at EH minus Tango.\Roger!\Enemy units are approaching the remaining ships in the frontline!\They have destroyed 24 of our convoy!\Over 400 new enemy units are appearing from Point OM, Sector 3!\Wha-?! response:	Kabooom!
context: You can count on me!\Kei, set up a trap at EH minus Tango.\Roger!\Enemy units are approaching the remaining ships in the frontline!\They have destroyed 24 of our convoy!\Over 400 new enemy units are appearing from Point OM, Sector 3!\Wha-?!\Kabooom! response:	Is anyone seriously gonna come out this way?
context: Kei, set up a trap at EH minus Tango.\Roger!\Enemy units are approaching the remaining ships in the frontline!\They have destroyed 24 of our convoy!\Over 400 new enemy units are appearing from Point OM, Sector 3!\Wha-?!\Kabooom!\Is anyone seriously gonna come out this way? response:	Firing 90mm high-quality particle beams at the target point!
context: Roger!\Enemy units are approaching the remaining ships in the frontline!\They have destroyed 24 of our convoy!\Over 400 new enemy units are appearing from Point OM, Sector 3!\Wha-?!\Kabooom!\Is anyone seriously gonna come out this way?\Firing 90mm high-quality particle beams at the target point! response:	Take all of my high-mobility guided missiles while you're at it!
context: Enemy units are approaching the remaining ships in the frontline!\They have destroyed 24 of our convoy!\Over 400 new enemy units are appearing from Point OM, Sector 3!\Wha-?!\Kabooom!\Is anyone seriously gonna come out this way?\Firing 90mm high-quality particle beams at the target point!\Take all of my high-mobility guided missiles while you're at it! response:	Sweet!
context: They have destroyed 24 of our convoy!\Over 400 new enemy units are appearing from Point OM, Sector 3!\Wha-?!\Kabooom!\Is anyone seriously gonna come out this way?\Firing 90mm high-quality particle beams at the target point!\Take all of my high-mobility guided missiles while you're at it!\Sweet! response:	Asagi, go to your assigned position.
context: Over 400 new enemy units are appearing from Point OM, Sector 3!\Wha-?!\Kabooom!\Is anyone seriously gonna come out this way?\Firing 90mm high-quality particle beams at the target point!\Take all of my high-mobility guided missiles while you're at it!\Sweet!\Asagi, go to your assigned position. response:	Roger!
context: Wha-?!\Kabooom!\Is anyone seriously gonna come out this way?\Firing 90mm high-quality particle beams at the target point!\Take all of my high-mobility guided missiles while you're at it!\Sweet!\Asagi, go to your assigned position.\Roger! response:	Yikes! Move! Move!
context: Kabooom!\Is anyone seriously gonna come out this way?\Firing 90mm high-quality particle beams at the target point!\Take all of my high-mobility guided missiles while you're at it!\Sweet!\Asagi, go to your assigned position.\Roger!\Yikes! Move! Move! response:	Tamaki, fire all of your ammo!
context: Is anyone seriously gonna come out this way?\Firing 90mm high-quality particle beams at the target point!\Take all of my high-mobility guided missiles while you're at it!\Sweet!\Asagi, go to your assigned position.\Roger!\Yikes! Move! Move!\Tamaki, fire all of your ammo! response:	You've got it!
context: Firing 90mm high-quality particle beams at the target point!\Take all of my high-mobility guided missiles while you're at it!\Sweet!\Asagi, go to your assigned position.\Roger!\Yikes! Move! Move!\Tamaki, fire all of your ammo!\You've got it! response:	I got them good!
context: Take all of my high-mobility guided missiles while you're at it!\Sweet!\Asagi, go to your assigned position.\Roger!\Yikes! Move! Move!\Tamaki, fire all of your ammo!\You've got it!\I got them good! response:	We rock!
context: Sweet!\Asagi, go to your assigned position.\Roger!\Yikes! Move! Move!\Tamaki, fire all of your ammo!\You've got it!\I got them good!\We rock! response:	The enemy is sending reinforcements!
context: Asagi, go to your assigned position.\Roger!\Yikes! Move! Move!\Tamaki, fire all of your ammo!\You've got it!\I got them good!\We rock!\The enemy is sending reinforcements! response:	They'll have the upper hand in a close-range battle.
context: Roger!\Yikes! Move! Move!\Tamaki, fire all of your ammo!\You've got it!\I got them good!\We rock!\The enemy is sending reinforcements!\They'll have the upper hand in a close-range battle. response:	All units, defend the flagship as we slowly pull back!
context: Yikes! Move! Move!\Tamaki, fire all of your ammo!\You've got it!\I got them good!\We rock!\The enemy is sending reinforcements!\They'll have the upper hand in a close-range battle.\All units, defend the flagship as we slowly pull back! response:	Roger!
context: Tamaki, fire all of your ammo!\You've got it!\I got them good!\We rock!\The enemy is sending reinforcements!\They'll have the upper hand in a close-range battle.\All units, defend the flagship as we slowly pull back!\Roger! response:	I've gotta lighten my load!
context: You've got it!\I got them good!\We rock!\The enemy is sending reinforcements!\They'll have the upper hand in a close-range battle.\All units, defend the flagship as we slowly pull back!\Roger!\I've gotta lighten my load! response:	<Hmmm, what an intriguing idea. That is what makes you my prey!>
context: I got them good!\We rock!\The enemy is sending reinforcements!\They'll have the upper hand in a close-range battle.\All units, defend the flagship as we slowly pull back!\Roger!\I've gotta lighten my load!\<Hmmm, what an intriguing idea. That is what makes you my prey!> response:	Blue 1 has taken the lead and stabilized the situation.
context: We rock!\The enemy is sending reinforcements!\They'll have the upper hand in a close-range battle.\All units, defend the flagship as we slowly pull back!\Roger!\I've gotta lighten my load!\<Hmmm, what an intriguing idea. That is what makes you my prey!>\Blue 1 has taken the lead and stabilized the situation. response:	The fleet has begun to retreat.
context: The enemy is sending reinforcements!\They'll have the upper hand in a close-range battle.\All units, defend the flagship as we slowly pull back!\Roger!\I've gotta lighten my load!\<Hmmm, what an intriguing idea. That is what makes you my prey!>\Blue 1 has taken the lead and stabilized the situation.\The fleet has begun to retreat. response:	Red 5 is stalling the enemy in dead space.
context: They'll have the upper hand in a close-range battle.\All units, defend the flagship as we slowly pull back!\Roger!\I've gotta lighten my load!\<Hmmm, what an intriguing idea. That is what makes you my prey!>\Blue 1 has taken the lead and stabilized the situation.\The fleet has begun to retreat.\Red 5 is stalling the enemy in dead space. response:	I guess things are working out...
context: All units, defend the flagship as we slowly pull back!\Roger!\I've gotta lighten my load!\<Hmmm, what an intriguing idea. That is what makes you my prey!>\Blue 1 has taken the lead and stabilized the situation.\The fleet has begun to retreat.\Red 5 is stalling the enemy in dead space.\I guess things are working out... response:	Gold 4 is almost completely out of ammunition.
context: Roger!\I've gotta lighten my load!\<Hmmm, what an intriguing idea. That is what makes you my prey!>\Blue 1 has taken the lead and stabilized the situation.\The fleet has begun to retreat.\Red 5 is stalling the enemy in dead space.\I guess things are working out...\Gold 4 is almost completely out of ammunition. response:	The other units are still able to fight.
context: I've gotta lighten my load!\<Hmmm, what an intriguing idea. That is what makes you my prey!>\Blue 1 has taken the lead and stabilized the situation.\The fleet has begun to retreat.\Red 5 is stalling the enemy in dead space.\I guess things are working out...\Gold 4 is almost completely out of ammunition.\The other units are still able to fight. response:	I see. Have Gold 4 retreat and-
context: <Hmmm, what an intriguing idea. That is what makes you my prey!>\Blue 1 has taken the lead and stabilized the situation.\The fleet has begun to retreat.\Red 5 is stalling the enemy in dead space.\I guess things are working out...\Gold 4 is almost completely out of ammunition.\The other units are still able to fight.\I see. Have Gold 4 retreat and- response:	This is Gold 4.
context: Blue 1 has taken the lead and stabilized the situation.\The fleet has begun to retreat.\Red 5 is stalling the enemy in dead space.\I guess things are working out...\Gold 4 is almost completely out of ammunition.\The other units are still able to fight.\I see. Have Gold 4 retreat and-\This is Gold 4. response:	We're switching to a close-to-midrange battle.
context: The fleet has begun to retreat.\Red 5 is stalling the enemy in dead space.\I guess things are working out...\Gold 4 is almost completely out of ammunition.\The other units are still able to fight.\I see. Have Gold 4 retreat and-\This is Gold 4.\We're switching to a close-to-midrange battle. response:	I need a heavy laser for my main arm
context: Red 5 is stalling the enemy in dead space.\I guess things are working out...\Gold 4 is almost completely out of ammunition.\The other units are still able to fight.\I see. Have Gold 4 retreat and-\This is Gold 4.\We're switching to a close-to-midrange battle.\I need a heavy laser for my main arm response:	and a close-range particle diffusion cannon,
context: I guess things are working out...\Gold 4 is almost completely out of ammunition.\The other units are still able to fight.\I see. Have Gold 4 retreat and-\This is Gold 4.\We're switching to a close-to-midrange battle.\I need a heavy laser for my main arm\and a close-range particle diffusion cannon, response:	a MIRV launcher and a scatter impact
context: Gold 4 is almost completely out of ammunition.\The other units are still able to fight.\I see. Have Gold 4 retreat and-\This is Gold 4.\We're switching to a close-to-midrange battle.\I need a heavy laser for my main arm\and a close-range particle diffusion cannon,\a MIRV launcher and a scatter impact response:	cannon for my sub weapons.
context: The other units are still able to fight.\I see. Have Gold 4 retreat and-\This is Gold 4.\We're switching to a close-to-midrange battle.\I need a heavy laser for my main arm\and a close-range particle diffusion cannon,\a MIRV launcher and a scatter impact\cannon for my sub weapons. response:	This is Mother Bird. You've got it.
context: I see. Have Gold 4 retreat and-\This is Gold 4.\We're switching to a close-to-midrange battle.\I need a heavy laser for my main arm\and a close-range particle diffusion cannon,\a MIRV launcher and a scatter impact\cannon for my sub weapons.\This is Mother Bird. You've got it. response:	Hurry on back.
context: This is Gold 4.\We're switching to a close-to-midrange battle.\I need a heavy laser for my main arm\and a close-range particle diffusion cannon,\a MIRV launcher and a scatter impact\cannon for my sub weapons.\This is Mother Bird. You've got it.\Hurry on back. response:	It looks like they're
context: We're switching to a close-to-midrange battle.\I need a heavy laser for my main arm\and a close-range particle diffusion cannon,\a MIRV launcher and a scatter impact\cannon for my sub weapons.\This is Mother Bird. You've got it.\Hurry on back.\It looks like they're response:	finally starting to get a grasp on their units, huh?
context: I need a heavy laser for my main arm\and a close-range particle diffusion cannon,\a MIRV launcher and a scatter impact\cannon for my sub weapons.\This is Mother Bird. You've got it.\Hurry on back.\It looks like they're\finally starting to get a grasp on their units, huh? response:	Gold 4 has always been a weapons encyclopedia.
context: and a close-range particle diffusion cannon,\a MIRV launcher and a scatter impact\cannon for my sub weapons.\This is Mother Bird. You've got it.\Hurry on back.\It looks like they're\finally starting to get a grasp on their units, huh?\Gold 4 has always been a weapons encyclopedia. response:	Izuru, we're doing fine on our end.
context: a MIRV launcher and a scatter impact\cannon for my sub weapons.\This is Mother Bird. You've got it.\Hurry on back.\It looks like they're\finally starting to get a grasp on their units, huh?\Gold 4 has always been a weapons encyclopedia.\Izuru, we're doing fine on our end. response:	We're retreating to the third line of defense.
context: cannon for my sub weapons.\This is Mother Bird. You've got it.\Hurry on back.\It looks like they're\finally starting to get a grasp on their units, huh?\Gold 4 has always been a weapons encyclopedia.\Izuru, we're doing fine on our end.\We're retreating to the third line of defense. response:	It's not easy being leader!
context: This is Mother Bird. You've got it.\Hurry on back.\It looks like they're\finally starting to get a grasp on their units, huh?\Gold 4 has always been a weapons encyclopedia.\Izuru, we're doing fine on our end.\We're retreating to the third line of defense.\It's not easy being leader! response:	Then I can't afford to lose here!
context: Hurry on back.\It looks like they're\finally starting to get a grasp on their units, huh?\Gold 4 has always been a weapons encyclopedia.\Izuru, we're doing fine on our end.\We're retreating to the third line of defense.\It's not easy being leader!\Then I can't afford to lose here! response:	I can see it!
context: It looks like they're\finally starting to get a grasp on their units, huh?\Gold 4 has always been a weapons encyclopedia.\Izuru, we're doing fine on our end.\We're retreating to the third line of defense.\It's not easy being leader!\Then I can't afford to lose here!\I can see it! response:	<Excellent! Just what I would expect from one that has managed to strike me!>
context: finally starting to get a grasp on their units, huh?\Gold 4 has always been a weapons encyclopedia.\Izuru, we're doing fine on our end.\We're retreating to the third line of defense.\It's not easy being leader!\Then I can't afford to lose here!\I can see it!\<Excellent! Just what I would expect from one that has managed to strike me!> response:	<Through hunting, the prey and the hunter communicate!>
context: Gold 4 has always been a weapons encyclopedia.\Izuru, we're doing fine on our end.\We're retreating to the third line of defense.\It's not easy being leader!\Then I can't afford to lose here!\I can see it!\<Excellent! Just what I would expect from one that has managed to strike me!>\<Through hunting, the prey and the hunter communicate!> response:	<We predict each other's moves, constantly
context: Izuru, we're doing fine on our end.\We're retreating to the third line of defense.\It's not easy being leader!\Then I can't afford to lose here!\I can see it!\<Excellent! Just what I would expect from one that has managed to strike me!>\<Through hunting, the prey and the hunter communicate!>\<We predict each other's moves, constantly response:	reading one step beyond the next.>
context: We're retreating to the third line of defense.\It's not easy being leader!\Then I can't afford to lose here!\I can see it!\<Excellent! Just what I would expect from one that has managed to strike me!>\<Through hunting, the prey and the hunter communicate!>\<We predict each other's moves, constantly\reading one step beyond the next.> response:	<We fight desperately, trying to outwit the other!>
context: It's not easy being leader!\Then I can't afford to lose here!\I can see it!\<Excellent! Just what I would expect from one that has managed to strike me!>\<Through hunting, the prey and the hunter communicate!>\<We predict each other's moves, constantly\reading one step beyond the next.>\<We fight desperately, trying to outwit the other!> response:	<I'm enjoying you, infidel!>
context: Then I can't afford to lose here!\I can see it!\<Excellent! Just what I would expect from one that has managed to strike me!>\<Through hunting, the prey and the hunter communicate!>\<We predict each other's moves, constantly\reading one step beyond the next.>\<We fight desperately, trying to outwit the other!>\<I'm enjoying you, infidel!> response:	Damn it! I'm still not fast enough.
context: I can see it!\<Excellent! Just what I would expect from one that has managed to strike me!>\<Through hunting, the prey and the hunter communicate!>\<We predict each other's moves, constantly\reading one step beyond the next.>\<We fight desperately, trying to outwit the other!>\<I'm enjoying you, infidel!>\Damn it! I'm still not fast enough. response:	Bingo!
context: <Excellent! Just what I would expect from one that has managed to strike me!>\<Through hunting, the prey and the hunter communicate!>\<We predict each other's moves, constantly\reading one step beyond the next.>\<We fight desperately, trying to outwit the other!>\<I'm enjoying you, infidel!>\Damn it! I'm still not fast enough.\Bingo! response:	We're ready to outfit it just like you wanted!
context: <Through hunting, the prey and the hunter communicate!>\<We predict each other's moves, constantly\reading one step beyond the next.>\<We fight desperately, trying to outwit the other!>\<I'm enjoying you, infidel!>\Damn it! I'm still not fast enough.\Bingo!\We're ready to outfit it just like you wanted! response:	It looks like you finally understand the teachings of Muscle-dom!
context: <We predict each other's moves, constantly\reading one step beyond the next.>\<We fight desperately, trying to outwit the other!>\<I'm enjoying you, infidel!>\Damn it! I'm still not fast enough.\Bingo!\We're ready to outfit it just like you wanted!\It looks like you finally understand the teachings of Muscle-dom! response:	With these muscles, swapping your armament'll only take a second!
context: reading one step beyond the next.>\<We fight desperately, trying to outwit the other!>\<I'm enjoying you, infidel!>\Damn it! I'm still not fast enough.\Bingo!\We're ready to outfit it just like you wanted!\It looks like you finally understand the teachings of Muscle-dom!\With these muscles, swapping your armament'll only take a second! response:	Man, could you quit going on about muscles?
context: <We fight desperately, trying to outwit the other!>\<I'm enjoying you, infidel!>\Damn it! I'm still not fast enough.\Bingo!\We're ready to outfit it just like you wanted!\It looks like you finally understand the teachings of Muscle-dom!\With these muscles, swapping your armament'll only take a second!\Man, could you quit going on about muscles? response:	Moron! The world is made from weapons and muscles!
context: <I'm enjoying you, infidel!>\Damn it! I'm still not fast enough.\Bingo!\We're ready to outfit it just like you wanted!\It looks like you finally understand the teachings of Muscle-dom!\With these muscles, swapping your armament'll only take a second!\Man, could you quit going on about muscles?\Moron! The world is made from weapons and muscles! response:	Have some protein!
context: Damn it! I'm still not fast enough.\Bingo!\We're ready to outfit it just like you wanted!\It looks like you finally understand the teachings of Muscle-dom!\With these muscles, swapping your armament'll only take a second!\Man, could you quit going on about muscles?\Moron! The world is made from weapons and muscles!\Have some protein! response:	Seriously, gimme a break...
context: Bingo!\We're ready to outfit it just like you wanted!\It looks like you finally understand the teachings of Muscle-dom!\With these muscles, swapping your armament'll only take a second!\Man, could you quit going on about muscles?\Moron! The world is made from weapons and muscles!\Have some protein!\Seriously, gimme a break... response:	Finished swapping his armament!
context: We're ready to outfit it just like you wanted!\It looks like you finally understand the teachings of Muscle-dom!\With these muscles, swapping your armament'll only take a second!\Man, could you quit going on about muscles?\Moron! The world is made from weapons and muscles!\Have some protein!\Seriously, gimme a break...\Finished swapping his armament! response:	Finished replenishing supplies!
context: It looks like you finally understand the teachings of Muscle-dom!\With these muscles, swapping your armament'll only take a second!\Man, could you quit going on about muscles?\Moron! The world is made from weapons and muscles!\Have some protein!\Seriously, gimme a break...\Finished swapping his armament!\Finished replenishing supplies! response:	He's all set!
context: With these muscles, swapping your armament'll only take a second!\Man, could you quit going on about muscles?\Moron! The world is made from weapons and muscles!\Have some protein!\Seriously, gimme a break...\Finished swapping his armament!\Finished replenishing supplies!\He's all set! response:	Blast off!
context: Man, could you quit going on about muscles?\Moron! The world is made from weapons and muscles!\Have some protein!\Seriously, gimme a break...\Finished swapping his armament!\Finished replenishing supplies!\He's all set!\Blast off! response:	Roger!
context: Moron! The world is made from weapons and muscles!\Have some protein!\Seriously, gimme a break...\Finished swapping his armament!\Finished replenishing supplies!\He's all set!\Blast off!\Roger! response:	What is the situation?
context: Have some protein!\Seriously, gimme a break...\Finished swapping his armament!\Finished replenishing supplies!\He's all set!\Blast off!\Roger!\What is the situation? response:	Currently 76 of our remaining forces are converging
context: Seriously, gimme a break...\Finished swapping his armament!\Finished replenishing supplies!\He's all set!\Blast off!\Roger!\What is the situation?\Currently 76 of our remaining forces are converging response:	around the third line of defense.
context: Finished swapping his armament!\Finished replenishing supplies!\He's all set!\Blast off!\Roger!\What is the situation?\Currently 76 of our remaining forces are converging\around the third line of defense. response:	They are regrouping.
context: Finished replenishing supplies!\He's all set!\Blast off!\Roger!\What is the situation?\Currently 76 of our remaining forces are converging\around the third line of defense.\They are regrouping. response:	The Bela-Russian and Great Chinese fleets
context: He's all set!\Blast off!\Roger!\What is the situation?\Currently 76 of our remaining forces are converging\around the third line of defense.\They are regrouping.\The Bela-Russian and Great Chinese fleets response:	have broken from the battle.
context: Blast off!\Roger!\What is the situation?\Currently 76 of our remaining forces are converging\around the third line of defense.\They are regrouping.\The Bela-Russian and Great Chinese fleets\have broken from the battle. response:	Did they suffer heavy losses?
context: Roger!\What is the situation?\Currently 76 of our remaining forces are converging\around the third line of defense.\They are regrouping.\The Bela-Russian and Great Chinese fleets\have broken from the battle.\Did they suffer heavy losses? response:	They weren't horrible.
context: What is the situation?\Currently 76 of our remaining forces are converging\around the third line of defense.\They are regrouping.\The Bela-Russian and Great Chinese fleets\have broken from the battle.\Did they suffer heavy losses?\They weren't horrible. response:	I imagine they are reserving their forces for future battles.
context: Currently 76 of our remaining forces are converging\around the third line of defense.\They are regrouping.\The Bela-Russian and Great Chinese fleets\have broken from the battle.\Did they suffer heavy losses?\They weren't horrible.\I imagine they are reserving their forces for future battles. response:	There... Zoom in on Red 5.
context: around the third line of defense.\They are regrouping.\The Bela-Russian and Great Chinese fleets\have broken from the battle.\Did they suffer heavy losses?\They weren't horrible.\I imagine they are reserving their forces for future battles.\There... Zoom in on Red 5. response:	Roger!
context: They are regrouping.\The Bela-Russian and Great Chinese fleets\have broken from the battle.\Did they suffer heavy losses?\They weren't horrible.\I imagine they are reserving their forces for future battles.\There... Zoom in on Red 5.\Roger! response:	What's he doing?
context: The Bela-Russian and Great Chinese fleets\have broken from the battle.\Did they suffer heavy losses?\They weren't horrible.\I imagine they are reserving their forces for future battles.\There... Zoom in on Red 5.\Roger!\What's he doing? response:	It looks like he's in quite the fight.
context: have broken from the battle.\Did they suffer heavy losses?\They weren't horrible.\I imagine they are reserving their forces for future battles.\There... Zoom in on Red 5.\Roger!\What's he doing?\It looks like he's in quite the fight. response:	He's putting tremendous strain on Red 5.
context: Did they suffer heavy losses?\They weren't horrible.\I imagine they are reserving their forces for future battles.\There... Zoom in on Red 5.\Roger!\What's he doing?\It looks like he's in quite the fight.\He's putting tremendous strain on Red 5. response:	Pull up all of the data on Red 5!
context: They weren't horrible.\I imagine they are reserving their forces for future battles.\There... Zoom in on Red 5.\Roger!\What's he doing?\It looks like he's in quite the fight.\He's putting tremendous strain on Red 5.\Pull up all of the data on Red 5! response:	Roger! I'll put it on the main screen.
context: I imagine they are reserving their forces for future battles.\There... Zoom in on Red 5.\Roger!\What's he doing?\It looks like he's in quite the fight.\He's putting tremendous strain on Red 5.\Pull up all of the data on Red 5!\Roger! I'll put it on the main screen. response:	A duel? Why isn't he using his guns?
context: There... Zoom in on Red 5.\Roger!\What's he doing?\It looks like he's in quite the fight.\He's putting tremendous strain on Red 5.\Pull up all of the data on Red 5!\Roger! I'll put it on the main screen.\A duel? Why isn't he using his guns? response:	It looks like his opponent is too fast.
context: Roger!\What's he doing?\It looks like he's in quite the fight.\He's putting tremendous strain on Red 5.\Pull up all of the data on Red 5!\Roger! I'll put it on the main screen.\A duel? Why isn't he using his guns?\It looks like his opponent is too fast. response:	The JURIA-SYSTEM is already working at full capacity.
context: What's he doing?\It looks like he's in quite the fight.\He's putting tremendous strain on Red 5.\Pull up all of the data on Red 5!\Roger! I'll put it on the main screen.\A duel? Why isn't he using his guns?\It looks like his opponent is too fast.\The JURIA-SYSTEM is already working at full capacity. response:	Is his enemy that powerful?
context: It looks like he's in quite the fight.\He's putting tremendous strain on Red 5.\Pull up all of the data on Red 5!\Roger! I'll put it on the main screen.\A duel? Why isn't he using his guns?\It looks like his opponent is too fast.\The JURIA-SYSTEM is already working at full capacity.\Is his enemy that powerful? response:	Yes, he's a fearsome foe...
context: He's putting tremendous strain on Red 5.\Pull up all of the data on Red 5!\Roger! I'll put it on the main screen.\A duel? Why isn't he using his guns?\It looks like his opponent is too fast.\The JURIA-SYSTEM is already working at full capacity.\Is his enemy that powerful?\Yes, he's a fearsome foe... response:	We'll need to figure out how to deal with him.
context: Pull up all of the data on Red 5!\Roger! I'll put it on the main screen.\A duel? Why isn't he using his guns?\It looks like his opponent is too fast.\The JURIA-SYSTEM is already working at full capacity.\Is his enemy that powerful?\Yes, he's a fearsome foe...\We'll need to figure out how to deal with him. response:	Tamaki, Kei, go replenish your supplies!
context: Roger! I'll put it on the main screen.\A duel? Why isn't he using his guns?\It looks like his opponent is too fast.\The JURIA-SYSTEM is already working at full capacity.\Is his enemy that powerful?\Yes, he's a fearsome foe...\We'll need to figure out how to deal with him.\Tamaki, Kei, go replenish your supplies! response:	Roger!
context: A duel? Why isn't he using his guns?\It looks like his opponent is too fast.\The JURIA-SYSTEM is already working at full capacity.\Is his enemy that powerful?\Yes, he's a fearsome foe...\We'll need to figure out how to deal with him.\Tamaki, Kei, go replenish your supplies!\Roger! response:	But-!
context: It looks like his opponent is too fast.\The JURIA-SYSTEM is already working at full capacity.\Is his enemy that powerful?\Yes, he's a fearsome foe...\We'll need to figure out how to deal with him.\Tamaki, Kei, go replenish your supplies!\Roger!\But-! response:	Suruga and I can handle things here!
context: The JURIA-SYSTEM is already working at full capacity.\Is his enemy that powerful?\Yes, he's a fearsome foe...\We'll need to figure out how to deal with him.\Tamaki, Kei, go replenish your supplies!\Roger!\But-!\Suruga and I can handle things here! response:	Be careful.
context: Is his enemy that powerful?\Yes, he's a fearsome foe...\We'll need to figure out how to deal with him.\Tamaki, Kei, go replenish your supplies!\Roger!\But-!\Suruga and I can handle things here!\Be careful. response:	Tryin' to act all cool!
context: Yes, he's a fearsome foe...\We'll need to figure out how to deal with him.\Tamaki, Kei, go replenish your supplies!\Roger!\But-!\Suruga and I can handle things here!\Be careful.\Tryin' to act all cool! response:	You bet! You've got my back.
context: We'll need to figure out how to deal with him.\Tamaki, Kei, go replenish your supplies!\Roger!\But-!\Suruga and I can handle things here!\Be careful.\Tryin' to act all cool!\You bet! You've got my back. response:	Suruga, can you keep up with me?
context: Tamaki, Kei, go replenish your supplies!\Roger!\But-!\Suruga and I can handle things here!\Be careful.\Tryin' to act all cool!\You bet! You've got my back.\Suruga, can you keep up with me? response:	Who do you think I am?
context: Roger!\But-!\Suruga and I can handle things here!\Be careful.\Tryin' to act all cool!\You bet! You've got my back.\Suruga, can you keep up with me?\Who do you think I am? response:	Great. Let's go!
context: But-!\Suruga and I can handle things here!\Be careful.\Tryin' to act all cool!\You bet! You've got my back.\Suruga, can you keep up with me?\Who do you think I am?\Great. Let's go! response:	Well?
context: Suruga and I can handle things here!\Be careful.\Tryin' to act all cool!\You bet! You've got my back.\Suruga, can you keep up with me?\Who do you think I am?\Great. Let's go!\Well? response:	Five minutes until it activates!
context: Be careful.\Tryin' to act all cool!\You bet! You've got my back.\Suruga, can you keep up with me?\Who do you think I am?\Great. Let's go!\Well?\Five minutes until it activates! response:	You can make it back to the Pit, can't you?
context: Tryin' to act all cool!\You bet! You've got my back.\Suruga, can you keep up with me?\Who do you think I am?\Great. Let's go!\Well?\Five minutes until it activates!\You can make it back to the Pit, can't you? response:	Get going!
context: You bet! You've got my back.\Suruga, can you keep up with me?\Who do you think I am?\Great. Let's go!\Well?\Five minutes until it activates!\You can make it back to the Pit, can't you?\Get going! response:	Who do you think you're ordering around?
context: Suruga, can you keep up with me?\Who do you think I am?\Great. Let's go!\Well?\Five minutes until it activates!\You can make it back to the Pit, can't you?\Get going!\Who do you think you're ordering around? response:	He who has run out of Otto and Herman
context: Who do you think I am?\Great. Let's go!\Well?\Five minutes until it activates!\You can make it back to the Pit, can't you?\Get going!\Who do you think you're ordering around?\He who has run out of Otto and Herman response:	has no right to complain!
context: Great. Let's go!\Well?\Five minutes until it activates!\You can make it back to the Pit, can't you?\Get going!\Who do you think you're ordering around?\He who has run out of Otto and Herman\has no right to complain! response:	What the heck?
context: Well?\Five minutes until it activates!\You can make it back to the Pit, can't you?\Get going!\Who do you think you're ordering around?\He who has run out of Otto and Herman\has no right to complain!\What the heck? response:	That's what the army
context: Five minutes until it activates!\You can make it back to the Pit, can't you?\Get going!\Who do you think you're ordering around?\He who has run out of Otto and Herman\has no right to complain!\What the heck?\That's what the army response:	used to call fuel and ammunition a long time ago!
context: You can make it back to the Pit, can't you?\Get going!\Who do you think you're ordering around?\He who has run out of Otto and Herman\has no right to complain!\What the heck?\That's what the army\used to call fuel and ammunition a long time ago! response:	Just say it like a normal person, idiot!
context: Get going!\Who do you think you're ordering around?\He who has run out of Otto and Herman\has no right to complain!\What the heck?\That's what the army\used to call fuel and ammunition a long time ago!\Just say it like a normal person, idiot! response:	Screw that!
context: Who do you think you're ordering around?\He who has run out of Otto and Herman\has no right to complain!\What the heck?\That's what the army\used to call fuel and ammunition a long time ago!\Just say it like a normal person, idiot!\Screw that! response:	This is part of what makes my identity!
context: He who has run out of Otto and Herman\has no right to complain!\What the heck?\That's what the army\used to call fuel and ammunition a long time ago!\Just say it like a normal person, idiot!\Screw that!\This is part of what makes my identity! response:	What're you doing?!
context: has no right to complain!\What the heck?\That's what the army\used to call fuel and ammunition a long time ago!\Just say it like a normal person, idiot!\Screw that!\This is part of what makes my identity!\What're you doing?! response:	You scared me...
context: What the heck?\That's what the army\used to call fuel and ammunition a long time ago!\Just say it like a normal person, idiot!\Screw that!\This is part of what makes my identity!\What're you doing?!\You scared me... response:	Hurry up!
context: That's what the army\used to call fuel and ammunition a long time ago!\Just say it like a normal person, idiot!\Screw that!\This is part of what makes my identity!\What're you doing?!\You scared me...\Hurry up! response:	I finished stocking up! Asagi, hurry up!
context: used to call fuel and ammunition a long time ago!\Just say it like a normal person, idiot!\Screw that!\This is part of what makes my identity!\What're you doing?!\You scared me...\Hurry up!\I finished stocking up! Asagi, hurry up! response:	That won't be necessary. We'll send the supplies to you instead.
context: Just say it like a normal person, idiot!\Screw that!\This is part of what makes my identity!\What're you doing?!\You scared me...\Hurry up!\I finished stocking up! Asagi, hurry up!\That won't be necessary. We'll send the supplies to you instead. response:	Huh? Don't tell me you're going to...!
context: Screw that!\This is part of what makes my identity!\What're you doing?!\You scared me...\Hurry up!\I finished stocking up! Asagi, hurry up!\That won't be necessary. We'll send the supplies to you instead.\Huh? Don't tell me you're going to...! response:	We're firing the supplies, so catch them!
context: This is part of what makes my identity!\What're you doing?!\You scared me...\Hurry up!\I finished stocking up! Asagi, hurry up!\That won't be necessary. We'll send the supplies to you instead.\Huh? Don't tell me you're going to...!\We're firing the supplies, so catch them! response:	Wait a sec! I stink at this merging stuff!
context: What're you doing?!\You scared me...\Hurry up!\I finished stocking up! Asagi, hurry up!\That won't be necessary. We'll send the supplies to you instead.\Huh? Don't tell me you're going to...!\We're firing the supplies, so catch them!\Wait a sec! I stink at this merging stuff! response:	Here I go!
