context: Please... response:	Please become... our Goddess of Wisdom.
context: was found napping on a park bench.\The little girl's left leg was severed, and her right eye had been gouged out.\Unsurprisingly, the culprit behind this incident was never caught.\Looks like it's time.\We'll continue this another day.\The doors are closing. Please be careful.\We are now departing.\One Eye, One Leg response:	My Lady! Are you hurt?!
context: The little girl's left leg was severed, and her right eye had been gouged out.\Unsurprisingly, the culprit behind this incident was never caught.\Looks like it's time.\We'll continue this another day.\The doors are closing. Please be careful.\We are now departing.\One Eye, One Leg\My Lady! Are you hurt?! response:	Are you all right?!
context: Unsurprisingly, the culprit behind this incident was never caught.\Looks like it's time.\We'll continue this another day.\The doors are closing. Please be careful.\We are now departing.\One Eye, One Leg\My Lady! Are you hurt?!\Are you all right?! response:	I was so frightened that vile creature would try to eat you!
context: Looks like it's time.\We'll continue this another day.\The doors are closing. Please be careful.\We are now departing.\One Eye, One Leg\My Lady! Are you hurt?!\Are you all right?!\I was so frightened that vile creature would try to eat you! response:	There's no need to worry. He didn't even lay a finger on me.
context: We'll continue this another day.\The doors are closing. Please be careful.\We are now departing.\One Eye, One Leg\My Lady! Are you hurt?!\Are you all right?!\I was so frightened that vile creature would try to eat you!\There's no need to worry. He didn't even lay a finger on me. response:	What could you possibly see in that smelly, terrifying monstrosity?!
context: The doors are closing. Please be careful.\We are now departing.\One Eye, One Leg\My Lady! Are you hurt?!\Are you all right?!\I was so frightened that vile creature would try to eat you!\There's no need to worry. He didn't even lay a finger on me.\What could you possibly see in that smelly, terrifying monstrosity?! response:	I'm sure it's hard for all of you to imagine,
context: We are now departing.\One Eye, One Leg\My Lady! Are you hurt?!\Are you all right?!\I was so frightened that vile creature would try to eat you!\There's no need to worry. He didn't even lay a finger on me.\What could you possibly see in that smelly, terrifying monstrosity?!\I'm sure it's hard for all of you to imagine, response:	but to me, Kuro-san is quite the looker.
context: One Eye, One Leg\My Lady! Are you hurt?!\Are you all right?!\I was so frightened that vile creature would try to eat you!\There's no need to worry. He didn't even lay a finger on me.\What could you possibly see in that smelly, terrifying monstrosity?!\I'm sure it's hard for all of you to imagine,\but to me, Kuro-san is quite the looker. response:	Erm, is there a possibility that your left eye was taken, too?
context: My Lady! Are you hurt?!\Are you all right?!\I was so frightened that vile creature would try to eat you!\There's no need to worry. He didn't even lay a finger on me.\What could you possibly see in that smelly, terrifying monstrosity?!\I'm sure it's hard for all of you to imagine,\but to me, Kuro-san is quite the looker.\Erm, is there a possibility that your left eye was taken, too? response:	Would you like to be forcibly exorcised?
context: Are you all right?!\I was so frightened that vile creature would try to eat you!\There's no need to worry. He didn't even lay a finger on me.\What could you possibly see in that smelly, terrifying monstrosity?!\I'm sure it's hard for all of you to imagine,\but to me, Kuro-san is quite the looker.\Erm, is there a possibility that your left eye was taken, too?\Would you like to be forcibly exorcised? response:	Oh, no! I still have so many Harlequin novels to read!
context: I was so frightened that vile creature would try to eat you!\There's no need to worry. He didn't even lay a finger on me.\What could you possibly see in that smelly, terrifying monstrosity?!\I'm sure it's hard for all of you to imagine,\but to me, Kuro-san is quite the looker.\Erm, is there a possibility that your left eye was taken, too?\Would you like to be forcibly exorcised?\Oh, no! I still have so many Harlequin novels to read! response:	LOVE That Makes You Tremble with Excitement
context: There's no need to worry. He didn't even lay a finger on me.\What could you possibly see in that smelly, terrifying monstrosity?!\I'm sure it's hard for all of you to imagine,\but to me, Kuro-san is quite the looker.\Erm, is there a possibility that your left eye was taken, too?\Would you like to be forcibly exorcised?\Oh, no! I still have so many Harlequin novels to read!\LOVE That Makes You Tremble with Excitement response:	I couldn't possibly move on to the afterlife yet!
context: What could you possibly see in that smelly, terrifying monstrosity?!\I'm sure it's hard for all of you to imagine,\but to me, Kuro-san is quite the looker.\Erm, is there a possibility that your left eye was taken, too?\Would you like to be forcibly exorcised?\Oh, no! I still have so many Harlequin novels to read!\LOVE That Makes You Tremble with Excitement\I couldn't possibly move on to the afterlife yet! response:	Those are probably the last words I ever expected to hear from you.
context: I'm sure it's hard for all of you to imagine,\but to me, Kuro-san is quite the looker.\Erm, is there a possibility that your left eye was taken, too?\Would you like to be forcibly exorcised?\Oh, no! I still have so many Harlequin novels to read!\LOVE That Makes You Tremble with Excitement\I couldn't possibly move on to the afterlife yet!\Those are probably the last words I ever expected to hear from you. response:	But that creature I mentioned before is still at the library,
context: but to me, Kuro-san is quite the looker.\Erm, is there a possibility that your left eye was taken, too?\Would you like to be forcibly exorcised?\Oh, no! I still have so many Harlequin novels to read!\LOVE That Makes You Tremble with Excitement\I couldn't possibly move on to the afterlife yet!\Those are probably the last words I ever expected to hear from you.\But that creature I mentioned before is still at the library, response:	so I haven't been able to go there.
context: Erm, is there a possibility that your left eye was taken, too?\Would you like to be forcibly exorcised?\Oh, no! I still have so many Harlequin novels to read!\LOVE That Makes You Tremble with Excitement\I couldn't possibly move on to the afterlife yet!\Those are probably the last words I ever expected to hear from you.\But that creature I mentioned before is still at the library,\so I haven't been able to go there. response:	Please rid of that thing as soon as possible.
context: Would you like to be forcibly exorcised?\Oh, no! I still have so many Harlequin novels to read!\LOVE That Makes You Tremble with Excitement\I couldn't possibly move on to the afterlife yet!\Those are probably the last words I ever expected to hear from you.\But that creature I mentioned before is still at the library,\so I haven't been able to go there.\Please rid of that thing as soon as possible. response:	About that...
context: Oh, no! I still have so many Harlequin novels to read!\LOVE That Makes You Tremble with Excitement\I couldn't possibly move on to the afterlife yet!\Those are probably the last words I ever expected to hear from you.\But that creature I mentioned before is still at the library,\so I haven't been able to go there.\Please rid of that thing as soon as possible.\About that... response:	I might be able to take care of it tomorrow.
context: LOVE That Makes You Tremble with Excitement\I couldn't possibly move on to the afterlife yet!\Those are probably the last words I ever expected to hear from you.\But that creature I mentioned before is still at the library,\so I haven't been able to go there.\Please rid of that thing as soon as possible.\About that...\I might be able to take care of it tomorrow. response:	As long as Kuro-san helps me out, it shouldn't be too difficult.
context: I couldn't possibly move on to the afterlife yet!\Those are probably the last words I ever expected to hear from you.\But that creature I mentioned before is still at the library,\so I haven't been able to go there.\Please rid of that thing as soon as possible.\About that...\I might be able to take care of it tomorrow.\As long as Kuro-san helps me out, it shouldn't be too difficult. response:	In Japan's greatest literary work, the Kojiki,
context: Those are probably the last words I ever expected to hear from you.\But that creature I mentioned before is still at the library,\so I haven't been able to go there.\Please rid of that thing as soon as possible.\About that...\I might be able to take care of it tomorrow.\As long as Kuro-san helps me out, it shouldn't be too difficult.\In Japan's greatest literary work, the Kojiki, response:	there is a mention of a god named Kuebiko.
context: But that creature I mentioned before is still at the library,\so I haven't been able to go there.\Please rid of that thing as soon as possible.\About that...\I might be able to take care of it tomorrow.\As long as Kuro-san helps me out, it shouldn't be too difficult.\In Japan's greatest literary work, the Kojiki,\there is a mention of a god named Kuebiko. response:	It cannot walk because it only has one leg,
context: so I haven't been able to go there.\Please rid of that thing as soon as possible.\About that...\I might be able to take care of it tomorrow.\As long as Kuro-san helps me out, it shouldn't be too difficult.\In Japan's greatest literary work, the Kojiki,\there is a mention of a god named Kuebiko.\It cannot walk because it only has one leg, response:	but it is a god of wisdom with much knowledge of the world.
context: Please rid of that thing as soon as possible.\About that...\I might be able to take care of it tomorrow.\As long as Kuro-san helps me out, it shouldn't be too difficult.\In Japan's greatest literary work, the Kojiki,\there is a mention of a god named Kuebiko.\It cannot walk because it only has one leg,\but it is a god of wisdom with much knowledge of the world. response:	It also mentions that, at times, beings with only one eye
context: About that...\I might be able to take care of it tomorrow.\As long as Kuro-san helps me out, it shouldn't be too difficult.\In Japan's greatest literary work, the Kojiki,\there is a mention of a god named Kuebiko.\It cannot walk because it only has one leg,\but it is a god of wisdom with much knowledge of the world.\It also mentions that, at times, beings with only one eye response:	were also regarded as gods or something similar.
context: I might be able to take care of it tomorrow.\As long as Kuro-san helps me out, it shouldn't be too difficult.\In Japan's greatest literary work, the Kojiki,\there is a mention of a god named Kuebiko.\It cannot walk because it only has one leg,\but it is a god of wisdom with much knowledge of the world.\It also mentions that, at times, beings with only one eye\were also regarded as gods or something similar. response:	The kinds of gods that have either one leg or one eye
context: As long as Kuro-san helps me out, it shouldn't be too difficult.\In Japan's greatest literary work, the Kojiki,\there is a mention of a god named Kuebiko.\It cannot walk because it only has one leg,\but it is a god of wisdom with much knowledge of the world.\It also mentions that, at times, beings with only one eye\were also regarded as gods or something similar.\The kinds of gods that have either one leg or one eye response:	can be found in stories throughout the world.
context: In Japan's greatest literary work, the Kojiki,\there is a mention of a god named Kuebiko.\It cannot walk because it only has one leg,\but it is a god of wisdom with much knowledge of the world.\It also mentions that, at times, beings with only one eye\were also regarded as gods or something similar.\The kinds of gods that have either one leg or one eye\can be found in stories throughout the world. response:	The surface is rough, but it's been melted and hardened by some kind of acid.
context: there is a mention of a god named Kuebiko.\It cannot walk because it only has one leg,\but it is a god of wisdom with much knowledge of the world.\It also mentions that, at times, beings with only one eye\were also regarded as gods or something similar.\The kinds of gods that have either one leg or one eye\can be found in stories throughout the world.\The surface is rough, but it's been melted and hardened by some kind of acid. response:	We won't have to take any further measures.
context: It cannot walk because it only has one leg,\but it is a god of wisdom with much knowledge of the world.\It also mentions that, at times, beings with only one eye\were also regarded as gods or something similar.\The kinds of gods that have either one leg or one eye\can be found in stories throughout the world.\The surface is rough, but it's been melted and hardened by some kind of acid.\We won't have to take any further measures. response:	Her right eye has been gouged out, but there's no pus or inflammation.
context: but it is a god of wisdom with much knowledge of the world.\It also mentions that, at times, beings with only one eye\were also regarded as gods or something similar.\The kinds of gods that have either one leg or one eye\can be found in stories throughout the world.\The surface is rough, but it's been melted and hardened by some kind of acid.\We won't have to take any further measures.\Her right eye has been gouged out, but there's no pus or inflammation. response:	It's basically healed.
context: It also mentions that, at times, beings with only one eye\were also regarded as gods or something similar.\The kinds of gods that have either one leg or one eye\can be found in stories throughout the world.\The surface is rough, but it's been melted and hardened by some kind of acid.\We won't have to take any further measures.\Her right eye has been gouged out, but there's no pus or inflammation.\It's basically healed. response:	What in the world happened to this little girl?
context: were also regarded as gods or something similar.\The kinds of gods that have either one leg or one eye\can be found in stories throughout the world.\The surface is rough, but it's been melted and hardened by some kind of acid.\We won't have to take any further measures.\Her right eye has been gouged out, but there's no pus or inflammation.\It's basically healed.\What in the world happened to this little girl? response:	So where were you these last two weeks, Kotoko-chan?
context: The kinds of gods that have either one leg or one eye\can be found in stories throughout the world.\The surface is rough, but it's been melted and hardened by some kind of acid.\We won't have to take any further measures.\Her right eye has been gouged out, but there's no pus or inflammation.\It's basically healed.\What in the world happened to this little girl?\So where were you these last two weeks, Kotoko-chan? response:	Were you with someone?
context: can be found in stories throughout the world.\The surface is rough, but it's been melted and hardened by some kind of acid.\We won't have to take any further measures.\Her right eye has been gouged out, but there's no pus or inflammation.\It's basically healed.\What in the world happened to this little girl?\So where were you these last two weeks, Kotoko-chan?\Were you with someone? response:	If there's anything you remember, would you mind telling me?
context: The surface is rough, but it's been melted and hardened by some kind of acid.\We won't have to take any further measures.\Her right eye has been gouged out, but there's no pus or inflammation.\It's basically healed.\What in the world happened to this little girl?\So where were you these last two weeks, Kotoko-chan?\Were you with someone?\If there's anything you remember, would you mind telling me? response:	Does that mean the reason my left leg and right eye
context: We won't have to take any further measures.\Her right eye has been gouged out, but there's no pus or inflammation.\It's basically healed.\What in the world happened to this little girl?\So where were you these last two weeks, Kotoko-chan?\Were you with someone?\If there's anything you remember, would you mind telling me?\Does that mean the reason my left leg and right eye response:	were taken was to make me a god?
context: Her right eye has been gouged out, but there's no pus or inflammation.\It's basically healed.\What in the world happened to this little girl?\So where were you these last two weeks, Kotoko-chan?\Were you with someone?\If there's anything you remember, would you mind telling me?\Does that mean the reason my left leg and right eye\were taken was to make me a god? response:	That's not a bad trade.
context: It's basically healed.\What in the world happened to this little girl?\So where were you these last two weeks, Kotoko-chan?\Were you with someone?\If there's anything you remember, would you mind telling me?\Does that mean the reason my left leg and right eye\were taken was to make me a god?\That's not a bad trade. response:	Yes, I don't really remember.
context: What in the world happened to this little girl?\So where were you these last two weeks, Kotoko-chan?\Were you with someone?\If there's anything you remember, would you mind telling me?\Does that mean the reason my left leg and right eye\were taken was to make me a god?\That's not a bad trade.\Yes, I don't really remember. response:	Criminal Investigation Begins in Missing Girl Case
context: So where were you these last two weeks, Kotoko-chan?\Were you with someone?\If there's anything you remember, would you mind telling me?\Does that mean the reason my left leg and right eye\were taken was to make me a god?\That's not a bad trade.\Yes, I don't really remember.\Criminal Investigation Begins in Missing Girl Case response:	Fifth Grader Iwanaga Kotoko -chan
context: Were you with someone?\If there's anything you remember, would you mind telling me?\Does that mean the reason my left leg and right eye\were taken was to make me a god?\That's not a bad trade.\Yes, I don't really remember.\Criminal Investigation Begins in Missing Girl Case\Fifth Grader Iwanaga Kotoko -chan response:	Hello there. Did you finish doing your research?
context: If there's anything you remember, would you mind telling me?\Does that mean the reason my left leg and right eye\were taken was to make me a god?\That's not a bad trade.\Yes, I don't really remember.\Criminal Investigation Begins in Missing Girl Case\Fifth Grader Iwanaga Kotoko -chan\Hello there. Did you finish doing your research? response:	Apparently, it's true that a little girl named Iwanaga Kotoko
context: Does that mean the reason my left leg and right eye\were taken was to make me a god?\That's not a bad trade.\Yes, I don't really remember.\Criminal Investigation Begins in Missing Girl Case\Fifth Grader Iwanaga Kotoko -chan\Hello there. Did you finish doing your research?\Apparently, it's true that a little girl named Iwanaga Kotoko response:	was involved in some kind of incident six years ago.
context: were taken was to make me a god?\That's not a bad trade.\Yes, I don't really remember.\Criminal Investigation Begins in Missing Girl Case\Fifth Grader Iwanaga Kotoko -chan\Hello there. Did you finish doing your research?\Apparently, it's true that a little girl named Iwanaga Kotoko\was involved in some kind of incident six years ago. response:	But that's all I found.
context: That's not a bad trade.\Yes, I don't really remember.\Criminal Investigation Begins in Missing Girl Case\Fifth Grader Iwanaga Kotoko -chan\Hello there. Did you finish doing your research?\Apparently, it's true that a little girl named Iwanaga Kotoko\was involved in some kind of incident six years ago.\But that's all I found. response:	There's no proof that you've become a god for these monsters and yokai.
context: Yes, I don't really remember.\Criminal Investigation Begins in Missing Girl Case\Fifth Grader Iwanaga Kotoko -chan\Hello there. Did you finish doing your research?\Apparently, it's true that a little girl named Iwanaga Kotoko\was involved in some kind of incident six years ago.\But that's all I found.\There's no proof that you've become a god for these monsters and yokai. response:	Indeed. That could all just be a fantasy in my head.
context: Criminal Investigation Begins in Missing Girl Case\Fifth Grader Iwanaga Kotoko -chan\Hello there. Did you finish doing your research?\Apparently, it's true that a little girl named Iwanaga Kotoko\was involved in some kind of incident six years ago.\But that's all I found.\There's no proof that you've become a god for these monsters and yokai.\Indeed. That could all just be a fantasy in my head. response:	If that's the case, then I'm just a girl who went crazy after being kidnapped
context: Fifth Grader Iwanaga Kotoko -chan\Hello there. Did you finish doing your research?\Apparently, it's true that a little girl named Iwanaga Kotoko\was involved in some kind of incident six years ago.\But that's all I found.\There's no proof that you've become a god for these monsters and yokai.\Indeed. That could all just be a fantasy in my head.\If that's the case, then I'm just a girl who went crazy after being kidnapped response:	by some lunatic who messed with my body.
context: Hello there. Did you finish doing your research?\Apparently, it's true that a little girl named Iwanaga Kotoko\was involved in some kind of incident six years ago.\But that's all I found.\There's no proof that you've become a god for these monsters and yokai.\Indeed. That could all just be a fantasy in my head.\If that's the case, then I'm just a girl who went crazy after being kidnapped\by some lunatic who messed with my body. response:	Whether you believe me or not is your choice.
context: Apparently, it's true that a little girl named Iwanaga Kotoko\was involved in some kind of incident six years ago.\But that's all I found.\There's no proof that you've become a god for these monsters and yokai.\Indeed. That could all just be a fantasy in my head.\If that's the case, then I'm just a girl who went crazy after being kidnapped\by some lunatic who messed with my body.\Whether you believe me or not is your choice. response:	But I may be the only one in this world who can truly understand you.
context: was involved in some kind of incident six years ago.\But that's all I found.\There's no proof that you've become a god for these monsters and yokai.\Indeed. That could all just be a fantasy in my head.\If that's the case, then I'm just a girl who went crazy after being kidnapped\by some lunatic who messed with my body.\Whether you believe me or not is your choice.\But I may be the only one in this world who can truly understand you. response:	So you're saying those who ended up with either one eye or one leg
context: But that's all I found.\There's no proof that you've become a god for these monsters and yokai.\Indeed. That could all just be a fantasy in my head.\If that's the case, then I'm just a girl who went crazy after being kidnapped\by some lunatic who messed with my body.\Whether you believe me or not is your choice.\But I may be the only one in this world who can truly understand you.\So you're saying those who ended up with either one eye or one leg response:	sometimes become a sacrifice to the gods?
context: There's no proof that you've become a god for these monsters and yokai.\Indeed. That could all just be a fantasy in my head.\If that's the case, then I'm just a girl who went crazy after being kidnapped\by some lunatic who messed with my body.\Whether you believe me or not is your choice.\But I may be the only one in this world who can truly understand you.\So you're saying those who ended up with either one eye or one leg\sometimes become a sacrifice to the gods? response:	Yes. A sacrifice to connect the people with the gods,
context: Indeed. That could all just be a fantasy in my head.\If that's the case, then I'm just a girl who went crazy after being kidnapped\by some lunatic who messed with my body.\Whether you believe me or not is your choice.\But I may be the only one in this world who can truly understand you.\So you're saying those who ended up with either one eye or one leg\sometimes become a sacrifice to the gods?\Yes. A sacrifice to connect the people with the gods, response:	or in some cases, a priestess who can hear the voices of the gods.
context: If that's the case, then I'm just a girl who went crazy after being kidnapped\by some lunatic who messed with my body.\Whether you believe me or not is your choice.\But I may be the only one in this world who can truly understand you.\So you're saying those who ended up with either one eye or one leg\sometimes become a sacrifice to the gods?\Yes. A sacrifice to connect the people with the gods,\or in some cases, a priestess who can hear the voices of the gods. response:	My Lady!
context: by some lunatic who messed with my body.\Whether you believe me or not is your choice.\But I may be the only one in this world who can truly understand you.\So you're saying those who ended up with either one eye or one leg\sometimes become a sacrifice to the gods?\Yes. A sacrifice to connect the people with the gods,\or in some cases, a priestess who can hear the voices of the gods.\My Lady! response:	Well, if it isn't a bake-danuki.
context: Whether you believe me or not is your choice.\But I may be the only one in this world who can truly understand you.\So you're saying those who ended up with either one eye or one leg\sometimes become a sacrifice to the gods?\Yes. A sacrifice to connect the people with the gods,\or in some cases, a priestess who can hear the voices of the gods.\My Lady!\Well, if it isn't a bake-danuki. response:	The library's barrier has been broken!
context: But I may be the only one in this world who can truly understand you.\So you're saying those who ended up with either one eye or one leg\sometimes become a sacrifice to the gods?\Yes. A sacrifice to connect the people with the gods,\or in some cases, a priestess who can hear the voices of the gods.\My Lady!\Well, if it isn't a bake-danuki.\The library's barrier has been broken! response:	That's going to cause all kinds of trouble! Please hel
context: So you're saying those who ended up with either one eye or one leg\sometimes become a sacrifice to the gods?\Yes. A sacrifice to connect the people with the gods,\or in some cases, a priestess who can hear the voices of the gods.\My Lady!\Well, if it isn't a bake-danuki.\The library's barrier has been broken!\That's going to cause all kinds of trouble! Please hel response:	My Lady, how many times did we ask you to stay away from this creature?!
context: sometimes become a sacrifice to the gods?\Yes. A sacrifice to connect the people with the gods,\or in some cases, a priestess who can hear the voices of the gods.\My Lady!\Well, if it isn't a bake-danuki.\The library's barrier has been broken!\That's going to cause all kinds of trouble! Please hel\My Lady, how many times did we ask you to stay away from this creature?! response:	Kuro-san, you shouldn't scare them like that.
context: Yes. A sacrifice to connect the people with the gods,\or in some cases, a priestess who can hear the voices of the gods.\My Lady!\Well, if it isn't a bake-danuki.\The library's barrier has been broken!\That's going to cause all kinds of trouble! Please hel\My Lady, how many times did we ask you to stay away from this creature?!\Kuro-san, you shouldn't scare them like that. response:	I didn't even do anything...
context: or in some cases, a priestess who can hear the voices of the gods.\My Lady!\Well, if it isn't a bake-danuki.\The library's barrier has been broken!\That's going to cause all kinds of trouble! Please hel\My Lady, how many times did we ask you to stay away from this creature?!\Kuro-san, you shouldn't scare them like that.\I didn't even do anything... response:	But it certainly isn't good that the barrier was destroyed.
context: My Lady!\Well, if it isn't a bake-danuki.\The library's barrier has been broken!\That's going to cause all kinds of trouble! Please hel\My Lady, how many times did we ask you to stay away from this creature?!\Kuro-san, you shouldn't scare them like that.\I didn't even do anything...\But it certainly isn't good that the barrier was destroyed. response:	We must hurry.
context: Well, if it isn't a bake-danuki.\The library's barrier has been broken!\That's going to cause all kinds of trouble! Please hel\My Lady, how many times did we ask you to stay away from this creature?!\Kuro-san, you shouldn't scare them like that.\I didn't even do anything...\But it certainly isn't good that the barrier was destroyed.\We must hurry. response:	Come with us, Kuro-san.
context: The library's barrier has been broken!\That's going to cause all kinds of trouble! Please hel\My Lady, how many times did we ask you to stay away from this creature?!\Kuro-san, you shouldn't scare them like that.\I didn't even do anything...\But it certainly isn't good that the barrier was destroyed.\We must hurry.\Come with us, Kuro-san. response:	Huh?
context: That's going to cause all kinds of trouble! Please hel\My Lady, how many times did we ask you to stay away from this creature?!\Kuro-san, you shouldn't scare them like that.\I didn't even do anything...\But it certainly isn't good that the barrier was destroyed.\We must hurry.\Come with us, Kuro-san.\Huh? response:	Let's get rid of any doubts you may have by engaging in an actual battle.
context: My Lady, how many times did we ask you to stay away from this creature?!\Kuro-san, you shouldn't scare them like that.\I didn't even do anything...\But it certainly isn't good that the barrier was destroyed.\We must hurry.\Come with us, Kuro-san.\Huh?\Let's get rid of any doubts you may have by engaging in an actual battle. response:	Oh, I don't doubt anything after seeing monsters asking you for help.
context: Kuro-san, you shouldn't scare them like that.\I didn't even do anything...\But it certainly isn't good that the barrier was destroyed.\We must hurry.\Come with us, Kuro-san.\Huh?\Let's get rid of any doubts you may have by engaging in an actual battle.\Oh, I don't doubt anything after seeing monsters asking you for help. response:	I believe you. Bye.
context: I didn't even do anything...\But it certainly isn't good that the barrier was destroyed.\We must hurry.\Come with us, Kuro-san.\Huh?\Let's get rid of any doubts you may have by engaging in an actual battle.\Oh, I don't doubt anything after seeing monsters asking you for help.\I believe you. Bye. response:	Oh, don't be like that.
context: But it certainly isn't good that the barrier was destroyed.\We must hurry.\Come with us, Kuro-san.\Huh?\Let's get rid of any doubts you may have by engaging in an actual battle.\Oh, I don't doubt anything after seeing monsters asking you for help.\I believe you. Bye.\Oh, don't be like that. response:	The yokai in the library is quite violent and evil.
context: We must hurry.\Come with us, Kuro-san.\Huh?\Let's get rid of any doubts you may have by engaging in an actual battle.\Oh, I don't doubt anything after seeing monsters asking you for help.\I believe you. Bye.\Oh, don't be like that.\The yokai in the library is quite violent and evil. response:	There might be an article in tomorrow's paper about
context: Come with us, Kuro-san.\Huh?\Let's get rid of any doubts you may have by engaging in an actual battle.\Oh, I don't doubt anything after seeing monsters asking you for help.\I believe you. Bye.\Oh, don't be like that.\The yokai in the library is quite violent and evil.\There might be an article in tomorrow's paper about response:	a girl with one eye and one leg who was brutally murdered!
context: Huh?\Let's get rid of any doubts you may have by engaging in an actual battle.\Oh, I don't doubt anything after seeing monsters asking you for help.\I believe you. Bye.\Oh, don't be like that.\The yokai in the library is quite violent and evil.\There might be an article in tomorrow's paper about\a girl with one eye and one leg who was brutally murdered! response:	A tragic end for the girl who confessed her love for you,
context: Let's get rid of any doubts you may have by engaging in an actual battle.\Oh, I don't doubt anything after seeing monsters asking you for help.\I believe you. Bye.\Oh, don't be like that.\The yokai in the library is quite violent and evil.\There might be an article in tomorrow's paper about\a girl with one eye and one leg who was brutally murdered!\A tragic end for the girl who confessed her love for you, response:	even if you have no interest in her...
context: Oh, I don't doubt anything after seeing monsters asking you for help.\I believe you. Bye.\Oh, don't be like that.\The yokai in the library is quite violent and evil.\There might be an article in tomorrow's paper about\a girl with one eye and one leg who was brutally murdered!\A tragic end for the girl who confessed her love for you,\even if you have no interest in her... response:	If it came to that, you wouldn't be able to escape your guilt, would you?
context: I believe you. Bye.\Oh, don't be like that.\The yokai in the library is quite violent and evil.\There might be an article in tomorrow's paper about\a girl with one eye and one leg who was brutally murdered!\A tragic end for the girl who confessed her love for you,\even if you have no interest in her...\If it came to that, you wouldn't be able to escape your guilt, would you? response:	I thank you for your help,
context: Oh, don't be like that.\The yokai in the library is quite violent and evil.\There might be an article in tomorrow's paper about\a girl with one eye and one leg who was brutally murdered!\A tragic end for the girl who confessed her love for you,\even if you have no interest in her...\If it came to that, you wouldn't be able to escape your guilt, would you?\I thank you for your help, response:	but I'm not sure if I agree with how you're carrying me.
context: The yokai in the library is quite violent and evil.\There might be an article in tomorrow's paper about\a girl with one eye and one leg who was brutally murdered!\A tragic end for the girl who confessed her love for you,\even if you have no interest in her...\If it came to that, you wouldn't be able to escape your guilt, would you?\I thank you for your help,\but I'm not sure if I agree with how you're carrying me. response:	Isn't it the norm to carry me like a princess in these situations?
context: There might be an article in tomorrow's paper about\a girl with one eye and one leg who was brutally murdered!\A tragic end for the girl who confessed her love for you,\even if you have no interest in her...\If it came to that, you wouldn't be able to escape your guilt, would you?\I thank you for your help,\but I'm not sure if I agree with how you're carrying me.\Isn't it the norm to carry me like a princess in these situations? response:	I'll admit, I have no idea what the norm would be in this kind of situation.
context: a girl with one eye and one leg who was brutally murdered!\A tragic end for the girl who confessed her love for you,\even if you have no interest in her...\If it came to that, you wouldn't be able to escape your guilt, would you?\I thank you for your help,\but I'm not sure if I agree with how you're carrying me.\Isn't it the norm to carry me like a princess in these situations?\I'll admit, I have no idea what the norm would be in this kind of situation. response:	Um, are you all
context: A tragic end for the girl who confessed her love for you,\even if you have no interest in her...\If it came to that, you wouldn't be able to escape your guilt, would you?\I thank you for your help,\but I'm not sure if I agree with how you're carrying me.\Isn't it the norm to carry me like a princess in these situations?\I'll admit, I have no idea what the norm would be in this kind of situation.\Um, are you all response:	My Lady!
context: even if you have no interest in her...\If it came to that, you wouldn't be able to escape your guilt, would you?\I thank you for your help,\but I'm not sure if I agree with how you're carrying me.\Isn't it the norm to carry me like a princess in these situations?\I'll admit, I have no idea what the norm would be in this kind of situation.\Um, are you all\My Lady! response:	Calm down, Kuro-san. This is just the ghost of a fallen warrior
context: If it came to that, you wouldn't be able to escape your guilt, would you?\I thank you for your help,\but I'm not sure if I agree with how you're carrying me.\Isn't it the norm to carry me like a princess in these situations?\I'll admit, I have no idea what the norm would be in this kind of situation.\Um, are you all\My Lady!\Calm down, Kuro-san. This is just the ghost of a fallen warrior response:	My Lady! I'm utterly powerless against the sheer violence of that thing!
context: I thank you for your help,\but I'm not sure if I agree with how you're carrying me.\Isn't it the norm to carry me like a princess in these situations?\I'll admit, I have no idea what the norm would be in this kind of situation.\Um, are you all\My Lady!\Calm down, Kuro-san. This is just the ghost of a fallen warrior\My Lady! I'm utterly powerless against the sheer violence of that thing! response:	That's quite enough.
context: but I'm not sure if I agree with how you're carrying me.\Isn't it the norm to carry me like a princess in these situations?\I'll admit, I have no idea what the norm would be in this kind of situation.\Um, are you all\My Lady!\Calm down, Kuro-san. This is just the ghost of a fallen warrior\My Lady! I'm utterly powerless against the sheer violence of that thing!\That's quite enough. response:	The human world and the world of the ayakashi must maintain their balance.
context: Isn't it the norm to carry me like a princess in these situations?\I'll admit, I have no idea what the norm would be in this kind of situation.\Um, are you all\My Lady!\Calm down, Kuro-san. This is just the ghost of a fallen warrior\My Lady! I'm utterly powerless against the sheer violence of that thing!\That's quite enough.\The human world and the world of the ayakashi must maintain their balance. response:	I cannot allow those who disregard the
context: I'll admit, I have no idea what the norm would be in this kind of situation.\Um, are you all\My Lady!\Calm down, Kuro-san. This is just the ghost of a fallen warrior\My Lady! I'm utterly powerless against the sheer violence of that thing!\That's quite enough.\The human world and the world of the ayakashi must maintain their balance.\I cannot allow those who disregard the response:	Nice job running your big mouth, but what do we do now?
context: Um, are you all\My Lady!\Calm down, Kuro-san. This is just the ghost of a fallen warrior\My Lady! I'm utterly powerless against the sheer violence of that thing!\That's quite enough.\The human world and the world of the ayakashi must maintain their balance.\I cannot allow those who disregard the\Nice job running your big mouth, but what do we do now? response:	This is unexpected.
