context: Why do you dig? response:	Because a new world awaits on the other side.
context: The head is Zessica Wong!\Unguarded Union! Go, Aquarion!\My skin feels so sensitive...\I can feel it all over my body...\So intense!\Aquarion Spada!\I can feel Amata looking at me...\I'm so embarrassed! response:	Mikono's mind level is still rising!
context: Unguarded Union! Go, Aquarion!\My skin feels so sensitive...\I can feel it all over my body...\So intense!\Aquarion Spada!\I can feel Amata looking at me...\I'm so embarrassed!\Mikono's mind level is still rising! response:	But why?
context: My skin feels so sensitive...\I can feel it all over my body...\So intense!\Aquarion Spada!\I can feel Amata looking at me...\I'm so embarrassed!\Mikono's mind level is still rising!\But why? response:	She knows someone is looking at her, so her body is hot and bothered.
context: I can feel it all over my body...\So intense!\Aquarion Spada!\I can feel Amata looking at me...\I'm so embarrassed!\Mikono's mind level is still rising!\But why?\She knows someone is looking at her, so her body is hot and bothered. response:	I understand.
context: So intense!\Aquarion Spada!\I can feel Amata looking at me...\I'm so embarrassed!\Mikono's mind level is still rising!\But why?\She knows someone is looking at her, so her body is hot and bothered.\I understand. response:	It's okay. You don't have to be embarrassed.
context: Aquarion Spada!\I can feel Amata looking at me...\I'm so embarrassed!\Mikono's mind level is still rising!\But why?\She knows someone is looking at her, so her body is hot and bothered.\I understand.\It's okay. You don't have to be embarrassed. response:	Doesn't matter if you've Unioned.
context: I can feel Amata looking at me...\I'm so embarrassed!\Mikono's mind level is still rising!\But why?\She knows someone is looking at her, so her body is hot and bothered.\I understand.\It's okay. You don't have to be embarrassed.\Doesn't matter if you've Unioned. response:	Just admit defeat already!
context: I'm so embarrassed!\Mikono's mind level is still rising!\But why?\She knows someone is looking at her, so her body is hot and bothered.\I understand.\It's okay. You don't have to be embarrassed.\Doesn't matter if you've Unioned.\Just admit defeat already! response:	Here they come!
context: Mikono's mind level is still rising!\But why?\She knows someone is looking at her, so her body is hot and bothered.\I understand.\It's okay. You don't have to be embarrassed.\Doesn't matter if you've Unioned.\Just admit defeat already!\Here they come! response:	My senses are incredibly keen now...
context: But why?\She knows someone is looking at her, so her body is hot and bothered.\I understand.\It's okay. You don't have to be embarrassed.\Doesn't matter if you've Unioned.\Just admit defeat already!\Here they come!\My senses are incredibly keen now... response:	I can feel them all perfectly!
context: She knows someone is looking at her, so her body is hot and bothered.\I understand.\It's okay. You don't have to be embarrassed.\Doesn't matter if you've Unioned.\Just admit defeat already!\Here they come!\My senses are incredibly keen now...\I can feel them all perfectly! response:	They dodged?
context: I understand.\It's okay. You don't have to be embarrassed.\Doesn't matter if you've Unioned.\Just admit defeat already!\Here they come!\My senses are incredibly keen now...\I can feel them all perfectly!\They dodged? response:	More!
context: It's okay. You don't have to be embarrassed.\Doesn't matter if you've Unioned.\Just admit defeat already!\Here they come!\My senses are incredibly keen now...\I can feel them all perfectly!\They dodged?\More! response:	More!
context: Doesn't matter if you've Unioned.\Just admit defeat already!\Here they come!\My senses are incredibly keen now...\I can feel them all perfectly!\They dodged?\More!\More! response:	Zessica's spirit level is at an all-time high!
context: Just admit defeat already!\Here they come!\My senses are incredibly keen now...\I can feel them all perfectly!\They dodged?\More!\More!\Zessica's spirit level is at an all-time high! response:	I'll do it too!
context: Here they come!\My senses are incredibly keen now...\I can feel them all perfectly!\They dodged?\More!\More!\Zessica's spirit level is at an all-time high!\I'll do it too! response:	I'm embarrassed... but!
context: My senses are incredibly keen now...\I can feel them all perfectly!\They dodged?\More!\More!\Zessica's spirit level is at an all-time high!\I'll do it too!\I'm embarrassed... but! response:	Their sonata is so powerful
context: I can feel them all perfectly!\They dodged?\More!\More!\Zessica's spirit level is at an all-time high!\I'll do it too!\I'm embarrassed... but!\Their sonata is so powerful response:	that I can't possibly play it.
context: They dodged?\More!\More!\Zessica's spirit level is at an all-time high!\I'll do it too!\I'm embarrassed... but!\Their sonata is so powerful\that I can't possibly play it. response:	A heart-pounding battle unbound from the chains of modesty!
context: More!\More!\Zessica's spirit level is at an all-time high!\I'll do it too!\I'm embarrassed... but!\Their sonata is so powerful\that I can't possibly play it.\A heart-pounding battle unbound from the chains of modesty! response:	Let your skin heat up! Let your body burst forth!
context: More!\Zessica's spirit level is at an all-time high!\I'll do it too!\I'm embarrassed... but!\Their sonata is so powerful\that I can't possibly play it.\A heart-pounding battle unbound from the chains of modesty!\Let your skin heat up! Let your body burst forth! response:	Take this!
context: Zessica's spirit level is at an all-time high!\I'll do it too!\I'm embarrassed... but!\Their sonata is so powerful\that I can't possibly play it.\A heart-pounding battle unbound from the chains of modesty!\Let your skin heat up! Let your body burst forth!\Take this! response:	No Guard!
context: I'll do it too!\I'm embarrassed... but!\Their sonata is so powerful\that I can't possibly play it.\A heart-pounding battle unbound from the chains of modesty!\Let your skin heat up! Let your body burst forth!\Take this!\No Guard! response:	Attack!
context: I'm embarrassed... but!\Their sonata is so powerful\that I can't possibly play it.\A heart-pounding battle unbound from the chains of modesty!\Let your skin heat up! Let your body burst forth!\Take this!\No Guard!\Attack! response:	It's game over for me.
context: Their sonata is so powerful\that I can't possibly play it.\A heart-pounding battle unbound from the chains of modesty!\Let your skin heat up! Let your body burst forth!\Take this!\No Guard!\Attack!\It's game over for me. response:	But how could I lose to something as stupid as that?
context: that I can't possibly play it.\A heart-pounding battle unbound from the chains of modesty!\Let your skin heat up! Let your body burst forth!\Take this!\No Guard!\Attack!\It's game over for me.\But how could I lose to something as stupid as that? response:	Yes!
context: A heart-pounding battle unbound from the chains of modesty!\Let your skin heat up! Let your body burst forth!\Take this!\No Guard!\Attack!\It's game over for me.\But how could I lose to something as stupid as that?\Yes! response:	Sorry!
context: Let your skin heat up! Let your body burst forth!\Take this!\No Guard!\Attack!\It's game over for me.\But how could I lose to something as stupid as that?\Yes!\Sorry! response:	But why am I embarrassed?
context: Take this!\No Guard!\Attack!\It's game over for me.\But how could I lose to something as stupid as that?\Yes!\Sorry!\But why am I embarrassed? response:	The best defense is a good offense.
context: No Guard!\Attack!\It's game over for me.\But how could I lose to something as stupid as that?\Yes!\Sorry!\But why am I embarrassed?\The best defense is a good offense. response:	Dropping your guard is the ultimate weapon.
context: Attack!\It's game over for me.\But how could I lose to something as stupid as that?\Yes!\Sorry!\But why am I embarrassed?\The best defense is a good offense.\Dropping your guard is the ultimate weapon. response:	That's a disgusting and perverted strategy! I won't stand for it!
context: It's game over for me.\But how could I lose to something as stupid as that?\Yes!\Sorry!\But why am I embarrassed?\The best defense is a good offense.\Dropping your guard is the ultimate weapon.\That's a disgusting and perverted strategy! I won't stand for it! response:	Humans are all born naked.
context: But how could I lose to something as stupid as that?\Yes!\Sorry!\But why am I embarrassed?\The best defense is a good offense.\Dropping your guard is the ultimate weapon.\That's a disgusting and perverted strategy! I won't stand for it!\Humans are all born naked. response:	But that strategy is a double-edged sword.
context: Yes!\Sorry!\But why am I embarrassed?\The best defense is a good offense.\Dropping your guard is the ultimate weapon.\That's a disgusting and perverted strategy! I won't stand for it!\Humans are all born naked.\But that strategy is a double-edged sword. response:	In exchange for perfect senses, the Elements sacrifice all of their defense.
context: Sorry!\But why am I embarrassed?\The best defense is a good offense.\Dropping your guard is the ultimate weapon.\That's a disgusting and perverted strategy! I won't stand for it!\Humans are all born naked.\But that strategy is a double-edged sword.\In exchange for perfect senses, the Elements sacrifice all of their defense. response:	I think it'd be best if we all just covered up for now.
context: But why am I embarrassed?\The best defense is a good offense.\Dropping your guard is the ultimate weapon.\That's a disgusting and perverted strategy! I won't stand for it!\Humans are all born naked.\But that strategy is a double-edged sword.\In exchange for perfect senses, the Elements sacrifice all of their defense.\I think it'd be best if we all just covered up for now. response:	How? When did you take these?
context: The best defense is a good offense.\Dropping your guard is the ultimate weapon.\That's a disgusting and perverted strategy! I won't stand for it!\Humans are all born naked.\But that strategy is a double-edged sword.\In exchange for perfect senses, the Elements sacrifice all of their defense.\I think it'd be best if we all just covered up for now.\How? When did you take these? response:	Here's 500 kowloons.
context: Dropping your guard is the ultimate weapon.\That's a disgusting and perverted strategy! I won't stand for it!\Humans are all born naked.\But that strategy is a double-edged sword.\In exchange for perfect senses, the Elements sacrifice all of their defense.\I think it'd be best if we all just covered up for now.\How? When did you take these?\Here's 500 kowloons. response:	Thanks so much!
context: That's a disgusting and perverted strategy! I won't stand for it!\Humans are all born naked.\But that strategy is a double-edged sword.\In exchange for perfect senses, the Elements sacrifice all of their defense.\I think it'd be best if we all just covered up for now.\How? When did you take these?\Here's 500 kowloons.\Thanks so much! response:	Put me down for one!
context: Humans are all born naked.\But that strategy is a double-edged sword.\In exchange for perfect senses, the Elements sacrifice all of their defense.\I think it'd be best if we all just covered up for now.\How? When did you take these?\Here's 500 kowloons.\Thanks so much!\Put me down for one! response:	Me too!
context: But that strategy is a double-edged sword.\In exchange for perfect senses, the Elements sacrifice all of their defense.\I think it'd be best if we all just covered up for now.\How? When did you take these?\Here's 500 kowloons.\Thanks so much!\Put me down for one!\Me too! response:	Stop it! Don't sell any more of those!
context: In exchange for perfect senses, the Elements sacrifice all of their defense.\I think it'd be best if we all just covered up for now.\How? When did you take these?\Here's 500 kowloons.\Thanks so much!\Put me down for one!\Me too!\Stop it! Don't sell any more of those! response:	Zessica.
context: I think it'd be best if we all just covered up for now.\How? When did you take these?\Here's 500 kowloons.\Thanks so much!\Put me down for one!\Me too!\Stop it! Don't sell any more of those!\Zessica. response:	What are you doing all the way over here?
context: How? When did you take these?\Here's 500 kowloons.\Thanks so much!\Put me down for one!\Me too!\Stop it! Don't sell any more of those!\Zessica.\What are you doing all the way over here? response:	Nothing! I'm not doing anything!
context: Here's 500 kowloons.\Thanks so much!\Put me down for one!\Me too!\Stop it! Don't sell any more of those!\Zessica.\What are you doing all the way over here?\Nothing! I'm not doing anything! response:	Try saying horrible ten times fast.
context: Thanks so much!\Put me down for one!\Me too!\Stop it! Don't sell any more of those!\Zessica.\What are you doing all the way over here?\Nothing! I'm not doing anything!\Try saying horrible ten times fast. response:	Horrible horrible horble hobble holeble hole hole...
context: Put me down for one!\Me too!\Stop it! Don't sell any more of those!\Zessica.\What are you doing all the way over here?\Nothing! I'm not doing anything!\Try saying horrible ten times fast.\Horrible horrible horble hobble holeble hole hole... response:	I hate holes! I'm going to fill them all!
context: Me too!\Stop it! Don't sell any more of those!\Zessica.\What are you doing all the way over here?\Nothing! I'm not doing anything!\Try saying horrible ten times fast.\Horrible horrible horble hobble holeble hole hole...\I hate holes! I'm going to fill them all! response:	Next time on Aquarion Evol: Turn Man and Woman into a Hole New Word.
context: Stop it! Don't sell any more of those!\Zessica.\What are you doing all the way over here?\Nothing! I'm not doing anything!\Try saying horrible ten times fast.\Horrible horrible horble hobble holeble hole hole...\I hate holes! I'm going to fill them all!\Next time on Aquarion Evol: Turn Man and Woman into a Hole New Word. response:	Revelations
context: Zessica.\What are you doing all the way over here?\Nothing! I'm not doing anything!\Try saying horrible ten times fast.\Horrible horrible horble hobble holeble hole hole...\I hate holes! I'm going to fill them all!\Next time on Aquarion Evol: Turn Man and Woman into a Hole New Word.\Revelations response:	Next Time
context: What are you doing all the way over here?\Nothing! I'm not doing anything!\Try saying horrible ten times fast.\Horrible horrible horble hobble holeble hole hole...\I hate holes! I'm going to fill them all!\Next time on Aquarion Evol: Turn Man and Woman into a Hole New Word.\Revelations\Next Time response:	into a Hole New Word
context: Nothing! I'm not doing anything!\Try saying horrible ten times fast.\Horrible horrible horble hobble holeble hole hole...\I hate holes! I'm going to fill them all!\Next time on Aquarion Evol: Turn Man and Woman into a Hole New Word.\Revelations\Next Time\into a Hole New Word response:	Turn Man and Woman
context: Try saying horrible ten times fast.\Horrible horrible horble hobble holeble hole hole...\I hate holes! I'm going to fill them all!\Next time on Aquarion Evol: Turn Man and Woman into a Hole New Word.\Revelations\Next Time\into a Hole New Word\Turn Man and Woman response:	osore
context: Horrible horrible horble hobble holeble hole hole...\I hate holes! I'm going to fill them all!\Next time on Aquarion Evol: Turn Man and Woman into a Hole New Word.\Revelations\Next Time\into a Hole New Word\Turn Man and Woman\osore response:	living your life don't give up now keep moving on
context: I hate holes! I'm going to fill them all!\Next time on Aquarion Evol: Turn Man and Woman into a Hole New Word.\Revelations\Next Time\into a Hole New Word\Turn Man and Woman\osore\living your life don't give up now keep moving on response:	kimi wo dakishimeru nandomo nandomo nandomo
context: Next time on Aquarion Evol: Turn Man and Woman into a Hole New Word.\Revelations\Next Time\into a Hole New Word\Turn Man and Woman\osore\living your life don't give up now keep moving on\kimi wo dakishimeru nandomo nandomo nandomo response:	ashita boku wa kimi ni deau darou
context: Revelations\Next Time\into a Hole New Word\Turn Man and Woman\osore\living your life don't give up now keep moving on\kimi wo dakishimeru nandomo nandomo nandomo\ashita boku wa kimi ni deau darou response:	wazukana hoshiakari wo tayori ni
context: Next Time\into a Hole New Word\Turn Man and Woman\osore\living your life don't give up now keep moving on\kimi wo dakishimeru nandomo nandomo nandomo\ashita boku wa kimi ni deau darou\wazukana hoshiakari wo tayori ni response:	boku ni wa kimi ga wakaru yo wakaru yo
context: into a Hole New Word\Turn Man and Woman\osore\living your life don't give up now keep moving on\kimi wo dakishimeru nandomo nandomo nandomo\ashita boku wa kimi ni deau darou\wazukana hoshiakari wo tayori ni\boku ni wa kimi ga wakaru yo wakaru yo response:	sen'oku no toki wo koe futari hiraku densetsu no tobira
context: Turn Man and Woman\osore\living your life don't give up now keep moving on\kimi wo dakishimeru nandomo nandomo nandomo\ashita boku wa kimi ni deau darou\wazukana hoshiakari wo tayori ni\boku ni wa kimi ga wakaru yo wakaru yo\sen'oku no toki wo koe futari hiraku densetsu no tobira response:	naraku no ao tobikoete
context: osore\living your life don't give up now keep moving on\kimi wo dakishimeru nandomo nandomo nandomo\ashita boku wa kimi ni deau darou\wazukana hoshiakari wo tayori ni\boku ni wa kimi ga wakaru yo wakaru yo\sen'oku no toki wo koe futari hiraku densetsu no tobira\naraku no ao tobikoete response:	kimi to hai ni naru tame
context: living your life don't give up now keep moving on\kimi wo dakishimeru nandomo nandomo nandomo\ashita boku wa kimi ni deau darou\wazukana hoshiakari wo tayori ni\boku ni wa kimi ga wakaru yo wakaru yo\sen'oku no toki wo koe futari hiraku densetsu no tobira\naraku no ao tobikoete\kimi to hai ni naru tame response:	nagaki rinne wo kanashimi tsurete tabi shitekitanda
context: kimi wo dakishimeru nandomo nandomo nandomo\ashita boku wa kimi ni deau darou\wazukana hoshiakari wo tayori ni\boku ni wa kimi ga wakaru yo wakaru yo\sen'oku no toki wo koe futari hiraku densetsu no tobira\naraku no ao tobikoete\kimi to hai ni naru tame\nagaki rinne wo kanashimi tsurete tabi shitekitanda response:	zenryoku de mikansei kimi no tonari de
context: ashita boku wa kimi ni deau darou\wazukana hoshiakari wo tayori ni\boku ni wa kimi ga wakaru yo wakaru yo\sen'oku no toki wo koe futari hiraku densetsu no tobira\naraku no ao tobikoete\kimi to hai ni naru tame\nagaki rinne wo kanashimi tsurete tabi shitekitanda\zenryoku de mikansei kimi no tonari de response:	kawaita kokoro hodoke chi wo nagasu kedo
context: wazukana hoshiakari wo tayori ni\boku ni wa kimi ga wakaru yo wakaru yo\sen'oku no toki wo koe futari hiraku densetsu no tobira\naraku no ao tobikoete\kimi to hai ni naru tame\nagaki rinne wo kanashimi tsurete tabi shitekitanda\zenryoku de mikansei kimi no tonari de\kawaita kokoro hodoke chi wo nagasu kedo response:	soba ni iru yo zutto yorisotte zutto
context: boku ni wa kimi ga wakaru yo wakaru yo\sen'oku no toki wo koe futari hiraku densetsu no tobira\naraku no ao tobikoete\kimi to hai ni naru tame\nagaki rinne wo kanashimi tsurete tabi shitekitanda\zenryoku de mikansei kimi no tonari de\kawaita kokoro hodoke chi wo nagasu kedo\soba ni iru yo zutto yorisotte zutto response:	futari hikari no fune ni noru
context: sen'oku no toki wo koe futari hiraku densetsu no tobira\naraku no ao tobikoete\kimi to hai ni naru tame\nagaki rinne wo kanashimi tsurete tabi shitekitanda\zenryoku de mikansei kimi no tonari de\kawaita kokoro hodoke chi wo nagasu kedo\soba ni iru yo zutto yorisotte zutto\futari hikari no fune ni noru response:	kaze no hajimari no oto kanadeyou
context: naraku no ao tobikoete\kimi to hai ni naru tame\nagaki rinne wo kanashimi tsurete tabi shitekitanda\zenryoku de mikansei kimi no tonari de\kawaita kokoro hodoke chi wo nagasu kedo\soba ni iru yo zutto yorisotte zutto\futari hikari no fune ni noru\kaze no hajimari no oto kanadeyou response:	Even if you're scared
context: kimi to hai ni naru tame\nagaki rinne wo kanashimi tsurete tabi shitekitanda\zenryoku de mikansei kimi no tonari de\kawaita kokoro hodoke chi wo nagasu kedo\soba ni iru yo zutto yorisotte zutto\futari hikari no fune ni noru\kaze no hajimari no oto kanadeyou\Even if you're scared response:	Just live your life, don't give up now, keep moving on
context: nagaki rinne wo kanashimi tsurete tabi shitekitanda\zenryoku de mikansei kimi no tonari de\kawaita kokoro hodoke chi wo nagasu kedo\soba ni iru yo zutto yorisotte zutto\futari hikari no fune ni noru\kaze no hajimari no oto kanadeyou\Even if you're scared\Just live your life, don't give up now, keep moving on response:	And I'll come for you over and over and over again
context: zenryoku de mikansei kimi no tonari de\kawaita kokoro hodoke chi wo nagasu kedo\soba ni iru yo zutto yorisotte zutto\futari hikari no fune ni noru\kaze no hajimari no oto kanadeyou\Even if you're scared\Just live your life, don't give up now, keep moving on\And I'll come for you over and over and over again response:	We'll find each other soon enough
context: kawaita kokoro hodoke chi wo nagasu kedo\soba ni iru yo zutto yorisotte zutto\futari hikari no fune ni noru\kaze no hajimari no oto kanadeyou\Even if you're scared\Just live your life, don't give up now, keep moving on\And I'll come for you over and over and over again\We'll find each other soon enough response:	By the faintest glimmer of starlight
context: soba ni iru yo zutto yorisotte zutto\futari hikari no fune ni noru\kaze no hajimari no oto kanadeyou\Even if you're scared\Just live your life, don't give up now, keep moving on\And I'll come for you over and over and over again\We'll find each other soon enough\By the faintest glimmer of starlight response:	I know you, I know you
context: futari hikari no fune ni noru\kaze no hajimari no oto kanadeyou\Even if you're scared\Just live your life, don't give up now, keep moving on\And I'll come for you over and over and over again\We'll find each other soon enough\By the faintest glimmer of starlight\I know you, I know you response:	It's been billions of years, but now we can open the door to our legend
context: kaze no hajimari no oto kanadeyou\Even if you're scared\Just live your life, don't give up now, keep moving on\And I'll come for you over and over and over again\We'll find each other soon enough\By the faintest glimmer of starlight\I know you, I know you\It's been billions of years, but now we can open the door to our legend response:	I crossed over the deep blue void
context: Even if you're scared\Just live your life, don't give up now, keep moving on\And I'll come for you over and over and over again\We'll find each other soon enough\By the faintest glimmer of starlight\I know you, I know you\It's been billions of years, but now we can open the door to our legend\I crossed over the deep blue void response:	so I could burn to ash along with you
context: Just live your life, don't give up now, keep moving on\And I'll come for you over and over and over again\We'll find each other soon enough\By the faintest glimmer of starlight\I know you, I know you\It's been billions of years, but now we can open the door to our legend\I crossed over the deep blue void\so I could burn to ash along with you response:	I've had a long journey on the vast wheel of fate, gathering sorrows along the way
context: And I'll come for you over and over and over again\We'll find each other soon enough\By the faintest glimmer of starlight\I know you, I know you\It's been billions of years, but now we can open the door to our legend\I crossed over the deep blue void\so I could burn to ash along with you\I've had a long journey on the vast wheel of fate, gathering sorrows along the way response:	I'm not perfect, but I'm giving all I have
context: We'll find each other soon enough\By the faintest glimmer of starlight\I know you, I know you\It's been billions of years, but now we can open the door to our legend\I crossed over the deep blue void\so I could burn to ash along with you\I've had a long journey on the vast wheel of fate, gathering sorrows along the way\I'm not perfect, but I'm giving all I have response:	If I open my fragile heart to you, I know I'll bleed...
context: By the faintest glimmer of starlight\I know you, I know you\It's been billions of years, but now we can open the door to our legend\I crossed over the deep blue void\so I could burn to ash along with you\I've had a long journey on the vast wheel of fate, gathering sorrows along the way\I'm not perfect, but I'm giving all I have\If I open my fragile heart to you, I know I'll bleed... response:	But I'll always be with you, always be in your arms
context: I know you, I know you\It's been billions of years, but now we can open the door to our legend\I crossed over the deep blue void\so I could burn to ash along with you\I've had a long journey on the vast wheel of fate, gathering sorrows along the way\I'm not perfect, but I'm giving all I have\If I open my fragile heart to you, I know I'll bleed...\But I'll always be with you, always be in your arms response:	We'll get on a shining ship of light
context: It's been billions of years, but now we can open the door to our legend\I crossed over the deep blue void\so I could burn to ash along with you\I've had a long journey on the vast wheel of fate, gathering sorrows along the way\I'm not perfect, but I'm giving all I have\If I open my fragile heart to you, I know I'll bleed...\But I'll always be with you, always be in your arms\We'll get on a shining ship of light response:	And call forth the wind with our voices
context: I crossed over the deep blue void\so I could burn to ash along with you\I've had a long journey on the vast wheel of fate, gathering sorrows along the way\I'm not perfect, but I'm giving all I have\If I open my fragile heart to you, I know I'll bleed...\But I'll always be with you, always be in your arms\We'll get on a shining ship of light\And call forth the wind with our voices response:	kaze ni ubawareta wake janai
context: so I could burn to ash along with you\I've had a long journey on the vast wheel of fate, gathering sorrows along the way\I'm not perfect, but I'm giving all I have\If I open my fragile heart to you, I know I'll bleed...\But I'll always be with you, always be in your arms\We'll get on a shining ship of light\And call forth the wind with our voices\kaze ni ubawareta wake janai response:	We weren't spirited away on the wind
context: I've had a long journey on the vast wheel of fate, gathering sorrows along the way\I'm not perfect, but I'm giving all I have\If I open my fragile heart to you, I know I'll bleed...\But I'll always be with you, always be in your arms\We'll get on a shining ship of light\And call forth the wind with our voices\kaze ni ubawareta wake janai\We weren't spirited away on the wind response:	katamichi bun no yuuki de bokura
context: I'm not perfect, but I'm giving all I have\If I open my fragile heart to you, I know I'll bleed...\But I'll always be with you, always be in your arms\We'll get on a shining ship of light\And call forth the wind with our voices\kaze ni ubawareta wake janai\We weren't spirited away on the wind\katamichi bun no yuuki de bokura response:	We knew we could never return, and found the courage
context: If I open my fragile heart to you, I know I'll bleed...\But I'll always be with you, always be in your arms\We'll get on a shining ship of light\And call forth the wind with our voices\kaze ni ubawareta wake janai\We weren't spirited away on the wind\katamichi bun no yuuki de bokura\We knew we could never return, and found the courage response:	higeki wo ukeireru
context: But I'll always be with you, always be in your arms\We'll get on a shining ship of light\And call forth the wind with our voices\kaze ni ubawareta wake janai\We weren't spirited away on the wind\katamichi bun no yuuki de bokura\We knew we could never return, and found the courage\higeki wo ukeireru response:	to accept the hardship
context: We'll get on a shining ship of light\And call forth the wind with our voices\kaze ni ubawareta wake janai\We weren't spirited away on the wind\katamichi bun no yuuki de bokura\We knew we could never return, and found the courage\higeki wo ukeireru\to accept the hardship response:	kokoro ga koko ni atta hazu no kuudou
context: And call forth the wind with our voices\kaze ni ubawareta wake janai\We weren't spirited away on the wind\katamichi bun no yuuki de bokura\We knew we could never return, and found the courage\higeki wo ukeireru\to accept the hardship\kokoro ga koko ni atta hazu no kuudou response:	There's an emptiness where my heart used to be
context: kaze ni ubawareta wake janai\We weren't spirited away on the wind\katamichi bun no yuuki de bokura\We knew we could never return, and found the courage\higeki wo ukeireru\to accept the hardship\kokoro ga koko ni atta hazu no kuudou\There's an emptiness where my heart used to be response:	motto boku ga ookikereba
context: We weren't spirited away on the wind\katamichi bun no yuuki de bokura\We knew we could never return, and found the courage\higeki wo ukeireru\to accept the hardship\kokoro ga koko ni atta hazu no kuudou\There's an emptiness where my heart used to be\motto boku ga ookikereba response:	If only I was stronger
context: katamichi bun no yuuki de bokura\We knew we could never return, and found the courage\higeki wo ukeireru\to accept the hardship\kokoro ga koko ni atta hazu no kuudou\There's an emptiness where my heart used to be\motto boku ga ookikereba\If only I was stronger response:	kimi wo mirai wo sukueta darou ka
context: We knew we could never return, and found the courage\higeki wo ukeireru\to accept the hardship\kokoro ga koko ni atta hazu no kuudou\There's an emptiness where my heart used to be\motto boku ga ookikereba\If only I was stronger\kimi wo mirai wo sukueta darou ka response:	I could have saved you, and our future...
context: higeki wo ukeireru\to accept the hardship\kokoro ga koko ni atta hazu no kuudou\There's an emptiness where my heart used to be\motto boku ga ookikereba\If only I was stronger\kimi wo mirai wo sukueta darou ka\I could have saved you, and our future... response:	taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai
context: to accept the hardship\kokoro ga koko ni atta hazu no kuudou\There's an emptiness where my heart used to be\motto boku ga ookikereba\If only I was stronger\kimi wo mirai wo sukueta darou ka\I could have saved you, and our future...\taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai response:	I only know of one way to keep the people I love
context: kokoro ga koko ni atta hazu no kuudou\There's an emptiness where my heart used to be\motto boku ga ookikereba\If only I was stronger\kimi wo mirai wo sukueta darou ka\I could have saved you, and our future...\taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai\I only know of one way to keep the people I love response:	sonna anata ga haguretadayou sora
context: There's an emptiness where my heart used to be\motto boku ga ookikereba\If only I was stronger\kimi wo mirai wo sukueta darou ka\I could have saved you, and our future...\taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai\I only know of one way to keep the people I love\sonna anata ga haguretadayou sora response:	And you left me and disappeared into the sky
context: motto boku ga ookikereba\If only I was stronger\kimi wo mirai wo sukueta darou ka\I could have saved you, and our future...\taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai\I only know of one way to keep the people I love\sonna anata ga haguretadayou sora\And you left me and disappeared into the sky response:	anata ijou no hito ni deaenai
context: If only I was stronger\kimi wo mirai wo sukueta darou ka\I could have saved you, and our future...\taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai\I only know of one way to keep the people I love\sonna anata ga haguretadayou sora\And you left me and disappeared into the sky\anata ijou no hito ni deaenai response:	I'll never find anyone like you again
context: kimi wo mirai wo sukueta darou ka\I could have saved you, and our future...\taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai\I only know of one way to keep the people I love\sonna anata ga haguretadayou sora\And you left me and disappeared into the sky\anata ijou no hito ni deaenai\I'll never find anyone like you again response:	tsuki ni aragau nagai furea
context: I could have saved you, and our future...\taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai\I only know of one way to keep the people I love\sonna anata ga haguretadayou sora\And you left me and disappeared into the sky\anata ijou no hito ni deaenai\I'll never find anyone like you again\tsuki ni aragau nagai furea response:	A long flare reaches out against the moon
context: taisetsu na hito wo mamoru sube ga tatta hitotsu shika motanai\I only know of one way to keep the people I love\sonna anata ga haguretadayou sora\And you left me and disappeared into the sky\anata ijou no hito ni deaenai\I'll never find anyone like you again\tsuki ni aragau nagai furea\A long flare reaches out against the moon response:	hajimaru mo sezu owaru monogatari
context: I only know of one way to keep the people I love\sonna anata ga haguretadayou sora\And you left me and disappeared into the sky\anata ijou no hito ni deaenai\I'll never find anyone like you again\tsuki ni aragau nagai furea\A long flare reaches out against the moon\hajimaru mo sezu owaru monogatari response:	The story ends before it could even begin
context: sonna anata ga haguretadayou sora\And you left me and disappeared into the sky\anata ijou no hito ni deaenai\I'll never find anyone like you again\tsuki ni aragau nagai furea\A long flare reaches out against the moon\hajimaru mo sezu owaru monogatari\The story ends before it could even begin response:	kizutsukiuru yawarakasa
context: And you left me and disappeared into the sky\anata ijou no hito ni deaenai\I'll never find anyone like you again\tsuki ni aragau nagai furea\A long flare reaches out against the moon\hajimaru mo sezu owaru monogatari\The story ends before it could even begin\kizutsukiuru yawarakasa response:	So soft, so fragile
context: anata ijou no hito ni deaenai\I'll never find anyone like you again\tsuki ni aragau nagai furea\A long flare reaches out against the moon\hajimaru mo sezu owaru monogatari\The story ends before it could even begin\kizutsukiuru yawarakasa\So soft, so fragile response:	tojikometa senritsu kanaderu hodo
context: I'll never find anyone like you again\tsuki ni aragau nagai furea\A long flare reaches out against the moon\hajimaru mo sezu owaru monogatari\The story ends before it could even begin\kizutsukiuru yawarakasa\So soft, so fragile\tojikometa senritsu kanaderu hodo response:	I will call up the melody locked away
