context: You better hope the beast that comes out of the cave isn't a monster. response:	Hey, are you hungry?
context: Good.\Hyakkimaru!\Not even you could climb this.\We'll just have to go after them. Let's go.\This is the secret passage?\It's small here, but wider inside.\Hear that water?\Follow it and you'll reach the stream on the other side. response:	It's a natural cave.
context: Hyakkimaru!\Not even you could climb this.\We'll just have to go after them. Let's go.\This is the secret passage?\It's small here, but wider inside.\Hear that water?\Follow it and you'll reach the stream on the other side.\It's a natural cave. response:	You won't need a light. They'll never catch you.
context: Not even you could climb this.\We'll just have to go after them. Let's go.\This is the secret passage?\It's small here, but wider inside.\Hear that water?\Follow it and you'll reach the stream on the other side.\It's a natural cave.\You won't need a light. They'll never catch you. response:	My job is done. Now go.
context: We'll just have to go after them. Let's go.\This is the secret passage?\It's small here, but wider inside.\Hear that water?\Follow it and you'll reach the stream on the other side.\It's a natural cave.\You won't need a light. They'll never catch you.\My job is done. Now go. response:	You're coming, too.
context: This is the secret passage?\It's small here, but wider inside.\Hear that water?\Follow it and you'll reach the stream on the other side.\It's a natural cave.\You won't need a light. They'll never catch you.\My job is done. Now go.\You're coming, too. response:	You can't stay here now that they know your identity.
context: It's small here, but wider inside.\Hear that water?\Follow it and you'll reach the stream on the other side.\It's a natural cave.\You won't need a light. They'll never catch you.\My job is done. Now go.\You're coming, too.\You can't stay here now that they know your identity. response:	Think of what they'll do to you.
context: Hear that water?\Follow it and you'll reach the stream on the other side.\It's a natural cave.\You won't need a light. They'll never catch you.\My job is done. Now go.\You're coming, too.\You can't stay here now that they know your identity.\Think of what they'll do to you. response:	Yes, they'll use me to warn people.
context: Follow it and you'll reach the stream on the other side.\It's a natural cave.\You won't need a light. They'll never catch you.\My job is done. Now go.\You're coming, too.\You can't stay here now that they know your identity.\Think of what they'll do to you.\Yes, they'll use me to warn people. response:	Is that what you want?
context: It's a natural cave.\You won't need a light. They'll never catch you.\My job is done. Now go.\You're coming, too.\You can't stay here now that they know your identity.\Think of what they'll do to you.\Yes, they'll use me to warn people.\Is that what you want? response:	-No... -Then let's escape.
context: You won't need a light. They'll never catch you.\My job is done. Now go.\You're coming, too.\You can't stay here now that they know your identity.\Think of what they'll do to you.\Yes, they'll use me to warn people.\Is that what you want?\-No... -Then let's escape. response:	Don't want to be with a monster?
context: My job is done. Now go.\You're coming, too.\You can't stay here now that they know your identity.\Think of what they'll do to you.\Yes, they'll use me to warn people.\Is that what you want?\-No... -Then let's escape.\Don't want to be with a monster? response:	Okay, Ohagi.
context: You're coming, too.\You can't stay here now that they know your identity.\Think of what they'll do to you.\Yes, they'll use me to warn people.\Is that what you want?\-No... -Then let's escape.\Don't want to be with a monster?\Okay, Ohagi. response:	Instead of dying here in this village, I'll live on as your prey.
context: You can't stay here now that they know your identity.\Think of what they'll do to you.\Yes, they'll use me to warn people.\Is that what you want?\-No... -Then let's escape.\Don't want to be with a monster?\Okay, Ohagi.\Instead of dying here in this village, I'll live on as your prey. response:	I'll never meet a human as strange as you again.
context: Think of what they'll do to you.\Yes, they'll use me to warn people.\Is that what you want?\-No... -Then let's escape.\Don't want to be with a monster?\Okay, Ohagi.\Instead of dying here in this village, I'll live on as your prey.\I'll never meet a human as strange as you again. response:	Then let's go...
context: Yes, they'll use me to warn people.\Is that what you want?\-No... -Then let's escape.\Don't want to be with a monster?\Okay, Ohagi.\Instead of dying here in this village, I'll live on as your prey.\I'll never meet a human as strange as you again.\Then let's go... response:	No!
context: Is that what you want?\-No... -Then let's escape.\Don't want to be with a monster?\Okay, Ohagi.\Instead of dying here in this village, I'll live on as your prey.\I'll never meet a human as strange as you again.\Then let's go...\No! response:	That's what happens when you betray the lord.
context: -No... -Then let's escape.\Don't want to be with a monster?\Okay, Ohagi.\Instead of dying here in this village, I'll live on as your prey.\I'll never meet a human as strange as you again.\Then let's go...\No!\That's what happens when you betray the lord. response:	Kill him together with the monster woman!
context: Don't want to be with a monster?\Okay, Ohagi.\Instead of dying here in this village, I'll live on as your prey.\I'll never meet a human as strange as you again.\Then let's go...\No!\That's what happens when you betray the lord.\Kill him together with the monster woman! response:	You bastards!
context: Okay, Ohagi.\Instead of dying here in this village, I'll live on as your prey.\I'll never meet a human as strange as you again.\Then let's go...\No!\That's what happens when you betray the lord.\Kill him together with the monster woman!\You bastards! response:	I'll drain every drop of your life force!
context: Instead of dying here in this village, I'll live on as your prey.\I'll never meet a human as strange as you again.\Then let's go...\No!\That's what happens when you betray the lord.\Kill him together with the monster woman!\You bastards!\I'll drain every drop of your life force! response:	Hyakkimaru!
context: I'll never meet a human as strange as you again.\Then let's go...\No!\That's what happens when you betray the lord.\Kill him together with the monster woman!\You bastards!\I'll drain every drop of your life force!\Hyakkimaru! response:	There's no doctor here, right?
context: Then let's go...\No!\That's what happens when you betray the lord.\Kill him together with the monster woman!\You bastards!\I'll drain every drop of your life force!\Hyakkimaru!\There's no doctor here, right? response:	Then I will take you to one.
context: No!\That's what happens when you betray the lord.\Kill him together with the monster woman!\You bastards!\I'll drain every drop of your life force!\Hyakkimaru!\There's no doctor here, right?\Then I will take you to one. response:	I won't let you die.
context: That's what happens when you betray the lord.\Kill him together with the monster woman!\You bastards!\I'll drain every drop of your life force!\Hyakkimaru!\There's no doctor here, right?\Then I will take you to one.\I won't let you die. response:	I see one of us will have to die.
context: Kill him together with the monster woman!\You bastards!\I'll drain every drop of your life force!\Hyakkimaru!\There's no doctor here, right?\Then I will take you to one.\I won't let you die.\I see one of us will have to die. response:	No, don't kill...
context: You bastards!\I'll drain every drop of your life force!\Hyakkimaru!\There's no doctor here, right?\Then I will take you to one.\I won't let you die.\I see one of us will have to die.\No, don't kill... response:	Ohagi, you never have, and you never will, right?
context: I'll drain every drop of your life force!\Hyakkimaru!\There's no doctor here, right?\Then I will take you to one.\I won't let you die.\I see one of us will have to die.\No, don't kill...\Ohagi, you never have, and you never will, right? response:	They're gone now.
context: Hyakkimaru!\There's no doctor here, right?\Then I will take you to one.\I won't let you die.\I see one of us will have to die.\No, don't kill...\Ohagi, you never have, and you never will, right?\They're gone now. response:	A ghoul that likes a human, huh.
context: There's no doctor here, right?\Then I will take you to one.\I won't let you die.\I see one of us will have to die.\No, don't kill...\Ohagi, you never have, and you never will, right?\They're gone now.\A ghoul that likes a human, huh. response:	The world's full of surprises.
context: Then I will take you to one.\I won't let you die.\I see one of us will have to die.\No, don't kill...\Ohagi, you never have, and you never will, right?\They're gone now.\A ghoul that likes a human, huh.\The world's full of surprises. response:	But it's a good thing your hearing was back.
context: I won't let you die.\I see one of us will have to die.\No, don't kill...\Ohagi, you never have, and you never will, right?\They're gone now.\A ghoul that likes a human, huh.\The world's full of surprises.\But it's a good thing your hearing was back. response:	Or else it would've ended in a really awkward way.
context: I see one of us will have to die.\No, don't kill...\Ohagi, you never have, and you never will, right?\They're gone now.\A ghoul that likes a human, huh.\The world's full of surprises.\But it's a good thing your hearing was back.\Or else it would've ended in a really awkward way. response:	Still don't want to speak?
context: No, don't kill...\Ohagi, you never have, and you never will, right?\They're gone now.\A ghoul that likes a human, huh.\The world's full of surprises.\But it's a good thing your hearing was back.\Or else it would've ended in a really awkward way.\Still don't want to speak? response:	Fine, I'll talk enough for two and cheer things up.
context: Ohagi, you never have, and you never will, right?\They're gone now.\A ghoul that likes a human, huh.\The world's full of surprises.\But it's a good thing your hearing was back.\Or else it would've ended in a really awkward way.\Still don't want to speak?\Fine, I'll talk enough for two and cheer things up. response:	Huh? A spider, ouch!
context: They're gone now.\A ghoul that likes a human, huh.\The world's full of surprises.\But it's a good thing your hearing was back.\Or else it would've ended in a really awkward way.\Still don't want to speak?\Fine, I'll talk enough for two and cheer things up.\Huh? A spider, ouch! response:	It bit me!
context: A ghoul that likes a human, huh.\The world's full of surprises.\But it's a good thing your hearing was back.\Or else it would've ended in a really awkward way.\Still don't want to speak?\Fine, I'll talk enough for two and cheer things up.\Huh? A spider, ouch!\It bit me! response:	Sorry, I'm the one that scared you, huh.
context: The world's full of surprises.\But it's a good thing your hearing was back.\Or else it would've ended in a really awkward way.\Still don't want to speak?\Fine, I'll talk enough for two and cheer things up.\Huh? A spider, ouch!\It bit me!\Sorry, I'm the one that scared you, huh. response:	Hey, did you just...
context: But it's a good thing your hearing was back.\Or else it would've ended in a really awkward way.\Still don't want to speak?\Fine, I'll talk enough for two and cheer things up.\Huh? A spider, ouch!\It bit me!\Sorry, I'm the one that scared you, huh.\Hey, did you just... response:	You laughed at me!
context: Or else it would've ended in a really awkward way.\Still don't want to speak?\Fine, I'll talk enough for two and cheer things up.\Huh? A spider, ouch!\It bit me!\Sorry, I'm the one that scared you, huh.\Hey, did you just...\You laughed at me! response:	I heard that, your first laugh!
context: Still don't want to speak?\Fine, I'll talk enough for two and cheer things up.\Huh? A spider, ouch!\It bit me!\Sorry, I'm the one that scared you, huh.\Hey, did you just...\You laughed at me!\I heard that, your first laugh! response:	But that's not the kind I wanted to hear.
context: Fine, I'll talk enough for two and cheer things up.\Huh? A spider, ouch!\It bit me!\Sorry, I'm the one that scared you, huh.\Hey, did you just...\You laughed at me!\I heard that, your first laugh!\But that's not the kind I wanted to hear. response:	Not the kind that makes fun of people.
context: Huh? A spider, ouch!\It bit me!\Sorry, I'm the one that scared you, huh.\Hey, did you just...\You laughed at me!\I heard that, your first laugh!\But that's not the kind I wanted to hear.\Not the kind that makes fun of people. response:	A happier laugh, you know?
context: It bit me!\Sorry, I'm the one that scared you, huh.\Hey, did you just...\You laughed at me!\I heard that, your first laugh!\But that's not the kind I wanted to hear.\Not the kind that makes fun of people.\A happier laugh, you know? response:	Sorrow scatters in the wind,
context: Sorry, I'm the one that scared you, huh.\Hey, did you just...\You laughed at me!\I heard that, your first laugh!\But that's not the kind I wanted to hear.\Not the kind that makes fun of people.\A happier laugh, you know?\Sorrow scatters in the wind, response:	piling up to form shadows
context: Hey, did you just...\You laughed at me!\I heard that, your first laugh!\But that's not the kind I wanted to hear.\Not the kind that makes fun of people.\A happier laugh, you know?\Sorrow scatters in the wind,\piling up to form shadows response:	Our footsteps admonish indifference in such verbose ways
context: You laughed at me!\I heard that, your first laugh!\But that's not the kind I wanted to hear.\Not the kind that makes fun of people.\A happier laugh, you know?\Sorrow scatters in the wind,\piling up to form shadows\Our footsteps admonish indifference in such verbose ways response:	As I peek into your fathomless eyes, I lose my composure
context: I heard that, your first laugh!\But that's not the kind I wanted to hear.\Not the kind that makes fun of people.\A happier laugh, you know?\Sorrow scatters in the wind,\piling up to form shadows\Our footsteps admonish indifference in such verbose ways\As I peek into your fathomless eyes, I lose my composure response:	Is there any hope in the place I am heading to?
context: But that's not the kind I wanted to hear.\Not the kind that makes fun of people.\A happier laugh, you know?\Sorrow scatters in the wind,\piling up to form shadows\Our footsteps admonish indifference in such verbose ways\As I peek into your fathomless eyes, I lose my composure\Is there any hope in the place I am heading to? response:	I feign amusement and laugh
context: Not the kind that makes fun of people.\A happier laugh, you know?\Sorrow scatters in the wind,\piling up to form shadows\Our footsteps admonish indifference in such verbose ways\As I peek into your fathomless eyes, I lose my composure\Is there any hope in the place I am heading to?\I feign amusement and laugh response:	because this road is so dark
context: A happier laugh, you know?\Sorrow scatters in the wind,\piling up to form shadows\Our footsteps admonish indifference in such verbose ways\As I peek into your fathomless eyes, I lose my composure\Is there any hope in the place I am heading to?\I feign amusement and laugh\because this road is so dark response:	I will be there to shine the light
context: Sorrow scatters in the wind,\piling up to form shadows\Our footsteps admonish indifference in such verbose ways\As I peek into your fathomless eyes, I lose my composure\Is there any hope in the place I am heading to?\I feign amusement and laugh\because this road is so dark\I will be there to shine the light response:	I'm used to playing at saying goodbye,
context: piling up to form shadows\Our footsteps admonish indifference in such verbose ways\As I peek into your fathomless eyes, I lose my composure\Is there any hope in the place I am heading to?\I feign amusement and laugh\because this road is so dark\I will be there to shine the light\I'm used to playing at saying goodbye, response:	but I cried when I waved to you
context: Our footsteps admonish indifference in such verbose ways\As I peek into your fathomless eyes, I lose my composure\Is there any hope in the place I am heading to?\I feign amusement and laugh\because this road is so dark\I will be there to shine the light\I'm used to playing at saying goodbye,\but I cried when I waved to you response:	Our fiery woes fade... and fade... until night falls upon us
context: As I peek into your fathomless eyes, I lose my composure\Is there any hope in the place I am heading to?\I feign amusement and laugh\because this road is so dark\I will be there to shine the light\I'm used to playing at saying goodbye,\but I cried when I waved to you\Our fiery woes fade... and fade... until night falls upon us response:	If I knew tomorrow would be so mundane,
context: Is there any hope in the place I am heading to?\I feign amusement and laugh\because this road is so dark\I will be there to shine the light\I'm used to playing at saying goodbye,\but I cried when I waved to you\Our fiery woes fade... and fade... until night falls upon us\If I knew tomorrow would be so mundane, response:	I wouldn't have said that I wanted to live
context: I feign amusement and laugh\because this road is so dark\I will be there to shine the light\I'm used to playing at saying goodbye,\but I cried when I waved to you\Our fiery woes fade... and fade... until night falls upon us\If I knew tomorrow would be so mundane,\I wouldn't have said that I wanted to live response:	I know it's futile but can't help dreaming of a future... a future... you are to blame
context: because this road is so dark\I will be there to shine the light\I'm used to playing at saying goodbye,\but I cried when I waved to you\Our fiery woes fade... and fade... until night falls upon us\If I knew tomorrow would be so mundane,\I wouldn't have said that I wanted to live\I know it's futile but can't help dreaming of a future... a future... you are to blame response:	Jorogumo
