context: I'm Kagome Higurashi, a ninth grader. response:	My family are caretakers of a very old, historic shrine...
context: The demon power l gathered...\Miroku... What's the meaning of this?\I was very rough.\Monk...\You were alone for so long. It must've been lonely.\Yes, because I was so weak-hearted, I fell victim to a demon.\You'll be all right now. I'll take you to the village.\Thank you very much. response:	She disappeared.
context: Miroku... What's the meaning of this?\I was very rough.\Monk...\You were alone for so long. It must've been lonely.\Yes, because I was so weak-hearted, I fell victim to a demon.\You'll be all right now. I'll take you to the village.\Thank you very much.\She disappeared. response:	That is her soul.
context: I was very rough.\Monk...\You were alone for so long. It must've been lonely.\Yes, because I was so weak-hearted, I fell victim to a demon.\You'll be all right now. I'll take you to the village.\Thank you very much.\She disappeared.\That is her soul. response:	She died all alone.
context: Monk...\You were alone for so long. It must've been lonely.\Yes, because I was so weak-hearted, I fell victim to a demon.\You'll be all right now. I'll take you to the village.\Thank you very much.\She disappeared.\That is her soul.\She died all alone. response:	Rather than bitterness...
context: You were alone for so long. It must've been lonely.\Yes, because I was so weak-hearted, I fell victim to a demon.\You'll be all right now. I'll take you to the village.\Thank you very much.\She disappeared.\That is her soul.\She died all alone.\Rather than bitterness... response:	it was loneliness that kept her from finding peace in death.
context: Yes, because I was so weak-hearted, I fell victim to a demon.\You'll be all right now. I'll take you to the village.\Thank you very much.\She disappeared.\That is her soul.\She died all alone.\Rather than bitterness...\it was loneliness that kept her from finding peace in death. response:	The demon coyote stole the princess' body and soul,
context: You'll be all right now. I'll take you to the village.\Thank you very much.\She disappeared.\That is her soul.\She died all alone.\Rather than bitterness...\it was loneliness that kept her from finding peace in death.\The demon coyote stole the princess' body and soul, response:	then impersonated her to lure men...
context: Thank you very much.\She disappeared.\That is her soul.\She died all alone.\Rather than bitterness...\it was loneliness that kept her from finding peace in death.\The demon coyote stole the princess' body and soul,\then impersonated her to lure men... response:	and sucked out their youth to gain strength.
context: She disappeared.\That is her soul.\She died all alone.\Rather than bitterness...\it was loneliness that kept her from finding peace in death.\The demon coyote stole the princess' body and soul,\then impersonated her to lure men...\and sucked out their youth to gain strength. response:	I've placed the princess' ashes in this grave.
context: That is her soul.\She died all alone.\Rather than bitterness...\it was loneliness that kept her from finding peace in death.\The demon coyote stole the princess' body and soul,\then impersonated her to lure men...\and sucked out their youth to gain strength.\I've placed the princess' ashes in this grave. response:	If you offer prayers, I'm sure she will watch over the village.
context: She died all alone.\Rather than bitterness...\it was loneliness that kept her from finding peace in death.\The demon coyote stole the princess' body and soul,\then impersonated her to lure men...\and sucked out their youth to gain strength.\I've placed the princess' ashes in this grave.\If you offer prayers, I'm sure she will watch over the village. response:	Thank you so much!
context: Rather than bitterness...\it was loneliness that kept her from finding peace in death.\The demon coyote stole the princess' body and soul,\then impersonated her to lure men...\and sucked out their youth to gain strength.\I've placed the princess' ashes in this grave.\If you offer prayers, I'm sure she will watch over the village.\Thank you so much! response:	You brought our men back home to us!
context: it was loneliness that kept her from finding peace in death.\The demon coyote stole the princess' body and soul,\then impersonated her to lure men...\and sucked out their youth to gain strength.\I've placed the princess' ashes in this grave.\If you offer prayers, I'm sure she will watch over the village.\Thank you so much!\You brought our men back home to us! response:	It was like a beautiful dream...
context: The demon coyote stole the princess' body and soul,\then impersonated her to lure men...\and sucked out their youth to gain strength.\I've placed the princess' ashes in this grave.\If you offer prayers, I'm sure she will watch over the village.\Thank you so much!\You brought our men back home to us!\It was like a beautiful dream... response:	I'll say.
context: then impersonated her to lure men...\and sucked out their youth to gain strength.\I've placed the princess' ashes in this grave.\If you offer prayers, I'm sure she will watch over the village.\Thank you so much!\You brought our men back home to us!\It was like a beautiful dream...\I'll say. response:	Miroku?
context: and sucked out their youth to gain strength.\I've placed the princess' ashes in this grave.\If you offer prayers, I'm sure she will watch over the village.\Thank you so much!\You brought our men back home to us!\It was like a beautiful dream...\I'll say.\Miroku? response:	Yes?
context: I've placed the princess' ashes in this grave.\If you offer prayers, I'm sure she will watch over the village.\Thank you so much!\You brought our men back home to us!\It was like a beautiful dream...\I'll say.\Miroku?\Yes? response:	Did something happen in that mountain?
context: If you offer prayers, I'm sure she will watch over the village.\Thank you so much!\You brought our men back home to us!\It was like a beautiful dream...\I'll say.\Miroku?\Yes?\Did something happen in that mountain? response:	Sango has seemed awfully depressed since coming back.
context: Thank you so much!\You brought our men back home to us!\It was like a beautiful dream...\I'll say.\Miroku?\Yes?\Did something happen in that mountain?\Sango has seemed awfully depressed since coming back. response:	Well... I don't know what it could be.
context: You brought our men back home to us!\It was like a beautiful dream...\I'll say.\Miroku?\Yes?\Did something happen in that mountain?\Sango has seemed awfully depressed since coming back.\Well... I don't know what it could be. response:	I feel like such a fool.
context: It was like a beautiful dream...\I'll say.\Miroku?\Yes?\Did something happen in that mountain?\Sango has seemed awfully depressed since coming back.\Well... I don't know what it could be.\I feel like such a fool. response:	Sango...
context: I'll say.\Miroku?\Yes?\Did something happen in that mountain?\Sango has seemed awfully depressed since coming back.\Well... I don't know what it could be.\I feel like such a fool.\Sango... response:	What's the matter?
context: Miroku?\Yes?\Did something happen in that mountain?\Sango has seemed awfully depressed since coming back.\Well... I don't know what it could be.\I feel like such a fool.\Sango...\What's the matter? response:	Miroku, you really didn't need me there.
context: Yes?\Did something happen in that mountain?\Sango has seemed awfully depressed since coming back.\Well... I don't know what it could be.\I feel like such a fool.\Sango...\What's the matter?\Miroku, you really didn't need me there. response:	No such thing! You're the one who destroyed the demon.
context: Did something happen in that mountain?\Sango has seemed awfully depressed since coming back.\Well... I don't know what it could be.\I feel like such a fool.\Sango...\What's the matter?\Miroku, you really didn't need me there.\No such thing! You're the one who destroyed the demon. response:	Only because you helped me.
context: Sango has seemed awfully depressed since coming back.\Well... I don't know what it could be.\I feel like such a fool.\Sango...\What's the matter?\Miroku, you really didn't need me there.\No such thing! You're the one who destroyed the demon.\Only because you helped me. response:	No, I relied on your help.
context: Well... I don't know what it could be.\I feel like such a fool.\Sango...\What's the matter?\Miroku, you really didn't need me there.\No such thing! You're the one who destroyed the demon.\Only because you helped me.\No, I relied on your help. response:	Because I believed in your strength.
context: I feel like such a fool.\Sango...\What's the matter?\Miroku, you really didn't need me there.\No such thing! You're the one who destroyed the demon.\Only because you helped me.\No, I relied on your help.\Because I believed in your strength. response:	You're imagining things!
context: Sango...\What's the matter?\Miroku, you really didn't need me there.\No such thing! You're the one who destroyed the demon.\Only because you helped me.\No, I relied on your help.\Because I believed in your strength.\You're imagining things! response:	Sango wouldn't fall in love with that lecher!
context: What's the matter?\Miroku, you really didn't need me there.\No such thing! You're the one who destroyed the demon.\Only because you helped me.\No, I relied on your help.\Because I believed in your strength.\You're imagining things!\Sango wouldn't fall in love with that lecher! response:	Why not? Look at that mood!
context: Miroku, you really didn't need me there.\No such thing! You're the one who destroyed the demon.\Only because you helped me.\No, I relied on your help.\Because I believed in your strength.\You're imagining things!\Sango wouldn't fall in love with that lecher!\Why not? Look at that mood! response:	So what is mood anyway?
context: No such thing! You're the one who destroyed the demon.\Only because you helped me.\No, I relied on your help.\Because I believed in your strength.\You're imagining things!\Sango wouldn't fall in love with that lecher!\Why not? Look at that mood!\So what is mood anyway? response:	Sango, you came because you were worried for my safety, right?
context: Only because you helped me.\No, I relied on your help.\Because I believed in your strength.\You're imagining things!\Sango wouldn't fall in love with that lecher!\Why not? Look at that mood!\So what is mood anyway?\Sango, you came because you were worried for my safety, right? response:	Well... that's... of course, I was worried!
context: No, I relied on your help.\Because I believed in your strength.\You're imagining things!\Sango wouldn't fall in love with that lecher!\Why not? Look at that mood!\So what is mood anyway?\Sango, you came because you were worried for my safety, right?\Well... that's... of course, I was worried! response:	When it comes to women, you don't discriminate.
context: Because I believed in your strength.\You're imagining things!\Sango wouldn't fall in love with that lecher!\Why not? Look at that mood!\So what is mood anyway?\Sango, you came because you were worried for my safety, right?\Well... that's... of course, I was worried!\When it comes to women, you don't discriminate. response:	I was sure you'd get into trouble.
context: You're imagining things!\Sango wouldn't fall in love with that lecher!\Why not? Look at that mood!\So what is mood anyway?\Sango, you came because you were worried for my safety, right?\Well... that's... of course, I was worried!\When it comes to women, you don't discriminate.\I was sure you'd get into trouble. response:	Forgive me.
context: Sango wouldn't fall in love with that lecher!\Why not? Look at that mood!\So what is mood anyway?\Sango, you came because you were worried for my safety, right?\Well... that's... of course, I was worried!\When it comes to women, you don't discriminate.\I was sure you'd get into trouble.\Forgive me. response:	l just couldn't ignore a woman who might be grieving.
context: Why not? Look at that mood!\So what is mood anyway?\Sango, you came because you were worried for my safety, right?\Well... that's... of course, I was worried!\When it comes to women, you don't discriminate.\I was sure you'd get into trouble.\Forgive me.\l just couldn't ignore a woman who might be grieving. response:	I'm not jealous or anything!
context: So what is mood anyway?\Sango, you came because you were worried for my safety, right?\Well... that's... of course, I was worried!\When it comes to women, you don't discriminate.\I was sure you'd get into trouble.\Forgive me.\l just couldn't ignore a woman who might be grieving.\I'm not jealous or anything! response:	That's what you call mood. Mood!
context: Sango, you came because you were worried for my safety, right?\Well... that's... of course, I was worried!\When it comes to women, you don't discriminate.\I was sure you'd get into trouble.\Forgive me.\l just couldn't ignore a woman who might be grieving.\I'm not jealous or anything!\That's what you call mood. Mood! response:	More than any woman...
context: Well... that's... of course, I was worried!\When it comes to women, you don't discriminate.\I was sure you'd get into trouble.\Forgive me.\l just couldn't ignore a woman who might be grieving.\I'm not jealous or anything!\That's what you call mood. Mood!\More than any woman... response:	Your concern for me makes me happiest.
context: When it comes to women, you don't discriminate.\I was sure you'd get into trouble.\Forgive me.\l just couldn't ignore a woman who might be grieving.\I'm not jealous or anything!\That's what you call mood. Mood!\More than any woman...\Your concern for me makes me happiest. response:	Hey! What're you saying?!
context: I was sure you'd get into trouble.\Forgive me.\l just couldn't ignore a woman who might be grieving.\I'm not jealous or anything!\That's what you call mood. Mood!\More than any woman...\Your concern for me makes me happiest.\Hey! What're you saying?! response:	Oh no! What'll I do?!
context: Forgive me.\l just couldn't ignore a woman who might be grieving.\I'm not jealous or anything!\That's what you call mood. Mood!\More than any woman...\Your concern for me makes me happiest.\Hey! What're you saying?!\Oh no! What'll I do?! response:	Go for it, Sango!
context: l just couldn't ignore a woman who might be grieving.\I'm not jealous or anything!\That's what you call mood. Mood!\More than any woman...\Your concern for me makes me happiest.\Hey! What're you saying?!\Oh no! What'll I do?!\Go for it, Sango! response:	Sango?
context: I'm not jealous or anything!\That's what you call mood. Mood!\More than any woman...\Your concern for me makes me happiest.\Hey! What're you saying?!\Oh no! What'll I do?!\Go for it, Sango!\Sango? response:	That hand...
context: That's what you call mood. Mood!\More than any woman...\Your concern for me makes me happiest.\Hey! What're you saying?!\Oh no! What'll I do?!\Go for it, Sango!\Sango?\That hand... response:	Why not touch my shoulders... or somewhere more...
context: More than any woman...\Your concern for me makes me happiest.\Hey! What're you saying?!\Oh no! What'll I do?!\Go for it, Sango!\Sango?\That hand...\Why not touch my shoulders... or somewhere more... response:	Don't you know anything else!
context: Your concern for me makes me happiest.\Hey! What're you saying?!\Oh no! What'll I do?!\Go for it, Sango!\Sango?\That hand...\Why not touch my shoulders... or somewhere more...\Don't you know anything else! response:	Well... She seemed to be silently begging me to touch her.
context: Hey! What're you saying?!\Oh no! What'll I do?!\Go for it, Sango!\Sango?\That hand...\Why not touch my shoulders... or somewhere more...\Don't you know anything else!\Well... She seemed to be silently begging me to touch her. response:	Miroku...
context: Oh no! What'll I do?!\Go for it, Sango!\Sango?\That hand...\Why not touch my shoulders... or somewhere more...\Don't you know anything else!\Well... She seemed to be silently begging me to touch her.\Miroku... response:	Rather than women themselves,
context: Go for it, Sango!\Sango?\That hand...\Why not touch my shoulders... or somewhere more...\Don't you know anything else!\Well... She seemed to be silently begging me to touch her.\Miroku...\Rather than women themselves, response:	you need to brush up on knowing women's feelings.
context: Sango?\That hand...\Why not touch my shoulders... or somewhere more...\Don't you know anything else!\Well... She seemed to be silently begging me to touch her.\Miroku...\Rather than women themselves,\you need to brush up on knowing women's feelings. response:	See? Didn't I tell you that you're all wrong?
context: That hand...\Why not touch my shoulders... or somewhere more...\Don't you know anything else!\Well... She seemed to be silently begging me to touch her.\Miroku...\Rather than women themselves,\you need to brush up on knowing women's feelings.\See? Didn't I tell you that you're all wrong? response:	See?
context: Why not touch my shoulders... or somewhere more...\Don't you know anything else!\Well... She seemed to be silently begging me to touch her.\Miroku...\Rather than women themselves,\you need to brush up on knowing women's feelings.\See? Didn't I tell you that you're all wrong?\See? response:	Boy, such a fool!
context: Don't you know anything else!\Well... She seemed to be silently begging me to touch her.\Miroku...\Rather than women themselves,\you need to brush up on knowing women's feelings.\See? Didn't I tell you that you're all wrong?\See?\Boy, such a fool! response:	Better fix it.
context: Well... She seemed to be silently begging me to touch her.\Miroku...\Rather than women themselves,\you need to brush up on knowing women's feelings.\See? Didn't I tell you that you're all wrong?\See?\Boy, such a fool!\Better fix it. response:	What?! Going back home again?
context: Miroku...\Rather than women themselves,\you need to brush up on knowing women's feelings.\See? Didn't I tell you that you're all wrong?\See?\Boy, such a fool!\Better fix it.\What?! Going back home again? response:	Do you like tests that much, Kagome?
context: Rather than women themselves,\you need to brush up on knowing women's feelings.\See? Didn't I tell you that you're all wrong?\See?\Boy, such a fool!\Better fix it.\What?! Going back home again?\Do you like tests that much, Kagome? response:	Well, it can't be helped. I have things I need to do.
context: you need to brush up on knowing women's feelings.\See? Didn't I tell you that you're all wrong?\See?\Boy, such a fool!\Better fix it.\What?! Going back home again?\Do you like tests that much, Kagome?\Well, it can't be helped. I have things I need to do. response:	What is this creepy-looking fruit?
context: See? Didn't I tell you that you're all wrong?\See?\Boy, such a fool!\Better fix it.\What?! Going back home again?\Do you like tests that much, Kagome?\Well, it can't be helped. I have things I need to do.\What is this creepy-looking fruit? response:	A fruit with a human face from Togenkyo?!
context: See?\Boy, such a fool!\Better fix it.\What?! Going back home again?\Do you like tests that much, Kagome?\Well, it can't be helped. I have things I need to do.\What is this creepy-looking fruit?\A fruit with a human face from Togenkyo?! response:	Are you kidding?!
context: Boy, such a fool!\Better fix it.\What?! Going back home again?\Do you like tests that much, Kagome?\Well, it can't be helped. I have things I need to do.\What is this creepy-looking fruit?\A fruit with a human face from Togenkyo?!\Are you kidding?! response:	Using humans to make anti-aging potions?!
context: Better fix it.\What?! Going back home again?\Do you like tests that much, Kagome?\Well, it can't be helped. I have things I need to do.\What is this creepy-looking fruit?\A fruit with a human face from Togenkyo?!\Are you kidding?!\Using humans to make anti-aging potions?! response:	And you call yourself a sage?!
context: What?! Going back home again?\Do you like tests that much, Kagome?\Well, it can't be helped. I have things I need to do.\What is this creepy-looking fruit?\A fruit with a human face from Togenkyo?!\Are you kidding?!\Using humans to make anti-aging potions?!\And you call yourself a sage?! response:	Next on Inuyasha: Fateful Night in Togenkyo, Part l
context: Do you like tests that much, Kagome?\Well, it can't be helped. I have things I need to do.\What is this creepy-looking fruit?\A fruit with a human face from Togenkyo?!\Are you kidding?!\Using humans to make anti-aging potions?!\And you call yourself a sage?!\Next on Inuyasha: Fateful Night in Togenkyo, Part l response:	Damn! The moon is disappearing!
