context: < Ministry of Internal Affairs and Communications, Statistics Bureau response:	< Second Investigation Division
context: Ah, right.\If they find out that you were still in touch with someone who was exiled...\That's not what I mean!\Chief Kirihara, you're still the boss to me!\Sorry. I'll call you another time.\Chief.\Have you heard of Section 3?\Section 3? No... response:	Please be careful.
context: If they find out that you were still in touch with someone who was exiled...\That's not what I mean!\Chief Kirihara, you're still the boss to me!\Sorry. I'll call you another time.\Chief.\Have you heard of Section 3?\Section 3? No...\Please be careful. response:	If they ever show up, don't listen to anything they say.
context: That's not what I mean!\Chief Kirihara, you're still the boss to me!\Sorry. I'll call you another time.\Chief.\Have you heard of Section 3?\Section 3? No...\Please be careful.\If they ever show up, don't listen to anything they say. response:	What is it?
context: Chief Kirihara, you're still the boss to me!\Sorry. I'll call you another time.\Chief.\Have you heard of Section 3?\Section 3? No...\Please be careful.\If they ever show up, don't listen to anything they say.\What is it? response:	I'm on the phone!
context: Sorry. I'll call you another time.\Chief.\Have you heard of Section 3?\Section 3? No...\Please be careful.\If they ever show up, don't listen to anything they say.\What is it?\I'm on the phone! response:	Well...
context: Chief.\Have you heard of Section 3?\Section 3? No...\Please be careful.\If they ever show up, don't listen to anything they say.\What is it?\I'm on the phone!\Well... response:	Nice to meet you.
context: Have you heard of Section 3?\Section 3? No...\Please be careful.\If they ever show up, don't listen to anything they say.\What is it?\I'm on the phone!\Well...\Nice to meet you. response:	My name is Kobayashi.
context: Section 3? No...\Please be careful.\If they ever show up, don't listen to anything they say.\What is it?\I'm on the phone!\Well...\Nice to meet you.\My name is Kobayashi. response:	Ministry of Internal Affairs and Communications?
context: Please be careful.\If they ever show up, don't listen to anything they say.\What is it?\I'm on the phone!\Well...\Nice to meet you.\My name is Kobayashi.\Ministry of Internal Affairs and Communications? response:	What do you want?
context: If they ever show up, don't listen to anything they say.\What is it?\I'm on the phone!\Well...\Nice to meet you.\My name is Kobayashi.\Ministry of Internal Affairs and Communications?\What do you want? response:	Two years ago, internal information from Public Safety was leaked anonymously to the Internet,
context: What is it?\I'm on the phone!\Well...\Nice to meet you.\My name is Kobayashi.\Ministry of Internal Affairs and Communications?\What do you want?\Two years ago, internal information from Public Safety was leaked anonymously to the Internet, response:	and exposed the existence of contractors to the world.
context: I'm on the phone!\Well...\Nice to meet you.\My name is Kobayashi.\Ministry of Internal Affairs and Communications?\What do you want?\Two years ago, internal information from Public Safety was leaked anonymously to the Internet,\and exposed the existence of contractors to the world. response:	But there were no traces found of the so-called Syndicate from which the information was leaked.
context: Well...\Nice to meet you.\My name is Kobayashi.\Ministry of Internal Affairs and Communications?\What do you want?\Two years ago, internal information from Public Safety was leaked anonymously to the Internet,\and exposed the existence of contractors to the world.\But there were no traces found of the so-called Syndicate from which the information was leaked. response:	Have you heard of Section 3?
context: Nice to meet you.\My name is Kobayashi.\Ministry of Internal Affairs and Communications?\What do you want?\Two years ago, internal information from Public Safety was leaked anonymously to the Internet,\and exposed the existence of contractors to the world.\But there were no traces found of the so-called Syndicate from which the information was leaked.\Have you heard of Section 3? response:	Ministry of Internal Affairs and Communications is just a cover.
context: My name is Kobayashi.\Ministry of Internal Affairs and Communications?\What do you want?\Two years ago, internal information from Public Safety was leaked anonymously to the Internet,\and exposed the existence of contractors to the world.\But there were no traces found of the so-called Syndicate from which the information was leaked.\Have you heard of Section 3?\Ministry of Internal Affairs and Communications is just a cover. response:	Our objective is to exterminate the remnants of the Syndicate.
context: Ministry of Internal Affairs and Communications?\What do you want?\Two years ago, internal information from Public Safety was leaked anonymously to the Internet,\and exposed the existence of contractors to the world.\But there were no traces found of the so-called Syndicate from which the information was leaked.\Have you heard of Section 3?\Ministry of Internal Affairs and Communications is just a cover.\Our objective is to exterminate the remnants of the Syndicate. response:	and for that purpose we've been authorized to use any means necessary.
context: What do you want?\Two years ago, internal information from Public Safety was leaked anonymously to the Internet,\and exposed the existence of contractors to the world.\But there were no traces found of the so-called Syndicate from which the information was leaked.\Have you heard of Section 3?\Ministry of Internal Affairs and Communications is just a cover.\Our objective is to exterminate the remnants of the Syndicate.\and for that purpose we've been authorized to use any means necessary. response:	And what is it that you want from me?
context: Two years ago, internal information from Public Safety was leaked anonymously to the Internet,\and exposed the existence of contractors to the world.\But there were no traces found of the so-called Syndicate from which the information was leaked.\Have you heard of Section 3?\Ministry of Internal Affairs and Communications is just a cover.\Our objective is to exterminate the remnants of the Syndicate.\and for that purpose we've been authorized to use any means necessary.\And what is it that you want from me? response:	BK201 isn't dead.
context: and exposed the existence of contractors to the world.\But there were no traces found of the so-called Syndicate from which the information was leaked.\Have you heard of Section 3?\Ministry of Internal Affairs and Communications is just a cover.\Our objective is to exterminate the remnants of the Syndicate.\and for that purpose we've been authorized to use any means necessary.\And what is it that you want from me?\BK201 isn't dead. response:	He's still lurking in the darkness.
context: But there were no traces found of the so-called Syndicate from which the information was leaked.\Have you heard of Section 3?\Ministry of Internal Affairs and Communications is just a cover.\Our objective is to exterminate the remnants of the Syndicate.\and for that purpose we've been authorized to use any means necessary.\And what is it that you want from me?\BK201 isn't dead.\He's still lurking in the darkness. response:	You won't be able reach him from where you are now.
context: Have you heard of Section 3?\Ministry of Internal Affairs and Communications is just a cover.\Our objective is to exterminate the remnants of the Syndicate.\and for that purpose we've been authorized to use any means necessary.\And what is it that you want from me?\BK201 isn't dead.\He's still lurking in the darkness.\You won't be able reach him from where you are now. response:	Come.
context: Ministry of Internal Affairs and Communications is just a cover.\Our objective is to exterminate the remnants of the Syndicate.\and for that purpose we've been authorized to use any means necessary.\And what is it that you want from me?\BK201 isn't dead.\He's still lurking in the darkness.\You won't be able reach him from where you are now.\Come. response:	Chief! Chief!
context: Our objective is to exterminate the remnants of the Syndicate.\and for that purpose we've been authorized to use any means necessary.\And what is it that you want from me?\BK201 isn't dead.\He's still lurking in the darkness.\You won't be able reach him from where you are now.\Come.\Chief! Chief! response:	Kureteku yuubae ni senaka osarete
context: and for that purpose we've been authorized to use any means necessary.\And what is it that you want from me?\BK201 isn't dead.\He's still lurking in the darkness.\You won't be able reach him from where you are now.\Come.\Chief! Chief!\Kureteku yuubae ni senaka osarete response:	My back is pressed by the darkening glow of dusk
context: And what is it that you want from me?\BK201 isn't dead.\He's still lurking in the darkness.\You won't be able reach him from where you are now.\Come.\Chief! Chief!\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk response:	Arukidasu kage ga shimesu hou e
context: BK201 isn't dead.\He's still lurking in the darkness.\You won't be able reach him from where you are now.\Come.\Chief! Chief!\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e response:	I start walking toward where my shadow points
context: He's still lurking in the darkness.\You won't be able reach him from where you are now.\Come.\Chief! Chief!\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points response:	Taenai ikutsu mo no deai to wakare o
context: You won't be able reach him from where you are now.\Come.\Chief! Chief!\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o response:	Repeating the many, ceaseless encounters and partings
context: Come.\Chief! Chief!\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings response:	Kurikaeshi doko e mukau no ka
context: Chief! Chief!\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka response:	Where do I head to?
context: Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to? response:	Hito wa dare mo mayoinagara
context: My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara response:	For all people, while they are lost,
context: Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost, response:	tsumi to iu na no sadame o seotte
context: I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte response:	they bear the fate known as sin
context: Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin response:	Sore de mo nao ikiru imi o shiru darou
context: Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou response:	Nevertheless, I'll still learn of the meaning to live, right?
context: Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right? response:	Bokura wa sou Day by Day
context: Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day response:	That's right, Day by Day,
context: Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day, response:	ashita e tsuzuku michi no tochuu de
context: For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de response:	we're midway on the road leading to tomorrow
context: tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow response:	Now Say It Again kimi to futari no mama
context: they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama response:	Now Say It Again, though it'd be great if
context: Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if response:	irareta nara ii no ni naa...
context: Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa... response:	I could remain together with you...
context: Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you... response:	Aren't you drinking a bit too much?
context: That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you...\Aren't you drinking a bit too much? response:	That's none of your business.
context: ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you...\Aren't you drinking a bit too much?\That's none of your business. response:	Hei, what happened to Yin?
context: we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you...\Aren't you drinking a bit too much?\That's none of your business.\Hei, what happened to Yin? response:	I will...
context: Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you...\Aren't you drinking a bit too much?\That's none of your business.\Hei, what happened to Yin?\I will... response:	I will kill her.
context: Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you...\Aren't you drinking a bit too much?\That's none of your business.\Hei, what happened to Yin?\I will...\I will kill her. response:	Contractors must remunerate after using their abilities.
context: irareta nara ii no ni naa...\I could remain together with you...\Aren't you drinking a bit too much?\That's none of your business.\Hei, what happened to Yin?\I will...\I will kill her.\Contractors must remunerate after using their abilities. response:	I have become a contractor.
context: I could remain together with you...\Aren't you drinking a bit too much?\That's none of your business.\Hei, what happened to Yin?\I will...\I will kill her.\Contractors must remunerate after using their abilities.\I have become a contractor. response:	Without a destination, they drift into a city to the north.
context: Aren't you drinking a bit too much?\That's none of your business.\Hei, what happened to Yin?\I will...\I will kill her.\Contractors must remunerate after using their abilities.\I have become a contractor.\Without a destination, they drift into a city to the north. response:	The reflectionless surface of the blue lake.
context: That's none of your business.\Hei, what happened to Yin?\I will...\I will kill her.\Contractors must remunerate after using their abilities.\I have become a contractor.\Without a destination, they drift into a city to the north.\The reflectionless surface of the blue lake. response:	The echoes of the gunshot are a requiem to the lost souls.
context: Hei, what happened to Yin?\I will...\I will kill her.\Contractors must remunerate after using their abilities.\I have become a contractor.\Without a destination, they drift into a city to the north.\The reflectionless surface of the blue lake.\The echoes of the gunshot are a requiem to the lost souls. response:	A fabricated smile is a false remuneration.
context: I will...\I will kill her.\Contractors must remunerate after using their abilities.\I have become a contractor.\Without a destination, they drift into a city to the north.\The reflectionless surface of the blue lake.\The echoes of the gunshot are a requiem to the lost souls.\A fabricated smile is a false remuneration. response:	With each meeting comes a farewell.
context: I will kill her.\Contractors must remunerate after using their abilities.\I have become a contractor.\Without a destination, they drift into a city to the north.\The reflectionless surface of the blue lake.\The echoes of the gunshot are a requiem to the lost souls.\A fabricated smile is a false remuneration.\With each meeting comes a farewell. response:	There is no longer any reason to seek warmth.
context: Contractors must remunerate after using their abilities.\I have become a contractor.\Without a destination, they drift into a city to the north.\The reflectionless surface of the blue lake.\The echoes of the gunshot are a requiem to the lost souls.\A fabricated smile is a false remuneration.\With each meeting comes a farewell.\There is no longer any reason to seek warmth. response:	And yet... he smiled.
