context: On the fourth day of the Grand Magic Games, response:	in one of the battle part's tag matches,
context: But it ain't over.\This is just the beginning.\Our aim is winning, right?\Of course! We've made it this far.\Although we were off to a rotten start in last place on the first day...\We were even booed then.\And laughed at and we got frustrated.\But now we're one step away from victory! response:	Like Natsu said...
context: This is just the beginning.\Our aim is winning, right?\Of course! We've made it this far.\Although we were off to a rotten start in last place on the first day...\We were even booed then.\And laughed at and we got frustrated.\But now we're one step away from victory!\Like Natsu said... response:	We're gonna turn it around from zero!
context: Our aim is winning, right?\Of course! We've made it this far.\Although we were off to a rotten start in last place on the first day...\We were even booed then.\And laughed at and we got frustrated.\But now we're one step away from victory!\Like Natsu said...\We're gonna turn it around from zero! response:	He said to save our tears for when we win!
context: Of course! We've made it this far.\Although we were off to a rotten start in last place on the first day...\We were even booed then.\And laughed at and we got frustrated.\But now we're one step away from victory!\Like Natsu said...\We're gonna turn it around from zero!\He said to save our tears for when we win! response:	That's right! Let's climb to the top!
context: Although we were off to a rotten start in last place on the first day...\We were even booed then.\And laughed at and we got frustrated.\But now we're one step away from victory!\Like Natsu said...\We're gonna turn it around from zero!\He said to save our tears for when we win!\That's right! Let's climb to the top! response:	Give up ain't in our vocabulary!
context: We were even booed then.\And laughed at and we got frustrated.\But now we're one step away from victory!\Like Natsu said...\We're gonna turn it around from zero!\He said to save our tears for when we win!\That's right! Let's climb to the top!\Give up ain't in our vocabulary! response:	Aim for the 30 million jewel!
context: And laughed at and we got frustrated.\But now we're one step away from victory!\Like Natsu said...\We're gonna turn it around from zero!\He said to save our tears for when we win!\That's right! Let's climb to the top!\Give up ain't in our vocabulary!\Aim for the 30 million jewel! response:	That's not what it's about!
context: But now we're one step away from victory!\Like Natsu said...\We're gonna turn it around from zero!\He said to save our tears for when we win!\That's right! Let's climb to the top!\Give up ain't in our vocabulary!\Aim for the 30 million jewel!\That's not what it's about! response:	Let's aim to be the number one guild in Fiore!
context: Like Natsu said...\We're gonna turn it around from zero!\He said to save our tears for when we win!\That's right! Let's climb to the top!\Give up ain't in our vocabulary!\Aim for the 30 million jewel!\That's not what it's about!\Let's aim to be the number one guild in Fiore! response:	Yeah!
context: We're gonna turn it around from zero!\He said to save our tears for when we win!\That's right! Let's climb to the top!\Give up ain't in our vocabulary!\Aim for the 30 million jewel!\That's not what it's about!\Let's aim to be the number one guild in Fiore!\Yeah! response:	A lot's happened since I joined the guild,
context: He said to save our tears for when we win!\That's right! Let's climb to the top!\Give up ain't in our vocabulary!\Aim for the 30 million jewel!\That's not what it's about!\Let's aim to be the number one guild in Fiore!\Yeah!\A lot's happened since I joined the guild, response:	but I'm so glad I did!
context: That's right! Let's climb to the top!\Give up ain't in our vocabulary!\Aim for the 30 million jewel!\That's not what it's about!\Let's aim to be the number one guild in Fiore!\Yeah!\A lot's happened since I joined the guild,\but I'm so glad I did! response:	This is what Fairy Tail is about!
context: Give up ain't in our vocabulary!\Aim for the 30 million jewel!\That's not what it's about!\Let's aim to be the number one guild in Fiore!\Yeah!\A lot's happened since I joined the guild,\but I'm so glad I did!\This is what Fairy Tail is about! response:	Dammit...
context: Aim for the 30 million jewel!\That's not what it's about!\Let's aim to be the number one guild in Fiore!\Yeah!\A lot's happened since I joined the guild,\but I'm so glad I did!\This is what Fairy Tail is about!\Dammit... response:	Salamander... You're dead...
context: That's not what it's about!\Let's aim to be the number one guild in Fiore!\Yeah!\A lot's happened since I joined the guild,\but I'm so glad I did!\This is what Fairy Tail is about!\Dammit...\Salamander... You're dead... response:	Anyway, where the hell am I? Under the arena?
context: Let's aim to be the number one guild in Fiore!\Yeah!\A lot's happened since I joined the guild,\but I'm so glad I did!\This is what Fairy Tail is about!\Dammit...\Salamander... You're dead...\Anyway, where the hell am I? Under the arena? response:	Wha...
context: Yeah!\A lot's happened since I joined the guild,\but I'm so glad I did!\This is what Fairy Tail is about!\Dammit...\Salamander... You're dead...\Anyway, where the hell am I? Under the arena?\Wha... response:	What the hell is this?!
context: A lot's happened since I joined the guild,\but I'm so glad I did!\This is what Fairy Tail is about!\Dammit...\Salamander... You're dead...\Anyway, where the hell am I? Under the arena?\Wha...\What the hell is this?! response:	A dragon... graveyard?!
context: but I'm so glad I did!\This is what Fairy Tail is about!\Dammit...\Salamander... You're dead...\Anyway, where the hell am I? Under the arena?\Wha...\What the hell is this?!\A dragon... graveyard?! response:	Jellal, what's happening?
context: This is what Fairy Tail is about!\Dammit...\Salamander... You're dead...\Anyway, where the hell am I? Under the arena?\Wha...\What the hell is this?!\A dragon... graveyard?!\Jellal, what's happening? response:	Don't tell me he got away again?
context: Dammit...\Salamander... You're dead...\Anyway, where the hell am I? Under the arena?\Wha...\What the hell is this?!\A dragon... graveyard?!\Jellal, what's happening?\Don't tell me he got away again? response:	No. I put some distance between us, and I'm on his trail.
context: Salamander... You're dead...\Anyway, where the hell am I? Under the arena?\Wha...\What the hell is this?!\A dragon... graveyard?!\Jellal, what's happening?\Don't tell me he got away again?\No. I put some distance between us, and I'm on his trail. response:	I'm thinking I'll make my move where there aren't any other people around.
context: Anyway, where the hell am I? Under the arena?\Wha...\What the hell is this?!\A dragon... graveyard?!\Jellal, what's happening?\Don't tell me he got away again?\No. I put some distance between us, and I'm on his trail.\I'm thinking I'll make my move where there aren't any other people around. response:	Roger.
context: Wha...\What the hell is this?!\A dragon... graveyard?!\Jellal, what's happening?\Don't tell me he got away again?\No. I put some distance between us, and I'm on his trail.\I'm thinking I'll make my move where there aren't any other people around.\Roger. response:	You're not getting away this time...
context: What the hell is this?!\A dragon... graveyard?!\Jellal, what's happening?\Don't tell me he got away again?\No. I put some distance between us, and I'm on his trail.\I'm thinking I'll make my move where there aren't any other people around.\Roger.\You're not getting away this time... response:	You possess magic similar to Zeref's...
context: A dragon... graveyard?!\Jellal, what's happening?\Don't tell me he got away again?\No. I put some distance between us, and I'm on his trail.\I'm thinking I'll make my move where there aren't any other people around.\Roger.\You're not getting away this time...\You possess magic similar to Zeref's... response:	Who the hell are you?!
context: Jellal, what's happening?\Don't tell me he got away again?\No. I put some distance between us, and I'm on his trail.\I'm thinking I'll make my move where there aren't any other people around.\Roger.\You're not getting away this time...\You possess magic similar to Zeref's...\Who the hell are you?! response:	So Sabertooth's been defeated...
context: Don't tell me he got away again?\No. I put some distance between us, and I'm on his trail.\I'm thinking I'll make my move where there aren't any other people around.\Roger.\You're not getting away this time...\You possess magic similar to Zeref's...\Who the hell are you?!\So Sabertooth's been defeated... response:	You must have mixed feelings, Sergeant Yukino.
context: No. I put some distance between us, and I'm on his trail.\I'm thinking I'll make my move where there aren't any other people around.\Roger.\You're not getting away this time...\You possess magic similar to Zeref's...\Who the hell are you?!\So Sabertooth's been defeated...\You must have mixed feelings, Sergeant Yukino. response:	No. I no longer feel any attachment to the guild.
context: I'm thinking I'll make my move where there aren't any other people around.\Roger.\You're not getting away this time...\You possess magic similar to Zeref's...\Who the hell are you?!\So Sabertooth's been defeated...\You must have mixed feelings, Sergeant Yukino.\No. I no longer feel any attachment to the guild. response:	That aside, I just can't get used to being addressed as Sergeant.
context: Roger.\You're not getting away this time...\You possess magic similar to Zeref's...\Who the hell are you?!\So Sabertooth's been defeated...\You must have mixed feelings, Sergeant Yukino.\No. I no longer feel any attachment to the guild.\That aside, I just can't get used to being addressed as Sergeant. response:	My apologies.
context: You're not getting away this time...\You possess magic similar to Zeref's...\Who the hell are you?!\So Sabertooth's been defeated...\You must have mixed feelings, Sergeant Yukino.\No. I no longer feel any attachment to the guild.\That aside, I just can't get used to being addressed as Sergeant.\My apologies. response:	Participating in the Eclipse Project...
context: You possess magic similar to Zeref's...\Who the hell are you?!\So Sabertooth's been defeated...\You must have mixed feelings, Sergeant Yukino.\No. I no longer feel any attachment to the guild.\That aside, I just can't get used to being addressed as Sergeant.\My apologies.\Participating in the Eclipse Project... response:	The Eclipse Project...
context: Who the hell are you?!\So Sabertooth's been defeated...\You must have mixed feelings, Sergeant Yukino.\No. I no longer feel any attachment to the guild.\That aside, I just can't get used to being addressed as Sergeant.\My apologies.\Participating in the Eclipse Project...\The Eclipse Project... response:	If my power may be of use, then I'm prepared to wield it to the utmost.
context: So Sabertooth's been defeated...\You must have mixed feelings, Sergeant Yukino.\No. I no longer feel any attachment to the guild.\That aside, I just can't get used to being addressed as Sergeant.\My apologies.\Participating in the Eclipse Project...\The Eclipse Project...\If my power may be of use, then I'm prepared to wield it to the utmost. response:	For the sake of Arcadios-sama, too, who invited me to join.
context: You must have mixed feelings, Sergeant Yukino.\No. I no longer feel any attachment to the guild.\That aside, I just can't get used to being addressed as Sergeant.\My apologies.\Participating in the Eclipse Project...\The Eclipse Project...\If my power may be of use, then I'm prepared to wield it to the utmost.\For the sake of Arcadios-sama, too, who invited me to join. response:	I suppose I should refer to him as Colonel.
context: No. I no longer feel any attachment to the guild.\That aside, I just can't get used to being addressed as Sergeant.\My apologies.\Participating in the Eclipse Project...\The Eclipse Project...\If my power may be of use, then I'm prepared to wield it to the utmost.\For the sake of Arcadios-sama, too, who invited me to join.\I suppose I should refer to him as Colonel. response:	That's all right.
context: That aside, I just can't get used to being addressed as Sergeant.\My apologies.\Participating in the Eclipse Project...\The Eclipse Project...\If my power may be of use, then I'm prepared to wield it to the utmost.\For the sake of Arcadios-sama, too, who invited me to join.\I suppose I should refer to him as Colonel.\That's all right. response:	I call him Captain myself.
context: My apologies.\Participating in the Eclipse Project...\The Eclipse Project...\If my power may be of use, then I'm prepared to wield it to the utmost.\For the sake of Arcadios-sama, too, who invited me to join.\I suppose I should refer to him as Colonel.\That's all right.\I call him Captain myself. response:	And his old friends call him Dio.
context: Participating in the Eclipse Project...\The Eclipse Project...\If my power may be of use, then I'm prepared to wield it to the utmost.\For the sake of Arcadios-sama, too, who invited me to join.\I suppose I should refer to him as Colonel.\That's all right.\I call him Captain myself.\And his old friends call him Dio. response:	Really?
context: The Eclipse Project...\If my power may be of use, then I'm prepared to wield it to the utmost.\For the sake of Arcadios-sama, too, who invited me to join.\I suppose I should refer to him as Colonel.\That's all right.\I call him Captain myself.\And his old friends call him Dio.\Really? response:	But he's socially awkward, isn't he?
context: If my power may be of use, then I'm prepared to wield it to the utmost.\For the sake of Arcadios-sama, too, who invited me to join.\I suppose I should refer to him as Colonel.\That's all right.\I call him Captain myself.\And his old friends call him Dio.\Really?\But he's socially awkward, isn't he? response:	Even though he's trying to save the world,
context: For the sake of Arcadios-sama, too, who invited me to join.\I suppose I should refer to him as Colonel.\That's all right.\I call him Captain myself.\And his old friends call him Dio.\Really?\But he's socially awkward, isn't he?\Even though he's trying to save the world, response:	no one is aware of it...
context: I suppose I should refer to him as Colonel.\That's all right.\I call him Captain myself.\And his old friends call him Dio.\Really?\But he's socially awkward, isn't he?\Even though he's trying to save the world,\no one is aware of it... response:	Is something wrong, Carla?
context: That's all right.\I call him Captain myself.\And his old friends call him Dio.\Really?\But he's socially awkward, isn't he?\Even though he's trying to save the world,\no one is aware of it...\Is something wrong, Carla? response:	No...
context: I call him Captain myself.\And his old friends call him Dio.\Really?\But he's socially awkward, isn't he?\Even though he's trying to save the world,\no one is aware of it...\Is something wrong, Carla?\No... response:	Again, that premonition of the castle in ruins...
context: And his old friends call him Dio.\Really?\But he's socially awkward, isn't he?\Even though he's trying to save the world,\no one is aware of it...\Is something wrong, Carla?\No...\Again, that premonition of the castle in ruins... response:	Lu-chan, he did it, huh?!
context: Really?\But he's socially awkward, isn't he?\Even though he's trying to save the world,\no one is aware of it...\Is something wrong, Carla?\No...\Again, that premonition of the castle in ruins...\Lu-chan, he did it, huh?! response:	Levy-chan!
context: But he's socially awkward, isn't he?\Even though he's trying to save the world,\no one is aware of it...\Is something wrong, Carla?\No...\Again, that premonition of the castle in ruins...\Lu-chan, he did it, huh?!\Levy-chan! response:	How are you two doing?
context: Even though he's trying to save the world,\no one is aware of it...\Is something wrong, Carla?\No...\Again, that premonition of the castle in ruins...\Lu-chan, he did it, huh?!\Levy-chan!\How are you two doing? response:	We brought you a present!
context: no one is aware of it...\Is something wrong, Carla?\No...\Again, that premonition of the castle in ruins...\Lu-chan, he did it, huh?!\Levy-chan!\How are you two doing?\We brought you a present! response:	If we keep it up, we might actually win this thing!
context: Is something wrong, Carla?\No...\Again, that premonition of the castle in ruins...\Lu-chan, he did it, huh?!\Levy-chan!\How are you two doing?\We brought you a present!\If we keep it up, we might actually win this thing! response:	Naturally! There's no way those members can lose!
context: No...\Again, that premonition of the castle in ruins...\Lu-chan, he did it, huh?!\Levy-chan!\How are you two doing?\We brought you a present!\If we keep it up, we might actually win this thing!\Naturally! There's no way those members can lose! response:	Yeah, right?! After seeing today's battle...
context: Again, that premonition of the castle in ruins...\Lu-chan, he did it, huh?!\Levy-chan!\How are you two doing?\We brought you a present!\If we keep it up, we might actually win this thing!\Naturally! There's no way those members can lose!\Yeah, right?! After seeing today's battle... response:	By the way, have you seen Gajeel?
context: Lu-chan, he did it, huh?!\Levy-chan!\How are you two doing?\We brought you a present!\If we keep it up, we might actually win this thing!\Naturally! There's no way those members can lose!\Yeah, right?! After seeing today's battle...\By the way, have you seen Gajeel? response:	Huh? Now that you mention it...
context: Levy-chan!\How are you two doing?\We brought you a present!\If we keep it up, we might actually win this thing!\Naturally! There's no way those members can lose!\Yeah, right?! After seeing today's battle...\By the way, have you seen Gajeel?\Huh? Now that you mention it... response:	He hasn't come back yet?
context: How are you two doing?\We brought you a present!\If we keep it up, we might actually win this thing!\Naturally! There's no way those members can lose!\Yeah, right?! After seeing today's battle...\By the way, have you seen Gajeel?\Huh? Now that you mention it...\He hasn't come back yet? response:	I bet he's off chowin' down on iron somewhere.
context: We brought you a present!\If we keep it up, we might actually win this thing!\Naturally! There's no way those members can lose!\Yeah, right?! After seeing today's battle...\By the way, have you seen Gajeel?\Huh? Now that you mention it...\He hasn't come back yet?\I bet he's off chowin' down on iron somewhere. response:	He'll be back sooner or later.
context: If we keep it up, we might actually win this thing!\Naturally! There's no way those members can lose!\Yeah, right?! After seeing today's battle...\By the way, have you seen Gajeel?\Huh? Now that you mention it...\He hasn't come back yet?\I bet he's off chowin' down on iron somewhere.\He'll be back sooner or later. response:	Yeah.
context: Naturally! There's no way those members can lose!\Yeah, right?! After seeing today's battle...\By the way, have you seen Gajeel?\Huh? Now that you mention it...\He hasn't come back yet?\I bet he's off chowin' down on iron somewhere.\He'll be back sooner or later.\Yeah. response:	That day, we believed in victory.
context: Yeah, right?! After seeing today's battle...\By the way, have you seen Gajeel?\Huh? Now that you mention it...\He hasn't come back yet?\I bet he's off chowin' down on iron somewhere.\He'll be back sooner or later.\Yeah.\That day, we believed in victory. response:	The final day was a really hard-fought battle.
context: By the way, have you seen Gajeel?\Huh? Now that you mention it...\He hasn't come back yet?\I bet he's off chowin' down on iron somewhere.\He'll be back sooner or later.\Yeah.\That day, we believed in victory.\The final day was a really hard-fought battle. response:	Do you remember it, Lu-chan?
context: Huh? Now that you mention it...\He hasn't come back yet?\I bet he's off chowin' down on iron somewhere.\He'll be back sooner or later.\Yeah.\That day, we believed in victory.\The final day was a really hard-fought battle.\Do you remember it, Lu-chan? response:	And then...
context: He hasn't come back yet?\I bet he's off chowin' down on iron somewhere.\He'll be back sooner or later.\Yeah.\That day, we believed in victory.\The final day was a really hard-fought battle.\Do you remember it, Lu-chan?\And then... response:	We lost... to fate.
context: I bet he's off chowin' down on iron somewhere.\He'll be back sooner or later.\Yeah.\That day, we believed in victory.\The final day was a really hard-fought battle.\Do you remember it, Lu-chan?\And then...\We lost... to fate. response:	That person died...
context: He'll be back sooner or later.\Yeah.\That day, we believed in victory.\The final day was a really hard-fought battle.\Do you remember it, Lu-chan?\And then...\We lost... to fate.\That person died... response:	That one, too... Even though I loved...
context: Yeah.\That day, we believed in victory.\The final day was a really hard-fought battle.\Do you remember it, Lu-chan?\And then...\We lost... to fate.\That person died...\That one, too... Even though I loved... response:	I can't express in words...
context: That day, we believed in victory.\The final day was a really hard-fought battle.\Do you remember it, Lu-chan?\And then...\We lost... to fate.\That person died...\That one, too... Even though I loved...\I can't express in words... response:	Lu-chan...
context: The final day was a really hard-fought battle.\Do you remember it, Lu-chan?\And then...\We lost... to fate.\That person died...\That one, too... Even though I loved...\I can't express in words...\Lu-chan... response:	I can't take it anymore...
context: Do you remember it, Lu-chan?\And then...\We lost... to fate.\That person died...\That one, too... Even though I loved...\I can't express in words...\Lu-chan...\I can't take it anymore... response:	Somebody, help me!
context: And then...\We lost... to fate.\That person died...\That one, too... Even though I loved...\I can't express in words...\Lu-chan...\I can't take it anymore...\Somebody, help me! response:	Halt!
context: We lost... to fate.\That person died...\That one, too... Even though I loved...\I can't express in words...\Lu-chan...\I can't take it anymore...\Somebody, help me!\Halt! response:	I'm revealing my identity. Now you reveal yours.
context: That person died...\That one, too... Even though I loved...\I can't express in words...\Lu-chan...\I can't take it anymore...\Somebody, help me!\Halt!\I'm revealing my identity. Now you reveal yours. response:	A woman...
context: That one, too... Even though I loved...\I can't express in words...\Lu-chan...\I can't take it anymore...\Somebody, help me!\Halt!\I'm revealing my identity. Now you reveal yours.\A woman... response:	It can't be...
context: I can't express in words...\Lu-chan...\I can't take it anymore...\Somebody, help me!\Halt!\I'm revealing my identity. Now you reveal yours.\A woman...\It can't be... response:	Thank you, everyone!
context: Lu-chan...\I can't take it anymore...\Somebody, help me!\Halt!\I'm revealing my identity. Now you reveal yours.\A woman...\It can't be...\Thank you, everyone! response:	Let's meet again!
