context: Acnologia? response:	Did Zeref really say that?
context: And once you know your weakness, you can become stronger as well as kinder.\We know our weakness.\So, what'll we do next?\We'll get stronger!\We'll stand up and fight!\Maybe we can't help being scared alone.\But we're all right here, together.\We've got our friends close by! response:	Now, there's nothing to fear!
context: We know our weakness.\So, what'll we do next?\We'll get stronger!\We'll stand up and fight!\Maybe we can't help being scared alone.\But we're all right here, together.\We've got our friends close by!\Now, there's nothing to fear! response:	Because we're not alone!
context: So, what'll we do next?\We'll get stronger!\We'll stand up and fight!\Maybe we can't help being scared alone.\But we're all right here, together.\We've got our friends close by!\Now, there's nothing to fear!\Because we're not alone! response:	Your vanity is praiseworthy.
context: We'll get stronger!\We'll stand up and fight!\Maybe we can't help being scared alone.\But we're all right here, together.\We've got our friends close by!\Now, there's nothing to fear!\Because we're not alone!\Your vanity is praiseworthy. response:	But that ends now, as well.
context: We'll stand up and fight!\Maybe we can't help being scared alone.\But we're all right here, together.\We've got our friends close by!\Now, there's nothing to fear!\Because we're not alone!\Your vanity is praiseworthy.\But that ends now, as well. response:	As long as our friends are with us...
context: Maybe we can't help being scared alone.\But we're all right here, together.\We've got our friends close by!\Now, there's nothing to fear!\Because we're not alone!\Your vanity is praiseworthy.\But that ends now, as well.\As long as our friends are with us... response:	That's right, Natsu.
context: But we're all right here, together.\We've got our friends close by!\Now, there's nothing to fear!\Because we're not alone!\Your vanity is praiseworthy.\But that ends now, as well.\As long as our friends are with us...\That's right, Natsu. response:	Even if we don't have any magic power left...
context: We've got our friends close by!\Now, there's nothing to fear!\Because we're not alone!\Your vanity is praiseworthy.\But that ends now, as well.\As long as our friends are with us...\That's right, Natsu.\Even if we don't have any magic power left... response:	That's what it means to be Fairy Tail!
context: Now, there's nothing to fear!\Because we're not alone!\Your vanity is praiseworthy.\But that ends now, as well.\As long as our friends are with us...\That's right, Natsu.\Even if we don't have any magic power left...\That's what it means to be Fairy Tail! response:	Here we go!
context: Because we're not alone!\Your vanity is praiseworthy.\But that ends now, as well.\As long as our friends are with us...\That's right, Natsu.\Even if we don't have any magic power left...\That's what it means to be Fairy Tail!\Here we go! response:	What can you do without any magic power left?
context: Your vanity is praiseworthy.\But that ends now, as well.\As long as our friends are with us...\That's right, Natsu.\Even if we don't have any magic power left...\That's what it means to be Fairy Tail!\Here we go!\What can you do without any magic power left? response:	Dance, Dirt Devils!
context: But that ends now, as well.\As long as our friends are with us...\That's right, Natsu.\Even if we don't have any magic power left...\That's what it means to be Fairy Tail!\Here we go!\What can you do without any magic power left?\Dance, Dirt Devils! response:	Send everything to the pits of darkness!
context: As long as our friends are with us...\That's right, Natsu.\Even if we don't have any magic power left...\That's what it means to be Fairy Tail!\Here we go!\What can you do without any magic power left?\Dance, Dirt Devils!\Send everything to the pits of darkness! response:	Fairy Tail, your sun has set!
context: That's right, Natsu.\Even if we don't have any magic power left...\That's what it means to be Fairy Tail!\Here we go!\What can you do without any magic power left?\Dance, Dirt Devils!\Send everything to the pits of darkness!\Fairy Tail, your sun has set! response:	Natsu, it's the last spurt!
context: Even if we don't have any magic power left...\That's what it means to be Fairy Tail!\Here we go!\What can you do without any magic power left?\Dance, Dirt Devils!\Send everything to the pits of darkness!\Fairy Tail, your sun has set!\Natsu, it's the last spurt! response:	Yeah! I'll make'em pay for picking a fight with Fairy Tail!
context: That's what it means to be Fairy Tail!\Here we go!\What can you do without any magic power left?\Dance, Dirt Devils!\Send everything to the pits of darkness!\Fairy Tail, your sun has set!\Natsu, it's the last spurt!\Yeah! I'll make'em pay for picking a fight with Fairy Tail! response:	Aye! And you have a plan for that, right?
context: Here we go!\What can you do without any magic power left?\Dance, Dirt Devils!\Send everything to the pits of darkness!\Fairy Tail, your sun has set!\Natsu, it's the last spurt!\Yeah! I'll make'em pay for picking a fight with Fairy Tail!\Aye! And you have a plan for that, right? response:	Plan? I've got the same plan I always have!
context: What can you do without any magic power left?\Dance, Dirt Devils!\Send everything to the pits of darkness!\Fairy Tail, your sun has set!\Natsu, it's the last spurt!\Yeah! I'll make'em pay for picking a fight with Fairy Tail!\Aye! And you have a plan for that, right?\Plan? I've got the same plan I always have! response:	Don't tell me...
context: Dance, Dirt Devils!\Send everything to the pits of darkness!\Fairy Tail, your sun has set!\Natsu, it's the last spurt!\Yeah! I'll make'em pay for picking a fight with Fairy Tail!\Aye! And you have a plan for that, right?\Plan? I've got the same plan I always have!\Don't tell me... response:	Yeah! My plan is, of course, CHARGE!
context: Send everything to the pits of darkness!\Fairy Tail, your sun has set!\Natsu, it's the last spurt!\Yeah! I'll make'em pay for picking a fight with Fairy Tail!\Aye! And you have a plan for that, right?\Plan? I've got the same plan I always have!\Don't tell me...\Yeah! My plan is, of course, CHARGE! response:	Yeah, that's what I figured...
context: Fairy Tail, your sun has set!\Natsu, it's the last spurt!\Yeah! I'll make'em pay for picking a fight with Fairy Tail!\Aye! And you have a plan for that, right?\Plan? I've got the same plan I always have!\Don't tell me...\Yeah! My plan is, of course, CHARGE!\Yeah, that's what I figured... response:	Next time: Dawn on Tenroujima
context: Natsu, it's the last spurt!\Yeah! I'll make'em pay for picking a fight with Fairy Tail!\Aye! And you have a plan for that, right?\Plan? I've got the same plan I always have!\Don't tell me...\Yeah! My plan is, of course, CHARGE!\Yeah, that's what I figured...\Next time: Dawn on Tenroujima response:	I'm all fired up!
context: Yeah! I'll make'em pay for picking a fight with Fairy Tail!\Aye! And you have a plan for that, right?\Plan? I've got the same plan I always have!\Don't tell me...\Yeah! My plan is, of course, CHARGE!\Yeah, that's what I figured...\Next time: Dawn on Tenroujima\I'm all fired up! response:	'Cause I'm the Salamander, get it?
context: Aye! And you have a plan for that, right?\Plan? I've got the same plan I always have!\Don't tell me...\Yeah! My plan is, of course, CHARGE!\Yeah, that's what I figured...\Next time: Dawn on Tenroujima\I'm all fired up!\'Cause I'm the Salamander, get it? response:	Way to kill the mood.
context: Plan? I've got the same plan I always have!\Don't tell me...\Yeah! My plan is, of course, CHARGE!\Yeah, that's what I figured...\Next time: Dawn on Tenroujima\I'm all fired up!\'Cause I'm the Salamander, get it?\Way to kill the mood. response:	Ah, my bad.
