context: Kami-sama Also Returns to Life! Piccolo is Resurrected By Super Shen Long. response:	He- He's huge! His form is different than the one on Earth as well.
context: All right. Hold on, Gohan!\I still await thy final wish. Thou may speak it now.\What are you waiting for!? Tell him now! Make me immortal!\Do you want to be killed by Freeza?\Krillin-san, Freeza is almost here!\Our situation is desperate.\Dende! Let him have his wish!\Vegeta may be incredibly bad, but at least he's better than Freeza. I hate to have to do this, response:	but right now, there's no other way to get us out of this pinch.
context: I still await thy final wish. Thou may speak it now.\What are you waiting for!? Tell him now! Make me immortal!\Do you want to be killed by Freeza?\Krillin-san, Freeza is almost here!\Our situation is desperate.\Dende! Let him have his wish!\Vegeta may be incredibly bad, but at least he's better than Freeza. I hate to have to do this,\but right now, there's no other way to get us out of this pinch. response:	Very well.
context: What are you waiting for!? Tell him now! Make me immortal!\Do you want to be killed by Freeza?\Krillin-san, Freeza is almost here!\Our situation is desperate.\Dende! Let him have his wish!\Vegeta may be incredibly bad, but at least he's better than Freeza. I hate to have to do this,\but right now, there's no other way to get us out of this pinch.\Very well. response:	All right, that's better.
context: Do you want to be killed by Freeza?\Krillin-san, Freeza is almost here!\Our situation is desperate.\Dende! Let him have his wish!\Vegeta may be incredibly bad, but at least he's better than Freeza. I hate to have to do this,\but right now, there's no other way to get us out of this pinch.\Very well.\All right, that's better. response:	So, do it now.
context: Krillin-san, Freeza is almost here!\Our situation is desperate.\Dende! Let him have his wish!\Vegeta may be incredibly bad, but at least he's better than Freeza. I hate to have to do this,\but right now, there's no other way to get us out of this pinch.\Very well.\All right, that's better.\So, do it now. response:	Okay.
context: Our situation is desperate.\Dende! Let him have his wish!\Vegeta may be incredibly bad, but at least he's better than Freeza. I hate to have to do this,\but right now, there's no other way to get us out of this pinch.\Very well.\All right, that's better.\So, do it now.\Okay. response:	Stop messing around!
context: Dende! Let him have his wish!\Vegeta may be incredibly bad, but at least he's better than Freeza. I hate to have to do this,\but right now, there's no other way to get us out of this pinch.\Very well.\All right, that's better.\So, do it now.\Okay.\Stop messing around! response:	This is good! This will fix it so that Freeza won't be able to kill me.
context: Vegeta may be incredibly bad, but at least he's better than Freeza. I hate to have to do this,\but right now, there's no other way to get us out of this pinch.\Very well.\All right, that's better.\So, do it now.\Okay.\Stop messing around!\This is good! This will fix it so that Freeza won't be able to kill me. response:	I just have to keep after him, and even if I can't do it now, eventually I will defeat him!
context: but right now, there's no other way to get us out of this pinch.\Very well.\All right, that's better.\So, do it now.\Okay.\Stop messing around!\This is good! This will fix it so that Freeza won't be able to kill me.\I just have to keep after him, and even if I can't do it now, eventually I will defeat him! response:	Very soon now, the time will come when I, Vegeta-sama, will rule the universe!
context: Very well.\All right, that's better.\So, do it now.\Okay.\Stop messing around!\This is good! This will fix it so that Freeza won't be able to kill me.\I just have to keep after him, and even if I can't do it now, eventually I will defeat him!\Very soon now, the time will come when I, Vegeta-sama, will rule the universe! response:	What?
context: All right, that's better.\So, do it now.\Okay.\Stop messing around!\This is good! This will fix it so that Freeza won't be able to kill me.\I just have to keep after him, and even if I can't do it now, eventually I will defeat him!\Very soon now, the time will come when I, Vegeta-sama, will rule the universe!\What? response:	What's happened? Why did the dragon disappear, and the sky become light again?
context: So, do it now.\Okay.\Stop messing around!\This is good! This will fix it so that Freeza won't be able to kill me.\I just have to keep after him, and even if I can't do it now, eventually I will defeat him!\Very soon now, the time will come when I, Vegeta-sama, will rule the universe!\What?\What's happened? Why did the dragon disappear, and the sky become light again? response:	Why have the Dragonballs turned into those stones?
context: Okay.\Stop messing around!\This is good! This will fix it so that Freeza won't be able to kill me.\I just have to keep after him, and even if I can't do it now, eventually I will defeat him!\Very soon now, the time will come when I, Vegeta-sama, will rule the universe!\What?\What's happened? Why did the dragon disappear, and the sky become light again?\Why have the Dragonballs turned into those stones? response:	The Senior Elder-sama has...
context: Stop messing around!\This is good! This will fix it so that Freeza won't be able to kill me.\I just have to keep after him, and even if I can't do it now, eventually I will defeat him!\Very soon now, the time will come when I, Vegeta-sama, will rule the universe!\What?\What's happened? Why did the dragon disappear, and the sky become light again?\Why have the Dragonballs turned into those stones?\The Senior Elder-sama has... response:	Dende...
context: This is good! This will fix it so that Freeza won't be able to kill me.\I just have to keep after him, and even if I can't do it now, eventually I will defeat him!\Very soon now, the time will come when I, Vegeta-sama, will rule the universe!\What?\What's happened? Why did the dragon disappear, and the sky become light again?\Why have the Dragonballs turned into those stones?\The Senior Elder-sama has...\Dende... response:	The Senior Elder-sama has...
context: I just have to keep after him, and even if I can't do it now, eventually I will defeat him!\Very soon now, the time will come when I, Vegeta-sama, will rule the universe!\What?\What's happened? Why did the dragon disappear, and the sky become light again?\Why have the Dragonballs turned into those stones?\The Senior Elder-sama has...\Dende...\The Senior Elder-sama has... response:	passed away.
context: Very soon now, the time will come when I, Vegeta-sama, will rule the universe!\What?\What's happened? Why did the dragon disappear, and the sky become light again?\Why have the Dragonballs turned into those stones?\The Senior Elder-sama has...\Dende...\The Senior Elder-sama has...\passed away. response:	Are you sure?
context: What?\What's happened? Why did the dragon disappear, and the sky become light again?\Why have the Dragonballs turned into those stones?\The Senior Elder-sama has...\Dende...\The Senior Elder-sama has...\passed away.\Are you sure? response:	The life of the Senior Elder-sama, who created these Dragonballs, has come to an end.
context: What's happened? Why did the dragon disappear, and the sky become light again?\Why have the Dragonballs turned into those stones?\The Senior Elder-sama has...\Dende...\The Senior Elder-sama has...\passed away.\Are you sure?\The life of the Senior Elder-sama, who created these Dragonballs, has come to an end. response:	What do you mean, you little snot!?
context: Why have the Dragonballs turned into those stones?\The Senior Elder-sama has...\Dende...\The Senior Elder-sama has...\passed away.\Are you sure?\The life of the Senior Elder-sama, who created these Dragonballs, has come to an end.\What do you mean, you little snot!? response:	What about my... what am I supposed to do about my immortality!?
context: The Senior Elder-sama has...\Dende...\The Senior Elder-sama has...\passed away.\Are you sure?\The life of the Senior Elder-sama, who created these Dragonballs, has come to an end.\What do you mean, you little snot!?\What about my... what am I supposed to do about my immortality!? response:	What do you want me to say?
context: Dende...\The Senior Elder-sama has...\passed away.\Are you sure?\The life of the Senior Elder-sama, who created these Dragonballs, has come to an end.\What do you mean, you little snot!?\What about my... what am I supposed to do about my immortality!?\What do you want me to say? response:	You rotten punks!
context: The Senior Elder-sama has...\passed away.\Are you sure?\The life of the Senior Elder-sama, who created these Dragonballs, has come to an end.\What do you mean, you little snot!?\What about my... what am I supposed to do about my immortality!?\What do you want me to say?\You rotten punks! response:	If you hadn't double-crossed me, none of this would have happened!
context: passed away.\Are you sure?\The life of the Senior Elder-sama, who created these Dragonballs, has come to an end.\What do you mean, you little snot!?\What about my... what am I supposed to do about my immortality!?\What do you want me to say?\You rotten punks!\If you hadn't double-crossed me, none of this would have happened! response:	You're going to pay! You dirty, rotten fools!
context: Are you sure?\The life of the Senior Elder-sama, who created these Dragonballs, has come to an end.\What do you mean, you little snot!?\What about my... what am I supposed to do about my immortality!?\What do you want me to say?\You rotten punks!\If you hadn't double-crossed me, none of this would have happened!\You're going to pay! You dirty, rotten fools! response:	Freeza!
context: The life of the Senior Elder-sama, who created these Dragonballs, has come to an end.\What do you mean, you little snot!?\What about my... what am I supposed to do about my immortality!?\What do you want me to say?\You rotten punks!\If you hadn't double-crossed me, none of this would have happened!\You're going to pay! You dirty, rotten fools!\Freeza! response:	You've really done it now, haven't you, gentlemen?
context: What do you mean, you little snot!?\What about my... what am I supposed to do about my immortality!?\What do you want me to say?\You rotten punks!\If you hadn't double-crossed me, none of this would have happened!\You're going to pay! You dirty, rotten fools!\Freeza!\You've really done it now, haven't you, gentlemen? response:	You have done an outstanding job of shattering my dreams of eternal youth.
context: What about my... what am I supposed to do about my immortality!?\What do you want me to say?\You rotten punks!\If you hadn't double-crossed me, none of this would have happened!\You're going to pay! You dirty, rotten fools!\Freeza!\You've really done it now, haven't you, gentlemen?\You have done an outstanding job of shattering my dreams of eternal youth. response:	I certainly trust that you fools are now prepared to pay the price.
context: What do you want me to say?\You rotten punks!\If you hadn't double-crossed me, none of this would have happened!\You're going to pay! You dirty, rotten fools!\Freeza!\You've really done it now, haven't you, gentlemen?\You have done an outstanding job of shattering my dreams of eternal youth.\I certainly trust that you fools are now prepared to pay the price. response:	It's the worst possible situation... Freeza has at last arrived!
context: You rotten punks!\If you hadn't double-crossed me, none of this would have happened!\You're going to pay! You dirty, rotten fools!\Freeza!\You've really done it now, haven't you, gentlemen?\You have done an outstanding job of shattering my dreams of eternal youth.\I certainly trust that you fools are now prepared to pay the price.\It's the worst possible situation... Freeza has at last arrived! response:	Freeza is burning with anger. In this great crisis, what will happen with Piccolo? What will happen with Goku?
