context: during my forlorn years in this world response:	Saitama Hundred Poets Tournament
context: Wh-Who do I...\Which match do I watch?!\Who do I root for?!\What should I do as their captain?!\Retro-kun!\Y-You were in this tournament.\How did you do?\I didn't do anything! response:	I ran into Mashima in the first round
context: Which match do I watch?!\Who do I root for?!\What should I do as their captain?!\Retro-kun!\Y-You were in this tournament.\How did you do?\I didn't do anything!\I ran into Mashima in the first round response:	and lost by three cards...
context: Who do I root for?!\What should I do as their captain?!\Retro-kun!\Y-You were in this tournament.\How did you do?\I didn't do anything!\I ran into Mashima in the first round\and lost by three cards... response:	I had all the momentum!
context: What should I do as their captain?!\Retro-kun!\Y-You were in this tournament.\How did you do?\I didn't do anything!\I ran into Mashima in the first round\and lost by three cards...\I had all the momentum! response:	This is what it means to win the battle, but lose the war!
context: Retro-kun!\Y-You were in this tournament.\How did you do?\I didn't do anything!\I ran into Mashima in the first round\and lost by three cards...\I had all the momentum!\This is what it means to win the battle, but lose the war! response:	What about the other Hokuo members?
context: Y-You were in this tournament.\How did you do?\I didn't do anything!\I ran into Mashima in the first round\and lost by three cards...\I had all the momentum!\This is what it means to win the battle, but lose the war!\What about the other Hokuo members? response:	Amakasu-senpai and the others already left.
context: How did you do?\I didn't do anything!\I ran into Mashima in the first round\and lost by three cards...\I had all the momentum!\This is what it means to win the battle, but lose the war!\What about the other Hokuo members?\Amakasu-senpai and the others already left. response:	I lost, so I'm leaving.
context: I didn't do anything!\I ran into Mashima in the first round\and lost by three cards...\I had all the momentum!\This is what it means to win the battle, but lose the war!\What about the other Hokuo members?\Amakasu-senpai and the others already left.\I lost, so I'm leaving. response:	I'm going to take whatever I can from the winners!
context: I ran into Mashima in the first round\and lost by three cards...\I had all the momentum!\This is what it means to win the battle, but lose the war!\What about the other Hokuo members?\Amakasu-senpai and the others already left.\I lost, so I'm leaving.\I'm going to take whatever I can from the winners! response:	Next month is the East Master qualifier.
context: and lost by three cards...\I had all the momentum!\This is what it means to win the battle, but lose the war!\What about the other Hokuo members?\Amakasu-senpai and the others already left.\I lost, so I'm leaving.\I'm going to take whatever I can from the winners!\Next month is the East Master qualifier. response:	This may be my last chance to advance in rank.
context: I had all the momentum!\This is what it means to win the battle, but lose the war!\What about the other Hokuo members?\Amakasu-senpai and the others already left.\I lost, so I'm leaving.\I'm going to take whatever I can from the winners!\Next month is the East Master qualifier.\This may be my last chance to advance in rank. response:	I have to win here!
context: This is what it means to win the battle, but lose the war!\What about the other Hokuo members?\Amakasu-senpai and the others already left.\I lost, so I'm leaving.\I'm going to take whatever I can from the winners!\Next month is the East Master qualifier.\This may be my last chance to advance in rank.\I have to win here! response:	I bet that's what Mashima's thinking right now.
context: What about the other Hokuo members?\Amakasu-senpai and the others already left.\I lost, so I'm leaving.\I'm going to take whatever I can from the winners!\Next month is the East Master qualifier.\This may be my last chance to advance in rank.\I have to win here!\I bet that's what Mashima's thinking right now. response:	I'm not too interested in the Master final,
context: Amakasu-senpai and the others already left.\I lost, so I'm leaving.\I'm going to take whatever I can from the winners!\Next month is the East Master qualifier.\This may be my last chance to advance in rank.\I have to win here!\I bet that's what Mashima's thinking right now.\I'm not too interested in the Master final, response:	but I can't let Mashima beat me!
context: I lost, so I'm leaving.\I'm going to take whatever I can from the winners!\Next month is the East Master qualifier.\This may be my last chance to advance in rank.\I have to win here!\I bet that's what Mashima's thinking right now.\I'm not too interested in the Master final,\but I can't let Mashima beat me! response:	I admire Kana-chan.
context: I'm going to take whatever I can from the winners!\Next month is the East Master qualifier.\This may be my last chance to advance in rank.\I have to win here!\I bet that's what Mashima's thinking right now.\I'm not too interested in the Master final,\but I can't let Mashima beat me!\I admire Kana-chan. response:	Her elegant playing style, her tenacity...
context: Next month is the East Master qualifier.\This may be my last chance to advance in rank.\I have to win here!\I bet that's what Mashima's thinking right now.\I'm not too interested in the Master final,\but I can't let Mashima beat me!\I admire Kana-chan.\Her elegant playing style, her tenacity... response:	and she has the stats to show for it.
context: This may be my last chance to advance in rank.\I have to win here!\I bet that's what Mashima's thinking right now.\I'm not too interested in the Master final,\but I can't let Mashima beat me!\I admire Kana-chan.\Her elegant playing style, her tenacity...\and she has the stats to show for it. response:	She averages 0.6 faults a match.
context: I have to win here!\I bet that's what Mashima's thinking right now.\I'm not too interested in the Master final,\but I can't let Mashima beat me!\I admire Kana-chan.\Her elegant playing style, her tenacity...\and she has the stats to show for it.\She averages 0.6 faults a match. response:	During practice, she comes back to win 74 of the time.
context: I bet that's what Mashima's thinking right now.\I'm not too interested in the Master final,\but I can't let Mashima beat me!\I admire Kana-chan.\Her elegant playing style, her tenacity...\and she has the stats to show for it.\She averages 0.6 faults a match.\During practice, she comes back to win 74 of the time. response:	Due to her size,
context: I'm not too interested in the Master final,\but I can't let Mashima beat me!\I admire Kana-chan.\Her elegant playing style, her tenacity...\and she has the stats to show for it.\She averages 0.6 faults a match.\During practice, she comes back to win 74 of the time.\Due to her size, response:	she rarely goes on the attack.
context: but I can't let Mashima beat me!\I admire Kana-chan.\Her elegant playing style, her tenacity...\and she has the stats to show for it.\She averages 0.6 faults a match.\During practice, she comes back to win 74 of the time.\Due to her size,\she rarely goes on the attack. response:	Her personality makes her more defense-minded.
context: I admire Kana-chan.\Her elegant playing style, her tenacity...\and she has the stats to show for it.\She averages 0.6 faults a match.\During practice, she comes back to win 74 of the time.\Due to her size,\she rarely goes on the attack.\Her personality makes her more defense-minded. response:	Gulp.
context: Her elegant playing style, her tenacity...\and she has the stats to show for it.\She averages 0.6 faults a match.\During practice, she comes back to win 74 of the time.\Due to her size,\she rarely goes on the attack.\Her personality makes her more defense-minded.\Gulp. response:	I know Kana-chan!
context: and she has the stats to show for it.\She averages 0.6 faults a match.\During practice, she comes back to win 74 of the time.\Due to her size,\she rarely goes on the attack.\Her personality makes her more defense-minded.\Gulp.\I know Kana-chan! response:	I can beat her!
context: She averages 0.6 faults a match.\During practice, she comes back to win 74 of the time.\Due to her size,\she rarely goes on the attack.\Her personality makes her more defense-minded.\Gulp.\I know Kana-chan!\I can beat her! response:	Naniwa Bay, now the flower blooms, but for winter
context: During practice, she comes back to win 74 of the time.\Due to her size,\she rarely goes on the attack.\Her personality makes her more defense-minded.\Gulp.\I know Kana-chan!\I can beat her!\Naniwa Bay, now the flower blooms, but for winter response:	Everybody's playing against
context: Due to her size,\she rarely goes on the attack.\Her personality makes her more defense-minded.\Gulp.\I know Kana-chan!\I can beat her!\Naniwa Bay, now the flower blooms, but for winter\Everybody's playing against response:	each other for a chance to advance in rank.
context: she rarely goes on the attack.\Her personality makes her more defense-minded.\Gulp.\I know Kana-chan!\I can beat her!\Naniwa Bay, now the flower blooms, but for winter\Everybody's playing against\each other for a chance to advance in rank. response:	Here comes spring, now the flower blooms
context: Her personality makes her more defense-minded.\Gulp.\I know Kana-chan!\I can beat her!\Naniwa Bay, now the flower blooms, but for winter\Everybody's playing against\each other for a chance to advance in rank.\Here comes spring, now the flower blooms response:	This will never happen again.
context: Gulp.\I know Kana-chan!\I can beat her!\Naniwa Bay, now the flower blooms, but for winter\Everybody's playing against\each other for a chance to advance in rank.\Here comes spring, now the flower blooms\This will never happen again. response:	I have to serve as their witness!
context: I know Kana-chan!\I can beat her!\Naniwa Bay, now the flower blooms, but for winter\Everybody's playing against\each other for a chance to advance in rank.\Here comes spring, now the flower blooms\This will never happen again.\I have to serve as their witness! response:	Here comes spring, now the flower blooms
context: I can beat her!\Naniwa Bay, now the flower blooms, but for winter\Everybody's playing against\each other for a chance to advance in rank.\Here comes spring, now the flower blooms\This will never happen again.\I have to serve as their witness!\Here comes spring, now the flower blooms response:	The emotions experienced...
context: Naniwa Bay, now the flower blooms, but for winter\Everybody's playing against\each other for a chance to advance in rank.\Here comes spring, now the flower blooms\This will never happen again.\I have to serve as their witness!\Here comes spring, now the flower blooms\The emotions experienced... response:	Huh? What?
context: Everybody's playing against\each other for a chance to advance in rank.\Here comes spring, now the flower blooms\This will never happen again.\I have to serve as their witness!\Here comes spring, now the flower blooms\The emotions experienced...\Huh? What? response:	My life means nothing...
context: each other for a chance to advance in rank.\Here comes spring, now the flower blooms\This will never happen again.\I have to serve as their witness!\Here comes spring, now the flower blooms\The emotions experienced...\Huh? What?\My life means nothing... response:	What? What?!
context: Here comes spring, now the flower blooms\This will never happen again.\I have to serve as their witness!\Here comes spring, now the flower blooms\The emotions experienced...\Huh? What?\My life means nothing...\What? What?! response:	This is impossible!
context: This will never happen again.\I have to serve as their witness!\Here comes spring, now the flower blooms\The emotions experienced...\Huh? What?\My life means nothing...\What? What?!\This is impossible! response:	I have no idea what's going on in either match!
context: I have to serve as their witness!\Here comes spring, now the flower blooms\The emotions experienced...\Huh? What?\My life means nothing...\What? What?!\This is impossible!\I have no idea what's going on in either match! response:	Who got that card?! Who got it?!
context: Here comes spring, now the flower blooms\The emotions experienced...\Huh? What?\My life means nothing...\What? What?!\This is impossible!\I have no idea what's going on in either match!\Who got that card?! Who got it?! response:	Can you calm down?
context: The emotions experienced...\Huh? What?\My life means nothing...\What? What?!\This is impossible!\I have no idea what's going on in either match!\Who got that card?! Who got it?!\Can you calm down? response:	I want to watch them play!
context: Huh? What?\My life means nothing...\What? What?!\This is impossible!\I have no idea what's going on in either match!\Who got that card?! Who got it?!\Can you calm down?\I want to watch them play! response:	Huh? Kana-chan...
context: My life means nothing...\What? What?!\This is impossible!\I have no idea what's going on in either match!\Who got that card?! Who got it?!\Can you calm down?\I want to watch them play!\Huh? Kana-chan... response:	She isn't sitting back the way she does in practice.
context: What? What?!\This is impossible!\I have no idea what's going on in either match!\Who got that card?! Who got it?!\Can you calm down?\I want to watch them play!\Huh? Kana-chan...\She isn't sitting back the way she does in practice. response:	Has her exercise paid off?
context: This is impossible!\I have no idea what's going on in either match!\Who got that card?! Who got it?!\Can you calm down?\I want to watch them play!\Huh? Kana-chan...\She isn't sitting back the way she does in practice.\Has her exercise paid off? response:	I will not cast myself into Naniwa Bay,
context: I have no idea what's going on in either match!\Who got that card?! Who got it?!\Can you calm down?\I want to watch them play!\Huh? Kana-chan...\She isn't sitting back the way she does in practice.\Has her exercise paid off?\I will not cast myself into Naniwa Bay, response:	But she just started...
context: Who got that card?! Who got it?!\Can you calm down?\I want to watch them play!\Huh? Kana-chan...\She isn't sitting back the way she does in practice.\Has her exercise paid off?\I will not cast myself into Naniwa Bay,\But she just started... response:	Is it because of the hakama?!
context: Can you calm down?\I want to watch them play!\Huh? Kana-chan...\She isn't sitting back the way she does in practice.\Has her exercise paid off?\I will not cast myself into Naniwa Bay,\But she just started...\Is it because of the hakama?! response:	but I will risk my life to see you again
context: I want to watch them play!\Huh? Kana-chan...\She isn't sitting back the way she does in practice.\Has her exercise paid off?\I will not cast myself into Naniwa Bay,\But she just started...\Is it because of the hakama?!\but I will risk my life to see you again response:	As my love first came to realization,
context: Huh? Kana-chan...\She isn't sitting back the way she does in practice.\Has her exercise paid off?\I will not cast myself into Naniwa Bay,\But she just started...\Is it because of the hakama?!\but I will risk my life to see you again\As my love first came to realization, response:	Excuse me.
context: She isn't sitting back the way she does in practice.\Has her exercise paid off?\I will not cast myself into Naniwa Bay,\But she just started...\Is it because of the hakama?!\but I will risk my life to see you again\As my love first came to realization,\Excuse me. response:	Oh!
context: Has her exercise paid off?\I will not cast myself into Naniwa Bay,\But she just started...\Is it because of the hakama?!\but I will risk my life to see you again\As my love first came to realization,\Excuse me.\Oh! response:	Now that I think about it,
context: I will not cast myself into Naniwa Bay,\But she just started...\Is it because of the hakama?!\but I will risk my life to see you again\As my love first came to realization,\Excuse me.\Oh!\Now that I think about it, response:	this is the first time I've watched Kana-chan
context: But she just started...\Is it because of the hakama?!\but I will risk my life to see you again\As my love first came to realization,\Excuse me.\Oh!\Now that I think about it,\this is the first time I've watched Kana-chan response:	play in a hakama.
context: Is it because of the hakama?!\but I will risk my life to see you again\As my love first came to realization,\Excuse me.\Oh!\Now that I think about it,\this is the first time I've watched Kana-chan\play in a hakama. response:	When wearing a kimono,
context: but I will risk my life to see you again\As my love first came to realization,\Excuse me.\Oh!\Now that I think about it,\this is the first time I've watched Kana-chan\play in a hakama.\When wearing a kimono, response:	you must maintain proper posture
context: As my love first came to realization,\Excuse me.\Oh!\Now that I think about it,\this is the first time I've watched Kana-chan\play in a hakama.\When wearing a kimono,\you must maintain proper posture response:	and suck your stomach in,
context: Excuse me.\Oh!\Now that I think about it,\this is the first time I've watched Kana-chan\play in a hakama.\When wearing a kimono,\you must maintain proper posture\and suck your stomach in, response:	as though you have a board running down your spine.
context: Oh!\Now that I think about it,\this is the first time I've watched Kana-chan\play in a hakama.\When wearing a kimono,\you must maintain proper posture\and suck your stomach in,\as though you have a board running down your spine. response:	My obi helps to support me.
context: Now that I think about it,\this is the first time I've watched Kana-chan\play in a hakama.\When wearing a kimono,\you must maintain proper posture\and suck your stomach in,\as though you have a board running down your spine.\My obi helps to support me. response:	All alone, I step outside my house seeking comfort,
context: this is the first time I've watched Kana-chan\play in a hakama.\When wearing a kimono,\you must maintain proper posture\and suck your stomach in,\as though you have a board running down your spine.\My obi helps to support me.\All alone, I step outside my house seeking comfort, response:	It helps to strengthen my center!
context: play in a hakama.\When wearing a kimono,\you must maintain proper posture\and suck your stomach in,\as though you have a board running down your spine.\My obi helps to support me.\All alone, I step outside my house seeking comfort,\It helps to strengthen my center! response:	How lovely.
context: When wearing a kimono,\you must maintain proper posture\and suck your stomach in,\as though you have a board running down your spine.\My obi helps to support me.\All alone, I step outside my house seeking comfort,\It helps to strengthen my center!\How lovely. response:	Kimonos are so beautiful.
context: you must maintain proper posture\and suck your stomach in,\as though you have a board running down your spine.\My obi helps to support me.\All alone, I step outside my house seeking comfort,\It helps to strengthen my center!\How lovely.\Kimonos are so beautiful. response:	She's so pretty.
context: and suck your stomach in,\as though you have a board running down your spine.\My obi helps to support me.\All alone, I step outside my house seeking comfort,\It helps to strengthen my center!\How lovely.\Kimonos are so beautiful.\She's so pretty. response:	Chihaya-chan is very beautiful,
context: as though you have a board running down your spine.\My obi helps to support me.\All alone, I step outside my house seeking comfort,\It helps to strengthen my center!\How lovely.\Kimonos are so beautiful.\She's so pretty.\Chihaya-chan is very beautiful, response:	but she's beautiful no matter what she wears.
context: My obi helps to support me.\All alone, I step outside my house seeking comfort,\It helps to strengthen my center!\How lovely.\Kimonos are so beautiful.\She's so pretty.\Chihaya-chan is very beautiful,\but she's beautiful no matter what she wears. response:	Kanade isn't necessarily beautiful,
context: All alone, I step outside my house seeking comfort,\It helps to strengthen my center!\How lovely.\Kimonos are so beautiful.\She's so pretty.\Chihaya-chan is very beautiful,\but she's beautiful no matter what she wears.\Kanade isn't necessarily beautiful, response:	but she knows how to use a kimono.
context: It helps to strengthen my center!\How lovely.\Kimonos are so beautiful.\She's so pretty.\Chihaya-chan is very beautiful,\but she's beautiful no matter what she wears.\Kanade isn't necessarily beautiful,\but she knows how to use a kimono. response:	She is the true poster girl for Oe Traditional Clothing!
context: How lovely.\Kimonos are so beautiful.\She's so pretty.\Chihaya-chan is very beautiful,\but she's beautiful no matter what she wears.\Kanade isn't necessarily beautiful,\but she knows how to use a kimono.\She is the true poster girl for Oe Traditional Clothing! response:	Kana-chan attacks better when she's wearing a hakama.
context: Kimonos are so beautiful.\She's so pretty.\Chihaya-chan is very beautiful,\but she's beautiful no matter what she wears.\Kanade isn't necessarily beautiful,\but she knows how to use a kimono.\She is the true poster girl for Oe Traditional Clothing!\Kana-chan attacks better when she's wearing a hakama. response:	She can play 100 when she's wearing a hakama.
context: She's so pretty.\Chihaya-chan is very beautiful,\but she's beautiful no matter what she wears.\Kanade isn't necessarily beautiful,\but she knows how to use a kimono.\She is the true poster girl for Oe Traditional Clothing!\Kana-chan attacks better when she's wearing a hakama.\She can play 100 when she's wearing a hakama. response:	I practice with her every day,
context: Chihaya-chan is very beautiful,\but she's beautiful no matter what she wears.\Kanade isn't necessarily beautiful,\but she knows how to use a kimono.\She is the true poster girl for Oe Traditional Clothing!\Kana-chan attacks better when she's wearing a hakama.\She can play 100 when she's wearing a hakama.\I practice with her every day, response:	and I can still learn new things
context: but she's beautiful no matter what she wears.\Kanade isn't necessarily beautiful,\but she knows how to use a kimono.\She is the true poster girl for Oe Traditional Clothing!\Kana-chan attacks better when she's wearing a hakama.\She can play 100 when she's wearing a hakama.\I practice with her every day,\and I can still learn new things response:	about her in a real match.
context: Kanade isn't necessarily beautiful,\but she knows how to use a kimono.\She is the true poster girl for Oe Traditional Clothing!\Kana-chan attacks better when she's wearing a hakama.\She can play 100 when she's wearing a hakama.\I practice with her every day,\and I can still learn new things\about her in a real match. response:	Still, the normal Kana-chan is there.
context: but she knows how to use a kimono.\She is the true poster girl for Oe Traditional Clothing!\Kana-chan attacks better when she's wearing a hakama.\She can play 100 when she's wearing a hakama.\I practice with her every day,\and I can still learn new things\about her in a real match.\Still, the normal Kana-chan is there. response:	There is one card that I can always take against Kana-chan.
context: She is the true poster girl for Oe Traditional Clothing!\Kana-chan attacks better when she's wearing a hakama.\She can play 100 when she's wearing a hakama.\I practice with her every day,\and I can still learn new things\about her in a real match.\Still, the normal Kana-chan is there.\There is one card that I can always take against Kana-chan. response:	While it brings me no joy...
context: Kana-chan attacks better when she's wearing a hakama.\She can play 100 when she's wearing a hakama.\I practice with her every day,\and I can still learn new things\about her in a real match.\Still, the normal Kana-chan is there.\There is one card that I can always take against Kana-chan.\While it brings me no joy... response:	It's quite simple.
context: She can play 100 when she's wearing a hakama.\I practice with her every day,\and I can still learn new things\about her in a real match.\Still, the normal Kana-chan is there.\There is one card that I can always take against Kana-chan.\While it brings me no joy...\It's quite simple. response:	Ayase cares about the Impassionate card,
context: I practice with her every day,\and I can still learn new things\about her in a real match.\Still, the normal Kana-chan is there.\There is one card that I can always take against Kana-chan.\While it brings me no joy...\It's quite simple.\Ayase cares about the Impassionate card, response:	and similarly, Kana-chan believes that the
context: and I can still learn new things\about her in a real match.\Still, the normal Kana-chan is there.\There is one card that I can always take against Kana-chan.\While it brings me no joy...\It's quite simple.\Ayase cares about the Impassionate card,\and similarly, Kana-chan believes that the response:	While it brings card belongs to her,
context: about her in a real match.\Still, the normal Kana-chan is there.\There is one card that I can always take against Kana-chan.\While it brings me no joy...\It's quite simple.\Ayase cares about the Impassionate card,\and similarly, Kana-chan believes that the\While it brings card belongs to her, response:	and I have yet to visit Amanohashidate or read my mother's letters
context: Still, the normal Kana-chan is there.\There is one card that I can always take against Kana-chan.\While it brings me no joy...\It's quite simple.\Ayase cares about the Impassionate card,\and similarly, Kana-chan believes that the\While it brings card belongs to her,\and I have yet to visit Amanohashidate or read my mother's letters response:	because her name is Oe.
context: There is one card that I can always take against Kana-chan.\While it brings me no joy...\It's quite simple.\Ayase cares about the Impassionate card,\and similarly, Kana-chan believes that the\While it brings card belongs to her,\and I have yet to visit Amanohashidate or read my mother's letters\because her name is Oe. response:	Plus...
context: While it brings me no joy...\It's quite simple.\Ayase cares about the Impassionate card,\and similarly, Kana-chan believes that the\While it brings card belongs to her,\and I have yet to visit Amanohashidate or read my mother's letters\because her name is Oe.\Plus... response:	Whenever While it brings is read,
context: It's quite simple.\Ayase cares about the Impassionate card,\and similarly, Kana-chan believes that the\While it brings card belongs to her,\and I have yet to visit Amanohashidate or read my mother's letters\because her name is Oe.\Plus...\Whenever While it brings is read, response:	her attention is drawn to The storm will.
context: Ayase cares about the Impassionate card,\and similarly, Kana-chan believes that the\While it brings card belongs to her,\and I have yet to visit Amanohashidate or read my mother's letters\because her name is Oe.\Plus...\Whenever While it brings is read,\her attention is drawn to The storm will. response:	The autumn paddy shacks...
context: and similarly, Kana-chan believes that the\While it brings card belongs to her,\and I have yet to visit Amanohashidate or read my mother's letters\because her name is Oe.\Plus...\Whenever While it brings is read,\her attention is drawn to The storm will.\The autumn paddy shacks... response:	Which delays her response to the other cards.
context: While it brings card belongs to her,\and I have yet to visit Amanohashidate or read my mother's letters\because her name is Oe.\Plus...\Whenever While it brings is read,\her attention is drawn to The storm will.\The autumn paddy shacks...\Which delays her response to the other cards. response:	Because Lady Izumi Shikibu and Koshikibu no Naishi
context: and I have yet to visit Amanohashidate or read my mother's letters\because her name is Oe.\Plus...\Whenever While it brings is read,\her attention is drawn to The storm will.\The autumn paddy shacks...\Which delays her response to the other cards.\Because Lady Izumi Shikibu and Koshikibu no Naishi response:	Daughter
context: because her name is Oe.\Plus...\Whenever While it brings is read,\her attention is drawn to The storm will.\The autumn paddy shacks...\Which delays her response to the other cards.\Because Lady Izumi Shikibu and Koshikibu no Naishi\Daughter response:	Koshikibu no Naishi While it brings me no joy, the road beyond Mount Oe is too long and I have yet to visit Amanohashidate or read my mother's letters
context: Plus...\Whenever While it brings is read,\her attention is drawn to The storm will.\The autumn paddy shacks...\Which delays her response to the other cards.\Because Lady Izumi Shikibu and Koshikibu no Naishi\Daughter\Koshikibu no Naishi While it brings me no joy, the road beyond Mount Oe is too long and I have yet to visit Amanohashidate or read my mother's letters response:	Mother
context: Whenever While it brings is read,\her attention is drawn to The storm will.\The autumn paddy shacks...\Which delays her response to the other cards.\Because Lady Izumi Shikibu and Koshikibu no Naishi\Daughter\Koshikibu no Naishi While it brings me no joy, the road beyond Mount Oe is too long and I have yet to visit Amanohashidate or read my mother's letters\Mother response:	Lady Izumi Shikibu The storm will soon carry me to the afterlife, so I wish for a memory of you to take with me
context: her attention is drawn to The storm will.\The autumn paddy shacks...\Which delays her response to the other cards.\Because Lady Izumi Shikibu and Koshikibu no Naishi\Daughter\Koshikibu no Naishi While it brings me no joy, the road beyond Mount Oe is too long and I have yet to visit Amanohashidate or read my mother's letters\Mother\Lady Izumi Shikibu The storm will soon carry me to the afterlife, so I wish for a memory of you to take with me response:	were mother and daughter.
context: The autumn paddy shacks...\Which delays her response to the other cards.\Because Lady Izumi Shikibu and Koshikibu no Naishi\Daughter\Koshikibu no Naishi While it brings me no joy, the road beyond Mount Oe is too long and I have yet to visit Amanohashidate or read my mother's letters\Mother\Lady Izumi Shikibu The storm will soon carry me to the afterlife, so I wish for a memory of you to take with me\were mother and daughter. response:	Desktomu-kun is really calm.
context: Which delays her response to the other cards.\Because Lady Izumi Shikibu and Koshikibu no Naishi\Daughter\Koshikibu no Naishi While it brings me no joy, the road beyond Mount Oe is too long and I have yet to visit Amanohashidate or read my mother's letters\Mother\Lady Izumi Shikibu The storm will soon carry me to the afterlife, so I wish for a memory of you to take with me\were mother and daughter.\Desktomu-kun is really calm. response:	He understands Kana-chan's karuta.
context: Because Lady Izumi Shikibu and Koshikibu no Naishi\Daughter\Koshikibu no Naishi While it brings me no joy, the road beyond Mount Oe is too long and I have yet to visit Amanohashidate or read my mother's letters\Mother\Lady Izumi Shikibu The storm will soon carry me to the afterlife, so I wish for a memory of you to take with me\were mother and daughter.\Desktomu-kun is really calm.\He understands Kana-chan's karuta. response:	Kana-chan doesn't recognize cards just by syllables
context: Daughter\Koshikibu no Naishi While it brings me no joy, the road beyond Mount Oe is too long and I have yet to visit Amanohashidate or read my mother's letters\Mother\Lady Izumi Shikibu The storm will soon carry me to the afterlife, so I wish for a memory of you to take with me\were mother and daughter.\Desktomu-kun is really calm.\He understands Kana-chan's karuta.\Kana-chan doesn't recognize cards just by syllables response:	the way other players do.
context: Koshikibu no Naishi While it brings me no joy, the road beyond Mount Oe is too long and I have yet to visit Amanohashidate or read my mother's letters\Mother\Lady Izumi Shikibu The storm will soon carry me to the afterlife, so I wish for a memory of you to take with me\were mother and daughter.\Desktomu-kun is really calm.\He understands Kana-chan's karuta.\Kana-chan doesn't recognize cards just by syllables\the way other players do. response:	Ariwara no Narihira Impassionate gods have never seen the red that is the Tatsuta River
context: Mother\Lady Izumi Shikibu The storm will soon carry me to the afterlife, so I wish for a memory of you to take with me\were mother and daughter.\Desktomu-kun is really calm.\He understands Kana-chan's karuta.\Kana-chan doesn't recognize cards just by syllables\the way other players do.\Ariwara no Narihira Impassionate gods have never seen the red that is the Tatsuta River response:	Brothers
context: Lady Izumi Shikibu The storm will soon carry me to the afterlife, so I wish for a memory of you to take with me\were mother and daughter.\Desktomu-kun is really calm.\He understands Kana-chan's karuta.\Kana-chan doesn't recognize cards just by syllables\the way other players do.\Ariwara no Narihira Impassionate gods have never seen the red that is the Tatsuta River\Brothers response:	Ariwara no Yukihira Note that though we may be apart, if I am to hear that you pine for me as the Inaba mountain pines, I shall return to you
context: were mother and daughter.\Desktomu-kun is really calm.\He understands Kana-chan's karuta.\Kana-chan doesn't recognize cards just by syllables\the way other players do.\Ariwara no Narihira Impassionate gods have never seen the red that is the Tatsuta River\Brothers\Ariwara no Yukihira Note that though we may be apart, if I am to hear that you pine for me as the Inaba mountain pines, I shall return to you response:	When Ariwara no Narihira's card is read,
context: Desktomu-kun is really calm.\He understands Kana-chan's karuta.\Kana-chan doesn't recognize cards just by syllables\the way other players do.\Ariwara no Narihira Impassionate gods have never seen the red that is the Tatsuta River\Brothers\Ariwara no Yukihira Note that though we may be apart, if I am to hear that you pine for me as the Inaba mountain pines, I shall return to you\When Ariwara no Narihira's card is read, response:	she looks for his brother, Yukihira.
context: He understands Kana-chan's karuta.\Kana-chan doesn't recognize cards just by syllables\the way other players do.\Ariwara no Narihira Impassionate gods have never seen the red that is the Tatsuta River\Brothers\Ariwara no Yukihira Note that though we may be apart, if I am to hear that you pine for me as the Inaba mountain pines, I shall return to you\When Ariwara no Narihira's card is read,\she looks for his brother, Yukihira. response:	Lady Sei Shonagon Said night was young when the false rooster's crow but the gates of Afusaka remained shut
context: Kana-chan doesn't recognize cards just by syllables\the way other players do.\Ariwara no Narihira Impassionate gods have never seen the red that is the Tatsuta River\Brothers\Ariwara no Yukihira Note that though we may be apart, if I am to hear that you pine for me as the Inaba mountain pines, I shall return to you\When Ariwara no Narihira's card is read,\she looks for his brother, Yukihira.\Lady Sei Shonagon Said night was young when the false rooster's crow but the gates of Afusaka remained shut response:	Father and Daughter
context: the way other players do.\Ariwara no Narihira Impassionate gods have never seen the red that is the Tatsuta River\Brothers\Ariwara no Yukihira Note that though we may be apart, if I am to hear that you pine for me as the Inaba mountain pines, I shall return to you\When Ariwara no Narihira's card is read,\she looks for his brother, Yukihira.\Lady Sei Shonagon Said night was young when the false rooster's crow but the gates of Afusaka remained shut\Father and Daughter response:	When Lady Sei Shonagon is read,
context: Ariwara no Narihira Impassionate gods have never seen the red that is the Tatsuta River\Brothers\Ariwara no Yukihira Note that though we may be apart, if I am to hear that you pine for me as the Inaba mountain pines, I shall return to you\When Ariwara no Narihira's card is read,\she looks for his brother, Yukihira.\Lady Sei Shonagon Said night was young when the false rooster's crow but the gates of Afusaka remained shut\Father and Daughter\When Lady Sei Shonagon is read, response:	Kiyohara no Motosuke Impassioned vows exchanged over many a tear shed to last until the day waves crash over Mount Suenomatsu
context: Brothers\Ariwara no Yukihira Note that though we may be apart, if I am to hear that you pine for me as the Inaba mountain pines, I shall return to you\When Ariwara no Narihira's card is read,\she looks for his brother, Yukihira.\Lady Sei Shonagon Said night was young when the false rooster's crow but the gates of Afusaka remained shut\Father and Daughter\When Lady Sei Shonagon is read,\Kiyohara no Motosuke Impassioned vows exchanged over many a tear shed to last until the day waves crash over Mount Suenomatsu response:	Rivals
context: Ariwara no Yukihira Note that though we may be apart, if I am to hear that you pine for me as the Inaba mountain pines, I shall return to you\When Ariwara no Narihira's card is read,\she looks for his brother, Yukihira.\Lady Sei Shonagon Said night was young when the false rooster's crow but the gates of Afusaka remained shut\Father and Daughter\When Lady Sei Shonagon is read,\Kiyohara no Motosuke Impassioned vows exchanged over many a tear shed to last until the day waves crash over Mount Suenomatsu\Rivals response:	she looks for Kiyohara no Motosuke,
