context: I've always hoped that you could forget what happened 300 years ago. response:	Now that you've fallen for this high god...
context: Address me as High God according to the rules.\High God.\You're dismissed.\Yes.\I never thought that Ye Hua was such a hopeless romantic.\He must have loved Riceball's mother deeply.\If I guessed it right\Riceball's mother must have been forced by Su Jin to jump off Zhuxian Terrace? response:	Judging by Ye Hua's temper, why didn't he split her in half?
context: High God.\You're dismissed.\Yes.\I never thought that Ye Hua was such a hopeless romantic.\He must have loved Riceball's mother deeply.\If I guessed it right\Riceball's mother must have been forced by Su Jin to jump off Zhuxian Terrace?\Judging by Ye Hua's temper, why didn't he split her in half? response:	High God, you got it right.
context: You're dismissed.\Yes.\I never thought that Ye Hua was such a hopeless romantic.\He must have loved Riceball's mother deeply.\If I guessed it right\Riceball's mother must have been forced by Su Jin to jump off Zhuxian Terrace?\Judging by Ye Hua's temper, why didn't he split her in half?\High God, you got it right. response:	He did it once.
context: Yes.\I never thought that Ye Hua was such a hopeless romantic.\He must have loved Riceball's mother deeply.\If I guessed it right\Riceball's mother must have been forced by Su Jin to jump off Zhuxian Terrace?\Judging by Ye Hua's temper, why didn't he split her in half?\High God, you got it right.\He did it once. response:	What did you say?
context: I never thought that Ye Hua was such a hopeless romantic.\He must have loved Riceball's mother deeply.\If I guessed it right\Riceball's mother must have been forced by Su Jin to jump off Zhuxian Terrace?\Judging by Ye Hua's temper, why didn't he split her in half?\High God, you got it right.\He did it once.\What did you say? response:	When Crown Prince came out of his coma
context: He must have loved Riceball's mother deeply.\If I guessed it right\Riceball's mother must have been forced by Su Jin to jump off Zhuxian Terrace?\Judging by Ye Hua's temper, why didn't he split her in half?\High God, you got it right.\He did it once.\What did you say?\When Crown Prince came out of his coma response:	he was frail and in great despair.
context: If I guessed it right\Riceball's mother must have been forced by Su Jin to jump off Zhuxian Terrace?\Judging by Ye Hua's temper, why didn't he split her in half?\High God, you got it right.\He did it once.\What did you say?\When Crown Prince came out of his coma\he was frail and in great despair. response:	He acted as if he were a corpse and locked himself up in the palace.
context: Riceball's mother must have been forced by Su Jin to jump off Zhuxian Terrace?\Judging by Ye Hua's temper, why didn't he split her in half?\High God, you got it right.\He did it once.\What did you say?\When Crown Prince came out of his coma\he was frail and in great despair.\He acted as if he were a corpse and locked himself up in the palace. response:	He didn't even care about the little prince.
context: Judging by Ye Hua's temper, why didn't he split her in half?\High God, you got it right.\He did it once.\What did you say?\When Crown Prince came out of his coma\he was frail and in great despair.\He acted as if he were a corpse and locked himself up in the palace.\He didn't even care about the little prince. response:	However, two months after he woke up
context: High God, you got it right.\He did it once.\What did you say?\When Crown Prince came out of his coma\he was frail and in great despair.\He acted as if he were a corpse and locked himself up in the palace.\He didn't even care about the little prince.\However, two months after he woke up response:	Heavenly God sent Lady Su Jin into Xiwu Palace.
context: He did it once.\What did you say?\When Crown Prince came out of his coma\he was frail and in great despair.\He acted as if he were a corpse and locked himself up in the palace.\He didn't even care about the little prince.\However, two months after he woke up\Heavenly God sent Lady Su Jin into Xiwu Palace. response:	That day, Crown Prince drove a sword right into her chest.
context: What did you say?\When Crown Prince came out of his coma\he was frail and in great despair.\He acted as if he were a corpse and locked himself up in the palace.\He didn't even care about the little prince.\However, two months after he woke up\Heavenly God sent Lady Su Jin into Xiwu Palace.\That day, Crown Prince drove a sword right into her chest. response:	Heavenly Lord arrived in time to save her.
context: When Crown Prince came out of his coma\he was frail and in great despair.\He acted as if he were a corpse and locked himself up in the palace.\He didn't even care about the little prince.\However, two months after he woke up\Heavenly God sent Lady Su Jin into Xiwu Palace.\That day, Crown Prince drove a sword right into her chest.\Heavenly Lord arrived in time to save her. response:	She has been protected by Heavenly Lord and moved into Xiwu Palace successfully.
context: he was frail and in great despair.\He acted as if he were a corpse and locked himself up in the palace.\He didn't even care about the little prince.\However, two months after he woke up\Heavenly God sent Lady Su Jin into Xiwu Palace.\That day, Crown Prince drove a sword right into her chest.\Heavenly Lord arrived in time to save her.\She has been protected by Heavenly Lord and moved into Xiwu Palace successfully. response:	Crown Prince only saw her as the container of my mistress's eyeballs.
context: He acted as if he were a corpse and locked himself up in the palace.\He didn't even care about the little prince.\However, two months after he woke up\Heavenly God sent Lady Su Jin into Xiwu Palace.\That day, Crown Prince drove a sword right into her chest.\Heavenly Lord arrived in time to save her.\She has been protected by Heavenly Lord and moved into Xiwu Palace successfully.\Crown Prince only saw her as the container of my mistress's eyeballs. response:	Eyeballs?
context: He didn't even care about the little prince.\However, two months after he woke up\Heavenly God sent Lady Su Jin into Xiwu Palace.\That day, Crown Prince drove a sword right into her chest.\Heavenly Lord arrived in time to save her.\She has been protected by Heavenly Lord and moved into Xiwu Palace successfully.\Crown Prince only saw her as the container of my mistress's eyeballs.\Eyeballs? response:	She stole those pair of eyes from my poor mistress!
context: However, two months after he woke up\Heavenly God sent Lady Su Jin into Xiwu Palace.\That day, Crown Prince drove a sword right into her chest.\Heavenly Lord arrived in time to save her.\She has been protected by Heavenly Lord and moved into Xiwu Palace successfully.\Crown Prince only saw her as the container of my mistress's eyeballs.\Eyeballs?\She stole those pair of eyes from my poor mistress! response:	Consort Le Xu said that Crown Prince kept his affection concealed
context: Heavenly God sent Lady Su Jin into Xiwu Palace.\That day, Crown Prince drove a sword right into her chest.\Heavenly Lord arrived in time to save her.\She has been protected by Heavenly Lord and moved into Xiwu Palace successfully.\Crown Prince only saw her as the container of my mistress's eyeballs.\Eyeballs?\She stole those pair of eyes from my poor mistress!\Consort Le Xu said that Crown Prince kept his affection concealed response:	in hope of making others in Nine Heavens think that
context: That day, Crown Prince drove a sword right into her chest.\Heavenly Lord arrived in time to save her.\She has been protected by Heavenly Lord and moved into Xiwu Palace successfully.\Crown Prince only saw her as the container of my mistress's eyeballs.\Eyeballs?\She stole those pair of eyes from my poor mistress!\Consort Le Xu said that Crown Prince kept his affection concealed\in hope of making others in Nine Heavens think that response:	he cared little for my mistress, so as to keep her safe.
context: Heavenly Lord arrived in time to save her.\She has been protected by Heavenly Lord and moved into Xiwu Palace successfully.\Crown Prince only saw her as the container of my mistress's eyeballs.\Eyeballs?\She stole those pair of eyes from my poor mistress!\Consort Le Xu said that Crown Prince kept his affection concealed\in hope of making others in Nine Heavens think that\he cared little for my mistress, so as to keep her safe. response:	He fooled those deities, but he also disappointed my mistress.
context: She has been protected by Heavenly Lord and moved into Xiwu Palace successfully.\Crown Prince only saw her as the container of my mistress's eyeballs.\Eyeballs?\She stole those pair of eyes from my poor mistress!\Consort Le Xu said that Crown Prince kept his affection concealed\in hope of making others in Nine Heavens think that\he cared little for my mistress, so as to keep her safe.\He fooled those deities, but he also disappointed my mistress. response:	She thought that he no longer loved her.
context: Crown Prince only saw her as the container of my mistress's eyeballs.\Eyeballs?\She stole those pair of eyes from my poor mistress!\Consort Le Xu said that Crown Prince kept his affection concealed\in hope of making others in Nine Heavens think that\he cared little for my mistress, so as to keep her safe.\He fooled those deities, but he also disappointed my mistress.\She thought that he no longer loved her. response:	Heavenly Lord never fell for it.
context: Eyeballs?\She stole those pair of eyes from my poor mistress!\Consort Le Xu said that Crown Prince kept his affection concealed\in hope of making others in Nine Heavens think that\he cared little for my mistress, so as to keep her safe.\He fooled those deities, but he also disappointed my mistress.\She thought that he no longer loved her.\Heavenly Lord never fell for it. response:	He had her killed in the end.
context: She stole those pair of eyes from my poor mistress!\Consort Le Xu said that Crown Prince kept his affection concealed\in hope of making others in Nine Heavens think that\he cared little for my mistress, so as to keep her safe.\He fooled those deities, but he also disappointed my mistress.\She thought that he no longer loved her.\Heavenly Lord never fell for it.\He had her killed in the end. response:	I've spoken out of turn.
context: Consort Le Xu said that Crown Prince kept his affection concealed\in hope of making others in Nine Heavens think that\he cared little for my mistress, so as to keep her safe.\He fooled those deities, but he also disappointed my mistress.\She thought that he no longer loved her.\Heavenly Lord never fell for it.\He had her killed in the end.\I've spoken out of turn. response:	Zhe Yan.
context: in hope of making others in Nine Heavens think that\he cared little for my mistress, so as to keep her safe.\He fooled those deities, but he also disappointed my mistress.\She thought that he no longer loved her.\Heavenly Lord never fell for it.\He had her killed in the end.\I've spoken out of turn.\Zhe Yan. response:	Did that side consort only greet so formally because she saw you?
context: he cared little for my mistress, so as to keep her safe.\He fooled those deities, but he also disappointed my mistress.\She thought that he no longer loved her.\Heavenly Lord never fell for it.\He had her killed in the end.\I've spoken out of turn.\Zhe Yan.\Did that side consort only greet so formally because she saw you? response:	I haven't seen you act up in years.
context: He fooled those deities, but he also disappointed my mistress.\She thought that he no longer loved her.\Heavenly Lord never fell for it.\He had her killed in the end.\I've spoken out of turn.\Zhe Yan.\Did that side consort only greet so formally because she saw you?\I haven't seen you act up in years. response:	I have learned much today from eavesdropping.
context: She thought that he no longer loved her.\Heavenly Lord never fell for it.\He had her killed in the end.\I've spoken out of turn.\Zhe Yan.\Did that side consort only greet so formally because she saw you?\I haven't seen you act up in years.\I have learned much today from eavesdropping. response:	Your fourth brother always blamed me for sending you to Kunlun Mountain.
context: Heavenly Lord never fell for it.\He had her killed in the end.\I've spoken out of turn.\Zhe Yan.\Did that side consort only greet so formally because she saw you?\I haven't seen you act up in years.\I have learned much today from eavesdropping.\Your fourth brother always blamed me for sending you to Kunlun Mountain. response:	You were supposed to learn celestial skills, not lose your wits.
context: He had her killed in the end.\I've spoken out of turn.\Zhe Yan.\Did that side consort only greet so formally because she saw you?\I haven't seen you act up in years.\I have learned much today from eavesdropping.\Your fourth brother always blamed me for sending you to Kunlun Mountain.\You were supposed to learn celestial skills, not lose your wits. response:	You're no longer lively and naive as you were when he mentored you.
context: I've spoken out of turn.\Zhe Yan.\Did that side consort only greet so formally because she saw you?\I haven't seen you act up in years.\I have learned much today from eavesdropping.\Your fourth brother always blamed me for sending you to Kunlun Mountain.\You were supposed to learn celestial skills, not lose your wits.\You're no longer lively and naive as you were when he mentored you. response:	I'm already 140,000 years old.
context: Zhe Yan.\Did that side consort only greet so formally because she saw you?\I haven't seen you act up in years.\I have learned much today from eavesdropping.\Your fourth brother always blamed me for sending you to Kunlun Mountain.\You were supposed to learn celestial skills, not lose your wits.\You're no longer lively and naive as you were when he mentored you.\I'm already 140,000 years old. response:	How am I to be lively and naive?
context: Did that side consort only greet so formally because she saw you?\I haven't seen you act up in years.\I have learned much today from eavesdropping.\Your fourth brother always blamed me for sending you to Kunlun Mountain.\You were supposed to learn celestial skills, not lose your wits.\You're no longer lively and naive as you were when he mentored you.\I'm already 140,000 years old.\How am I to be lively and naive? response:	I really don't like Ye Hua's side consort.
context: I haven't seen you act up in years.\I have learned much today from eavesdropping.\Your fourth brother always blamed me for sending you to Kunlun Mountain.\You were supposed to learn celestial skills, not lose your wits.\You're no longer lively and naive as you were when he mentored you.\I'm already 140,000 years old.\How am I to be lively and naive?\I really don't like Ye Hua's side consort. response:	I've always preferred witty deities
context: I have learned much today from eavesdropping.\Your fourth brother always blamed me for sending you to Kunlun Mountain.\You were supposed to learn celestial skills, not lose your wits.\You're no longer lively and naive as you were when he mentored you.\I'm already 140,000 years old.\How am I to be lively and naive?\I really don't like Ye Hua's side consort.\I've always preferred witty deities response:	but when they cross the line and act as if they are smart
context: Your fourth brother always blamed me for sending you to Kunlun Mountain.\You were supposed to learn celestial skills, not lose your wits.\You're no longer lively and naive as you were when he mentored you.\I'm already 140,000 years old.\How am I to be lively and naive?\I really don't like Ye Hua's side consort.\I've always preferred witty deities\but when they cross the line and act as if they are smart response:	I don't like them as much.
context: You were supposed to learn celestial skills, not lose your wits.\You're no longer lively and naive as you were when he mentored you.\I'm already 140,000 years old.\How am I to be lively and naive?\I really don't like Ye Hua's side consort.\I've always preferred witty deities\but when they cross the line and act as if they are smart\I don't like them as much. response:	You can't possibly have come just to eavesdrop on me?
context: You're no longer lively and naive as you were when he mentored you.\I'm already 140,000 years old.\How am I to be lively and naive?\I really don't like Ye Hua's side consort.\I've always preferred witty deities\but when they cross the line and act as if they are smart\I don't like them as much.\You can't possibly have come just to eavesdrop on me? response:	I'll head over to the Realm of Supreme Purity first to wait for you.
context: I'm already 140,000 years old.\How am I to be lively and naive?\I really don't like Ye Hua's side consort.\I've always preferred witty deities\but when they cross the line and act as if they are smart\I don't like them as much.\You can't possibly have come just to eavesdrop on me?\I'll head over to the Realm of Supreme Purity first to wait for you. response:	Zhe Yan, you had that expression 300 years ago
context: How am I to be lively and naive?\I really don't like Ye Hua's side consort.\I've always preferred witty deities\but when they cross the line and act as if they are smart\I don't like them as much.\You can't possibly have come just to eavesdrop on me?\I'll head over to the Realm of Supreme Purity first to wait for you.\Zhe Yan, you had that expression 300 years ago response:	when you told me that my mentor might be waking up.
context: I really don't like Ye Hua's side consort.\I've always preferred witty deities\but when they cross the line and act as if they are smart\I don't like them as much.\You can't possibly have come just to eavesdrop on me?\I'll head over to the Realm of Supreme Purity first to wait for you.\Zhe Yan, you had that expression 300 years ago\when you told me that my mentor might be waking up. response:	I ended up rejoicing over nothing.
context: I've always preferred witty deities\but when they cross the line and act as if they are smart\I don't like them as much.\You can't possibly have come just to eavesdrop on me?\I'll head over to the Realm of Supreme Purity first to wait for you.\Zhe Yan, you had that expression 300 years ago\when you told me that my mentor might be waking up.\I ended up rejoicing over nothing. response:	And now...
context: but when they cross the line and act as if they are smart\I don't like them as much.\You can't possibly have come just to eavesdrop on me?\I'll head over to the Realm of Supreme Purity first to wait for you.\Zhe Yan, you had that expression 300 years ago\when you told me that my mentor might be waking up.\I ended up rejoicing over nothing.\And now... response:	Will you not be excited if I tell you that Mo Yuan will soon return?
context: I don't like them as much.\You can't possibly have come just to eavesdrop on me?\I'll head over to the Realm of Supreme Purity first to wait for you.\Zhe Yan, you had that expression 300 years ago\when you told me that my mentor might be waking up.\I ended up rejoicing over nothing.\And now...\Will you not be excited if I tell you that Mo Yuan will soon return? response:	You...
context: You can't possibly have come just to eavesdrop on me?\I'll head over to the Realm of Supreme Purity first to wait for you.\Zhe Yan, you had that expression 300 years ago\when you told me that my mentor might be waking up.\I ended up rejoicing over nothing.\And now...\Will you not be excited if I tell you that Mo Yuan will soon return?\You... response:	You're really not lying to me?
context: I'll head over to the Realm of Supreme Purity first to wait for you.\Zhe Yan, you had that expression 300 years ago\when you told me that my mentor might be waking up.\I ended up rejoicing over nothing.\And now...\Will you not be excited if I tell you that Mo Yuan will soon return?\You...\You're really not lying to me? response:	Lass, definitely not.
context: Zhe Yan, you had that expression 300 years ago\when you told me that my mentor might be waking up.\I ended up rejoicing over nothing.\And now...\Will you not be excited if I tell you that Mo Yuan will soon return?\You...\You're really not lying to me?\Lass, definitely not. response:	Some time ago, Zhen and I went to West Sea for a matter.
context: when you told me that my mentor might be waking up.\I ended up rejoicing over nothing.\And now...\Will you not be excited if I tell you that Mo Yuan will soon return?\You...\You're really not lying to me?\Lass, definitely not.\Some time ago, Zhen and I went to West Sea for a matter. response:	We ran into Crown Prince of West Sea there.
context: I ended up rejoicing over nothing.\And now...\Will you not be excited if I tell you that Mo Yuan will soon return?\You...\You're really not lying to me?\Lass, definitely not.\Some time ago, Zhen and I went to West Sea for a matter.\We ran into Crown Prince of West Sea there. response:	I thought that his celestial aura was quite unsual.
context: And now...\Will you not be excited if I tell you that Mo Yuan will soon return?\You...\You're really not lying to me?\Lass, definitely not.\Some time ago, Zhen and I went to West Sea for a matter.\We ran into Crown Prince of West Sea there.\I thought that his celestial aura was quite unsual. response:	So I used my powers to investigate a bit.
context: Will you not be excited if I tell you that Mo Yuan will soon return?\You...\You're really not lying to me?\Lass, definitely not.\Some time ago, Zhen and I went to West Sea for a matter.\We ran into Crown Prince of West Sea there.\I thought that his celestial aura was quite unsual.\So I used my powers to investigate a bit. response:	That was when I realized that there are two spirits in him.
context: You...\You're really not lying to me?\Lass, definitely not.\Some time ago, Zhen and I went to West Sea for a matter.\We ran into Crown Prince of West Sea there.\I thought that his celestial aura was quite unsual.\So I used my powers to investigate a bit.\That was when I realized that there are two spirits in him. response:	He's the one who is awake, but the one that's asleep
context: You're really not lying to me?\Lass, definitely not.\Some time ago, Zhen and I went to West Sea for a matter.\We ran into Crown Prince of West Sea there.\I thought that his celestial aura was quite unsual.\So I used my powers to investigate a bit.\That was when I realized that there are two spirits in him.\He's the one who is awake, but the one that's asleep response:	What about the other one?
context: Lass, definitely not.\Some time ago, Zhen and I went to West Sea for a matter.\We ran into Crown Prince of West Sea there.\I thought that his celestial aura was quite unsual.\So I used my powers to investigate a bit.\That was when I realized that there are two spirits in him.\He's the one who is awake, but the one that's asleep\What about the other one? response:	The other spirit is that of your mentor, Mo Yuan.
context: Some time ago, Zhen and I went to West Sea for a matter.\We ran into Crown Prince of West Sea there.\I thought that his celestial aura was quite unsual.\So I used my powers to investigate a bit.\That was when I realized that there are two spirits in him.\He's the one who is awake, but the one that's asleep\What about the other one?\The other spirit is that of your mentor, Mo Yuan. response:	How would you know?
context: We ran into Crown Prince of West Sea there.\I thought that his celestial aura was quite unsual.\So I used my powers to investigate a bit.\That was when I realized that there are two spirits in him.\He's the one who is awake, but the one that's asleep\What about the other one?\The other spirit is that of your mentor, Mo Yuan.\How would you know? response:	You learned that magic from me at a young age.
context: I thought that his celestial aura was quite unsual.\So I used my powers to investigate a bit.\That was when I realized that there are two spirits in him.\He's the one who is awake, but the one that's asleep\What about the other one?\The other spirit is that of your mentor, Mo Yuan.\How would you know?\You learned that magic from me at a young age. response:	Someone else is asleep in the prince's body.
context: So I used my powers to investigate a bit.\That was when I realized that there are two spirits in him.\He's the one who is awake, but the one that's asleep\What about the other one?\The other spirit is that of your mentor, Mo Yuan.\How would you know?\You learned that magic from me at a young age.\Someone else is asleep in the prince's body. response:	I followed the traces and found fragments of broken spirit in him.
context: That was when I realized that there are two spirits in him.\He's the one who is awake, but the one that's asleep\What about the other one?\The other spirit is that of your mentor, Mo Yuan.\How would you know?\You learned that magic from me at a young age.\Someone else is asleep in the prince's body.\I followed the traces and found fragments of broken spirit in him. response:	Who else in all the realms could patch up
context: He's the one who is awake, but the one that's asleep\What about the other one?\The other spirit is that of your mentor, Mo Yuan.\How would you know?\You learned that magic from me at a young age.\Someone else is asleep in the prince's body.\I followed the traces and found fragments of broken spirit in him.\Who else in all the realms could patch up response:	pieces of spirit with just a bit of magic?
context: What about the other one?\The other spirit is that of your mentor, Mo Yuan.\How would you know?\You learned that magic from me at a young age.\Someone else is asleep in the prince's body.\I followed the traces and found fragments of broken spirit in him.\Who else in all the realms could patch up\pieces of spirit with just a bit of magic? response:	Only Mo Yuan could do so.
context: The other spirit is that of your mentor, Mo Yuan.\How would you know?\You learned that magic from me at a young age.\Someone else is asleep in the prince's body.\I followed the traces and found fragments of broken spirit in him.\Who else in all the realms could patch up\pieces of spirit with just a bit of magic?\Only Mo Yuan could do so. response:	Moreover, he's the son of Heavenly Father.
context: How would you know?\You learned that magic from me at a young age.\Someone else is asleep in the prince's body.\I followed the traces and found fragments of broken spirit in him.\Who else in all the realms could patch up\pieces of spirit with just a bit of magic?\Only Mo Yuan could do so.\Moreover, he's the son of Heavenly Father. response:	I was raised by Heavenly Father, and we grew up together.
context: You learned that magic from me at a young age.\Someone else is asleep in the prince's body.\I followed the traces and found fragments of broken spirit in him.\Who else in all the realms could patch up\pieces of spirit with just a bit of magic?\Only Mo Yuan could do so.\Moreover, he's the son of Heavenly Father.\I was raised by Heavenly Father, and we grew up together. response:	How could I not recognize his celestial aura?
context: Someone else is asleep in the prince's body.\I followed the traces and found fragments of broken spirit in him.\Who else in all the realms could patch up\pieces of spirit with just a bit of magic?\Only Mo Yuan could do so.\Moreover, he's the son of Heavenly Father.\I was raised by Heavenly Father, and we grew up together.\How could I not recognize his celestial aura? response:	You told me that before Mo Yuan's spirit vanished
context: I followed the traces and found fragments of broken spirit in him.\Who else in all the realms could patch up\pieces of spirit with just a bit of magic?\Only Mo Yuan could do so.\Moreover, he's the son of Heavenly Father.\I was raised by Heavenly Father, and we grew up together.\How could I not recognize his celestial aura?\You told me that before Mo Yuan's spirit vanished response:	he told all his disciples to await his return.
context: Who else in all the realms could patch up\pieces of spirit with just a bit of magic?\Only Mo Yuan could do so.\Moreover, he's the son of Heavenly Father.\I was raised by Heavenly Father, and we grew up together.\How could I not recognize his celestial aura?\You told me that before Mo Yuan's spirit vanished\he told all his disciples to await his return. response:	I thought that he was just offering you some comfort.
context: pieces of spirit with just a bit of magic?\Only Mo Yuan could do so.\Moreover, he's the son of Heavenly Father.\I was raised by Heavenly Father, and we grew up together.\How could I not recognize his celestial aura?\You told me that before Mo Yuan's spirit vanished\he told all his disciples to await his return.\I thought that he was just offering you some comfort. response:	I was truly impressed when I saw him last night.
context: Only Mo Yuan could do so.\Moreover, he's the son of Heavenly Father.\I was raised by Heavenly Father, and we grew up together.\How could I not recognize his celestial aura?\You told me that before Mo Yuan's spirit vanished\he told all his disciples to await his return.\I thought that he was just offering you some comfort.\I was truly impressed when I saw him last night. response:	Mo Yuan never disappoints.
context: Moreover, he's the son of Heavenly Father.\I was raised by Heavenly Father, and we grew up together.\How could I not recognize his celestial aura?\You told me that before Mo Yuan's spirit vanished\he told all his disciples to await his return.\I thought that he was just offering you some comfort.\I was truly impressed when I saw him last night.\Mo Yuan never disappoints. response:	That is one true man.
context: I was raised by Heavenly Father, and we grew up together.\How could I not recognize his celestial aura?\You told me that before Mo Yuan's spirit vanished\he told all his disciples to await his return.\I thought that he was just offering you some comfort.\I was truly impressed when I saw him last night.\Mo Yuan never disappoints.\That is one true man. response:	Master...
context: How could I not recognize his celestial aura?\You told me that before Mo Yuan's spirit vanished\he told all his disciples to await his return.\I thought that he was just offering you some comfort.\I was truly impressed when I saw him last night.\Mo Yuan never disappoints.\That is one true man.\Master... response:	It took him 70,000 years to recover to this state
context: You told me that before Mo Yuan's spirit vanished\he told all his disciples to await his return.\I thought that he was just offering you some comfort.\I was truly impressed when I saw him last night.\Mo Yuan never disappoints.\That is one true man.\Master...\It took him 70,000 years to recover to this state response:	and still, his powers are scattered.
context: he told all his disciples to await his return.\I thought that he was just offering you some comfort.\I was truly impressed when I saw him last night.\Mo Yuan never disappoints.\That is one true man.\Master...\It took him 70,000 years to recover to this state\and still, his powers are scattered. response:	He's in need of someone else's immortal powers to recuperate.
context: I thought that he was just offering you some comfort.\I was truly impressed when I saw him last night.\Mo Yuan never disappoints.\That is one true man.\Master...\It took him 70,000 years to recover to this state\and still, his powers are scattered.\He's in need of someone else's immortal powers to recuperate. response:	Hence, Mo Yuan is now sleeping in
context: I was truly impressed when I saw him last night.\Mo Yuan never disappoints.\That is one true man.\Master...\It took him 70,000 years to recover to this state\and still, his powers are scattered.\He's in need of someone else's immortal powers to recuperate.\Hence, Mo Yuan is now sleeping in response:	Crown Prince of West Sea's body to recuperate.
context: Mo Yuan never disappoints.\That is one true man.\Master...\It took him 70,000 years to recover to this state\and still, his powers are scattered.\He's in need of someone else's immortal powers to recuperate.\Hence, Mo Yuan is now sleeping in\Crown Prince of West Sea's body to recuperate. response:	I wonder if that prince can cope with my mentor in his body?
context: That is one true man.\Master...\It took him 70,000 years to recover to this state\and still, his powers are scattered.\He's in need of someone else's immortal powers to recuperate.\Hence, Mo Yuan is now sleeping in\Crown Prince of West Sea's body to recuperate.\I wonder if that prince can cope with my mentor in his body? response:	The Crown Prince of West Sea is just about mediocre.
context: Master...\It took him 70,000 years to recover to this state\and still, his powers are scattered.\He's in need of someone else's immortal powers to recuperate.\Hence, Mo Yuan is now sleeping in\Crown Prince of West Sea's body to recuperate.\I wonder if that prince can cope with my mentor in his body?\The Crown Prince of West Sea is just about mediocre. response:	His immortal powers are used to nurse himself and also Mo Yuan.
context: It took him 70,000 years to recover to this state\and still, his powers are scattered.\He's in need of someone else's immortal powers to recuperate.\Hence, Mo Yuan is now sleeping in\Crown Prince of West Sea's body to recuperate.\I wonder if that prince can cope with my mentor in his body?\The Crown Prince of West Sea is just about mediocre.\His immortal powers are used to nurse himself and also Mo Yuan. response:	As days go by, his body weakens.
context: and still, his powers are scattered.\He's in need of someone else's immortal powers to recuperate.\Hence, Mo Yuan is now sleeping in\Crown Prince of West Sea's body to recuperate.\I wonder if that prince can cope with my mentor in his body?\The Crown Prince of West Sea is just about mediocre.\His immortal powers are used to nurse himself and also Mo Yuan.\As days go by, his body weakens. response:	It will probably take another 7,000 or 8,000 years for Mo Yuan to wake up.
context: He's in need of someone else's immortal powers to recuperate.\Hence, Mo Yuan is now sleeping in\Crown Prince of West Sea's body to recuperate.\I wonder if that prince can cope with my mentor in his body?\The Crown Prince of West Sea is just about mediocre.\His immortal powers are used to nurse himself and also Mo Yuan.\As days go by, his body weakens.\It will probably take another 7,000 or 8,000 years for Mo Yuan to wake up. response:	It's just that...
context: Hence, Mo Yuan is now sleeping in\Crown Prince of West Sea's body to recuperate.\I wonder if that prince can cope with my mentor in his body?\The Crown Prince of West Sea is just about mediocre.\His immortal powers are used to nurse himself and also Mo Yuan.\As days go by, his body weakens.\It will probably take another 7,000 or 8,000 years for Mo Yuan to wake up.\It's just that... response:	Why would Master choose this prince?
context: Crown Prince of West Sea's body to recuperate.\I wonder if that prince can cope with my mentor in his body?\The Crown Prince of West Sea is just about mediocre.\His immortal powers are used to nurse himself and also Mo Yuan.\As days go by, his body weakens.\It will probably take another 7,000 or 8,000 years for Mo Yuan to wake up.\It's just that...\Why would Master choose this prince? response:	Mo Yuan surely has his reason for choosing the Crown Prince of West Sea.
context: I wonder if that prince can cope with my mentor in his body?\The Crown Prince of West Sea is just about mediocre.\His immortal powers are used to nurse himself and also Mo Yuan.\As days go by, his body weakens.\It will probably take another 7,000 or 8,000 years for Mo Yuan to wake up.\It's just that...\Why would Master choose this prince?\Mo Yuan surely has his reason for choosing the Crown Prince of West Sea. response:	He owed Mo Yuan a favor when he was still young.
context: The Crown Prince of West Sea is just about mediocre.\His immortal powers are used to nurse himself and also Mo Yuan.\As days go by, his body weakens.\It will probably take another 7,000 or 8,000 years for Mo Yuan to wake up.\It's just that...\Why would Master choose this prince?\Mo Yuan surely has his reason for choosing the Crown Prince of West Sea.\He owed Mo Yuan a favor when he was still young. response:	Let's just say that he's repaying his kindness.
context: His immortal powers are used to nurse himself and also Mo Yuan.\As days go by, his body weakens.\It will probably take another 7,000 or 8,000 years for Mo Yuan to wake up.\It's just that...\Why would Master choose this prince?\Mo Yuan surely has his reason for choosing the Crown Prince of West Sea.\He owed Mo Yuan a favor when he was still young.\Let's just say that he's repaying his kindness. response:	Moreover, the second prince of West Sea is your Senior.
context: As days go by, his body weakens.\It will probably take another 7,000 or 8,000 years for Mo Yuan to wake up.\It's just that...\Why would Master choose this prince?\Mo Yuan surely has his reason for choosing the Crown Prince of West Sea.\He owed Mo Yuan a favor when he was still young.\Let's just say that he's repaying his kindness.\Moreover, the second prince of West Sea is your Senior. response:	We'll regard it as repaying his brother's mentor.
context: It will probably take another 7,000 or 8,000 years for Mo Yuan to wake up.\It's just that...\Why would Master choose this prince?\Mo Yuan surely has his reason for choosing the Crown Prince of West Sea.\He owed Mo Yuan a favor when he was still young.\Let's just say that he's repaying his kindness.\Moreover, the second prince of West Sea is your Senior.\We'll regard it as repaying his brother's mentor. response:	Lass, why are you crying?
context: It's just that...\Why would Master choose this prince?\Mo Yuan surely has his reason for choosing the Crown Prince of West Sea.\He owed Mo Yuan a favor when he was still young.\Let's just say that he's repaying his kindness.\Moreover, the second prince of West Sea is your Senior.\We'll regard it as repaying his brother's mentor.\Lass, why are you crying? response:	This matter has been on my mind for 70,000 years.
context: Why would Master choose this prince?\Mo Yuan surely has his reason for choosing the Crown Prince of West Sea.\He owed Mo Yuan a favor when he was still young.\Let's just say that he's repaying his kindness.\Moreover, the second prince of West Sea is your Senior.\We'll regard it as repaying his brother's mentor.\Lass, why are you crying?\This matter has been on my mind for 70,000 years. response:	I'm afraid that I might be let down again.
