context: Man, it's cold... response:	Dammit, this is needlessly lacy. It's so hard to wash.
context: To think you were wagging your tail at a Zerbst, of all people!\Dog!\Young Miss!\Please, find it in your heart to drop...\I was spoiling you.\If you're a stray dog, I have to treat you like a stray dog!\Wait... First, calm down...\Seriously, stop! Please! response:	What! What part of that woman is so good?!
context: Dog!\Young Miss!\Please, find it in your heart to drop...\I was spoiling you.\If you're a stray dog, I have to treat you like a stray dog!\Wait... First, calm down...\Seriously, stop! Please!\What! What part of that woman is so good?! response:	Let go of me, fool!
context: Young Miss!\Please, find it in your heart to drop...\I was spoiling you.\If you're a stray dog, I have to treat you like a stray dog!\Wait... First, calm down...\Seriously, stop! Please!\What! What part of that woman is so good?!\Let go of me, fool! response:	Can it be that you...
context: Please, find it in your heart to drop...\I was spoiling you.\If you're a stray dog, I have to treat you like a stray dog!\Wait... First, calm down...\Seriously, stop! Please!\What! What part of that woman is so good?!\Let go of me, fool!\Can it be that you... response:	Because I was doing that kind of stuff with Kirche,
context: I was spoiling you.\If you're a stray dog, I have to treat you like a stray dog!\Wait... First, calm down...\Seriously, stop! Please!\What! What part of that woman is so good?!\Let go of me, fool!\Can it be that you...\Because I was doing that kind of stuff with Kirche, response:	instead of sneaking into your bed...
context: If you're a stray dog, I have to treat you like a stray dog!\Wait... First, calm down...\Seriously, stop! Please!\What! What part of that woman is so good?!\Let go of me, fool!\Can it be that you...\Because I was doing that kind of stuff with Kirche,\instead of sneaking into your bed... response:	You were jealous?
context: Wait... First, calm down...\Seriously, stop! Please!\What! What part of that woman is so good?!\Let go of me, fool!\Can it be that you...\Because I was doing that kind of stuff with Kirche,\instead of sneaking into your bed...\You were jealous? response:	Me? You? What was that?
context: Seriously, stop! Please!\What! What part of that woman is so good?!\Let go of me, fool!\Can it be that you...\Because I was doing that kind of stuff with Kirche,\instead of sneaking into your bed...\You were jealous?\Me? You? What was that? response:	No, it was just a misunderstanding...
context: What! What part of that woman is so good?!\Let go of me, fool!\Can it be that you...\Because I was doing that kind of stuff with Kirche,\instead of sneaking into your bed...\You were jealous?\Me? You? What was that?\No, it was just a misunderstanding... response:	I don't care who you date, but she alone I forbid.
context: Let go of me, fool!\Can it be that you...\Because I was doing that kind of stuff with Kirche,\instead of sneaking into your bed...\You were jealous?\Me? You? What was that?\No, it was just a misunderstanding...\I don't care who you date, but she alone I forbid. response:	Alone?
context: Can it be that you...\Because I was doing that kind of stuff with Kirche,\instead of sneaking into your bed...\You were jealous?\Me? You? What was that?\No, it was just a misunderstanding...\I don't care who you date, but she alone I forbid.\Alone? response:	Kirche's family, the Zerbsts,
context: Because I was doing that kind of stuff with Kirche,\instead of sneaking into your bed...\You were jealous?\Me? You? What was that?\No, it was just a misunderstanding...\I don't care who you date, but she alone I forbid.\Alone?\Kirche's family, the Zerbsts, response:	and my family, the Vallieres, have long been archrivals!
context: instead of sneaking into your bed...\You were jealous?\Me? You? What was that?\No, it was just a misunderstanding...\I don't care who you date, but she alone I forbid.\Alone?\Kirche's family, the Zerbsts,\and my family, the Vallieres, have long been archrivals! response:	It is a disgrace to my family if one thread,
context: You were jealous?\Me? You? What was that?\No, it was just a misunderstanding...\I don't care who you date, but she alone I forbid.\Alone?\Kirche's family, the Zerbsts,\and my family, the Vallieres, have long been archrivals!\It is a disgrace to my family if one thread, response:	one dog, gets taken by a Zerbst woman! Got that?!
context: Me? You? What was that?\No, it was just a misunderstanding...\I don't care who you date, but she alone I forbid.\Alone?\Kirche's family, the Zerbsts,\and my family, the Vallieres, have long been archrivals!\It is a disgrace to my family if one thread,\one dog, gets taken by a Zerbst woman! Got that?! response:	Yeah... Kinda...
context: No, it was just a misunderstanding...\I don't care who you date, but she alone I forbid.\Alone?\Kirche's family, the Zerbsts,\and my family, the Vallieres, have long been archrivals!\It is a disgrace to my family if one thread,\one dog, gets taken by a Zerbst woman! Got that?!\Yeah... Kinda... response:	You were dragged to Kirche's room in the salamander's mouth?
context: I don't care who you date, but she alone I forbid.\Alone?\Kirche's family, the Zerbsts,\and my family, the Vallieres, have long been archrivals!\It is a disgrace to my family if one thread,\one dog, gets taken by a Zerbst woman! Got that?!\Yeah... Kinda...\You were dragged to Kirche's room in the salamander's mouth? response:	Yeah. It was involuntary!
context: Alone?\Kirche's family, the Zerbsts,\and my family, the Vallieres, have long been archrivals!\It is a disgrace to my family if one thread,\one dog, gets taken by a Zerbst woman! Got that?!\Yeah... Kinda...\You were dragged to Kirche's room in the salamander's mouth?\Yeah. It was involuntary! response:	How pathetic. You're a swordsman, aren't you?
context: Kirche's family, the Zerbsts,\and my family, the Vallieres, have long been archrivals!\It is a disgrace to my family if one thread,\one dog, gets taken by a Zerbst woman! Got that?!\Yeah... Kinda...\You were dragged to Kirche's room in the salamander's mouth?\Yeah. It was involuntary!\How pathetic. You're a swordsman, aren't you? response:	Who is?
context: and my family, the Vallieres, have long been archrivals!\It is a disgrace to my family if one thread,\one dog, gets taken by a Zerbst woman! Got that?!\Yeah... Kinda...\You were dragged to Kirche's room in the salamander's mouth?\Yeah. It was involuntary!\How pathetic. You're a swordsman, aren't you?\Who is? response:	The other day was the first time I've ever held a sword in my life.
context: It is a disgrace to my family if one thread,\one dog, gets taken by a Zerbst woman! Got that?!\Yeah... Kinda...\You were dragged to Kirche's room in the salamander's mouth?\Yeah. It was involuntary!\How pathetic. You're a swordsman, aren't you?\Who is?\The other day was the first time I've ever held a sword in my life. response:	You're kidding!
context: one dog, gets taken by a Zerbst woman! Got that?!\Yeah... Kinda...\You were dragged to Kirche's room in the salamander's mouth?\Yeah. It was involuntary!\How pathetic. You're a swordsman, aren't you?\Who is?\The other day was the first time I've ever held a sword in my life.\You're kidding! response:	I mean, you were so adept when you were fighting against Guiche.
context: Yeah... Kinda...\You were dragged to Kirche's room in the salamander's mouth?\Yeah. It was involuntary!\How pathetic. You're a swordsman, aren't you?\Who is?\The other day was the first time I've ever held a sword in my life.\You're kidding!\I mean, you were so adept when you were fighting against Guiche. response:	I don't know...
context: You were dragged to Kirche's room in the salamander's mouth?\Yeah. It was involuntary!\How pathetic. You're a swordsman, aren't you?\Who is?\The other day was the first time I've ever held a sword in my life.\You're kidding!\I mean, you were so adept when you were fighting against Guiche.\I don't know... response:	My body moved on its own the moment I grabbed that sword.
context: Yeah. It was involuntary!\How pathetic. You're a swordsman, aren't you?\Who is?\The other day was the first time I've ever held a sword in my life.\You're kidding!\I mean, you were so adept when you were fighting against Guiche.\I don't know...\My body moved on its own the moment I grabbed that sword. response:	Sometimes familiars can yield special powers once contracted.
context: How pathetic. You're a swordsman, aren't you?\Who is?\The other day was the first time I've ever held a sword in my life.\You're kidding!\I mean, you were so adept when you were fighting against Guiche.\I don't know...\My body moved on its own the moment I grabbed that sword.\Sometimes familiars can yield special powers once contracted. response:	For instance, a black cat familiar can learn to speak.
context: Who is?\The other day was the first time I've ever held a sword in my life.\You're kidding!\I mean, you were so adept when you were fighting against Guiche.\I don't know...\My body moved on its own the moment I grabbed that sword.\Sometimes familiars can yield special powers once contracted.\For instance, a black cat familiar can learn to speak. response:	I'm no cat!
context: The other day was the first time I've ever held a sword in my life.\You're kidding!\I mean, you were so adept when you were fighting against Guiche.\I don't know...\My body moved on its own the moment I grabbed that sword.\Sometimes familiars can yield special powers once contracted.\For instance, a black cat familiar can learn to speak.\I'm no cat! response:	And anyway, you can't be a swordsman when you're unarmed!
context: You're kidding!\I mean, you were so adept when you were fighting against Guiche.\I don't know...\My body moved on its own the moment I grabbed that sword.\Sometimes familiars can yield special powers once contracted.\For instance, a black cat familiar can learn to speak.\I'm no cat!\And anyway, you can't be a swordsman when you're unarmed! response:	You're right.
context: I mean, you were so adept when you were fighting against Guiche.\I don't know...\My body moved on its own the moment I grabbed that sword.\Sometimes familiars can yield special powers once contracted.\For instance, a black cat familiar can learn to speak.\I'm no cat!\And anyway, you can't be a swordsman when you're unarmed!\You're right. response:	And tomorrow, the day of the week is Void-day...
context: I don't know...\My body moved on its own the moment I grabbed that sword.\Sometimes familiars can yield special powers once contracted.\For instance, a black cat familiar can learn to speak.\I'm no cat!\And anyway, you can't be a swordsman when you're unarmed!\You're right.\And tomorrow, the day of the week is Void-day... response:	How's that?
context: My body moved on its own the moment I grabbed that sword.\Sometimes familiars can yield special powers once contracted.\For instance, a black cat familiar can learn to speak.\I'm no cat!\And anyway, you can't be a swordsman when you're unarmed!\You're right.\And tomorrow, the day of the week is Void-day...\How's that? response:	Anyway, hurry up and go to sleep! We're getting up early tomorrow!
context: Sometimes familiars can yield special powers once contracted.\For instance, a black cat familiar can learn to speak.\I'm no cat!\And anyway, you can't be a swordsman when you're unarmed!\You're right.\And tomorrow, the day of the week is Void-day...\How's that?\Anyway, hurry up and go to sleep! We're getting up early tomorrow! response:	What's up with all that?
context: For instance, a black cat familiar can learn to speak.\I'm no cat!\And anyway, you can't be a swordsman when you're unarmed!\You're right.\And tomorrow, the day of the week is Void-day...\How's that?\Anyway, hurry up and go to sleep! We're getting up early tomorrow!\What's up with all that? response:	Where are you going?
context: I'm no cat!\And anyway, you can't be a swordsman when you're unarmed!\You're right.\And tomorrow, the day of the week is Void-day...\How's that?\Anyway, hurry up and go to sleep! We're getting up early tomorrow!\What's up with all that?\Where are you going? response:	Where? To the hallway.
context: And anyway, you can't be a swordsman when you're unarmed!\You're right.\And tomorrow, the day of the week is Void-day...\How's that?\Anyway, hurry up and go to sleep! We're getting up early tomorrow!\What's up with all that?\Where are you going?\Where? To the hallway. response:	It's all right. Sleep in the room.
context: You're right.\And tomorrow, the day of the week is Void-day...\How's that?\Anyway, hurry up and go to sleep! We're getting up early tomorrow!\What's up with all that?\Where are you going?\Where? To the hallway.\It's all right. Sleep in the room. response:	You'll be in trouble if Kirche attacked you again.
context: And tomorrow, the day of the week is Void-day...\How's that?\Anyway, hurry up and go to sleep! We're getting up early tomorrow!\What's up with all that?\Where are you going?\Where? To the hallway.\It's all right. Sleep in the room.\You'll be in trouble if Kirche attacked you again. response:	What is it?
context: How's that?\Anyway, hurry up and go to sleep! We're getting up early tomorrow!\What's up with all that?\Where are you going?\Where? To the hallway.\It's all right. Sleep in the room.\You'll be in trouble if Kirche attacked you again.\What is it? response:	You're really sure you don't feel something for...
context: Anyway, hurry up and go to sleep! We're getting up early tomorrow!\What's up with all that?\Where are you going?\Where? To the hallway.\It's all right. Sleep in the room.\You'll be in trouble if Kirche attacked you again.\What is it?\You're really sure you don't feel something for... response:	Dog!
context: What's up with all that?\Where are you going?\Where? To the hallway.\It's all right. Sleep in the room.\You'll be in trouble if Kirche attacked you again.\What is it?\You're really sure you don't feel something for...\Dog! response:	I'm telling you, it's all a joke!
context: Where are you going?\Where? To the hallway.\It's all right. Sleep in the room.\You'll be in trouble if Kirche attacked you again.\What is it?\You're really sure you don't feel something for...\Dog!\I'm telling you, it's all a joke! response:	Idiot! Fool!
context: Where? To the hallway.\It's all right. Sleep in the room.\You'll be in trouble if Kirche attacked you again.\What is it?\You're really sure you don't feel something for...\Dog!\I'm telling you, it's all a joke!\Idiot! Fool! response:	How should I seduce Saito today?
context: It's all right. Sleep in the room.\You'll be in trouble if Kirche attacked you again.\What is it?\You're really sure you don't feel something for...\Dog!\I'm telling you, it's all a joke!\Idiot! Fool!\How should I seduce Saito today? response:	I'm gonna fall!
context: You'll be in trouble if Kirche attacked you again.\What is it?\You're really sure you don't feel something for...\Dog!\I'm telling you, it's all a joke!\Idiot! Fool!\How should I seduce Saito today?\I'm gonna fall! response:	Come on, hold on to me!
context: What is it?\You're really sure you don't feel something for...\Dog!\I'm telling you, it's all a joke!\Idiot! Fool!\How should I seduce Saito today?\I'm gonna fall!\Come on, hold on to me! response:	Where are you grabbing?!
context: You're really sure you don't feel something for...\Dog!\I'm telling you, it's all a joke!\Idiot! Fool!\How should I seduce Saito today?\I'm gonna fall!\Come on, hold on to me!\Where are you grabbing?! response:	It's flat enough to be your stomach!
context: Dog!\I'm telling you, it's all a joke!\Idiot! Fool!\How should I seduce Saito today?\I'm gonna fall!\Come on, hold on to me!\Where are you grabbing?!\It's flat enough to be your stomach! response:	Do you want to be kicked off?!
context: I'm telling you, it's all a joke!\Idiot! Fool!\How should I seduce Saito today?\I'm gonna fall!\Come on, hold on to me!\Where are you grabbing?!\It's flat enough to be your stomach!\Do you want to be kicked off?! response:	What, they're going out today?
context: Idiot! Fool!\How should I seduce Saito today?\I'm gonna fall!\Come on, hold on to me!\Where are you grabbing?!\It's flat enough to be your stomach!\Do you want to be kicked off?!\What, they're going out today? response:	I guess I can use the old
context: How should I seduce Saito today?\I'm gonna fall!\Come on, hold on to me!\Where are you grabbing?!\It's flat enough to be your stomach!\Do you want to be kicked off?!\What, they're going out today?\I guess I can use the old response:	happen to run into each other while out pattern...
context: I'm gonna fall!\Come on, hold on to me!\Where are you grabbing?!\It's flat enough to be your stomach!\Do you want to be kicked off?!\What, they're going out today?\I guess I can use the old\happen to run into each other while out pattern... response:	Ansur Rel An...
context: Come on, hold on to me!\Where are you grabbing?!\It's flat enough to be your stomach!\Do you want to be kicked off?!\What, they're going out today?\I guess I can use the old\happen to run into each other while out pattern...\Ansur Rel An... response:	Tabitha! We're going out today! Get ready!
context: Where are you grabbing?!\It's flat enough to be your stomach!\Do you want to be kicked off?!\What, they're going out today?\I guess I can use the old\happen to run into each other while out pattern...\Ansur Rel An...\Tabitha! We're going out today! Get ready! response:	Void-day.
context: It's flat enough to be your stomach!\Do you want to be kicked off?!\What, they're going out today?\I guess I can use the old\happen to run into each other while out pattern...\Ansur Rel An...\Tabitha! We're going out today! Get ready!\Void-day. response:	I know just how important Void-day is to you!
context: Do you want to be kicked off?!\What, they're going out today?\I guess I can use the old\happen to run into each other while out pattern...\Ansur Rel An...\Tabitha! We're going out today! Get ready!\Void-day.\I know just how important Void-day is to you! response:	See here... I've fallen in love.
context: What, they're going out today?\I guess I can use the old\happen to run into each other while out pattern...\Ansur Rel An...\Tabitha! We're going out today! Get ready!\Void-day.\I know just how important Void-day is to you!\See here... I've fallen in love. response:	But he has stepped out with that blasted Valliere!
context: I guess I can use the old\happen to run into each other while out pattern...\Ansur Rel An...\Tabitha! We're going out today! Get ready!\Void-day.\I know just how important Void-day is to you!\See here... I've fallen in love.\But he has stepped out with that blasted Valliere! response:	I have to figure out exactly where those two are headed!
context: happen to run into each other while out pattern...\Ansur Rel An...\Tabitha! We're going out today! Get ready!\Void-day.\I know just how important Void-day is to you!\See here... I've fallen in love.\But he has stepped out with that blasted Valliere!\I have to figure out exactly where those two are headed! response:	You understand, right?!
context: Ansur Rel An...\Tabitha! We're going out today! Get ready!\Void-day.\I know just how important Void-day is to you!\See here... I've fallen in love.\But he has stepped out with that blasted Valliere!\I have to figure out exactly where those two are headed!\You understand, right?! response:	Oh, right, you won't move an inch unless I explain everything.
context: Tabitha! We're going out today! Get ready!\Void-day.\I know just how important Void-day is to you!\See here... I've fallen in love.\But he has stepped out with that blasted Valliere!\I have to figure out exactly where those two are headed!\You understand, right?!\Oh, right, you won't move an inch unless I explain everything. response:	I want to chase after the two because they're headed somewhere,
context: Void-day.\I know just how important Void-day is to you!\See here... I've fallen in love.\But he has stepped out with that blasted Valliere!\I have to figure out exactly where those two are headed!\You understand, right?!\Oh, right, you won't move an inch unless I explain everything.\I want to chase after the two because they're headed somewhere, response:	but I can't catch up unless I get the help of your familiar!
context: I know just how important Void-day is to you!\See here... I've fallen in love.\But he has stepped out with that blasted Valliere!\I have to figure out exactly where those two are headed!\You understand, right?!\Oh, right, you won't move an inch unless I explain everything.\I want to chase after the two because they're headed somewhere,\but I can't catch up unless I get the help of your familiar! response:	Please, help me!
context: See here... I've fallen in love.\But he has stepped out with that blasted Valliere!\I have to figure out exactly where those two are headed!\You understand, right?!\Oh, right, you won't move an inch unless I explain everything.\I want to chase after the two because they're headed somewhere,\but I can't catch up unless I get the help of your familiar!\Please, help me! response:	You understand now? Thank you!
context: But he has stepped out with that blasted Valliere!\I have to figure out exactly where those two are headed!\You understand, right?!\Oh, right, you won't move an inch unless I explain everything.\I want to chase after the two because they're headed somewhere,\but I can't catch up unless I get the help of your familiar!\Please, help me!\You understand now? Thank you! response:	I grow fonder of your Sylpheed each time I see it.
context: I have to figure out exactly where those two are headed!\You understand, right?!\Oh, right, you won't move an inch unless I explain everything.\I want to chase after the two because they're headed somewhere,\but I can't catch up unless I get the help of your familiar!\Please, help me!\You understand now? Thank you!\I grow fonder of your Sylpheed each time I see it. response:	Which way?
context: You understand, right?!\Oh, right, you won't move an inch unless I explain everything.\I want to chase after the two because they're headed somewhere,\but I can't catch up unless I get the help of your familiar!\Please, help me!\You understand now? Thank you!\I grow fonder of your Sylpheed each time I see it.\Which way? response:	Well, I was in a rush...
context: Oh, right, you won't move an inch unless I explain everything.\I want to chase after the two because they're headed somewhere,\but I can't catch up unless I get the help of your familiar!\Please, help me!\You understand now? Thank you!\I grow fonder of your Sylpheed each time I see it.\Which way?\Well, I was in a rush... response:	A horse, with two people riding it.
context: I want to chase after the two because they're headed somewhere,\but I can't catch up unless I get the help of your familiar!\Please, help me!\You understand now? Thank you!\I grow fonder of your Sylpheed each time I see it.\Which way?\Well, I was in a rush...\A horse, with two people riding it. response:	Don't eat them.
context: but I can't catch up unless I get the help of your familiar!\Please, help me!\You understand now? Thank you!\I grow fonder of your Sylpheed each time I see it.\Which way?\Well, I was in a rush...\A horse, with two people riding it.\Don't eat them. response:	Walk a bit slower!
context: Please, help me!\You understand now? Thank you!\I grow fonder of your Sylpheed each time I see it.\Which way?\Well, I was in a rush...\A horse, with two people riding it.\Don't eat them.\Walk a bit slower! response:	My back is in shambles, you know.
context: You understand now? Thank you!\I grow fonder of your Sylpheed each time I see it.\Which way?\Well, I was in a rush...\A horse, with two people riding it.\Don't eat them.\Walk a bit slower!\My back is in shambles, you know. response:	You didn't tell me that it took three hours on horseback.
context: I grow fonder of your Sylpheed each time I see it.\Which way?\Well, I was in a rush...\A horse, with two people riding it.\Don't eat them.\Walk a bit slower!\My back is in shambles, you know.\You didn't tell me that it took three hours on horseback. response:	I think it was right next to Viemont's elixir shop...
context: Which way?\Well, I was in a rush...\A horse, with two people riding it.\Don't eat them.\Walk a bit slower!\My back is in shambles, you know.\You didn't tell me that it took three hours on horseback.\I think it was right next to Viemont's elixir shop... response:	Oh, here it is!
context: Well, I was in a rush...\A horse, with two people riding it.\Don't eat them.\Walk a bit slower!\My back is in shambles, you know.\You didn't tell me that it took three hours on horseback.\I think it was right next to Viemont's elixir shop...\Oh, here it is! response:	Swords?
context: A horse, with two people riding it.\Don't eat them.\Walk a bit slower!\My back is in shambles, you know.\You didn't tell me that it took three hours on horseback.\I think it was right next to Viemont's elixir shop...\Oh, here it is!\Swords? response:	Lately, it's the fad among even the royalty
context: Don't eat them.\Walk a bit slower!\My back is in shambles, you know.\You didn't tell me that it took three hours on horseback.\I think it was right next to Viemont's elixir shop...\Oh, here it is!\Swords?\Lately, it's the fad among even the royalty response:	to equip their servants with weapons.
context: Walk a bit slower!\My back is in shambles, you know.\You didn't tell me that it took three hours on horseback.\I think it was right next to Viemont's elixir shop...\Oh, here it is!\Swords?\Lately, it's the fad among even the royalty\to equip their servants with weapons. response:	You wielded a much bigger sword the other day.
context: My back is in shambles, you know.\You didn't tell me that it took three hours on horseback.\I think it was right next to Viemont's elixir shop...\Oh, here it is!\Swords?\Lately, it's the fad among even the royalty\to equip their servants with weapons.\You wielded a much bigger sword the other day. response:	Was that so?
context: You didn't tell me that it took three hours on horseback.\I think it was right next to Viemont's elixir shop...\Oh, here it is!\Swords?\Lately, it's the fad among even the royalty\to equip their servants with weapons.\You wielded a much bigger sword the other day.\Was that so? response:	I want one that's longer and thicker.
context: I think it was right next to Viemont's elixir shop...\Oh, here it is!\Swords?\Lately, it's the fad among even the royalty\to equip their servants with weapons.\You wielded a much bigger sword the other day.\Was that so?\I want one that's longer and thicker. response:	Pardon me for saying so,
context: Oh, here it is!\Swords?\Lately, it's the fad among even the royalty\to equip their servants with weapons.\You wielded a much bigger sword the other day.\Was that so?\I want one that's longer and thicker.\Pardon me for saying so, response:	but I believe this is the right size for this individual.
context: Swords?\Lately, it's the fad among even the royalty\to equip their servants with weapons.\You wielded a much bigger sword the other day.\Was that so?\I want one that's longer and thicker.\Pardon me for saying so,\but I believe this is the right size for this individual. response:	I said, I want one that's longer and thicker!
context: Lately, it's the fad among even the royalty\to equip their servants with weapons.\You wielded a much bigger sword the other day.\Was that so?\I want one that's longer and thicker.\Pardon me for saying so,\but I believe this is the right size for this individual.\I said, I want one that's longer and thicker! response:	Sure.
context: to equip their servants with weapons.\You wielded a much bigger sword the other day.\Was that so?\I want one that's longer and thicker.\Pardon me for saying so,\but I believe this is the right size for this individual.\I said, I want one that's longer and thicker!\Sure. response:	An ignorant noble... She's just asking for it!
context: You wielded a much bigger sword the other day.\Was that so?\I want one that's longer and thicker.\Pardon me for saying so,\but I believe this is the right size for this individual.\I said, I want one that's longer and thicker!\Sure.\An ignorant noble... She's just asking for it! response:	Are you buying me a sword?
context: Was that so?\I want one that's longer and thicker.\Pardon me for saying so,\but I believe this is the right size for this individual.\I said, I want one that's longer and thicker!\Sure.\An ignorant noble... She's just asking for it!\Are you buying me a sword? response:	It's dangerous if Kirche is after you.
context: I want one that's longer and thicker.\Pardon me for saying so,\but I believe this is the right size for this individual.\I said, I want one that's longer and thicker!\Sure.\An ignorant noble... She's just asking for it!\Are you buying me a sword?\It's dangerous if Kirche is after you. response:	You have to have a way to defend yourself.
context: Pardon me for saying so,\but I believe this is the right size for this individual.\I said, I want one that's longer and thicker!\Sure.\An ignorant noble... She's just asking for it!\Are you buying me a sword?\It's dangerous if Kirche is after you.\You have to have a way to defend yourself. response:	How unusual for someone so stingy!
context: but I believe this is the right size for this individual.\I said, I want one that's longer and thicker!\Sure.\An ignorant noble... She's just asking for it!\Are you buying me a sword?\It's dangerous if Kirche is after you.\You have to have a way to defend yourself.\How unusual for someone so stingy! response:	Who are you calling stingy?
context: I said, I want one that's longer and thicker!\Sure.\An ignorant noble... She's just asking for it!\Are you buying me a sword?\It's dangerous if Kirche is after you.\You have to have a way to defend yourself.\How unusual for someone so stingy!\Who are you calling stingy? response:	If I spoil my familiar, he'll get accustomed to it, no?
context: Sure.\An ignorant noble... She's just asking for it!\Are you buying me a sword?\It's dangerous if Kirche is after you.\You have to have a way to defend yourself.\How unusual for someone so stingy!\Who are you calling stingy?\If I spoil my familiar, he'll get accustomed to it, no? response:	But I always provide that which is necessary.
context: An ignorant noble... She's just asking for it!\Are you buying me a sword?\It's dangerous if Kirche is after you.\You have to have a way to defend yourself.\How unusual for someone so stingy!\Who are you calling stingy?\If I spoil my familiar, he'll get accustomed to it, no?\But I always provide that which is necessary. response:	Sorry to make you wait.
context: Are you buying me a sword?\It's dangerous if Kirche is after you.\You have to have a way to defend yourself.\How unusual for someone so stingy!\Who are you calling stingy?\If I spoil my familiar, he'll get accustomed to it, no?\But I always provide that which is necessary.\Sorry to make you wait. response:	Amazing!
context: It's dangerous if Kirche is after you.\You have to have a way to defend yourself.\How unusual for someone so stingy!\Who are you calling stingy?\If I spoil my familiar, he'll get accustomed to it, no?\But I always provide that which is necessary.\Sorry to make you wait.\Amazing! response:	This is the best item we have in our store.
context: You have to have a way to defend yourself.\How unusual for someone so stingy!\Who are you calling stingy?\If I spoil my familiar, he'll get accustomed to it, no?\But I always provide that which is necessary.\Sorry to make you wait.\Amazing!\This is the best item we have in our store. response:	It was forged by the famous alchemist mage,
context: How unusual for someone so stingy!\Who are you calling stingy?\If I spoil my familiar, he'll get accustomed to it, no?\But I always provide that which is necessary.\Sorry to make you wait.\Amazing!\This is the best item we have in our store.\It was forged by the famous alchemist mage, response:	Lord Schvert of Germania!
context: Who are you calling stingy?\If I spoil my familiar, he'll get accustomed to it, no?\But I always provide that which is necessary.\Sorry to make you wait.\Amazing!\This is the best item we have in our store.\It was forged by the famous alchemist mage,\Lord Schvert of Germania! response:	It slices steel ever so easily!
context: If I spoil my familiar, he'll get accustomed to it, no?\But I always provide that which is necessary.\Sorry to make you wait.\Amazing!\This is the best item we have in our store.\It was forged by the famous alchemist mage,\Lord Schvert of Germania!\It slices steel ever so easily! response:	How much?
context: But I always provide that which is necessary.\Sorry to make you wait.\Amazing!\This is the best item we have in our store.\It was forged by the famous alchemist mage,\Lord Schvert of Germania!\It slices steel ever so easily!\How much? response:	Three thousand, if you're using new gold coins.
context: Sorry to make you wait.\Amazing!\This is the best item we have in our store.\It was forged by the famous alchemist mage,\Lord Schvert of Germania!\It slices steel ever so easily!\How much?\Three thousand, if you're using new gold coins. response:	You can buy a nice house and garden with a forest for that much!
context: Amazing!\This is the best item we have in our store.\It was forged by the famous alchemist mage,\Lord Schvert of Germania!\It slices steel ever so easily!\How much?\Three thousand, if you're using new gold coins.\You can buy a nice house and garden with a forest for that much! response:	A good sword is comparable to a castle.
context: This is the best item we have in our store.\It was forged by the famous alchemist mage,\Lord Schvert of Germania!\It slices steel ever so easily!\How much?\Three thousand, if you're using new gold coins.\You can buy a nice house and garden with a forest for that much!\A good sword is comparable to a castle. response:	It's a good deal if one estate will do.
context: It was forged by the famous alchemist mage,\Lord Schvert of Germania!\It slices steel ever so easily!\How much?\Three thousand, if you're using new gold coins.\You can buy a nice house and garden with a forest for that much!\A good sword is comparable to a castle.\It's a good deal if one estate will do. response:	I only have a hundred new gold on me.
context: Lord Schvert of Germania!\It slices steel ever so easily!\How much?\Three thousand, if you're using new gold coins.\You can buy a nice house and garden with a forest for that much!\A good sword is comparable to a castle.\It's a good deal if one estate will do.\I only have a hundred new gold on me. response:	What, you can't buy it?
context: It slices steel ever so easily!\How much?\Three thousand, if you're using new gold coins.\You can buy a nice house and garden with a forest for that much!\A good sword is comparable to a castle.\It's a good deal if one estate will do.\I only have a hundred new gold on me.\What, you can't buy it? response:	Well, a decent claymore costs about two hundred on average.
context: How much?\Three thousand, if you're using new gold coins.\You can buy a nice house and garden with a forest for that much!\A good sword is comparable to a castle.\It's a good deal if one estate will do.\I only have a hundred new gold on me.\What, you can't buy it?\Well, a decent claymore costs about two hundred on average. response:	Isn't there something that I can buy with one hundred gold?
context: Three thousand, if you're using new gold coins.\You can buy a nice house and garden with a forest for that much!\A good sword is comparable to a castle.\It's a good deal if one estate will do.\I only have a hundred new gold on me.\What, you can't buy it?\Well, a decent claymore costs about two hundred on average.\Isn't there something that I can buy with one hundred gold? response:	One hundred? Well, I do have something...
context: You can buy a nice house and garden with a forest for that much!\A good sword is comparable to a castle.\It's a good deal if one estate will do.\I only have a hundred new gold on me.\What, you can't buy it?\Well, a decent claymore costs about two hundred on average.\Isn't there something that I can buy with one hundred gold?\One hundred? Well, I do have something... response:	Isn't this junk?
context: A good sword is comparable to a castle.\It's a good deal if one estate will do.\I only have a hundred new gold on me.\What, you can't buy it?\Well, a decent claymore costs about two hundred on average.\Isn't there something that I can buy with one hundred gold?\One hundred? Well, I do have something...\Isn't this junk? response:	Well, it's a bit old.
context: It's a good deal if one estate will do.\I only have a hundred new gold on me.\What, you can't buy it?\Well, a decent claymore costs about two hundred on average.\Isn't there something that I can buy with one hundred gold?\One hundred? Well, I do have something...\Isn't this junk?\Well, it's a bit old. response:	Don't worry, plenty of use in it if you tidy it up.
context: I only have a hundred new gold on me.\What, you can't buy it?\Well, a decent claymore costs about two hundred on average.\Isn't there something that I can buy with one hundred gold?\One hundred? Well, I do have something...\Isn't this junk?\Well, it's a bit old.\Don't worry, plenty of use in it if you tidy it up. response:	I'll take it.
context: What, you can't buy it?\Well, a decent claymore costs about two hundred on average.\Isn't there something that I can buy with one hundred gold?\One hundred? Well, I do have something...\Isn't this junk?\Well, it's a bit old.\Don't worry, plenty of use in it if you tidy it up.\I'll take it. response:	Thank you!
