context: I am still sleepy. response:	Ah, I can't!
context: That tickles. I'm sorry.\I won't frighten you anymore so please,\turn back into a card.\Thank goodness'\You did it, Sakura!\Kero,\if there's a reason to use magic and if it's little by little,\Then it's OK to change response:	the Clow Cards into Sakura Cards, right? That's right.
context: I won't frighten you anymore so please,\turn back into a card.\Thank goodness'\You did it, Sakura!\Kero,\if there's a reason to use magic and if it's little by little,\Then it's OK to change\the Clow Cards into Sakura Cards, right? That's right. response:	I don't know why strange events
context: turn back into a card.\Thank goodness'\You did it, Sakura!\Kero,\if there's a reason to use magic and if it's little by little,\Then it's OK to change\the Clow Cards into Sakura Cards, right? That's right.\I don't know why strange events response:	keep turning up in Tomoeda
context: Thank goodness'\You did it, Sakura!\Kero,\if there's a reason to use magic and if it's little by little,\Then it's OK to change\the Clow Cards into Sakura Cards, right? That's right.\I don't know why strange events\keep turning up in Tomoeda response:	or why I can't use the magic power
context: You did it, Sakura!\Kero,\if there's a reason to use magic and if it's little by little,\Then it's OK to change\the Clow Cards into Sakura Cards, right? That's right.\I don't know why strange events\keep turning up in Tomoeda\or why I can't use the magic power response:	from the Clow Cards
context: Kero,\if there's a reason to use magic and if it's little by little,\Then it's OK to change\the Clow Cards into Sakura Cards, right? That's right.\I don't know why strange events\keep turning up in Tomoeda\or why I can't use the magic power\from the Clow Cards response:	But I'll do my best
context: if there's a reason to use magic and if it's little by little,\Then it's OK to change\the Clow Cards into Sakura Cards, right? That's right.\I don't know why strange events\keep turning up in Tomoeda\or why I can't use the magic power\from the Clow Cards\But I'll do my best response:	to change all the cards
context: Then it's OK to change\the Clow Cards into Sakura Cards, right? That's right.\I don't know why strange events\keep turning up in Tomoeda\or why I can't use the magic power\from the Clow Cards\But I'll do my best\to change all the cards response:	And then, when I've changed all the cards
context: the Clow Cards into Sakura Cards, right? That's right.\I don't know why strange events\keep turning up in Tomoeda\or why I can't use the magic power\from the Clow Cards\But I'll do my best\to change all the cards\And then, when I've changed all the cards response:	and when my magic becomes stronger,
context: I don't know why strange events\keep turning up in Tomoeda\or why I can't use the magic power\from the Clow Cards\But I'll do my best\to change all the cards\And then, when I've changed all the cards\and when my magic becomes stronger, response:	I might find out
context: keep turning up in Tomoeda\or why I can't use the magic power\from the Clow Cards\But I'll do my best\to change all the cards\And then, when I've changed all the cards\and when my magic becomes stronger,\I might find out response:	why all these strange events keep happening.
context: or why I can't use the magic power\from the Clow Cards\But I'll do my best\to change all the cards\And then, when I've changed all the cards\and when my magic becomes stronger,\I might find out\why all these strange events keep happening. response:	Exactly!!
context: from the Clow Cards\But I'll do my best\to change all the cards\And then, when I've changed all the cards\and when my magic becomes stronger,\I might find out\why all these strange events keep happening.\Exactly!! response:	Allright! I'll do my best.
context: But I'll do my best\to change all the cards\And then, when I've changed all the cards\and when my magic becomes stronger,\I might find out\why all these strange events keep happening.\Exactly!!\Allright! I'll do my best. response:	Sakura! What's wrong?
context: to change all the cards\And then, when I've changed all the cards\and when my magic becomes stronger,\I might find out\why all these strange events keep happening.\Exactly!!\Allright! I'll do my best.\Sakura! What's wrong? response:	Sleepy'
context: And then, when I've changed all the cards\and when my magic becomes stronger,\I might find out\why all these strange events keep happening.\Exactly!!\Allright! I'll do my best.\Sakura! What's wrong?\Sleepy' response:	It's because you overdid it!
context: and when my magic becomes stronger,\I might find out\why all these strange events keep happening.\Exactly!!\Allright! I'll do my best.\Sakura! What's wrong?\Sleepy'\It's because you overdid it! response:	Hey! Wake up!!!
context: I might find out\why all these strange events keep happening.\Exactly!!\Allright! I'll do my best.\Sakura! What's wrong?\Sleepy'\It's because you overdid it!\Hey! Wake up!!! response:	I can't go on without you'
context: why all these strange events keep happening.\Exactly!!\Allright! I'll do my best.\Sakura! What's wrong?\Sleepy'\It's because you overdid it!\Hey! Wake up!!!\I can't go on without you' response:	Get a hold of yourself'!
context: Exactly!!\Allright! I'll do my best.\Sakura! What's wrong?\Sleepy'\It's because you overdid it!\Hey! Wake up!!!\I can't go on without you'\Get a hold of yourself'! response:	I didn't make it on time!
context: Allright! I'll do my best.\Sakura! What's wrong?\Sleepy'\It's because you overdid it!\Hey! Wake up!!!\I can't go on without you'\Get a hold of yourself'!\I didn't make it on time! response:	It just ended right now!
context: Sakura! What's wrong?\Sleepy'\It's because you overdid it!\Hey! Wake up!!!\I can't go on without you'\Get a hold of yourself'!\I didn't make it on time!\It just ended right now! response:	Who would've thought that
context: Sleepy'\It's because you overdid it!\Hey! Wake up!!!\I can't go on without you'\Get a hold of yourself'!\I didn't make it on time!\It just ended right now!\Who would've thought that response:	I would get a phone call from Sakura while I was taking short bath?
context: It's because you overdid it!\Hey! Wake up!!!\I can't go on without you'\Get a hold of yourself'!\I didn't make it on time!\It just ended right now!\Who would've thought that\I would get a phone call from Sakura while I was taking short bath? response:	I even brought the costume'
context: Hey! Wake up!!!\I can't go on without you'\Get a hold of yourself'!\I didn't make it on time!\It just ended right now!\Who would've thought that\I would get a phone call from Sakura while I was taking short bath?\I even brought the costume' response:	Well there's no need to worry because I was by her side.
context: I can't go on without you'\Get a hold of yourself'!\I didn't make it on time!\It just ended right now!\Who would've thought that\I would get a phone call from Sakura while I was taking short bath?\I even brought the costume'\Well there's no need to worry because I was by her side. response:	At least' At least'
context: Get a hold of yourself'!\I didn't make it on time!\It just ended right now!\Who would've thought that\I would get a phone call from Sakura while I was taking short bath?\I even brought the costume'\Well there's no need to worry because I was by her side.\At least' At least' response:	Let me get Sakura-chan's
context: I didn't make it on time!\It just ended right now!\Who would've thought that\I would get a phone call from Sakura while I was taking short bath?\I even brought the costume'\Well there's no need to worry because I was by her side.\At least' At least'\Let me get Sakura-chan's response:	cute sleeping face on video!!
context: It just ended right now!\Who would've thought that\I would get a phone call from Sakura while I was taking short bath?\I even brought the costume'\Well there's no need to worry because I was by her side.\At least' At least'\Let me get Sakura-chan's\cute sleeping face on video!! response:	The batteries are running out!!
context: Who would've thought that\I would get a phone call from Sakura while I was taking short bath?\I even brought the costume'\Well there's no need to worry because I was by her side.\At least' At least'\Let me get Sakura-chan's\cute sleeping face on video!!\The batteries are running out!! response:	Really, I'm so careless today!
context: I would get a phone call from Sakura while I was taking short bath?\I even brought the costume'\Well there's no need to worry because I was by her side.\At least' At least'\Let me get Sakura-chan's\cute sleeping face on video!!\The batteries are running out!!\Really, I'm so careless today! response:	Get my cool pose as well!!
context: I even brought the costume'\Well there's no need to worry because I was by her side.\At least' At least'\Let me get Sakura-chan's\cute sleeping face on video!!\The batteries are running out!!\Really, I'm so careless today!\Get my cool pose as well!! response:	Sakura's smiling face is so cute!!
context: Well there's no need to worry because I was by her side.\At least' At least'\Let me get Sakura-chan's\cute sleeping face on video!!\The batteries are running out!!\Really, I'm so careless today!\Get my cool pose as well!!\Sakura's smiling face is so cute!! response:	Are you listening to me, Tomoyo?!
context: At least' At least'\Let me get Sakura-chan's\cute sleeping face on video!!\The batteries are running out!!\Really, I'm so careless today!\Get my cool pose as well!!\Sakura's smiling face is so cute!!\Are you listening to me, Tomoyo?! response:	Really Sakura is'
context: Let me get Sakura-chan's\cute sleeping face on video!!\The batteries are running out!!\Really, I'm so careless today!\Get my cool pose as well!!\Sakura's smiling face is so cute!!\Are you listening to me, Tomoyo?!\Really Sakura is' response:	Sakura is so'ute!!
context: cute sleeping face on video!!\The batteries are running out!!\Really, I'm so careless today!\Get my cool pose as well!!\Sakura's smiling face is so cute!!\Are you listening to me, Tomoyo?!\Really Sakura is'\Sakura is so'ute!! response:	Are you listening to me, Tomoyo?!
context: The batteries are running out!!\Really, I'm so careless today!\Get my cool pose as well!!\Sakura's smiling face is so cute!!\Are you listening to me, Tomoyo?!\Really Sakura is'\Sakura is so'ute!!\Are you listening to me, Tomoyo?! response:	Being able to shoot Sakura like this
context: Really, I'm so careless today!\Get my cool pose as well!!\Sakura's smiling face is so cute!!\Are you listening to me, Tomoyo?!\Really Sakura is'\Sakura is so'ute!!\Are you listening to me, Tomoyo?!\Being able to shoot Sakura like this response:	forever makes me so happy
context: Get my cool pose as well!!\Sakura's smiling face is so cute!!\Are you listening to me, Tomoyo?!\Really Sakura is'\Sakura is so'ute!!\Are you listening to me, Tomoyo?!\Being able to shoot Sakura like this\forever makes me so happy response:	Are you listening to me, Tomoyo?!!!?
