context: What Lies on the Opposite Shore response:	After the third day of the new year, my health was restored.
context: Oh no. Whoops, sorry about that!\Slap\Avalanche\Take whatever you like!\Hey, Nakamura! Bring some bags you can put fish in!\Okay!\Also, tell everyone from Modern Shogi downstairs to come up!\Unlimited capturing! response:	How about this, Smith? 40 sardines!
context: Slap\Avalanche\Take whatever you like!\Hey, Nakamura! Bring some bags you can put fish in!\Okay!\Also, tell everyone from Modern Shogi downstairs to come up!\Unlimited capturing!\How about this, Smith? 40 sardines! response:	Stuffed
context: Avalanche\Take whatever you like!\Hey, Nakamura! Bring some bags you can put fish in!\Okay!\Also, tell everyone from Modern Shogi downstairs to come up!\Unlimited capturing!\How about this, Smith? 40 sardines!\Stuffed response:	I can't. A bachelor probably can't handle 40 fish.
context: Take whatever you like!\Hey, Nakamura! Bring some bags you can put fish in!\Okay!\Also, tell everyone from Modern Shogi downstairs to come up!\Unlimited capturing!\How about this, Smith? 40 sardines!\Stuffed\I can't. A bachelor probably can't handle 40 fish. response:	What's the deal with the teardrop sunglasses? I thought it was some old hipster.
context: Hey, Nakamura! Bring some bags you can put fish in!\Okay!\Also, tell everyone from Modern Shogi downstairs to come up!\Unlimited capturing!\How about this, Smith? 40 sardines!\Stuffed\I can't. A bachelor probably can't handle 40 fish.\What's the deal with the teardrop sunglasses? I thought it was some old hipster. response:	Never mind the fish. Please introduce me to a woman who will fillet fish, Chairman.
context: Okay!\Also, tell everyone from Modern Shogi downstairs to come up!\Unlimited capturing!\How about this, Smith? 40 sardines!\Stuffed\I can't. A bachelor probably can't handle 40 fish.\What's the deal with the teardrop sunglasses? I thought it was some old hipster.\Never mind the fish. Please introduce me to a woman who will fillet fish, Chairman. response:	Blunt
context: Also, tell everyone from Modern Shogi downstairs to come up!\Unlimited capturing!\How about this, Smith? 40 sardines!\Stuffed\I can't. A bachelor probably can't handle 40 fish.\What's the deal with the teardrop sunglasses? I thought it was some old hipster.\Never mind the fish. Please introduce me to a woman who will fillet fish, Chairman.\Blunt response:	Sheesh.
context: Unlimited capturing!\How about this, Smith? 40 sardines!\Stuffed\I can't. A bachelor probably can't handle 40 fish.\What's the deal with the teardrop sunglasses? I thought it was some old hipster.\Never mind the fish. Please introduce me to a woman who will fillet fish, Chairman.\Blunt\Sheesh. response:	All of this...
context: How about this, Smith? 40 sardines!\Stuffed\I can't. A bachelor probably can't handle 40 fish.\What's the deal with the teardrop sunglasses? I thought it was some old hipster.\Never mind the fish. Please introduce me to a woman who will fillet fish, Chairman.\Blunt\Sheesh.\All of this... response:	Crammed
context: Stuffed\I can't. A bachelor probably can't handle 40 fish.\What's the deal with the teardrop sunglasses? I thought it was some old hipster.\Never mind the fish. Please introduce me to a woman who will fillet fish, Chairman.\Blunt\Sheesh.\All of this...\Crammed response:	Mr. Gotou should've taken some home.
context: I can't. A bachelor probably can't handle 40 fish.\What's the deal with the teardrop sunglasses? I thought it was some old hipster.\Never mind the fish. Please introduce me to a woman who will fillet fish, Chairman.\Blunt\Sheesh.\All of this...\Crammed\Mr. Gotou should've taken some home. response:	Since he's a married man...
context: What's the deal with the teardrop sunglasses? I thought it was some old hipster.\Never mind the fish. Please introduce me to a woman who will fillet fish, Chairman.\Blunt\Sheesh.\All of this...\Crammed\Mr. Gotou should've taken some home.\Since he's a married man... response:	His wife's still in the hospital.
context: Never mind the fish. Please introduce me to a woman who will fillet fish, Chairman.\Blunt\Sheesh.\All of this...\Crammed\Mr. Gotou should've taken some home.\Since he's a married man...\His wife's still in the hospital. response:	I see...
context: Blunt\Sheesh.\All of this...\Crammed\Mr. Gotou should've taken some home.\Since he's a married man...\His wife's still in the hospital.\I see... response:	Nakamura! Are these all the bags we have?
context: Sheesh.\All of this...\Crammed\Mr. Gotou should've taken some home.\Since he's a married man...\His wife's still in the hospital.\I see...\Nakamura! Are these all the bags we have? response:	I'll look for more!
context: All of this...\Crammed\Mr. Gotou should've taken some home.\Since he's a married man...\His wife's still in the hospital.\I see...\Nakamura! Are these all the bags we have?\I'll look for more! response:	Well, then.
context: Crammed\Mr. Gotou should've taken some home.\Since he's a married man...\His wife's still in the hospital.\I see...\Nakamura! Are these all the bags we have?\I'll look for more!\Well, then. response:	Then I'll take these bluish ones...
context: Mr. Gotou should've taken some home.\Since he's a married man...\His wife's still in the hospital.\I see...\Nakamura! Are these all the bags we have?\I'll look for more!\Well, then.\Then I'll take these bluish ones... response:	What's that called again? DHA?
context: Since he's a married man...\His wife's still in the hospital.\I see...\Nakamura! Are these all the bags we have?\I'll look for more!\Well, then.\Then I'll take these bluish ones...\What's that called again? DHA? response:	It was popular, supposed to be good for the brain.
context: His wife's still in the hospital.\I see...\Nakamura! Are these all the bags we have?\I'll look for more!\Well, then.\Then I'll take these bluish ones...\What's that called again? DHA?\It was popular, supposed to be good for the brain. response:	Well, have a good evening.
context: I see...\Nakamura! Are these all the bags we have?\I'll look for more!\Well, then.\Then I'll take these bluish ones...\What's that called again? DHA?\It was popular, supposed to be good for the brain.\Well, have a good evening. response:	I'll eat this and come up with countermeasures against Gotou.
context: Nakamura! Are these all the bags we have?\I'll look for more!\Well, then.\Then I'll take these bluish ones...\What's that called again? DHA?\It was popular, supposed to be good for the brain.\Well, have a good evening.\I'll eat this and come up with countermeasures against Gotou. response:	Oh, I'd better head out, too.
context: I'll look for more!\Well, then.\Then I'll take these bluish ones...\What's that called again? DHA?\It was popular, supposed to be good for the brain.\Well, have a good evening.\I'll eat this and come up with countermeasures against Gotou.\Oh, I'd better head out, too. response:	Kiriyama!
context: Well, then.\Then I'll take these bluish ones...\What's that called again? DHA?\It was popular, supposed to be good for the brain.\Well, have a good evening.\I'll eat this and come up with countermeasures against Gotou.\Oh, I'd better head out, too.\Kiriyama! response:	Wham
context: Then I'll take these bluish ones...\What's that called again? DHA?\It was popular, supposed to be good for the brain.\Well, have a good evening.\I'll eat this and come up with countermeasures against Gotou.\Oh, I'd better head out, too.\Kiriyama!\Wham response:	I heard from the owner at Bar Misaki.
context: What's that called again? DHA?\It was popular, supposed to be good for the brain.\Well, have a good evening.\I'll eat this and come up with countermeasures against Gotou.\Oh, I'd better head out, too.\Kiriyama!\Wham\I heard from the owner at Bar Misaki. response:	Crunch Crunch
context: It was popular, supposed to be good for the brain.\Well, have a good evening.\I'll eat this and come up with countermeasures against Gotou.\Oh, I'd better head out, too.\Kiriyama!\Wham\I heard from the owner at Bar Misaki.\Crunch Crunch response:	It seems you've been enjoying the hospitality of her beautiful niece at that house lately?
context: Well, have a good evening.\I'll eat this and come up with countermeasures against Gotou.\Oh, I'd better head out, too.\Kiriyama!\Wham\I heard from the owner at Bar Misaki.\Crunch Crunch\It seems you've been enjoying the hospitality of her beautiful niece at that house lately? response:	Owowow!
context: I'll eat this and come up with countermeasures against Gotou.\Oh, I'd better head out, too.\Kiriyama!\Wham\I heard from the owner at Bar Misaki.\Crunch Crunch\It seems you've been enjoying the hospitality of her beautiful niece at that house lately?\Owowow! response:	You should keep that a secret.
context: Oh, I'd better head out, too.\Kiriyama!\Wham\I heard from the owner at Bar Misaki.\Crunch Crunch\It seems you've been enjoying the hospitality of her beautiful niece at that house lately?\Owowow!\You should keep that a secret. response:	There are plenty of our association's members who are head-over-heels for her.
context: Kiriyama!\Wham\I heard from the owner at Bar Misaki.\Crunch Crunch\It seems you've been enjoying the hospitality of her beautiful niece at that house lately?\Owowow!\You should keep that a secret.\There are plenty of our association's members who are head-over-heels for her. response:	Heavy!
context: Wham\I heard from the owner at Bar Misaki.\Crunch Crunch\It seems you've been enjoying the hospitality of her beautiful niece at that house lately?\Owowow!\You should keep that a secret.\There are plenty of our association's members who are head-over-heels for her.\Heavy! response:	Heavy! Reek
context: I heard from the owner at Bar Misaki.\Crunch Crunch\It seems you've been enjoying the hospitality of her beautiful niece at that house lately?\Owowow!\You should keep that a secret.\There are plenty of our association's members who are head-over-heels for her.\Heavy!\Heavy! Reek response:	Gross. Do you smell something fishy?
context: Crunch Crunch\It seems you've been enjoying the hospitality of her beautiful niece at that house lately?\Owowow!\You should keep that a secret.\There are plenty of our association's members who are head-over-heels for her.\Heavy!\Heavy! Reek\Gross. Do you smell something fishy? response:	If she's taking care of you, why don't you bring her some?
context: It seems you've been enjoying the hospitality of her beautiful niece at that house lately?\Owowow!\You should keep that a secret.\There are plenty of our association's members who are head-over-heels for her.\Heavy!\Heavy! Reek\Gross. Do you smell something fishy?\If she's taking care of you, why don't you bring her some? response:	The owner proudly said she's a good cook.
context: Owowow!\You should keep that a secret.\There are plenty of our association's members who are head-over-heels for her.\Heavy!\Heavy! Reek\Gross. Do you smell something fishy?\If she's taking care of you, why don't you bring her some?\The owner proudly said she's a good cook. response:	Heavy!
context: You should keep that a secret.\There are plenty of our association's members who are head-over-heels for her.\Heavy!\Heavy! Reek\Gross. Do you smell something fishy?\If she's taking care of you, why don't you bring her some?\The owner proudly said she's a good cook.\Heavy! response:	He loaded me down with fish.
context: There are plenty of our association's members who are head-over-heels for her.\Heavy!\Heavy! Reek\Gross. Do you smell something fishy?\If she's taking care of you, why don't you bring her some?\The owner proudly said she's a good cook.\Heavy!\He loaded me down with fish. response:	Filleting them will probably be a real chore.
context: Heavy!\Heavy! Reek\Gross. Do you smell something fishy?\If she's taking care of you, why don't you bring her some?\The owner proudly said she's a good cook.\Heavy!\He loaded me down with fish.\Filleting them will probably be a real chore. response:	What if this just becomes a burden to her?
context: Heavy! Reek\Gross. Do you smell something fishy?\If she's taking care of you, why don't you bring her some?\The owner proudly said she's a good cook.\Heavy!\He loaded me down with fish.\Filleting them will probably be a real chore.\What if this just becomes a burden to her? response:	When I'm inside, it's so warm and comfortable,
context: Gross. Do you smell something fishy?\If she's taking care of you, why don't you bring her some?\The owner proudly said she's a good cook.\Heavy!\He loaded me down with fish.\Filleting them will probably be a real chore.\What if this just becomes a burden to her?\When I'm inside, it's so warm and comfortable, response:	I almost melt.
context: If she's taking care of you, why don't you bring her some?\The owner proudly said she's a good cook.\Heavy!\He loaded me down with fish.\Filleting them will probably be a real chore.\What if this just becomes a burden to her?\When I'm inside, it's so warm and comfortable,\I almost melt. response:	This house is like a kotatsu.
context: The owner proudly said she's a good cook.\Heavy!\He loaded me down with fish.\Filleting them will probably be a real chore.\What if this just becomes a burden to her?\When I'm inside, it's so warm and comfortable,\I almost melt.\This house is like a kotatsu. response:	I'm scared that I'll never be able to leave again.
context: Heavy!\He loaded me down with fish.\Filleting them will probably be a real chore.\What if this just becomes a burden to her?\When I'm inside, it's so warm and comfortable,\I almost melt.\This house is like a kotatsu.\I'm scared that I'll never be able to leave again. response:	That's why I thought to stay away for a while.
context: He loaded me down with fish.\Filleting them will probably be a real chore.\What if this just becomes a burden to her?\When I'm inside, it's so warm and comfortable,\I almost melt.\This house is like a kotatsu.\I'm scared that I'll never be able to leave again.\That's why I thought to stay away for a while. response:	But here I am.
context: Filleting them will probably be a real chore.\What if this just becomes a burden to her?\When I'm inside, it's so warm and comfortable,\I almost melt.\This house is like a kotatsu.\I'm scared that I'll never be able to leave again.\That's why I thought to stay away for a while.\But here I am. response:	Fwap
context: What if this just becomes a burden to her?\When I'm inside, it's so warm and comfortable,\I almost melt.\This house is like a kotatsu.\I'm scared that I'll never be able to leave again.\That's why I thought to stay away for a while.\But here I am.\Fwap response:	Really? Are you sure?
context: When I'm inside, it's so warm and comfortable,\I almost melt.\This house is like a kotatsu.\I'm scared that I'll never be able to leave again.\That's why I thought to stay away for a while.\But here I am.\Fwap\Really? Are you sure? response:	Quiver Quiver
context: I almost melt.\This house is like a kotatsu.\I'm scared that I'll never be able to leave again.\That's why I thought to stay away for a while.\But here I am.\Fwap\Really? Are you sure?\Quiver Quiver response:	I'll fillet the rockfish into three, fry them up, and have them for tomorrow's lunch.
context: This house is like a kotatsu.\I'm scared that I'll never be able to leave again.\That's why I thought to stay away for a while.\But here I am.\Fwap\Really? Are you sure?\Quiver Quiver\I'll fillet the rockfish into three, fry them up, and have them for tomorrow's lunch. response:	I'll slice the sardines into anchovies and save them for pizza and pasta!
context: I'm scared that I'll never be able to leave again.\That's why I thought to stay away for a while.\But here I am.\Fwap\Really? Are you sure?\Quiver Quiver\I'll fillet the rockfish into three, fry them up, and have them for tomorrow's lunch.\I'll slice the sardines into anchovies and save them for pizza and pasta! response:	I'll fillet the flounder into five pieces, split it into salted fish and sashimi...
context: That's why I thought to stay away for a while.\But here I am.\Fwap\Really? Are you sure?\Quiver Quiver\I'll fillet the rockfish into three, fry them up, and have them for tomorrow's lunch.\I'll slice the sardines into anchovies and save them for pizza and pasta!\I'll fillet the flounder into five pieces, split it into salted fish and sashimi... response:	Um... uh...
context: But here I am.\Fwap\Really? Are you sure?\Quiver Quiver\I'll fillet the rockfish into three, fry them up, and have them for tomorrow's lunch.\I'll slice the sardines into anchovies and save them for pizza and pasta!\I'll fillet the flounder into five pieces, split it into salted fish and sashimi...\Um... uh... response:	How many days of food expenses will we save from this?
context: Fwap\Really? Are you sure?\Quiver Quiver\I'll fillet the rockfish into three, fry them up, and have them for tomorrow's lunch.\I'll slice the sardines into anchovies and save them for pizza and pasta!\I'll fillet the flounder into five pieces, split it into salted fish and sashimi...\Um... uh...\How many days of food expenses will we save from this? response:	This is wonderful! Thank you!
context: Really? Are you sure?\Quiver Quiver\I'll fillet the rockfish into three, fry them up, and have them for tomorrow's lunch.\I'll slice the sardines into anchovies and save them for pizza and pasta!\I'll fillet the flounder into five pieces, split it into salted fish and sashimi...\Um... uh...\How many days of food expenses will we save from this?\This is wonderful! Thank you! response:	Dash
context: Quiver Quiver\I'll fillet the rockfish into three, fry them up, and have them for tomorrow's lunch.\I'll slice the sardines into anchovies and save them for pizza and pasta!\I'll fillet the flounder into five pieces, split it into salted fish and sashimi...\Um... uh...\How many days of food expenses will we save from this?\This is wonderful! Thank you!\Dash response:	We got extravagant for New Year's, so she told us to be frugal for a while.
context: I'll fillet the rockfish into three, fry them up, and have them for tomorrow's lunch.\I'll slice the sardines into anchovies and save them for pizza and pasta!\I'll fillet the flounder into five pieces, split it into salted fish and sashimi...\Um... uh...\How many days of food expenses will we save from this?\This is wonderful! Thank you!\Dash\We got extravagant for New Year's, so she told us to be frugal for a while. response:	But now we can have delicious food from tomorrow!
context: I'll slice the sardines into anchovies and save them for pizza and pasta!\I'll fillet the flounder into five pieces, split it into salted fish and sashimi...\Um... uh...\How many days of food expenses will we save from this?\This is wonderful! Thank you!\Dash\We got extravagant for New Year's, so she told us to be frugal for a while.\But now we can have delicious food from tomorrow! response:	- Standby. - Okay!
context: I'll fillet the flounder into five pieces, split it into salted fish and sashimi...\Um... uh...\How many days of food expenses will we save from this?\This is wonderful! Thank you!\Dash\We got extravagant for New Year's, so she told us to be frugal for a while.\But now we can have delicious food from tomorrow!\- Standby. - Okay! response:	Streamlined
context: Um... uh...\How many days of food expenses will we save from this?\This is wonderful! Thank you!\Dash\We got extravagant for New Year's, so she told us to be frugal for a while.\But now we can have delicious food from tomorrow!\- Standby. - Okay!\Streamlined response:	Miso soup with cabbage and deep-fried tofu.
context: How many days of food expenses will we save from this?\This is wonderful! Thank you!\Dash\We got extravagant for New Year's, so she told us to be frugal for a while.\But now we can have delicious food from tomorrow!\- Standby. - Okay!\Streamlined\Miso soup with cabbage and deep-fried tofu. response:	Kinpira-style lotus root and carrots.
context: This is wonderful! Thank you!\Dash\We got extravagant for New Year's, so she told us to be frugal for a while.\But now we can have delicious food from tomorrow!\- Standby. - Okay!\Streamlined\Miso soup with cabbage and deep-fried tofu.\Kinpira-style lotus root and carrots. response:	Warm rice with raw egg.
context: Dash\We got extravagant for New Year's, so she told us to be frugal for a while.\But now we can have delicious food from tomorrow!\- Standby. - Okay!\Streamlined\Miso soup with cabbage and deep-fried tofu.\Kinpira-style lotus root and carrots.\Warm rice with raw egg. response:	We were already done eating. Those are the leftovers, so I hope that's okay.
context: We got extravagant for New Year's, so she told us to be frugal for a while.\But now we can have delicious food from tomorrow!\- Standby. - Okay!\Streamlined\Miso soup with cabbage and deep-fried tofu.\Kinpira-style lotus root and carrots.\Warm rice with raw egg.\We were already done eating. Those are the leftovers, so I hope that's okay. response:	Sorry we don't have anything.
context: But now we can have delicious food from tomorrow!\- Standby. - Okay!\Streamlined\Miso soup with cabbage and deep-fried tofu.\Kinpira-style lotus root and carrots.\Warm rice with raw egg.\We were already done eating. Those are the leftovers, so I hope that's okay.\Sorry we don't have anything. response:	D-Delicious!
context: - Standby. - Okay!\Streamlined\Miso soup with cabbage and deep-fried tofu.\Kinpira-style lotus root and carrots.\Warm rice with raw egg.\We were already done eating. Those are the leftovers, so I hope that's okay.\Sorry we don't have anything.\D-Delicious! response:	Th-The egg rice is delicious!
context: Streamlined\Miso soup with cabbage and deep-fried tofu.\Kinpira-style lotus root and carrots.\Warm rice with raw egg.\We were already done eating. Those are the leftovers, so I hope that's okay.\Sorry we don't have anything.\D-Delicious!\Th-The egg rice is delicious! response:	Don't say you don't have anything!
context: Miso soup with cabbage and deep-fried tofu.\Kinpira-style lotus root and carrots.\Warm rice with raw egg.\We were already done eating. Those are the leftovers, so I hope that's okay.\Sorry we don't have anything.\D-Delicious!\Th-The egg rice is delicious!\Don't say you don't have anything! response:	Warm Warm
context: Kinpira-style lotus root and carrots.\Warm rice with raw egg.\We were already done eating. Those are the leftovers, so I hope that's okay.\Sorry we don't have anything.\D-Delicious!\Th-The egg rice is delicious!\Don't say you don't have anything!\Warm Warm response:	It's just seasoned with an egg and soy sauce, so how can it be this good?
context: Warm rice with raw egg.\We were already done eating. Those are the leftovers, so I hope that's okay.\Sorry we don't have anything.\D-Delicious!\Th-The egg rice is delicious!\Don't say you don't have anything!\Warm Warm\It's just seasoned with an egg and soy sauce, so how can it be this good? response:	In a wide- mouthed pot, a pack of soba-tea is inside
context: We were already done eating. Those are the leftovers, so I hope that's okay.\Sorry we don't have anything.\D-Delicious!\Th-The egg rice is delicious!\Don't say you don't have anything!\Warm Warm\It's just seasoned with an egg and soy sauce, so how can it be this good?\In a wide- mouthed pot, a pack of soba-tea is inside response:	But I'm glad you got over your cold, Rei.
context: Sorry we don't have anything.\D-Delicious!\Th-The egg rice is delicious!\Don't say you don't have anything!\Warm Warm\It's just seasoned with an egg and soy sauce, so how can it be this good?\In a wide- mouthed pot, a pack of soba-tea is inside\But I'm glad you got over your cold, Rei. response:	Your nasal voice has finally gone away.
context: D-Delicious!\Th-The egg rice is delicious!\Don't say you don't have anything!\Warm Warm\It's just seasoned with an egg and soy sauce, so how can it be this good?\In a wide- mouthed pot, a pack of soba-tea is inside\But I'm glad you got over your cold, Rei.\Your nasal voice has finally gone away. response:	Thank you for everything you did for me over the holidays!
context: Th-The egg rice is delicious!\Don't say you don't have anything!\Warm Warm\It's just seasoned with an egg and soy sauce, so how can it be this good?\In a wide- mouthed pot, a pack of soba-tea is inside\But I'm glad you got over your cold, Rei.\Your nasal voice has finally gone away.\Thank you for everything you did for me over the holidays! response:	I appreciate it.
context: Don't say you don't have anything!\Warm Warm\It's just seasoned with an egg and soy sauce, so how can it be this good?\In a wide- mouthed pot, a pack of soba-tea is inside\But I'm glad you got over your cold, Rei.\Your nasal voice has finally gone away.\Thank you for everything you did for me over the holidays!\I appreciate it. response:	Hey, Rei. Can you sleep with Momo tonight?
context: Warm Warm\It's just seasoned with an egg and soy sauce, so how can it be this good?\In a wide- mouthed pot, a pack of soba-tea is inside\But I'm glad you got over your cold, Rei.\Your nasal voice has finally gone away.\Thank you for everything you did for me over the holidays!\I appreciate it.\Hey, Rei. Can you sleep with Momo tonight? response:	That's a good idea!
context: It's just seasoned with an egg and soy sauce, so how can it be this good?\In a wide- mouthed pot, a pack of soba-tea is inside\But I'm glad you got over your cold, Rei.\Your nasal voice has finally gone away.\Thank you for everything you did for me over the holidays!\I appreciate it.\Hey, Rei. Can you sleep with Momo tonight?\That's a good idea! response:	Let's do that! After all, tomorrow's Saturday.
context: In a wide- mouthed pot, a pack of soba-tea is inside\But I'm glad you got over your cold, Rei.\Your nasal voice has finally gone away.\Thank you for everything you did for me over the holidays!\I appreciate it.\Hey, Rei. Can you sleep with Momo tonight?\That's a good idea!\Let's do that! After all, tomorrow's Saturday. response:	You know what, the old lady next door gave us a jigsaw puzzle!
context: But I'm glad you got over your cold, Rei.\Your nasal voice has finally gone away.\Thank you for everything you did for me over the holidays!\I appreciate it.\Hey, Rei. Can you sleep with Momo tonight?\That's a good idea!\Let's do that! After all, tomorrow's Saturday.\You know what, the old lady next door gave us a jigsaw puzzle! response:	Bun-chan's Shopping
context: Your nasal voice has finally gone away.\Thank you for everything you did for me over the holidays!\I appreciate it.\Hey, Rei. Can you sleep with Momo tonight?\That's a good idea!\Let's do that! After all, tomorrow's Saturday.\You know what, the old lady next door gave us a jigsaw puzzle!\Bun-chan's Shopping response:	It's a 1,000 pieces!
context: Thank you for everything you did for me over the holidays!\I appreciate it.\Hey, Rei. Can you sleep with Momo tonight?\That's a good idea!\Let's do that! After all, tomorrow's Saturday.\You know what, the old lady next door gave us a jigsaw puzzle!\Bun-chan's Shopping\It's a 1,000 pieces! response:	Let's solve it tomorrow in the kotatsu!
context: I appreciate it.\Hey, Rei. Can you sleep with Momo tonight?\That's a good idea!\Let's do that! After all, tomorrow's Saturday.\You know what, the old lady next door gave us a jigsaw puzzle!\Bun-chan's Shopping\It's a 1,000 pieces!\Let's solve it tomorrow in the kotatsu! response:	Warm...
context: Hey, Rei. Can you sleep with Momo tonight?\That's a good idea!\Let's do that! After all, tomorrow's Saturday.\You know what, the old lady next door gave us a jigsaw puzzle!\Bun-chan's Shopping\It's a 1,000 pieces!\Let's solve it tomorrow in the kotatsu!\Warm... response:	I have to go home tonight.
context: That's a good idea!\Let's do that! After all, tomorrow's Saturday.\You know what, the old lady next door gave us a jigsaw puzzle!\Bun-chan's Shopping\It's a 1,000 pieces!\Let's solve it tomorrow in the kotatsu!\Warm...\I have to go home tonight. response:	Why? Let's stay here together!
context: Let's do that! After all, tomorrow's Saturday.\You know what, the old lady next door gave us a jigsaw puzzle!\Bun-chan's Shopping\It's a 1,000 pieces!\Let's solve it tomorrow in the kotatsu!\Warm...\I have to go home tonight.\Why? Let's stay here together! response:	Why? Why, why, why?
context: You know what, the old lady next door gave us a jigsaw puzzle!\Bun-chan's Shopping\It's a 1,000 pieces!\Let's solve it tomorrow in the kotatsu!\Warm...\I have to go home tonight.\Why? Let's stay here together!\Why? Why, why, why? response:	A home like a warm kotatsu.
context: Bun-chan's Shopping\It's a 1,000 pieces!\Let's solve it tomorrow in the kotatsu!\Warm...\I have to go home tonight.\Why? Let's stay here together!\Why? Why, why, why?\A home like a warm kotatsu. response:	Momo.
context: It's a 1,000 pieces!\Let's solve it tomorrow in the kotatsu!\Warm...\I have to go home tonight.\Why? Let's stay here together!\Why? Why, why, why?\A home like a warm kotatsu.\Momo. response:	I've got a match coming up that I just can't lose.
context: Let's solve it tomorrow in the kotatsu!\Warm...\I have to go home tonight.\Why? Let's stay here together!\Why? Why, why, why?\A home like a warm kotatsu.\Momo.\I've got a match coming up that I just can't lose. response:	So I have to go home and study.
context: Warm...\I have to go home tonight.\Why? Let's stay here together!\Why? Why, why, why?\A home like a warm kotatsu.\Momo.\I've got a match coming up that I just can't lose.\So I have to go home and study. response:	Study? Do you have a test?
context: I have to go home tonight.\Why? Let's stay here together!\Why? Why, why, why?\A home like a warm kotatsu.\Momo.\I've got a match coming up that I just can't lose.\So I have to go home and study.\Study? Do you have a test? response:	Yes. That's right.
context: Why? Let's stay here together!\Why? Why, why, why?\A home like a warm kotatsu.\Momo.\I've got a match coming up that I just can't lose.\So I have to go home and study.\Study? Do you have a test?\Yes. That's right. response:	It's a test where I show my opponent and myself how hard I've been trying.
context: Why? Why, why, why?\A home like a warm kotatsu.\Momo.\I've got a match coming up that I just can't lose.\So I have to go home and study.\Study? Do you have a test?\Yes. That's right.\It's a test where I show my opponent and myself how hard I've been trying. response:	Momo.
context: A home like a warm kotatsu.\Momo.\I've got a match coming up that I just can't lose.\So I have to go home and study.\Study? Do you have a test?\Yes. That's right.\It's a test where I show my opponent and myself how hard I've been trying.\Momo. response:	Then you have something to tell Rei.
context: Momo.\I've got a match coming up that I just can't lose.\So I have to go home and study.\Study? Do you have a test?\Yes. That's right.\It's a test where I show my opponent and myself how hard I've been trying.\Momo.\Then you have something to tell Rei. response:	Tell him what?
context: I've got a match coming up that I just can't lose.\So I have to go home and study.\Study? Do you have a test?\Yes. That's right.\It's a test where I show my opponent and myself how hard I've been trying.\Momo.\Then you have something to tell Rei.\Tell him what? response:	Um, Rei says he has a test.
context: So I have to go home and study.\Study? Do you have a test?\Yes. That's right.\It's a test where I show my opponent and myself how hard I've been trying.\Momo.\Then you have something to tell Rei.\Tell him what?\Um, Rei says he has a test. response:	Right. So what do you say at a time like this?
context: Study? Do you have a test?\Yes. That's right.\It's a test where I show my opponent and myself how hard I've been trying.\Momo.\Then you have something to tell Rei.\Tell him what?\Um, Rei says he has a test.\Right. So what do you say at a time like this? response:	You say, Do your best.
context: Yes. That's right.\It's a test where I show my opponent and myself how hard I've been trying.\Momo.\Then you have something to tell Rei.\Tell him what?\Um, Rei says he has a test.\Right. So what do you say at a time like this?\You say, Do your best. response:	Rei, do your best!
context: It's a test where I show my opponent and myself how hard I've been trying.\Momo.\Then you have something to tell Rei.\Tell him what?\Um, Rei says he has a test.\Right. So what do you say at a time like this?\You say, Do your best.\Rei, do your best! response:	I will.
context: Momo.\Then you have something to tell Rei.\Tell him what?\Um, Rei says he has a test.\Right. So what do you say at a time like this?\You say, Do your best.\Rei, do your best!\I will. response:	I'll do my best.
context: Then you have something to tell Rei.\Tell him what?\Um, Rei says he has a test.\Right. So what do you say at a time like this?\You say, Do your best.\Rei, do your best!\I will.\I'll do my best. response:	First, Mr. Smith goes up against Gotou,
context: Tell him what?\Um, Rei says he has a test.\Right. So what do you say at a time like this?\You say, Do your best.\Rei, do your best!\I will.\I'll do my best.\First, Mr. Smith goes up against Gotou, response:	while my opponent is Shimada 8th-Dan.
context: Um, Rei says he has a test.\Right. So what do you say at a time like this?\You say, Do your best.\Rei, do your best!\I will.\I'll do my best.\First, Mr. Smith goes up against Gotou,\while my opponent is Shimada 8th-Dan. response:	After that...
context: Right. So what do you say at a time like this?\You say, Do your best.\Rei, do your best!\I will.\I'll do my best.\First, Mr. Smith goes up against Gotou,\while my opponent is Shimada 8th-Dan.\After that... response:	the two winners square off...
context: You say, Do your best.\Rei, do your best!\I will.\I'll do my best.\First, Mr. Smith goes up against Gotou,\while my opponent is Shimada 8th-Dan.\After that...\the two winners square off... response:	in the finals!
context: Rei, do your best!\I will.\I'll do my best.\First, Mr. Smith goes up against Gotou,\while my opponent is Shimada 8th-Dan.\After that...\the two winners square off...\in the finals! response:	The wind whistles,
context: I will.\I'll do my best.\First, Mr. Smith goes up against Gotou,\while my opponent is Shimada 8th-Dan.\After that...\the two winners square off...\in the finals!\The wind whistles, response:	eliciting a shriek from the harp bridge.
context: I'll do my best.\First, Mr. Smith goes up against Gotou,\while my opponent is Shimada 8th-Dan.\After that...\the two winners square off...\in the finals!\The wind whistles,\eliciting a shriek from the harp bridge. response:	That time, I couldn't do anything as he beat me up.
context: First, Mr. Smith goes up against Gotou,\while my opponent is Shimada 8th-Dan.\After that...\the two winners square off...\in the finals!\The wind whistles,\eliciting a shriek from the harp bridge.\That time, I couldn't do anything as he beat me up. response:	And I couldn't even give him a scratch.
context: while my opponent is Shimada 8th-Dan.\After that...\the two winners square off...\in the finals!\The wind whistles,\eliciting a shriek from the harp bridge.\That time, I couldn't do anything as he beat me up.\And I couldn't even give him a scratch. response:	But I won't be his punching bag on the shogi board.
