context: Oh, is that so? So that's what happened, huh? response:	Mm-hmm. I really thought we were done for.
context: You mean that each of them has arrived there together at your place, Kaio- sama?\Can I talk to Goku?\Place your hand on my shoulder and speak.\Yo, do you hear me, Goku?\Yamucha!\We met the dead Kami- sama here on the Other Side,\and he told us about this place.\Hey, we hear that you're going off to Piccolo's homeworld response:	in search of the Dragon Balls there for us.
context: Can I talk to Goku?\Place your hand on my shoulder and speak.\Yo, do you hear me, Goku?\Yamucha!\We met the dead Kami- sama here on the Other Side,\and he told us about this place.\Hey, we hear that you're going off to Piccolo's homeworld\in search of the Dragon Balls there for us. response:	In order to bring us back to life.
context: Place your hand on my shoulder and speak.\Yo, do you hear me, Goku?\Yamucha!\We met the dead Kami- sama here on the Other Side,\and he told us about this place.\Hey, we hear that you're going off to Piccolo's homeworld\in search of the Dragon Balls there for us.\In order to bring us back to life. response:	He said there were four of you, right? Yamucha and Tenshinhan...
context: Yo, do you hear me, Goku?\Yamucha!\We met the dead Kami- sama here on the Other Side,\and he told us about this place.\Hey, we hear that you're going off to Piccolo's homeworld\in search of the Dragon Balls there for us.\In order to bring us back to life.\He said there were four of you, right? Yamucha and Tenshinhan... response:	By any chance, is Piccolo there, too?
context: Yamucha!\We met the dead Kami- sama here on the Other Side,\and he told us about this place.\Hey, we hear that you're going off to Piccolo's homeworld\in search of the Dragon Balls there for us.\In order to bring us back to life.\He said there were four of you, right? Yamucha and Tenshinhan...\By any chance, is Piccolo there, too? response:	Yeah, Piccolo is here.
context: We met the dead Kami- sama here on the Other Side,\and he told us about this place.\Hey, we hear that you're going off to Piccolo's homeworld\in search of the Dragon Balls there for us.\In order to bring us back to life.\He said there were four of you, right? Yamucha and Tenshinhan...\By any chance, is Piccolo there, too?\Yeah, Piccolo is here. response:	Hmph. My pride won't allow for only you getting stronger, after all.
context: and he told us about this place.\Hey, we hear that you're going off to Piccolo's homeworld\in search of the Dragon Balls there for us.\In order to bring us back to life.\He said there were four of you, right? Yamucha and Tenshinhan...\By any chance, is Piccolo there, too?\Yeah, Piccolo is here.\Hmph. My pride won't allow for only you getting stronger, after all. response:	ls the last one Kami-sama?
context: Hey, we hear that you're going off to Piccolo's homeworld\in search of the Dragon Balls there for us.\In order to bring us back to life.\He said there were four of you, right? Yamucha and Tenshinhan...\By any chance, is Piccolo there, too?\Yeah, Piccolo is here.\Hmph. My pride won't allow for only you getting stronger, after all.\ls the last one Kami-sama? response:	No, it's not.
context: in search of the Dragon Balls there for us.\In order to bring us back to life.\He said there were four of you, right? Yamucha and Tenshinhan...\By any chance, is Piccolo there, too?\Yeah, Piccolo is here.\Hmph. My pride won't allow for only you getting stronger, after all.\ls the last one Kami-sama?\No, it's not. response:	Kami- sama stayed in the Next World. It's Chaozu, if you can believe that.
context: In order to bring us back to life.\He said there were four of you, right? Yamucha and Tenshinhan...\By any chance, is Piccolo there, too?\Yeah, Piccolo is here.\Hmph. My pride won't allow for only you getting stronger, after all.\ls the last one Kami-sama?\No, it's not.\Kami- sama stayed in the Next World. It's Chaozu, if you can believe that. response:	Chaozu!? Chaozu got blown to pieces. ls he still okay?
context: He said there were four of you, right? Yamucha and Tenshinhan...\By any chance, is Piccolo there, too?\Yeah, Piccolo is here.\Hmph. My pride won't allow for only you getting stronger, after all.\ls the last one Kami-sama?\No, it's not.\Kami- sama stayed in the Next World. It's Chaozu, if you can believe that.\Chaozu!? Chaozu got blown to pieces. ls he still okay? response:	Yeah, Kami- sama apparently regenerated his body, especially for him.
context: By any chance, is Piccolo there, too?\Yeah, Piccolo is here.\Hmph. My pride won't allow for only you getting stronger, after all.\ls the last one Kami-sama?\No, it's not.\Kami- sama stayed in the Next World. It's Chaozu, if you can believe that.\Chaozu!? Chaozu got blown to pieces. ls he still okay?\Yeah, Kami- sama apparently regenerated his body, especially for him. response:	Wow, that's amazing! Good for you, Chaozu!
context: Yeah, Piccolo is here.\Hmph. My pride won't allow for only you getting stronger, after all.\ls the last one Kami-sama?\No, it's not.\Kami- sama stayed in the Next World. It's Chaozu, if you can believe that.\Chaozu!? Chaozu got blown to pieces. ls he still okay?\Yeah, Kami- sama apparently regenerated his body, especially for him.\Wow, that's amazing! Good for you, Chaozu! response:	Awesome!
context: Hmph. My pride won't allow for only you getting stronger, after all.\ls the last one Kami-sama?\No, it's not.\Kami- sama stayed in the Next World. It's Chaozu, if you can believe that.\Chaozu!? Chaozu got blown to pieces. ls he still okay?\Yeah, Kami- sama apparently regenerated his body, especially for him.\Wow, that's amazing! Good for you, Chaozu!\Awesome! response:	That's awesome! With everyone alongside, my courage is a hundred times greater!
context: ls the last one Kami-sama?\No, it's not.\Kami- sama stayed in the Next World. It's Chaozu, if you can believe that.\Chaozu!? Chaozu got blown to pieces. ls he still okay?\Yeah, Kami- sama apparently regenerated his body, especially for him.\Wow, that's amazing! Good for you, Chaozu!\Awesome!\That's awesome! With everyone alongside, my courage is a hundred times greater! response:	What's this? Familiar faces gathered together under Kaio-sama.
context: No, it's not.\Kami- sama stayed in the Next World. It's Chaozu, if you can believe that.\Chaozu!? Chaozu got blown to pieces. ls he still okay?\Yeah, Kami- sama apparently regenerated his body, especially for him.\Wow, that's amazing! Good for you, Chaozu!\Awesome!\That's awesome! With everyone alongside, my courage is a hundred times greater!\What's this? Familiar faces gathered together under Kaio-sama. response:	However, Goku is still unaware of the atrocities taking place on Planet Namek.
