context: Well, we somehow managed to stop the Dragon Chain Cannon. response:	We managed somehow once I rushed onto the scene!
context: Like hell they are!\Juvia-chan, so cool!\Get off me! Try taking a page out of that other Gray's book and strip down!\You bastards! Don't you realize what you're doing is wrong?\W-Well...\They should realize. There should be some people against what the Kingdom is doing here.\If they disobey, they'll be killed, so they have no choice but to fight!\War is just so tragic. response:	I would much rather have a tea party with everyone, but no!
context: Juvia-chan, so cool!\Get off me! Try taking a page out of that other Gray's book and strip down!\You bastards! Don't you realize what you're doing is wrong?\W-Well...\They should realize. There should be some people against what the Kingdom is doing here.\If they disobey, they'll be killed, so they have no choice but to fight!\War is just so tragic.\I would much rather have a tea party with everyone, but no! response:	Even so, we have no choice but to counterattack them.
context: Get off me! Try taking a page out of that other Gray's book and strip down!\You bastards! Don't you realize what you're doing is wrong?\W-Well...\They should realize. There should be some people against what the Kingdom is doing here.\If they disobey, they'll be killed, so they have no choice but to fight!\War is just so tragic.\I would much rather have a tea party with everyone, but no!\Even so, we have no choice but to counterattack them. response:	By the way, Earth-Lucy... Is the guy with glasses your boyfriend?
context: You bastards! Don't you realize what you're doing is wrong?\W-Well...\They should realize. There should be some people against what the Kingdom is doing here.\If they disobey, they'll be killed, so they have no choice but to fight!\War is just so tragic.\I would much rather have a tea party with everyone, but no!\Even so, we have no choice but to counterattack them.\By the way, Earth-Lucy... Is the guy with glasses your boyfriend? response:	No, he's not! He's...
context: W-Well...\They should realize. There should be some people against what the Kingdom is doing here.\If they disobey, they'll be killed, so they have no choice but to fight!\War is just so tragic.\I would much rather have a tea party with everyone, but no!\Even so, we have no choice but to counterattack them.\By the way, Earth-Lucy... Is the guy with glasses your boyfriend?\No, he's not! He's... response:	Do we look that way to you?
context: They should realize. There should be some people against what the Kingdom is doing here.\If they disobey, they'll be killed, so they have no choice but to fight!\War is just so tragic.\I would much rather have a tea party with everyone, but no!\Even so, we have no choice but to counterattack them.\By the way, Earth-Lucy... Is the guy with glasses your boyfriend?\No, he's not! He's...\Do we look that way to you? response:	You're also Lucy, so I guess you can tell.
context: If they disobey, they'll be killed, so they have no choice but to fight!\War is just so tragic.\I would much rather have a tea party with everyone, but no!\Even so, we have no choice but to counterattack them.\By the way, Earth-Lucy... Is the guy with glasses your boyfriend?\No, he's not! He's...\Do we look that way to you?\You're also Lucy, so I guess you can tell. response:	I hate playboys!
context: War is just so tragic.\I would much rather have a tea party with everyone, but no!\Even so, we have no choice but to counterattack them.\By the way, Earth-Lucy... Is the guy with glasses your boyfriend?\No, he's not! He's...\Do we look that way to you?\You're also Lucy, so I guess you can tell.\I hate playboys! response:	Happy...
context: I would much rather have a tea party with everyone, but no!\Even so, we have no choice but to counterattack them.\By the way, Earth-Lucy... Is the guy with glasses your boyfriend?\No, he's not! He's...\Do we look that way to you?\You're also Lucy, so I guess you can tell.\I hate playboys!\Happy... response:	Edolas's Wendy!
context: Even so, we have no choice but to counterattack them.\By the way, Earth-Lucy... Is the guy with glasses your boyfriend?\No, he's not! He's...\Do we look that way to you?\You're also Lucy, so I guess you can tell.\I hate playboys!\Happy...\Edolas's Wendy! response:	You're Exceeds, right?
context: By the way, Earth-Lucy... Is the guy with glasses your boyfriend?\No, he's not! He's...\Do we look that way to you?\You're also Lucy, so I guess you can tell.\I hate playboys!\Happy...\Edolas's Wendy!\You're Exceeds, right? response:	It'll be okay... Shall I stay with you?
context: No, he's not! He's...\Do we look that way to you?\You're also Lucy, so I guess you can tell.\I hate playboys!\Happy...\Edolas's Wendy!\You're Exceeds, right?\It'll be okay... Shall I stay with you? response:	Thanks, but I'm fine.
context: Do we look that way to you?\You're also Lucy, so I guess you can tell.\I hate playboys!\Happy...\Edolas's Wendy!\You're Exceeds, right?\It'll be okay... Shall I stay with you?\Thanks, but I'm fine. response:	Happy is here for me, so...
context: You're also Lucy, so I guess you can tell.\I hate playboys!\Happy...\Edolas's Wendy!\You're Exceeds, right?\It'll be okay... Shall I stay with you?\Thanks, but I'm fine.\Happy is here for me, so... response:	I'll be nearby, and if anything happens, I'll protect you. Rest easy.
context: I hate playboys!\Happy...\Edolas's Wendy!\You're Exceeds, right?\It'll be okay... Shall I stay with you?\Thanks, but I'm fine.\Happy is here for me, so...\I'll be nearby, and if anything happens, I'll protect you. Rest easy. response:	Edolas's Wendy is also kind.
context: Happy...\Edolas's Wendy!\You're Exceeds, right?\It'll be okay... Shall I stay with you?\Thanks, but I'm fine.\Happy is here for me, so...\I'll be nearby, and if anything happens, I'll protect you. Rest easy.\Edolas's Wendy is also kind. response:	Yeah!
context: Edolas's Wendy!\You're Exceeds, right?\It'll be okay... Shall I stay with you?\Thanks, but I'm fine.\Happy is here for me, so...\I'll be nearby, and if anything happens, I'll protect you. Rest easy.\Edolas's Wendy is also kind.\Yeah! response:	I can't lose, for the sake of eternal energy!
context: You're Exceeds, right?\It'll be okay... Shall I stay with you?\Thanks, but I'm fine.\Happy is here for me, so...\I'll be nearby, and if anything happens, I'll protect you. Rest easy.\Edolas's Wendy is also kind.\Yeah!\I can't lose, for the sake of eternal energy! response:	For your accursed eternity, how many sacrifices have been made in your now?
context: It'll be okay... Shall I stay with you?\Thanks, but I'm fine.\Happy is here for me, so...\I'll be nearby, and if anything happens, I'll protect you. Rest easy.\Edolas's Wendy is also kind.\Yeah!\I can't lose, for the sake of eternal energy!\For your accursed eternity, how many sacrifices have been made in your now? response:	Oppress and steal! Coerce and steal!
context: Thanks, but I'm fine.\Happy is here for me, so...\I'll be nearby, and if anything happens, I'll protect you. Rest easy.\Edolas's Wendy is also kind.\Yeah!\I can't lose, for the sake of eternal energy!\For your accursed eternity, how many sacrifices have been made in your now?\Oppress and steal! Coerce and steal! response:	Hate the other! Destroy the other!
context: Happy is here for me, so...\I'll be nearby, and if anything happens, I'll protect you. Rest easy.\Edolas's Wendy is also kind.\Yeah!\I can't lose, for the sake of eternal energy!\For your accursed eternity, how many sacrifices have been made in your now?\Oppress and steal! Coerce and steal!\Hate the other! Destroy the other! response:	That's what humans do!
context: I'll be nearby, and if anything happens, I'll protect you. Rest easy.\Edolas's Wendy is also kind.\Yeah!\I can't lose, for the sake of eternal energy!\For your accursed eternity, how many sacrifices have been made in your now?\Oppress and steal! Coerce and steal!\Hate the other! Destroy the other!\That's what humans do! response:	People should love people more!
context: Edolas's Wendy is also kind.\Yeah!\I can't lose, for the sake of eternal energy!\For your accursed eternity, how many sacrifices have been made in your now?\Oppress and steal! Coerce and steal!\Hate the other! Destroy the other!\That's what humans do!\People should love people more! response:	They stand up for the people they care about!
context: Yeah!\I can't lose, for the sake of eternal energy!\For your accursed eternity, how many sacrifices have been made in your now?\Oppress and steal! Coerce and steal!\Hate the other! Destroy the other!\That's what humans do!\People should love people more!\They stand up for the people they care about! response:	They pick up swords for those who shed tears!
context: I can't lose, for the sake of eternal energy!\For your accursed eternity, how many sacrifices have been made in your now?\Oppress and steal! Coerce and steal!\Hate the other! Destroy the other!\That's what humans do!\People should love people more!\They stand up for the people they care about!\They pick up swords for those who shed tears! response:	Can't you hear this world screaming in agony, Knightwalker?!
context: For your accursed eternity, how many sacrifices have been made in your now?\Oppress and steal! Coerce and steal!\Hate the other! Destroy the other!\That's what humans do!\People should love people more!\They stand up for the people they care about!\They pick up swords for those who shed tears!\Can't you hear this world screaming in agony, Knightwalker?! response:	The screams of the world? I'm sure I can feel them more than you!
context: Oppress and steal! Coerce and steal!\Hate the other! Destroy the other!\That's what humans do!\People should love people more!\They stand up for the people they care about!\They pick up swords for those who shed tears!\Can't you hear this world screaming in agony, Knightwalker?!\The screams of the world? I'm sure I can feel them more than you! response:	The magic drying up... And because of that, I...
context: Hate the other! Destroy the other!\That's what humans do!\People should love people more!\They stand up for the people they care about!\They pick up swords for those who shed tears!\Can't you hear this world screaming in agony, Knightwalker?!\The screams of the world? I'm sure I can feel them more than you!\The magic drying up... And because of that, I... response:	No! When I say the world, I mean the living things!
context: That's what humans do!\People should love people more!\They stand up for the people they care about!\They pick up swords for those who shed tears!\Can't you hear this world screaming in agony, Knightwalker?!\The screams of the world? I'm sure I can feel them more than you!\The magic drying up... And because of that, I...\No! When I say the world, I mean the living things! response:	This world is heading toward oblivion.
context: People should love people more!\They stand up for the people they care about!\They pick up swords for those who shed tears!\Can't you hear this world screaming in agony, Knightwalker?!\The screams of the world? I'm sure I can feel them more than you!\The magic drying up... And because of that, I...\No! When I say the world, I mean the living things!\This world is heading toward oblivion. response:	It is a world running out of magic, plunging toward its death!
context: They stand up for the people they care about!\They pick up swords for those who shed tears!\Can't you hear this world screaming in agony, Knightwalker?!\The screams of the world? I'm sure I can feel them more than you!\The magic drying up... And because of that, I...\No! When I say the world, I mean the living things!\This world is heading toward oblivion.\It is a world running out of magic, plunging toward its death! response:	A person from Earthland like you could never understand!
context: They pick up swords for those who shed tears!\Can't you hear this world screaming in agony, Knightwalker?!\The screams of the world? I'm sure I can feel them more than you!\The magic drying up... And because of that, I...\No! When I say the world, I mean the living things!\This world is heading toward oblivion.\It is a world running out of magic, plunging toward its death!\A person from Earthland like you could never understand! response:	The anxiety, fear, despair of having magic disappear!
context: Can't you hear this world screaming in agony, Knightwalker?!\The screams of the world? I'm sure I can feel them more than you!\The magic drying up... And because of that, I...\No! When I say the world, I mean the living things!\This world is heading toward oblivion.\It is a world running out of magic, plunging toward its death!\A person from Earthland like you could never understand!\The anxiety, fear, despair of having magic disappear! response:	We can't survive unless we get an eternal source of magic power!
context: The screams of the world? I'm sure I can feel them more than you!\The magic drying up... And because of that, I...\No! When I say the world, I mean the living things!\This world is heading toward oblivion.\It is a world running out of magic, plunging toward its death!\A person from Earthland like you could never understand!\The anxiety, fear, despair of having magic disappear!\We can't survive unless we get an eternal source of magic power! response:	But we're alive, aren't we?
context: The magic drying up... And because of that, I...\No! When I say the world, I mean the living things!\This world is heading toward oblivion.\It is a world running out of magic, plunging toward its death!\A person from Earthland like you could never understand!\The anxiety, fear, despair of having magic disappear!\We can't survive unless we get an eternal source of magic power!\But we're alive, aren't we? response:	Right now!
context: No! When I say the world, I mean the living things!\This world is heading toward oblivion.\It is a world running out of magic, plunging toward its death!\A person from Earthland like you could never understand!\The anxiety, fear, despair of having magic disappear!\We can't survive unless we get an eternal source of magic power!\But we're alive, aren't we?\Right now! response:	We don't have any magic power, but we're alive!
context: This world is heading toward oblivion.\It is a world running out of magic, plunging toward its death!\A person from Earthland like you could never understand!\The anxiety, fear, despair of having magic disappear!\We can't survive unless we get an eternal source of magic power!\But we're alive, aren't we?\Right now!\We don't have any magic power, but we're alive! response:	Look at us! We've both used it all up!
context: It is a world running out of magic, plunging toward its death!\A person from Earthland like you could never understand!\The anxiety, fear, despair of having magic disappear!\We can't survive unless we get an eternal source of magic power!\But we're alive, aren't we?\Right now!\We don't have any magic power, but we're alive!\Look at us! We've both used it all up! response:	And yet, we aren't dead!
context: A person from Earthland like you could never understand!\The anxiety, fear, despair of having magic disappear!\We can't survive unless we get an eternal source of magic power!\But we're alive, aren't we?\Right now!\We don't have any magic power, but we're alive!\Look at us! We've both used it all up!\And yet, we aren't dead! response:	We have the strength to overcome the weakness and the fear!
context: The anxiety, fear, despair of having magic disappear!\We can't survive unless we get an eternal source of magic power!\But we're alive, aren't we?\Right now!\We don't have any magic power, but we're alive!\Look at us! We've both used it all up!\And yet, we aren't dead!\We have the strength to overcome the weakness and the fear! response:	That's what it means to be alive!
context: We can't survive unless we get an eternal source of magic power!\But we're alive, aren't we?\Right now!\We don't have any magic power, but we're alive!\Look at us! We've both used it all up!\And yet, we aren't dead!\We have the strength to overcome the weakness and the fear!\That's what it means to be alive! response:	Hear this, Erza! Inside of you is the same frailty and evil that lies within me!
context: But we're alive, aren't we?\Right now!\We don't have any magic power, but we're alive!\Look at us! We've both used it all up!\And yet, we aren't dead!\We have the strength to overcome the weakness and the fear!\That's what it means to be alive!\Hear this, Erza! Inside of you is the same frailty and evil that lies within me! response:	Therefore, I know you hold a heart that can love others!
context: Right now!\We don't have any magic power, but we're alive!\Look at us! We've both used it all up!\And yet, we aren't dead!\We have the strength to overcome the weakness and the fear!\That's what it means to be alive!\Hear this, Erza! Inside of you is the same frailty and evil that lies within me!\Therefore, I know you hold a heart that can love others! response:	Listen to the voices of the living, with your entire heart!
context: We don't have any magic power, but we're alive!\Look at us! We've both used it all up!\And yet, we aren't dead!\We have the strength to overcome the weakness and the fear!\That's what it means to be alive!\Hear this, Erza! Inside of you is the same frailty and evil that lies within me!\Therefore, I know you hold a heart that can love others!\Listen to the voices of the living, with your entire heart! response:	This is... Erza?
context: Look at us! We've both used it all up!\And yet, we aren't dead!\We have the strength to overcome the weakness and the fear!\That's what it means to be alive!\Hear this, Erza! Inside of you is the same frailty and evil that lies within me!\Therefore, I know you hold a heart that can love others!\Listen to the voices of the living, with your entire heart!\This is... Erza? response:	Me?
context: And yet, we aren't dead!\We have the strength to overcome the weakness and the fear!\That's what it means to be alive!\Hear this, Erza! Inside of you is the same frailty and evil that lies within me!\Therefore, I know you hold a heart that can love others!\Listen to the voices of the living, with your entire heart!\This is... Erza?\Me? response:	Speak with your true voice!
context: We have the strength to overcome the weakness and the fear!\That's what it means to be alive!\Hear this, Erza! Inside of you is the same frailty and evil that lies within me!\Therefore, I know you hold a heart that can love others!\Listen to the voices of the living, with your entire heart!\This is... Erza?\Me?\Speak with your true voice! response:	What's this...?
context: That's what it means to be alive!\Hear this, Erza! Inside of you is the same frailty and evil that lies within me!\Therefore, I know you hold a heart that can love others!\Listen to the voices of the living, with your entire heart!\This is... Erza?\Me?\Speak with your true voice!\What's this...? response:	Tears...?
context: Hear this, Erza! Inside of you is the same frailty and evil that lies within me!\Therefore, I know you hold a heart that can love others!\Listen to the voices of the living, with your entire heart!\This is... Erza?\Me?\Speak with your true voice!\What's this...?\Tears...? response:	You are not alone.
context: Therefore, I know you hold a heart that can love others!\Listen to the voices of the living, with your entire heart!\This is... Erza?\Me?\Speak with your true voice!\What's this...?\Tears...?\You are not alone. response:	What just happened?
context: Listen to the voices of the living, with your entire heart!\This is... Erza?\Me?\Speak with your true voice!\What's this...?\Tears...?\You are not alone.\What just happened? response:	Something fell down, damn it!
context: This is... Erza?\Me?\Speak with your true voice!\What's this...?\Tears...?\You are not alone.\What just happened?\Something fell down, damn it! response:	Erza?
context: Me?\Speak with your true voice!\What's this...?\Tears...?\You are not alone.\What just happened?\Something fell down, damn it!\Erza? response:	I don't have any strength left to move...
context: Speak with your true voice!\What's this...?\Tears...?\You are not alone.\What just happened?\Something fell down, damn it!\Erza?\I don't have any strength left to move... response:	But, you're alive.
context: What's this...?\Tears...?\You are not alone.\What just happened?\Something fell down, damn it!\Erza?\I don't have any strength left to move...\But, you're alive. response:	I couldn't match you... You win, Scarlet.
context: Tears...?\You are not alone.\What just happened?\Something fell down, damn it!\Erza?\I don't have any strength left to move...\But, you're alive.\I couldn't match you... You win, Scarlet. response:	This battle is not one that could be won or lost. We're both Erza.
context: You are not alone.\What just happened?\Something fell down, damn it!\Erza?\I don't have any strength left to move...\But, you're alive.\I couldn't match you... You win, Scarlet.\This battle is not one that could be won or lost. We're both Erza. response:	I see...
context: What just happened?\Something fell down, damn it!\Erza?\I don't have any strength left to move...\But, you're alive.\I couldn't match you... You win, Scarlet.\This battle is not one that could be won or lost. We're both Erza.\I see... response:	This is...
context: Something fell down, damn it!\Erza?\I don't have any strength left to move...\But, you're alive.\I couldn't match you... You win, Scarlet.\This battle is not one that could be won or lost. We're both Erza.\I see...\This is... response:	The chamber that creates the Anima?
context: Erza?\I don't have any strength left to move...\But, you're alive.\I couldn't match you... You win, Scarlet.\This battle is not one that could be won or lost. We're both Erza.\I see...\This is...\The chamber that creates the Anima? response:	Prince, what in the world are you...
context: I don't have any strength left to move...\But, you're alive.\I couldn't match you... You win, Scarlet.\This battle is not one that could be won or lost. We're both Erza.\I see...\This is...\The chamber that creates the Anima?\Prince, what in the world are you... response:	I observed Earthland for a long time.
context: But, you're alive.\I couldn't match you... You win, Scarlet.\This battle is not one that could be won or lost. We're both Erza.\I see...\This is...\The chamber that creates the Anima?\Prince, what in the world are you...\I observed Earthland for a long time. response:	There was strife, but it was a wonderful world.
context: I couldn't match you... You win, Scarlet.\This battle is not one that could be won or lost. We're both Erza.\I see...\This is...\The chamber that creates the Anima?\Prince, what in the world are you...\I observed Earthland for a long time.\There was strife, but it was a wonderful world. response:	I am sure they'll accept this...
context: This battle is not one that could be won or lost. We're both Erza.\I see...\This is...\The chamber that creates the Anima?\Prince, what in the world are you...\I observed Earthland for a long time.\There was strife, but it was a wonderful world.\I am sure they'll accept this... response:	Prince! You can't mean... That's just...
context: I see...\This is...\The chamber that creates the Anima?\Prince, what in the world are you...\I observed Earthland for a long time.\There was strife, but it was a wonderful world.\I am sure they'll accept this...\Prince! You can't mean... That's just... response:	That is far too radical!
context: This is...\The chamber that creates the Anima?\Prince, what in the world are you...\I observed Earthland for a long time.\There was strife, but it was a wonderful world.\I am sure they'll accept this...\Prince! You can't mean... That's just...\That is far too radical! response:	This is the only way to rid this world of war.
context: The chamber that creates the Anima?\Prince, what in the world are you...\I observed Earthland for a long time.\There was strife, but it was a wonderful world.\I am sure they'll accept this...\Prince! You can't mean... That's just...\That is far too radical!\This is the only way to rid this world of war. response:	I will create a world where people can be open with each other.
context: Prince, what in the world are you...\I observed Earthland for a long time.\There was strife, but it was a wonderful world.\I am sure they'll accept this...\Prince! You can't mean... That's just...\That is far too radical!\This is the only way to rid this world of war.\I will create a world where people can be open with each other. response:	I will throw the Anima into reverse...
context: I observed Earthland for a long time.\There was strife, but it was a wonderful world.\I am sure they'll accept this...\Prince! You can't mean... That's just...\That is far too radical!\This is the only way to rid this world of war.\I will create a world where people can be open with each other.\I will throw the Anima into reverse... response:	Damn it... It's just a fake dragon but it's pretty tough!
context: There was strife, but it was a wonderful world.\I am sure they'll accept this...\Prince! You can't mean... That's just...\That is far too radical!\This is the only way to rid this world of war.\I will create a world where people can be open with each other.\I will throw the Anima into reverse...\Damn it... It's just a fake dragon but it's pretty tough! response:	I guess they don't call it an ultimate weapon for nothing.
context: I am sure they'll accept this...\Prince! You can't mean... That's just...\That is far too radical!\This is the only way to rid this world of war.\I will create a world where people can be open with each other.\I will throw the Anima into reverse...\Damn it... It's just a fake dragon but it's pretty tough!\I guess they don't call it an ultimate weapon for nothing. response:	Damn... It's a real pain that magic doesn't work on it.
context: Prince! You can't mean... That's just...\That is far too radical!\This is the only way to rid this world of war.\I will create a world where people can be open with each other.\I will throw the Anima into reverse...\Damn it... It's just a fake dragon but it's pretty tough!\I guess they don't call it an ultimate weapon for nothing.\Damn... It's a real pain that magic doesn't work on it. response:	But we have three Dragon Slayers on our side!
context: That is far too radical!\This is the only way to rid this world of war.\I will create a world where people can be open with each other.\I will throw the Anima into reverse...\Damn it... It's just a fake dragon but it's pretty tough!\I guess they don't call it an ultimate weapon for nothing.\Damn... It's a real pain that magic doesn't work on it.\But we have three Dragon Slayers on our side! response:	No way we'd lose!
context: This is the only way to rid this world of war.\I will create a world where people can be open with each other.\I will throw the Anima into reverse...\Damn it... It's just a fake dragon but it's pretty tough!\I guess they don't call it an ultimate weapon for nothing.\Damn... It's a real pain that magic doesn't work on it.\But we have three Dragon Slayers on our side!\No way we'd lose! response:	Okay! Let's go another round!
context: I will create a world where people can be open with each other.\I will throw the Anima into reverse...\Damn it... It's just a fake dragon but it's pretty tough!\I guess they don't call it an ultimate weapon for nothing.\Damn... It's a real pain that magic doesn't work on it.\But we have three Dragon Slayers on our side!\No way we'd lose!\Okay! Let's go another round! response:	Next time: I'm Standing Here!
context: I will throw the Anima into reverse...\Damn it... It's just a fake dragon but it's pretty tough!\I guess they don't call it an ultimate weapon for nothing.\Damn... It's a real pain that magic doesn't work on it.\But we have three Dragon Slayers on our side!\No way we'd lose!\Okay! Let's go another round!\Next time: I'm Standing Here! response:	But Natsu, do you have any magic power left?
context: Damn it... It's just a fake dragon but it's pretty tough!\I guess they don't call it an ultimate weapon for nothing.\Damn... It's a real pain that magic doesn't work on it.\But we have three Dragon Slayers on our side!\No way we'd lose!\Okay! Let's go another round!\Next time: I'm Standing Here!\But Natsu, do you have any magic power left? response:	Even if I didn't, I'd do it somehow!
context: I guess they don't call it an ultimate weapon for nothing.\Damn... It's a real pain that magic doesn't work on it.\But we have three Dragon Slayers on our side!\No way we'd lose!\Okay! Let's go another round!\Next time: I'm Standing Here!\But Natsu, do you have any magic power left?\Even if I didn't, I'd do it somehow! response:	I'll show you the stubborn pride of Fairy Tail!
