context: M-Mankanshoku! response:	Hey! How come the slacker's wearing a Goku Uniform?!
context: Hey, what are you up to?! Don't tell me you're\Oh, but I am!\The last ace up the Naked Sol's sleeve...\Oh, you want to use that blade to peel that gourd bare, huh?\I like it!\GREAT NAKED DAGGER\We're here, Ryuko! This is that thing's core!\Let's do it! response:	Both halves, Decapitation Mode!
context: Oh, but I am!\The last ace up the Naked Sol's sleeve...\Oh, you want to use that blade to peel that gourd bare, huh?\I like it!\GREAT NAKED DAGGER\We're here, Ryuko! This is that thing's core!\Let's do it!\Both halves, Decapitation Mode! response:	DUAL SCISSOR BLADE: DECAPITATION MODE
context: The last ace up the Naked Sol's sleeve...\Oh, you want to use that blade to peel that gourd bare, huh?\I like it!\GREAT NAKED DAGGER\We're here, Ryuko! This is that thing's core!\Let's do it!\Both halves, Decapitation Mode!\DUAL SCISSOR BLADE: DECAPITATION MODE response:	Finishing Move: SEN-I-SOSHITSU!
context: Oh, you want to use that blade to peel that gourd bare, huh?\I like it!\GREAT NAKED DAGGER\We're here, Ryuko! This is that thing's core!\Let's do it!\Both halves, Decapitation Mode!\DUAL SCISSOR BLADE: DECAPITATION MODE\Finishing Move: SEN-I-SOSHITSU! response:	Damage report!
context: I like it!\GREAT NAKED DAGGER\We're here, Ryuko! This is that thing's core!\Let's do it!\Both halves, Decapitation Mode!\DUAL SCISSOR BLADE: DECAPITATION MODE\Finishing Move: SEN-I-SOSHITSU!\Damage report! response:	Major damage to 1, 3 turbines!
context: GREAT NAKED DAGGER\We're here, Ryuko! This is that thing's core!\Let's do it!\Both halves, Decapitation Mode!\DUAL SCISSOR BLADE: DECAPITATION MODE\Finishing Move: SEN-I-SOSHITSU!\Damage report!\Major damage to 1, 3 turbines! response:	Remaining 2 turbine is putting out all it can!
context: We're here, Ryuko! This is that thing's core!\Let's do it!\Both halves, Decapitation Mode!\DUAL SCISSOR BLADE: DECAPITATION MODE\Finishing Move: SEN-I-SOSHITSU!\Damage report!\Major damage to 1, 3 turbines!\Remaining 2 turbine is putting out all it can! response:	Crap! This is as far as we can get on human power, huh?
context: Let's do it!\Both halves, Decapitation Mode!\DUAL SCISSOR BLADE: DECAPITATION MODE\Finishing Move: SEN-I-SOSHITSU!\Damage report!\Major damage to 1, 3 turbines!\Remaining 2 turbine is putting out all it can!\Crap! This is as far as we can get on human power, huh? response:	This damn thing is just too hard!
context: Both halves, Decapitation Mode!\DUAL SCISSOR BLADE: DECAPITATION MODE\Finishing Move: SEN-I-SOSHITSU!\Damage report!\Major damage to 1, 3 turbines!\Remaining 2 turbine is putting out all it can!\Crap! This is as far as we can get on human power, huh?\This damn thing is just too hard! response:	Ryuko!
context: DUAL SCISSOR BLADE: DECAPITATION MODE\Finishing Move: SEN-I-SOSHITSU!\Damage report!\Major damage to 1, 3 turbines!\Remaining 2 turbine is putting out all it can!\Crap! This is as far as we can get on human power, huh?\This damn thing is just too hard!\Ryuko! response:	But I gotta do it anyway! I promised Mako and the rest!
context: Finishing Move: SEN-I-SOSHITSU!\Damage report!\Major damage to 1, 3 turbines!\Remaining 2 turbine is putting out all it can!\Crap! This is as far as we can get on human power, huh?\This damn thing is just too hard!\Ryuko!\But I gotta do it anyway! I promised Mako and the rest! response:	This ship is the homeland of Ryuko's soul!
context: Damage report!\Major damage to 1, 3 turbines!\Remaining 2 turbine is putting out all it can!\Crap! This is as far as we can get on human power, huh?\This damn thing is just too hard!\Ryuko!\But I gotta do it anyway! I promised Mako and the rest!\This ship is the homeland of Ryuko's soul! response:	And not just the one in my head!
context: Major damage to 1, 3 turbines!\Remaining 2 turbine is putting out all it can!\Crap! This is as far as we can get on human power, huh?\This damn thing is just too hard!\Ryuko!\But I gotta do it anyway! I promised Mako and the rest!\This ship is the homeland of Ryuko's soul!\And not just the one in my head! response:	I know the one outside my head feels the same way!
context: Remaining 2 turbine is putting out all it can!\Crap! This is as far as we can get on human power, huh?\This damn thing is just too hard!\Ryuko!\But I gotta do it anyway! I promised Mako and the rest!\This ship is the homeland of Ryuko's soul!\And not just the one in my head!\I know the one outside my head feels the same way! response:	Ryuko has always, always waited for me!
context: Crap! This is as far as we can get on human power, huh?\This damn thing is just too hard!\Ryuko!\But I gotta do it anyway! I promised Mako and the rest!\This ship is the homeland of Ryuko's soul!\And not just the one in my head!\I know the one outside my head feels the same way!\Ryuko has always, always waited for me! response:	So this ship is gonna
context: This damn thing is just too hard!\Ryuko!\But I gotta do it anyway! I promised Mako and the rest!\This ship is the homeland of Ryuko's soul!\And not just the one in my head!\I know the one outside my head feels the same way!\Ryuko has always, always waited for me!\So this ship is gonna response:	Mr. Mikisugi, the turbine has started turning again!
context: Ryuko!\But I gotta do it anyway! I promised Mako and the rest!\This ship is the homeland of Ryuko's soul!\And not just the one in my head!\I know the one outside my head feels the same way!\Ryuko has always, always waited for me!\So this ship is gonna\Mr. Mikisugi, the turbine has started turning again! response:	Or rather, it's spinning like crazy!
context: But I gotta do it anyway! I promised Mako and the rest!\This ship is the homeland of Ryuko's soul!\And not just the one in my head!\I know the one outside my head feels the same way!\Ryuko has always, always waited for me!\So this ship is gonna\Mr. Mikisugi, the turbine has started turning again!\Or rather, it's spinning like crazy! response:	Wait for us, Ryuko! I'll catch up to you in no time!
context: This ship is the homeland of Ryuko's soul!\And not just the one in my head!\I know the one outside my head feels the same way!\Ryuko has always, always waited for me!\So this ship is gonna\Mr. Mikisugi, the turbine has started turning again!\Or rather, it's spinning like crazy!\Wait for us, Ryuko! I'll catch up to you in no time! response:	Mako? Is that you?!
context: And not just the one in my head!\I know the one outside my head feels the same way!\Ryuko has always, always waited for me!\So this ship is gonna\Mr. Mikisugi, the turbine has started turning again!\Or rather, it's spinning like crazy!\Wait for us, Ryuko! I'll catch up to you in no time!\Mako? Is that you?! response:	Ryuko!
context: I know the one outside my head feels the same way!\Ryuko has always, always waited for me!\So this ship is gonna\Mr. Mikisugi, the turbine has started turning again!\Or rather, it's spinning like crazy!\Wait for us, Ryuko! I'll catch up to you in no time!\Mako? Is that you?!\Ryuko! response:	- Ryuko! - Mako! It's you, right?!
context: Ryuko has always, always waited for me!\So this ship is gonna\Mr. Mikisugi, the turbine has started turning again!\Or rather, it's spinning like crazy!\Wait for us, Ryuko! I'll catch up to you in no time!\Mako? Is that you?!\Ryuko!\- Ryuko! - Mako! It's you, right?! response:	- Mako! - The gang...
context: So this ship is gonna\Mr. Mikisugi, the turbine has started turning again!\Or rather, it's spinning like crazy!\Wait for us, Ryuko! I'll catch up to you in no time!\Mako? Is that you?!\Ryuko!\- Ryuko! - Mako! It's you, right?!\- Mako! - The gang... response:	The gang's all here!
context: Mr. Mikisugi, the turbine has started turning again!\Or rather, it's spinning like crazy!\Wait for us, Ryuko! I'll catch up to you in no time!\Mako? Is that you?!\Ryuko!\- Ryuko! - Mako! It's you, right?!\- Mako! - The gang...\The gang's all here! response:	Ryuko, I can feel it! Your blood is all fired up!
context: Or rather, it's spinning like crazy!\Wait for us, Ryuko! I'll catch up to you in no time!\Mako? Is that you?!\Ryuko!\- Ryuko! - Mako! It's you, right?!\- Mako! - The gang...\The gang's all here!\Ryuko, I can feel it! Your blood is all fired up! response:	- Yeah! Let's do it, Senketsu! - Right!
context: Wait for us, Ryuko! I'll catch up to you in no time!\Mako? Is that you?!\Ryuko!\- Ryuko! - Mako! It's you, right?!\- Mako! - The gang...\The gang's all here!\Ryuko, I can feel it! Your blood is all fired up!\- Yeah! Let's do it, Senketsu! - Right! response:	Impossible...
context: Mako? Is that you?!\Ryuko!\- Ryuko! - Mako! It's you, right?!\- Mako! - The gang...\The gang's all here!\Ryuko, I can feel it! Your blood is all fired up!\- Yeah! Let's do it, Senketsu! - Right!\Impossible... response:	The Original Life Fiber can't be destroyed by mere
context: Ryuko!\- Ryuko! - Mako! It's you, right?!\- Mako! - The gang...\The gang's all here!\Ryuko, I can feel it! Your blood is all fired up!\- Yeah! Let's do it, Senketsu! - Right!\Impossible...\The Original Life Fiber can't be destroyed by mere response:	You look all dazed and confused, Ragyo.
context: - Ryuko! - Mako! It's you, right?!\- Mako! - The gang...\The gang's all here!\Ryuko, I can feel it! Your blood is all fired up!\- Yeah! Let's do it, Senketsu! - Right!\Impossible...\The Original Life Fiber can't be destroyed by mere\You look all dazed and confused, Ragyo. response:	That ain't surprising.
context: - Mako! - The gang...\The gang's all here!\Ryuko, I can feel it! Your blood is all fired up!\- Yeah! Let's do it, Senketsu! - Right!\Impossible...\The Original Life Fiber can't be destroyed by mere\You look all dazed and confused, Ragyo.\That ain't surprising. response:	Cause not making any sense is kinda our thing!
context: The gang's all here!\Ryuko, I can feel it! Your blood is all fired up!\- Yeah! Let's do it, Senketsu! - Right!\Impossible...\The Original Life Fiber can't be destroyed by mere\You look all dazed and confused, Ragyo.\That ain't surprising.\Cause not making any sense is kinda our thing! response:	The girl you mocked as a sham will thwart you.
context: Ryuko, I can feel it! Your blood is all fired up!\- Yeah! Let's do it, Senketsu! - Right!\Impossible...\The Original Life Fiber can't be destroyed by mere\You look all dazed and confused, Ragyo.\That ain't surprising.\Cause not making any sense is kinda our thing!\The girl you mocked as a sham will thwart you. response:	Humanity does not live for clothing!
context: - Yeah! Let's do it, Senketsu! - Right!\Impossible...\The Original Life Fiber can't be destroyed by mere\You look all dazed and confused, Ragyo.\That ain't surprising.\Cause not making any sense is kinda our thing!\The girl you mocked as a sham will thwart you.\Humanity does not live for clothing! response:	You waste your time...
context: Impossible...\The Original Life Fiber can't be destroyed by mere\You look all dazed and confused, Ragyo.\That ain't surprising.\Cause not making any sense is kinda our thing!\The girl you mocked as a sham will thwart you.\Humanity does not live for clothing!\You waste your time... response:	Attention, worthless trash of Honnouji Academy!
context: The Original Life Fiber can't be destroyed by mere\You look all dazed and confused, Ragyo.\That ain't surprising.\Cause not making any sense is kinda our thing!\The girl you mocked as a sham will thwart you.\Humanity does not live for clothing!\You waste your time...\Attention, worthless trash of Honnouji Academy! response:	The show is not yet over!
context: You look all dazed and confused, Ragyo.\That ain't surprising.\Cause not making any sense is kinda our thing!\The girl you mocked as a sham will thwart you.\Humanity does not live for clothing!\You waste your time...\Attention, worthless trash of Honnouji Academy!\The show is not yet over! response:	That Kamui and those idiotic Goku Uniforms,
context: That ain't surprising.\Cause not making any sense is kinda our thing!\The girl you mocked as a sham will thwart you.\Humanity does not live for clothing!\You waste your time...\Attention, worthless trash of Honnouji Academy!\The show is not yet over!\That Kamui and those idiotic Goku Uniforms, response:	you were all just the opening act!
context: Cause not making any sense is kinda our thing!\The girl you mocked as a sham will thwart you.\Humanity does not live for clothing!\You waste your time...\Attention, worthless trash of Honnouji Academy!\The show is not yet over!\That Kamui and those idiotic Goku Uniforms,\you were all just the opening act! response:	The headline act is the ultimately chic and elegant fashion show
context: The girl you mocked as a sham will thwart you.\Humanity does not live for clothing!\You waste your time...\Attention, worthless trash of Honnouji Academy!\The show is not yet over!\That Kamui and those idiotic Goku Uniforms,\you were all just the opening act!\The headline act is the ultimately chic and elegant fashion show response:	put on by the ultimate Grand Couturier and her ultimate model!
context: Humanity does not live for clothing!\You waste your time...\Attention, worthless trash of Honnouji Academy!\The show is not yet over!\That Kamui and those idiotic Goku Uniforms,\you were all just the opening act!\The headline act is the ultimately chic and elegant fashion show\put on by the ultimate Grand Couturier and her ultimate model! response:	Prepare yourselves!
context: You waste your time...\Attention, worthless trash of Honnouji Academy!\The show is not yet over!\That Kamui and those idiotic Goku Uniforms,\you were all just the opening act!\The headline act is the ultimately chic and elegant fashion show\put on by the ultimate Grand Couturier and her ultimate model!\Prepare yourselves! response:	Please pardon the delay, Lady Ragyo
context: Attention, worthless trash of Honnouji Academy!\The show is not yet over!\That Kamui and those idiotic Goku Uniforms,\you were all just the opening act!\The headline act is the ultimately chic and elegant fashion show\put on by the ultimate Grand Couturier and her ultimate model!\Prepare yourselves!\Please pardon the delay, Lady Ragyo response:	Shinra-Koketsu is complete.
context: The show is not yet over!\That Kamui and those idiotic Goku Uniforms,\you were all just the opening act!\The headline act is the ultimately chic and elegant fashion show\put on by the ultimate Grand Couturier and her ultimate model!\Prepare yourselves!\Please pardon the delay, Lady Ragyo\Shinra-Koketsu is complete. response:	Well done, Nui.
context: That Kamui and those idiotic Goku Uniforms,\you were all just the opening act!\The headline act is the ultimately chic and elegant fashion show\put on by the ultimate Grand Couturier and her ultimate model!\Prepare yourselves!\Please pardon the delay, Lady Ragyo\Shinra-Koketsu is complete.\Well done, Nui. response:	My foolish daughters have treated you rudely, I see.
context: you were all just the opening act!\The headline act is the ultimately chic and elegant fashion show\put on by the ultimate Grand Couturier and her ultimate model!\Prepare yourselves!\Please pardon the delay, Lady Ragyo\Shinra-Koketsu is complete.\Well done, Nui.\My foolish daughters have treated you rudely, I see. response:	Forgive them.
context: The headline act is the ultimately chic and elegant fashion show\put on by the ultimate Grand Couturier and her ultimate model!\Prepare yourselves!\Please pardon the delay, Lady Ragyo\Shinra-Koketsu is complete.\Well done, Nui.\My foolish daughters have treated you rudely, I see.\Forgive them. response:	Lady Ragyo... What are these?
context: put on by the ultimate Grand Couturier and her ultimate model!\Prepare yourselves!\Please pardon the delay, Lady Ragyo\Shinra-Koketsu is complete.\Well done, Nui.\My foolish daughters have treated you rudely, I see.\Forgive them.\Lady Ragyo... What are these? response:	They are no replacement for the nimble fingers of the Grand Couturier,
context: Prepare yourselves!\Please pardon the delay, Lady Ragyo\Shinra-Koketsu is complete.\Well done, Nui.\My foolish daughters have treated you rudely, I see.\Forgive them.\Lady Ragyo... What are these?\They are no replacement for the nimble fingers of the Grand Couturier, response:	but they will allow you to fight these foolish humans.
context: Please pardon the delay, Lady Ragyo\Shinra-Koketsu is complete.\Well done, Nui.\My foolish daughters have treated you rudely, I see.\Forgive them.\Lady Ragyo... What are these?\They are no replacement for the nimble fingers of the Grand Couturier,\but they will allow you to fight these foolish humans. response:	This world will be cloaked in Life Fibers soon.
context: Shinra-Koketsu is complete.\Well done, Nui.\My foolish daughters have treated you rudely, I see.\Forgive them.\Lady Ragyo... What are these?\They are no replacement for the nimble fingers of the Grand Couturier,\but they will allow you to fight these foolish humans.\This world will be cloaked in Life Fibers soon. response:	There is no longer any need to sew clothing.
context: Well done, Nui.\My foolish daughters have treated you rudely, I see.\Forgive them.\Lady Ragyo... What are these?\They are no replacement for the nimble fingers of the Grand Couturier,\but they will allow you to fight these foolish humans.\This world will be cloaked in Life Fibers soon.\There is no longer any need to sew clothing. response:	This is enough.
context: My foolish daughters have treated you rudely, I see.\Forgive them.\Lady Ragyo... What are these?\They are no replacement for the nimble fingers of the Grand Couturier,\but they will allow you to fight these foolish humans.\This world will be cloaked in Life Fibers soon.\There is no longer any need to sew clothing.\This is enough. response:	So this is your final creation, eh?
context: Forgive them.\Lady Ragyo... What are these?\They are no replacement for the nimble fingers of the Grand Couturier,\but they will allow you to fight these foolish humans.\This world will be cloaked in Life Fibers soon.\There is no longer any need to sew clothing.\This is enough.\So this is your final creation, eh? response:	I can't wait to find out how it feels on me.
context: Lady Ragyo... What are these?\They are no replacement for the nimble fingers of the Grand Couturier,\but they will allow you to fight these foolish humans.\This world will be cloaked in Life Fibers soon.\There is no longer any need to sew clothing.\This is enough.\So this is your final creation, eh?\I can't wait to find out how it feels on me. response:	Magnificent, Iori.
context: They are no replacement for the nimble fingers of the Grand Couturier,\but they will allow you to fight these foolish humans.\This world will be cloaked in Life Fibers soon.\There is no longer any need to sew clothing.\This is enough.\So this is your final creation, eh?\I can't wait to find out how it feels on me.\Magnificent, Iori. response:	I am amazed you restored this many Goku Uniforms.
context: but they will allow you to fight these foolish humans.\This world will be cloaked in Life Fibers soon.\There is no longer any need to sew clothing.\This is enough.\So this is your final creation, eh?\I can't wait to find out how it feels on me.\Magnificent, Iori.\I am amazed you restored this many Goku Uniforms. response:	I didn't restore them.
context: This world will be cloaked in Life Fibers soon.\There is no longer any need to sew clothing.\This is enough.\So this is your final creation, eh?\I can't wait to find out how it feels on me.\Magnificent, Iori.\I am amazed you restored this many Goku Uniforms.\I didn't restore them. response:	I made them even more powerful!
context: There is no longer any need to sew clothing.\This is enough.\So this is your final creation, eh?\I can't wait to find out how it feels on me.\Magnificent, Iori.\I am amazed you restored this many Goku Uniforms.\I didn't restore them.\I made them even more powerful! response:	I'm not surprised.
context: This is enough.\So this is your final creation, eh?\I can't wait to find out how it feels on me.\Magnificent, Iori.\I am amazed you restored this many Goku Uniforms.\I didn't restore them.\I made them even more powerful!\I'm not surprised. response:	We've got ultimate loadouts, too!
context: So this is your final creation, eh?\I can't wait to find out how it feels on me.\Magnificent, Iori.\I am amazed you restored this many Goku Uniforms.\I didn't restore them.\I made them even more powerful!\I'm not surprised.\We've got ultimate loadouts, too! response:	We've incapacitated the Original Life Fiber.
context: I can't wait to find out how it feels on me.\Magnificent, Iori.\I am amazed you restored this many Goku Uniforms.\I didn't restore them.\I made them even more powerful!\I'm not surprised.\We've got ultimate loadouts, too!\We've incapacitated the Original Life Fiber. response:	However, Ragyo Kiryuin is still alive and well.
context: Magnificent, Iori.\I am amazed you restored this many Goku Uniforms.\I didn't restore them.\I made them even more powerful!\I'm not surprised.\We've got ultimate loadouts, too!\We've incapacitated the Original Life Fiber.\However, Ragyo Kiryuin is still alive and well. response:	We will now fight our way into Honnouji Academy,
context: I am amazed you restored this many Goku Uniforms.\I didn't restore them.\I made them even more powerful!\I'm not surprised.\We've got ultimate loadouts, too!\We've incapacitated the Original Life Fiber.\However, Ragyo Kiryuin is still alive and well.\We will now fight our way into Honnouji Academy, response:	destroy its transmitter,
context: I didn't restore them.\I made them even more powerful!\I'm not surprised.\We've got ultimate loadouts, too!\We've incapacitated the Original Life Fiber.\However, Ragyo Kiryuin is still alive and well.\We will now fight our way into Honnouji Academy,\destroy its transmitter, response:	and apprehend Ragyo Kiryuin and Nui Harime!
context: I made them even more powerful!\I'm not surprised.\We've got ultimate loadouts, too!\We've incapacitated the Original Life Fiber.\However, Ragyo Kiryuin is still alive and well.\We will now fight our way into Honnouji Academy,\destroy its transmitter,\and apprehend Ragyo Kiryuin and Nui Harime! response:	Soroi?
context: I'm not surprised.\We've got ultimate loadouts, too!\We've incapacitated the Original Life Fiber.\However, Ragyo Kiryuin is still alive and well.\We will now fight our way into Honnouji Academy,\destroy its transmitter,\and apprehend Ragyo Kiryuin and Nui Harime!\Soroi? response:	That's hot!
context: We've got ultimate loadouts, too!\We've incapacitated the Original Life Fiber.\However, Ragyo Kiryuin is still alive and well.\We will now fight our way into Honnouji Academy,\destroy its transmitter,\and apprehend Ragyo Kiryuin and Nui Harime!\Soroi?\That's hot! response:	So your eyes are open, but you're still sensitive to hot drinks, huh?
context: We've incapacitated the Original Life Fiber.\However, Ragyo Kiryuin is still alive and well.\We will now fight our way into Honnouji Academy,\destroy its transmitter,\and apprehend Ragyo Kiryuin and Nui Harime!\Soroi?\That's hot!\So your eyes are open, but you're still sensitive to hot drinks, huh? response:	S-Shut up!
context: However, Ragyo Kiryuin is still alive and well.\We will now fight our way into Honnouji Academy,\destroy its transmitter,\and apprehend Ragyo Kiryuin and Nui Harime!\Soroi?\That's hot!\So your eyes are open, but you're still sensitive to hot drinks, huh?\S-Shut up! response:	Don't break these cups.
context: We will now fight our way into Honnouji Academy,\destroy its transmitter,\and apprehend Ragyo Kiryuin and Nui Harime!\Soroi?\That's hot!\So your eyes are open, but you're still sensitive to hot drinks, huh?\S-Shut up!\Don't break these cups. response:	We do not go to our deaths.
context: destroy its transmitter,\and apprehend Ragyo Kiryuin and Nui Harime!\Soroi?\That's hot!\So your eyes are open, but you're still sensitive to hot drinks, huh?\S-Shut up!\Don't break these cups.\We do not go to our deaths. response:	We will return here alive and enjoy another cup of this tea.
context: and apprehend Ragyo Kiryuin and Nui Harime!\Soroi?\That's hot!\So your eyes are open, but you're still sensitive to hot drinks, huh?\S-Shut up!\Don't break these cups.\We do not go to our deaths.\We will return here alive and enjoy another cup of this tea. response:	Right, Soroi?
context: Soroi?\That's hot!\So your eyes are open, but you're still sensitive to hot drinks, huh?\S-Shut up!\Don't break these cups.\We do not go to our deaths.\We will return here alive and enjoy another cup of this tea.\Right, Soroi? response:	I will have plenty of hot water ready.
context: That's hot!\So your eyes are open, but you're still sensitive to hot drinks, huh?\S-Shut up!\Don't break these cups.\We do not go to our deaths.\We will return here alive and enjoy another cup of this tea.\Right, Soroi?\I will have plenty of hot water ready. response:	Hey, you don't have to come, too!
context: So your eyes are open, but you're still sensitive to hot drinks, huh?\S-Shut up!\Don't break these cups.\We do not go to our deaths.\We will return here alive and enjoy another cup of this tea.\Right, Soroi?\I will have plenty of hot water ready.\Hey, you don't have to come, too! response:	I've come this far, so I have to see it through!
context: S-Shut up!\Don't break these cups.\We do not go to our deaths.\We will return here alive and enjoy another cup of this tea.\Right, Soroi?\I will have plenty of hot water ready.\Hey, you don't have to come, too!\I've come this far, so I have to see it through! response:	Sis...
context: Don't break these cups.\We do not go to our deaths.\We will return here alive and enjoy another cup of this tea.\Right, Soroi?\I will have plenty of hot water ready.\Hey, you don't have to come, too!\I've come this far, so I have to see it through!\Sis... response:	Don't worry! If anything happens to you,
context: We do not go to our deaths.\We will return here alive and enjoy another cup of this tea.\Right, Soroi?\I will have plenty of hot water ready.\Hey, you don't have to come, too!\I've come this far, so I have to see it through!\Sis...\Don't worry! If anything happens to you, response:	I'll squeeze the Kiryuin Conglomerate for a ton in damages!
context: We will return here alive and enjoy another cup of this tea.\Right, Soroi?\I will have plenty of hot water ready.\Hey, you don't have to come, too!\I've come this far, so I have to see it through!\Sis...\Don't worry! If anything happens to you,\I'll squeeze the Kiryuin Conglomerate for a ton in damages! response:	Fight hard, but don't kill yourself.
context: Right, Soroi?\I will have plenty of hot water ready.\Hey, you don't have to come, too!\I've come this far, so I have to see it through!\Sis...\Don't worry! If anything happens to you,\I'll squeeze the Kiryuin Conglomerate for a ton in damages!\Fight hard, but don't kill yourself. response:	Here are some croquettes for you!
context: I will have plenty of hot water ready.\Hey, you don't have to come, too!\I've come this far, so I have to see it through!\Sis...\Don't worry! If anything happens to you,\I'll squeeze the Kiryuin Conglomerate for a ton in damages!\Fight hard, but don't kill yourself.\Here are some croquettes for you! response:	Don't let your family's love go to waste.
context: Hey, you don't have to come, too!\I've come this far, so I have to see it through!\Sis...\Don't worry! If anything happens to you,\I'll squeeze the Kiryuin Conglomerate for a ton in damages!\Fight hard, but don't kill yourself.\Here are some croquettes for you!\Don't let your family's love go to waste. response:	Be happy enough to make up for our cursed family.
context: I've come this far, so I have to see it through!\Sis...\Don't worry! If anything happens to you,\I'll squeeze the Kiryuin Conglomerate for a ton in damages!\Fight hard, but don't kill yourself.\Here are some croquettes for you!\Don't let your family's love go to waste.\Be happy enough to make up for our cursed family. response:	Don't worry on that score, Satsuki.
context: Sis...\Don't worry! If anything happens to you,\I'll squeeze the Kiryuin Conglomerate for a ton in damages!\Fight hard, but don't kill yourself.\Here are some croquettes for you!\Don't let your family's love go to waste.\Be happy enough to make up for our cursed family.\Don't worry on that score, Satsuki. response:	When it comes to being incomprehensible, this family's the best in the world.
context: Don't worry! If anything happens to you,\I'll squeeze the Kiryuin Conglomerate for a ton in damages!\Fight hard, but don't kill yourself.\Here are some croquettes for you!\Don't let your family's love go to waste.\Be happy enough to make up for our cursed family.\Don't worry on that score, Satsuki.\When it comes to being incomprehensible, this family's the best in the world. response:	Yep!
context: I'll squeeze the Kiryuin Conglomerate for a ton in damages!\Fight hard, but don't kill yourself.\Here are some croquettes for you!\Don't let your family's love go to waste.\Be happy enough to make up for our cursed family.\Don't worry on that score, Satsuki.\When it comes to being incomprehensible, this family's the best in the world.\Yep! response:	We're leaving Mako in your hands.
context: Fight hard, but don't kill yourself.\Here are some croquettes for you!\Don't let your family's love go to waste.\Be happy enough to make up for our cursed family.\Don't worry on that score, Satsuki.\When it comes to being incomprehensible, this family's the best in the world.\Yep!\We're leaving Mako in your hands. response:	If anything happens, we'll sue the Kiryuin Conglomerate
context: Here are some croquettes for you!\Don't let your family's love go to waste.\Be happy enough to make up for our cursed family.\Don't worry on that score, Satsuki.\When it comes to being incomprehensible, this family's the best in the world.\Yep!\We're leaving Mako in your hands.\If anything happens, we'll sue the Kiryuin Conglomerate response:	'til they're bankrupt, so take good care of her.
context: Don't let your family's love go to waste.\Be happy enough to make up for our cursed family.\Don't worry on that score, Satsuki.\When it comes to being incomprehensible, this family's the best in the world.\Yep!\We're leaving Mako in your hands.\If anything happens, we'll sue the Kiryuin Conglomerate\'til they're bankrupt, so take good care of her. response:	I'll keep that in mind.
context: Be happy enough to make up for our cursed family.\Don't worry on that score, Satsuki.\When it comes to being incomprehensible, this family's the best in the world.\Yep!\We're leaving Mako in your hands.\If anything happens, we'll sue the Kiryuin Conglomerate\'til they're bankrupt, so take good care of her.\I'll keep that in mind. response:	Okay, let's go, Ryuko, Lady Satsuki!
context: Don't worry on that score, Satsuki.\When it comes to being incomprehensible, this family's the best in the world.\Yep!\We're leaving Mako in your hands.\If anything happens, we'll sue the Kiryuin Conglomerate\'til they're bankrupt, so take good care of her.\I'll keep that in mind.\Okay, let's go, Ryuko, Lady Satsuki! response:	You got it!
context: When it comes to being incomprehensible, this family's the best in the world.\Yep!\We're leaving Mako in your hands.\If anything happens, we'll sue the Kiryuin Conglomerate\'til they're bankrupt, so take good care of her.\I'll keep that in mind.\Okay, let's go, Ryuko, Lady Satsuki!\You got it! response:	- Life Fiber Synchronize, Kamui Senketsu! - Life Fiber Override, Kamui Junketsu!
context: Yep!\We're leaving Mako in your hands.\If anything happens, we'll sue the Kiryuin Conglomerate\'til they're bankrupt, so take good care of her.\I'll keep that in mind.\Okay, let's go, Ryuko, Lady Satsuki!\You got it!\- Life Fiber Synchronize, Kamui Senketsu! - Life Fiber Override, Kamui Junketsu! response:	KAMUI SENKETSU KAMUI JUNKETSU
context: We're leaving Mako in your hands.\If anything happens, we'll sue the Kiryuin Conglomerate\'til they're bankrupt, so take good care of her.\I'll keep that in mind.\Okay, let's go, Ryuko, Lady Satsuki!\You got it!\- Life Fiber Synchronize, Kamui Senketsu! - Life Fiber Override, Kamui Junketsu!\KAMUI SENKETSU KAMUI JUNKETSU response:	All right, let's take back
context: If anything happens, we'll sue the Kiryuin Conglomerate\'til they're bankrupt, so take good care of her.\I'll keep that in mind.\Okay, let's go, Ryuko, Lady Satsuki!\You got it!\- Life Fiber Synchronize, Kamui Senketsu! - Life Fiber Override, Kamui Junketsu!\KAMUI SENKETSU KAMUI JUNKETSU\All right, let's take back response:	our academy!
context: 'til they're bankrupt, so take good care of her.\I'll keep that in mind.\Okay, let's go, Ryuko, Lady Satsuki!\You got it!\- Life Fiber Synchronize, Kamui Senketsu! - Life Fiber Override, Kamui Junketsu!\KAMUI SENKETSU KAMUI JUNKETSU\All right, let's take back\our academy! response:	Yeah!
context: I'll keep that in mind.\Okay, let's go, Ryuko, Lady Satsuki!\You got it!\- Life Fiber Synchronize, Kamui Senketsu! - Life Fiber Override, Kamui Junketsu!\KAMUI SENKETSU KAMUI JUNKETSU\All right, let's take back\our academy!\Yeah! response:	Ryuko!
context: Okay, let's go, Ryuko, Lady Satsuki!\You got it!\- Life Fiber Synchronize, Kamui Senketsu! - Life Fiber Override, Kamui Junketsu!\KAMUI SENKETSU KAMUI JUNKETSU\All right, let's take back\our academy!\Yeah!\Ryuko! response:	This world belongs to Life Fibers.
context: You got it!\- Life Fiber Synchronize, Kamui Senketsu! - Life Fiber Override, Kamui Junketsu!\KAMUI SENKETSU KAMUI JUNKETSU\All right, let's take back\our academy!\Yeah!\Ryuko!\This world belongs to Life Fibers. response:	You cannot stop the advent of the Starseed Cocoon Sphere.
