context: Bastard... response:	Son of a bitch, this ain't funny.
context: Those seals must serve as proof of ownership of the Infinity Clock.\So if we defeat all the members of the new Oracion Seis,\we can remove their right of ownership to the Infinity Clock, right?\And then maybe we'll be able to free Lucy, too!\Aye, sir!\Alright! I'll pass that on to Natsu and the others right away!\I'm gonna set off to find Lucy, too!\Me too! response:	I'll stay here with Wendy, but be careful, you two!
context: So if we defeat all the members of the new Oracion Seis,\we can remove their right of ownership to the Infinity Clock, right?\And then maybe we'll be able to free Lucy, too!\Aye, sir!\Alright! I'll pass that on to Natsu and the others right away!\I'm gonna set off to find Lucy, too!\Me too!\I'll stay here with Wendy, but be careful, you two! response:	Hey! Did everyone catch that?!
context: we can remove their right of ownership to the Infinity Clock, right?\And then maybe we'll be able to free Lucy, too!\Aye, sir!\Alright! I'll pass that on to Natsu and the others right away!\I'm gonna set off to find Lucy, too!\Me too!\I'll stay here with Wendy, but be careful, you two!\Hey! Did everyone catch that?! response:	The Infinity Clock...
context: And then maybe we'll be able to free Lucy, too!\Aye, sir!\Alright! I'll pass that on to Natsu and the others right away!\I'm gonna set off to find Lucy, too!\Me too!\I'll stay here with Wendy, but be careful, you two!\Hey! Did everyone catch that?!\The Infinity Clock... response:	I can't hear so good!
context: Aye, sir!\Alright! I'll pass that on to Natsu and the others right away!\I'm gonna set off to find Lucy, too!\Me too!\I'll stay here with Wendy, but be careful, you two!\Hey! Did everyone catch that?!\The Infinity Clock...\I can't hear so good! response:	There was lots of static, but it's a telepathic message from Warren!
context: Alright! I'll pass that on to Natsu and the others right away!\I'm gonna set off to find Lucy, too!\Me too!\I'll stay here with Wendy, but be careful, you two!\Hey! Did everyone catch that?!\The Infinity Clock...\I can't hear so good!\There was lots of static, but it's a telepathic message from Warren! response:	What?!
context: I'm gonna set off to find Lucy, too!\Me too!\I'll stay here with Wendy, but be careful, you two!\Hey! Did everyone catch that?!\The Infinity Clock...\I can't hear so good!\There was lots of static, but it's a telepathic message from Warren!\What?! response:	If we beat all the members of the new Oracion Seis...
context: Me too!\I'll stay here with Wendy, but be careful, you two!\Hey! Did everyone catch that?!\The Infinity Clock...\I can't hear so good!\There was lots of static, but it's a telepathic message from Warren!\What?!\If we beat all the members of the new Oracion Seis... response:	And we might be able to save Lucy that way, too?!
context: I'll stay here with Wendy, but be careful, you two!\Hey! Did everyone catch that?!\The Infinity Clock...\I can't hear so good!\There was lots of static, but it's a telepathic message from Warren!\What?!\If we beat all the members of the new Oracion Seis...\And we might be able to save Lucy that way, too?! response:	I like how easy it is to understand.
context: Hey! Did everyone catch that?!\The Infinity Clock...\I can't hear so good!\There was lots of static, but it's a telepathic message from Warren!\What?!\If we beat all the members of the new Oracion Seis...\And we might be able to save Lucy that way, too?!\I like how easy it is to understand. response:	All we have to do is kick all their asses, right?!
context: The Infinity Clock...\I can't hear so good!\There was lots of static, but it's a telepathic message from Warren!\What?!\If we beat all the members of the new Oracion Seis...\And we might be able to save Lucy that way, too?!\I like how easy it is to understand.\All we have to do is kick all their asses, right?! response:	A simple strategy that stirs up the blood!
context: I can't hear so good!\There was lots of static, but it's a telepathic message from Warren!\What?!\If we beat all the members of the new Oracion Seis...\And we might be able to save Lucy that way, too?!\I like how easy it is to understand.\All we have to do is kick all their asses, right?!\A simple strategy that stirs up the blood! response:	Now that's a Man!
context: There was lots of static, but it's a telepathic message from Warren!\What?!\If we beat all the members of the new Oracion Seis...\And we might be able to save Lucy that way, too?!\I like how easy it is to understand.\All we have to do is kick all their asses, right?!\A simple strategy that stirs up the blood!\Now that's a Man! response:	I'm all fired up!
context: What?!\If we beat all the members of the new Oracion Seis...\And we might be able to save Lucy that way, too?!\I like how easy it is to understand.\All we have to do is kick all their asses, right?!\A simple strategy that stirs up the blood!\Now that's a Man!\I'm all fired up! response:	Don't make me laugh.
context: If we beat all the members of the new Oracion Seis...\And we might be able to save Lucy that way, too?!\I like how easy it is to understand.\All we have to do is kick all their asses, right?!\A simple strategy that stirs up the blood!\Now that's a Man!\I'm all fired up!\Don't make me laugh. response:	You're...
context: And we might be able to save Lucy that way, too?!\I like how easy it is to understand.\All we have to do is kick all their asses, right?!\A simple strategy that stirs up the blood!\Now that's a Man!\I'm all fired up!\Don't make me laugh.\You're... response:	Cobra?!
context: I like how easy it is to understand.\All we have to do is kick all their asses, right?!\A simple strategy that stirs up the blood!\Now that's a Man!\I'm all fired up!\Don't make me laugh.\You're...\Cobra?! response:	I can hear it...
context: All we have to do is kick all their asses, right?!\A simple strategy that stirs up the blood!\Now that's a Man!\I'm all fired up!\Don't make me laugh.\You're...\Cobra?!\I can hear it... response:	Your anxiety, desperation, despair...
context: A simple strategy that stirs up the blood!\Now that's a Man!\I'm all fired up!\Don't make me laugh.\You're...\Cobra?!\I can hear it...\Your anxiety, desperation, despair... response:	I'm gonna take him!
context: Now that's a Man!\I'm all fired up!\Don't make me laugh.\You're...\Cobra?!\I can hear it...\Your anxiety, desperation, despair...\I'm gonna take him! response:	You're the last one.
context: I'm all fired up!\Don't make me laugh.\You're...\Cobra?!\I can hear it...\Your anxiety, desperation, despair...\I'm gonna take him!\You're the last one. response:	Before that, there's someone else...
context: Don't make me laugh.\You're...\Cobra?!\I can hear it...\Your anxiety, desperation, despair...\I'm gonna take him!\You're the last one.\Before that, there's someone else... response:	You heard him, right? I think he likes me.
context: You're...\Cobra?!\I can hear it...\Your anxiety, desperation, despair...\I'm gonna take him!\You're the last one.\Before that, there's someone else...\You heard him, right? I think he likes me. response:	But...
context: Cobra?!\I can hear it...\Your anxiety, desperation, despair...\I'm gonna take him!\You're the last one.\Before that, there's someone else...\You heard him, right? I think he likes me.\But... response:	I heard them...
context: I can hear it...\Your anxiety, desperation, despair...\I'm gonna take him!\You're the last one.\Before that, there's someone else...\You heard him, right? I think he likes me.\But...\I heard them... response:	The screams from his heart...
context: Your anxiety, desperation, despair...\I'm gonna take him!\You're the last one.\Before that, there's someone else...\You heard him, right? I think he likes me.\But...\I heard them...\The screams from his heart... response:	Silence!
context: I'm gonna take him!\You're the last one.\Before that, there's someone else...\You heard him, right? I think he likes me.\But...\I heard them...\The screams from his heart...\Silence! response:	Natsu! Let's go!
context: You're the last one.\Before that, there's someone else...\You heard him, right? I think he likes me.\But...\I heard them...\The screams from his heart...\Silence!\Natsu! Let's go! response:	Yeah...
context: Before that, there's someone else...\You heard him, right? I think he likes me.\But...\I heard them...\The screams from his heart...\Silence!\Natsu! Let's go!\Yeah... response:	Erza! If you lose, I'm gonna wallop you!
context: You heard him, right? I think he likes me.\But...\I heard them...\The screams from his heart...\Silence!\Natsu! Let's go!\Yeah...\Erza! If you lose, I'm gonna wallop you! response:	What are you laughing about?
context: But...\I heard them...\The screams from his heart...\Silence!\Natsu! Let's go!\Yeah...\Erza! If you lose, I'm gonna wallop you!\What are you laughing about? response:	It's not even worth answering.
context: I heard them...\The screams from his heart...\Silence!\Natsu! Let's go!\Yeah...\Erza! If you lose, I'm gonna wallop you!\What are you laughing about?\It's not even worth answering. response:	You can hear it, can't you?
context: The screams from his heart...\Silence!\Natsu! Let's go!\Yeah...\Erza! If you lose, I'm gonna wallop you!\What are you laughing about?\It's not even worth answering.\You can hear it, can't you? response:	What is this place?!
context: Silence!\Natsu! Let's go!\Yeah...\Erza! If you lose, I'm gonna wallop you!\What are you laughing about?\It's not even worth answering.\You can hear it, can't you?\What is this place?! response:	A greenhouse?!
context: Natsu! Let's go!\Yeah...\Erza! If you lose, I'm gonna wallop you!\What are you laughing about?\It's not even worth answering.\You can hear it, can't you?\What is this place?!\A greenhouse?! response:	Why would somethin' like that be inside a clock?!
context: Yeah...\Erza! If you lose, I'm gonna wallop you!\What are you laughing about?\It's not even worth answering.\You can hear it, can't you?\What is this place?!\A greenhouse?!\Why would somethin' like that be inside a clock?! response:	How the hell should I know?!
context: Erza! If you lose, I'm gonna wallop you!\What are you laughing about?\It's not even worth answering.\You can hear it, can't you?\What is this place?!\A greenhouse?!\Why would somethin' like that be inside a clock?!\How the hell should I know?! response:	That's as far as you go, cretins.
context: What are you laughing about?\It's not even worth answering.\You can hear it, can't you?\What is this place?!\A greenhouse?!\Why would somethin' like that be inside a clock?!\How the hell should I know?!\That's as far as you go, cretins. response:	That's...
context: It's not even worth answering.\You can hear it, can't you?\What is this place?!\A greenhouse?!\Why would somethin' like that be inside a clock?!\How the hell should I know?!\That's as far as you go, cretins.\That's... response:	I'll take her!
context: You can hear it, can't you?\What is this place?!\A greenhouse?!\Why would somethin' like that be inside a clock?!\How the hell should I know?!\That's as far as you go, cretins.\That's...\I'll take her! response:	What the hell?! Everybody's decidin' on their own!
context: What is this place?!\A greenhouse?!\Why would somethin' like that be inside a clock?!\How the hell should I know?!\That's as far as you go, cretins.\That's...\I'll take her!\What the hell?! Everybody's decidin' on their own! response:	It doesn't matter, just go!
context: A greenhouse?!\Why would somethin' like that be inside a clock?!\How the hell should I know?!\That's as far as you go, cretins.\That's...\I'll take her!\What the hell?! Everybody's decidin' on their own!\It doesn't matter, just go! response:	Alright, whatever.
context: Why would somethin' like that be inside a clock?!\How the hell should I know?!\That's as far as you go, cretins.\That's...\I'll take her!\What the hell?! Everybody's decidin' on their own!\It doesn't matter, just go!\Alright, whatever. response:	She kind of annoys me, anyway...
context: How the hell should I know?!\That's as far as you go, cretins.\That's...\I'll take her!\What the hell?! Everybody's decidin' on their own!\It doesn't matter, just go!\Alright, whatever.\She kind of annoys me, anyway... response:	Boring...
context: That's as far as you go, cretins.\That's...\I'll take her!\What the hell?! Everybody's decidin' on their own!\It doesn't matter, just go!\Alright, whatever.\She kind of annoys me, anyway...\Boring... response:	I have to fight you again?
context: That's...\I'll take her!\What the hell?! Everybody's decidin' on their own!\It doesn't matter, just go!\Alright, whatever.\She kind of annoys me, anyway...\Boring...\I have to fight you again? response:	Don't worry!
context: I'll take her!\What the hell?! Everybody's decidin' on their own!\It doesn't matter, just go!\Alright, whatever.\She kind of annoys me, anyway...\Boring...\I have to fight you again?\Don't worry! response:	I'll make it interesting for you soon enough!
context: What the hell?! Everybody's decidin' on their own!\It doesn't matter, just go!\Alright, whatever.\She kind of annoys me, anyway...\Boring...\I have to fight you again?\Don't worry!\I'll make it interesting for you soon enough! response:	I discovered an intruder!
context: It doesn't matter, just go!\Alright, whatever.\She kind of annoys me, anyway...\Boring...\I have to fight you again?\Don't worry!\I'll make it interesting for you soon enough!\I discovered an intruder! response:	Midnight!
context: Alright, whatever.\She kind of annoys me, anyway...\Boring...\I have to fight you again?\Don't worry!\I'll make it interesting for you soon enough!\I discovered an intruder!\Midnight! response:	I mean... Brain II, right?!
context: She kind of annoys me, anyway...\Boring...\I have to fight you again?\Don't worry!\I'll make it interesting for you soon enough!\I discovered an intruder!\Midnight!\I mean... Brain II, right?! response:	We're not letting you people get any higher than this.
context: Boring...\I have to fight you again?\Don't worry!\I'll make it interesting for you soon enough!\I discovered an intruder!\Midnight!\I mean... Brain II, right?!\We're not letting you people get any higher than this. response:	Alright! I'll take this guy on!
context: I have to fight you again?\Don't worry!\I'll make it interesting for you soon enough!\I discovered an intruder!\Midnight!\I mean... Brain II, right?!\We're not letting you people get any higher than this.\Alright! I'll take this guy on! response:	Don't get cocky, Salamander!
context: Don't worry!\I'll make it interesting for you soon enough!\I discovered an intruder!\Midnight!\I mean... Brain II, right?!\We're not letting you people get any higher than this.\Alright! I'll take this guy on!\Don't get cocky, Salamander! response:	This one's mine!
context: I'll make it interesting for you soon enough!\I discovered an intruder!\Midnight!\I mean... Brain II, right?!\We're not letting you people get any higher than this.\Alright! I'll take this guy on!\Don't get cocky, Salamander!\This one's mine! response:	You too, Gajeel?! You're the one that's cocky!
context: I discovered an intruder!\Midnight!\I mean... Brain II, right?!\We're not letting you people get any higher than this.\Alright! I'll take this guy on!\Don't get cocky, Salamander!\This one's mine!\You too, Gajeel?! You're the one that's cocky! response:	Since you call yourself Brain II,
context: Midnight!\I mean... Brain II, right?!\We're not letting you people get any higher than this.\Alright! I'll take this guy on!\Don't get cocky, Salamander!\This one's mine!\You too, Gajeel?! You're the one that's cocky!\Since you call yourself Brain II, response:	that means you're the leader of the new Oracion Seis, right?
context: I mean... Brain II, right?!\We're not letting you people get any higher than this.\Alright! I'll take this guy on!\Don't get cocky, Salamander!\This one's mine!\You too, Gajeel?! You're the one that's cocky!\Since you call yourself Brain II,\that means you're the leader of the new Oracion Seis, right? response:	And you're a Fairy Tail underling, I take it?
context: We're not letting you people get any higher than this.\Alright! I'll take this guy on!\Don't get cocky, Salamander!\This one's mine!\You too, Gajeel?! You're the one that's cocky!\Since you call yourself Brain II,\that means you're the leader of the new Oracion Seis, right?\And you're a Fairy Tail underling, I take it? response:	You better find that out for yourself.
context: Alright! I'll take this guy on!\Don't get cocky, Salamander!\This one's mine!\You too, Gajeel?! You're the one that's cocky!\Since you call yourself Brain II,\that means you're the leader of the new Oracion Seis, right?\And you're a Fairy Tail underling, I take it?\You better find that out for yourself. response:	Get outta here, Salamander!
context: Don't get cocky, Salamander!\This one's mine!\You too, Gajeel?! You're the one that's cocky!\Since you call yourself Brain II,\that means you're the leader of the new Oracion Seis, right?\And you're a Fairy Tail underling, I take it?\You better find that out for yourself.\Get outta here, Salamander! response:	I told you, don't decide by yourself!
context: This one's mine!\You too, Gajeel?! You're the one that's cocky!\Since you call yourself Brain II,\that means you're the leader of the new Oracion Seis, right?\And you're a Fairy Tail underling, I take it?\You better find that out for yourself.\Get outta here, Salamander!\I told you, don't decide by yourself! response:	Leaving this one in Gajeel's hands and pressing on is a Man!
context: You too, Gajeel?! You're the one that's cocky!\Since you call yourself Brain II,\that means you're the leader of the new Oracion Seis, right?\And you're a Fairy Tail underling, I take it?\You better find that out for yourself.\Get outta here, Salamander!\I told you, don't decide by yourself!\Leaving this one in Gajeel's hands and pressing on is a Man! response:	Let's hurry!
context: Since you call yourself Brain II,\that means you're the leader of the new Oracion Seis, right?\And you're a Fairy Tail underling, I take it?\You better find that out for yourself.\Get outta here, Salamander!\I told you, don't decide by yourself!\Leaving this one in Gajeel's hands and pressing on is a Man!\Let's hurry! response:	I'll remember this, asshole!
context: that means you're the leader of the new Oracion Seis, right?\And you're a Fairy Tail underling, I take it?\You better find that out for yourself.\Get outta here, Salamander!\I told you, don't decide by yourself!\Leaving this one in Gajeel's hands and pressing on is a Man!\Let's hurry!\I'll remember this, asshole! response:	That attack...
context: And you're a Fairy Tail underling, I take it?\You better find that out for yourself.\Get outta here, Salamander!\I told you, don't decide by yourself!\Leaving this one in Gajeel's hands and pressing on is a Man!\Let's hurry!\I'll remember this, asshole!\That attack... response:	Spicy!
context: You better find that out for yourself.\Get outta here, Salamander!\I told you, don't decide by yourself!\Leaving this one in Gajeel's hands and pressing on is a Man!\Let's hurry!\I'll remember this, asshole!\That attack...\Spicy! response:	Sugar Boy...
context: Get outta here, Salamander!\I told you, don't decide by yourself!\Leaving this one in Gajeel's hands and pressing on is a Man!\Let's hurry!\I'll remember this, asshole!\That attack...\Spicy!\Sugar Boy... response:	You still intend to fight us?
context: I told you, don't decide by yourself!\Leaving this one in Gajeel's hands and pressing on is a Man!\Let's hurry!\I'll remember this, asshole!\That attack...\Spicy!\Sugar Boy...\You still intend to fight us? response:	Byro-sama ordered me to keep Fairy Tail away from the Infinity Clock, see...
context: Leaving this one in Gajeel's hands and pressing on is a Man!\Let's hurry!\I'll remember this, asshole!\That attack...\Spicy!\Sugar Boy...\You still intend to fight us?\Byro-sama ordered me to keep Fairy Tail away from the Infinity Clock, see... response:	Circumstances have changed.
context: Let's hurry!\I'll remember this, asshole!\That attack...\Spicy!\Sugar Boy...\You still intend to fight us?\Byro-sama ordered me to keep Fairy Tail away from the Infinity Clock, see...\Circumstances have changed. response:	Right now, Byro and the new Oracion Seis are enemies.
context: I'll remember this, asshole!\That attack...\Spicy!\Sugar Boy...\You still intend to fight us?\Byro-sama ordered me to keep Fairy Tail away from the Infinity Clock, see...\Circumstances have changed.\Right now, Byro and the new Oracion Seis are enemies. response:	That's just crazy!
context: That attack...\Spicy!\Sugar Boy...\You still intend to fight us?\Byro-sama ordered me to keep Fairy Tail away from the Infinity Clock, see...\Circumstances have changed.\Right now, Byro and the new Oracion Seis are enemies.\That's just crazy! response:	Is it true, Snake Boy?
context: Spicy!\Sugar Boy...\You still intend to fight us?\Byro-sama ordered me to keep Fairy Tail away from the Infinity Clock, see...\Circumstances have changed.\Right now, Byro and the new Oracion Seis are enemies.\That's just crazy!\Is it true, Snake Boy? response:	Get lost.
context: Sugar Boy...\You still intend to fight us?\Byro-sama ordered me to keep Fairy Tail away from the Infinity Clock, see...\Circumstances have changed.\Right now, Byro and the new Oracion Seis are enemies.\That's just crazy!\Is it true, Snake Boy?\Get lost. response:	What?
context: You still intend to fight us?\Byro-sama ordered me to keep Fairy Tail away from the Infinity Clock, see...\Circumstances have changed.\Right now, Byro and the new Oracion Seis are enemies.\That's just crazy!\Is it true, Snake Boy?\Get lost.\What? response:	Be destroyed by your own voice.
context: Byro-sama ordered me to keep Fairy Tail away from the Infinity Clock, see...\Circumstances have changed.\Right now, Byro and the new Oracion Seis are enemies.\That's just crazy!\Is it true, Snake Boy?\Get lost.\What?\Be destroyed by your own voice. response:	Wha...?! I'm losing control of my hound dogs! No!!
context: Circumstances have changed.\Right now, Byro and the new Oracion Seis are enemies.\That's just crazy!\Is it true, Snake Boy?\Get lost.\What?\Be destroyed by your own voice.\Wha...?! I'm losing control of my hound dogs! No!! response:	Get out of my sight!
context: Right now, Byro and the new Oracion Seis are enemies.\That's just crazy!\Is it true, Snake Boy?\Get lost.\What?\Be destroyed by your own voice.\Wha...?! I'm losing control of my hound dogs! No!!\Get out of my sight! response:	Unbelievable!
context: That's just crazy!\Is it true, Snake Boy?\Get lost.\What?\Be destroyed by your own voice.\Wha...?! I'm losing control of my hound dogs! No!!\Get out of my sight!\Unbelievable! response:	I was so excited about fighting Ice Boy again!
context: Is it true, Snake Boy?\Get lost.\What?\Be destroyed by your own voice.\Wha...?! I'm losing control of my hound dogs! No!!\Get out of my sight!\Unbelievable!\I was so excited about fighting Ice Boy again! response:	But before that, fade out! Spicy! Bye-bye, Armor Girl and Snake Boy!
context: Get lost.\What?\Be destroyed by your own voice.\Wha...?! I'm losing control of my hound dogs! No!!\Get out of my sight!\Unbelievable!\I was so excited about fighting Ice Boy again!\But before that, fade out! Spicy! Bye-bye, Armor Girl and Snake Boy! response:	Now then, let's continue, Titania.
context: What?\Be destroyed by your own voice.\Wha...?! I'm losing control of my hound dogs! No!!\Get out of my sight!\Unbelievable!\I was so excited about fighting Ice Boy again!\But before that, fade out! Spicy! Bye-bye, Armor Girl and Snake Boy!\Now then, let's continue, Titania. response:	Lance of the Iron Dragon!
context: Be destroyed by your own voice.\Wha...?! I'm losing control of my hound dogs! No!!\Get out of my sight!\Unbelievable!\I was so excited about fighting Ice Boy again!\But before that, fade out! Spicy! Bye-bye, Armor Girl and Snake Boy!\Now then, let's continue, Titania.\Lance of the Iron Dragon! response:	I see. So you're a Dragon Slayer, too...
context: Wha...?! I'm losing control of my hound dogs! No!!\Get out of my sight!\Unbelievable!\I was so excited about fighting Ice Boy again!\But before that, fade out! Spicy! Bye-bye, Armor Girl and Snake Boy!\Now then, let's continue, Titania.\Lance of the Iron Dragon!\I see. So you're a Dragon Slayer, too... response:	Is that Reflector or whatever it's called? That kinda magic is annoying.
context: Get out of my sight!\Unbelievable!\I was so excited about fighting Ice Boy again!\But before that, fade out! Spicy! Bye-bye, Armor Girl and Snake Boy!\Now then, let's continue, Titania.\Lance of the Iron Dragon!\I see. So you're a Dragon Slayer, too...\Is that Reflector or whatever it's called? That kinda magic is annoying. response:	You're the one they call Iron Gajeel, right?
context: Unbelievable!\I was so excited about fighting Ice Boy again!\But before that, fade out! Spicy! Bye-bye, Armor Girl and Snake Boy!\Now then, let's continue, Titania.\Lance of the Iron Dragon!\I see. So you're a Dragon Slayer, too...\Is that Reflector or whatever it's called? That kinda magic is annoying.\You're the one they call Iron Gajeel, right? response:	It seems like your brain's made out of iron, too!
context: I was so excited about fighting Ice Boy again!\But before that, fade out! Spicy! Bye-bye, Armor Girl and Snake Boy!\Now then, let's continue, Titania.\Lance of the Iron Dragon!\I see. So you're a Dragon Slayer, too...\Is that Reflector or whatever it's called? That kinda magic is annoying.\You're the one they call Iron Gajeel, right?\It seems like your brain's made out of iron, too! response:	Shut up!
context: But before that, fade out! Spicy! Bye-bye, Armor Girl and Snake Boy!\Now then, let's continue, Titania.\Lance of the Iron Dragon!\I see. So you're a Dragon Slayer, too...\Is that Reflector or whatever it's called? That kinda magic is annoying.\You're the one they call Iron Gajeel, right?\It seems like your brain's made out of iron, too!\Shut up! response:	Lance of the Iron Dragon... Demon Logs!
context: Now then, let's continue, Titania.\Lance of the Iron Dragon!\I see. So you're a Dragon Slayer, too...\Is that Reflector or whatever it's called? That kinda magic is annoying.\You're the one they call Iron Gajeel, right?\It seems like your brain's made out of iron, too!\Shut up!\Lance of the Iron Dragon... Demon Logs! response:	I get more powerful when I eat!
context: Lance of the Iron Dragon!\I see. So you're a Dragon Slayer, too...\Is that Reflector or whatever it's called? That kinda magic is annoying.\You're the one they call Iron Gajeel, right?\It seems like your brain's made out of iron, too!\Shut up!\Lance of the Iron Dragon... Demon Logs!\I get more powerful when I eat! response:	Roar of the Iron Dragon!
context: I see. So you're a Dragon Slayer, too...\Is that Reflector or whatever it's called? That kinda magic is annoying.\You're the one they call Iron Gajeel, right?\It seems like your brain's made out of iron, too!\Shut up!\Lance of the Iron Dragon... Demon Logs!\I get more powerful when I eat!\Roar of the Iron Dragon! response:	You've made me want to see your face... when you're in agony.
context: Is that Reflector or whatever it's called? That kinda magic is annoying.\You're the one they call Iron Gajeel, right?\It seems like your brain's made out of iron, too!\Shut up!\Lance of the Iron Dragon... Demon Logs!\I get more powerful when I eat!\Roar of the Iron Dragon!\You've made me want to see your face... when you're in agony. response:	No matter how twisted up my face gets, as long as I don't run away, who gives a shit?!
context: You're the one they call Iron Gajeel, right?\It seems like your brain's made out of iron, too!\Shut up!\Lance of the Iron Dragon... Demon Logs!\I get more powerful when I eat!\Roar of the Iron Dragon!\You've made me want to see your face... when you're in agony.\No matter how twisted up my face gets, as long as I don't run away, who gives a shit?! response:	Sword of the Iron Dragon!
context: It seems like your brain's made out of iron, too!\Shut up!\Lance of the Iron Dragon... Demon Logs!\I get more powerful when I eat!\Roar of the Iron Dragon!\You've made me want to see your face... when you're in agony.\No matter how twisted up my face gets, as long as I don't run away, who gives a shit?!\Sword of the Iron Dragon! response:	What did you in was the rarely-seen...
context: Shut up!\Lance of the Iron Dragon... Demon Logs!\I get more powerful when I eat!\Roar of the Iron Dragon!\You've made me want to see your face... when you're in agony.\No matter how twisted up my face gets, as long as I don't run away, who gives a shit?!\Sword of the Iron Dragon!\What did you in was the rarely-seen... response:	Come at me with more power!
context: Lance of the Iron Dragon... Demon Logs!\I get more powerful when I eat!\Roar of the Iron Dragon!\You've made me want to see your face... when you're in agony.\No matter how twisted up my face gets, as long as I don't run away, who gives a shit?!\Sword of the Iron Dragon!\What did you in was the rarely-seen...\Come at me with more power! response:	Is that all there is?
context: I get more powerful when I eat!\Roar of the Iron Dragon!\You've made me want to see your face... when you're in agony.\No matter how twisted up my face gets, as long as I don't run away, who gives a shit?!\Sword of the Iron Dragon!\What did you in was the rarely-seen...\Come at me with more power!\Is that all there is? response:	Give me everything you got!
context: Roar of the Iron Dragon!\You've made me want to see your face... when you're in agony.\No matter how twisted up my face gets, as long as I don't run away, who gives a shit?!\Sword of the Iron Dragon!\What did you in was the rarely-seen...\Come at me with more power!\Is that all there is?\Give me everything you got! response:	It's too wide...
context: You've made me want to see your face... when you're in agony.\No matter how twisted up my face gets, as long as I don't run away, who gives a shit?!\Sword of the Iron Dragon!\What did you in was the rarely-seen...\Come at me with more power!\Is that all there is?\Give me everything you got!\It's too wide... response:	The gap between our strength...
context: No matter how twisted up my face gets, as long as I don't run away, who gives a shit?!\Sword of the Iron Dragon!\What did you in was the rarely-seen...\Come at me with more power!\Is that all there is?\Give me everything you got!\It's too wide...\The gap between our strength... response:	You got beyond the frustration of being betrayed
context: Sword of the Iron Dragon!\What did you in was the rarely-seen...\Come at me with more power!\Is that all there is?\Give me everything you got!\It's too wide...\The gap between our strength...\You got beyond the frustration of being betrayed response:	and fought for what you believe in.
context: What did you in was the rarely-seen...\Come at me with more power!\Is that all there is?\Give me everything you got!\It's too wide...\The gap between our strength...\You got beyond the frustration of being betrayed\and fought for what you believe in. response:	But the thing is,
context: Come at me with more power!\Is that all there is?\Give me everything you got!\It's too wide...\The gap between our strength...\You got beyond the frustration of being betrayed\and fought for what you believe in.\But the thing is, response:	to our guild, there's nothin' more important than the lives of our friends.
context: Is that all there is?\Give me everything you got!\It's too wide...\The gap between our strength...\You got beyond the frustration of being betrayed\and fought for what you believe in.\But the thing is,\to our guild, there's nothin' more important than the lives of our friends. response:	Even if the fate of the world is in the balance...
context: Give me everything you got!\It's too wide...\The gap between our strength...\You got beyond the frustration of being betrayed\and fought for what you believe in.\But the thing is,\to our guild, there's nothin' more important than the lives of our friends.\Even if the fate of the world is in the balance... response:	I wanted to fight with you longer,
context: It's too wide...\The gap between our strength...\You got beyond the frustration of being betrayed\and fought for what you believe in.\But the thing is,\to our guild, there's nothin' more important than the lives of our friends.\Even if the fate of the world is in the balance...\I wanted to fight with you longer, response:	but I'm out of time.
context: The gap between our strength...\You got beyond the frustration of being betrayed\and fought for what you believe in.\But the thing is,\to our guild, there's nothin' more important than the lives of our friends.\Even if the fate of the world is in the balance...\I wanted to fight with you longer,\but I'm out of time. response:	Goddammit! I was just gettin' started!
context: You got beyond the frustration of being betrayed\and fought for what you believe in.\But the thing is,\to our guild, there's nothin' more important than the lives of our friends.\Even if the fate of the world is in the balance...\I wanted to fight with you longer,\but I'm out of time.\Goddammit! I was just gettin' started! response:	What the...?!
context: and fought for what you believe in.\But the thing is,\to our guild, there's nothin' more important than the lives of our friends.\Even if the fate of the world is in the balance...\I wanted to fight with you longer,\but I'm out of time.\Goddammit! I was just gettin' started!\What the...?! response:	Gajeel!
context: But the thing is,\to our guild, there's nothin' more important than the lives of our friends.\Even if the fate of the world is in the balance...\I wanted to fight with you longer,\but I'm out of time.\Goddammit! I was just gettin' started!\What the...?!\Gajeel! response:	Seriously?!
context: to our guild, there's nothin' more important than the lives of our friends.\Even if the fate of the world is in the balance...\I wanted to fight with you longer,\but I'm out of time.\Goddammit! I was just gettin' started!\What the...?!\Gajeel!\Seriously?! response:	The hub of the magic power that flows through the Infinity Castle...
context: Even if the fate of the world is in the balance...\I wanted to fight with you longer,\but I'm out of time.\Goddammit! I was just gettin' started!\What the...?!\Gajeel!\Seriously?!\The hub of the magic power that flows through the Infinity Castle... response:	We should be close to it, but...
context: I wanted to fight with you longer,\but I'm out of time.\Goddammit! I was just gettin' started!\What the...?!\Gajeel!\Seriously?!\The hub of the magic power that flows through the Infinity Castle...\We should be close to it, but... response:	I don't smell Lucy's scent. Why not?!
context: but I'm out of time.\Goddammit! I was just gettin' started!\What the...?!\Gajeel!\Seriously?!\The hub of the magic power that flows through the Infinity Castle...\We should be close to it, but...\I don't smell Lucy's scent. Why not?! response:	Maybe it's because she's linked up to the Infinity Clock!
context: Goddammit! I was just gettin' started!\What the...?!\Gajeel!\Seriously?!\The hub of the magic power that flows through the Infinity Castle...\We should be close to it, but...\I don't smell Lucy's scent. Why not?!\Maybe it's because she's linked up to the Infinity Clock! response:	I'm picking up Michelle's scent!
