context: =Someday,= =I'll become a wonderful person.= response:	=I want to bring happiness=
context: Next is the\Tomoeda Elementary School Choir.\I will sing from the bottom of my heart.\Because I am dedicating this song to you.\Please go listen to it.\=Sunshine dances between the clouds,=\=and pours into the plains'=\=The season has just begun.= response:	=run up to the voice of my friend.=
context: Tomoeda Elementary School Choir.\I will sing from the bottom of my heart.\Because I am dedicating this song to you.\Please go listen to it.\=Sunshine dances between the clouds,=\=and pours into the plains'=\=The season has just begun.=\=run up to the voice of my friend.= response:	=And there, as I turn to her,=
context: I will sing from the bottom of my heart.\Because I am dedicating this song to you.\Please go listen to it.\=Sunshine dances between the clouds,=\=and pours into the plains'=\=The season has just begun.=\=run up to the voice of my friend.=\=And there, as I turn to her,= response:	=is always her smiling face,=
context: Because I am dedicating this song to you.\Please go listen to it.\=Sunshine dances between the clouds,=\=and pours into the plains'=\=The season has just begun.=\=run up to the voice of my friend.=\=And there, as I turn to her,=\=is always her smiling face,= response:	=where the brightest sun always shines.=
context: Please go listen to it.\=Sunshine dances between the clouds,=\=and pours into the plains'=\=The season has just begun.=\=run up to the voice of my friend.=\=And there, as I turn to her,=\=is always her smiling face,=\=where the brightest sun always shines.= response:	=As I walk in the street=
context: =Sunshine dances between the clouds,=\=and pours into the plains'=\=The season has just begun.=\=run up to the voice of my friend.=\=And there, as I turn to her,=\=is always her smiling face,=\=where the brightest sun always shines.=\=As I walk in the street= response:	=in the freezing winter,=
context: =and pours into the plains'=\=The season has just begun.=\=run up to the voice of my friend.=\=And there, as I turn to her,=\=is always her smiling face,=\=where the brightest sun always shines.=\=As I walk in the street=\=in the freezing winter,= response:	=you encourage me naturally,=
context: =The season has just begun.=\=run up to the voice of my friend.=\=And there, as I turn to her,=\=is always her smiling face,=\=where the brightest sun always shines.=\=As I walk in the street=\=in the freezing winter,=\=you encourage me naturally,= response:	=and helped me so many times.=
context: =run up to the voice of my friend.=\=And there, as I turn to her,=\=is always her smiling face,=\=where the brightest sun always shines.=\=As I walk in the street=\=in the freezing winter,=\=you encourage me naturally,=\=and helped me so many times.= response:	=Like you' Just like you'=
context: =And there, as I turn to her,=\=is always her smiling face,=\=where the brightest sun always shines.=\=As I walk in the street=\=in the freezing winter,=\=you encourage me naturally,=\=and helped me so many times.=\=Like you' Just like you'= response:	=I want to be someone= =who can give courage to others.=
