context: It's summer! response:	In preparation for the big event,
context: Perfect.\I guess they're done over there.\Looks like it.\Noir!\Well, I'll be on my way, then...\Huh?\No, no, please wait.\At least tell us your name. response:	Oh, I'm not really...
context: I guess they're done over there.\Looks like it.\Noir!\Well, I'll be on my way, then...\Huh?\No, no, please wait.\At least tell us your name.\Oh, I'm not really... response:	Isuka-sama!
context: Looks like it.\Noir!\Well, I'll be on my way, then...\Huh?\No, no, please wait.\At least tell us your name.\Oh, I'm not really...\Isuka-sama! response:	I knew it, it's you!
context: Noir!\Well, I'll be on my way, then...\Huh?\No, no, please wait.\At least tell us your name.\Oh, I'm not really...\Isuka-sama!\I knew it, it's you! response:	Yuki-pup!
context: Well, I'll be on my way, then...\Huh?\No, no, please wait.\At least tell us your name.\Oh, I'm not really...\Isuka-sama!\I knew it, it's you!\Yuki-pup! response:	Yes, Isuka-sama. It's been a long time!
context: Huh?\No, no, please wait.\At least tell us your name.\Oh, I'm not really...\Isuka-sama!\I knew it, it's you!\Yuki-pup!\Yes, Isuka-sama. It's been a long time! response:	Yeah.
context: No, no, please wait.\At least tell us your name.\Oh, I'm not really...\Isuka-sama!\I knew it, it's you!\Yuki-pup!\Yes, Isuka-sama. It's been a long time!\Yeah. response:	I rushed over here when I sensed
context: At least tell us your name.\Oh, I'm not really...\Isuka-sama!\I knew it, it's you!\Yuki-pup!\Yes, Isuka-sama. It's been a long time!\Yeah.\I rushed over here when I sensed response:	that some monsters might be loose here,
context: Oh, I'm not really...\Isuka-sama!\I knew it, it's you!\Yuki-pup!\Yes, Isuka-sama. It's been a long time!\Yeah.\I rushed over here when I sensed\that some monsters might be loose here, response:	but I guess you guys are all okay?
context: Isuka-sama!\I knew it, it's you!\Yuki-pup!\Yes, Isuka-sama. It's been a long time!\Yeah.\I rushed over here when I sensed\that some monsters might be loose here,\but I guess you guys are all okay? response:	Yeah.
context: I knew it, it's you!\Yuki-pup!\Yes, Isuka-sama. It's been a long time!\Yeah.\I rushed over here when I sensed\that some monsters might be loose here,\but I guess you guys are all okay?\Yeah. response:	Yuki, who's that?
context: Yuki-pup!\Yes, Isuka-sama. It's been a long time!\Yeah.\I rushed over here when I sensed\that some monsters might be loose here,\but I guess you guys are all okay?\Yeah.\Yuki, who's that? response:	Jeez.
context: Yes, Isuka-sama. It's been a long time!\Yeah.\I rushed over here when I sensed\that some monsters might be loose here,\but I guess you guys are all okay?\Yeah.\Yuki, who's that?\Jeez. response:	I was wondering who caused this ruckus.
context: Yeah.\I rushed over here when I sensed\that some monsters might be loose here,\but I guess you guys are all okay?\Yeah.\Yuki, who's that?\Jeez.\I was wondering who caused this ruckus. response:	Should have known it was you, brother.
context: I rushed over here when I sensed\that some monsters might be loose here,\but I guess you guys are all okay?\Yeah.\Yuki, who's that?\Jeez.\I was wondering who caused this ruckus.\Should have known it was you, brother. response:	Bro...
context: that some monsters might be loose here,\but I guess you guys are all okay?\Yeah.\Yuki, who's that?\Jeez.\I was wondering who caused this ruckus.\Should have known it was you, brother.\Bro... response:	Hina! Oh, you came, too?
context: but I guess you guys are all okay?\Yeah.\Yuki, who's that?\Jeez.\I was wondering who caused this ruckus.\Should have known it was you, brother.\Bro...\Hina! Oh, you came, too? response:	I-I told you not to call me that!
context: Yeah.\Yuki, who's that?\Jeez.\I was wondering who caused this ruckus.\Should have known it was you, brother.\Bro...\Hina! Oh, you came, too?\I-I told you not to call me that! response:	Oh, let me introduce you. This is Isuka-sama.
context: Yuki, who's that?\Jeez.\I was wondering who caused this ruckus.\Should have known it was you, brother.\Bro...\Hina! Oh, you came, too?\I-I told you not to call me that!\Oh, let me introduce you. This is Isuka-sama. response:	Hello.
context: Jeez.\I was wondering who caused this ruckus.\Should have known it was you, brother.\Bro...\Hina! Oh, you came, too?\I-I told you not to call me that!\Oh, let me introduce you. This is Isuka-sama.\Hello. response:	He's actually milady's older brother.
context: I was wondering who caused this ruckus.\Should have known it was you, brother.\Bro...\Hina! Oh, you came, too?\I-I told you not to call me that!\Oh, let me introduce you. This is Isuka-sama.\Hello.\He's actually milady's older brother. response:	He's a foolish brother...
context: Should have known it was you, brother.\Bro...\Hina! Oh, you came, too?\I-I told you not to call me that!\Oh, let me introduce you. This is Isuka-sama.\Hello.\He's actually milady's older brother.\He's a foolish brother... response:	A counter-monster swordsman, just like Brioche,
context: Bro...\Hina! Oh, you came, too?\I-I told you not to call me that!\Oh, let me introduce you. This is Isuka-sama.\Hello.\He's actually milady's older brother.\He's a foolish brother...\A counter-monster swordsman, just like Brioche, response:	and a world famous swordsmith...
context: Hina! Oh, you came, too?\I-I told you not to call me that!\Oh, let me introduce you. This is Isuka-sama.\Hello.\He's actually milady's older brother.\He's a foolish brother...\A counter-monster swordsman, just like Brioche,\and a world famous swordsmith... response:	Isuka Makishima-san really is an amazing person!
context: I-I told you not to call me that!\Oh, let me introduce you. This is Isuka-sama.\Hello.\He's actually milady's older brother.\He's a foolish brother...\A counter-monster swordsman, just like Brioche,\and a world famous swordsmith...\Isuka Makishima-san really is an amazing person! response:	He's already crafted many wonderful swords
context: Oh, let me introduce you. This is Isuka-sama.\Hello.\He's actually milady's older brother.\He's a foolish brother...\A counter-monster swordsman, just like Brioche,\and a world famous swordsmith...\Isuka Makishima-san really is an amazing person!\He's already crafted many wonderful swords response:	and blades that are on par
context: Hello.\He's actually milady's older brother.\He's a foolish brother...\A counter-monster swordsman, just like Brioche,\and a world famous swordsmith...\Isuka Makishima-san really is an amazing person!\He's already crafted many wonderful swords\and blades that are on par response:	with the Treasure Swords.
context: He's actually milady's older brother.\He's a foolish brother...\A counter-monster swordsman, just like Brioche,\and a world famous swordsmith...\Isuka Makishima-san really is an amazing person!\He's already crafted many wonderful swords\and blades that are on par\with the Treasure Swords. response:	No no, I am just a simple wandering swordsmith.
context: He's a foolish brother...\A counter-monster swordsman, just like Brioche,\and a world famous swordsmith...\Isuka Makishima-san really is an amazing person!\He's already crafted many wonderful swords\and blades that are on par\with the Treasure Swords.\No no, I am just a simple wandering swordsmith. response:	It's fine that you're wandering,
context: A counter-monster swordsman, just like Brioche,\and a world famous swordsmith...\Isuka Makishima-san really is an amazing person!\He's already crafted many wonderful swords\and blades that are on par\with the Treasure Swords.\No no, I am just a simple wandering swordsmith.\It's fine that you're wandering, response:	but what were you thinking, never sending a note?
context: and a world famous swordsmith...\Isuka Makishima-san really is an amazing person!\He's already crafted many wonderful swords\and blades that are on par\with the Treasure Swords.\No no, I am just a simple wandering swordsmith.\It's fine that you're wandering,\but what were you thinking, never sending a note? response:	I thought you had died in some random ditch.
context: Isuka Makishima-san really is an amazing person!\He's already crafted many wonderful swords\and blades that are on par\with the Treasure Swords.\No no, I am just a simple wandering swordsmith.\It's fine that you're wandering,\but what were you thinking, never sending a note?\I thought you had died in some random ditch. response:	You're so silly, Hina.
context: He's already crafted many wonderful swords\and blades that are on par\with the Treasure Swords.\No no, I am just a simple wandering swordsmith.\It's fine that you're wandering,\but what were you thinking, never sending a note?\I thought you had died in some random ditch.\You're so silly, Hina. response:	Like I would die so easily.
context: and blades that are on par\with the Treasure Swords.\No no, I am just a simple wandering swordsmith.\It's fine that you're wandering,\but what were you thinking, never sending a note?\I thought you had died in some random ditch.\You're so silly, Hina.\Like I would die so easily. response:	Actually, I hope you're not
context: with the Treasure Swords.\No no, I am just a simple wandering swordsmith.\It's fine that you're wandering,\but what were you thinking, never sending a note?\I thought you had died in some random ditch.\You're so silly, Hina.\Like I would die so easily.\Actually, I hope you're not response:	ruining your body by drinking too much.
context: No no, I am just a simple wandering swordsmith.\It's fine that you're wandering,\but what were you thinking, never sending a note?\I thought you had died in some random ditch.\You're so silly, Hina.\Like I would die so easily.\Actually, I hope you're not\ruining your body by drinking too much. response:	You're one to talk.
context: It's fine that you're wandering,\but what were you thinking, never sending a note?\I thought you had died in some random ditch.\You're so silly, Hina.\Like I would die so easily.\Actually, I hope you're not\ruining your body by drinking too much.\You're one to talk. response:	You drink way more than I do.
context: but what were you thinking, never sending a note?\I thought you had died in some random ditch.\You're so silly, Hina.\Like I would die so easily.\Actually, I hope you're not\ruining your body by drinking too much.\You're one to talk.\You drink way more than I do. response:	We solved this case, so I don't think anyone could
context: I thought you had died in some random ditch.\You're so silly, Hina.\Like I would die so easily.\Actually, I hope you're not\ruining your body by drinking too much.\You're one to talk.\You drink way more than I do.\We solved this case, so I don't think anyone could response:	object to some booze at the rare reunion of these two.
context: You're so silly, Hina.\Like I would die so easily.\Actually, I hope you're not\ruining your body by drinking too much.\You're one to talk.\You drink way more than I do.\We solved this case, so I don't think anyone could\object to some booze at the rare reunion of these two. response:	Nanami-san, you guys must be hungry, right?
context: Like I would die so easily.\Actually, I hope you're not\ruining your body by drinking too much.\You're one to talk.\You drink way more than I do.\We solved this case, so I don't think anyone could\object to some booze at the rare reunion of these two.\Nanami-san, you guys must be hungry, right? response:	Let's have some food, then!
context: Actually, I hope you're not\ruining your body by drinking too much.\You're one to talk.\You drink way more than I do.\We solved this case, so I don't think anyone could\object to some booze at the rare reunion of these two.\Nanami-san, you guys must be hungry, right?\Let's have some food, then! response:	Yay!
context: ruining your body by drinking too much.\You're one to talk.\You drink way more than I do.\We solved this case, so I don't think anyone could\object to some booze at the rare reunion of these two.\Nanami-san, you guys must be hungry, right?\Let's have some food, then!\Yay! response:	Hey, Sink.
context: You're one to talk.\You drink way more than I do.\We solved this case, so I don't think anyone could\object to some booze at the rare reunion of these two.\Nanami-san, you guys must be hungry, right?\Let's have some food, then!\Yay!\Hey, Sink. response:	The monsters we catch...
context: You drink way more than I do.\We solved this case, so I don't think anyone could\object to some booze at the rare reunion of these two.\Nanami-san, you guys must be hungry, right?\Let's have some food, then!\Yay!\Hey, Sink.\The monsters we catch... response:	you release them in the mountains, right?
context: We solved this case, so I don't think anyone could\object to some booze at the rare reunion of these two.\Nanami-san, you guys must be hungry, right?\Let's have some food, then!\Yay!\Hey, Sink.\The monsters we catch...\you release them in the mountains, right? response:	Yes, in a location far from the settlements.
context: object to some booze at the rare reunion of these two.\Nanami-san, you guys must be hungry, right?\Let's have some food, then!\Yay!\Hey, Sink.\The monsters we catch...\you release them in the mountains, right?\Yes, in a location far from the settlements. response:	Well, those are really
context: Nanami-san, you guys must be hungry, right?\Let's have some food, then!\Yay!\Hey, Sink.\The monsters we catch...\you release them in the mountains, right?\Yes, in a location far from the settlements.\Well, those are really response:	more like wild animals, rather than monsters.
context: Let's have some food, then!\Yay!\Hey, Sink.\The monsters we catch...\you release them in the mountains, right?\Yes, in a location far from the settlements.\Well, those are really\more like wild animals, rather than monsters. response:	If coexisting is possible, that's the best solution.
context: Yay!\Hey, Sink.\The monsters we catch...\you release them in the mountains, right?\Yes, in a location far from the settlements.\Well, those are really\more like wild animals, rather than monsters.\If coexisting is possible, that's the best solution. response:	I see; that's good.
context: Hey, Sink.\The monsters we catch...\you release them in the mountains, right?\Yes, in a location far from the settlements.\Well, those are really\more like wild animals, rather than monsters.\If coexisting is possible, that's the best solution.\I see; that's good. response:	Apparently, they were able to reclaim
context: The monsters we catch...\you release them in the mountains, right?\Yes, in a location far from the settlements.\Well, those are really\more like wild animals, rather than monsters.\If coexisting is possible, that's the best solution.\I see; that's good.\Apparently, they were able to reclaim response:	all the stolen clothes from the monsters' nests.
context: you release them in the mountains, right?\Yes, in a location far from the settlements.\Well, those are really\more like wild animals, rather than monsters.\If coexisting is possible, that's the best solution.\I see; that's good.\Apparently, they were able to reclaim\all the stolen clothes from the monsters' nests. response:	Yes.
context: Yes, in a location far from the settlements.\Well, those are really\more like wild animals, rather than monsters.\If coexisting is possible, that's the best solution.\I see; that's good.\Apparently, they were able to reclaim\all the stolen clothes from the monsters' nests.\Yes. response:	All is well, then.
context: Well, those are really\more like wild animals, rather than monsters.\If coexisting is possible, that's the best solution.\I see; that's good.\Apparently, they were able to reclaim\all the stolen clothes from the monsters' nests.\Yes.\All is well, then. response:	I feel like I wasn't able to do
context: more like wild animals, rather than monsters.\If coexisting is possible, that's the best solution.\I see; that's good.\Apparently, they were able to reclaim\all the stolen clothes from the monsters' nests.\Yes.\All is well, then.\I feel like I wasn't able to do response:	anything heroic at all, this time...
context: If coexisting is possible, that's the best solution.\I see; that's good.\Apparently, they were able to reclaim\all the stolen clothes from the monsters' nests.\Yes.\All is well, then.\I feel like I wasn't able to do\anything heroic at all, this time... response:	Oh well, it was a nice Monster Riot.
context: I see; that's good.\Apparently, they were able to reclaim\all the stolen clothes from the monsters' nests.\Yes.\All is well, then.\I feel like I wasn't able to do\anything heroic at all, this time...\Oh well, it was a nice Monster Riot. response:	And thus...
context: Apparently, they were able to reclaim\all the stolen clothes from the monsters' nests.\Yes.\All is well, then.\I feel like I wasn't able to do\anything heroic at all, this time...\Oh well, it was a nice Monster Riot.\And thus... response:	Case closed.
context: all the stolen clothes from the monsters' nests.\Yes.\All is well, then.\I feel like I wasn't able to do\anything heroic at all, this time...\Oh well, it was a nice Monster Riot.\And thus...\Case closed. response:	Yes, yes, yes!
context: Yes.\All is well, then.\I feel like I wasn't able to do\anything heroic at all, this time...\Oh well, it was a nice Monster Riot.\And thus...\Case closed.\Yes, yes, yes! response:	Perfect!
context: All is well, then.\I feel like I wasn't able to do\anything heroic at all, this time...\Oh well, it was a nice Monster Riot.\And thus...\Case closed.\Yes, yes, yes!\Perfect! response:	The welcoming plan is perfect, now!
context: I feel like I wasn't able to do\anything heroic at all, this time...\Oh well, it was a nice Monster Riot.\And thus...\Case closed.\Yes, yes, yes!\Perfect!\The welcoming plan is perfect, now! response:	Yeah! Let's surprise the Princess and Leo-sama!
context: anything heroic at all, this time...\Oh well, it was a nice Monster Riot.\And thus...\Case closed.\Yes, yes, yes!\Perfect!\The welcoming plan is perfect, now!\Yeah! Let's surprise the Princess and Leo-sama! response:	Of course!
context: Oh well, it was a nice Monster Riot.\And thus...\Case closed.\Yes, yes, yes!\Perfect!\The welcoming plan is perfect, now!\Yeah! Let's surprise the Princess and Leo-sama!\Of course! response:	For the pride of Pastillage!
context: And thus...\Case closed.\Yes, yes, yes!\Perfect!\The welcoming plan is perfect, now!\Yeah! Let's surprise the Princess and Leo-sama!\Of course!\For the pride of Pastillage! response:	Together we are...
context: Case closed.\Yes, yes, yes!\Perfect!\The welcoming plan is perfect, now!\Yeah! Let's surprise the Princess and Leo-sama!\Of course!\For the pride of Pastillage!\Together we are... response:	The Princess Samurais!
context: Yes, yes, yes!\Perfect!\The welcoming plan is perfect, now!\Yeah! Let's surprise the Princess and Leo-sama!\Of course!\For the pride of Pastillage!\Together we are...\The Princess Samurais! response:	Don't you think I got too little screen time?
context: Perfect!\The welcoming plan is perfect, now!\Yeah! Let's surprise the Princess and Leo-sama!\Of course!\For the pride of Pastillage!\Together we are...\The Princess Samurais!\Don't you think I got too little screen time? response:	Don't worry about it!
context: The welcoming plan is perfect, now!\Yeah! Let's surprise the Princess and Leo-sama!\Of course!\For the pride of Pastillage!\Together we are...\The Princess Samurais!\Don't you think I got too little screen time?\Don't worry about it! response:	Pastillage's Hero King Legend
context: Yeah! Let's surprise the Princess and Leo-sama!\Of course!\For the pride of Pastillage!\Together we are...\The Princess Samurais!\Don't you think I got too little screen time?\Don't worry about it!\Pastillage's Hero King Legend response:	You've got fun company, Hina.
context: Of course!\For the pride of Pastillage!\Together we are...\The Princess Samurais!\Don't you think I got too little screen time?\Don't worry about it!\Pastillage's Hero King Legend\You've got fun company, Hina. response:	I told you to stop!
