context: Father was hopping mad, you know. response:	I didn't do anything!
context: but since this underground cafeteria is often relatively empty, you should use it.\That's news to me.\You know, Sasamiya, it's not like I'm showing you around, you know.\Well, but I'm directionally-challenged.\Then I'm amazed that you still insisted on giving the tour yourself!\That's not a compliment!\H-Hey, let's take a break.\I'll go get us some drinks. response:	Riessfeld, I want to ask you something.
context: That's news to me.\You know, Sasamiya, it's not like I'm showing you around, you know.\Well, but I'm directionally-challenged.\Then I'm amazed that you still insisted on giving the tour yourself!\That's not a compliment!\H-Hey, let's take a break.\I'll go get us some drinks.\Riessfeld, I want to ask you something. response:	What is it?
context: You know, Sasamiya, it's not like I'm showing you around, you know.\Well, but I'm directionally-challenged.\Then I'm amazed that you still insisted on giving the tour yourself!\That's not a compliment!\H-Hey, let's take a break.\I'll go get us some drinks.\Riessfeld, I want to ask you something.\What is it? response:	Why do you have to show Ayato around?
context: Well, but I'm directionally-challenged.\Then I'm amazed that you still insisted on giving the tour yourself!\That's not a compliment!\H-Hey, let's take a break.\I'll go get us some drinks.\Riessfeld, I want to ask you something.\What is it?\Why do you have to show Ayato around? response:	Because I owed him, that's why.
context: Then I'm amazed that you still insisted on giving the tour yourself!\That's not a compliment!\H-Hey, let's take a break.\I'll go get us some drinks.\Riessfeld, I want to ask you something.\What is it?\Why do you have to show Ayato around?\Because I owed him, that's why. response:	That's all there is to it.
context: That's not a compliment!\H-Hey, let's take a break.\I'll go get us some drinks.\Riessfeld, I want to ask you something.\What is it?\Why do you have to show Ayato around?\Because I owed him, that's why.\That's all there is to it. response:	Owed him how?
context: H-Hey, let's take a break.\I'll go get us some drinks.\Riessfeld, I want to ask you something.\What is it?\Why do you have to show Ayato around?\Because I owed him, that's why.\That's all there is to it.\Owed him how? response:	In the middle of a duel, see...
context: I'll go get us some drinks.\Riessfeld, I want to ask you something.\What is it?\Why do you have to show Ayato around?\Because I owed him, that's why.\That's all there is to it.\Owed him how?\In the middle of a duel, see... response:	Duel?
context: Riessfeld, I want to ask you something.\What is it?\Why do you have to show Ayato around?\Because I owed him, that's why.\That's all there is to it.\Owed him how?\In the middle of a duel, see...\Duel? response:	You mean you dueled Ayato, Riessfeld?
context: What is it?\Why do you have to show Ayato around?\Because I owed him, that's why.\That's all there is to it.\Owed him how?\In the middle of a duel, see...\Duel?\You mean you dueled Ayato, Riessfeld? response:	That's right. Didn't you know?
context: Why do you have to show Ayato around?\Because I owed him, that's why.\That's all there is to it.\Owed him how?\In the middle of a duel, see...\Duel?\You mean you dueled Ayato, Riessfeld?\That's right. Didn't you know? response:	How did it end?
context: Because I owed him, that's why.\That's all there is to it.\Owed him how?\In the middle of a duel, see...\Duel?\You mean you dueled Ayato, Riessfeld?\That's right. Didn't you know?\How did it end? response:	We were interrupted midway. So the duel was voided.
context: That's all there is to it.\Owed him how?\In the middle of a duel, see...\Duel?\You mean you dueled Ayato, Riessfeld?\That's right. Didn't you know?\How did it end?\We were interrupted midway. So the duel was voided. response:	That doesn't make sense.
context: Owed him how?\In the middle of a duel, see...\Duel?\You mean you dueled Ayato, Riessfeld?\That's right. Didn't you know?\How did it end?\We were interrupted midway. So the duel was voided.\That doesn't make sense. response:	What about it doesn't?
context: In the middle of a duel, see...\Duel?\You mean you dueled Ayato, Riessfeld?\That's right. Didn't you know?\How did it end?\We were interrupted midway. So the duel was voided.\That doesn't make sense.\What about it doesn't? response:	After dueling Ayato, there's no way that you'd live to tell the tale.
context: Duel?\You mean you dueled Ayato, Riessfeld?\That's right. Didn't you know?\How did it end?\We were interrupted midway. So the duel was voided.\That doesn't make sense.\What about it doesn't?\After dueling Ayato, there's no way that you'd live to tell the tale. response:	You're powerful, Riessfeld.
context: You mean you dueled Ayato, Riessfeld?\That's right. Didn't you know?\How did it end?\We were interrupted midway. So the duel was voided.\That doesn't make sense.\What about it doesn't?\After dueling Ayato, there's no way that you'd live to tell the tale.\You're powerful, Riessfeld. response:	I do know that.
context: That's right. Didn't you know?\How did it end?\We were interrupted midway. So the duel was voided.\That doesn't make sense.\What about it doesn't?\After dueling Ayato, there's no way that you'd live to tell the tale.\You're powerful, Riessfeld.\I do know that. response:	But at best, you're about my level.
context: How did it end?\We were interrupted midway. So the duel was voided.\That doesn't make sense.\What about it doesn't?\After dueling Ayato, there's no way that you'd live to tell the tale.\You're powerful, Riessfeld.\I do know that.\But at best, you're about my level. response:	And that's not good enough to take on Ayato.
context: We were interrupted midway. So the duel was voided.\That doesn't make sense.\What about it doesn't?\After dueling Ayato, there's no way that you'd live to tell the tale.\You're powerful, Riessfeld.\I do know that.\But at best, you're about my level.\And that's not good enough to take on Ayato. response:	You're full of swagger, aren't you?
context: That doesn't make sense.\What about it doesn't?\After dueling Ayato, there's no way that you'd live to tell the tale.\You're powerful, Riessfeld.\I do know that.\But at best, you're about my level.\And that's not good enough to take on Ayato.\You're full of swagger, aren't you? response:	Fine. Want to test that theory?
context: What about it doesn't?\After dueling Ayato, there's no way that you'd live to tell the tale.\You're powerful, Riessfeld.\I do know that.\But at best, you're about my level.\And that's not good enough to take on Ayato.\You're full of swagger, aren't you?\Fine. Want to test that theory? response:	Those arrows...
context: After dueling Ayato, there's no way that you'd live to tell the tale.\You're powerful, Riessfeld.\I do know that.\But at best, you're about my level.\And that's not good enough to take on Ayato.\You're full of swagger, aren't you?\Fine. Want to test that theory?\Those arrows... response:	The same as that other one!
context: You're powerful, Riessfeld.\I do know that.\But at best, you're about my level.\And that's not good enough to take on Ayato.\You're full of swagger, aren't you?\Fine. Want to test that theory?\Those arrows...\The same as that other one! response:	So I've been caught off-guard yet again!
context: I do know that.\But at best, you're about my level.\And that's not good enough to take on Ayato.\You're full of swagger, aren't you?\Fine. Want to test that theory?\Those arrows...\The same as that other one!\So I've been caught off-guard yet again! response:	Burst into bloom, Longiflorum!
context: But at best, you're about my level.\And that's not good enough to take on Ayato.\You're full of swagger, aren't you?\Fine. Want to test that theory?\Those arrows...\The same as that other one!\So I've been caught off-guard yet again!\Burst into bloom, Longiflorum! response:	Boom.
context: And that's not good enough to take on Ayato.\You're full of swagger, aren't you?\Fine. Want to test that theory?\Those arrows...\The same as that other one!\So I've been caught off-guard yet again!\Burst into bloom, Longiflorum!\Boom. response:	What in the world is that?
context: You're full of swagger, aren't you?\Fine. Want to test that theory?\Those arrows...\The same as that other one!\So I've been caught off-guard yet again!\Burst into bloom, Longiflorum!\Boom.\What in the world is that? response:	A 38-type Lux grenade launcher, the Helnekrom.
context: Fine. Want to test that theory?\Those arrows...\The same as that other one!\So I've been caught off-guard yet again!\Burst into bloom, Longiflorum!\Boom.\What in the world is that?\A 38-type Lux grenade launcher, the Helnekrom. response:	A grenade launcher?!
context: Those arrows...\The same as that other one!\So I've been caught off-guard yet again!\Burst into bloom, Longiflorum!\Boom.\What in the world is that?\A 38-type Lux grenade launcher, the Helnekrom.\A grenade launcher?! response:	Yeah.
context: The same as that other one!\So I've been caught off-guard yet again!\Burst into bloom, Longiflorum!\Boom.\What in the world is that?\A 38-type Lux grenade launcher, the Helnekrom.\A grenade launcher?!\Yeah. response:	Burst.
context: So I've been caught off-guard yet again!\Burst into bloom, Longiflorum!\Boom.\What in the world is that?\A 38-type Lux grenade launcher, the Helnekrom.\A grenade launcher?!\Yeah.\Burst. response:	Kaboom.
context: Burst into bloom, Longiflorum!\Boom.\What in the world is that?\A 38-type Lux grenade launcher, the Helnekrom.\A grenade launcher?!\Yeah.\Burst.\Kaboom. response:	You're a lot more extreme than you look.
context: Boom.\What in the world is that?\A 38-type Lux grenade launcher, the Helnekrom.\A grenade launcher?!\Yeah.\Burst.\Kaboom.\You're a lot more extreme than you look. response:	Not as much as you, Riessfeld.
context: What in the world is that?\A 38-type Lux grenade launcher, the Helnekrom.\A grenade launcher?!\Yeah.\Burst.\Kaboom.\You're a lot more extreme than you look.\Not as much as you, Riessfeld. response:	Shall we continue?
context: A 38-type Lux grenade launcher, the Helnekrom.\A grenade launcher?!\Yeah.\Burst.\Kaboom.\You're a lot more extreme than you look.\Not as much as you, Riessfeld.\Shall we continue? response:	No, let's call it off.
context: A grenade launcher?!\Yeah.\Burst.\Kaboom.\You're a lot more extreme than you look.\Not as much as you, Riessfeld.\Shall we continue?\No, let's call it off. response:	Fine, then.
context: Yeah.\Burst.\Kaboom.\You're a lot more extreme than you look.\Not as much as you, Riessfeld.\Shall we continue?\No, let's call it off.\Fine, then. response:	Hey, what's all this?
context: Burst.\Kaboom.\You're a lot more extreme than you look.\Not as much as you, Riessfeld.\Shall we continue?\No, let's call it off.\Fine, then.\Hey, what's all this? response:	What happened here?
context: Kaboom.\You're a lot more extreme than you look.\Not as much as you, Riessfeld.\Shall we continue?\No, let's call it off.\Fine, then.\Hey, what's all this?\What happened here? response:	Why are you in such a rush?
context: You're a lot more extreme than you look.\Not as much as you, Riessfeld.\Shall we continue?\No, let's call it off.\Fine, then.\Hey, what's all this?\What happened here?\Why are you in such a rush? response:	Hey... don't look!
context: Not as much as you, Riessfeld.\Shall we continue?\No, let's call it off.\Fine, then.\Hey, what's all this?\What happened here?\Why are you in such a rush?\Hey... don't look! response:	If you look at me, you're so dead!
context: Shall we continue?\No, let's call it off.\Fine, then.\Hey, what's all this?\What happened here?\Why are you in such a rush?\Hey... don't look!\If you look at me, you're so dead! response:	I'm not looking! I'm not looking!
context: No, let's call it off.\Fine, then.\Hey, what's all this?\What happened here?\Why are you in such a rush?\Hey... don't look!\If you look at me, you're so dead!\I'm not looking! I'm not looking! response:	Hmm, totally see-through. Now this is lurid.
context: Fine, then.\Hey, what's all this?\What happened here?\Why are you in such a rush?\Hey... don't look!\If you look at me, you're so dead!\I'm not looking! I'm not looking!\Hmm, totally see-through. Now this is lurid. response:	Come on! At least try to cover yourself a bit, too, Sasamiya!
context: Hey, what's all this?\What happened here?\Why are you in such a rush?\Hey... don't look!\If you look at me, you're so dead!\I'm not looking! I'm not looking!\Hmm, totally see-through. Now this is lurid.\Come on! At least try to cover yourself a bit, too, Sasamiya! response:	Wait! You... where are your undergarments?
context: What happened here?\Why are you in such a rush?\Hey... don't look!\If you look at me, you're so dead!\I'm not looking! I'm not looking!\Hmm, totally see-through. Now this is lurid.\Come on! At least try to cover yourself a bit, too, Sasamiya!\Wait! You... where are your undergarments? response:	So tragic...
context: Why are you in such a rush?\Hey... don't look!\If you look at me, you're so dead!\I'm not looking! I'm not looking!\Hmm, totally see-through. Now this is lurid.\Come on! At least try to cover yourself a bit, too, Sasamiya!\Wait! You... where are your undergarments?\So tragic... response:	I don't need them yet.
context: Hey... don't look!\If you look at me, you're so dead!\I'm not looking! I'm not looking!\Hmm, totally see-through. Now this is lurid.\Come on! At least try to cover yourself a bit, too, Sasamiya!\Wait! You... where are your undergarments?\So tragic...\I don't need them yet. response:	I hear you had quite a time yesterday.
context: If you look at me, you're so dead!\I'm not looking! I'm not looking!\Hmm, totally see-through. Now this is lurid.\Come on! At least try to cover yourself a bit, too, Sasamiya!\Wait! You... where are your undergarments?\So tragic...\I don't need them yet.\I hear you had quite a time yesterday. response:	SEIDOUKAN ACADEMY TOP 5 ATTACKED
context: I'm not looking! I'm not looking!\Hmm, totally see-through. Now this is lurid.\Come on! At least try to cover yourself a bit, too, Sasamiya!\Wait! You... where are your undergarments?\So tragic...\I don't need them yet.\I hear you had quite a time yesterday.\SEIDOUKAN ACADEMY TOP 5 ATTACKED response:	Yeah, I guess so.
context: Hmm, totally see-through. Now this is lurid.\Come on! At least try to cover yourself a bit, too, Sasamiya!\Wait! You... where are your undergarments?\So tragic...\I don't need them yet.\I hear you had quite a time yesterday.\SEIDOUKAN ACADEMY TOP 5 ATTACKED\Yeah, I guess so. response:	Do you think the suspects will be caught?
context: Come on! At least try to cover yourself a bit, too, Sasamiya!\Wait! You... where are your undergarments?\So tragic...\I don't need them yet.\I hear you had quite a time yesterday.\SEIDOUKAN ACADEMY TOP 5 ATTACKED\Yeah, I guess so.\Do you think the suspects will be caught? response:	To be honest, that might prove difficult.
context: Wait! You... where are your undergarments?\So tragic...\I don't need them yet.\I hear you had quite a time yesterday.\SEIDOUKAN ACADEMY TOP 5 ATTACKED\Yeah, I guess so.\Do you think the suspects will be caught?\To be honest, that might prove difficult. response:	The Disciplinary Committee has been investigating,
context: So tragic...\I don't need them yet.\I hear you had quite a time yesterday.\SEIDOUKAN ACADEMY TOP 5 ATTACKED\Yeah, I guess so.\Do you think the suspects will be caught?\To be honest, that might prove difficult.\The Disciplinary Committee has been investigating, response:	but the suspect is nowhere to be found, and not a clue in sight, I hear.
context: I don't need them yet.\I hear you had quite a time yesterday.\SEIDOUKAN ACADEMY TOP 5 ATTACKED\Yeah, I guess so.\Do you think the suspects will be caught?\To be honest, that might prove difficult.\The Disciplinary Committee has been investigating,\but the suspect is nowhere to be found, and not a clue in sight, I hear. response:	No matter how you look at it, wasn't yesterday's incident a clear-cut crime?
context: I hear you had quite a time yesterday.\SEIDOUKAN ACADEMY TOP 5 ATTACKED\Yeah, I guess so.\Do you think the suspects will be caught?\To be honest, that might prove difficult.\The Disciplinary Committee has been investigating,\but the suspect is nowhere to be found, and not a clue in sight, I hear.\No matter how you look at it, wasn't yesterday's incident a clear-cut crime? response:	- If that's the case... - Yes...
context: SEIDOUKAN ACADEMY TOP 5 ATTACKED\Yeah, I guess so.\Do you think the suspects will be caught?\To be honest, that might prove difficult.\The Disciplinary Committee has been investigating,\but the suspect is nowhere to be found, and not a clue in sight, I hear.\No matter how you look at it, wasn't yesterday's incident a clear-cut crime?\- If that's the case... - Yes... response:	Asterisk does have its own police force,
context: Yeah, I guess so.\Do you think the suspects will be caught?\To be honest, that might prove difficult.\The Disciplinary Committee has been investigating,\but the suspect is nowhere to be found, and not a clue in sight, I hear.\No matter how you look at it, wasn't yesterday's incident a clear-cut crime?\- If that's the case... - Yes...\Asterisk does have its own police force, response:	STAR HUNTER POLICE UNIT
context: Do you think the suspects will be caught?\To be honest, that might prove difficult.\The Disciplinary Committee has been investigating,\but the suspect is nowhere to be found, and not a clue in sight, I hear.\No matter how you look at it, wasn't yesterday's incident a clear-cut crime?\- If that's the case... - Yes...\Asterisk does have its own police force,\STAR HUNTER POLICE UNIT response:	but its jurisdiction doesn't extend to the school grounds.
context: To be honest, that might prove difficult.\The Disciplinary Committee has been investigating,\but the suspect is nowhere to be found, and not a clue in sight, I hear.\No matter how you look at it, wasn't yesterday's incident a clear-cut crime?\- If that's the case... - Yes...\Asterisk does have its own police force,\STAR HUNTER POLICE UNIT\but its jurisdiction doesn't extend to the school grounds. response:	If only Julis were a bit more cooperative,
context: The Disciplinary Committee has been investigating,\but the suspect is nowhere to be found, and not a clue in sight, I hear.\No matter how you look at it, wasn't yesterday's incident a clear-cut crime?\- If that's the case... - Yes...\Asterisk does have its own police force,\STAR HUNTER POLICE UNIT\but its jurisdiction doesn't extend to the school grounds.\If only Julis were a bit more cooperative, response:	there'd be measures that we could take.
context: but the suspect is nowhere to be found, and not a clue in sight, I hear.\No matter how you look at it, wasn't yesterday's incident a clear-cut crime?\- If that's the case... - Yes...\Asterisk does have its own police force,\STAR HUNTER POLICE UNIT\but its jurisdiction doesn't extend to the school grounds.\If only Julis were a bit more cooperative,\there'd be measures that we could take. response:	Yeah, she's like, No need for an investigation or bodyguards.
context: No matter how you look at it, wasn't yesterday's incident a clear-cut crime?\- If that's the case... - Yes...\Asterisk does have its own police force,\STAR HUNTER POLICE UNIT\but its jurisdiction doesn't extend to the school grounds.\If only Julis were a bit more cooperative,\there'd be measures that we could take.\Yeah, she's like, No need for an investigation or bodyguards. response:	Why is she being so stubborn?
context: - If that's the case... - Yes...\Asterisk does have its own police force,\STAR HUNTER POLICE UNIT\but its jurisdiction doesn't extend to the school grounds.\If only Julis were a bit more cooperative,\there'd be measures that we could take.\Yeah, she's like, No need for an investigation or bodyguards.\Why is she being so stubborn? response:	Most likely, it's all that girl can do to protect what's in her own hands.
context: Asterisk does have its own police force,\STAR HUNTER POLICE UNIT\but its jurisdiction doesn't extend to the school grounds.\If only Julis were a bit more cooperative,\there'd be measures that we could take.\Yeah, she's like, No need for an investigation or bodyguards.\Why is she being so stubborn?\Most likely, it's all that girl can do to protect what's in her own hands. response:	Should she try to acquire something new,
context: STAR HUNTER POLICE UNIT\but its jurisdiction doesn't extend to the school grounds.\If only Julis were a bit more cooperative,\there'd be measures that we could take.\Yeah, she's like, No need for an investigation or bodyguards.\Why is she being so stubborn?\Most likely, it's all that girl can do to protect what's in her own hands.\Should she try to acquire something new, response:	what she already has could slip through her fingers.
context: but its jurisdiction doesn't extend to the school grounds.\If only Julis were a bit more cooperative,\there'd be measures that we could take.\Yeah, she's like, No need for an investigation or bodyguards.\Why is she being so stubborn?\Most likely, it's all that girl can do to protect what's in her own hands.\Should she try to acquire something new,\what she already has could slip through her fingers. response:	What's in her own hands...
context: If only Julis were a bit more cooperative,\there'd be measures that we could take.\Yeah, she's like, No need for an investigation or bodyguards.\Why is she being so stubborn?\Most likely, it's all that girl can do to protect what's in her own hands.\Should she try to acquire something new,\what she already has could slip through her fingers.\What's in her own hands... response:	Here we are!
context: there'd be measures that we could take.\Yeah, she's like, No need for an investigation or bodyguards.\Why is she being so stubborn?\Most likely, it's all that girl can do to protect what's in her own hands.\Should she try to acquire something new,\what she already has could slip through her fingers.\What's in her own hands...\Here we are! response:	What's this?
context: Yeah, she's like, No need for an investigation or bodyguards.\Why is she being so stubborn?\Most likely, it's all that girl can do to protect what's in her own hands.\Should she try to acquire something new,\what she already has could slip through her fingers.\What's in her own hands...\Here we are!\What's this? response:	So you're already here?
context: Why is she being so stubborn?\Most likely, it's all that girl can do to protect what's in her own hands.\Should she try to acquire something new,\what she already has could slip through her fingers.\What's in her own hands...\Here we are!\What's this?\So you're already here? response:	This is our other Ogre Lux applicant.
context: Most likely, it's all that girl can do to protect what's in her own hands.\Should she try to acquire something new,\what she already has could slip through her fingers.\What's in her own hands...\Here we are!\What's this?\So you're already here?\This is our other Ogre Lux applicant. response:	What the... What are you doing here?!
context: Should she try to acquire something new,\what she already has could slip through her fingers.\What's in her own hands...\Here we are!\What's this?\So you're already here?\This is our other Ogre Lux applicant.\What the... What are you doing here?! response:	Have you two already met, by any chance?
context: what she already has could slip through her fingers.\What's in her own hands...\Here we are!\What's this?\So you're already here?\This is our other Ogre Lux applicant.\What the... What are you doing here?!\Have you two already met, by any chance? response:	So what's the process for renting out a Lux?
context: What's in her own hands...\Here we are!\What's this?\So you're already here?\This is our other Ogre Lux applicant.\What the... What are you doing here?!\Have you two already met, by any chance?\So what's the process for renting out a Lux? response:	It's quite simple.
context: Here we are!\What's this?\So you're already here?\This is our other Ogre Lux applicant.\What the... What are you doing here?!\Have you two already met, by any chance?\So what's the process for renting out a Lux?\It's quite simple. response:	We measure your compatibility with the Lux you're requesting,
context: What's this?\So you're already here?\This is our other Ogre Lux applicant.\What the... What are you doing here?!\Have you two already met, by any chance?\So what's the process for renting out a Lux?\It's quite simple.\We measure your compatibility with the Lux you're requesting, response:	and if it's over 80, you can check it out.
context: So you're already here?\This is our other Ogre Lux applicant.\What the... What are you doing here?!\Have you two already met, by any chance?\So what's the process for renting out a Lux?\It's quite simple.\We measure your compatibility with the Lux you're requesting,\and if it's over 80, you can check it out. response:	What's this? Mr. MacPhail's chosen the Ser Veresta?
context: This is our other Ogre Lux applicant.\What the... What are you doing here?!\Have you two already met, by any chance?\So what's the process for renting out a Lux?\It's quite simple.\We measure your compatibility with the Lux you're requesting,\and if it's over 80, you can check it out.\What's this? Mr. MacPhail's chosen the Ser Veresta? response:	My goodness...
context: What the... What are you doing here?!\Have you two already met, by any chance?\So what's the process for renting out a Lux?\It's quite simple.\We measure your compatibility with the Lux you're requesting,\and if it's over 80, you can check it out.\What's this? Mr. MacPhail's chosen the Ser Veresta?\My goodness... response:	All right, let's go!
context: Have you two already met, by any chance?\So what's the process for renting out a Lux?\It's quite simple.\We measure your compatibility with the Lux you're requesting,\and if it's over 80, you can check it out.\What's this? Mr. MacPhail's chosen the Ser Veresta?\My goodness...\All right, let's go! response:	So that's the Ser Veresta...
context: So what's the process for renting out a Lux?\It's quite simple.\We measure your compatibility with the Lux you're requesting,\and if it's over 80, you can check it out.\What's this? Mr. MacPhail's chosen the Ser Veresta?\My goodness...\All right, let's go!\So that's the Ser Veresta... response:	The Ogre Lux that my sister might have used.
context: It's quite simple.\We measure your compatibility with the Lux you're requesting,\and if it's over 80, you can check it out.\What's this? Mr. MacPhail's chosen the Ser Veresta?\My goodness...\All right, let's go!\So that's the Ser Veresta...\The Ogre Lux that my sister might have used. response:	What was that?
context: We measure your compatibility with the Lux you're requesting,\and if it's over 80, you can check it out.\What's this? Mr. MacPhail's chosen the Ser Veresta?\My goodness...\All right, let's go!\So that's the Ser Veresta...\The Ogre Lux that my sister might have used.\What was that? response:	We're ready to start testing.
context: and if it's over 80, you can check it out.\What's this? Mr. MacPhail's chosen the Ser Veresta?\My goodness...\All right, let's go!\So that's the Ser Veresta...\The Ogre Lux that my sister might have used.\What was that?\We're ready to start testing. response:	Please begin.
context: What's this? Mr. MacPhail's chosen the Ser Veresta?\My goodness...\All right, let's go!\So that's the Ser Veresta...\The Ogre Lux that my sister might have used.\What was that?\We're ready to start testing.\Please begin. response:	Current compatibility rate... 32.
context: My goodness...\All right, let's go!\So that's the Ser Veresta...\The Ogre Lux that my sister might have used.\What was that?\We're ready to start testing.\Please begin.\Current compatibility rate... 32. response:	Don't mess with me!
context: All right, let's go!\So that's the Ser Veresta...\The Ogre Lux that my sister might have used.\What was that?\We're ready to start testing.\Please begin.\Current compatibility rate... 32.\Don't mess with me! response:	He's been rejected.
context: So that's the Ser Veresta...\The Ogre Lux that my sister might have used.\What was that?\We're ready to start testing.\Please begin.\Current compatibility rate... 32.\Don't mess with me!\He's been rejected. response:	I've heard about the Ogre Luxes having something like a will of their own, but...
context: The Ogre Lux that my sister might have used.\What was that?\We're ready to start testing.\Please begin.\Current compatibility rate... 32.\Don't mess with me!\He's been rejected.\I've heard about the Ogre Luxes having something like a will of their own, but... response:	is that what I'm seeing?
context: What was that?\We're ready to start testing.\Please begin.\Current compatibility rate... 32.\Don't mess with me!\He's been rejected.\I've heard about the Ogre Luxes having something like a will of their own, but...\is that what I'm seeing? response:	I'm not done yet!
context: We're ready to start testing.\Please begin.\Current compatibility rate... 32.\Don't mess with me!\He's been rejected.\I've heard about the Ogre Luxes having something like a will of their own, but...\is that what I'm seeing?\I'm not done yet! response:	Not that his power-at-all-costs mindset is all that repulsive...
context: Please begin.\Current compatibility rate... 32.\Don't mess with me!\He's been rejected.\I've heard about the Ogre Luxes having something like a will of their own, but...\is that what I'm seeing?\I'm not done yet!\Not that his power-at-all-costs mindset is all that repulsive... response:	But apparently, the Ser Veresta can't be persuaded by force alone.
context: Current compatibility rate... 32.\Don't mess with me!\He's been rejected.\I've heard about the Ogre Luxes having something like a will of their own, but...\is that what I'm seeing?\I'm not done yet!\Not that his power-at-all-costs mindset is all that repulsive...\But apparently, the Ser Veresta can't be persuaded by force alone. response:	You can tell?
context: Don't mess with me!\He's been rejected.\I've heard about the Ogre Luxes having something like a will of their own, but...\is that what I'm seeing?\I'm not done yet!\Not that his power-at-all-costs mindset is all that repulsive...\But apparently, the Ser Veresta can't be persuaded by force alone.\You can tell? response:	Because I, too, am an Ogre Lux wielder.
context: He's been rejected.\I've heard about the Ogre Luxes having something like a will of their own, but...\is that what I'm seeing?\I'm not done yet!\Not that his power-at-all-costs mindset is all that repulsive...\But apparently, the Ser Veresta can't be persuaded by force alone.\You can tell?\Because I, too, am an Ogre Lux wielder. response:	Damn you! Why won't you obey me?!
context: I've heard about the Ogre Luxes having something like a will of their own, but...\is that what I'm seeing?\I'm not done yet!\Not that his power-at-all-costs mindset is all that repulsive...\But apparently, the Ser Veresta can't be persuaded by force alone.\You can tell?\Because I, too, am an Ogre Lux wielder.\Damn you! Why won't you obey me?! response:	Now, this doesn't look good.
context: is that what I'm seeing?\I'm not done yet!\Not that his power-at-all-costs mindset is all that repulsive...\But apparently, the Ser Veresta can't be persuaded by force alone.\You can tell?\Because I, too, am an Ogre Lux wielder.\Damn you! Why won't you obey me?!\Now, this doesn't look good. response:	You'll do as I say, dammit!
context: I'm not done yet!\Not that his power-at-all-costs mindset is all that repulsive...\But apparently, the Ser Veresta can't be persuaded by force alone.\You can tell?\Because I, too, am an Ogre Lux wielder.\Damn you! Why won't you obey me?!\Now, this doesn't look good.\You'll do as I say, dammit! response:	The compatibility rate's slipped into negative territory!
context: Not that his power-at-all-costs mindset is all that repulsive...\But apparently, the Ser Veresta can't be persuaded by force alone.\You can tell?\Because I, too, am an Ogre Lux wielder.\Damn you! Why won't you obey me?!\Now, this doesn't look good.\You'll do as I say, dammit!\The compatibility rate's slipped into negative territory! response:	Proceeding any further would be dangerous!
context: But apparently, the Ser Veresta can't be persuaded by force alone.\You can tell?\Because I, too, am an Ogre Lux wielder.\Damn you! Why won't you obey me?!\Now, this doesn't look good.\You'll do as I say, dammit!\The compatibility rate's slipped into negative territory!\Proceeding any further would be dangerous! response:	Please withdraw immediately!
context: You can tell?\Because I, too, am an Ogre Lux wielder.\Damn you! Why won't you obey me?!\Now, this doesn't look good.\You'll do as I say, dammit!\The compatibility rate's slipped into negative territory!\Proceeding any further would be dangerous!\Please withdraw immediately! response:	Ayato!
context: Because I, too, am an Ogre Lux wielder.\Damn you! Why won't you obey me?!\Now, this doesn't look good.\You'll do as I say, dammit!\The compatibility rate's slipped into negative territory!\Proceeding any further would be dangerous!\Please withdraw immediately!\Ayato! response:	I guess I have no choice.
context: Damn you! Why won't you obey me?!\Now, this doesn't look good.\You'll do as I say, dammit!\The compatibility rate's slipped into negative territory!\Proceeding any further would be dangerous!\Please withdraw immediately!\Ayato!\I guess I have no choice. response:	Ayato!
context: Now, this doesn't look good.\You'll do as I say, dammit!\The compatibility rate's slipped into negative territory!\Proceeding any further would be dangerous!\Please withdraw immediately!\Ayato!\I guess I have no choice.\Ayato! response:	Sorry, but I don't like being pestered.
context: You'll do as I say, dammit!\The compatibility rate's slipped into negative territory!\Proceeding any further would be dangerous!\Please withdraw immediately!\Ayato!\I guess I have no choice.\Ayato!\Sorry, but I don't like being pestered. response:	Just like you!
context: The compatibility rate's slipped into negative territory!\Proceeding any further would be dangerous!\Please withdraw immediately!\Ayato!\I guess I have no choice.\Ayato!\Sorry, but I don't like being pestered.\Just like you! response:	Just what I'd expect of you, Ayato. That was masterful.
context: Proceeding any further would be dangerous!\Please withdraw immediately!\Ayato!\I guess I have no choice.\Ayato!\Sorry, but I don't like being pestered.\Just like you!\Just what I'd expect of you, Ayato. That was masterful. response:	C-Compatibility... 97!
context: Please withdraw immediately!\Ayato!\I guess I have no choice.\Ayato!\Sorry, but I don't like being pestered.\Just like you!\Just what I'd expect of you, Ayato. That was masterful.\C-Compatibility... 97! response:	Condition... all green!
context: Ayato!\I guess I have no choice.\Ayato!\Sorry, but I don't like being pestered.\Just like you!\Just what I'd expect of you, Ayato. That was masterful.\C-Compatibility... 97!\Condition... all green! response:	So do you think they'll be okay with passing this on to me?
context: I guess I have no choice.\Ayato!\Sorry, but I don't like being pestered.\Just like you!\Just what I'd expect of you, Ayato. That was masterful.\C-Compatibility... 97!\Condition... all green!\So do you think they'll be okay with passing this on to me? response:	What am I doing here again?
context: Ayato!\Sorry, but I don't like being pestered.\Just like you!\Just what I'd expect of you, Ayato. That was masterful.\C-Compatibility... 97!\Condition... all green!\So do you think they'll be okay with passing this on to me?\What am I doing here again? response:	Ayato?
context: Sorry, but I don't like being pestered.\Just like you!\Just what I'd expect of you, Ayato. That was masterful.\C-Compatibility... 97!\Condition... all green!\So do you think they'll be okay with passing this on to me?\What am I doing here again?\Ayato? response:	Because I trust you, I'd like to ask a favor of you.
