context: Got tickets for the premier showing? response:	Nope. Radio Taikan was completely out.
context: Get rid of this, and you're perfect.\I know that already!\But I won't stop.\I definitely won't.\I love them. I really love them.\I can't stop it.\No matter how much you love them, it's just a worthless hobby to Dad.\He might force you to stop. response:	Even then...
context: I know that already!\But I won't stop.\I definitely won't.\I love them. I really love them.\I can't stop it.\No matter how much you love them, it's just a worthless hobby to Dad.\He might force you to stop.\Even then... response:	I won't stop. I won't stop loving them.
context: But I won't stop.\I definitely won't.\I love them. I really love them.\I can't stop it.\No matter how much you love them, it's just a worthless hobby to Dad.\He might force you to stop.\Even then...\I won't stop. I won't stop loving them. response:	Working hard at school and as a model, and getting completely absorbed into anime and games...
context: I definitely won't.\I love them. I really love them.\I can't stop it.\No matter how much you love them, it's just a worthless hobby to Dad.\He might force you to stop.\Even then...\I won't stop. I won't stop loving them.\Working hard at school and as a model, and getting completely absorbed into anime and games... response:	They're both a part of me.
context: I love them. I really love them.\I can't stop it.\No matter how much you love them, it's just a worthless hobby to Dad.\He might force you to stop.\Even then...\I won't stop. I won't stop loving them.\Working hard at school and as a model, and getting completely absorbed into anime and games...\They're both a part of me. response:	If I stop either one, I won't be me anymore.
context: I can't stop it.\No matter how much you love them, it's just a worthless hobby to Dad.\He might force you to stop.\Even then...\I won't stop. I won't stop loving them.\Working hard at school and as a model, and getting completely absorbed into anime and games...\They're both a part of me.\If I stop either one, I won't be me anymore. response:	Even if he forces me to throw away my anime and games,
context: No matter how much you love them, it's just a worthless hobby to Dad.\He might force you to stop.\Even then...\I won't stop. I won't stop loving them.\Working hard at school and as a model, and getting completely absorbed into anime and games...\They're both a part of me.\If I stop either one, I won't be me anymore.\Even if he forces me to throw away my anime and games, response:	it won't change who I am right now.
context: He might force you to stop.\Even then...\I won't stop. I won't stop loving them.\Working hard at school and as a model, and getting completely absorbed into anime and games...\They're both a part of me.\If I stop either one, I won't be me anymore.\Even if he forces me to throw away my anime and games,\it won't change who I am right now. response:	So I definitely won't stop loving them!
context: Even then...\I won't stop. I won't stop loving them.\Working hard at school and as a model, and getting completely absorbed into anime and games...\They're both a part of me.\If I stop either one, I won't be me anymore.\Even if he forces me to throw away my anime and games,\it won't change who I am right now.\So I definitely won't stop loving them! response:	I see.
context: I won't stop. I won't stop loving them.\Working hard at school and as a model, and getting completely absorbed into anime and games...\They're both a part of me.\If I stop either one, I won't be me anymore.\Even if he forces me to throw away my anime and games,\it won't change who I am right now.\So I definitely won't stop loving them!\I see. response:	Not a bad answer.
context: Working hard at school and as a model, and getting completely absorbed into anime and games...\They're both a part of me.\If I stop either one, I won't be me anymore.\Even if he forces me to throw away my anime and games,\it won't change who I am right now.\So I definitely won't stop loving them!\I see.\Not a bad answer. response:	Kirino.
context: They're both a part of me.\If I stop either one, I won't be me anymore.\Even if he forces me to throw away my anime and games,\it won't change who I am right now.\So I definitely won't stop loving them!\I see.\Not a bad answer.\Kirino. response:	Leave it to me.
context: If I stop either one, I won't be me anymore.\Even if he forces me to throw away my anime and games,\it won't change who I am right now.\So I definitely won't stop loving them!\I see.\Not a bad answer.\Kirino.\Leave it to me. response:	Is this all you need?
context: Even if he forces me to throw away my anime and games,\it won't change who I am right now.\So I definitely won't stop loving them!\I see.\Not a bad answer.\Kirino.\Leave it to me.\Is this all you need? response:	Yeah.
context: it won't change who I am right now.\So I definitely won't stop loving them!\I see.\Not a bad answer.\Kirino.\Leave it to me.\Is this all you need?\Yeah. response:	Kirino will be back in around half an hour.
context: So I definitely won't stop loving them!\I see.\Not a bad answer.\Kirino.\Leave it to me.\Is this all you need?\Yeah.\Kirino will be back in around half an hour. response:	Can you leave me and Dad alone until then?
context: I see.\Not a bad answer.\Kirino.\Leave it to me.\Is this all you need?\Yeah.\Kirino will be back in around half an hour.\Can you leave me and Dad alone until then? response:	Okay. I'll go buy some beer or something.
context: Not a bad answer.\Kirino.\Leave it to me.\Is this all you need?\Yeah.\Kirino will be back in around half an hour.\Can you leave me and Dad alone until then?\Okay. I'll go buy some beer or something. response:	Thanks.
context: Kirino.\Leave it to me.\Is this all you need?\Yeah.\Kirino will be back in around half an hour.\Can you leave me and Dad alone until then?\Okay. I'll go buy some beer or something.\Thanks. response:	Who'd have thought?
context: Leave it to me.\Is this all you need?\Yeah.\Kirino will be back in around half an hour.\Can you leave me and Dad alone until then?\Okay. I'll go buy some beer or something.\Thanks.\Who'd have thought? response:	What?
context: Is this all you need?\Yeah.\Kirino will be back in around half an hour.\Can you leave me and Dad alone until then?\Okay. I'll go buy some beer or something.\Thanks.\Who'd have thought?\What? response:	Never mind. Good luck.
context: Yeah.\Kirino will be back in around half an hour.\Can you leave me and Dad alone until then?\Okay. I'll go buy some beer or something.\Thanks.\Who'd have thought?\What?\Never mind. Good luck. response:	Dad.
context: Kirino will be back in around half an hour.\Can you leave me and Dad alone until then?\Okay. I'll go buy some beer or something.\Thanks.\Who'd have thought?\What?\Never mind. Good luck.\Dad. response:	Where are your manners?
context: Can you leave me and Dad alone until then?\Okay. I'll go buy some beer or something.\Thanks.\Who'd have thought?\What?\Never mind. Good luck.\Dad.\Where are your manners? response:	I'm home.
context: Okay. I'll go buy some beer or something.\Thanks.\Who'd have thought?\What?\Never mind. Good luck.\Dad.\Where are your manners?\I'm home. response:	I need to talk to you.
context: Thanks.\Who'd have thought?\What?\Never mind. Good luck.\Dad.\Where are your manners?\I'm home.\I need to talk to you. response:	About Kirino.
context: Who'd have thought?\What?\Never mind. Good luck.\Dad.\Where are your manners?\I'm home.\I need to talk to you.\About Kirino. response:	It looks like you knew she had these things.
context: What?\Never mind. Good luck.\Dad.\Where are your manners?\I'm home.\I need to talk to you.\About Kirino.\It looks like you knew she had these things. response:	Yeah...
context: Never mind. Good luck.\Dad.\Where are your manners?\I'm home.\I need to talk to you.\About Kirino.\It looks like you knew she had these things.\Yeah... response:	And so?
context: Dad.\Where are your manners?\I'm home.\I need to talk to you.\About Kirino.\It looks like you knew she had these things.\Yeah...\And so? response:	I want you to let Kirino keep her hobby.
context: Where are your manners?\I'm home.\I need to talk to you.\About Kirino.\It looks like you knew she had these things.\Yeah...\And so?\I want you to let Kirino keep her hobby. response:	What kind of joke is that?
context: I'm home.\I need to talk to you.\About Kirino.\It looks like you knew she had these things.\Yeah...\And so?\I want you to let Kirino keep her hobby.\What kind of joke is that? response:	I'm serious.
context: I need to talk to you.\About Kirino.\It looks like you knew she had these things.\Yeah...\And so?\I want you to let Kirino keep her hobby.\What kind of joke is that?\I'm serious. response:	I won't let you get rid of her hobby or throw away anything she's hidden.
context: About Kirino.\It looks like you knew she had these things.\Yeah...\And so?\I want you to let Kirino keep her hobby.\What kind of joke is that?\I'm serious.\I won't let you get rid of her hobby or throw away anything she's hidden. response:	She's hiding things?
context: It looks like you knew she had these things.\Yeah...\And so?\I want you to let Kirino keep her hobby.\What kind of joke is that?\I'm serious.\I won't let you get rid of her hobby or throw away anything she's hidden.\She's hiding things? response:	Anyway, just don't take anime and games away from her!
context: Yeah...\And so?\I want you to let Kirino keep her hobby.\What kind of joke is that?\I'm serious.\I won't let you get rid of her hobby or throw away anything she's hidden.\She's hiding things?\Anyway, just don't take anime and games away from her! response:	Why are you covering for her?
context: And so?\I want you to let Kirino keep her hobby.\What kind of joke is that?\I'm serious.\I won't let you get rid of her hobby or throw away anything she's hidden.\She's hiding things?\Anyway, just don't take anime and games away from her!\Why are you covering for her? response:	Tell me that first.
context: I want you to let Kirino keep her hobby.\What kind of joke is that?\I'm serious.\I won't let you get rid of her hobby or throw away anything she's hidden.\She's hiding things?\Anyway, just don't take anime and games away from her!\Why are you covering for her?\Tell me that first. response:	You can be stubborn after that
context: What kind of joke is that?\I'm serious.\I won't let you get rid of her hobby or throw away anything she's hidden.\She's hiding things?\Anyway, just don't take anime and games away from her!\Why are you covering for her?\Tell me that first.\You can be stubborn after that response:	She knows perfectly well that her hobbies are weird.
context: I'm serious.\I won't let you get rid of her hobby or throw away anything she's hidden.\She's hiding things?\Anyway, just don't take anime and games away from her!\Why are you covering for her?\Tell me that first.\You can be stubborn after that\She knows perfectly well that her hobbies are weird. response:	That's why she's been enjoying them in secret until now.
context: I won't let you get rid of her hobby or throw away anything she's hidden.\She's hiding things?\Anyway, just don't take anime and games away from her!\Why are you covering for her?\Tell me that first.\You can be stubborn after that\She knows perfectly well that her hobbies are weird.\That's why she's been enjoying them in secret until now. response:	But she still wanted someone she could talk to about them.
context: She's hiding things?\Anyway, just don't take anime and games away from her!\Why are you covering for her?\Tell me that first.\You can be stubborn after that\She knows perfectly well that her hobbies are weird.\That's why she's been enjoying them in secret until now.\But she still wanted someone she could talk to about them. response:	She finally found someone and worked up the courage to meet them, and she finally found friends.
context: Anyway, just don't take anime and games away from her!\Why are you covering for her?\Tell me that first.\You can be stubborn after that\She knows perfectly well that her hobbies are weird.\That's why she's been enjoying them in secret until now.\But she still wanted someone she could talk to about them.\She finally found someone and worked up the courage to meet them, and she finally found friends. response:	And this was only recently!
context: Why are you covering for her?\Tell me that first.\You can be stubborn after that\She knows perfectly well that her hobbies are weird.\That's why she's been enjoying them in secret until now.\But she still wanted someone she could talk to about them.\She finally found someone and worked up the courage to meet them, and she finally found friends.\And this was only recently! response:	She met those friends today, too.
context: Tell me that first.\You can be stubborn after that\She knows perfectly well that her hobbies are weird.\That's why she's been enjoying them in secret until now.\But she still wanted someone she could talk to about them.\She finally found someone and worked up the courage to meet them, and she finally found friends.\And this was only recently!\She met those friends today, too. response:	Kirino worked hard and found friends!
context: You can be stubborn after that\She knows perfectly well that her hobbies are weird.\That's why she's been enjoying them in secret until now.\But she still wanted someone she could talk to about them.\She finally found someone and worked up the courage to meet them, and she finally found friends.\And this was only recently!\She met those friends today, too.\Kirino worked hard and found friends! response:	Don't call them worthless before you know them!
context: She knows perfectly well that her hobbies are weird.\That's why she's been enjoying them in secret until now.\But she still wanted someone she could talk to about them.\She finally found someone and worked up the courage to meet them, and she finally found friends.\And this was only recently!\She met those friends today, too.\Kirino worked hard and found friends!\Don't call them worthless before you know them! response:	I've seen what she holds dear with my own eyes!
context: That's why she's been enjoying them in secret until now.\But she still wanted someone she could talk to about them.\She finally found someone and worked up the courage to meet them, and she finally found friends.\And this was only recently!\She met those friends today, too.\Kirino worked hard and found friends!\Don't call them worthless before you know them!\I've seen what she holds dear with my own eyes! response:	I've met other people who love them just as much!
context: But she still wanted someone she could talk to about them.\She finally found someone and worked up the courage to meet them, and she finally found friends.\And this was only recently!\She met those friends today, too.\Kirino worked hard and found friends!\Don't call them worthless before you know them!\I've seen what she holds dear with my own eyes!\I've met other people who love them just as much! response:	Sure, they're completely weird, but they're not bad people at all!
context: She finally found someone and worked up the courage to meet them, and she finally found friends.\And this was only recently!\She met those friends today, too.\Kirino worked hard and found friends!\Don't call them worthless before you know them!\I've seen what she holds dear with my own eyes!\I've met other people who love them just as much!\Sure, they're completely weird, but they're not bad people at all! response:	I mean, it's stupid how excited they can get.
context: And this was only recently!\She met those friends today, too.\Kirino worked hard and found friends!\Don't call them worthless before you know them!\I've seen what she holds dear with my own eyes!\I've met other people who love them just as much!\Sure, they're completely weird, but they're not bad people at all!\I mean, it's stupid how excited they can get. response:	They'll make a scene, yelling at each other even though they've only just met!
context: She met those friends today, too.\Kirino worked hard and found friends!\Don't call them worthless before you know them!\I've seen what she holds dear with my own eyes!\I've met other people who love them just as much!\Sure, they're completely weird, but they're not bad people at all!\I mean, it's stupid how excited they can get.\They'll make a scene, yelling at each other even though they've only just met! response:	I kept wondering just how much they love those things.
context: Kirino worked hard and found friends!\Don't call them worthless before you know them!\I've seen what she holds dear with my own eyes!\I've met other people who love them just as much!\Sure, they're completely weird, but they're not bad people at all!\I mean, it's stupid how excited they can get.\They'll make a scene, yelling at each other even though they've only just met!\I kept wondering just how much they love those things. response:	For Kirino and them to get that mad, it can't be something worthless!
context: Don't call them worthless before you know them!\I've seen what she holds dear with my own eyes!\I've met other people who love them just as much!\Sure, they're completely weird, but they're not bad people at all!\I mean, it's stupid how excited they can get.\They'll make a scene, yelling at each other even though they've only just met!\I kept wondering just how much they love those things.\For Kirino and them to get that mad, it can't be something worthless! response:	They get that absorbed into what they love!
context: I've seen what she holds dear with my own eyes!\I've met other people who love them just as much!\Sure, they're completely weird, but they're not bad people at all!\I mean, it's stupid how excited they can get.\They'll make a scene, yelling at each other even though they've only just met!\I kept wondering just how much they love those things.\For Kirino and them to get that mad, it can't be something worthless!\They get that absorbed into what they love! response:	They were already friends that could talk to each other about anything!
context: I've met other people who love them just as much!\Sure, they're completely weird, but they're not bad people at all!\I mean, it's stupid how excited they can get.\They'll make a scene, yelling at each other even though they've only just met!\I kept wondering just how much they love those things.\For Kirino and them to get that mad, it can't be something worthless!\They get that absorbed into what they love!\They were already friends that could talk to each other about anything! response:	Is that bad? What's bad about something they can get so absorbed in?
context: Sure, they're completely weird, but they're not bad people at all!\I mean, it's stupid how excited they can get.\They'll make a scene, yelling at each other even though they've only just met!\I kept wondering just how much they love those things.\For Kirino and them to get that mad, it can't be something worthless!\They get that absorbed into what they love!\They were already friends that could talk to each other about anything!\Is that bad? What's bad about something they can get so absorbed in? response:	I said nothing about her friends.
context: I mean, it's stupid how excited they can get.\They'll make a scene, yelling at each other even though they've only just met!\I kept wondering just how much they love those things.\For Kirino and them to get that mad, it can't be something worthless!\They get that absorbed into what they love!\They were already friends that could talk to each other about anything!\Is that bad? What's bad about something they can get so absorbed in?\I said nothing about her friends. response:	I'm talking about bad influences from playing games like this.
context: They'll make a scene, yelling at each other even though they've only just met!\I kept wondering just how much they love those things.\For Kirino and them to get that mad, it can't be something worthless!\They get that absorbed into what they love!\They were already friends that could talk to each other about anything!\Is that bad? What's bad about something they can get so absorbed in?\I said nothing about her friends.\I'm talking about bad influences from playing games like this. response:	Where do you see it?
context: I kept wondering just how much they love those things.\For Kirino and them to get that mad, it can't be something worthless!\They get that absorbed into what they love!\They were already friends that could talk to each other about anything!\Is that bad? What's bad about something they can get so absorbed in?\I said nothing about her friends.\I'm talking about bad influences from playing games like this.\Where do you see it? response:	What are these perfect grades and this pile of awards?
context: For Kirino and them to get that mad, it can't be something worthless!\They get that absorbed into what they love!\They were already friends that could talk to each other about anything!\Is that bad? What's bad about something they can get so absorbed in?\I said nothing about her friends.\I'm talking about bad influences from playing games like this.\Where do you see it?\What are these perfect grades and this pile of awards? response:	Your daughter's amazing!
context: They get that absorbed into what they love!\They were already friends that could talk to each other about anything!\Is that bad? What's bad about something they can get so absorbed in?\I said nothing about her friends.\I'm talking about bad influences from playing games like this.\Where do you see it?\What are these perfect grades and this pile of awards?\Your daughter's amazing! response:	That is part of our agreement.
context: They were already friends that could talk to each other about anything!\Is that bad? What's bad about something they can get so absorbed in?\I said nothing about her friends.\I'm talking about bad influences from playing games like this.\Where do you see it?\What are these perfect grades and this pile of awards?\Your daughter's amazing!\That is part of our agreement. response:	That's why I let her wear those clothes and work as a model.
context: Is that bad? What's bad about something they can get so absorbed in?\I said nothing about her friends.\I'm talking about bad influences from playing games like this.\Where do you see it?\What are these perfect grades and this pile of awards?\Your daughter's amazing!\That is part of our agreement.\That's why I let her wear those clothes and work as a model. response:	It's no concern of mine.
context: I said nothing about her friends.\I'm talking about bad influences from playing games like this.\Where do you see it?\What are these perfect grades and this pile of awards?\Your daughter's amazing!\That is part of our agreement.\That's why I let her wear those clothes and work as a model.\It's no concern of mine. response:	Stop being so stubborn!
context: I'm talking about bad influences from playing games like this.\Where do you see it?\What are these perfect grades and this pile of awards?\Your daughter's amazing!\That is part of our agreement.\That's why I let her wear those clothes and work as a model.\It's no concern of mine.\Stop being so stubborn! response:	At least let her have a weird hobby!
context: Where do you see it?\What are these perfect grades and this pile of awards?\Your daughter's amazing!\That is part of our agreement.\That's why I let her wear those clothes and work as a model.\It's no concern of mine.\Stop being so stubborn!\At least let her have a weird hobby! response:	This is part of raising a child.
context: What are these perfect grades and this pile of awards?\Your daughter's amazing!\That is part of our agreement.\That's why I let her wear those clothes and work as a model.\It's no concern of mine.\Stop being so stubborn!\At least let her have a weird hobby!\This is part of raising a child. response:	Is that all?
context: Your daughter's amazing!\That is part of our agreement.\That's why I let her wear those clothes and work as a model.\It's no concern of mine.\Stop being so stubborn!\At least let her have a weird hobby!\This is part of raising a child.\Is that all? response:	No! There's more!
context: That is part of our agreement.\That's why I let her wear those clothes and work as a model.\It's no concern of mine.\Stop being so stubborn!\At least let her have a weird hobby!\This is part of raising a child.\Is that all?\No! There's more! response:	I asked Mom to get this for me.
context: That's why I let her wear those clothes and work as a model.\It's no concern of mine.\Stop being so stubborn!\At least let her have a weird hobby!\This is part of raising a child.\Is that all?\No! There's more!\I asked Mom to get this for me. response:	She said that it was your treasure.
context: It's no concern of mine.\Stop being so stubborn!\At least let her have a weird hobby!\This is part of raising a child.\Is that all?\No! There's more!\I asked Mom to get this for me.\She said that it was your treasure. response:	No concern, you said?
context: Stop being so stubborn!\At least let her have a weird hobby!\This is part of raising a child.\Is that all?\No! There's more!\I asked Mom to get this for me.\She said that it was your treasure.\No concern, you said? response:	Look how much effort you put into keeping your daughter's pictures!
context: At least let her have a weird hobby!\This is part of raising a child.\Is that all?\No! There's more!\I asked Mom to get this for me.\She said that it was your treasure.\No concern, you said?\Look how much effort you put into keeping your daughter's pictures! response:	It's my daughter's job.
context: This is part of raising a child.\Is that all?\No! There's more!\I asked Mom to get this for me.\She said that it was your treasure.\No concern, you said?\Look how much effort you put into keeping your daughter's pictures!\It's my daughter's job. response:	I have to keep tabs on it.
context: Is that all?\No! There's more!\I asked Mom to get this for me.\She said that it was your treasure.\No concern, you said?\Look how much effort you put into keeping your daughter's pictures!\It's my daughter's job.\I have to keep tabs on it. response:	That's all there is to it.
context: No! There's more!\I asked Mom to get this for me.\She said that it was your treasure.\No concern, you said?\Look how much effort you put into keeping your daughter's pictures!\It's my daughter's job.\I have to keep tabs on it.\That's all there is to it. response:	And what do you think?
context: I asked Mom to get this for me.\She said that it was your treasure.\No concern, you said?\Look how much effort you put into keeping your daughter's pictures!\It's my daughter's job.\I have to keep tabs on it.\That's all there is to it.\And what do you think? response:	I have no worries about it.
context: She said that it was your treasure.\No concern, you said?\Look how much effort you put into keeping your daughter's pictures!\It's my daughter's job.\I have to keep tabs on it.\That's all there is to it.\And what do you think?\I have no worries about it. response:	Then what about this?
context: No concern, you said?\Look how much effort you put into keeping your daughter's pictures!\It's my daughter's job.\I have to keep tabs on it.\That's all there is to it.\And what do you think?\I have no worries about it.\Then what about this? response:	What's this picture?
context: Look how much effort you put into keeping your daughter's pictures!\It's my daughter's job.\I have to keep tabs on it.\That's all there is to it.\And what do you think?\I have no worries about it.\Then what about this?\What's this picture? response:	It's a picture Kirino's friends sent to me.
context: It's my daughter's job.\I have to keep tabs on it.\That's all there is to it.\And what do you think?\I have no worries about it.\Then what about this?\What's this picture?\It's a picture Kirino's friends sent to me. response:	Do you think you need to worry about this?
context: I have to keep tabs on it.\That's all there is to it.\And what do you think?\I have no worries about it.\Then what about this?\What's this picture?\It's a picture Kirino's friends sent to me.\Do you think you need to worry about this? response:	This is what Kirino managed to find!
context: That's all there is to it.\And what do you think?\I have no worries about it.\Then what about this?\What's this picture?\It's a picture Kirino's friends sent to me.\Do you think you need to worry about this?\This is what Kirino managed to find! response:	Everything here is part of Kirino!
context: And what do you think?\I have no worries about it.\Then what about this?\What's this picture?\It's a picture Kirino's friends sent to me.\Do you think you need to worry about this?\This is what Kirino managed to find!\Everything here is part of Kirino! response:	If you take any of it away, she won't be her anymore!
context: I have no worries about it.\Then what about this?\What's this picture?\It's a picture Kirino's friends sent to me.\Do you think you need to worry about this?\This is what Kirino managed to find!\Everything here is part of Kirino!\If you take any of it away, she won't be her anymore! response:	If you can look at all this and still say you won't let Kirino have her hobby, I'll beat the crap out of you for her!
context: Then what about this?\What's this picture?\It's a picture Kirino's friends sent to me.\Do you think you need to worry about this?\This is what Kirino managed to find!\Everything here is part of Kirino!\If you take any of it away, she won't be her anymore!\If you can look at all this and still say you won't let Kirino have her hobby, I'll beat the crap out of you for her! response:	I understand what you're trying to say.
context: What's this picture?\It's a picture Kirino's friends sent to me.\Do you think you need to worry about this?\This is what Kirino managed to find!\Everything here is part of Kirino!\If you take any of it away, she won't be her anymore!\If you can look at all this and still say you won't let Kirino have her hobby, I'll beat the crap out of you for her!\I understand what you're trying to say. response:	I will take back saying that they're worthless.
context: It's a picture Kirino's friends sent to me.\Do you think you need to worry about this?\This is what Kirino managed to find!\Everything here is part of Kirino!\If you take any of it away, she won't be her anymore!\If you can look at all this and still say you won't let Kirino have her hobby, I'll beat the crap out of you for her!\I understand what you're trying to say.\I will take back saying that they're worthless. response:	I will let Kirino keep her hobby.
context: Do you think you need to worry about this?\This is what Kirino managed to find!\Everything here is part of Kirino!\If you take any of it away, she won't be her anymore!\If you can look at all this and still say you won't let Kirino have her hobby, I'll beat the crap out of you for her!\I understand what you're trying to say.\I will take back saying that they're worthless.\I will let Kirino keep her hobby. response:	Really?
context: This is what Kirino managed to find!\Everything here is part of Kirino!\If you take any of it away, she won't be her anymore!\If you can look at all this and still say you won't let Kirino have her hobby, I'll beat the crap out of you for her!\I understand what you're trying to say.\I will take back saying that they're worthless.\I will let Kirino keep her hobby.\Really? response:	But this is different.
context: Everything here is part of Kirino!\If you take any of it away, she won't be her anymore!\If you can look at all this and still say you won't let Kirino have her hobby, I'll beat the crap out of you for her!\I understand what you're trying to say.\I will take back saying that they're worthless.\I will let Kirino keep her hobby.\Really?\But this is different. response:	I can't allow her to have something so indecent.
context: If you take any of it away, she won't be her anymore!\If you can look at all this and still say you won't let Kirino have her hobby, I'll beat the crap out of you for her!\I understand what you're trying to say.\I will take back saying that they're worthless.\I will let Kirino keep her hobby.\Really?\But this is different.\I can't allow her to have something so indecent. response:	It's not a question of good or bad.
context: If you can look at all this and still say you won't let Kirino have her hobby, I'll beat the crap out of you for her!\I understand what you're trying to say.\I will take back saying that they're worthless.\I will let Kirino keep her hobby.\Really?\But this is different.\I can't allow her to have something so indecent.\It's not a question of good or bad. response:	What do you think this symbol means?
context: I understand what you're trying to say.\I will take back saying that they're worthless.\I will let Kirino keep her hobby.\Really?\But this is different.\I can't allow her to have something so indecent.\It's not a question of good or bad.\What do you think this symbol means? response:	So it came down to this after all...
context: I will take back saying that they're worthless.\I will let Kirino keep her hobby.\Really?\But this is different.\I can't allow her to have something so indecent.\It's not a question of good or bad.\What do you think this symbol means?\So it came down to this after all... response:	This is where Dad is completely right.
context: I will let Kirino keep her hobby.\Really?\But this is different.\I can't allow her to have something so indecent.\It's not a question of good or bad.\What do you think this symbol means?\So it came down to this after all...\This is where Dad is completely right. response:	I do have a plan for this, but...
context: Really?\But this is different.\I can't allow her to have something so indecent.\It's not a question of good or bad.\What do you think this symbol means?\So it came down to this after all...\This is where Dad is completely right.\I do have a plan for this, but... response:	I'm going to Kirino's room.
context: But this is different.\I can't allow her to have something so indecent.\It's not a question of good or bad.\What do you think this symbol means?\So it came down to this after all...\This is where Dad is completely right.\I do have a plan for this, but...\I'm going to Kirino's room. response:	She will throw away these at the least.
context: I can't allow her to have something so indecent.\It's not a question of good or bad.\What do you think this symbol means?\So it came down to this after all...\This is where Dad is completely right.\I do have a plan for this, but...\I'm going to Kirino's room.\She will throw away these at the least. response:	Today, I...
context: It's not a question of good or bad.\What do you think this symbol means?\So it came down to this after all...\This is where Dad is completely right.\I do have a plan for this, but...\I'm going to Kirino's room.\She will throw away these at the least.\Today, I... response:	1 Obey Dad
context: What do you think this symbol means?\So it came down to this after all...\This is where Dad is completely right.\I do have a plan for this, but...\I'm going to Kirino's room.\She will throw away these at the least.\Today, I...\1 Obey Dad response:	2 Fight Dad
context: So it came down to this after all...\This is where Dad is completely right.\I do have a plan for this, but...\I'm going to Kirino's room.\She will throw away these at the least.\Today, I...\1 Obey Dad\2 Fight Dad response:	3 Apologize to Kirino
context: This is where Dad is completely right.\I do have a plan for this, but...\I'm going to Kirino's room.\She will throw away these at the least.\Today, I...\1 Obey Dad\2 Fight Dad\3 Apologize to Kirino response:	4 Save Kirino
context: I do have a plan for this, but...\I'm going to Kirino's room.\She will throw away these at the least.\Today, I...\1 Obey Dad\2 Fight Dad\3 Apologize to Kirino\4 Save Kirino response:	5 Save the Little sisters
context: I'm going to Kirino's room.\She will throw away these at the least.\Today, I...\1 Obey Dad\2 Fight Dad\3 Apologize to Kirino\4 Save Kirino\5 Save the Little sisters response:	That...
context: She will throw away these at the least.\Today, I...\1 Obey Dad\2 Fight Dad\3 Apologize to Kirino\4 Save Kirino\5 Save the Little sisters\That... response:	What are you saying now?
context: Today, I...\1 Obey Dad\2 Fight Dad\3 Apologize to Kirino\4 Save Kirino\5 Save the Little sisters\That...\What are you saying now? response:	That is a game for a computer.
context: 1 Obey Dad\2 Fight Dad\3 Apologize to Kirino\4 Save Kirino\5 Save the Little sisters\That...\What are you saying now?\That is a game for a computer. response:	Kirino is the only one with a computer in this house!
context: 2 Fight Dad\3 Apologize to Kirino\4 Save Kirino\5 Save the Little sisters\That...\What are you saying now?\That is a game for a computer.\Kirino is the only one with a computer in this house! response:	Like I said, this is mine!
context: 3 Apologize to Kirino\4 Save Kirino\5 Save the Little sisters\That...\What are you saying now?\That is a game for a computer.\Kirino is the only one with a computer in this house!\Like I said, this is mine! response:	I asked Kirino to hold it for me!
context: 4 Save Kirino\5 Save the Little sisters\That...\What are you saying now?\That is a game for a computer.\Kirino is the only one with a computer in this house!\Like I said, this is mine!\I asked Kirino to hold it for me! response:	I borrowed her computer and played it!
context: 5 Save the Little sisters\That...\What are you saying now?\That is a game for a computer.\Kirino is the only one with a computer in this house!\Like I said, this is mine!\I asked Kirino to hold it for me!\I borrowed her computer and played it! response:	Oh?
context: That...\What are you saying now?\That is a game for a computer.\Kirino is the only one with a computer in this house!\Like I said, this is mine!\I asked Kirino to hold it for me!\I borrowed her computer and played it!\Oh? response:	You were in your sister's room, using your sister's computer to play a game about doing indecent things to your sister?
context: What are you saying now?\That is a game for a computer.\Kirino is the only one with a computer in this house!\Like I said, this is mine!\I asked Kirino to hold it for me!\I borrowed her computer and played it!\Oh?\You were in your sister's room, using your sister's computer to play a game about doing indecent things to your sister? response:	It was really amazing.
context: That is a game for a computer.\Kirino is the only one with a computer in this house!\Like I said, this is mine!\I asked Kirino to hold it for me!\I borrowed her computer and played it!\Oh?\You were in your sister's room, using your sister's computer to play a game about doing indecent things to your sister?\It was really amazing. response:	Got a problem with that?
context: Kirino is the only one with a computer in this house!\Like I said, this is mine!\I asked Kirino to hold it for me!\I borrowed her computer and played it!\Oh?\You were in your sister's room, using your sister's computer to play a game about doing indecent things to your sister?\It was really amazing.\Got a problem with that? response:	What's wrong with a high schooler having eroge?
context: Like I said, this is mine!\I asked Kirino to hold it for me!\I borrowed her computer and played it!\Oh?\You were in your sister's room, using your sister's computer to play a game about doing indecent things to your sister?\It was really amazing.\Got a problem with that?\What's wrong with a high schooler having eroge? response:	You know Mom's seen all my porn!
context: I asked Kirino to hold it for me!\I borrowed her computer and played it!\Oh?\You were in your sister's room, using your sister's computer to play a game about doing indecent things to your sister?\It was really amazing.\Got a problem with that?\What's wrong with a high schooler having eroge?\You know Mom's seen all my porn! response:	I'm not throwing this away!
context: I borrowed her computer and played it!\Oh?\You were in your sister's room, using your sister's computer to play a game about doing indecent things to your sister?\It was really amazing.\Got a problem with that?\What's wrong with a high schooler having eroge?\You know Mom's seen all my porn!\I'm not throwing this away! response:	I'll defend this to the death!
context: Oh?\You were in your sister's room, using your sister's computer to play a game about doing indecent things to your sister?\It was really amazing.\Got a problem with that?\What's wrong with a high schooler having eroge?\You know Mom's seen all my porn!\I'm not throwing this away!\I'll defend this to the death! response:	Listen up, Dad!
