context: The Grand Magic Games are held once a year. response:	Seeking to fill in the blank of the last seven years, Natsu and the rest of the Tenrou group
context: You!\Natsu Dragneel!\Cats?!\What's up with this stupid-looking cat?\Stupid!\They talk!\Do I have to say something here...?\Who the hell are you guys? response:	Hey, haven't you heard of Sabertooth's Twin Dragons, Sting and Rogue?!
context: Natsu Dragneel!\Cats?!\What's up with this stupid-looking cat?\Stupid!\They talk!\Do I have to say something here...?\Who the hell are you guys?\Hey, haven't you heard of Sabertooth's Twin Dragons, Sting and Rogue?! response:	They're the cornerstone of Fiore's strongest guild!
context: Cats?!\What's up with this stupid-looking cat?\Stupid!\They talk!\Do I have to say something here...?\Who the hell are you guys?\Hey, haven't you heard of Sabertooth's Twin Dragons, Sting and Rogue?!\They're the cornerstone of Fiore's strongest guild! response:	Then these two are...
context: What's up with this stupid-looking cat?\Stupid!\They talk!\Do I have to say something here...?\Who the hell are you guys?\Hey, haven't you heard of Sabertooth's Twin Dragons, Sting and Rogue?!\They're the cornerstone of Fiore's strongest guild!\Then these two are... response:	Rumor has it you're gonna be in the Grand Magic Games. Is that true?
context: Stupid!\They talk!\Do I have to say something here...?\Who the hell are you guys?\Hey, haven't you heard of Sabertooth's Twin Dragons, Sting and Rogue?!\They're the cornerstone of Fiore's strongest guild!\Then these two are...\Rumor has it you're gonna be in the Grand Magic Games. Is that true? response:	You know about me?
context: They talk!\Do I have to say something here...?\Who the hell are you guys?\Hey, haven't you heard of Sabertooth's Twin Dragons, Sting and Rogue?!\They're the cornerstone of Fiore's strongest guild!\Then these two are...\Rumor has it you're gonna be in the Grand Magic Games. Is that true?\You know about me? response:	Acnologia...
context: Do I have to say something here...?\Who the hell are you guys?\Hey, haven't you heard of Sabertooth's Twin Dragons, Sting and Rogue?!\They're the cornerstone of Fiore's strongest guild!\Then these two are...\Rumor has it you're gonna be in the Grand Magic Games. Is that true?\You know about me?\Acnologia... response:	You're the Dragon Slayer who couldn't slay a dragon, right?
context: Who the hell are you guys?\Hey, haven't you heard of Sabertooth's Twin Dragons, Sting and Rogue?!\They're the cornerstone of Fiore's strongest guild!\Then these two are...\Rumor has it you're gonna be in the Grand Magic Games. Is that true?\You know about me?\Acnologia...\You're the Dragon Slayer who couldn't slay a dragon, right? response:	Are you sure you should keep calling yourself a Dragon Slayer?
context: Hey, haven't you heard of Sabertooth's Twin Dragons, Sting and Rogue?!\They're the cornerstone of Fiore's strongest guild!\Then these two are...\Rumor has it you're gonna be in the Grand Magic Games. Is that true?\You know about me?\Acnologia...\You're the Dragon Slayer who couldn't slay a dragon, right?\Are you sure you should keep calling yourself a Dragon Slayer? response:	You know, I used to look up to you.
context: They're the cornerstone of Fiore's strongest guild!\Then these two are...\Rumor has it you're gonna be in the Grand Magic Games. Is that true?\You know about me?\Acnologia...\You're the Dragon Slayer who couldn't slay a dragon, right?\Are you sure you should keep calling yourself a Dragon Slayer?\You know, I used to look up to you. response:	Incidentally, this guy was into Gajeel-san.
context: Then these two are...\Rumor has it you're gonna be in the Grand Magic Games. Is that true?\You know about me?\Acnologia...\You're the Dragon Slayer who couldn't slay a dragon, right?\Are you sure you should keep calling yourself a Dragon Slayer?\You know, I used to look up to you.\Incidentally, this guy was into Gajeel-san. response:	I was just interested as a fellow Dragon Slayer.
context: Rumor has it you're gonna be in the Grand Magic Games. Is that true?\You know about me?\Acnologia...\You're the Dragon Slayer who couldn't slay a dragon, right?\Are you sure you should keep calling yourself a Dragon Slayer?\You know, I used to look up to you.\Incidentally, this guy was into Gajeel-san.\I was just interested as a fellow Dragon Slayer. response:	Dragon Slayer?!
context: You know about me?\Acnologia...\You're the Dragon Slayer who couldn't slay a dragon, right?\Are you sure you should keep calling yourself a Dragon Slayer?\You know, I used to look up to you.\Incidentally, this guy was into Gajeel-san.\I was just interested as a fellow Dragon Slayer.\Dragon Slayer?! response:	Both of you?!
context: Acnologia...\You're the Dragon Slayer who couldn't slay a dragon, right?\Are you sure you should keep calling yourself a Dragon Slayer?\You know, I used to look up to you.\Incidentally, this guy was into Gajeel-san.\I was just interested as a fellow Dragon Slayer.\Dragon Slayer?!\Both of you?! response:	Maybe you oughta call us true Dragon Slayers...
context: You're the Dragon Slayer who couldn't slay a dragon, right?\Are you sure you should keep calling yourself a Dragon Slayer?\You know, I used to look up to you.\Incidentally, this guy was into Gajeel-san.\I was just interested as a fellow Dragon Slayer.\Dragon Slayer?!\Both of you?!\Maybe you oughta call us true Dragon Slayers... response:	We would've beaten Acnologia.
context: Are you sure you should keep calling yourself a Dragon Slayer?\You know, I used to look up to you.\Incidentally, this guy was into Gajeel-san.\I was just interested as a fellow Dragon Slayer.\Dragon Slayer?!\Both of you?!\Maybe you oughta call us true Dragon Slayers...\We would've beaten Acnologia. response:	That's easy for you two to say when you've never even laid eyes on Acnologia!
context: You know, I used to look up to you.\Incidentally, this guy was into Gajeel-san.\I was just interested as a fellow Dragon Slayer.\Dragon Slayer?!\Both of you?!\Maybe you oughta call us true Dragon Slayers...\We would've beaten Acnologia.\That's easy for you two to say when you've never even laid eyes on Acnologia! response:	That's right!
context: Incidentally, this guy was into Gajeel-san.\I was just interested as a fellow Dragon Slayer.\Dragon Slayer?!\Both of you?!\Maybe you oughta call us true Dragon Slayers...\We would've beaten Acnologia.\That's easy for you two to say when you've never even laid eyes on Acnologia!\That's right! response:	You don't seem too bright, cat.
context: I was just interested as a fellow Dragon Slayer.\Dragon Slayer?!\Both of you?!\Maybe you oughta call us true Dragon Slayers...\We would've beaten Acnologia.\That's easy for you two to say when you've never even laid eyes on Acnologia!\That's right!\You don't seem too bright, cat. response:	Lecter is smart, right?
context: Dragon Slayer?!\Both of you?!\Maybe you oughta call us true Dragon Slayers...\We would've beaten Acnologia.\That's easy for you two to say when you've never even laid eyes on Acnologia!\That's right!\You don't seem too bright, cat.\Lecter is smart, right? response:	It doesn't matter if we've seen it or not.
context: Both of you?!\Maybe you oughta call us true Dragon Slayers...\We would've beaten Acnologia.\That's easy for you two to say when you've never even laid eyes on Acnologia!\That's right!\You don't seem too bright, cat.\Lecter is smart, right?\It doesn't matter if we've seen it or not. response:	The point here is the difference in our aptitude as Dragon Slayers.
context: Maybe you oughta call us true Dragon Slayers...\We would've beaten Acnologia.\That's easy for you two to say when you've never even laid eyes on Acnologia!\That's right!\You don't seem too bright, cat.\Lecter is smart, right?\It doesn't matter if we've seen it or not.\The point here is the difference in our aptitude as Dragon Slayers. response:	I'll explain.
context: We would've beaten Acnologia.\That's easy for you two to say when you've never even laid eyes on Acnologia!\That's right!\You don't seem too bright, cat.\Lecter is smart, right?\It doesn't matter if we've seen it or not.\The point here is the difference in our aptitude as Dragon Slayers.\I'll explain. response:	Natsu-kun and the rest learned Dragon Slaying Magic from dragons.
context: That's easy for you two to say when you've never even laid eyes on Acnologia!\That's right!\You don't seem too bright, cat.\Lecter is smart, right?\It doesn't matter if we've seen it or not.\The point here is the difference in our aptitude as Dragon Slayers.\I'll explain.\Natsu-kun and the rest learned Dragon Slaying Magic from dragons. response:	They're the so-called First Generation.
context: That's right!\You don't seem too bright, cat.\Lecter is smart, right?\It doesn't matter if we've seen it or not.\The point here is the difference in our aptitude as Dragon Slayers.\I'll explain.\Natsu-kun and the rest learned Dragon Slaying Magic from dragons.\They're the so-called First Generation. response:	Your Laxus-kun and Oracion Seis's Cobra-kun
context: You don't seem too bright, cat.\Lecter is smart, right?\It doesn't matter if we've seen it or not.\The point here is the difference in our aptitude as Dragon Slayers.\I'll explain.\Natsu-kun and the rest learned Dragon Slaying Magic from dragons.\They're the so-called First Generation.\Your Laxus-kun and Oracion Seis's Cobra-kun response:	are known as the Second Generation.
context: Lecter is smart, right?\It doesn't matter if we've seen it or not.\The point here is the difference in our aptitude as Dragon Slayers.\I'll explain.\Natsu-kun and the rest learned Dragon Slaying Magic from dragons.\They're the so-called First Generation.\Your Laxus-kun and Oracion Seis's Cobra-kun\are known as the Second Generation. response:	They can use Dragon Slaying Magic through a Dragon Lacrima embedded in their body.
context: It doesn't matter if we've seen it or not.\The point here is the difference in our aptitude as Dragon Slayers.\I'll explain.\Natsu-kun and the rest learned Dragon Slaying Magic from dragons.\They're the so-called First Generation.\Your Laxus-kun and Oracion Seis's Cobra-kun\are known as the Second Generation.\They can use Dragon Slaying Magic through a Dragon Lacrima embedded in their body. response:	As for Sting-kun and Rogue-kun,
context: The point here is the difference in our aptitude as Dragon Slayers.\I'll explain.\Natsu-kun and the rest learned Dragon Slaying Magic from dragons.\They're the so-called First Generation.\Your Laxus-kun and Oracion Seis's Cobra-kun\are known as the Second Generation.\They can use Dragon Slaying Magic through a Dragon Lacrima embedded in their body.\As for Sting-kun and Rogue-kun, response:	like you, they were raised by Dragons,
context: I'll explain.\Natsu-kun and the rest learned Dragon Slaying Magic from dragons.\They're the so-called First Generation.\Your Laxus-kun and Oracion Seis's Cobra-kun\are known as the Second Generation.\They can use Dragon Slaying Magic through a Dragon Lacrima embedded in their body.\As for Sting-kun and Rogue-kun,\like you, they were raised by Dragons, response:	but also have a Dragon Lacrima implanted in their body... the hybrid Third Generation!
context: Natsu-kun and the rest learned Dragon Slaying Magic from dragons.\They're the so-called First Generation.\Your Laxus-kun and Oracion Seis's Cobra-kun\are known as the Second Generation.\They can use Dragon Slaying Magic through a Dragon Lacrima embedded in their body.\As for Sting-kun and Rogue-kun,\like you, they were raised by Dragons,\but also have a Dragon Lacrima implanted in their body... the hybrid Third Generation! response:	Third Generation?!
context: They're the so-called First Generation.\Your Laxus-kun and Oracion Seis's Cobra-kun\are known as the Second Generation.\They can use Dragon Slaying Magic through a Dragon Lacrima embedded in their body.\As for Sting-kun and Rogue-kun,\like you, they were raised by Dragons,\but also have a Dragon Lacrima implanted in their body... the hybrid Third Generation!\Third Generation?! response:	In other words, they're the strongest Dragon Slayers!
context: Your Laxus-kun and Oracion Seis's Cobra-kun\are known as the Second Generation.\They can use Dragon Slaying Magic through a Dragon Lacrima embedded in their body.\As for Sting-kun and Rogue-kun,\like you, they were raised by Dragons,\but also have a Dragon Lacrima implanted in their body... the hybrid Third Generation!\Third Generation?!\In other words, they're the strongest Dragon Slayers! response:	Strongest Dragon Slayers, you say?
context: are known as the Second Generation.\They can use Dragon Slaying Magic through a Dragon Lacrima embedded in their body.\As for Sting-kun and Rogue-kun,\like you, they were raised by Dragons,\but also have a Dragon Lacrima implanted in their body... the hybrid Third Generation!\Third Generation?!\In other words, they're the strongest Dragon Slayers!\Strongest Dragon Slayers, you say? response:	There's a world of difference in ability between the First Generation and Third Generation.
context: They can use Dragon Slaying Magic through a Dragon Lacrima embedded in their body.\As for Sting-kun and Rogue-kun,\like you, they were raised by Dragons,\but also have a Dragon Lacrima implanted in their body... the hybrid Third Generation!\Third Generation?!\In other words, they're the strongest Dragon Slayers!\Strongest Dragon Slayers, you say?\There's a world of difference in ability between the First Generation and Third Generation. response:	It's not even worth talking about.
context: As for Sting-kun and Rogue-kun,\like you, they were raised by Dragons,\but also have a Dragon Lacrima implanted in their body... the hybrid Third Generation!\Third Generation?!\In other words, they're the strongest Dragon Slayers!\Strongest Dragon Slayers, you say?\There's a world of difference in ability between the First Generation and Third Generation.\It's not even worth talking about. response:	Did your dragons disappear in the year 777, too?!
context: like you, they were raised by Dragons,\but also have a Dragon Lacrima implanted in their body... the hybrid Third Generation!\Third Generation?!\In other words, they're the strongest Dragon Slayers!\Strongest Dragon Slayers, you say?\There's a world of difference in ability between the First Generation and Third Generation.\It's not even worth talking about.\Did your dragons disappear in the year 777, too?! response:	Well, in a manner of speaking...
context: but also have a Dragon Lacrima implanted in their body... the hybrid Third Generation!\Third Generation?!\In other words, they're the strongest Dragon Slayers!\Strongest Dragon Slayers, you say?\There's a world of difference in ability between the First Generation and Third Generation.\It's not even worth talking about.\Did your dragons disappear in the year 777, too?!\Well, in a manner of speaking... response:	I'll give it to you straight.
context: Third Generation?!\In other words, they're the strongest Dragon Slayers!\Strongest Dragon Slayers, you say?\There's a world of difference in ability between the First Generation and Third Generation.\It's not even worth talking about.\Did your dragons disappear in the year 777, too?!\Well, in a manner of speaking...\I'll give it to you straight. response:	The dragons who taught us Dragon Slayer Magic
context: In other words, they're the strongest Dragon Slayers!\Strongest Dragon Slayers, you say?\There's a world of difference in ability between the First Generation and Third Generation.\It's not even worth talking about.\Did your dragons disappear in the year 777, too?!\Well, in a manner of speaking...\I'll give it to you straight.\The dragons who taught us Dragon Slayer Magic response:	were slain by our own hand,
context: Strongest Dragon Slayers, you say?\There's a world of difference in ability between the First Generation and Third Generation.\It's not even worth talking about.\Did your dragons disappear in the year 777, too?!\Well, in a manner of speaking...\I'll give it to you straight.\The dragons who taught us Dragon Slayer Magic\were slain by our own hand, response:	so we could become true Dragon Slayers...
context: There's a world of difference in ability between the First Generation and Third Generation.\It's not even worth talking about.\Did your dragons disappear in the year 777, too?!\Well, in a manner of speaking...\I'll give it to you straight.\The dragons who taught us Dragon Slayer Magic\were slain by our own hand,\so we could become true Dragon Slayers... response:	You killed dragons?!
context: It's not even worth talking about.\Did your dragons disappear in the year 777, too?!\Well, in a manner of speaking...\I'll give it to you straight.\The dragons who taught us Dragon Slayer Magic\were slain by our own hand,\so we could become true Dragon Slayers...\You killed dragons?! response:	Humans killed dragons...?
context: Did your dragons disappear in the year 777, too?!\Well, in a manner of speaking...\I'll give it to you straight.\The dragons who taught us Dragon Slayer Magic\were slain by our own hand,\so we could become true Dragon Slayers...\You killed dragons?!\Humans killed dragons...? response:	You murdered your own parents?!
context: Well, in a manner of speaking...\I'll give it to you straight.\The dragons who taught us Dragon Slayer Magic\were slain by our own hand,\so we could become true Dragon Slayers...\You killed dragons?!\Humans killed dragons...?\You murdered your own parents?! response:	They're late...
context: I'll give it to you straight.\The dragons who taught us Dragon Slayer Magic\were slain by our own hand,\so we could become true Dragon Slayers...\You killed dragons?!\Humans killed dragons...?\You murdered your own parents?!\They're late... response:	You guys...
context: The dragons who taught us Dragon Slayer Magic\were slain by our own hand,\so we could become true Dragon Slayers...\You killed dragons?!\Humans killed dragons...?\You murdered your own parents?!\They're late...\You guys... response:	Where the hell were you all this time?!
context: were slain by our own hand,\so we could become true Dragon Slayers...\You killed dragons?!\Humans killed dragons...?\You murdered your own parents?!\They're late...\You guys...\Where the hell were you all this time?! response:	I had dinner that was no fun at all...
context: so we could become true Dragon Slayers...\You killed dragons?!\Humans killed dragons...?\You murdered your own parents?!\They're late...\You guys...\Where the hell were you all this time?!\I had dinner that was no fun at all... response:	We got into a weird tangle with some people... or maybe we started it...
context: You killed dragons?!\Humans killed dragons...?\You murdered your own parents?!\They're late...\You guys...\Where the hell were you all this time?!\I had dinner that was no fun at all...\We got into a weird tangle with some people... or maybe we started it... response:	Well, if we get the chance to fight each other during the Games,
context: Humans killed dragons...?\You murdered your own parents?!\They're late...\You guys...\Where the hell were you all this time?!\I had dinner that was no fun at all...\We got into a weird tangle with some people... or maybe we started it...\Well, if we get the chance to fight each other during the Games, response:	I'll show you the power that can slay a real dragon!
context: You murdered your own parents?!\They're late...\You guys...\Where the hell were you all this time?!\I had dinner that was no fun at all...\We got into a weird tangle with some people... or maybe we started it...\Well, if we get the chance to fight each other during the Games,\I'll show you the power that can slay a real dragon! response:	Let's go. I'm not interested in the older generation.
context: They're late...\You guys...\Where the hell were you all this time?!\I had dinner that was no fun at all...\We got into a weird tangle with some people... or maybe we started it...\Well, if we get the chance to fight each other during the Games,\I'll show you the power that can slay a real dragon!\Let's go. I'm not interested in the older generation. response:	Both the outdated Dragon Slayer and his cat companion are lame-o's!
context: You guys...\Where the hell were you all this time?!\I had dinner that was no fun at all...\We got into a weird tangle with some people... or maybe we started it...\Well, if we get the chance to fight each other during the Games,\I'll show you the power that can slay a real dragon!\Let's go. I'm not interested in the older generation.\Both the outdated Dragon Slayer and his cat companion are lame-o's! response:	Fro thinks so, too!
context: Where the hell were you all this time?!\I had dinner that was no fun at all...\We got into a weird tangle with some people... or maybe we started it...\Well, if we get the chance to fight each other during the Games,\I'll show you the power that can slay a real dragon!\Let's go. I'm not interested in the older generation.\Both the outdated Dragon Slayer and his cat companion are lame-o's!\Fro thinks so, too! response:	I'm not gonna let'em get away with it!
context: I had dinner that was no fun at all...\We got into a weird tangle with some people... or maybe we started it...\Well, if we get the chance to fight each other during the Games,\I'll show you the power that can slay a real dragon!\Let's go. I'm not interested in the older generation.\Both the outdated Dragon Slayer and his cat companion are lame-o's!\Fro thinks so, too!\I'm not gonna let'em get away with it! response:	By the way, Wendy's not back yet?
context: We got into a weird tangle with some people... or maybe we started it...\Well, if we get the chance to fight each other during the Games,\I'll show you the power that can slay a real dragon!\Let's go. I'm not interested in the older generation.\Both the outdated Dragon Slayer and his cat companion are lame-o's!\Fro thinks so, too!\I'm not gonna let'em get away with it!\By the way, Wendy's not back yet? response:	Come to think of it...
context: Well, if we get the chance to fight each other during the Games,\I'll show you the power that can slay a real dragon!\Let's go. I'm not interested in the older generation.\Both the outdated Dragon Slayer and his cat companion are lame-o's!\Fro thinks so, too!\I'm not gonna let'em get away with it!\By the way, Wendy's not back yet?\Come to think of it... response:	She's late...
context: I'll show you the power that can slay a real dragon!\Let's go. I'm not interested in the older generation.\Both the outdated Dragon Slayer and his cat companion are lame-o's!\Fro thinks so, too!\I'm not gonna let'em get away with it!\By the way, Wendy's not back yet?\Come to think of it...\She's late... response:	I'm sure she's with Carla, so I doubt she's lost...
context: Let's go. I'm not interested in the older generation.\Both the outdated Dragon Slayer and his cat companion are lame-o's!\Fro thinks so, too!\I'm not gonna let'em get away with it!\By the way, Wendy's not back yet?\Come to think of it...\She's late...\I'm sure she's with Carla, so I doubt she's lost... response:	It's almost midnight...
context: Both the outdated Dragon Slayer and his cat companion are lame-o's!\Fro thinks so, too!\I'm not gonna let'em get away with it!\By the way, Wendy's not back yet?\Come to think of it...\She's late...\I'm sure she's with Carla, so I doubt she's lost...\It's almost midnight... response:	That little girl is out this late...
context: Fro thinks so, too!\I'm not gonna let'em get away with it!\By the way, Wendy's not back yet?\Come to think of it...\She's late...\I'm sure she's with Carla, so I doubt she's lost...\It's almost midnight...\That little girl is out this late... response:	Staying out late... Bad company... Juvenile delinquency!
context: I'm not gonna let'em get away with it!\By the way, Wendy's not back yet?\Come to think of it...\She's late...\I'm sure she's with Carla, so I doubt she's lost...\It's almost midnight...\That little girl is out this late...\Staying out late... Bad company... Juvenile delinquency! response:	This town is mine!
context: By the way, Wendy's not back yet?\Come to think of it...\She's late...\I'm sure she's with Carla, so I doubt she's lost...\It's almost midnight...\That little girl is out this late...\Staying out late... Bad company... Juvenile delinquency!\This town is mine! response:	What should we do?!
context: Come to think of it...\She's late...\I'm sure she's with Carla, so I doubt she's lost...\It's almost midnight...\That little girl is out this late...\Staying out late... Bad company... Juvenile delinquency!\This town is mine!\What should we do?! response:	Do all fiction writers have this kind of imagination?
context: She's late...\I'm sure she's with Carla, so I doubt she's lost...\It's almost midnight...\That little girl is out this late...\Staying out late... Bad company... Juvenile delinquency!\This town is mine!\What should we do?!\Do all fiction writers have this kind of imagination? response:	Hey! We brought treats!
context: I'm sure she's with Carla, so I doubt she's lost...\It's almost midnight...\That little girl is out this late...\Staying out late... Bad company... Juvenile delinquency!\This town is mine!\What should we do?!\Do all fiction writers have this kind of imagination?\Hey! We brought treats! response:	Tomorrow's the big day!
context: It's almost midnight...\That little girl is out this late...\Staying out late... Bad company... Juvenile delinquency!\This town is mine!\What should we do?!\Do all fiction writers have this kind of imagination?\Hey! We brought treats!\Tomorrow's the big day! response:	Elfman! Lisanna!
context: That little girl is out this late...\Staying out late... Bad company... Juvenile delinquency!\This town is mine!\What should we do?!\Do all fiction writers have this kind of imagination?\Hey! We brought treats!\Tomorrow's the big day!\Elfman! Lisanna! response:	Are you guys gonna watch the Grand Magic Games, too?!
context: Staying out late... Bad company... Juvenile delinquency!\This town is mine!\What should we do?!\Do all fiction writers have this kind of imagination?\Hey! We brought treats!\Tomorrow's the big day!\Elfman! Lisanna!\Are you guys gonna watch the Grand Magic Games, too?! response:	Yeah.
context: This town is mine!\What should we do?!\Do all fiction writers have this kind of imagination?\Hey! We brought treats!\Tomorrow's the big day!\Elfman! Lisanna!\Are you guys gonna watch the Grand Magic Games, too?!\Yeah. response:	To be honest, I wanted to be in it myself and show off for Lisanna and Nee-chan,
context: What should we do?!\Do all fiction writers have this kind of imagination?\Hey! We brought treats!\Tomorrow's the big day!\Elfman! Lisanna!\Are you guys gonna watch the Grand Magic Games, too?!\Yeah.\To be honest, I wanted to be in it myself and show off for Lisanna and Nee-chan, response:	but giving up is also a Man!
context: Do all fiction writers have this kind of imagination?\Hey! We brought treats!\Tomorrow's the big day!\Elfman! Lisanna!\Are you guys gonna watch the Grand Magic Games, too?!\Yeah.\To be honest, I wanted to be in it myself and show off for Lisanna and Nee-chan,\but giving up is also a Man! response:	Good timing. Can I ask you a favor?
context: Hey! We brought treats!\Tomorrow's the big day!\Elfman! Lisanna!\Are you guys gonna watch the Grand Magic Games, too?!\Yeah.\To be honest, I wanted to be in it myself and show off for Lisanna and Nee-chan,\but giving up is also a Man!\Good timing. Can I ask you a favor? response:	What is it?
context: Tomorrow's the big day!\Elfman! Lisanna!\Are you guys gonna watch the Grand Magic Games, too?!\Yeah.\To be honest, I wanted to be in it myself and show off for Lisanna and Nee-chan,\but giving up is also a Man!\Good timing. Can I ask you a favor?\What is it? response:	Actually, Wendy hasn't come back to the inn yet.
context: Elfman! Lisanna!\Are you guys gonna watch the Grand Magic Games, too?!\Yeah.\To be honest, I wanted to be in it myself and show off for Lisanna and Nee-chan,\but giving up is also a Man!\Good timing. Can I ask you a favor?\What is it?\Actually, Wendy hasn't come back to the inn yet. response:	And we're apparently not supposed to do anything until after midnight.
context: Are you guys gonna watch the Grand Magic Games, too?!\Yeah.\To be honest, I wanted to be in it myself and show off for Lisanna and Nee-chan,\but giving up is also a Man!\Good timing. Can I ask you a favor?\What is it?\Actually, Wendy hasn't come back to the inn yet.\And we're apparently not supposed to do anything until after midnight. response:	Is something going to happen at midnight?
context: Yeah.\To be honest, I wanted to be in it myself and show off for Lisanna and Nee-chan,\but giving up is also a Man!\Good timing. Can I ask you a favor?\What is it?\Actually, Wendy hasn't come back to the inn yet.\And we're apparently not supposed to do anything until after midnight.\Is something going to happen at midnight? response:	I don't really know, but there's a rule that says we have to be here by midnight.
context: To be honest, I wanted to be in it myself and show off for Lisanna and Nee-chan,\but giving up is also a Man!\Good timing. Can I ask you a favor?\What is it?\Actually, Wendy hasn't come back to the inn yet.\And we're apparently not supposed to do anything until after midnight.\Is something going to happen at midnight?\I don't really know, but there's a rule that says we have to be here by midnight. response:	And as I say that, I notice it is midnight now...
context: but giving up is also a Man!\Good timing. Can I ask you a favor?\What is it?\Actually, Wendy hasn't come back to the inn yet.\And we're apparently not supposed to do anything until after midnight.\Is something going to happen at midnight?\I don't really know, but there's a rule that says we have to be here by midnight.\And as I say that, I notice it is midnight now... response:	What's gonna happen?!
context: Good timing. Can I ask you a favor?\What is it?\Actually, Wendy hasn't come back to the inn yet.\And we're apparently not supposed to do anything until after midnight.\Is something going to happen at midnight?\I don't really know, but there's a rule that says we have to be here by midnight.\And as I say that, I notice it is midnight now...\What's gonna happen?! response:	Everyone in the guilds who have gathered together for the Grand Magic Games...
context: What is it?\Actually, Wendy hasn't come back to the inn yet.\And we're apparently not supposed to do anything until after midnight.\Is something going to happen at midnight?\I don't really know, but there's a rule that says we have to be here by midnight.\And as I say that, I notice it is midnight now...\What's gonna happen?!\Everyone in the guilds who have gathered together for the Grand Magic Games... response:	Good morning!
context: Actually, Wendy hasn't come back to the inn yet.\And we're apparently not supposed to do anything until after midnight.\Is something going to happen at midnight?\I don't really know, but there's a rule that says we have to be here by midnight.\And as I say that, I notice it is midnight now...\What's gonna happen?!\Everyone in the guilds who have gathered together for the Grand Magic Games...\Good morning! response:	Outside?!
context: And we're apparently not supposed to do anything until after midnight.\Is something going to happen at midnight?\I don't really know, but there's a rule that says we have to be here by midnight.\And as I say that, I notice it is midnight now...\What's gonna happen?!\Everyone in the guilds who have gathered together for the Grand Magic Games...\Good morning!\Outside?! response:	What the hell is that?! It's huge!
context: Is something going to happen at midnight?\I don't really know, but there's a rule that says we have to be here by midnight.\And as I say that, I notice it is midnight now...\What's gonna happen?!\Everyone in the guilds who have gathered together for the Grand Magic Games...\Good morning!\Outside?!\What the hell is that?! It's huge! response:	A three-dimensional image!
context: I don't really know, but there's a rule that says we have to be here by midnight.\And as I say that, I notice it is midnight now...\What's gonna happen?!\Everyone in the guilds who have gathered together for the Grand Magic Games...\Good morning!\Outside?!\What the hell is that?! It's huge!\A three-dimensional image! response:	A pumpkin!
context: And as I say that, I notice it is midnight now...\What's gonna happen?!\Everyone in the guilds who have gathered together for the Grand Magic Games...\Good morning!\Outside?!\What the hell is that?! It's huge!\A three-dimensional image!\A pumpkin! response:	Beginning now, we're going to take the 113 participating teams
context: What's gonna happen?!\Everyone in the guilds who have gathered together for the Grand Magic Games...\Good morning!\Outside?!\What the hell is that?! It's huge!\A three-dimensional image!\A pumpkin!\Beginning now, we're going to take the 113 participating teams response:	and have an elimination round to pare them down to eight!
context: Everyone in the guilds who have gathered together for the Grand Magic Games...\Good morning!\Outside?!\What the hell is that?! It's huge!\A three-dimensional image!\A pumpkin!\Beginning now, we're going to take the 113 participating teams\and have an elimination round to pare them down to eight! response:	Elimination round?!
context: Good morning!\Outside?!\What the hell is that?! It's huge!\A three-dimensional image!\A pumpkin!\Beginning now, we're going to take the 113 participating teams\and have an elimination round to pare them down to eight!\Elimination round?! response:	We didn't hear about this!
context: Outside?!\What the hell is that?! It's huge!\A three-dimensional image!\A pumpkin!\Beginning now, we're going to take the 113 participating teams\and have an elimination round to pare them down to eight!\Elimination round?!\We didn't hear about this! response:	Was there an elimination round last time?
context: What the hell is that?! It's huge!\A three-dimensional image!\A pumpkin!\Beginning now, we're going to take the 113 participating teams\and have an elimination round to pare them down to eight!\Elimination round?!\We didn't hear about this!\Was there an elimination round last time? response:	No.
context: A three-dimensional image!\A pumpkin!\Beginning now, we're going to take the 113 participating teams\and have an elimination round to pare them down to eight!\Elimination round?!\We didn't hear about this!\Was there an elimination round last time?\No. response:	What does this mean?
context: A pumpkin!\Beginning now, we're going to take the 113 participating teams\and have an elimination round to pare them down to eight!\Elimination round?!\We didn't hear about this!\Was there an elimination round last time?\No.\What does this mean? response:	So midnight is the time the elimination round starts?
context: Beginning now, we're going to take the 113 participating teams\and have an elimination round to pare them down to eight!\Elimination round?!\We didn't hear about this!\Was there an elimination round last time?\No.\What does this mean?\So midnight is the time the elimination round starts? response:	And it'll suddenly narrow down 113 guilds to eight?
context: and have an elimination round to pare them down to eight!\Elimination round?!\We didn't hear about this!\Was there an elimination round last time?\No.\What does this mean?\So midnight is the time the elimination round starts?\And it'll suddenly narrow down 113 guilds to eight? response:	113...
context: Elimination round?!\We didn't hear about this!\Was there an elimination round last time?\No.\What does this mean?\So midnight is the time the elimination round starts?\And it'll suddenly narrow down 113 guilds to eight?\113... response:	Huh? That's more than the number of guilds in Fiore...
context: We didn't hear about this!\Was there an elimination round last time?\No.\What does this mean?\So midnight is the time the elimination round starts?\And it'll suddenly narrow down 113 guilds to eight?\113...\Huh? That's more than the number of guilds in Fiore... response:	They couldn't have notified everyone beforehand about an elimination round?
context: Was there an elimination round last time?\No.\What does this mean?\So midnight is the time the elimination round starts?\And it'll suddenly narrow down 113 guilds to eight?\113...\Huh? That's more than the number of guilds in Fiore...\They couldn't have notified everyone beforehand about an elimination round? response:	Peculiar behavior...
