context: In Use response:	Her injuries are minor,
context: Wakana is so strong.\Now I'm embarrassed.\I'm asking you to explain your reason!\What? The parents' heights?!\How is that relevant?!\What about a horse's connection with its rider?\My daughter is serious about this!\She's been riding since she was a little girl. response:	She can care for them, too.
context: Now I'm embarrassed.\I'm asking you to explain your reason!\What? The parents' heights?!\How is that relevant?!\What about a horse's connection with its rider?\My daughter is serious about this!\She's been riding since she was a little girl.\She can care for them, too. response:	She's a gentle girl, who understands the
context: I'm asking you to explain your reason!\What? The parents' heights?!\How is that relevant?!\What about a horse's connection with its rider?\My daughter is serious about this!\She's been riding since she was a little girl.\She can care for them, too.\She's a gentle girl, who understands the response:	hearts of horses better than anyone...
context: What? The parents' heights?!\How is that relevant?!\What about a horse's connection with its rider?\My daughter is serious about this!\She's been riding since she was a little girl.\She can care for them, too.\She's a gentle girl, who understands the\hearts of horses better than anyone... response:	What?!
context: How is that relevant?!\What about a horse's connection with its rider?\My daughter is serious about this!\She's been riding since she was a little girl.\She can care for them, too.\She's a gentle girl, who understands the\hearts of horses better than anyone...\What?! response:	I dare you to say that again!
context: What about a horse's connection with its rider?\My daughter is serious about this!\She's been riding since she was a little girl.\She can care for them, too.\She's a gentle girl, who understands the\hearts of horses better than anyone...\What?!\I dare you to say that again! response:	You're dealing with a monk, here!
context: My daughter is serious about this!\She's been riding since she was a little girl.\She can care for them, too.\She's a gentle girl, who understands the\hearts of horses better than anyone...\What?!\I dare you to say that again!\You're dealing with a monk, here! response:	I'll send you straight to hell! Bam!
context: She's been riding since she was a little girl.\She can care for them, too.\She's a gentle girl, who understands the\hearts of horses better than anyone...\What?!\I dare you to say that again!\You're dealing with a monk, here!\I'll send you straight to hell! Bam! response:	My daughter's been through hell.
context: She can care for them, too.\She's a gentle girl, who understands the\hearts of horses better than anyone...\What?!\I dare you to say that again!\You're dealing with a monk, here!\I'll send you straight to hell! Bam!\My daughter's been through hell. response:	She's been so worried,
context: She's a gentle girl, who understands the\hearts of horses better than anyone...\What?!\I dare you to say that again!\You're dealing with a monk, here!\I'll send you straight to hell! Bam!\My daughter's been through hell.\She's been so worried, response:	she went on a ridiculous diet
context: hearts of horses better than anyone...\What?!\I dare you to say that again!\You're dealing with a monk, here!\I'll send you straight to hell! Bam!\My daughter's been through hell.\She's been so worried,\she went on a ridiculous diet response:	that made her fall off her horse.
context: What?!\I dare you to say that again!\You're dealing with a monk, here!\I'll send you straight to hell! Bam!\My daughter's been through hell.\She's been so worried,\she went on a ridiculous diet\that made her fall off her horse. response:	Understand?
context: I dare you to say that again!\You're dealing with a monk, here!\I'll send you straight to hell! Bam!\My daughter's been through hell.\She's been so worried,\she went on a ridiculous diet\that made her fall off her horse.\Understand? response:	She's serious.
context: You're dealing with a monk, here!\I'll send you straight to hell! Bam!\My daughter's been through hell.\She's been so worried,\she went on a ridiculous diet\that made her fall off her horse.\Understand?\She's serious. response:	No matter what he says, you mean the world to him.
context: I'll send you straight to hell! Bam!\My daughter's been through hell.\She's been so worried,\she went on a ridiculous diet\that made her fall off her horse.\Understand?\She's serious.\No matter what he says, you mean the world to him. response:	He's just terrible at expressing his feelings.
context: My daughter's been through hell.\She's been so worried,\she went on a ridiculous diet\that made her fall off her horse.\Understand?\She's serious.\No matter what he says, you mean the world to him.\He's just terrible at expressing his feelings. response:	I'll talk to the school.
context: She's been so worried,\she went on a ridiculous diet\that made her fall off her horse.\Understand?\She's serious.\No matter what he says, you mean the world to him.\He's just terrible at expressing his feelings.\I'll talk to the school. response:	You should apologize to your father.
context: she went on a ridiculous diet\that made her fall off her horse.\Understand?\She's serious.\No matter what he says, you mean the world to him.\He's just terrible at expressing his feelings.\I'll talk to the school.\You should apologize to your father. response:	I can't.
context: that made her fall off her horse.\Understand?\She's serious.\No matter what he says, you mean the world to him.\He's just terrible at expressing his feelings.\I'll talk to the school.\You should apologize to your father.\I can't. response:	Please leave a message after the beep.
context: Understand?\She's serious.\No matter what he says, you mean the world to him.\He's just terrible at expressing his feelings.\I'll talk to the school.\You should apologize to your father.\I can't.\Please leave a message after the beep. response:	Sawa, are you listening?
context: She's serious.\No matter what he says, you mean the world to him.\He's just terrible at expressing his feelings.\I'll talk to the school.\You should apologize to your father.\I can't.\Please leave a message after the beep.\Sawa, are you listening? response:	I only have one thing to say.
context: No matter what he says, you mean the world to him.\He's just terrible at expressing his feelings.\I'll talk to the school.\You should apologize to your father.\I can't.\Please leave a message after the beep.\Sawa, are you listening?\I only have one thing to say. response:	I care about you.
context: He's just terrible at expressing his feelings.\I'll talk to the school.\You should apologize to your father.\I can't.\Please leave a message after the beep.\Sawa, are you listening?\I only have one thing to say.\I care about you. response:	I'll always be here for you, if you'll let me!
context: I'll talk to the school.\You should apologize to your father.\I can't.\Please leave a message after the beep.\Sawa, are you listening?\I only have one thing to say.\I care about you.\I'll always be here for you, if you'll let me! response:	And we're still waiting for you.
context: You should apologize to your father.\I can't.\Please leave a message after the beep.\Sawa, are you listening?\I only have one thing to say.\I care about you.\I'll always be here for you, if you'll let me!\And we're still waiting for you. response:	That's two things.
context: I can't.\Please leave a message after the beep.\Sawa, are you listening?\I only have one thing to say.\I care about you.\I'll always be here for you, if you'll let me!\And we're still waiting for you.\That's two things. response:	Anyway, Miyamoto Konatsu will now sing.
context: Please leave a message after the beep.\Sawa, are you listening?\I only have one thing to say.\I care about you.\I'll always be here for you, if you'll let me!\And we're still waiting for you.\That's two things.\Anyway, Miyamoto Konatsu will now sing. response:	I believe in you.
context: Sawa, are you listening?\I only have one thing to say.\I care about you.\I'll always be here for you, if you'll let me!\And we're still waiting for you.\That's two things.\Anyway, Miyamoto Konatsu will now sing.\I believe in you. response:	Sawa, I'll wait for you forever.
context: I only have one thing to say.\I care about you.\I'll always be here for you, if you'll let me!\And we're still waiting for you.\That's two things.\Anyway, Miyamoto Konatsu will now sing.\I believe in you.\Sawa, I'll wait for you forever. response:	Here.
context: I care about you.\I'll always be here for you, if you'll let me!\And we're still waiting for you.\That's two things.\Anyway, Miyamoto Konatsu will now sing.\I believe in you.\Sawa, I'll wait for you forever.\Here. response:	Huh?
context: I'll always be here for you, if you'll let me!\And we're still waiting for you.\That's two things.\Anyway, Miyamoto Konatsu will now sing.\I believe in you.\Sawa, I'll wait for you forever.\Here.\Huh? response:	With the courage to accept what can't be changed,
context: And we're still waiting for you.\That's two things.\Anyway, Miyamoto Konatsu will now sing.\I believe in you.\Sawa, I'll wait for you forever.\Here.\Huh?\With the courage to accept what can't be changed, response:	you'll move forward again.
context: That's two things.\Anyway, Miyamoto Konatsu will now sing.\I believe in you.\Sawa, I'll wait for you forever.\Here.\Huh?\With the courage to accept what can't be changed,\you'll move forward again. response:	Here.
context: Anyway, Miyamoto Konatsu will now sing.\I believe in you.\Sawa, I'll wait for you forever.\Here.\Huh?\With the courage to accept what can't be changed,\you'll move forward again.\Here. response:	Okay.
context: I believe in you.\Sawa, I'll wait for you forever.\Here.\Huh?\With the courage to accept what can't be changed,\you'll move forward again.\Here.\Okay. response:	Even if you stumble, even if you lose a match,
context: Sawa, I'll wait for you forever.\Here.\Huh?\With the courage to accept what can't be changed,\you'll move forward again.\Here.\Okay.\Even if you stumble, even if you lose a match, response:	there's always tomorrow.
context: Here.\Huh?\With the courage to accept what can't be changed,\you'll move forward again.\Here.\Okay.\Even if you stumble, even if you lose a match,\there's always tomorrow. response:	Here.
context: Huh?\With the courage to accept what can't be changed,\you'll move forward again.\Here.\Okay.\Even if you stumble, even if you lose a match,\there's always tomorrow.\Here. response:	The light of hope burns bright forevermore,
context: With the courage to accept what can't be changed,\you'll move forward again.\Here.\Okay.\Even if you stumble, even if you lose a match,\there's always tomorrow.\Here.\The light of hope burns bright forevermore, response:	because you are a hero.
context: you'll move forward again.\Here.\Okay.\Even if you stumble, even if you lose a match,\there's always tomorrow.\Here.\The light of hope burns bright forevermore,\because you are a hero. response:	That's right, you're a hero!
context: Here.\Okay.\Even if you stumble, even if you lose a match,\there's always tomorrow.\Here.\The light of hope burns bright forevermore,\because you are a hero.\That's right, you're a hero! response:	Sawa, that was our
context: Okay.\Even if you stumble, even if you lose a match,\there's always tomorrow.\Here.\The light of hope burns bright forevermore,\because you are a hero.\That's right, you're a hero!\Sawa, that was our response:	What a weird song.
context: Even if you stumble, even if you lose a match,\there's always tomorrow.\Here.\The light of hope burns bright forevermore,\because you are a hero.\That's right, you're a hero!\Sawa, that was our\What a weird song. response:	You were listening?
context: there's always tomorrow.\Here.\The light of hope burns bright forevermore,\because you are a hero.\That's right, you're a hero!\Sawa, that was our\What a weird song.\You were listening? response:	Yep, I was.
context: Here.\The light of hope burns bright forevermore,\because you are a hero.\That's right, you're a hero!\Sawa, that was our\What a weird song.\You were listening?\Yep, I was. response:	We're in big trouble!
context: The light of hope burns bright forevermore,\because you are a hero.\That's right, you're a hero!\Sawa, that was our\What a weird song.\You were listening?\Yep, I was.\We're in big trouble! response:	The vice principal said we have to
context: because you are a hero.\That's right, you're a hero!\Sawa, that was our\What a weird song.\You were listening?\Yep, I was.\We're in big trouble!\The vice principal said we have to response:	Yeah, I know.
context: That's right, you're a hero!\Sawa, that was our\What a weird song.\You were listening?\Yep, I was.\We're in big trouble!\The vice principal said we have to\Yeah, I know. response:	I'm on my way, so wait right there!
context: Sawa, that was our\What a weird song.\You were listening?\Yep, I was.\We're in big trouble!\The vice principal said we have to\Yeah, I know.\I'm on my way, so wait right there! response:	But we're taking the train.
context: What a weird song.\You were listening?\Yep, I was.\We're in big trouble!\The vice principal said we have to\Yeah, I know.\I'm on my way, so wait right there!\But we're taking the train. response:	Oh, right. Sorry.
context: You were listening?\Yep, I was.\We're in big trouble!\The vice principal said we have to\Yeah, I know.\I'm on my way, so wait right there!\But we're taking the train.\Oh, right. Sorry. response:	I'm off!
context: Yep, I was.\We're in big trouble!\The vice principal said we have to\Yeah, I know.\I'm on my way, so wait right there!\But we're taking the train.\Oh, right. Sorry.\I'm off! response:	Okay, see you later.
context: We're in big trouble!\The vice principal said we have to\Yeah, I know.\I'm on my way, so wait right there!\But we're taking the train.\Oh, right. Sorry.\I'm off!\Okay, see you later. response:	Must be our turn soon.
context: The vice principal said we have to\Yeah, I know.\I'm on my way, so wait right there!\But we're taking the train.\Oh, right. Sorry.\I'm off!\Okay, see you later.\Must be our turn soon. response:	Think Sawa will make it?
context: Yeah, I know.\I'm on my way, so wait right there!\But we're taking the train.\Oh, right. Sorry.\I'm off!\Okay, see you later.\Must be our turn soon.\Think Sawa will make it? response:	Choir club, please get ready.
context: I'm on my way, so wait right there!\But we're taking the train.\Oh, right. Sorry.\I'm off!\Okay, see you later.\Must be our turn soon.\Think Sawa will make it?\Choir club, please get ready. response:	We're first?!
context: But we're taking the train.\Oh, right. Sorry.\I'm off!\Okay, see you later.\Must be our turn soon.\Think Sawa will make it?\Choir club, please get ready.\We're first?! response:	I wish we could've all been here for this.
context: Oh, right. Sorry.\I'm off!\Okay, see you later.\Must be our turn soon.\Think Sawa will make it?\Choir club, please get ready.\We're first?!\I wish we could've all been here for this. response:	I've got it!
context: I'm off!\Okay, see you later.\Must be our turn soon.\Think Sawa will make it?\Choir club, please get ready.\We're first?!\I wish we could've all been here for this.\I've got it! response:	Push in Case of Emergency
context: Okay, see you later.\Must be our turn soon.\Think Sawa will make it?\Choir club, please get ready.\We're first?!\I wish we could've all been here for this.\I've got it!\Push in Case of Emergency response:	Don't do it!
context: Must be our turn soon.\Think Sawa will make it?\Choir club, please get ready.\We're first?!\I wish we could've all been here for this.\I've got it!\Push in Case of Emergency\Don't do it! response:	If this isn't an emergency, then what is?
context: Think Sawa will make it?\Choir club, please get ready.\We're first?!\I wish we could've all been here for this.\I've got it!\Push in Case of Emergency\Don't do it!\If this isn't an emergency, then what is? response:	Not this, that's for sure!
context: Choir club, please get ready.\We're first?!\I wish we could've all been here for this.\I've got it!\Push in Case of Emergency\Don't do it!\If this isn't an emergency, then what is?\Not this, that's for sure! response:	Forget the festival, our club will be disbanded!
context: We're first?!\I wish we could've all been here for this.\I've got it!\Push in Case of Emergency\Don't do it!\If this isn't an emergency, then what is?\Not this, that's for sure!\Forget the festival, our club will be disbanded! response:	Vice principal, there is a call for you.
context: I wish we could've all been here for this.\I've got it!\Push in Case of Emergency\Don't do it!\If this isn't an emergency, then what is?\Not this, that's for sure!\Forget the festival, our club will be disbanded!\Vice principal, there is a call for you. response:	Please come to the telephone.
context: I've got it!\Push in Case of Emergency\Don't do it!\If this isn't an emergency, then what is?\Not this, that's for sure!\Forget the festival, our club will be disbanded!\Vice principal, there is a call for you.\Please come to the telephone. response:	Vice principal, there is a call for you.
context: Push in Case of Emergency\Don't do it!\If this isn't an emergency, then what is?\Not this, that's for sure!\Forget the festival, our club will be disbanded!\Vice principal, there is a call for you.\Please come to the telephone.\Vice principal, there is a call for you. response:	Please come to the telephone.
context: Don't do it!\If this isn't an emergency, then what is?\Not this, that's for sure!\Forget the festival, our club will be disbanded!\Vice principal, there is a call for you.\Please come to the telephone.\Vice principal, there is a call for you.\Please come to the telephone. response:	Was that you?
context: If this isn't an emergency, then what is?\Not this, that's for sure!\Forget the festival, our club will be disbanded!\Vice principal, there is a call for you.\Please come to the telephone.\Vice principal, there is a call for you.\Please come to the telephone.\Was that you? response:	Please hurry, Sabure!
context: Not this, that's for sure!\Forget the festival, our club will be disbanded!\Vice principal, there is a call for you.\Please come to the telephone.\Vice principal, there is a call for you.\Please come to the telephone.\Was that you?\Please hurry, Sabure! response:	Vice principal, there is a call for you.
context: Forget the festival, our club will be disbanded!\Vice principal, there is a call for you.\Please come to the telephone.\Vice principal, there is a call for you.\Please come to the telephone.\Was that you?\Please hurry, Sabure!\Vice principal, there is a call for you. response:	Please come to the telephone.
context: Vice principal, there is a call for you.\Please come to the telephone.\Vice principal, there is a call for you.\Please come to the telephone.\Was that you?\Please hurry, Sabure!\Vice principal, there is a call for you.\Please come to the telephone. response:	Wait!
context: Please come to the telephone.\Vice principal, there is a call for you.\Please come to the telephone.\Was that you?\Please hurry, Sabure!\Vice principal, there is a call for you.\Please come to the telephone.\Wait! response:	I made it!
context: Vice principal, there is a call for you.\Please come to the telephone.\Was that you?\Please hurry, Sabure!\Vice principal, there is a call for you.\Please come to the telephone.\Wait!\I made it! response:	Yeah!
context: Please come to the telephone.\Was that you?\Please hurry, Sabure!\Vice principal, there is a call for you.\Please come to the telephone.\Wait!\I made it!\Yeah! response:	I like red.
context: Was that you?\Please hurry, Sabure!\Vice principal, there is a call for you.\Please come to the telephone.\Wait!\I made it!\Yeah!\I like red. response:	Are we really wearing this?
context: Please hurry, Sabure!\Vice principal, there is a call for you.\Please come to the telephone.\Wait!\I made it!\Yeah!\I like red.\Are we really wearing this? response:	Bursting with flavor! Whitebait White!
context: Vice principal, there is a call for you.\Please come to the telephone.\Wait!\I made it!\Yeah!\I like red.\Are we really wearing this?\Bursting with flavor! Whitebait White! response:	Energy Charge!
context: Please come to the telephone.\Wait!\I made it!\Yeah!\I like red.\Are we really wearing this?\Bursting with flavor! Whitebait White!\Energy Charge! response:	Episode 9 Turning White and Turning Red
context: Wait!\I made it!\Yeah!\I like red.\Are we really wearing this?\Bursting with flavor! Whitebait White!\Energy Charge!\Episode 9 Turning White and Turning Red response:	Meat Red!
context: I made it!\Yeah!\I like red.\Are we really wearing this?\Bursting with flavor! Whitebait White!\Energy Charge!\Episode 9 Turning White and Turning Red\Meat Red! response:	I don't want curry.
