context: Plastic Surgery Yu Otosaka, 15 yr old male attending doctor: Dr. Koike response:	It hurts...
context: Tomori?\What? Why are you so surprised?\W-Well... It was rather sudden.\I was able to be discharged from the hospital a bit earlier,\so I thought I'd have a chat with you.\Did you hear anything from your big brother?\He said that Japan will soon be involved in the activities of overseas terrorists.\I see... response:	Big Brother has all his life knocked out of him. He seems like a different person...
context: What? Why are you so surprised?\W-Well... It was rather sudden.\I was able to be discharged from the hospital a bit earlier,\so I thought I'd have a chat with you.\Did you hear anything from your big brother?\He said that Japan will soon be involved in the activities of overseas terrorists.\I see...\Big Brother has all his life knocked out of him. He seems like a different person... response:	Dangerous people may keep showing up in the future, coming after me.
context: W-Well... It was rather sudden.\I was able to be discharged from the hospital a bit earlier,\so I thought I'd have a chat with you.\Did you hear anything from your big brother?\He said that Japan will soon be involved in the activities of overseas terrorists.\I see...\Big Brother has all his life knocked out of him. He seems like a different person...\Dangerous people may keep showing up in the future, coming after me. response:	I don't want to lose anyone, or make anyone miserable ever again...
context: I was able to be discharged from the hospital a bit earlier,\so I thought I'd have a chat with you.\Did you hear anything from your big brother?\He said that Japan will soon be involved in the activities of overseas terrorists.\I see...\Big Brother has all his life knocked out of him. He seems like a different person...\Dangerous people may keep showing up in the future, coming after me.\I don't want to lose anyone, or make anyone miserable ever again... response:	If there is something I could do with my powers, I'd like to do. But I don't know how.
context: so I thought I'd have a chat with you.\Did you hear anything from your big brother?\He said that Japan will soon be involved in the activities of overseas terrorists.\I see...\Big Brother has all his life knocked out of him. He seems like a different person...\Dangerous people may keep showing up in the future, coming after me.\I don't want to lose anyone, or make anyone miserable ever again...\If there is something I could do with my powers, I'd like to do. But I don't know how. response:	Tomori... What should I do?
context: Did you hear anything from your big brother?\He said that Japan will soon be involved in the activities of overseas terrorists.\I see...\Big Brother has all his life knocked out of him. He seems like a different person...\Dangerous people may keep showing up in the future, coming after me.\I don't want to lose anyone, or make anyone miserable ever again...\If there is something I could do with my powers, I'd like to do. But I don't know how.\Tomori... What should I do? response:	There is one way.
context: He said that Japan will soon be involved in the activities of overseas terrorists.\I see...\Big Brother has all his life knocked out of him. He seems like a different person...\Dangerous people may keep showing up in the future, coming after me.\I don't want to lose anyone, or make anyone miserable ever again...\If there is something I could do with my powers, I'd like to do. But I don't know how.\Tomori... What should I do?\There is one way. response:	What is it? Tell me!
context: I see...\Big Brother has all his life knocked out of him. He seems like a different person...\Dangerous people may keep showing up in the future, coming after me.\I don't want to lose anyone, or make anyone miserable ever again...\If there is something I could do with my powers, I'd like to do. But I don't know how.\Tomori... What should I do?\There is one way.\What is it? Tell me! response:	Your big brother's research facility has already ceated a vaccine
context: Big Brother has all his life knocked out of him. He seems like a different person...\Dangerous people may keep showing up in the future, coming after me.\I don't want to lose anyone, or make anyone miserable ever again...\If there is something I could do with my powers, I'd like to do. But I don't know how.\Tomori... What should I do?\There is one way.\What is it? Tell me!\Your big brother's research facility has already ceated a vaccine response:	to prevent creation of ability-wielders the next time the comet swings by, right?
context: Dangerous people may keep showing up in the future, coming after me.\I don't want to lose anyone, or make anyone miserable ever again...\If there is something I could do with my powers, I'd like to do. But I don't know how.\Tomori... What should I do?\There is one way.\What is it? Tell me!\Your big brother's research facility has already ceated a vaccine\to prevent creation of ability-wielders the next time the comet swings by, right? response:	Yeah.
context: I don't want to lose anyone, or make anyone miserable ever again...\If there is something I could do with my powers, I'd like to do. But I don't know how.\Tomori... What should I do?\There is one way.\What is it? Tell me!\Your big brother's research facility has already ceated a vaccine\to prevent creation of ability-wielders the next time the comet swings by, right?\Yeah. response:	Then, everything will end if you loot every ability that exists in this world today.
context: If there is something I could do with my powers, I'd like to do. But I don't know how.\Tomori... What should I do?\There is one way.\What is it? Tell me!\Your big brother's research facility has already ceated a vaccine\to prevent creation of ability-wielders the next time the comet swings by, right?\Yeah.\Then, everything will end if you loot every ability that exists in this world today. response:	As well as the abilities that will be sprouting from now on.
context: Tomori... What should I do?\There is one way.\What is it? Tell me!\Your big brother's research facility has already ceated a vaccine\to prevent creation of ability-wielders the next time the comet swings by, right?\Yeah.\Then, everything will end if you loot every ability that exists in this world today.\As well as the abilities that will be sprouting from now on. response:	Of course, this has risks as well.
context: There is one way.\What is it? Tell me!\Your big brother's research facility has already ceated a vaccine\to prevent creation of ability-wielders the next time the comet swings by, right?\Yeah.\Then, everything will end if you loot every ability that exists in this world today.\As well as the abilities that will be sprouting from now on.\Of course, this has risks as well. response:	What will happen to you after gaining thousands, even tens of thousands, of special abilities.
context: What is it? Tell me!\Your big brother's research facility has already ceated a vaccine\to prevent creation of ability-wielders the next time the comet swings by, right?\Yeah.\Then, everything will end if you loot every ability that exists in this world today.\As well as the abilities that will be sprouting from now on.\Of course, this has risks as well.\What will happen to you after gaining thousands, even tens of thousands, of special abilities. response:	What will happen?
context: Your big brother's research facility has already ceated a vaccine\to prevent creation of ability-wielders the next time the comet swings by, right?\Yeah.\Then, everything will end if you loot every ability that exists in this world today.\As well as the abilities that will be sprouting from now on.\Of course, this has risks as well.\What will happen to you after gaining thousands, even tens of thousands, of special abilities.\What will happen? response:	You might turn into a monster that can potentially annihilate the entire human race.
context: to prevent creation of ability-wielders the next time the comet swings by, right?\Yeah.\Then, everything will end if you loot every ability that exists in this world today.\As well as the abilities that will be sprouting from now on.\Of course, this has risks as well.\What will happen to you after gaining thousands, even tens of thousands, of special abilities.\What will happen?\You might turn into a monster that can potentially annihilate the entire human race. response:	And even then, will you be able to stay sane and hold yourself back?
context: Yeah.\Then, everything will end if you loot every ability that exists in this world today.\As well as the abilities that will be sprouting from now on.\Of course, this has risks as well.\What will happen to you after gaining thousands, even tens of thousands, of special abilities.\What will happen?\You might turn into a monster that can potentially annihilate the entire human race.\And even then, will you be able to stay sane and hold yourself back? response:	Bluntly put, it would be a feat of strength.
context: Then, everything will end if you loot every ability that exists in this world today.\As well as the abilities that will be sprouting from now on.\Of course, this has risks as well.\What will happen to you after gaining thousands, even tens of thousands, of special abilities.\What will happen?\You might turn into a monster that can potentially annihilate the entire human race.\And even then, will you be able to stay sane and hold yourself back?\Bluntly put, it would be a feat of strength. response:	But, it is something that only you can do.
context: As well as the abilities that will be sprouting from now on.\Of course, this has risks as well.\What will happen to you after gaining thousands, even tens of thousands, of special abilities.\What will happen?\You might turn into a monster that can potentially annihilate the entire human race.\And even then, will you be able to stay sane and hold yourself back?\Bluntly put, it would be a feat of strength.\But, it is something that only you can do. response:	That is the only method that I can think of that can save all of the ability-wielders.
context: Of course, this has risks as well.\What will happen to you after gaining thousands, even tens of thousands, of special abilities.\What will happen?\You might turn into a monster that can potentially annihilate the entire human race.\And even then, will you be able to stay sane and hold yourself back?\Bluntly put, it would be a feat of strength.\But, it is something that only you can do.\That is the only method that I can think of that can save all of the ability-wielders. response:	To be honest, I wasn't planning on having this talk with you.
context: What will happen to you after gaining thousands, even tens of thousands, of special abilities.\What will happen?\You might turn into a monster that can potentially annihilate the entire human race.\And even then, will you be able to stay sane and hold yourself back?\Bluntly put, it would be a feat of strength.\But, it is something that only you can do.\That is the only method that I can think of that can save all of the ability-wielders.\To be honest, I wasn't planning on having this talk with you. response:	However, you came back from the future in order to save Ayumi,
context: What will happen?\You might turn into a monster that can potentially annihilate the entire human race.\And even then, will you be able to stay sane and hold yourself back?\Bluntly put, it would be a feat of strength.\But, it is something that only you can do.\That is the only method that I can think of that can save all of the ability-wielders.\To be honest, I wasn't planning on having this talk with you.\However, you came back from the future in order to save Ayumi, response:	and you came to rescue me and Kumagami.
context: You might turn into a monster that can potentially annihilate the entire human race.\And even then, will you be able to stay sane and hold yourself back?\Bluntly put, it would be a feat of strength.\But, it is something that only you can do.\That is the only method that I can think of that can save all of the ability-wielders.\To be honest, I wasn't planning on having this talk with you.\However, you came back from the future in order to save Ayumi,\and you came to rescue me and Kumagami. response:	I had thought you were merely a fiend of cheating on tests,
context: And even then, will you be able to stay sane and hold yourself back?\Bluntly put, it would be a feat of strength.\But, it is something that only you can do.\That is the only method that I can think of that can save all of the ability-wielders.\To be honest, I wasn't planning on having this talk with you.\However, you came back from the future in order to save Ayumi,\and you came to rescue me and Kumagami.\I had thought you were merely a fiend of cheating on tests, response:	but who you are now is someone I can believe in.
context: Bluntly put, it would be a feat of strength.\But, it is something that only you can do.\That is the only method that I can think of that can save all of the ability-wielders.\To be honest, I wasn't planning on having this talk with you.\However, you came back from the future in order to save Ayumi,\and you came to rescue me and Kumagami.\I had thought you were merely a fiend of cheating on tests,\but who you are now is someone I can believe in. response:	Your opinion of me has changed so drastically.
context: But, it is something that only you can do.\That is the only method that I can think of that can save all of the ability-wielders.\To be honest, I wasn't planning on having this talk with you.\However, you came back from the future in order to save Ayumi,\and you came to rescue me and Kumagami.\I had thought you were merely a fiend of cheating on tests,\but who you are now is someone I can believe in.\Your opinion of me has changed so drastically. response:	Well, this is way too reckless for it to be one of my tactics. Please forget I said that.
context: That is the only method that I can think of that can save all of the ability-wielders.\To be honest, I wasn't planning on having this talk with you.\However, you came back from the future in order to save Ayumi,\and you came to rescue me and Kumagami.\I had thought you were merely a fiend of cheating on tests,\but who you are now is someone I can believe in.\Your opinion of me has changed so drastically.\Well, this is way too reckless for it to be one of my tactics. Please forget I said that. response:	Then, I will leave you with that for today. Please take care.
context: To be honest, I wasn't planning on having this talk with you.\However, you came back from the future in order to save Ayumi,\and you came to rescue me and Kumagami.\I had thought you were merely a fiend of cheating on tests,\but who you are now is someone I can believe in.\Your opinion of me has changed so drastically.\Well, this is way too reckless for it to be one of my tactics. Please forget I said that.\Then, I will leave you with that for today. Please take care. response:	Hold on.
context: However, you came back from the future in order to save Ayumi,\and you came to rescue me and Kumagami.\I had thought you were merely a fiend of cheating on tests,\but who you are now is someone I can believe in.\Your opinion of me has changed so drastically.\Well, this is way too reckless for it to be one of my tactics. Please forget I said that.\Then, I will leave you with that for today. Please take care.\Hold on. response:	I'll try it.
context: and you came to rescue me and Kumagami.\I had thought you were merely a fiend of cheating on tests,\but who you are now is someone I can believe in.\Your opinion of me has changed so drastically.\Well, this is way too reckless for it to be one of my tactics. Please forget I said that.\Then, I will leave you with that for today. Please take care.\Hold on.\I'll try it. response:	No, no, it's pretty reckless.
context: I had thought you were merely a fiend of cheating on tests,\but who you are now is someone I can believe in.\Your opinion of me has changed so drastically.\Well, this is way too reckless for it to be one of my tactics. Please forget I said that.\Then, I will leave you with that for today. Please take care.\Hold on.\I'll try it.\No, no, it's pretty reckless. response:	I'm serious. I owe you one.
context: but who you are now is someone I can believe in.\Your opinion of me has changed so drastically.\Well, this is way too reckless for it to be one of my tactics. Please forget I said that.\Then, I will leave you with that for today. Please take care.\Hold on.\I'll try it.\No, no, it's pretty reckless.\I'm serious. I owe you one. response:	And if you're saying that this is the only way, then I'll do this.
context: Your opinion of me has changed so drastically.\Well, this is way too reckless for it to be one of my tactics. Please forget I said that.\Then, I will leave you with that for today. Please take care.\Hold on.\I'll try it.\No, no, it's pretty reckless.\I'm serious. I owe you one.\And if you're saying that this is the only way, then I'll do this. response:	Your motive is a bit weak.
context: Well, this is way too reckless for it to be one of my tactics. Please forget I said that.\Then, I will leave you with that for today. Please take care.\Hold on.\I'll try it.\No, no, it's pretty reckless.\I'm serious. I owe you one.\And if you're saying that this is the only way, then I'll do this.\Your motive is a bit weak. response:	But, something like what happened may happen again.
context: Then, I will leave you with that for today. Please take care.\Hold on.\I'll try it.\No, no, it's pretty reckless.\I'm serious. I owe you one.\And if you're saying that this is the only way, then I'll do this.\Your motive is a bit weak.\But, something like what happened may happen again. response:	This time, I want to be the one that saves you. That's why.
context: Hold on.\I'll try it.\No, no, it's pretty reckless.\I'm serious. I owe you one.\And if you're saying that this is the only way, then I'll do this.\Your motive is a bit weak.\But, something like what happened may happen again.\This time, I want to be the one that saves you. That's why. response:	Why?
context: I'll try it.\No, no, it's pretty reckless.\I'm serious. I owe you one.\And if you're saying that this is the only way, then I'll do this.\Your motive is a bit weak.\But, something like what happened may happen again.\This time, I want to be the one that saves you. That's why.\Why? response:	Because I love you.
context: No, no, it's pretty reckless.\I'm serious. I owe you one.\And if you're saying that this is the only way, then I'll do this.\Your motive is a bit weak.\But, something like what happened may happen again.\This time, I want to be the one that saves you. That's why.\Why?\Because I love you. response:	What's that? A romance or something?
context: I'm serious. I owe you one.\And if you're saying that this is the only way, then I'll do this.\Your motive is a bit weak.\But, something like what happened may happen again.\This time, I want to be the one that saves you. That's why.\Why?\Because I love you.\What's that? A romance or something? response:	That's right, romance.
context: And if you're saying that this is the only way, then I'll do this.\Your motive is a bit weak.\But, something like what happened may happen again.\This time, I want to be the one that saves you. That's why.\Why?\Because I love you.\What's that? A romance or something?\That's right, romance. response:	You say that with such a straight face.
context: Your motive is a bit weak.\But, something like what happened may happen again.\This time, I want to be the one that saves you. That's why.\Why?\Because I love you.\What's that? A romance or something?\That's right, romance.\You say that with such a straight face. response:	I don't think there was ever a time for you to think favorably of me.
context: But, something like what happened may happen again.\This time, I want to be the one that saves you. That's why.\Why?\Because I love you.\What's that? A romance or something?\That's right, romance.\You say that with such a straight face.\I don't think there was ever a time for you to think favorably of me. response:	I've said this before in a different world,
context: This time, I want to be the one that saves you. That's why.\Why?\Because I love you.\What's that? A romance or something?\That's right, romance.\You say that with such a straight face.\I don't think there was ever a time for you to think favorably of me.\I've said this before in a different world, response:	I threw myself into despair and kept falling into an abyss.
context: Why?\Because I love you.\What's that? A romance or something?\That's right, romance.\You say that with such a straight face.\I don't think there was ever a time for you to think favorably of me.\I've said this before in a different world,\I threw myself into despair and kept falling into an abyss. response:	You were there next to me, watching over me the whole time.
context: Because I love you.\What's that? A romance or something?\That's right, romance.\You say that with such a straight face.\I don't think there was ever a time for you to think favorably of me.\I've said this before in a different world,\I threw myself into despair and kept falling into an abyss.\You were there next to me, watching over me the whole time. response:	This is just a guess, but wasn't that my way of taking responsibility?
context: What's that? A romance or something?\That's right, romance.\You say that with such a straight face.\I don't think there was ever a time for you to think favorably of me.\I've said this before in a different world,\I threw myself into despair and kept falling into an abyss.\You were there next to me, watching over me the whole time.\This is just a guess, but wasn't that my way of taking responsibility? response:	But that still saved me.
context: That's right, romance.\You say that with such a straight face.\I don't think there was ever a time for you to think favorably of me.\I've said this before in a different world,\I threw myself into despair and kept falling into an abyss.\You were there next to me, watching over me the whole time.\This is just a guess, but wasn't that my way of taking responsibility?\But that still saved me. response:	So, how do you trip up from there for it to evolve into romance?
context: You say that with such a straight face.\I don't think there was ever a time for you to think favorably of me.\I've said this before in a different world,\I threw myself into despair and kept falling into an abyss.\You were there next to me, watching over me the whole time.\This is just a guess, but wasn't that my way of taking responsibility?\But that still saved me.\So, how do you trip up from there for it to evolve into romance? response:	I cannot comprehend at all.
context: I don't think there was ever a time for you to think favorably of me.\I've said this before in a different world,\I threw myself into despair and kept falling into an abyss.\You were there next to me, watching over me the whole time.\This is just a guess, but wasn't that my way of taking responsibility?\But that still saved me.\So, how do you trip up from there for it to evolve into romance?\I cannot comprehend at all. response:	Like you need reasoning to fall in love!
context: I've said this before in a different world,\I threw myself into despair and kept falling into an abyss.\You were there next to me, watching over me the whole time.\This is just a guess, but wasn't that my way of taking responsibility?\But that still saved me.\So, how do you trip up from there for it to evolve into romance?\I cannot comprehend at all.\Like you need reasoning to fall in love! response:	What? You're the one that used it as a reason!
context: I threw myself into despair and kept falling into an abyss.\You were there next to me, watching over me the whole time.\This is just a guess, but wasn't that my way of taking responsibility?\But that still saved me.\So, how do you trip up from there for it to evolve into romance?\I cannot comprehend at all.\Like you need reasoning to fall in love!\What? You're the one that used it as a reason! response:	See, our compatibility is absolutely the worst.
context: You were there next to me, watching over me the whole time.\This is just a guess, but wasn't that my way of taking responsibility?\But that still saved me.\So, how do you trip up from there for it to evolve into romance?\I cannot comprehend at all.\Like you need reasoning to fall in love!\What? You're the one that used it as a reason!\See, our compatibility is absolutely the worst. response:	But I still love you.
context: This is just a guess, but wasn't that my way of taking responsibility?\But that still saved me.\So, how do you trip up from there for it to evolve into romance?\I cannot comprehend at all.\Like you need reasoning to fall in love!\What? You're the one that used it as a reason!\See, our compatibility is absolutely the worst.\But I still love you. response:	My, what a strange one.
context: But that still saved me.\So, how do you trip up from there for it to evolve into romance?\I cannot comprehend at all.\Like you need reasoning to fall in love!\What? You're the one that used it as a reason!\See, our compatibility is absolutely the worst.\But I still love you.\My, what a strange one. response:	Say whatever you like.
context: So, how do you trip up from there for it to evolve into romance?\I cannot comprehend at all.\Like you need reasoning to fall in love!\What? You're the one that used it as a reason!\See, our compatibility is absolutely the worst.\But I still love you.\My, what a strange one.\Say whatever you like. response:	I'll say it. I'll be waiting.
context: I cannot comprehend at all.\Like you need reasoning to fall in love!\What? You're the one that used it as a reason!\See, our compatibility is absolutely the worst.\But I still love you.\My, what a strange one.\Say whatever you like.\I'll say it. I'll be waiting. response:	For what?
context: Like you need reasoning to fall in love!\What? You're the one that used it as a reason!\See, our compatibility is absolutely the worst.\But I still love you.\My, what a strange one.\Say whatever you like.\I'll say it. I'll be waiting.\For what? response:	For when I'll see you once again, after you save every single ability-wielder.
context: What? You're the one that used it as a reason!\See, our compatibility is absolutely the worst.\But I still love you.\My, what a strange one.\Say whatever you like.\I'll say it. I'll be waiting.\For what?\For when I'll see you once again, after you save every single ability-wielder. response:	And then, we can become lovers.
context: See, our compatibility is absolutely the worst.\But I still love you.\My, what a strange one.\Say whatever you like.\I'll say it. I'll be waiting.\For what?\For when I'll see you once again, after you save every single ability-wielder.\And then, we can become lovers. response:	Aren't you overestimating my abilities just a bit?
context: But I still love you.\My, what a strange one.\Say whatever you like.\I'll say it. I'll be waiting.\For what?\For when I'll see you once again, after you save every single ability-wielder.\And then, we can become lovers.\Aren't you overestimating my abilities just a bit? response:	That is precisely why.
context: My, what a strange one.\Say whatever you like.\I'll say it. I'll be waiting.\For what?\For when I'll see you once again, after you save every single ability-wielder.\And then, we can become lovers.\Aren't you overestimating my abilities just a bit?\That is precisely why. response:	If you really pull this off, I am sure to unconditionally find Yu Otosaka dear to me.
context: Say whatever you like.\I'll say it. I'll be waiting.\For what?\For when I'll see you once again, after you save every single ability-wielder.\And then, we can become lovers.\Aren't you overestimating my abilities just a bit?\That is precisely why.\If you really pull this off, I am sure to unconditionally find Yu Otosaka dear to me. response:	That sounds really good.
context: I'll say it. I'll be waiting.\For what?\For when I'll see you once again, after you save every single ability-wielder.\And then, we can become lovers.\Aren't you overestimating my abilities just a bit?\That is precisely why.\If you really pull this off, I am sure to unconditionally find Yu Otosaka dear to me.\That sounds really good. response:	Has that increased your motivation?
context: For what?\For when I'll see you once again, after you save every single ability-wielder.\And then, we can become lovers.\Aren't you overestimating my abilities just a bit?\That is precisely why.\If you really pull this off, I am sure to unconditionally find Yu Otosaka dear to me.\That sounds really good.\Has that increased your motivation? response:	Yeah. Rather suddenly.
context: For when I'll see you once again, after you save every single ability-wielder.\And then, we can become lovers.\Aren't you overestimating my abilities just a bit?\That is precisely why.\If you really pull this off, I am sure to unconditionally find Yu Otosaka dear to me.\That sounds really good.\Has that increased your motivation?\Yeah. Rather suddenly. response:	Then promise me that you'll come back. We shall meet again. For sure.
context: And then, we can become lovers.\Aren't you overestimating my abilities just a bit?\That is precisely why.\If you really pull this off, I am sure to unconditionally find Yu Otosaka dear to me.\That sounds really good.\Has that increased your motivation?\Yeah. Rather suddenly.\Then promise me that you'll come back. We shall meet again. For sure. response:	Yeah. I'll make sure to come back.
context: Aren't you overestimating my abilities just a bit?\That is precisely why.\If you really pull this off, I am sure to unconditionally find Yu Otosaka dear to me.\That sounds really good.\Has that increased your motivation?\Yeah. Rather suddenly.\Then promise me that you'll come back. We shall meet again. For sure.\Yeah. I'll make sure to come back. response:	If you lie, cut off the tip of a finger! Pinky promise!
context: That is precisely why.\If you really pull this off, I am sure to unconditionally find Yu Otosaka dear to me.\That sounds really good.\Has that increased your motivation?\Yeah. Rather suddenly.\Then promise me that you'll come back. We shall meet again. For sure.\Yeah. I'll make sure to come back.\If you lie, cut off the tip of a finger! Pinky promise! response:	That's a scary promise.
context: If you really pull this off, I am sure to unconditionally find Yu Otosaka dear to me.\That sounds really good.\Has that increased your motivation?\Yeah. Rather suddenly.\Then promise me that you'll come back. We shall meet again. For sure.\Yeah. I'll make sure to come back.\If you lie, cut off the tip of a finger! Pinky promise!\That's a scary promise. response:	I felt it was better than swallowing a thousand needles.
context: That sounds really good.\Has that increased your motivation?\Yeah. Rather suddenly.\Then promise me that you'll come back. We shall meet again. For sure.\Yeah. I'll make sure to come back.\If you lie, cut off the tip of a finger! Pinky promise!\That's a scary promise.\I felt it was better than swallowing a thousand needles. response:	Definitely.
context: Has that increased your motivation?\Yeah. Rather suddenly.\Then promise me that you'll come back. We shall meet again. For sure.\Yeah. I'll make sure to come back.\If you lie, cut off the tip of a finger! Pinky promise!\That's a scary promise.\I felt it was better than swallowing a thousand needles.\Definitely. response:	Yep.
context: Yeah. Rather suddenly.\Then promise me that you'll come back. We shall meet again. For sure.\Yeah. I'll make sure to come back.\If you lie, cut off the tip of a finger! Pinky promise!\That's a scary promise.\I felt it was better than swallowing a thousand needles.\Definitely.\Yep. response:	Then, start with me.
context: Then promise me that you'll come back. We shall meet again. For sure.\Yeah. I'll make sure to come back.\If you lie, cut off the tip of a finger! Pinky promise!\That's a scary promise.\I felt it was better than swallowing a thousand needles.\Definitely.\Yep.\Then, start with me. response:	You're going to loot every single ability, right?
context: Yeah. I'll make sure to come back.\If you lie, cut off the tip of a finger! Pinky promise!\That's a scary promise.\I felt it was better than swallowing a thousand needles.\Definitely.\Yep.\Then, start with me.\You're going to loot every single ability, right? response:	I see. What I'm about to do...
context: If you lie, cut off the tip of a finger! Pinky promise!\That's a scary promise.\I felt it was better than swallowing a thousand needles.\Definitely.\Yep.\Then, start with me.\You're going to loot every single ability, right?\I see. What I'm about to do... response:	This is exactly what it entails.
context: That's a scary promise.\I felt it was better than swallowing a thousand needles.\Definitely.\Yep.\Then, start with me.\You're going to loot every single ability, right?\I see. What I'm about to do...\This is exactly what it entails. response:	Yes. Go ahead.
context: I felt it was better than swallowing a thousand needles.\Definitely.\Yep.\Then, start with me.\You're going to loot every single ability, right?\I see. What I'm about to do...\This is exactly what it entails.\Yes. Go ahead. response:	I'm sorry.
context: Definitely.\Yep.\Then, start with me.\You're going to loot every single ability, right?\I see. What I'm about to do...\This is exactly what it entails.\Yes. Go ahead.\I'm sorry. response:	There's no need to apologize. This will return me to a proper human.
context: Yep.\Then, start with me.\You're going to loot every single ability, right?\I see. What I'm about to do...\This is exactly what it entails.\Yes. Go ahead.\I'm sorry.\There's no need to apologize. This will return me to a proper human. response:	Thank you very much.
context: Then, start with me.\You're going to loot every single ability, right?\I see. What I'm about to do...\This is exactly what it entails.\Yes. Go ahead.\I'm sorry.\There's no need to apologize. This will return me to a proper human.\Thank you very much. response:	Big Brother, I want you to listen to what I have to say.
context: You're going to loot every single ability, right?\I see. What I'm about to do...\This is exactly what it entails.\Yes. Go ahead.\I'm sorry.\There's no need to apologize. This will return me to a proper human.\Thank you very much.\Big Brother, I want you to listen to what I have to say. response:	I will go plunder the ability of every wielder all over the world, and save them.
context: I see. What I'm about to do...\This is exactly what it entails.\Yes. Go ahead.\I'm sorry.\There's no need to apologize. This will return me to a proper human.\Thank you very much.\Big Brother, I want you to listen to what I have to say.\I will go plunder the ability of every wielder all over the world, and save them. response:	That's impossible. Don't bother.
context: This is exactly what it entails.\Yes. Go ahead.\I'm sorry.\There's no need to apologize. This will return me to a proper human.\Thank you very much.\Big Brother, I want you to listen to what I have to say.\I will go plunder the ability of every wielder all over the world, and save them.\That's impossible. Don't bother. response:	But, I'm the strongest of all ability-wielders, right?
context: Yes. Go ahead.\I'm sorry.\There's no need to apologize. This will return me to a proper human.\Thank you very much.\Big Brother, I want you to listen to what I have to say.\I will go plunder the ability of every wielder all over the world, and save them.\That's impossible. Don't bother.\But, I'm the strongest of all ability-wielders, right? response:	I don't want to put Kumagami's life to waste!
context: I'm sorry.\There's no need to apologize. This will return me to a proper human.\Thank you very much.\Big Brother, I want you to listen to what I have to say.\I will go plunder the ability of every wielder all over the world, and save them.\That's impossible. Don't bother.\But, I'm the strongest of all ability-wielders, right?\I don't want to put Kumagami's life to waste! response:	You can say the same thing for me!
context: There's no need to apologize. This will return me to a proper human.\Thank you very much.\Big Brother, I want you to listen to what I have to say.\I will go plunder the ability of every wielder all over the world, and save them.\That's impossible. Don't bother.\But, I'm the strongest of all ability-wielders, right?\I don't want to put Kumagami's life to waste!\You can say the same thing for me! response:	Dammit! Dammit!
context: Thank you very much.\Big Brother, I want you to listen to what I have to say.\I will go plunder the ability of every wielder all over the world, and save them.\That's impossible. Don't bother.\But, I'm the strongest of all ability-wielders, right?\I don't want to put Kumagami's life to waste!\You can say the same thing for me!\Dammit! Dammit! response:	How he saved me so much by being at my side!
context: Big Brother, I want you to listen to what I have to say.\I will go plunder the ability of every wielder all over the world, and save them.\That's impossible. Don't bother.\But, I'm the strongest of all ability-wielders, right?\I don't want to put Kumagami's life to waste!\You can say the same thing for me!\Dammit! Dammit!\How he saved me so much by being at my side! response:	But I didn't even get to say thanks to him in the end!
context: I will go plunder the ability of every wielder all over the world, and save them.\That's impossible. Don't bother.\But, I'm the strongest of all ability-wielders, right?\I don't want to put Kumagami's life to waste!\You can say the same thing for me!\Dammit! Dammit!\How he saved me so much by being at my side!\But I didn't even get to say thanks to him in the end! response:	That's why I'm going to go.
context: That's impossible. Don't bother.\But, I'm the strongest of all ability-wielders, right?\I don't want to put Kumagami's life to waste!\You can say the same thing for me!\Dammit! Dammit!\How he saved me so much by being at my side!\But I didn't even get to say thanks to him in the end!\That's why I'm going to go. response:	So that people important to me will no longer suffer misfortune.
context: But, I'm the strongest of all ability-wielders, right?\I don't want to put Kumagami's life to waste!\You can say the same thing for me!\Dammit! Dammit!\How he saved me so much by being at my side!\But I didn't even get to say thanks to him in the end!\That's why I'm going to go.\So that people important to me will no longer suffer misfortune. response:	That feeling is the same for you after losing Kumagami, right Big Brother?
context: I don't want to put Kumagami's life to waste!\You can say the same thing for me!\Dammit! Dammit!\How he saved me so much by being at my side!\But I didn't even get to say thanks to him in the end!\That's why I'm going to go.\So that people important to me will no longer suffer misfortune.\That feeling is the same for you after losing Kumagami, right Big Brother? response:	Are you serious about this?
context: You can say the same thing for me!\Dammit! Dammit!\How he saved me so much by being at my side!\But I didn't even get to say thanks to him in the end!\That's why I'm going to go.\So that people important to me will no longer suffer misfortune.\That feeling is the same for you after losing Kumagami, right Big Brother?\Are you serious about this? response:	Of course. I've already taken Tomori's ability.
context: Dammit! Dammit!\How he saved me so much by being at my side!\But I didn't even get to say thanks to him in the end!\That's why I'm going to go.\So that people important to me will no longer suffer misfortune.\That feeling is the same for you after losing Kumagami, right Big Brother?\Are you serious about this?\Of course. I've already taken Tomori's ability. response:	Taken?
context: How he saved me so much by being at my side!\But I didn't even get to say thanks to him in the end!\That's why I'm going to go.\So that people important to me will no longer suffer misfortune.\That feeling is the same for you after losing Kumagami, right Big Brother?\Are you serious about this?\Of course. I've already taken Tomori's ability.\Taken? response:	It has already begun. I'm not turning back.
context: But I didn't even get to say thanks to him in the end!\That's why I'm going to go.\So that people important to me will no longer suffer misfortune.\That feeling is the same for you after losing Kumagami, right Big Brother?\Are you serious about this?\Of course. I've already taken Tomori's ability.\Taken?\It has already begun. I'm not turning back. response:	South 404 Plastic Surgery Yu Otosaka
context: That's why I'm going to go.\So that people important to me will no longer suffer misfortune.\That feeling is the same for you after losing Kumagami, right Big Brother?\Are you serious about this?\Of course. I've already taken Tomori's ability.\Taken?\It has already begun. I'm not turning back.\South 404 Plastic Surgery Yu Otosaka response:	That's some determination.
