context: Okay! Let's adjust the suspension. response:	Good work.
context: Sometimes we fight, sometimes help each other... And that's just how we live.\Query: What is the significance of that?\As long as everyone can live free of worry, that's all that matters.\The answer is unclear.\The behavioral objective of the human race is subjugating the enemy, the Hideauze.\Without that, the human race has no stable development.\Really?\Humans like you are culled immediately by the Galactic Alliance. response:	Culled...
context: Query: What is the significance of that?\As long as everyone can live free of worry, that's all that matters.\The answer is unclear.\The behavioral objective of the human race is subjugating the enemy, the Hideauze.\Without that, the human race has no stable development.\Really?\Humans like you are culled immediately by the Galactic Alliance.\Culled... response:	But if that's the case, what would become of the Galactic Alliance
context: As long as everyone can live free of worry, that's all that matters.\The answer is unclear.\The behavioral objective of the human race is subjugating the enemy, the Hideauze.\Without that, the human race has no stable development.\Really?\Humans like you are culled immediately by the Galactic Alliance.\Culled...\But if that's the case, what would become of the Galactic Alliance response:	if the Hideauze are beaten completely?
context: The answer is unclear.\The behavioral objective of the human race is subjugating the enemy, the Hideauze.\Without that, the human race has no stable development.\Really?\Humans like you are culled immediately by the Galactic Alliance.\Culled...\But if that's the case, what would become of the Galactic Alliance\if the Hideauze are beaten completely? response:	What are you going to do, Ledo?
context: The behavioral objective of the human race is subjugating the enemy, the Hideauze.\Without that, the human race has no stable development.\Really?\Humans like you are culled immediately by the Galactic Alliance.\Culled...\But if that's the case, what would become of the Galactic Alliance\if the Hideauze are beaten completely?\What are you going to do, Ledo? response:	I would stand by until I receive further instructions.
context: Without that, the human race has no stable development.\Really?\Humans like you are culled immediately by the Galactic Alliance.\Culled...\But if that's the case, what would become of the Galactic Alliance\if the Hideauze are beaten completely?\What are you going to do, Ledo?\I would stand by until I receive further instructions. response:	Then what if those instructions don't come?
context: Really?\Humans like you are culled immediately by the Galactic Alliance.\Culled...\But if that's the case, what would become of the Galactic Alliance\if the Hideauze are beaten completely?\What are you going to do, Ledo?\I would stand by until I receive further instructions.\Then what if those instructions don't come? response:	I will just continue to stand by.
context: Humans like you are culled immediately by the Galactic Alliance.\Culled...\But if that's the case, what would become of the Galactic Alliance\if the Hideauze are beaten completely?\What are you going to do, Ledo?\I would stand by until I receive further instructions.\Then what if those instructions don't come?\I will just continue to stand by. response:	Then you're the same as us, huh?
context: Culled...\But if that's the case, what would become of the Galactic Alliance\if the Hideauze are beaten completely?\What are you going to do, Ledo?\I would stand by until I receive further instructions.\Then what if those instructions don't come?\I will just continue to stand by.\Then you're the same as us, huh? response:	Same?
context: But if that's the case, what would become of the Galactic Alliance\if the Hideauze are beaten completely?\What are you going to do, Ledo?\I would stand by until I receive further instructions.\Then what if those instructions don't come?\I will just continue to stand by.\Then you're the same as us, huh?\Same? response:	After all, standing by means continuing to live, right?
context: if the Hideauze are beaten completely?\What are you going to do, Ledo?\I would stand by until I receive further instructions.\Then what if those instructions don't come?\I will just continue to stand by.\Then you're the same as us, huh?\Same?\After all, standing by means continuing to live, right? response:	Ledo, I heard Joe took your Yunboro away?
context: What are you going to do, Ledo?\I would stand by until I receive further instructions.\Then what if those instructions don't come?\I will just continue to stand by.\Then you're the same as us, huh?\Same?\After all, standing by means continuing to live, right?\Ledo, I heard Joe took your Yunboro away? response:	It's a shame, the hero being sidelined.
context: I would stand by until I receive further instructions.\Then what if those instructions don't come?\I will just continue to stand by.\Then you're the same as us, huh?\Same?\After all, standing by means continuing to live, right?\Ledo, I heard Joe took your Yunboro away?\It's a shame, the hero being sidelined. response:	Ledo?
context: Then what if those instructions don't come?\I will just continue to stand by.\Then you're the same as us, huh?\Same?\After all, standing by means continuing to live, right?\Ledo, I heard Joe took your Yunboro away?\It's a shame, the hero being sidelined.\Ledo? response:	Query: Are my actions beneficial?
context: I will just continue to stand by.\Then you're the same as us, huh?\Same?\After all, standing by means continuing to live, right?\Ledo, I heard Joe took your Yunboro away?\It's a shame, the hero being sidelined.\Ledo?\Query: Are my actions beneficial? response:	Yours, Ledo?
context: Then you're the same as us, huh?\Same?\After all, standing by means continuing to live, right?\Ledo, I heard Joe took your Yunboro away?\It's a shame, the hero being sidelined.\Ledo?\Query: Are my actions beneficial?\Yours, Ledo? response:	You routed the pirates, remember?
context: Same?\After all, standing by means continuing to live, right?\Ledo, I heard Joe took your Yunboro away?\It's a shame, the hero being sidelined.\Ledo?\Query: Are my actions beneficial?\Yours, Ledo?\You routed the pirates, remember? response:	Right now, all I am doing is observing Chamber.
context: After all, standing by means continuing to live, right?\Ledo, I heard Joe took your Yunboro away?\It's a shame, the hero being sidelined.\Ledo?\Query: Are my actions beneficial?\Yours, Ledo?\You routed the pirates, remember?\Right now, all I am doing is observing Chamber. response:	You're just not used to it here.
context: Ledo, I heard Joe took your Yunboro away?\It's a shame, the hero being sidelined.\Ledo?\Query: Are my actions beneficial?\Yours, Ledo?\You routed the pirates, remember?\Right now, all I am doing is observing Chamber.\You're just not used to it here. response:	I am unable to determine my own course of action.
context: It's a shame, the hero being sidelined.\Ledo?\Query: Are my actions beneficial?\Yours, Ledo?\You routed the pirates, remember?\Right now, all I am doing is observing Chamber.\You're just not used to it here.\I am unable to determine my own course of action. response:	Course of action, huh?
context: Ledo?\Query: Are my actions beneficial?\Yours, Ledo?\You routed the pirates, remember?\Right now, all I am doing is observing Chamber.\You're just not used to it here.\I am unable to determine my own course of action.\Course of action, huh? response:	First of all, why don't you knock off that kind of military-style thinking?
context: Query: Are my actions beneficial?\Yours, Ledo?\You routed the pirates, remember?\Right now, all I am doing is observing Chamber.\You're just not used to it here.\I am unable to determine my own course of action.\Course of action, huh?\First of all, why don't you knock off that kind of military-style thinking? response:	Knock... off?
context: Yours, Ledo?\You routed the pirates, remember?\Right now, all I am doing is observing Chamber.\You're just not used to it here.\I am unable to determine my own course of action.\Course of action, huh?\First of all, why don't you knock off that kind of military-style thinking?\Knock... off? response:	That's right. Be more flexible with...
context: You routed the pirates, remember?\Right now, all I am doing is observing Chamber.\You're just not used to it here.\I am unable to determine my own course of action.\Course of action, huh?\First of all, why don't you knock off that kind of military-style thinking?\Knock... off?\That's right. Be more flexible with... response:	Rain!
context: Right now, all I am doing is observing Chamber.\You're just not used to it here.\I am unable to determine my own course of action.\Course of action, huh?\First of all, why don't you knock off that kind of military-style thinking?\Knock... off?\That's right. Be more flexible with...\Rain! response:	Collect the rain!
context: You're just not used to it here.\I am unable to determine my own course of action.\Course of action, huh?\First of all, why don't you knock off that kind of military-style thinking?\Knock... off?\That's right. Be more flexible with...\Rain!\Collect the rain! response:	What is this?! What's happening?!
context: I am unable to determine my own course of action.\Course of action, huh?\First of all, why don't you knock off that kind of military-style thinking?\Knock... off?\That's right. Be more flexible with...\Rain!\Collect the rain!\What is this?! What's happening?! response:	Weather phenomena. It is not poisonous.
context: Course of action, huh?\First of all, why don't you knock off that kind of military-style thinking?\Knock... off?\That's right. Be more flexible with...\Rain!\Collect the rain!\What is this?! What's happening?!\Weather phenomena. It is not poisonous. response:	This is an emergency situation! Have your Yunboro gather the rain!
context: First of all, why don't you knock off that kind of military-style thinking?\Knock... off?\That's right. Be more flexible with...\Rain!\Collect the rain!\What is this?! What's happening?!\Weather phenomena. It is not poisonous.\This is an emergency situation! Have your Yunboro gather the rain! response:	Fresh water is precious!
context: Knock... off?\That's right. Be more flexible with...\Rain!\Collect the rain!\What is this?! What's happening?!\Weather phenomena. It is not poisonous.\This is an emergency situation! Have your Yunboro gather the rain!\Fresh water is precious! response:	What... should I do?
context: That's right. Be more flexible with...\Rain!\Collect the rain!\What is this?! What's happening?!\Weather phenomena. It is not poisonous.\This is an emergency situation! Have your Yunboro gather the rain!\Fresh water is precious!\What... should I do? response:	There's a tarp over there! Spread it out to collect the water!
context: Rain!\Collect the rain!\What is this?! What's happening?!\Weather phenomena. It is not poisonous.\This is an emergency situation! Have your Yunboro gather the rain!\Fresh water is precious!\What... should I do?\There's a tarp over there! Spread it out to collect the water! response:	Chamber!
context: Collect the rain!\What is this?! What's happening?!\Weather phenomena. It is not poisonous.\This is an emergency situation! Have your Yunboro gather the rain!\Fresh water is precious!\What... should I do?\There's a tarp over there! Spread it out to collect the water!\Chamber! response:	Roger!
context: What is this?! What's happening?!\Weather phenomena. It is not poisonous.\This is an emergency situation! Have your Yunboro gather the rain!\Fresh water is precious!\What... should I do?\There's a tarp over there! Spread it out to collect the water!\Chamber!\Roger! response:	Right! Just like that!
context: Weather phenomena. It is not poisonous.\This is an emergency situation! Have your Yunboro gather the rain!\Fresh water is precious!\What... should I do?\There's a tarp over there! Spread it out to collect the water!\Chamber!\Roger!\Right! Just like that! response:	There is a change in your brainwaves.
context: This is an emergency situation! Have your Yunboro gather the rain!\Fresh water is precious!\What... should I do?\There's a tarp over there! Spread it out to collect the water!\Chamber!\Roger!\Right! Just like that!\There is a change in your brainwaves. response:	I'm just wondering about how our side is doing in the war.
context: Fresh water is precious!\What... should I do?\There's a tarp over there! Spread it out to collect the water!\Chamber!\Roger!\Right! Just like that!\There is a change in your brainwaves.\I'm just wondering about how our side is doing in the war. response:	Given the present circumstances, such consideration is meaningless.
context: What... should I do?\There's a tarp over there! Spread it out to collect the water!\Chamber!\Roger!\Right! Just like that!\There is a change in your brainwaves.\I'm just wondering about how our side is doing in the war.\Given the present circumstances, such consideration is meaningless. response:	I know.
context: There's a tarp over there! Spread it out to collect the water!\Chamber!\Roger!\Right! Just like that!\There is a change in your brainwaves.\I'm just wondering about how our side is doing in the war.\Given the present circumstances, such consideration is meaningless.\I know. response:	I spy the handsome guy!
context: Chamber!\Roger!\Right! Just like that!\There is a change in your brainwaves.\I'm just wondering about how our side is doing in the war.\Given the present circumstances, such consideration is meaningless.\I know.\I spy the handsome guy! response:	He really is good-looking...
context: Roger!\Right! Just like that!\There is a change in your brainwaves.\I'm just wondering about how our side is doing in the war.\Given the present circumstances, such consideration is meaningless.\I know.\I spy the handsome guy!\He really is good-looking... response:	But I kind of feel sorry for him, all alone in a place he knows nothing about...
context: Right! Just like that!\There is a change in your brainwaves.\I'm just wondering about how our side is doing in the war.\Given the present circumstances, such consideration is meaningless.\I know.\I spy the handsome guy!\He really is good-looking...\But I kind of feel sorry for him, all alone in a place he knows nothing about... response:	I can tell, he'll be fine!
context: There is a change in your brainwaves.\I'm just wondering about how our side is doing in the war.\Given the present circumstances, such consideration is meaningless.\I know.\I spy the handsome guy!\He really is good-looking...\But I kind of feel sorry for him, all alone in a place he knows nothing about...\I can tell, he'll be fine! response:	Right?
context: I'm just wondering about how our side is doing in the war.\Given the present circumstances, such consideration is meaningless.\I know.\I spy the handsome guy!\He really is good-looking...\But I kind of feel sorry for him, all alone in a place he knows nothing about...\I can tell, he'll be fine!\Right? response:	You're worried about him, aren't you?! Get over there!
context: Given the present circumstances, such consideration is meaningless.\I know.\I spy the handsome guy!\He really is good-looking...\But I kind of feel sorry for him, all alone in a place he knows nothing about...\I can tell, he'll be fine!\Right?\You're worried about him, aren't you?! Get over there! response:	Ledo...
context: I know.\I spy the handsome guy!\He really is good-looking...\But I kind of feel sorry for him, all alone in a place he knows nothing about...\I can tell, he'll be fine!\Right?\You're worried about him, aren't you?! Get over there!\Ledo... response:	You're soaked. You're gonna catch a cold.
context: I spy the handsome guy!\He really is good-looking...\But I kind of feel sorry for him, all alone in a place he knows nothing about...\I can tell, he'll be fine!\Right?\You're worried about him, aren't you?! Get over there!\Ledo...\You're soaked. You're gonna catch a cold. response:	Dry off at my place.
context: He really is good-looking...\But I kind of feel sorry for him, all alone in a place he knows nothing about...\I can tell, he'll be fine!\Right?\You're worried about him, aren't you?! Get over there!\Ledo...\You're soaked. You're gonna catch a cold.\Dry off at my place. response:	Sure seems like it was some squall.
context: But I kind of feel sorry for him, all alone in a place he knows nothing about...\I can tell, he'll be fine!\Right?\You're worried about him, aren't you?! Get over there!\Ledo...\You're soaked. You're gonna catch a cold.\Dry off at my place.\Sure seems like it was some squall. response:	That was my first observation of concentrated rain.
context: I can tell, he'll be fine!\Right?\You're worried about him, aren't you?! Get over there!\Ledo...\You're soaked. You're gonna catch a cold.\Dry off at my place.\Sure seems like it was some squall.\That was my first observation of concentrated rain. response:	Is there rain in space, too?
context: Right?\You're worried about him, aren't you?! Get over there!\Ledo...\You're soaked. You're gonna catch a cold.\Dry off at my place.\Sure seems like it was some squall.\That was my first observation of concentrated rain.\Is there rain in space, too? response:	No.
context: You're worried about him, aren't you?! Get over there!\Ledo...\You're soaked. You're gonna catch a cold.\Dry off at my place.\Sure seems like it was some squall.\That was my first observation of concentrated rain.\Is there rain in space, too?\No. response:	Are there oceans?
context: Ledo...\You're soaked. You're gonna catch a cold.\Dry off at my place.\Sure seems like it was some squall.\That was my first observation of concentrated rain.\Is there rain in space, too?\No.\Are there oceans? response:	No.
context: You're soaked. You're gonna catch a cold.\Dry off at my place.\Sure seems like it was some squall.\That was my first observation of concentrated rain.\Is there rain in space, too?\No.\Are there oceans?\No. response:	And people who are sick, like me...
context: Dry off at my place.\Sure seems like it was some squall.\That was my first observation of concentrated rain.\Is there rain in space, too?\No.\Are there oceans?\No.\And people who are sick, like me... response:	Do not exist.
context: Sure seems like it was some squall.\That was my first observation of concentrated rain.\Is there rain in space, too?\No.\Are there oceans?\No.\And people who are sick, like me...\Do not exist. response:	But I don't think of myself as unnecessary.
context: That was my first observation of concentrated rain.\Is there rain in space, too?\No.\Are there oceans?\No.\And people who are sick, like me...\Do not exist.\But I don't think of myself as unnecessary. response:	I have my big sister.
context: Is there rain in space, too?\No.\Are there oceans?\No.\And people who are sick, like me...\Do not exist.\But I don't think of myself as unnecessary.\I have my big sister. response:	Amy?
context: No.\Are there oceans?\No.\And people who are sick, like me...\Do not exist.\But I don't think of myself as unnecessary.\I have my big sister.\Amy? response:	My sister needs me.
context: Are there oceans?\No.\And people who are sick, like me...\Do not exist.\But I don't think of myself as unnecessary.\I have my big sister.\Amy?\My sister needs me. response:	Somebody must need you, too, Ledo. That's why you've been able to survive all this time.
context: No.\And people who are sick, like me...\Do not exist.\But I don't think of myself as unnecessary.\I have my big sister.\Amy?\My sister needs me.\Somebody must need you, too, Ledo. That's why you've been able to survive all this time. response:	In the war, only those who can be of service are needed to survive.
context: And people who are sick, like me...\Do not exist.\But I don't think of myself as unnecessary.\I have my big sister.\Amy?\My sister needs me.\Somebody must need you, too, Ledo. That's why you've been able to survive all this time.\In the war, only those who can be of service are needed to survive. response:	Then what about the opposite? Isn't there someone whom you need, Ledo?
context: Do not exist.\But I don't think of myself as unnecessary.\I have my big sister.\Amy?\My sister needs me.\Somebody must need you, too, Ledo. That's why you've been able to survive all this time.\In the war, only those who can be of service are needed to survive.\Then what about the opposite? Isn't there someone whom you need, Ledo? response:	My sister and I need each other.
context: But I don't think of myself as unnecessary.\I have my big sister.\Amy?\My sister needs me.\Somebody must need you, too, Ledo. That's why you've been able to survive all this time.\In the war, only those who can be of service are needed to survive.\Then what about the opposite? Isn't there someone whom you need, Ledo?\My sister and I need each other. response:	And more than anything, I need myself.
context: I have my big sister.\Amy?\My sister needs me.\Somebody must need you, too, Ledo. That's why you've been able to survive all this time.\In the war, only those who can be of service are needed to survive.\Then what about the opposite? Isn't there someone whom you need, Ledo?\My sister and I need each other.\And more than anything, I need myself. response:	That's why I'm alive.
context: Amy?\My sister needs me.\Somebody must need you, too, Ledo. That's why you've been able to survive all this time.\In the war, only those who can be of service are needed to survive.\Then what about the opposite? Isn't there someone whom you need, Ledo?\My sister and I need each other.\And more than anything, I need myself.\That's why I'm alive. response:	To the Alliance, a useful existence has no attachment to survival.
context: My sister needs me.\Somebody must need you, too, Ledo. That's why you've been able to survive all this time.\In the war, only those who can be of service are needed to survive.\Then what about the opposite? Isn't there someone whom you need, Ledo?\My sister and I need each other.\And more than anything, I need myself.\That's why I'm alive.\To the Alliance, a useful existence has no attachment to survival. response:	Then what was this to you, Ledo?
context: Somebody must need you, too, Ledo. That's why you've been able to survive all this time.\In the war, only those who can be of service are needed to survive.\Then what about the opposite? Isn't there someone whom you need, Ledo?\My sister and I need each other.\And more than anything, I need myself.\That's why I'm alive.\To the Alliance, a useful existence has no attachment to survival.\Then what was this to you, Ledo? response:	That...
context: In the war, only those who can be of service are needed to survive.\Then what about the opposite? Isn't there someone whom you need, Ledo?\My sister and I need each other.\And more than anything, I need myself.\That's why I'm alive.\To the Alliance, a useful existence has no attachment to survival.\Then what was this to you, Ledo?\That... response:	Sis told me you were making it, but didn't know what it was.
context: Then what about the opposite? Isn't there someone whom you need, Ledo?\My sister and I need each other.\And more than anything, I need myself.\That's why I'm alive.\To the Alliance, a useful existence has no attachment to survival.\Then what was this to you, Ledo?\That...\Sis told me you were making it, but didn't know what it was. response:	This has to be a flute, right?
context: My sister and I need each other.\And more than anything, I need myself.\That's why I'm alive.\To the Alliance, a useful existence has no attachment to survival.\Then what was this to you, Ledo?\That...\Sis told me you were making it, but didn't know what it was.\This has to be a flute, right? response:	It's not necessary at all for war.
context: And more than anything, I need myself.\That's why I'm alive.\To the Alliance, a useful existence has no attachment to survival.\Then what was this to you, Ledo?\That...\Sis told me you were making it, but didn't know what it was.\This has to be a flute, right?\It's not necessary at all for war. response:	Flu...te...?
context: That's why I'm alive.\To the Alliance, a useful existence has no attachment to survival.\Then what was this to you, Ledo?\That...\Sis told me you were making it, but didn't know what it was.\This has to be a flute, right?\It's not necessary at all for war.\Flu...te...? response:	Yeah. It can produce a sound.
context: To the Alliance, a useful existence has no attachment to survival.\Then what was this to you, Ledo?\That...\Sis told me you were making it, but didn't know what it was.\This has to be a flute, right?\It's not necessary at all for war.\Flu...te...?\Yeah. It can produce a sound. response:	Ledo, what's wrong?
context: Then what was this to you, Ledo?\That...\Sis told me you were making it, but didn't know what it was.\This has to be a flute, right?\It's not necessary at all for war.\Flu...te...?\Yeah. It can produce a sound.\Ledo, what's wrong? response:	You're crying.
context: That...\Sis told me you were making it, but didn't know what it was.\This has to be a flute, right?\It's not necessary at all for war.\Flu...te...?\Yeah. It can produce a sound.\Ledo, what's wrong?\You're crying. response:	This is...
context: Sis told me you were making it, but didn't know what it was.\This has to be a flute, right?\It's not necessary at all for war.\Flu...te...?\Yeah. It can produce a sound.\Ledo, what's wrong?\You're crying.\This is... response:	Did I say something wrong?
context: This has to be a flute, right?\It's not necessary at all for war.\Flu...te...?\Yeah. It can produce a sound.\Ledo, what's wrong?\You're crying.\This is...\Did I say something wrong? response:	No! I... don't know...
context: It's not necessary at all for war.\Flu...te...?\Yeah. It can produce a sound.\Ledo, what's wrong?\You're crying.\This is...\Did I say something wrong?\No! I... don't know... response:	Why...?
context: Flu...te...?\Yeah. It can produce a sound.\Ledo, what's wrong?\You're crying.\This is...\Did I say something wrong?\No! I... don't know...\Why...? response:	You must have recalled something sad.
context: Yeah. It can produce a sound.\Ledo, what's wrong?\You're crying.\This is...\Did I say something wrong?\No! I... don't know...\Why...?\You must have recalled something sad. response:	Oh... really?
context: Ledo, what's wrong?\You're crying.\This is...\Did I say something wrong?\No! I... don't know...\Why...?\You must have recalled something sad.\Oh... really? response:	Bebel...
context: You're crying.\This is...\Did I say something wrong?\No! I... don't know...\Why...?\You must have recalled something sad.\Oh... really?\Bebel... response:	What?
context: This is...\Did I say something wrong?\No! I... don't know...\Why...?\You must have recalled something sad.\Oh... really?\Bebel...\What? response:	Of course!
context: Did I say something wrong?\No! I... don't know...\Why...?\You must have recalled something sad.\Oh... really?\Bebel...\What?\Of course! response:	I made some tea!
context: No! I... don't know...\Why...?\You must have recalled something sad.\Oh... really?\Bebel...\What?\Of course!\I made some tea! response:	Saaya's recommendation. It's good!
context: Why...?\You must have recalled something sad.\Oh... really?\Bebel...\What?\Of course!\I made some tea!\Saaya's recommendation. It's good! response:	Chamber, you still don't know our coordinates?
context: You must have recalled something sad.\Oh... really?\Bebel...\What?\Of course!\I made some tea!\Saaya's recommendation. It's good!\Chamber, you still don't know our coordinates? response:	Lack of observational data. More time is necessary.
context: Oh... really?\Bebel...\What?\Of course!\I made some tea!\Saaya's recommendation. It's good!\Chamber, you still don't know our coordinates?\Lack of observational data. More time is necessary. response:	I see...
context: Bebel...\What?\Of course!\I made some tea!\Saaya's recommendation. It's good!\Chamber, you still don't know our coordinates?\Lack of observational data. More time is necessary.\I see... response:	It looks like I need to learn a little more about this planet.
context: What?\Of course!\I made some tea!\Saaya's recommendation. It's good!\Chamber, you still don't know our coordinates?\Lack of observational data. More time is necessary.\I see...\It looks like I need to learn a little more about this planet. response:	Unnecessary. Eventually, you will rejoin the main unit.
context: Of course!\I made some tea!\Saaya's recommendation. It's good!\Chamber, you still don't know our coordinates?\Lack of observational data. More time is necessary.\I see...\It looks like I need to learn a little more about this planet.\Unnecessary. Eventually, you will rejoin the main unit. response:	Yeah. I know.
