context: This is a story about my father, my mother, and me. response:	About our family of three.
context: He didn't come get me on time!\He must be lost.\Is this so different from what you wear at home she didn't recognize you?\For once, your manga author cosplay came in handy.\It's not cosplay!\Here, Dad! I got you a present!\What's this for?\I paid for it with my work! response:	By work, you mean at KidZanira?
context: He must be lost.\Is this so different from what you wear at home she didn't recognize you?\For once, your manga author cosplay came in handy.\It's not cosplay!\Here, Dad! I got you a present!\What's this for?\I paid for it with my work!\By work, you mean at KidZanira? response:	You work, and they pay you in money called KidZa.
context: Is this so different from what you wear at home she didn't recognize you?\For once, your manga author cosplay came in handy.\It's not cosplay!\Here, Dad! I got you a present!\What's this for?\I paid for it with my work!\By work, you mean at KidZanira?\You work, and they pay you in money called KidZa. response:	Then you use that to buy things at the shop!
context: For once, your manga author cosplay came in handy.\It's not cosplay!\Here, Dad! I got you a present!\What's this for?\I paid for it with my work!\By work, you mean at KidZanira?\You work, and they pay you in money called KidZa.\Then you use that to buy things at the shop! response:	Hime worked and bought this for me?
context: It's not cosplay!\Here, Dad! I got you a present!\What's this for?\I paid for it with my work!\By work, you mean at KidZanira?\You work, and they pay you in money called KidZa.\Then you use that to buy things at the shop!\Hime worked and bought this for me? response:	Thank you.
context: Here, Dad! I got you a present!\What's this for?\I paid for it with my work!\By work, you mean at KidZanira?\You work, and they pay you in money called KidZa.\Then you use that to buy things at the shop!\Hime worked and bought this for me?\Thank you. response:	But the tickets had to be more expensive, right?
context: What's this for?\I paid for it with my work!\By work, you mean at KidZanira?\You work, and they pay you in money called KidZa.\Then you use that to buy things at the shop!\Hime worked and bought this for me?\Thank you.\But the tickets had to be more expensive, right? response:	I mean, you paid so that I could work
context: I paid for it with my work!\By work, you mean at KidZanira?\You work, and they pay you in money called KidZa.\Then you use that to buy things at the shop!\Hime worked and bought this for me?\Thank you.\But the tickets had to be more expensive, right?\I mean, you paid so that I could work response:	I mean, even my job was originally something I paid people to let me do.
context: By work, you mean at KidZanira?\You work, and they pay you in money called KidZa.\Then you use that to buy things at the shop!\Hime worked and bought this for me?\Thank you.\But the tickets had to be more expensive, right?\I mean, you paid so that I could work\I mean, even my job was originally something I paid people to let me do. response:	I wonder
context: You work, and they pay you in money called KidZa.\Then you use that to buy things at the shop!\Hime worked and bought this for me?\Thank you.\But the tickets had to be more expensive, right?\I mean, you paid so that I could work\I mean, even my job was originally something I paid people to let me do.\I wonder response:	How long can I keep doing it?
context: Then you use that to buy things at the shop!\Hime worked and bought this for me?\Thank you.\But the tickets had to be more expensive, right?\I mean, you paid so that I could work\I mean, even my job was originally something I paid people to let me do.\I wonder\How long can I keep doing it? response:	This job
context: Hime worked and bought this for me?\Thank you.\But the tickets had to be more expensive, right?\I mean, you paid so that I could work\I mean, even my job was originally something I paid people to let me do.\I wonder\How long can I keep doing it?\This job response:	Hey, Dad.
context: Thank you.\But the tickets had to be more expensive, right?\I mean, you paid so that I could work\I mean, even my job was originally something I paid people to let me do.\I wonder\How long can I keep doing it?\This job\Hey, Dad. response:	The adults' KidZanira also has a job introduction office!
context: But the tickets had to be more expensive, right?\I mean, you paid so that I could work\I mean, even my job was originally something I paid people to let me do.\I wonder\How long can I keep doing it?\This job\Hey, Dad.\The adults' KidZanira also has a job introduction office! response:	Dad, have you ever been?
context: I mean, you paid so that I could work\I mean, even my job was originally something I paid people to let me do.\I wonder\How long can I keep doing it?\This job\Hey, Dad.\The adults' KidZanira also has a job introduction office!\Dad, have you ever been? response:	Maybe I'll go someday.
context: I mean, even my job was originally something I paid people to let me do.\I wonder\How long can I keep doing it?\This job\Hey, Dad.\The adults' KidZanira also has a job introduction office!\Dad, have you ever been?\Maybe I'll go someday. response:	Dad
context: I wonder\How long can I keep doing it?\This job\Hey, Dad.\The adults' KidZanira also has a job introduction office!\Dad, have you ever been?\Maybe I'll go someday.\Dad response:	After discovering the boxes in the closet, I was sure of it.
context: How long can I keep doing it?\This job\Hey, Dad.\The adults' KidZanira also has a job introduction office!\Dad, have you ever been?\Maybe I'll go someday.\Dad\After discovering the boxes in the closet, I was sure of it. response:	This house, with its ocean breeze,
context: This job\Hey, Dad.\The adults' KidZanira also has a job introduction office!\Dad, have you ever been?\Maybe I'll go someday.\Dad\After discovering the boxes in the closet, I was sure of it.\This house, with its ocean breeze, response:	has the exact same floor plan as the house in Nakameguro.
context: Hey, Dad.\The adults' KidZanira also has a job introduction office!\Dad, have you ever been?\Maybe I'll go someday.\Dad\After discovering the boxes in the closet, I was sure of it.\This house, with its ocean breeze,\has the exact same floor plan as the house in Nakameguro. response:	The yard where I played with Dad,
context: The adults' KidZanira also has a job introduction office!\Dad, have you ever been?\Maybe I'll go someday.\Dad\After discovering the boxes in the closet, I was sure of it.\This house, with its ocean breeze,\has the exact same floor plan as the house in Nakameguro.\The yard where I played with Dad, response:	and the hall where I called in my friends,
context: Dad, have you ever been?\Maybe I'll go someday.\Dad\After discovering the boxes in the closet, I was sure of it.\This house, with its ocean breeze,\has the exact same floor plan as the house in Nakameguro.\The yard where I played with Dad,\and the hall where I called in my friends, response:	and even the closet with the boxes I opened each birthday,
context: Maybe I'll go someday.\Dad\After discovering the boxes in the closet, I was sure of it.\This house, with its ocean breeze,\has the exact same floor plan as the house in Nakameguro.\The yard where I played with Dad,\and the hall where I called in my friends,\and even the closet with the boxes I opened each birthday, response:	were the same as back then,
context: Dad\After discovering the boxes in the closet, I was sure of it.\This house, with its ocean breeze,\has the exact same floor plan as the house in Nakameguro.\The yard where I played with Dad,\and the hall where I called in my friends,\and even the closet with the boxes I opened each birthday,\were the same as back then, response:	quietly waiting for me to get here.
context: After discovering the boxes in the closet, I was sure of it.\This house, with its ocean breeze,\has the exact same floor plan as the house in Nakameguro.\The yard where I played with Dad,\and the hall where I called in my friends,\and even the closet with the boxes I opened each birthday,\were the same as back then,\quietly waiting for me to get here. response:	Manga?
context: This house, with its ocean breeze,\has the exact same floor plan as the house in Nakameguro.\The yard where I played with Dad,\and the hall where I called in my friends,\and even the closet with the boxes I opened each birthday,\were the same as back then,\quietly waiting for me to get here.\Manga? response:	It was
context: has the exact same floor plan as the house in Nakameguro.\The yard where I played with Dad,\and the hall where I called in my friends,\and even the closet with the boxes I opened each birthday,\were the same as back then,\quietly waiting for me to get here.\Manga?\It was response:	an almost painfully boring manga.
context: The yard where I played with Dad,\and the hall where I called in my friends,\and even the closet with the boxes I opened each birthday,\were the same as back then,\quietly waiting for me to get here.\Manga?\It was\an almost painfully boring manga. response:	It had no swords or magic in it.
context: and the hall where I called in my friends,\and even the closet with the boxes I opened each birthday,\were the same as back then,\quietly waiting for me to get here.\Manga?\It was\an almost painfully boring manga.\It had no swords or magic in it. response:	There were no wild events.
context: and even the closet with the boxes I opened each birthday,\were the same as back then,\quietly waiting for me to get here.\Manga?\It was\an almost painfully boring manga.\It had no swords or magic in it.\There were no wild events. response:	It just had a father, a mother, and a daughter. A family of three.
context: were the same as back then,\quietly waiting for me to get here.\Manga?\It was\an almost painfully boring manga.\It had no swords or magic in it.\There were no wild events.\It just had a father, a mother, and a daughter. A family of three. response:	And it showed them all living a normal life.
context: quietly waiting for me to get here.\Manga?\It was\an almost painfully boring manga.\It had no swords or magic in it.\There were no wild events.\It just had a father, a mother, and a daughter. A family of three.\And it showed them all living a normal life. response:	Do you think Hime's okay?
context: Manga?\It was\an almost painfully boring manga.\It had no swords or magic in it.\There were no wild events.\It just had a father, a mother, and a daughter. A family of three.\And it showed them all living a normal life.\Do you think Hime's okay? response:	Of course she is.
context: It was\an almost painfully boring manga.\It had no swords or magic in it.\There were no wild events.\It just had a father, a mother, and a daughter. A family of three.\And it showed them all living a normal life.\Do you think Hime's okay?\Of course she is. response:	Wait, weren't you the one who suggested we secretly follow her, Riko?
context: an almost painfully boring manga.\It had no swords or magic in it.\There were no wild events.\It just had a father, a mother, and a daughter. A family of three.\And it showed them all living a normal life.\Do you think Hime's okay?\Of course she is.\Wait, weren't you the one who suggested we secretly follow her, Riko? response:	Well, I guess so.
context: It had no swords or magic in it.\There were no wild events.\It just had a father, a mother, and a daughter. A family of three.\And it showed them all living a normal life.\Do you think Hime's okay?\Of course she is.\Wait, weren't you the one who suggested we secretly follow her, Riko?\Well, I guess so. response:	And what brings you all here? A class reunion?
context: There were no wild events.\It just had a father, a mother, and a daughter. A family of three.\And it showed them all living a normal life.\Do you think Hime's okay?\Of course she is.\Wait, weren't you the one who suggested we secretly follow her, Riko?\Well, I guess so.\And what brings you all here? A class reunion? response:	You could have invited me, then.
context: It just had a father, a mother, and a daughter. A family of three.\And it showed them all living a normal life.\Do you think Hime's okay?\Of course she is.\Wait, weren't you the one who suggested we secretly follow her, Riko?\Well, I guess so.\And what brings you all here? A class reunion?\You could have invited me, then. response:	M-Ms. Ichiko?
context: And it showed them all living a normal life.\Do you think Hime's okay?\Of course she is.\Wait, weren't you the one who suggested we secretly follow her, Riko?\Well, I guess so.\And what brings you all here? A class reunion?\You could have invited me, then.\M-Ms. Ichiko? response:	You
context: Do you think Hime's okay?\Of course she is.\Wait, weren't you the one who suggested we secretly follow her, Riko?\Well, I guess so.\And what brings you all here? A class reunion?\You could have invited me, then.\M-Ms. Ichiko?\You response:	Where's your jersey?!
context: Of course she is.\Wait, weren't you the one who suggested we secretly follow her, Riko?\Well, I guess so.\And what brings you all here? A class reunion?\You could have invited me, then.\M-Ms. Ichiko?\You\Where's your jersey?! response:	That's what you ask?
context: Wait, weren't you the one who suggested we secretly follow her, Riko?\Well, I guess so.\And what brings you all here? A class reunion?\You could have invited me, then.\M-Ms. Ichiko?\You\Where's your jersey?!\That's what you ask? response:	I have good news and bad news, one each.
context: Well, I guess so.\And what brings you all here? A class reunion?\You could have invited me, then.\M-Ms. Ichiko?\You\Where's your jersey?!\That's what you ask?\I have good news and bad news, one each. response:	This is also the same as in Nakameguro.
context: And what brings you all here? A class reunion?\You could have invited me, then.\M-Ms. Ichiko?\You\Where's your jersey?!\That's what you ask?\I have good news and bad news, one each.\This is also the same as in Nakameguro. response:	About the only difference is the ocean view.
context: You could have invited me, then.\M-Ms. Ichiko?\You\Where's your jersey?!\That's what you ask?\I have good news and bad news, one each.\This is also the same as in Nakameguro.\About the only difference is the ocean view. response:	That's it! This house
context: M-Ms. Ichiko?\You\Where's your jersey?!\That's what you ask?\I have good news and bad news, one each.\This is also the same as in Nakameguro.\About the only difference is the ocean view.\That's it! This house response:	Originally, we three,
context: You\Where's your jersey?!\That's what you ask?\I have good news and bad news, one each.\This is also the same as in Nakameguro.\About the only difference is the ocean view.\That's it! This house\Originally, we three, response:	my father, my mother, and I were supposed to live together in this house.
context: Where's your jersey?!\That's what you ask?\I have good news and bad news, one each.\This is also the same as in Nakameguro.\About the only difference is the ocean view.\That's it! This house\Originally, we three,\my father, my mother, and I were supposed to live together in this house. response:	The image of a family of three living there,
context: That's what you ask?\I have good news and bad news, one each.\This is also the same as in Nakameguro.\About the only difference is the ocean view.\That's it! This house\Originally, we three,\my father, my mother, and I were supposed to live together in this house.\The image of a family of three living there, response:	looking so happy
context: I have good news and bad news, one each.\This is also the same as in Nakameguro.\About the only difference is the ocean view.\That's it! This house\Originally, we three,\my father, my mother, and I were supposed to live together in this house.\The image of a family of three living there,\looking so happy response:	Even after my mother passed,
context: This is also the same as in Nakameguro.\About the only difference is the ocean view.\That's it! This house\Originally, we three,\my father, my mother, and I were supposed to live together in this house.\The image of a family of three living there,\looking so happy\Even after my mother passed, response:	my father didn't want me to have any sad memories,
context: About the only difference is the ocean view.\That's it! This house\Originally, we three,\my father, my mother, and I were supposed to live together in this house.\The image of a family of three living there,\looking so happy\Even after my mother passed,\my father didn't want me to have any sad memories, response:	so he tried to bring back a normal life that should have been far out of reach.
context: That's it! This house\Originally, we three,\my father, my mother, and I were supposed to live together in this house.\The image of a family of three living there,\looking so happy\Even after my mother passed,\my father didn't want me to have any sad memories,\so he tried to bring back a normal life that should have been far out of reach. response:	He gave his all to raising me.
context: Originally, we three,\my father, my mother, and I were supposed to live together in this house.\The image of a family of three living there,\looking so happy\Even after my mother passed,\my father didn't want me to have any sad memories,\so he tried to bring back a normal life that should have been far out of reach.\He gave his all to raising me. response:	He believed that was what my mother wanted,
context: my father, my mother, and I were supposed to live together in this house.\The image of a family of three living there,\looking so happy\Even after my mother passed,\my father didn't want me to have any sad memories,\so he tried to bring back a normal life that should have been far out of reach.\He gave his all to raising me.\He believed that was what my mother wanted, response:	He believed that was what my mother wanted,
context: The image of a family of three living there,\looking so happy\Even after my mother passed,\my father didn't want me to have any sad memories,\so he tried to bring back a normal life that should have been far out of reach.\He gave his all to raising me.\He believed that was what my mother wanted,\He believed that was what my mother wanted, response:	even though it had to be hard for him.
context: looking so happy\Even after my mother passed,\my father didn't want me to have any sad memories,\so he tried to bring back a normal life that should have been far out of reach.\He gave his all to raising me.\He believed that was what my mother wanted,\He believed that was what my mother wanted,\even though it had to be hard for him. response:	even though it had to be hard for him.
context: Even after my mother passed,\my father didn't want me to have any sad memories,\so he tried to bring back a normal life that should have been far out of reach.\He gave his all to raising me.\He believed that was what my mother wanted,\He believed that was what my mother wanted,\even though it had to be hard for him.\even though it had to be hard for him. response:	You were too soft,
context: my father didn't want me to have any sad memories,\so he tried to bring back a normal life that should have been far out of reach.\He gave his all to raising me.\He believed that was what my mother wanted,\He believed that was what my mother wanted,\even though it had to be hard for him.\even though it had to be hard for him.\You were too soft, response:	Dad.
context: so he tried to bring back a normal life that should have been far out of reach.\He gave his all to raising me.\He believed that was what my mother wanted,\He believed that was what my mother wanted,\even though it had to be hard for him.\even though it had to be hard for him.\You were too soft,\Dad. response:	I keep thinking about it
context: He gave his all to raising me.\He believed that was what my mother wanted,\He believed that was what my mother wanted,\even though it had to be hard for him.\even though it had to be hard for him.\You were too soft,\Dad.\I keep thinking about it response:	Going on a father-daughter trip
context: He believed that was what my mother wanted,\He believed that was what my mother wanted,\even though it had to be hard for him.\even though it had to be hard for him.\You were too soft,\Dad.\I keep thinking about it\Going on a father-daughter trip response:	What will people think?
context: He believed that was what my mother wanted,\even though it had to be hard for him.\even though it had to be hard for him.\You were too soft,\Dad.\I keep thinking about it\Going on a father-daughter trip\What will people think? response:	We've awaited your arrival.
context: even though it had to be hard for him.\even though it had to be hard for him.\You were too soft,\Dad.\I keep thinking about it\Going on a father-daughter trip\What will people think?\We've awaited your arrival. response:	Goto, party of three, yes?
context: even though it had to be hard for him.\You were too soft,\Dad.\I keep thinking about it\Going on a father-daughter trip\What will people think?\We've awaited your arrival.\Goto, party of three, yes? response:	No, just two
context: You were too soft,\Dad.\I keep thinking about it\Going on a father-daughter trip\What will people think?\We've awaited your arrival.\Goto, party of three, yes?\No, just two response:	Yes, party of three!
context: Dad.\I keep thinking about it\Going on a father-daughter trip\What will people think?\We've awaited your arrival.\Goto, party of three, yes?\No, just two\Yes, party of three! response:	Party of three!
context: I keep thinking about it\Going on a father-daughter trip\What will people think?\We've awaited your arrival.\Goto, party of three, yes?\No, just two\Yes, party of three!\Party of three! response:	I see. So inns like this count the dog, too?
context: Going on a father-daughter trip\What will people think?\We've awaited your arrival.\Goto, party of three, yes?\No, just two\Yes, party of three!\Party of three!\I see. So inns like this count the dog, too? response:	I was sure they were assuming her mother was here, too.
context: What will people think?\We've awaited your arrival.\Goto, party of three, yes?\No, just two\Yes, party of three!\Party of three!\I see. So inns like this count the dog, too?\I was sure they were assuming her mother was here, too. response:	Tatami rooms dogs can stay in are rare, huh?
context: We've awaited your arrival.\Goto, party of three, yes?\No, just two\Yes, party of three!\Party of three!\I see. So inns like this count the dog, too?\I was sure they were assuming her mother was here, too.\Tatami rooms dogs can stay in are rare, huh? response:	Is that a selling point for this inn?
context: Goto, party of three, yes?\No, just two\Yes, party of three!\Party of three!\I see. So inns like this count the dog, too?\I was sure they were assuming her mother was here, too.\Tatami rooms dogs can stay in are rare, huh?\Is that a selling point for this inn? response:	We're also proud of our hot spring, too.
context: No, just two\Yes, party of three!\Party of three!\I see. So inns like this count the dog, too?\I was sure they were assuming her mother was here, too.\Tatami rooms dogs can stay in are rare, huh?\Is that a selling point for this inn?\We're also proud of our hot spring, too. response:	It's said to have been the Tokugawa family's secret spring.
context: Yes, party of three!\Party of three!\I see. So inns like this count the dog, too?\I was sure they were assuming her mother was here, too.\Tatami rooms dogs can stay in are rare, huh?\Is that a selling point for this inn?\We're also proud of our hot spring, too.\It's said to have been the Tokugawa family's secret spring. response:	Secret spring?
context: Party of three!\I see. So inns like this count the dog, too?\I was sure they were assuming her mother was here, too.\Tatami rooms dogs can stay in are rare, huh?\Is that a selling point for this inn?\We're also proud of our hot spring, too.\It's said to have been the Tokugawa family's secret spring.\Secret spring? response:	What's a secret spring?
context: I see. So inns like this count the dog, too?\I was sure they were assuming her mother was here, too.\Tatami rooms dogs can stay in are rare, huh?\Is that a selling point for this inn?\We're also proud of our hot spring, too.\It's said to have been the Tokugawa family's secret spring.\Secret spring?\What's a secret spring? response:	Oh, it's a hot spring that's been hidden so other people can't find it, I guess?
context: I was sure they were assuming her mother was here, too.\Tatami rooms dogs can stay in are rare, huh?\Is that a selling point for this inn?\We're also proud of our hot spring, too.\It's said to have been the Tokugawa family's secret spring.\Secret spring?\What's a secret spring?\Oh, it's a hot spring that's been hidden so other people can't find it, I guess? response:	It'd be nicer if they didn't hide it, so everyone could use it.
context: Tatami rooms dogs can stay in are rare, huh?\Is that a selling point for this inn?\We're also proud of our hot spring, too.\It's said to have been the Tokugawa family's secret spring.\Secret spring?\What's a secret spring?\Oh, it's a hot spring that's been hidden so other people can't find it, I guess?\It'd be nicer if they didn't hide it, so everyone could use it. response:	It sure would.
context: Is that a selling point for this inn?\We're also proud of our hot spring, too.\It's said to have been the Tokugawa family's secret spring.\Secret spring?\What's a secret spring?\Oh, it's a hot spring that's been hidden so other people can't find it, I guess?\It'd be nicer if they didn't hide it, so everyone could use it.\It sure would. response:	Though it's said that hot spring inns have a lot of secrets.
context: We're also proud of our hot spring, too.\It's said to have been the Tokugawa family's secret spring.\Secret spring?\What's a secret spring?\Oh, it's a hot spring that's been hidden so other people can't find it, I guess?\It'd be nicer if they didn't hide it, so everyone could use it.\It sure would.\Though it's said that hot spring inns have a lot of secrets. response:	Like secret extramarital affairs,
context: It's said to have been the Tokugawa family's secret spring.\Secret spring?\What's a secret spring?\Oh, it's a hot spring that's been hidden so other people can't find it, I guess?\It'd be nicer if they didn't hide it, so everyone could use it.\It sure would.\Though it's said that hot spring inns have a lot of secrets.\Like secret extramarital affairs, response:	or hideouts for politicians to escape the media.
context: Secret spring?\What's a secret spring?\Oh, it's a hot spring that's been hidden so other people can't find it, I guess?\It'd be nicer if they didn't hide it, so everyone could use it.\It sure would.\Though it's said that hot spring inns have a lot of secrets.\Like secret extramarital affairs,\or hideouts for politicians to escape the media. response:	Please enjoy your stay.
context: What's a secret spring?\Oh, it's a hot spring that's been hidden so other people can't find it, I guess?\It'd be nicer if they didn't hide it, so everyone could use it.\It sure would.\Though it's said that hot spring inns have a lot of secrets.\Like secret extramarital affairs,\or hideouts for politicians to escape the media.\Please enjoy your stay. response:	Or policies not to investigate their staff's past
context: Oh, it's a hot spring that's been hidden so other people can't find it, I guess?\It'd be nicer if they didn't hide it, so everyone could use it.\It sure would.\Though it's said that hot spring inns have a lot of secrets.\Like secret extramarital affairs,\or hideouts for politicians to escape the media.\Please enjoy your stay.\Or policies not to investigate their staff's past response:	Roku, stop! No barking!
context: It'd be nicer if they didn't hide it, so everyone could use it.\It sure would.\Though it's said that hot spring inns have a lot of secrets.\Like secret extramarital affairs,\or hideouts for politicians to escape the media.\Please enjoy your stay.\Or policies not to investigate their staff's past\Roku, stop! No barking! response:	You need to be a gentledog here!
context: It sure would.\Though it's said that hot spring inns have a lot of secrets.\Like secret extramarital affairs,\or hideouts for politicians to escape the media.\Please enjoy your stay.\Or policies not to investigate their staff's past\Roku, stop! No barking!\You need to be a gentledog here! response:	Maybe there's another dog in the room next door?
context: Though it's said that hot spring inns have a lot of secrets.\Like secret extramarital affairs,\or hideouts for politicians to escape the media.\Please enjoy your stay.\Or policies not to investigate their staff's past\Roku, stop! No barking!\You need to be a gentledog here!\Maybe there's another dog in the room next door? response:	Or rooms where something happened.
context: Like secret extramarital affairs,\or hideouts for politicians to escape the media.\Please enjoy your stay.\Or policies not to investigate their staff's past\Roku, stop! No barking!\You need to be a gentledog here!\Maybe there's another dog in the room next door?\Or rooms where something happened. response:	Hot spring, hot spring, a dip before dinner!
context: or hideouts for politicians to escape the media.\Please enjoy your stay.\Or policies not to investigate their staff's past\Roku, stop! No barking!\You need to be a gentledog here!\Maybe there's another dog in the room next door?\Or rooms where something happened.\Hot spring, hot spring, a dip before dinner! response:	I'm a little worried They say the hot spring bath is big.
context: Please enjoy your stay.\Or policies not to investigate their staff's past\Roku, stop! No barking!\You need to be a gentledog here!\Maybe there's another dog in the room next door?\Or rooms where something happened.\Hot spring, hot spring, a dip before dinner!\I'm a little worried They say the hot spring bath is big. response:	I'm worried to send her in alone,
context: Or policies not to investigate their staff's past\Roku, stop! No barking!\You need to be a gentledog here!\Maybe there's another dog in the room next door?\Or rooms where something happened.\Hot spring, hot spring, a dip before dinner!\I'm a little worried They say the hot spring bath is big.\I'm worried to send her in alone, response:	but more worried to bring her with me!
context: Roku, stop! No barking!\You need to be a gentledog here!\Maybe there's another dog in the room next door?\Or rooms where something happened.\Hot spring, hot spring, a dip before dinner!\I'm a little worried They say the hot spring bath is big.\I'm worried to send her in alone,\but more worried to bring her with me! response:	And if I try to check on her, I'll get arrested!
context: You need to be a gentledog here!\Maybe there's another dog in the room next door?\Or rooms where something happened.\Hot spring, hot spring, a dip before dinner!\I'm a little worried They say the hot spring bath is big.\I'm worried to send her in alone,\but more worried to bring her with me!\And if I try to check on her, I'll get arrested! response:	What should I do in a situation like this?!
context: Maybe there's another dog in the room next door?\Or rooms where something happened.\Hot spring, hot spring, a dip before dinner!\I'm a little worried They say the hot spring bath is big.\I'm worried to send her in alone,\but more worried to bring her with me!\And if I try to check on her, I'll get arrested!\What should I do in a situation like this?! response:	Just kidding.
context: Or rooms where something happened.\Hot spring, hot spring, a dip before dinner!\I'm a little worried They say the hot spring bath is big.\I'm worried to send her in alone,\but more worried to bring her with me!\And if I try to check on her, I'll get arrested!\What should I do in a situation like this?!\Just kidding. response:	I love her so much,
context: Hot spring, hot spring, a dip before dinner!\I'm a little worried They say the hot spring bath is big.\I'm worried to send her in alone,\but more worried to bring her with me!\And if I try to check on her, I'll get arrested!\What should I do in a situation like this?!\Just kidding.\I love her so much, response:	there's no way I wouldn't prepare for this.
context: I'm a little worried They say the hot spring bath is big.\I'm worried to send her in alone,\but more worried to bring her with me!\And if I try to check on her, I'll get arrested!\What should I do in a situation like this?!\Just kidding.\I love her so much,\there's no way I wouldn't prepare for this. response:	I'm counting on you.
context: I'm worried to send her in alone,\but more worried to bring her with me!\And if I try to check on her, I'll get arrested!\What should I do in a situation like this?!\Just kidding.\I love her so much,\there's no way I wouldn't prepare for this.\I'm counting on you. response:	Roger.
context: but more worried to bring her with me!\And if I try to check on her, I'll get arrested!\What should I do in a situation like this?!\Just kidding.\I love her so much,\there's no way I wouldn't prepare for this.\I'm counting on you.\Roger. response:	I never expected to be called a bath worker.
context: And if I try to check on her, I'll get arrested!\What should I do in a situation like this?!\Just kidding.\I love her so much,\there's no way I wouldn't prepare for this.\I'm counting on you.\Roger.\I never expected to be called a bath worker. response:	We're lucky to get to come here for free,
context: What should I do in a situation like this?!\Just kidding.\I love her so much,\there's no way I wouldn't prepare for this.\I'm counting on you.\Roger.\I never expected to be called a bath worker.\We're lucky to get to come here for free, response:	but why are you so worried about the bath?
context: Just kidding.\I love her so much,\there's no way I wouldn't prepare for this.\I'm counting on you.\Roger.\I never expected to be called a bath worker.\We're lucky to get to come here for free,\but why are you so worried about the bath? response:	It's obvious!
context: I love her so much,\there's no way I wouldn't prepare for this.\I'm counting on you.\Roger.\I never expected to be called a bath worker.\We're lucky to get to come here for free,\but why are you so worried about the bath?\It's obvious! response:	How many Japanese do you think die in baths?!
context: there's no way I wouldn't prepare for this.\I'm counting on you.\Roger.\I never expected to be called a bath worker.\We're lucky to get to come here for free,\but why are you so worried about the bath?\It's obvious!\How many Japanese do you think die in baths?! response:	Not to mention all the trashy hot springs bits in manga give me a bad feeling!
context: I'm counting on you.\Roger.\I never expected to be called a bath worker.\We're lucky to get to come here for free,\but why are you so worried about the bath?\It's obvious!\How many Japanese do you think die in baths?!\Not to mention all the trashy hot springs bits in manga give me a bad feeling! response:	I'm counting on you. Protect Hime!
context: Roger.\I never expected to be called a bath worker.\We're lucky to get to come here for free,\but why are you so worried about the bath?\It's obvious!\How many Japanese do you think die in baths?!\Not to mention all the trashy hot springs bits in manga give me a bad feeling!\I'm counting on you. Protect Hime! response:	Okay.
context: I never expected to be called a bath worker.\We're lucky to get to come here for free,\but why are you so worried about the bath?\It's obvious!\How many Japanese do you think die in baths?!\Not to mention all the trashy hot springs bits in manga give me a bad feeling!\I'm counting on you. Protect Hime!\Okay. response:	We'll let you know if anything happens.
context: We're lucky to get to come here for free,\but why are you so worried about the bath?\It's obvious!\How many Japanese do you think die in baths?!\Not to mention all the trashy hot springs bits in manga give me a bad feeling!\I'm counting on you. Protect Hime!\Okay.\We'll let you know if anything happens. response:	Let's go!
context: but why are you so worried about the bath?\It's obvious!\How many Japanese do you think die in baths?!\Not to mention all the trashy hot springs bits in manga give me a bad feeling!\I'm counting on you. Protect Hime!\Okay.\We'll let you know if anything happens.\Let's go! response:	Huh? Hime?!
context: It's obvious!\How many Japanese do you think die in baths?!\Not to mention all the trashy hot springs bits in manga give me a bad feeling!\I'm counting on you. Protect Hime!\Okay.\We'll let you know if anything happens.\Let's go!\Huh? Hime?! response:	Ah, Dad!
context: How many Japanese do you think die in baths?!\Not to mention all the trashy hot springs bits in manga give me a bad feeling!\I'm counting on you. Protect Hime!\Okay.\We'll let you know if anything happens.\Let's go!\Huh? Hime?!\Ah, Dad! response:	That was a good bath!
context: Not to mention all the trashy hot springs bits in manga give me a bad feeling!\I'm counting on you. Protect Hime!\Okay.\We'll let you know if anything happens.\Let's go!\Huh? Hime?!\Ah, Dad!\That was a good bath! response:	Y-You're already done?
context: I'm counting on you. Protect Hime!\Okay.\We'll let you know if anything happens.\Let's go!\Huh? Hime?!\Ah, Dad!\That was a good bath!\Y-You're already done? response:	Yeah! I was worried about Roku,
context: Okay.\We'll let you know if anything happens.\Let's go!\Huh? Hime?!\Ah, Dad!\That was a good bath!\Y-You're already done?\Yeah! I was worried about Roku, response:	but you can take your time, Dad!
context: We'll let you know if anything happens.\Let's go!\Huh? Hime?!\Ah, Dad!\That was a good bath!\Y-You're already done?\Yeah! I was worried about Roku,\but you can take your time, Dad! response:	Is that mission complete for us?
context: Let's go!\Huh? Hime?!\Ah, Dad!\That was a good bath!\Y-You're already done?\Yeah! I was worried about Roku,\but you can take your time, Dad!\Is that mission complete for us? response:	Yeah
context: Huh? Hime?!\Ah, Dad!\That was a good bath!\Y-You're already done?\Yeah! I was worried about Roku,\but you can take your time, Dad!\Is that mission complete for us?\Yeah response:	You don't wanna come over here?
context: Ah, Dad!\That was a good bath!\Y-You're already done?\Yeah! I was worried about Roku,\but you can take your time, Dad!\Is that mission complete for us?\Yeah\You don't wanna come over here? response:	We're all ready for you.
context: That was a good bath!\Y-You're already done?\Yeah! I was worried about Roku,\but you can take your time, Dad!\Is that mission complete for us?\Yeah\You don't wanna come over here?\We're all ready for you. response:	That's enough of that.
context: Y-You're already done?\Yeah! I was worried about Roku,\but you can take your time, Dad!\Is that mission complete for us?\Yeah\You don't wanna come over here?\We're all ready for you.\That's enough of that. response:	The crab's tasty, huh?
