context: Rokuro, Saizo, Isanami. response:	The three of you will accompany me to the capitol.
context: Don't rush your decision.\Now is the time to establish your position.\At least, that was my understanding.\I don't get involved in trouble.\That's all.\In any case, he's been rather brazen since the father of the regent passed away.\Even this tea ceremony is nothing more than a public display of power.\I couldn't agree more. response:	Naoe-sama.
context: Now is the time to establish your position.\At least, that was my understanding.\I don't get involved in trouble.\That's all.\In any case, he's been rather brazen since the father of the regent passed away.\Even this tea ceremony is nothing more than a public display of power.\I couldn't agree more.\Naoe-sama. response:	Lord Kanetsugu, it's good to see you again.
context: At least, that was my understanding.\I don't get involved in trouble.\That's all.\In any case, he's been rather brazen since the father of the regent passed away.\Even this tea ceremony is nothing more than a public display of power.\I couldn't agree more.\Naoe-sama.\Lord Kanetsugu, it's good to see you again. response:	It's a pleasure to see you again, Yukimura-sama.
context: I don't get involved in trouble.\That's all.\In any case, he's been rather brazen since the father of the regent passed away.\Even this tea ceremony is nothing more than a public display of power.\I couldn't agree more.\Naoe-sama.\Lord Kanetsugu, it's good to see you again.\It's a pleasure to see you again, Yukimura-sama. response:	Have you already paid your respects to Lord Ieyasu?
context: That's all.\In any case, he's been rather brazen since the father of the regent passed away.\Even this tea ceremony is nothing more than a public display of power.\I couldn't agree more.\Naoe-sama.\Lord Kanetsugu, it's good to see you again.\It's a pleasure to see you again, Yukimura-sama.\Have you already paid your respects to Lord Ieyasu? response:	No, I just got here.
context: In any case, he's been rather brazen since the father of the regent passed away.\Even this tea ceremony is nothing more than a public display of power.\I couldn't agree more.\Naoe-sama.\Lord Kanetsugu, it's good to see you again.\It's a pleasure to see you again, Yukimura-sama.\Have you already paid your respects to Lord Ieyasu?\No, I just got here. response:	You should go soon.
context: Even this tea ceremony is nothing more than a public display of power.\I couldn't agree more.\Naoe-sama.\Lord Kanetsugu, it's good to see you again.\It's a pleasure to see you again, Yukimura-sama.\Have you already paid your respects to Lord Ieyasu?\No, I just got here.\You should go soon. response:	You'll get to see something quite interesting.
context: I couldn't agree more.\Naoe-sama.\Lord Kanetsugu, it's good to see you again.\It's a pleasure to see you again, Yukimura-sama.\Have you already paid your respects to Lord Ieyasu?\No, I just got here.\You should go soon.\You'll get to see something quite interesting. response:	Interesting?
context: Naoe-sama.\Lord Kanetsugu, it's good to see you again.\It's a pleasure to see you again, Yukimura-sama.\Have you already paid your respects to Lord Ieyasu?\No, I just got here.\You should go soon.\You'll get to see something quite interesting.\Interesting? response:	An arrogant little raccoon dog thinks he can speak.
context: Lord Kanetsugu, it's good to see you again.\It's a pleasure to see you again, Yukimura-sama.\Have you already paid your respects to Lord Ieyasu?\No, I just got here.\You should go soon.\You'll get to see something quite interesting.\Interesting?\An arrogant little raccoon dog thinks he can speak. response:	I almost couldn't believe my eyes.
context: It's a pleasure to see you again, Yukimura-sama.\Have you already paid your respects to Lord Ieyasu?\No, I just got here.\You should go soon.\You'll get to see something quite interesting.\Interesting?\An arrogant little raccoon dog thinks he can speak.\I almost couldn't believe my eyes. response:	You're as merciless as always.
context: Have you already paid your respects to Lord Ieyasu?\No, I just got here.\You should go soon.\You'll get to see something quite interesting.\Interesting?\An arrogant little raccoon dog thinks he can speak.\I almost couldn't believe my eyes.\You're as merciless as always. response:	Raccoon dogs should stay in the mountains where they belong.
context: No, I just got here.\You should go soon.\You'll get to see something quite interesting.\Interesting?\An arrogant little raccoon dog thinks he can speak.\I almost couldn't believe my eyes.\You're as merciless as always.\Raccoon dogs should stay in the mountains where they belong. response:	I can't believe he issued a weapons ban.
context: You should go soon.\You'll get to see something quite interesting.\Interesting?\An arrogant little raccoon dog thinks he can speak.\I almost couldn't believe my eyes.\You're as merciless as always.\Raccoon dogs should stay in the mountains where they belong.\I can't believe he issued a weapons ban. response:	When did he become our leader?
context: You'll get to see something quite interesting.\Interesting?\An arrogant little raccoon dog thinks he can speak.\I almost couldn't believe my eyes.\You're as merciless as always.\Raccoon dogs should stay in the mountains where they belong.\I can't believe he issued a weapons ban.\When did he become our leader? response:	Now, now. We're here for a tea ceremony.
context: Interesting?\An arrogant little raccoon dog thinks he can speak.\I almost couldn't believe my eyes.\You're as merciless as always.\Raccoon dogs should stay in the mountains where they belong.\I can't believe he issued a weapons ban.\When did he become our leader?\Now, now. We're here for a tea ceremony. response:	Let's enjoy ourselves.
context: An arrogant little raccoon dog thinks he can speak.\I almost couldn't believe my eyes.\You're as merciless as always.\Raccoon dogs should stay in the mountains where they belong.\I can't believe he issued a weapons ban.\When did he become our leader?\Now, now. We're here for a tea ceremony.\Let's enjoy ourselves. response:	These sachets are so cute.
context: I almost couldn't believe my eyes.\You're as merciless as always.\Raccoon dogs should stay in the mountains where they belong.\I can't believe he issued a weapons ban.\When did he become our leader?\Now, now. We're here for a tea ceremony.\Let's enjoy ourselves.\These sachets are so cute. response:	Those are pretty, too.
context: You're as merciless as always.\Raccoon dogs should stay in the mountains where they belong.\I can't believe he issued a weapons ban.\When did he become our leader?\Now, now. We're here for a tea ceremony.\Let's enjoy ourselves.\These sachets are so cute.\Those are pretty, too. response:	Hey, don't wander off.
context: Raccoon dogs should stay in the mountains where they belong.\I can't believe he issued a weapons ban.\When did he become our leader?\Now, now. We're here for a tea ceremony.\Let's enjoy ourselves.\These sachets are so cute.\Those are pretty, too.\Hey, don't wander off. response:	What's wrong, Ichimaru?
context: I can't believe he issued a weapons ban.\When did he become our leader?\Now, now. We're here for a tea ceremony.\Let's enjoy ourselves.\These sachets are so cute.\Those are pretty, too.\Hey, don't wander off.\What's wrong, Ichimaru? response:	That girl is the priestess we had in the castle prison.
context: When did he become our leader?\Now, now. We're here for a tea ceremony.\Let's enjoy ourselves.\These sachets are so cute.\Those are pretty, too.\Hey, don't wander off.\What's wrong, Ichimaru?\That girl is the priestess we had in the castle prison. response:	What?
context: Now, now. We're here for a tea ceremony.\Let's enjoy ourselves.\These sachets are so cute.\Those are pretty, too.\Hey, don't wander off.\What's wrong, Ichimaru?\That girl is the priestess we had in the castle prison.\What? response:	That means the bastards around her are...
context: Let's enjoy ourselves.\These sachets are so cute.\Those are pretty, too.\Hey, don't wander off.\What's wrong, Ichimaru?\That girl is the priestess we had in the castle prison.\What?\That means the bastards around her are... response:	Sanada's men!
context: These sachets are so cute.\Those are pretty, too.\Hey, don't wander off.\What's wrong, Ichimaru?\That girl is the priestess we had in the castle prison.\What?\That means the bastards around her are...\Sanada's men! response:	No. Our lord told us there's a weapons ban.
context: Those are pretty, too.\Hey, don't wander off.\What's wrong, Ichimaru?\That girl is the priestess we had in the castle prison.\What?\That means the bastards around her are...\Sanada's men!\No. Our lord told us there's a weapons ban. response:	Are you saying we should just let them go?!
context: Hey, don't wander off.\What's wrong, Ichimaru?\That girl is the priestess we had in the castle prison.\What?\That means the bastards around her are...\Sanada's men!\No. Our lord told us there's a weapons ban.\Are you saying we should just let them go?! response:	Why don't we invite them for some tea?
context: What's wrong, Ichimaru?\That girl is the priestess we had in the castle prison.\What?\That means the bastards around her are...\Sanada's men!\No. Our lord told us there's a weapons ban.\Are you saying we should just let them go?!\Why don't we invite them for some tea? response:	You're kidding me!
context: That girl is the priestess we had in the castle prison.\What?\That means the bastards around her are...\Sanada's men!\No. Our lord told us there's a weapons ban.\Are you saying we should just let them go?!\Why don't we invite them for some tea?\You're kidding me! response:	Sorry for the delay, everyone. We're still awaiting one arrival.
context: What?\That means the bastards around her are...\Sanada's men!\No. Our lord told us there's a weapons ban.\Are you saying we should just let them go?!\Why don't we invite them for some tea?\You're kidding me!\Sorry for the delay, everyone. We're still awaiting one arrival. response:	Just wait a little longer.
context: That means the bastards around her are...\Sanada's men!\No. Our lord told us there's a weapons ban.\Are you saying we should just let them go?!\Why don't we invite them for some tea?\You're kidding me!\Sorry for the delay, everyone. We're still awaiting one arrival.\Just wait a little longer. response:	You're all here.
context: Sanada's men!\No. Our lord told us there's a weapons ban.\Are you saying we should just let them go?!\Why don't we invite them for some tea?\You're kidding me!\Sorry for the delay, everyone. We're still awaiting one arrival.\Just wait a little longer.\You're all here. response:	We're lucky to have such beautiful weather.
context: No. Our lord told us there's a weapons ban.\Are you saying we should just let them go?!\Why don't we invite them for some tea?\You're kidding me!\Sorry for the delay, everyone. We're still awaiting one arrival.\Just wait a little longer.\You're all here.\We're lucky to have such beautiful weather. response:	You're late, Lord Date. We've been waiting for you.
context: Are you saying we should just let them go?!\Why don't we invite them for some tea?\You're kidding me!\Sorry for the delay, everyone. We're still awaiting one arrival.\Just wait a little longer.\You're all here.\We're lucky to have such beautiful weather.\You're late, Lord Date. We've been waiting for you. response:	Lord Tokugawa, thank you for your invitation.
context: Why don't we invite them for some tea?\You're kidding me!\Sorry for the delay, everyone. We're still awaiting one arrival.\Just wait a little longer.\You're all here.\We're lucky to have such beautiful weather.\You're late, Lord Date. We've been waiting for you.\Lord Tokugawa, thank you for your invitation. response:	Lord Date, hurry up. Go sit next to Lord Sanada.
context: You're kidding me!\Sorry for the delay, everyone. We're still awaiting one arrival.\Just wait a little longer.\You're all here.\We're lucky to have such beautiful weather.\You're late, Lord Date. We've been waiting for you.\Lord Tokugawa, thank you for your invitation.\Lord Date, hurry up. Go sit next to Lord Sanada. response:	Lord Date!
context: Sorry for the delay, everyone. We're still awaiting one arrival.\Just wait a little longer.\You're all here.\We're lucky to have such beautiful weather.\You're late, Lord Date. We've been waiting for you.\Lord Tokugawa, thank you for your invitation.\Lord Date, hurry up. Go sit next to Lord Sanada.\Lord Date! response:	There is a weapons ban in effect!
context: Just wait a little longer.\You're all here.\We're lucky to have such beautiful weather.\You're late, Lord Date. We've been waiting for you.\Lord Tokugawa, thank you for your invitation.\Lord Date, hurry up. Go sit next to Lord Sanada.\Lord Date!\There is a weapons ban in effect! response:	What do you think you're doing?
context: You're all here.\We're lucky to have such beautiful weather.\You're late, Lord Date. We've been waiting for you.\Lord Tokugawa, thank you for your invitation.\Lord Date, hurry up. Go sit next to Lord Sanada.\Lord Date!\There is a weapons ban in effect!\What do you think you're doing? response:	I thought I'd show everyone...
context: We're lucky to have such beautiful weather.\You're late, Lord Date. We've been waiting for you.\Lord Tokugawa, thank you for your invitation.\Lord Date, hurry up. Go sit next to Lord Sanada.\Lord Date!\There is a weapons ban in effect!\What do you think you're doing?\I thought I'd show everyone... response:	Sounds interesting. I'll allow it.
context: You're late, Lord Date. We've been waiting for you.\Lord Tokugawa, thank you for your invitation.\Lord Date, hurry up. Go sit next to Lord Sanada.\Lord Date!\There is a weapons ban in effect!\What do you think you're doing?\I thought I'd show everyone...\Sounds interesting. I'll allow it. response:	The beauty of swordplay comes out when two swords clash.
context: Lord Tokugawa, thank you for your invitation.\Lord Date, hurry up. Go sit next to Lord Sanada.\Lord Date!\There is a weapons ban in effect!\What do you think you're doing?\I thought I'd show everyone...\Sounds interesting. I'll allow it.\The beauty of swordplay comes out when two swords clash. response:	Could I have a volunteer to help me with this performance?
context: Lord Date, hurry up. Go sit next to Lord Sanada.\Lord Date!\There is a weapons ban in effect!\What do you think you're doing?\I thought I'd show everyone...\Sounds interesting. I'll allow it.\The beauty of swordplay comes out when two swords clash.\Could I have a volunteer to help me with this performance? response:	Lord Sanada.
context: Lord Date!\There is a weapons ban in effect!\What do you think you're doing?\I thought I'd show everyone...\Sounds interesting. I'll allow it.\The beauty of swordplay comes out when two swords clash.\Could I have a volunteer to help me with this performance?\Lord Sanada. response:	Would you join me?
context: There is a weapons ban in effect!\What do you think you're doing?\I thought I'd show everyone...\Sounds interesting. I'll allow it.\The beauty of swordplay comes out when two swords clash.\Could I have a volunteer to help me with this performance?\Lord Sanada.\Would you join me? response:	You're too much.
context: What do you think you're doing?\I thought I'd show everyone...\Sounds interesting. I'll allow it.\The beauty of swordplay comes out when two swords clash.\Could I have a volunteer to help me with this performance?\Lord Sanada.\Would you join me?\You're too much. response:	Wait.
context: I thought I'd show everyone...\Sounds interesting. I'll allow it.\The beauty of swordplay comes out when two swords clash.\Could I have a volunteer to help me with this performance?\Lord Sanada.\Would you join me?\You're too much.\Wait. response:	While we are honored by your choice,
context: Sounds interesting. I'll allow it.\The beauty of swordplay comes out when two swords clash.\Could I have a volunteer to help me with this performance?\Lord Sanada.\Would you join me?\You're too much.\Wait.\While we are honored by your choice, response:	my master does not have his sword with him.
context: The beauty of swordplay comes out when two swords clash.\Could I have a volunteer to help me with this performance?\Lord Sanada.\Would you join me?\You're too much.\Wait.\While we are honored by your choice,\my master does not have his sword with him. response:	Would it be possible for you to select another?
context: Could I have a volunteer to help me with this performance?\Lord Sanada.\Would you join me?\You're too much.\Wait.\While we are honored by your choice,\my master does not have his sword with him.\Would it be possible for you to select another? response:	I will lend you my sword.
context: Lord Sanada.\Would you join me?\You're too much.\Wait.\While we are honored by your choice,\my master does not have his sword with him.\Would it be possible for you to select another?\I will lend you my sword. response:	But...
context: Would you join me?\You're too much.\Wait.\While we are honored by your choice,\my master does not have his sword with him.\Would it be possible for you to select another?\I will lend you my sword.\But... response:	It's fine, Rokuro.
context: You're too much.\Wait.\While we are honored by your choice,\my master does not have his sword with him.\Would it be possible for you to select another?\I will lend you my sword.\But...\It's fine, Rokuro. response:	It would be the pinnacle of impoliteness to refuse his request.
context: Wait.\While we are honored by your choice,\my master does not have his sword with him.\Would it be possible for you to select another?\I will lend you my sword.\But...\It's fine, Rokuro.\It would be the pinnacle of impoliteness to refuse his request. response:	I will perform with this.
context: While we are honored by your choice,\my master does not have his sword with him.\Would it be possible for you to select another?\I will lend you my sword.\But...\It's fine, Rokuro.\It would be the pinnacle of impoliteness to refuse his request.\I will perform with this. response:	On your guard.
context: my master does not have his sword with him.\Would it be possible for you to select another?\I will lend you my sword.\But...\It's fine, Rokuro.\It would be the pinnacle of impoliteness to refuse his request.\I will perform with this.\On your guard. response:	On your guard.
context: Would it be possible for you to select another?\I will lend you my sword.\But...\It's fine, Rokuro.\It would be the pinnacle of impoliteness to refuse his request.\I will perform with this.\On your guard.\On your guard. response:	What impressive swordplay.
context: I will lend you my sword.\But...\It's fine, Rokuro.\It would be the pinnacle of impoliteness to refuse his request.\I will perform with this.\On your guard.\On your guard.\What impressive swordplay. response:	One wrong move and he'll be caught on the sharp edge of the blade.
context: But...\It's fine, Rokuro.\It would be the pinnacle of impoliteness to refuse his request.\I will perform with this.\On your guard.\On your guard.\What impressive swordplay.\One wrong move and he'll be caught on the sharp edge of the blade. response:	Knowing that, Lord Sanada moves accordingly.
context: It's fine, Rokuro.\It would be the pinnacle of impoliteness to refuse his request.\I will perform with this.\On your guard.\On your guard.\What impressive swordplay.\One wrong move and he'll be caught on the sharp edge of the blade.\Knowing that, Lord Sanada moves accordingly. response:	Impressive.
context: It would be the pinnacle of impoliteness to refuse his request.\I will perform with this.\On your guard.\On your guard.\What impressive swordplay.\One wrong move and he'll be caught on the sharp edge of the blade.\Knowing that, Lord Sanada moves accordingly.\Impressive. response:	Oh?
context: I will perform with this.\On your guard.\On your guard.\What impressive swordplay.\One wrong move and he'll be caught on the sharp edge of the blade.\Knowing that, Lord Sanada moves accordingly.\Impressive.\Oh? response:	Whoops.
context: On your guard.\On your guard.\What impressive swordplay.\One wrong move and he'll be caught on the sharp edge of the blade.\Knowing that, Lord Sanada moves accordingly.\Impressive.\Oh?\Whoops. response:	My feet can't keep up.
context: On your guard.\What impressive swordplay.\One wrong move and he'll be caught on the sharp edge of the blade.\Knowing that, Lord Sanada moves accordingly.\Impressive.\Oh?\Whoops.\My feet can't keep up. response:	What's wrong, Yukimura? You look like a fool.
context: What impressive swordplay.\One wrong move and he'll be caught on the sharp edge of the blade.\Knowing that, Lord Sanada moves accordingly.\Impressive.\Oh?\Whoops.\My feet can't keep up.\What's wrong, Yukimura? You look like a fool. response:	They seem fast enough to me.
context: One wrong move and he'll be caught on the sharp edge of the blade.\Knowing that, Lord Sanada moves accordingly.\Impressive.\Oh?\Whoops.\My feet can't keep up.\What's wrong, Yukimura? You look like a fool.\They seem fast enough to me. response:	However,
context: Knowing that, Lord Sanada moves accordingly.\Impressive.\Oh?\Whoops.\My feet can't keep up.\What's wrong, Yukimura? You look like a fool.\They seem fast enough to me.\However, response:	you can't run forever!
context: Impressive.\Oh?\Whoops.\My feet can't keep up.\What's wrong, Yukimura? You look like a fool.\They seem fast enough to me.\However,\you can't run forever! response:	Lord!
context: Oh?\Whoops.\My feet can't keep up.\What's wrong, Yukimura? You look like a fool.\They seem fast enough to me.\However,\you can't run forever!\Lord! response:	How unsightly.
context: Whoops.\My feet can't keep up.\What's wrong, Yukimura? You look like a fool.\They seem fast enough to me.\However,\you can't run forever!\Lord!\How unsightly. response:	What?
context: My feet can't keep up.\What's wrong, Yukimura? You look like a fool.\They seem fast enough to me.\However,\you can't run forever!\Lord!\How unsightly.\What? response:	Yukimura, what are you doing?
context: What's wrong, Yukimura? You look like a fool.\They seem fast enough to me.\However,\you can't run forever!\Lord!\How unsightly.\What?\Yukimura, what are you doing? response:	You're not a child.
context: They seem fast enough to me.\However,\you can't run forever!\Lord!\How unsightly.\What?\Yukimura, what are you doing?\You're not a child. response:	Sorry, sorry.
context: However,\you can't run forever!\Lord!\How unsightly.\What?\Yukimura, what are you doing?\You're not a child.\Sorry, sorry. response:	Lord Date's swordplay scared my feet out from under me.
context: you can't run forever!\Lord!\How unsightly.\What?\Yukimura, what are you doing?\You're not a child.\Sorry, sorry.\Lord Date's swordplay scared my feet out from under me. response:	Well, then.
context: Lord!\How unsightly.\What?\Yukimura, what are you doing?\You're not a child.\Sorry, sorry.\Lord Date's swordplay scared my feet out from under me.\Well, then. response:	All that movement has made me thirsty.
context: How unsightly.\What?\Yukimura, what are you doing?\You're not a child.\Sorry, sorry.\Lord Date's swordplay scared my feet out from under me.\Well, then.\All that movement has made me thirsty. response:	Could I get some tea?
context: What?\Yukimura, what are you doing?\You're not a child.\Sorry, sorry.\Lord Date's swordplay scared my feet out from under me.\Well, then.\All that movement has made me thirsty.\Could I get some tea? response:	That was quite the show.
context: Yukimura, what are you doing?\You're not a child.\Sorry, sorry.\Lord Date's swordplay scared my feet out from under me.\Well, then.\All that movement has made me thirsty.\Could I get some tea?\That was quite the show. response:	People will be talking about that raccoon dog's expression for a long time.
context: You're not a child.\Sorry, sorry.\Lord Date's swordplay scared my feet out from under me.\Well, then.\All that movement has made me thirsty.\Could I get some tea?\That was quite the show.\People will be talking about that raccoon dog's expression for a long time. response:	Masamune must be furious to be brushed off like that.
context: Sorry, sorry.\Lord Date's swordplay scared my feet out from under me.\Well, then.\All that movement has made me thirsty.\Could I get some tea?\That was quite the show.\People will be talking about that raccoon dog's expression for a long time.\Masamune must be furious to be brushed off like that. response:	What an embarrassment for the dragon of Oshu.
context: Lord Date's swordplay scared my feet out from under me.\Well, then.\All that movement has made me thirsty.\Could I get some tea?\That was quite the show.\People will be talking about that raccoon dog's expression for a long time.\Masamune must be furious to be brushed off like that.\What an embarrassment for the dragon of Oshu. response:	That was quite the mistake.
context: Well, then.\All that movement has made me thirsty.\Could I get some tea?\That was quite the show.\People will be talking about that raccoon dog's expression for a long time.\Masamune must be furious to be brushed off like that.\What an embarrassment for the dragon of Oshu.\That was quite the mistake. response:	You've always got nasty things to say, Kanetsugu.
context: All that movement has made me thirsty.\Could I get some tea?\That was quite the show.\People will be talking about that raccoon dog's expression for a long time.\Masamune must be furious to be brushed off like that.\What an embarrassment for the dragon of Oshu.\That was quite the mistake.\You've always got nasty things to say, Kanetsugu. response:	I'm surprised you escaped so easily.
context: Could I get some tea?\That was quite the show.\People will be talking about that raccoon dog's expression for a long time.\Masamune must be furious to be brushed off like that.\What an embarrassment for the dragon of Oshu.\That was quite the mistake.\You've always got nasty things to say, Kanetsugu.\I'm surprised you escaped so easily. response:	What are you talking about? That wasn't easy.
context: That was quite the show.\People will be talking about that raccoon dog's expression for a long time.\Masamune must be furious to be brushed off like that.\What an embarrassment for the dragon of Oshu.\That was quite the mistake.\You've always got nasty things to say, Kanetsugu.\I'm surprised you escaped so easily.\What are you talking about? That wasn't easy. response:	Lord Sanada.
context: People will be talking about that raccoon dog's expression for a long time.\Masamune must be furious to be brushed off like that.\What an embarrassment for the dragon of Oshu.\That was quite the mistake.\You've always got nasty things to say, Kanetsugu.\I'm surprised you escaped so easily.\What are you talking about? That wasn't easy.\Lord Sanada. response:	I have a message for Lord Sanada regarding...
context: Masamune must be furious to be brushed off like that.\What an embarrassment for the dragon of Oshu.\That was quite the mistake.\You've always got nasty things to say, Kanetsugu.\I'm surprised you escaped so easily.\What are you talking about? That wasn't easy.\Lord Sanada.\I have a message for Lord Sanada regarding... response:	You are to go up to Fushimi Castle immediately and make an appearance.
context: What an embarrassment for the dragon of Oshu.\That was quite the mistake.\You've always got nasty things to say, Kanetsugu.\I'm surprised you escaped so easily.\What are you talking about? That wasn't easy.\Lord Sanada.\I have a message for Lord Sanada regarding...\You are to go up to Fushimi Castle immediately and make an appearance. response:	Oh, my.
context: That was quite the mistake.\You've always got nasty things to say, Kanetsugu.\I'm surprised you escaped so easily.\What are you talking about? That wasn't easy.\Lord Sanada.\I have a message for Lord Sanada regarding...\You are to go up to Fushimi Castle immediately and make an appearance.\Oh, my. response:	That's completely unfair.
context: You've always got nasty things to say, Kanetsugu.\I'm surprised you escaped so easily.\What are you talking about? That wasn't easy.\Lord Sanada.\I have a message for Lord Sanada regarding...\You are to go up to Fushimi Castle immediately and make an appearance.\Oh, my.\That's completely unfair. response:	If you do not go, there will be consequences.
context: I'm surprised you escaped so easily.\What are you talking about? That wasn't easy.\Lord Sanada.\I have a message for Lord Sanada regarding...\You are to go up to Fushimi Castle immediately and make an appearance.\Oh, my.\That's completely unfair.\If you do not go, there will be consequences. response:	Excuse me.
context: What are you talking about? That wasn't easy.\Lord Sanada.\I have a message for Lord Sanada regarding...\You are to go up to Fushimi Castle immediately and make an appearance.\Oh, my.\That's completely unfair.\If you do not go, there will be consequences.\Excuse me. response:	How one-sided.
context: Lord Sanada.\I have a message for Lord Sanada regarding...\You are to go up to Fushimi Castle immediately and make an appearance.\Oh, my.\That's completely unfair.\If you do not go, there will be consequences.\Excuse me.\How one-sided. response:	With all of Tokugawa's supporters against you,
context: I have a message for Lord Sanada regarding...\You are to go up to Fushimi Castle immediately and make an appearance.\Oh, my.\That's completely unfair.\If you do not go, there will be consequences.\Excuse me.\How one-sided.\With all of Tokugawa's supporters against you, response:	you won't be able to talk your way out of that one.
context: You are to go up to Fushimi Castle immediately and make an appearance.\Oh, my.\That's completely unfair.\If you do not go, there will be consequences.\Excuse me.\How one-sided.\With all of Tokugawa's supporters against you,\you won't be able to talk your way out of that one. response:	That must be their aim.
context: Oh, my.\That's completely unfair.\If you do not go, there will be consequences.\Excuse me.\How one-sided.\With all of Tokugawa's supporters against you,\you won't be able to talk your way out of that one.\That must be their aim. response:	They'll either take your lands or have you kill yourself.
context: That's completely unfair.\If you do not go, there will be consequences.\Excuse me.\How one-sided.\With all of Tokugawa's supporters against you,\you won't be able to talk your way out of that one.\That must be their aim.\They'll either take your lands or have you kill yourself. response:	Yukimura, what will you do?
context: If you do not go, there will be consequences.\Excuse me.\How one-sided.\With all of Tokugawa's supporters against you,\you won't be able to talk your way out of that one.\That must be their aim.\They'll either take your lands or have you kill yourself.\Yukimura, what will you do? response:	I'll ignore it, of course.
context: Excuse me.\How one-sided.\With all of Tokugawa's supporters against you,\you won't be able to talk your way out of that one.\That must be their aim.\They'll either take your lands or have you kill yourself.\Yukimura, what will you do?\I'll ignore it, of course. response:	He got you.
context: How one-sided.\With all of Tokugawa's supporters against you,\you won't be able to talk your way out of that one.\That must be their aim.\They'll either take your lands or have you kill yourself.\Yukimura, what will you do?\I'll ignore it, of course.\He got you. response:	You noticed his footwork, too?
context: With all of Tokugawa's supporters against you,\you won't be able to talk your way out of that one.\That must be their aim.\They'll either take your lands or have you kill yourself.\Yukimura, what will you do?\I'll ignore it, of course.\He got you.\You noticed his footwork, too? response:	Of course.
context: you won't be able to talk your way out of that one.\That must be their aim.\They'll either take your lands or have you kill yourself.\Yukimura, what will you do?\I'll ignore it, of course.\He got you.\You noticed his footwork, too?\Of course. response:	He's an interesting one.
context: That must be their aim.\They'll either take your lands or have you kill yourself.\Yukimura, what will you do?\I'll ignore it, of course.\He got you.\You noticed his footwork, too?\Of course.\He's an interesting one. response:	That slippery fellow's got me excited.
context: They'll either take your lands or have you kill yourself.\Yukimura, what will you do?\I'll ignore it, of course.\He got you.\You noticed his footwork, too?\Of course.\He's an interesting one.\That slippery fellow's got me excited. response:	He looked like he was smiling,
context: Yukimura, what will you do?\I'll ignore it, of course.\He got you.\You noticed his footwork, too?\Of course.\He's an interesting one.\That slippery fellow's got me excited.\He looked like he was smiling, response:	but I could see the boldness in his eyes.
context: I'll ignore it, of course.\He got you.\You noticed his footwork, too?\Of course.\He's an interesting one.\That slippery fellow's got me excited.\He looked like he was smiling,\but I could see the boldness in his eyes. response:	He's more than what he seems.
context: He got you.\You noticed his footwork, too?\Of course.\He's an interesting one.\That slippery fellow's got me excited.\He looked like he was smiling,\but I could see the boldness in his eyes.\He's more than what he seems. response:	My lord.
context: You noticed his footwork, too?\Of course.\He's an interesting one.\That slippery fellow's got me excited.\He looked like he was smiling,\but I could see the boldness in his eyes.\He's more than what he seems.\My lord. response:	What is it?
context: Of course.\He's an interesting one.\That slippery fellow's got me excited.\He looked like he was smiling,\but I could see the boldness in his eyes.\He's more than what he seems.\My lord.\What is it? response:	The priestess who escaped from us...
context: He's an interesting one.\That slippery fellow's got me excited.\He looked like he was smiling,\but I could see the boldness in his eyes.\He's more than what he seems.\My lord.\What is it?\The priestess who escaped from us... response:	The Kushimitama is in the capitol?
context: That slippery fellow's got me excited.\He looked like he was smiling,\but I could see the boldness in his eyes.\He's more than what he seems.\My lord.\What is it?\The priestess who escaped from us...\The Kushimitama is in the capitol? response:	It's empty!
context: He looked like he was smiling,\but I could see the boldness in his eyes.\He's more than what he seems.\My lord.\What is it?\The priestess who escaped from us...\The Kushimitama is in the capitol?\It's empty! response:	He can't have gone far!
context: but I could see the boldness in his eyes.\He's more than what he seems.\My lord.\What is it?\The priestess who escaped from us...\The Kushimitama is in the capitol?\It's empty!\He can't have gone far! response:	After him!
context: He's more than what he seems.\My lord.\What is it?\The priestess who escaped from us...\The Kushimitama is in the capitol?\It's empty!\He can't have gone far!\After him! response:	Don't let Sanada escape!
context: My lord.\What is it?\The priestess who escaped from us...\The Kushimitama is in the capitol?\It's empty!\He can't have gone far!\After him!\Don't let Sanada escape! response:	Hey, what's wrong?
context: What is it?\The priestess who escaped from us...\The Kushimitama is in the capitol?\It's empty!\He can't have gone far!\After him!\Don't let Sanada escape!\Hey, what's wrong? response:	Why are we going back to Ueda now?
context: The priestess who escaped from us...\The Kushimitama is in the capitol?\It's empty!\He can't have gone far!\After him!\Don't let Sanada escape!\Hey, what's wrong?\Why are we going back to Ueda now? response:	I didn't even get to buy souvenirs.
context: The Kushimitama is in the capitol?\It's empty!\He can't have gone far!\After him!\Don't let Sanada escape!\Hey, what's wrong?\Why are we going back to Ueda now?\I didn't even get to buy souvenirs. response:	My apologies, Isanami. You can get them next time.
context: It's empty!\He can't have gone far!\After him!\Don't let Sanada escape!\Hey, what's wrong?\Why are we going back to Ueda now?\I didn't even get to buy souvenirs.\My apologies, Isanami. You can get them next time. response:	I heard he's headed towards Omi!
context: He can't have gone far!\After him!\Don't let Sanada escape!\Hey, what's wrong?\Why are we going back to Ueda now?\I didn't even get to buy souvenirs.\My apologies, Isanami. You can get them next time.\I heard he's headed towards Omi! response:	Follow him! Don't let him escape!
context: After him!\Don't let Sanada escape!\Hey, what's wrong?\Why are we going back to Ueda now?\I didn't even get to buy souvenirs.\My apologies, Isanami. You can get them next time.\I heard he's headed towards Omi!\Follow him! Don't let him escape! response:	You can't get through here.
