context: Note that though we may be apart, if I am to hear response:	Can I copy your homework?
context: He's going to become a master.\That makes you the Queen, Ayase-san.\Queen?\It's the title given to the strongest female player.\Queen...\The best player in Japan...\is the best player in the world!\I believe that you have the talent for karuta. response:	Ayase Chihaya This award certifies that you performed admirably in the 7th East Osato Elementary School Karuta Tournament
context: That makes you the Queen, Ayase-san.\Queen?\It's the title given to the strongest female player.\Queen...\The best player in Japan...\is the best player in the world!\I believe that you have the talent for karuta.\Ayase Chihaya This award certifies that you performed admirably in the 7th East Osato Elementary School Karuta Tournament response:	Hello! Mom?
context: Queen?\It's the title given to the strongest female player.\Queen...\The best player in Japan...\is the best player in the world!\I believe that you have the talent for karuta.\Ayase Chihaya This award certifies that you performed admirably in the 7th East Osato Elementary School Karuta Tournament\Hello! Mom? response:	There was a karuta tournament today!
context: It's the title given to the strongest female player.\Queen...\The best player in Japan...\is the best player in the world!\I believe that you have the talent for karuta.\Ayase Chihaya This award certifies that you performed admirably in the 7th East Osato Elementary School Karuta Tournament\Hello! Mom?\There was a karuta tournament today! response:	We don't have any time for that!
context: Queen...\The best player in Japan...\is the best player in the world!\I believe that you have the talent for karuta.\Ayase Chihaya This award certifies that you performed admirably in the 7th East Osato Elementary School Karuta Tournament\Hello! Mom?\There was a karuta tournament today!\We don't have any time for that! response:	There's a scout at our house
context: The best player in Japan...\is the best player in the world!\I believe that you have the talent for karuta.\Ayase Chihaya This award certifies that you performed admirably in the 7th East Osato Elementary School Karuta Tournament\Hello! Mom?\There was a karuta tournament today!\We don't have any time for that!\There's a scout at our house response:	right now who's interested in your sister.
context: is the best player in the world!\I believe that you have the talent for karuta.\Ayase Chihaya This award certifies that you performed admirably in the 7th East Osato Elementary School Karuta Tournament\Hello! Mom?\There was a karuta tournament today!\We don't have any time for that!\There's a scout at our house\right now who's interested in your sister. response:	What?! Really?!
context: I believe that you have the talent for karuta.\Ayase Chihaya This award certifies that you performed admirably in the 7th East Osato Elementary School Karuta Tournament\Hello! Mom?\There was a karuta tournament today!\We don't have any time for that!\There's a scout at our house\right now who's interested in your sister.\What?! Really?! response:	That's amazing!
context: Ayase Chihaya This award certifies that you performed admirably in the 7th East Osato Elementary School Karuta Tournament\Hello! Mom?\There was a karuta tournament today!\We don't have any time for that!\There's a scout at our house\right now who's interested in your sister.\What?! Really?!\That's amazing! response:	He must have seen her in the beauty pageant.
context: Hello! Mom?\There was a karuta tournament today!\We don't have any time for that!\There's a scout at our house\right now who's interested in your sister.\What?! Really?!\That's amazing!\He must have seen her in the beauty pageant. response:	Hurry home.
context: There was a karuta tournament today!\We don't have any time for that!\There's a scout at our house\right now who's interested in your sister.\What?! Really?!\That's amazing!\He must have seen her in the beauty pageant.\Hurry home. response:	I'll have a big dinner ready.
context: We don't have any time for that!\There's a scout at our house\right now who's interested in your sister.\What?! Really?!\That's amazing!\He must have seen her in the beauty pageant.\Hurry home.\I'll have a big dinner ready. response:	We'll throw a party for your sister.
context: There's a scout at our house\right now who's interested in your sister.\What?! Really?!\That's amazing!\He must have seen her in the beauty pageant.\Hurry home.\I'll have a big dinner ready.\We'll throw a party for your sister. response:	U-Um, there was this karuta tournament today and I...
context: right now who's interested in your sister.\What?! Really?!\That's amazing!\He must have seen her in the beauty pageant.\Hurry home.\I'll have a big dinner ready.\We'll throw a party for your sister.\U-Um, there was this karuta tournament today and I... response:	Geez... Hurry up, Mom.
context: What?! Really?!\That's amazing!\He must have seen her in the beauty pageant.\Hurry home.\I'll have a big dinner ready.\We'll throw a party for your sister.\U-Um, there was this karuta tournament today and I...\Geez... Hurry up, Mom. response:	Chihaya?
context: That's amazing!\He must have seen her in the beauty pageant.\Hurry home.\I'll have a big dinner ready.\We'll throw a party for your sister.\U-Um, there was this karuta tournament today and I...\Geez... Hurry up, Mom.\Chihaya? response:	Oh, Sis?
context: He must have seen her in the beauty pageant.\Hurry home.\I'll have a big dinner ready.\We'll throw a party for your sister.\U-Um, there was this karuta tournament today and I...\Geez... Hurry up, Mom.\Chihaya?\Oh, Sis? response:	That's great news!
context: Hurry home.\I'll have a big dinner ready.\We'll throw a party for your sister.\U-Um, there was this karuta tournament today and I...\Geez... Hurry up, Mom.\Chihaya?\Oh, Sis?\That's great news! response:	And today, I was in a karuta tournament!
context: I'll have a big dinner ready.\We'll throw a party for your sister.\U-Um, there was this karuta tournament today and I...\Geez... Hurry up, Mom.\Chihaya?\Oh, Sis?\That's great news!\And today, I was in a karuta tournament! response:	Karuta?
context: We'll throw a party for your sister.\U-Um, there was this karuta tournament today and I...\Geez... Hurry up, Mom.\Chihaya?\Oh, Sis?\That's great news!\And today, I was in a karuta tournament!\Karuta? response:	Boring. And lame.
context: U-Um, there was this karuta tournament today and I...\Geez... Hurry up, Mom.\Chihaya?\Oh, Sis?\That's great news!\And today, I was in a karuta tournament!\Karuta?\Boring. And lame. response:	I'm gonna hang up.
context: Geez... Hurry up, Mom.\Chihaya?\Oh, Sis?\That's great news!\And today, I was in a karuta tournament!\Karuta?\Boring. And lame.\I'm gonna hang up. response:	How could you lose to a girl?
context: Chihaya?\Oh, Sis?\That's great news!\And today, I was in a karuta tournament!\Karuta?\Boring. And lame.\I'm gonna hang up.\How could you lose to a girl? response:	I was recording your matches.
context: Oh, Sis?\That's great news!\And today, I was in a karuta tournament!\Karuta?\Boring. And lame.\I'm gonna hang up.\How could you lose to a girl?\I was recording your matches. response:	Now I can't show this to your father.
context: That's great news!\And today, I was in a karuta tournament!\Karuta?\Boring. And lame.\I'm gonna hang up.\How could you lose to a girl?\I was recording your matches.\Now I can't show this to your father. response:	I-I'm sorry...
context: And today, I was in a karuta tournament!\Karuta?\Boring. And lame.\I'm gonna hang up.\How could you lose to a girl?\I was recording your matches.\Now I can't show this to your father.\I-I'm sorry... response:	It doesn't matter if you can play karuta or not,
context: Karuta?\Boring. And lame.\I'm gonna hang up.\How could you lose to a girl?\I was recording your matches.\Now I can't show this to your father.\I-I'm sorry...\It doesn't matter if you can play karuta or not, response:	but if you're going to lose,
context: Boring. And lame.\I'm gonna hang up.\How could you lose to a girl?\I was recording your matches.\Now I can't show this to your father.\I-I'm sorry...\It doesn't matter if you can play karuta or not,\but if you're going to lose, response:	you're no longer allowed to play in tournaments.
context: I'm gonna hang up.\How could you lose to a girl?\I was recording your matches.\Now I can't show this to your father.\I-I'm sorry...\It doesn't matter if you can play karuta or not,\but if you're going to lose,\you're no longer allowed to play in tournaments. response:	You're a good student and a good athlete.
context: How could you lose to a girl?\I was recording your matches.\Now I can't show this to your father.\I-I'm sorry...\It doesn't matter if you can play karuta or not,\but if you're going to lose,\you're no longer allowed to play in tournaments.\You're a good student and a good athlete. response:	Focus on contests that you can win.
context: I was recording your matches.\Now I can't show this to your father.\I-I'm sorry...\It doesn't matter if you can play karuta or not,\but if you're going to lose,\you're no longer allowed to play in tournaments.\You're a good student and a good athlete.\Focus on contests that you can win. response:	What?
context: Now I can't show this to your father.\I-I'm sorry...\It doesn't matter if you can play karuta or not,\but if you're going to lose,\you're no longer allowed to play in tournaments.\You're a good student and a good athlete.\Focus on contests that you can win.\What? response:	You beat me. Why are you so upset?
context: I-I'm sorry...\It doesn't matter if you can play karuta or not,\but if you're going to lose,\you're no longer allowed to play in tournaments.\You're a good student and a good athlete.\Focus on contests that you can win.\What?\You beat me. Why are you so upset? response:	I'm not.
context: It doesn't matter if you can play karuta or not,\but if you're going to lose,\you're no longer allowed to play in tournaments.\You're a good student and a good athlete.\Focus on contests that you can win.\What?\You beat me. Why are you so upset?\I'm not. response:	What's that sound?
context: but if you're going to lose,\you're no longer allowed to play in tournaments.\You're a good student and a good athlete.\Focus on contests that you can win.\What?\You beat me. Why are you so upset?\I'm not.\What's that sound? response:	Huh?
context: you're no longer allowed to play in tournaments.\You're a good student and a good athlete.\Focus on contests that you can win.\What?\You beat me. Why are you so upset?\I'm not.\What's that sound?\Huh? response:	Didn't you hear that slam?
context: You're a good student and a good athlete.\Focus on contests that you can win.\What?\You beat me. Why are you so upset?\I'm not.\What's that sound?\Huh?\Didn't you hear that slam? response:	Oh, there it is again.
context: Focus on contests that you can win.\What?\You beat me. Why are you so upset?\I'm not.\What's that sound?\Huh?\Didn't you hear that slam?\Oh, there it is again. response:	Sound?
context: What?\You beat me. Why are you so upset?\I'm not.\What's that sound?\Huh?\Didn't you hear that slam?\Oh, there it is again.\Sound? response:	Oh, I can hear it.
context: You beat me. Why are you so upset?\I'm not.\What's that sound?\Huh?\Didn't you hear that slam?\Oh, there it is again.\Sound?\Oh, I can hear it. response:	See?
context: I'm not.\What's that sound?\Huh?\Didn't you hear that slam?\Oh, there it is again.\Sound?\Oh, I can hear it.\See? response:	How good is your hearing?
context: What's that sound?\Huh?\Didn't you hear that slam?\Oh, there it is again.\Sound?\Oh, I can hear it.\See?\How good is your hearing? response:	I wish I was born with a more useful talent.
context: Huh?\Didn't you hear that slam?\Oh, there it is again.\Sound?\Oh, I can hear it.\See?\How good is your hearing?\I wish I was born with a more useful talent. response:	So I could be a good student and athlete like you.
context: Didn't you hear that slam?\Oh, there it is again.\Sound?\Oh, I can hear it.\See?\How good is your hearing?\I wish I was born with a more useful talent.\So I could be a good student and athlete like you. response:	That's true. I was born this good.
context: Oh, there it is again.\Sound?\Oh, I can hear it.\See?\How good is your hearing?\I wish I was born with a more useful talent.\So I could be a good student and athlete like you.\That's true. I was born this good. response:	But I know that you made flashcards for learning the Hundred Poets.
context: Sound?\Oh, I can hear it.\See?\How good is your hearing?\I wish I was born with a more useful talent.\So I could be a good student and athlete like you.\That's true. I was born this good.\But I know that you made flashcards for learning the Hundred Poets. response:	Don't tell anyone.
context: Oh, I can hear it.\See?\How good is your hearing?\I wish I was born with a more useful talent.\So I could be a good student and athlete like you.\That's true. I was born this good.\But I know that you made flashcards for learning the Hundred Poets.\Don't tell anyone. response:	They'll think I'm lame.
context: See?\How good is your hearing?\I wish I was born with a more useful talent.\So I could be a good student and athlete like you.\That's true. I was born this good.\But I know that you made flashcards for learning the Hundred Poets.\Don't tell anyone.\They'll think I'm lame. response:	And then I lost to you.
context: How good is your hearing?\I wish I was born with a more useful talent.\So I could be a good student and athlete like you.\That's true. I was born this good.\But I know that you made flashcards for learning the Hundred Poets.\Don't tell anyone.\They'll think I'm lame.\And then I lost to you. response:	What's so lame about losing in a fair fight?!
context: I wish I was born with a more useful talent.\So I could be a good student and athlete like you.\That's true. I was born this good.\But I know that you made flashcards for learning the Hundred Poets.\Don't tell anyone.\They'll think I'm lame.\And then I lost to you.\What's so lame about losing in a fair fight?! response:	At least, that's what I think.
context: So I could be a good student and athlete like you.\That's true. I was born this good.\But I know that you made flashcards for learning the Hundred Poets.\Don't tell anyone.\They'll think I'm lame.\And then I lost to you.\What's so lame about losing in a fair fight?!\At least, that's what I think. response:	Though nobody's gonna praise you for doing well at karuta.
context: That's true. I was born this good.\But I know that you made flashcards for learning the Hundred Poets.\Don't tell anyone.\They'll think I'm lame.\And then I lost to you.\What's so lame about losing in a fair fight?!\At least, that's what I think.\Though nobody's gonna praise you for doing well at karuta. response:	He doesn't need his glasses...
context: But I know that you made flashcards for learning the Hundred Poets.\Don't tell anyone.\They'll think I'm lame.\And then I lost to you.\What's so lame about losing in a fair fight?!\At least, that's what I think.\Though nobody's gonna praise you for doing well at karuta.\He doesn't need his glasses... response:	Or cards...
context: Don't tell anyone.\They'll think I'm lame.\And then I lost to you.\What's so lame about losing in a fair fight?!\At least, that's what I think.\Though nobody's gonna praise you for doing well at karuta.\He doesn't need his glasses...\Or cards... response:	He can see everything!
context: They'll think I'm lame.\And then I lost to you.\What's so lame about losing in a fair fight?!\At least, that's what I think.\Though nobody's gonna praise you for doing well at karuta.\He doesn't need his glasses...\Or cards...\He can see everything! response:	What are you doing all alone here?
context: And then I lost to you.\What's so lame about losing in a fair fight?!\At least, that's what I think.\Though nobody's gonna praise you for doing well at karuta.\He doesn't need his glasses...\Or cards...\He can see everything!\What are you doing all alone here? response:	You like playing karuta that much?
context: What's so lame about losing in a fair fight?!\At least, that's what I think.\Though nobody's gonna praise you for doing well at karuta.\He doesn't need his glasses...\Or cards...\He can see everything!\What are you doing all alone here?\You like playing karuta that much? response:	I'll go look for your glasses again!
context: At least, that's what I think.\Though nobody's gonna praise you for doing well at karuta.\He doesn't need his glasses...\Or cards...\He can see everything!\What are you doing all alone here?\You like playing karuta that much?\I'll go look for your glasses again! response:	H-Hey, Chihaya!
context: Though nobody's gonna praise you for doing well at karuta.\He doesn't need his glasses...\Or cards...\He can see everything!\What are you doing all alone here?\You like playing karuta that much?\I'll go look for your glasses again!\H-Hey, Chihaya! response:	There are a lot of crows around here,
context: He doesn't need his glasses...\Or cards...\He can see everything!\What are you doing all alone here?\You like playing karuta that much?\I'll go look for your glasses again!\H-Hey, Chihaya!\There are a lot of crows around here, response:	and one of them might have taken the glasses since they're shiny!
context: Or cards...\He can see everything!\What are you doing all alone here?\You like playing karuta that much?\I'll go look for your glasses again!\H-Hey, Chihaya!\There are a lot of crows around here,\and one of them might have taken the glasses since they're shiny! response:	I'll go check the hill behind the school!
context: He can see everything!\What are you doing all alone here?\You like playing karuta that much?\I'll go look for your glasses again!\H-Hey, Chihaya!\There are a lot of crows around here,\and one of them might have taken the glasses since they're shiny!\I'll go check the hill behind the school! response:	Ayase-san!
context: What are you doing all alone here?\You like playing karuta that much?\I'll go look for your glasses again!\H-Hey, Chihaya!\There are a lot of crows around here,\and one of them might have taken the glasses since they're shiny!\I'll go check the hill behind the school!\Ayase-san! response:	Ayase-san, it's okay!
context: You like playing karuta that much?\I'll go look for your glasses again!\H-Hey, Chihaya!\There are a lot of crows around here,\and one of them might have taken the glasses since they're shiny!\I'll go check the hill behind the school!\Ayase-san!\Ayase-san, it's okay! response:	It's okay!
context: I'll go look for your glasses again!\H-Hey, Chihaya!\There are a lot of crows around here,\and one of them might have taken the glasses since they're shiny!\I'll go check the hill behind the school!\Ayase-san!\Ayase-san, it's okay!\It's okay! response:	I have to find them!
context: H-Hey, Chihaya!\There are a lot of crows around here,\and one of them might have taken the glasses since they're shiny!\I'll go check the hill behind the school!\Ayase-san!\Ayase-san, it's okay!\It's okay!\I have to find them! response:	I have to find Wataya-kun's glasses!
context: There are a lot of crows around here,\and one of them might have taken the glasses since they're shiny!\I'll go check the hill behind the school!\Ayase-san!\Ayase-san, it's okay!\It's okay!\I have to find them!\I have to find Wataya-kun's glasses! response:	I want to help Wataya-kun play karuta!
context: and one of them might have taken the glasses since they're shiny!\I'll go check the hill behind the school!\Ayase-san!\Ayase-san, it's okay!\It's okay!\I have to find them!\I have to find Wataya-kun's glasses!\I want to help Wataya-kun play karuta! response:	Ayase-san...
context: I'll go check the hill behind the school!\Ayase-san!\Ayase-san, it's okay!\It's okay!\I have to find them!\I have to find Wataya-kun's glasses!\I want to help Wataya-kun play karuta!\Ayase-san... response:	found them in the hallway.
context: Ayase-san!\Ayase-san, it's okay!\It's okay!\I have to find them!\I have to find Wataya-kun's glasses!\I want to help Wataya-kun play karuta!\Ayase-san...\found them in the hallway. response:	N-No.
context: Ayase-san, it's okay!\It's okay!\I have to find them!\I have to find Wataya-kun's glasses!\I want to help Wataya-kun play karuta!\Ayase-san...\found them in the hallway.\N-No. response:	I stole them.
context: It's okay!\I have to find them!\I have to find Wataya-kun's glasses!\I want to help Wataya-kun play karuta!\Ayase-san...\found them in the hallway.\N-No.\I stole them. response:	They're not here.
context: I have to find them!\I have to find Wataya-kun's glasses!\I want to help Wataya-kun play karuta!\Ayase-san...\found them in the hallway.\N-No.\I stole them.\They're not here. response:	Oh, sorry!
context: I have to find Wataya-kun's glasses!\I want to help Wataya-kun play karuta!\Ayase-san...\found them in the hallway.\N-No.\I stole them.\They're not here.\Oh, sorry! response:	Don't tell Chihaya.
context: I want to help Wataya-kun play karuta!\Ayase-san...\found them in the hallway.\N-No.\I stole them.\They're not here.\Oh, sorry!\Don't tell Chihaya. response:	I don't want
context: Ayase-san...\found them in the hallway.\N-No.\I stole them.\They're not here.\Oh, sorry!\Don't tell Chihaya.\I don't want response:	her to hate me.
context: found them in the hallway.\N-No.\I stole them.\They're not here.\Oh, sorry!\Don't tell Chihaya.\I don't want\her to hate me. response:	Mashima, you're...
context: N-No.\I stole them.\They're not here.\Oh, sorry!\Don't tell Chihaya.\I don't want\her to hate me.\Mashima, you're... response:	a coward.
context: I stole them.\They're not here.\Oh, sorry!\Don't tell Chihaya.\I don't want\her to hate me.\Mashima, you're...\a coward. response:	A Coward
context: They're not here.\Oh, sorry!\Don't tell Chihaya.\I don't want\her to hate me.\Mashima, you're...\a coward.\A Coward response:	A-A coward?
context: Oh, sorry!\Don't tell Chihaya.\I don't want\her to hate me.\Mashima, you're...\a coward.\A Coward\A-A coward? response:	But...
context: Don't tell Chihaya.\I don't want\her to hate me.\Mashima, you're...\a coward.\A Coward\A-A coward?\But... response:	I understand how you feel.
context: I don't want\her to hate me.\Mashima, you're...\a coward.\A Coward\A-A coward?\But...\I understand how you feel. response:	They're not here either!
context: her to hate me.\Mashima, you're...\a coward.\A Coward\A-A coward?\But...\I understand how you feel.\They're not here either! response:	How many crow nests are there anyway?
context: Mashima, you're...\a coward.\A Coward\A-A coward?\But...\I understand how you feel.\They're not here either!\How many crow nests are there anyway? response:	Chihaya!
context: a coward.\A Coward\A-A coward?\But...\I understand how you feel.\They're not here either!\How many crow nests are there anyway?\Chihaya! response:	I found my glasses!
context: A Coward\A-A coward?\But...\I understand how you feel.\They're not here either!\How many crow nests are there anyway?\Chihaya!\I found my glasses! response:	Hey! Where are you?!
context: A-A coward?\But...\I understand how you feel.\They're not here either!\How many crow nests are there anyway?\Chihaya!\I found my glasses!\Hey! Where are you?! response:	Ayase-san...
context: But...\I understand how you feel.\They're not here either!\How many crow nests are there anyway?\Chihaya!\I found my glasses!\Hey! Where are you?!\Ayase-san... response:	Chihaya!
context: I understand how you feel.\They're not here either!\How many crow nests are there anyway?\Chihaya!\I found my glasses!\Hey! Where are you?!\Ayase-san...\Chihaya! response:	Chihaya!
context: They're not here either!\How many crow nests are there anyway?\Chihaya!\I found my glasses!\Hey! Where are you?!\Ayase-san...\Chihaya!\Chihaya! response:	Chi
context: How many crow nests are there anyway?\Chihaya!\I found my glasses!\Hey! Where are you?!\Ayase-san...\Chihaya!\Chihaya!\Chi response:	Chihaya.
context: Chihaya!\I found my glasses!\Hey! Where are you?!\Ayase-san...\Chihaya!\Chihaya!\Chi\Chihaya. response:	Chihaya!
context: I found my glasses!\Hey! Where are you?!\Ayase-san...\Chihaya!\Chihaya!\Chi\Chihaya.\Chihaya! response:	Here!
context: Hey! Where are you?!\Ayase-san...\Chihaya!\Chihaya!\Chi\Chihaya.\Chihaya!\Here! response:	That was when I knew.
context: Ayase-san...\Chihaya!\Chihaya!\Chi\Chihaya.\Chihaya!\Here!\That was when I knew. response:	I would discover many lifelong treasures this winter.
