context: Why? response:	How?
context: Isn't Turtle Man here?\He might have run far off by now.\How can you be so nonchalant?!\What if right now\Why don't you try luring him out, then?\Email!\I see.\You're going to send a reply to Ito's email from yesterday. response:	Sender: Hikiotani Ito Subject: No Title
context: He might have run far off by now.\How can you be so nonchalant?!\What if right now\Why don't you try luring him out, then?\Email!\I see.\You're going to send a reply to Ito's email from yesterday.\Sender: Hikiotani Ito Subject: No Title response:	Please come to the Korai House rooftop.
context: How can you be so nonchalant?!\What if right now\Why don't you try luring him out, then?\Email!\I see.\You're going to send a reply to Ito's email from yesterday.\Sender: Hikiotani Ito Subject: No Title\Please come to the Korai House rooftop. response:	There's no one here right now.
context: What if right now\Why don't you try luring him out, then?\Email!\I see.\You're going to send a reply to Ito's email from yesterday.\Sender: Hikiotani Ito Subject: No Title\Please come to the Korai House rooftop.\There's no one here right now. response:	Okay, send!
context: Why don't you try luring him out, then?\Email!\I see.\You're going to send a reply to Ito's email from yesterday.\Sender: Hikiotani Ito Subject: No Title\Please come to the Korai House rooftop.\There's no one here right now.\Okay, send! response:	Awesome Spirit
context: Email!\I see.\You're going to send a reply to Ito's email from yesterday.\Sender: Hikiotani Ito Subject: No Title\Please come to the Korai House rooftop.\There's no one here right now.\Okay, send!\Awesome Spirit response:	No!
context: I see.\You're going to send a reply to Ito's email from yesterday.\Sender: Hikiotani Ito Subject: No Title\Please come to the Korai House rooftop.\There's no one here right now.\Okay, send!\Awesome Spirit\No! response:	It's gone!
context: You're going to send a reply to Ito's email from yesterday.\Sender: Hikiotani Ito Subject: No Title\Please come to the Korai House rooftop.\There's no one here right now.\Okay, send!\Awesome Spirit\No!\It's gone! response:	The jar of cinnamon?
context: Sender: Hikiotani Ito Subject: No Title\Please come to the Korai House rooftop.\There's no one here right now.\Okay, send!\Awesome Spirit\No!\It's gone!\The jar of cinnamon? response:	Why?
context: Please come to the Korai House rooftop.\There's no one here right now.\Okay, send!\Awesome Spirit\No!\It's gone!\The jar of cinnamon?\Why? response:	There was another one!
context: There's no one here right now.\Okay, send!\Awesome Spirit\No!\It's gone!\The jar of cinnamon?\Why?\There was another one! response:	Were you thinking of using Rabura's body
context: Okay, send!\Awesome Spirit\No!\It's gone!\The jar of cinnamon?\Why?\There was another one!\Were you thinking of using Rabura's body response:	to fight against Turtle Man or something?
context: Awesome Spirit\No!\It's gone!\The jar of cinnamon?\Why?\There was another one!\Were you thinking of using Rabura's body\to fight against Turtle Man or something? response:	I have another plan!
context: No!\It's gone!\The jar of cinnamon?\Why?\There was another one!\Were you thinking of using Rabura's body\to fight against Turtle Man or something?\I have another plan! response:	I do!
context: It's gone!\The jar of cinnamon?\Why?\There was another one!\Were you thinking of using Rabura's body\to fight against Turtle Man or something?\I have another plan!\I do! response:	All right, almost done with repairs.
context: The jar of cinnamon?\Why?\There was another one!\Were you thinking of using Rabura's body\to fight against Turtle Man or something?\I have another plan!\I do!\All right, almost done with repairs. response:	What could I use to beat Turtle Man?
context: Why?\There was another one!\Were you thinking of using Rabura's body\to fight against Turtle Man or something?\I have another plan!\I do!\All right, almost done with repairs.\What could I use to beat Turtle Man? response:	That's it! A stun gun!
context: There was another one!\Were you thinking of using Rabura's body\to fight against Turtle Man or something?\I have another plan!\I do!\All right, almost done with repairs.\What could I use to beat Turtle Man?\That's it! A stun gun! response:	Then how about these?
context: Were you thinking of using Rabura's body\to fight against Turtle Man or something?\I have another plan!\I do!\All right, almost done with repairs.\What could I use to beat Turtle Man?\That's it! A stun gun!\Then how about these? response:	I've seen these before.
context: to fight against Turtle Man or something?\I have another plan!\I do!\All right, almost done with repairs.\What could I use to beat Turtle Man?\That's it! A stun gun!\Then how about these?\I've seen these before. response:	They're...
context: I have another plan!\I do!\All right, almost done with repairs.\What could I use to beat Turtle Man?\That's it! A stun gun!\Then how about these?\I've seen these before.\They're... response:	Wow, you're a genius, Meika!
context: I do!\All right, almost done with repairs.\What could I use to beat Turtle Man?\That's it! A stun gun!\Then how about these?\I've seen these before.\They're...\Wow, you're a genius, Meika! response:	I still have more amazing stuff.
context: All right, almost done with repairs.\What could I use to beat Turtle Man?\That's it! A stun gun!\Then how about these?\I've seen these before.\They're...\Wow, you're a genius, Meika!\I still have more amazing stuff. response:	Like this.
context: What could I use to beat Turtle Man?\That's it! A stun gun!\Then how about these?\I've seen these before.\They're...\Wow, you're a genius, Meika!\I still have more amazing stuff.\Like this. response:	Face Maker!
context: That's it! A stun gun!\Then how about these?\I've seen these before.\They're...\Wow, you're a genius, Meika!\I still have more amazing stuff.\Like this.\Face Maker! response:	It's basically a disguise mask.
context: Then how about these?\I've seen these before.\They're...\Wow, you're a genius, Meika!\I still have more amazing stuff.\Like this.\Face Maker!\It's basically a disguise mask. response:	Awesome!
context: I've seen these before.\They're...\Wow, you're a genius, Meika!\I still have more amazing stuff.\Like this.\Face Maker!\It's basically a disguise mask.\Awesome! response:	Right?
context: They're...\Wow, you're a genius, Meika!\I still have more amazing stuff.\Like this.\Face Maker!\It's basically a disguise mask.\Awesome!\Right? response:	You can look like anyone, if you have 3D data of their head.
context: Wow, you're a genius, Meika!\I still have more amazing stuff.\Like this.\Face Maker!\It's basically a disguise mask.\Awesome!\Right?\You can look like anyone, if you have 3D data of their head. response:	It's totally Rabura.
context: I still have more amazing stuff.\Like this.\Face Maker!\It's basically a disguise mask.\Awesome!\Right?\You can look like anyone, if you have 3D data of their head.\It's totally Rabura. response:	Let's change my voice, too.
context: Like this.\Face Maker!\It's basically a disguise mask.\Awesome!\Right?\You can look like anyone, if you have 3D data of their head.\It's totally Rabura.\Let's change my voice, too. response:	Using this tiny voice changer, Voice Maker...
context: Face Maker!\It's basically a disguise mask.\Awesome!\Right?\You can look like anyone, if you have 3D data of their head.\It's totally Rabura.\Let's change my voice, too.\Using this tiny voice changer, Voice Maker... response:	Hi, I'm Ito-chan, and I love BL.
context: It's basically a disguise mask.\Awesome!\Right?\You can look like anyone, if you have 3D data of their head.\It's totally Rabura.\Let's change my voice, too.\Using this tiny voice changer, Voice Maker...\Hi, I'm Ito-chan, and I love BL. response:	Chiranosuke, I have a plan!
context: Awesome!\Right?\You can look like anyone, if you have 3D data of their head.\It's totally Rabura.\Let's change my voice, too.\Using this tiny voice changer, Voice Maker...\Hi, I'm Ito-chan, and I love BL.\Chiranosuke, I have a plan! response:	Cancel New Message Send To: Daihatsu Meika, Chichibu Rabura Sender: Hikiotani Ito Subject: No Title
context: Right?\You can look like anyone, if you have 3D data of their head.\It's totally Rabura.\Let's change my voice, too.\Using this tiny voice changer, Voice Maker...\Hi, I'm Ito-chan, and I love BL.\Chiranosuke, I have a plan!\Cancel New Message Send To: Daihatsu Meika, Chichibu Rabura Sender: Hikiotani Ito Subject: No Title response:	To: Meika, Rabura.
context: You can look like anyone, if you have 3D data of their head.\It's totally Rabura.\Let's change my voice, too.\Using this tiny voice changer, Voice Maker...\Hi, I'm Ito-chan, and I love BL.\Chiranosuke, I have a plan!\Cancel New Message Send To: Daihatsu Meika, Chichibu Rabura Sender: Hikiotani Ito Subject: No Title\To: Meika, Rabura. response:	Turtle Man is headed to the Korai House rooftop!
context: It's totally Rabura.\Let's change my voice, too.\Using this tiny voice changer, Voice Maker...\Hi, I'm Ito-chan, and I love BL.\Chiranosuke, I have a plan!\Cancel New Message Send To: Daihatsu Meika, Chichibu Rabura Sender: Hikiotani Ito Subject: No Title\To: Meika, Rabura.\Turtle Man is headed to the Korai House rooftop! response:	Please! Do what you can together to defeat him!
context: Let's change my voice, too.\Using this tiny voice changer, Voice Maker...\Hi, I'm Ito-chan, and I love BL.\Chiranosuke, I have a plan!\Cancel New Message Send To: Daihatsu Meika, Chichibu Rabura Sender: Hikiotani Ito Subject: No Title\To: Meika, Rabura.\Turtle Man is headed to the Korai House rooftop!\Please! Do what you can together to defeat him! response:	When you say you have a plan, you really mean...
context: Using this tiny voice changer, Voice Maker...\Hi, I'm Ito-chan, and I love BL.\Chiranosuke, I have a plan!\Cancel New Message Send To: Daihatsu Meika, Chichibu Rabura Sender: Hikiotani Ito Subject: No Title\To: Meika, Rabura.\Turtle Man is headed to the Korai House rooftop!\Please! Do what you can together to defeat him!\When you say you have a plan, you really mean... response:	I wonder if it'll work.
context: Hi, I'm Ito-chan, and I love BL.\Chiranosuke, I have a plan!\Cancel New Message Send To: Daihatsu Meika, Chichibu Rabura Sender: Hikiotani Ito Subject: No Title\To: Meika, Rabura.\Turtle Man is headed to the Korai House rooftop!\Please! Do what you can together to defeat him!\When you say you have a plan, you really mean...\I wonder if it'll work. response:	Don't worry, those two can pull it off.
context: Chiranosuke, I have a plan!\Cancel New Message Send To: Daihatsu Meika, Chichibu Rabura Sender: Hikiotani Ito Subject: No Title\To: Meika, Rabura.\Turtle Man is headed to the Korai House rooftop!\Please! Do what you can together to defeat him!\When you say you have a plan, you really mean...\I wonder if it'll work.\Don't worry, those two can pull it off. response:	Muhi, where are you?
context: Cancel New Message Send To: Daihatsu Meika, Chichibu Rabura Sender: Hikiotani Ito Subject: No Title\To: Meika, Rabura.\Turtle Man is headed to the Korai House rooftop!\Please! Do what you can together to defeat him!\When you say you have a plan, you really mean...\I wonder if it'll work.\Don't worry, those two can pull it off.\Muhi, where are you? response:	Muhi!
context: To: Meika, Rabura.\Turtle Man is headed to the Korai House rooftop!\Please! Do what you can together to defeat him!\When you say you have a plan, you really mean...\I wonder if it'll work.\Don't worry, those two can pull it off.\Muhi, where are you?\Muhi! response:	Ito-chan!
context: Turtle Man is headed to the Korai House rooftop!\Please! Do what you can together to defeat him!\When you say you have a plan, you really mean...\I wonder if it'll work.\Don't worry, those two can pull it off.\Muhi, where are you?\Muhi!\Ito-chan! response:	Here he comes, just like the email said.
context: Please! Do what you can together to defeat him!\When you say you have a plan, you really mean...\I wonder if it'll work.\Don't worry, those two can pull it off.\Muhi, where are you?\Muhi!\Ito-chan!\Here he comes, just like the email said. response:	I guess we'll have to do it.
context: When you say you have a plan, you really mean...\I wonder if it'll work.\Don't worry, those two can pull it off.\Muhi, where are you?\Muhi!\Ito-chan!\Here he comes, just like the email said.\I guess we'll have to do it. response:	Let's call a cease fire for now.
context: I wonder if it'll work.\Don't worry, those two can pull it off.\Muhi, where are you?\Muhi!\Ito-chan!\Here he comes, just like the email said.\I guess we'll have to do it.\Let's call a cease fire for now. response:	Cease fire?
context: Don't worry, those two can pull it off.\Muhi, where are you?\Muhi!\Ito-chan!\Here he comes, just like the email said.\I guess we'll have to do it.\Let's call a cease fire for now.\Cease fire? response:	We were in the middle of a fight, remember?
context: Muhi, where are you?\Muhi!\Ito-chan!\Here he comes, just like the email said.\I guess we'll have to do it.\Let's call a cease fire for now.\Cease fire?\We were in the middle of a fight, remember? response:	Oh, right.
context: Muhi!\Ito-chan!\Here he comes, just like the email said.\I guess we'll have to do it.\Let's call a cease fire for now.\Cease fire?\We were in the middle of a fight, remember?\Oh, right. response:	Anyway, for now...
context: Ito-chan!\Here he comes, just like the email said.\I guess we'll have to do it.\Let's call a cease fire for now.\Cease fire?\We were in the middle of a fight, remember?\Oh, right.\Anyway, for now... response:	I know.
context: Here he comes, just like the email said.\I guess we'll have to do it.\Let's call a cease fire for now.\Cease fire?\We were in the middle of a fight, remember?\Oh, right.\Anyway, for now...\I know. response:	Come on, let's begin the operation.
context: I guess we'll have to do it.\Let's call a cease fire for now.\Cease fire?\We were in the middle of a fight, remember?\Oh, right.\Anyway, for now...\I know.\Come on, let's begin the operation. response:	Now, bring it on, Turtle Man.
context: Let's call a cease fire for now.\Cease fire?\We were in the middle of a fight, remember?\Oh, right.\Anyway, for now...\I know.\Come on, let's begin the operation.\Now, bring it on, Turtle Man. response:	If I recall, she changes her appearance to draw the enemy's attention,
context: Cease fire?\We were in the middle of a fight, remember?\Oh, right.\Anyway, for now...\I know.\Come on, let's begin the operation.\Now, bring it on, Turtle Man.\If I recall, she changes her appearance to draw the enemy's attention, response:	Rabura holds his arms from behind,
context: We were in the middle of a fight, remember?\Oh, right.\Anyway, for now...\I know.\Come on, let's begin the operation.\Now, bring it on, Turtle Man.\If I recall, she changes her appearance to draw the enemy's attention,\Rabura holds his arms from behind, response:	and they finish him with the stun gun.
context: Oh, right.\Anyway, for now...\I know.\Come on, let's begin the operation.\Now, bring it on, Turtle Man.\If I recall, she changes her appearance to draw the enemy's attention,\Rabura holds his arms from behind,\and they finish him with the stun gun. response:	Was that it?
context: Anyway, for now...\I know.\Come on, let's begin the operation.\Now, bring it on, Turtle Man.\If I recall, she changes her appearance to draw the enemy's attention,\Rabura holds his arms from behind,\and they finish him with the stun gun.\Was that it? response:	Yeah.
context: I know.\Come on, let's begin the operation.\Now, bring it on, Turtle Man.\If I recall, she changes her appearance to draw the enemy's attention,\Rabura holds his arms from behind,\and they finish him with the stun gun.\Was that it?\Yeah. response:	It sounds like it'll work!
context: Come on, let's begin the operation.\Now, bring it on, Turtle Man.\If I recall, she changes her appearance to draw the enemy's attention,\Rabura holds his arms from behind,\and they finish him with the stun gun.\Was that it?\Yeah.\It sounds like it'll work! response:	He's here!
context: Now, bring it on, Turtle Man.\If I recall, she changes her appearance to draw the enemy's attention,\Rabura holds his arms from behind,\and they finish him with the stun gun.\Was that it?\Yeah.\It sounds like it'll work!\He's here! response:	What is that?
context: If I recall, she changes her appearance to draw the enemy's attention,\Rabura holds his arms from behind,\and they finish him with the stun gun.\Was that it?\Yeah.\It sounds like it'll work!\He's here!\What is that? response:	Hey, you.
context: Rabura holds his arms from behind,\and they finish him with the stun gun.\Was that it?\Yeah.\It sounds like it'll work!\He's here!\What is that?\Hey, you. response:	You're not Ito, are you?
context: and they finish him with the stun gun.\Was that it?\Yeah.\It sounds like it'll work!\He's here!\What is that?\Hey, you.\You're not Ito, are you? response:	Wh-What are you talking about?
context: Was that it?\Yeah.\It sounds like it'll work!\He's here!\What is that?\Hey, you.\You're not Ito, are you?\Wh-What are you talking about? response:	I'm Ito-chan, and I love BL.
context: Yeah.\It sounds like it'll work!\He's here!\What is that?\Hey, you.\You're not Ito, are you?\Wh-What are you talking about?\I'm Ito-chan, and I love BL. response:	Moe moe...
context: It sounds like it'll work!\He's here!\What is that?\Hey, you.\You're not Ito, are you?\Wh-What are you talking about?\I'm Ito-chan, and I love BL.\Moe moe... response:	Totally moe...
context: He's here!\What is that?\Hey, you.\You're not Ito, are you?\Wh-What are you talking about?\I'm Ito-chan, and I love BL.\Moe moe...\Totally moe... response:	Cut the crap.
context: What is that?\Hey, you.\You're not Ito, are you?\Wh-What are you talking about?\I'm Ito-chan, and I love BL.\Moe moe...\Totally moe...\Cut the crap. response:	Oh, no!
context: Hey, you.\You're not Ito, are you?\Wh-What are you talking about?\I'm Ito-chan, and I love BL.\Moe moe...\Totally moe...\Cut the crap.\Oh, no! response:	I knew it.
context: You're not Ito, are you?\Wh-What are you talking about?\I'm Ito-chan, and I love BL.\Moe moe...\Totally moe...\Cut the crap.\Oh, no!\I knew it. response:	This isn't a game.
context: Wh-What are you talking about?\I'm Ito-chan, and I love BL.\Moe moe...\Totally moe...\Cut the crap.\Oh, no!\I knew it.\This isn't a game. response:	Stop!
context: I'm Ito-chan, and I love BL.\Moe moe...\Totally moe...\Cut the crap.\Oh, no!\I knew it.\This isn't a game.\Stop! response:	Shoot me, if you're going to shoot.
context: Moe moe...\Totally moe...\Cut the crap.\Oh, no!\I knew it.\This isn't a game.\Stop!\Shoot me, if you're going to shoot. response:	Rabura!
context: Totally moe...\Cut the crap.\Oh, no!\I knew it.\This isn't a game.\Stop!\Shoot me, if you're going to shoot.\Rabura! response:	You idiot!
context: Cut the crap.\Oh, no!\I knew it.\This isn't a game.\Stop!\Shoot me, if you're going to shoot.\Rabura!\You idiot! response:	Just run
context: Oh, no!\I knew it.\This isn't a game.\Stop!\Shoot me, if you're going to shoot.\Rabura!\You idiot!\Just run response:	Do you think this is a toy?
context: I knew it.\This isn't a game.\Stop!\Shoot me, if you're going to shoot.\Rabura!\You idiot!\Just run\Do you think this is a toy? response:	What?
context: This isn't a game.\Stop!\Shoot me, if you're going to shoot.\Rabura!\You idiot!\Just run\Do you think this is a toy?\What? response:	about to cut you off like a badass.
context: Stop!\Shoot me, if you're going to shoot.\Rabura!\You idiot!\Just run\Do you think this is a toy?\What?\about to cut you off like a badass. response:	I didn't think you'd shoot first!
context: Shoot me, if you're going to shoot.\Rabura!\You idiot!\Just run\Do you think this is a toy?\What?\about to cut you off like a badass.\I didn't think you'd shoot first! response:	Th-This can't be happening.
context: Rabura!\You idiot!\Just run\Do you think this is a toy?\What?\about to cut you off like a badass.\I didn't think you'd shoot first!\Th-This can't be happening. response:	I told you,
context: You idiot!\Just run\Do you think this is a toy?\What?\about to cut you off like a badass.\I didn't think you'd shoot first!\Th-This can't be happening.\I told you, response:	this isn't a game.
context: Just run\Do you think this is a toy?\What?\about to cut you off like a badass.\I didn't think you'd shoot first!\Th-This can't be happening.\I told you,\this isn't a game. response:	I said some awful things to Meika.
context: Do you think this is a toy?\What?\about to cut you off like a badass.\I didn't think you'd shoot first!\Th-This can't be happening.\I told you,\this isn't a game.\I said some awful things to Meika. response:	I can't have her dying on me now.
context: What?\about to cut you off like a badass.\I didn't think you'd shoot first!\Th-This can't be happening.\I told you,\this isn't a game.\I said some awful things to Meika.\I can't have her dying on me now. response:	Fine, you can go first
context: about to cut you off like a badass.\I didn't think you'd shoot first!\Th-This can't be happening.\I told you,\this isn't a game.\I said some awful things to Meika.\I can't have her dying on me now.\Fine, you can go first response:	No you don't!
context: I didn't think you'd shoot first!\Th-This can't be happening.\I told you,\this isn't a game.\I said some awful things to Meika.\I can't have her dying on me now.\Fine, you can go first\No you don't! response:	No!
context: Th-This can't be happening.\I told you,\this isn't a game.\I said some awful things to Meika.\I can't have her dying on me now.\Fine, you can go first\No you don't!\No! response:	Losing neither to rain,
context: I told you,\this isn't a game.\I said some awful things to Meika.\I can't have her dying on me now.\Fine, you can go first\No you don't!\No!\Losing neither to rain, response:	nor to the wind,
context: this isn't a game.\I said some awful things to Meika.\I can't have her dying on me now.\Fine, you can go first\No you don't!\No!\Losing neither to rain,\nor to the wind, response:	nor to snow, nor to the heat of summer,
context: I said some awful things to Meika.\I can't have her dying on me now.\Fine, you can go first\No you don't!\No!\Losing neither to rain,\nor to the wind,\nor to snow, nor to the heat of summer, response:	with a strong body...
context: I can't have her dying on me now.\Fine, you can go first\No you don't!\No!\Losing neither to rain,\nor to the wind,\nor to snow, nor to the heat of summer,\with a strong body... response:	Are you all right?! Hang in there!
context: Fine, you can go first\No you don't!\No!\Losing neither to rain,\nor to the wind,\nor to snow, nor to the heat of summer,\with a strong body...\Are you all right?! Hang in there! response:	Without desire, never losing temper, and always smiling quietly.
