context: That's correct, Doma-san. response:	This formula will show up on the test, so please remember it.
context: H-How do I put this...\U-Um, ah...\Never mind...\Huh? Are you sure?\Y-Yes.\It's Motoba-san.\Her eyes are as sharp as ever.\She's so scary, it's hard to approach her. response:	Oh, there you are.
context: U-Um, ah...\Never mind...\Huh? Are you sure?\Y-Yes.\It's Motoba-san.\Her eyes are as sharp as ever.\She's so scary, it's hard to approach her.\Oh, there you are. response:	Motoba-san!
context: Never mind...\Huh? Are you sure?\Y-Yes.\It's Motoba-san.\Her eyes are as sharp as ever.\She's so scary, it's hard to approach her.\Oh, there you are.\Motoba-san! response:	Thank you for always playing with my little sister!
context: Huh? Are you sure?\Y-Yes.\It's Motoba-san.\Her eyes are as sharp as ever.\She's so scary, it's hard to approach her.\Oh, there you are.\Motoba-san!\Thank you for always playing with my little sister! response:	Motoba-san, want to walk home together?
context: Y-Yes.\It's Motoba-san.\Her eyes are as sharp as ever.\She's so scary, it's hard to approach her.\Oh, there you are.\Motoba-san!\Thank you for always playing with my little sister!\Motoba-san, want to walk home together? response:	What's the matter, Kirie-chan?
context: It's Motoba-san.\Her eyes are as sharp as ever.\She's so scary, it's hard to approach her.\Oh, there you are.\Motoba-san!\Thank you for always playing with my little sister!\Motoba-san, want to walk home together?\What's the matter, Kirie-chan? response:	Oh, I always walk home with Ebina-chan.
context: Her eyes are as sharp as ever.\She's so scary, it's hard to approach her.\Oh, there you are.\Motoba-san!\Thank you for always playing with my little sister!\Motoba-san, want to walk home together?\What's the matter, Kirie-chan?\Oh, I always walk home with Ebina-chan. response:	We're good friends.
context: She's so scary, it's hard to approach her.\Oh, there you are.\Motoba-san!\Thank you for always playing with my little sister!\Motoba-san, want to walk home together?\What's the matter, Kirie-chan?\Oh, I always walk home with Ebina-chan.\We're good friends. response:	Ebina-chan.
context: Oh, there you are.\Motoba-san!\Thank you for always playing with my little sister!\Motoba-san, want to walk home together?\What's the matter, Kirie-chan?\Oh, I always walk home with Ebina-chan.\We're good friends.\Ebina-chan. response:	Always together.
context: Motoba-san!\Thank you for always playing with my little sister!\Motoba-san, want to walk home together?\What's the matter, Kirie-chan?\Oh, I always walk home with Ebina-chan.\We're good friends.\Ebina-chan.\Always together. response:	Friends.
context: Thank you for always playing with my little sister!\Motoba-san, want to walk home together?\What's the matter, Kirie-chan?\Oh, I always walk home with Ebina-chan.\We're good friends.\Ebina-chan.\Always together.\Friends. response:	Ebina-chan.
context: Motoba-san, want to walk home together?\What's the matter, Kirie-chan?\Oh, I always walk home with Ebina-chan.\We're good friends.\Ebina-chan.\Always together.\Friends.\Ebina-chan. response:	Always together.
context: What's the matter, Kirie-chan?\Oh, I always walk home with Ebina-chan.\We're good friends.\Ebina-chan.\Always together.\Friends.\Ebina-chan.\Always together. response:	U-Um... We've talked to each other before, right?
context: Oh, I always walk home with Ebina-chan.\We're good friends.\Ebina-chan.\Always together.\Friends.\Ebina-chan.\Always together.\U-Um... We've talked to each other before, right? response:	Kirie-chan?
context: We're good friends.\Ebina-chan.\Always together.\Friends.\Ebina-chan.\Always together.\U-Um... We've talked to each other before, right?\Kirie-chan? response:	Are you all right?
context: Ebina-chan.\Always together.\Friends.\Ebina-chan.\Always together.\U-Um... We've talked to each other before, right?\Kirie-chan?\Are you all right? response:	I-I'm this way.
context: Always together.\Friends.\Ebina-chan.\Always together.\U-Um... We've talked to each other before, right?\Kirie-chan?\Are you all right?\I-I'm this way. response:	Kirie-chan!
context: Friends.\Ebina-chan.\Always together.\U-Um... We've talked to each other before, right?\Kirie-chan?\Are you all right?\I-I'm this way.\Kirie-chan! response:	A Later Day
context: Ebina-chan.\Always together.\U-Um... We've talked to each other before, right?\Kirie-chan?\Are you all right?\I-I'm this way.\Kirie-chan!\A Later Day response:	Master.
context: Always together.\U-Um... We've talked to each other before, right?\Kirie-chan?\Are you all right?\I-I'm this way.\Kirie-chan!\A Later Day\Master. response:	I wonder what went wrong.
context: U-Um... We've talked to each other before, right?\Kirie-chan?\Are you all right?\I-I'm this way.\Kirie-chan!\A Later Day\Master.\I wonder what went wrong. response:	Hey, dinner's ready.
context: Kirie-chan?\Are you all right?\I-I'm this way.\Kirie-chan!\A Later Day\Master.\I wonder what went wrong.\Hey, dinner's ready. response:	Thanks for dinner!
context: Are you all right?\I-I'm this way.\Kirie-chan!\A Later Day\Master.\I wonder what went wrong.\Hey, dinner's ready.\Thanks for dinner! response:	Thank you very much.
context: I-I'm this way.\Kirie-chan!\A Later Day\Master.\I wonder what went wrong.\Hey, dinner's ready.\Thanks for dinner!\Thank you very much. response:	The 100th
context: Kirie-chan!\A Later Day\Master.\I wonder what went wrong.\Hey, dinner's ready.\Thanks for dinner!\Thank you very much.\The 100th response:	Win 1 Million Yen Guess the Pork Cutlet Sauce!!
context: A Later Day\Master.\I wonder what went wrong.\Hey, dinner's ready.\Thanks for dinner!\Thank you very much.\The 100th\Win 1 Million Yen Guess the Pork Cutlet Sauce!! response:	What?
context: Master.\I wonder what went wrong.\Hey, dinner's ready.\Thanks for dinner!\Thank you very much.\The 100th\Win 1 Million Yen Guess the Pork Cutlet Sauce!!\What? response:	Huh? It broke?
context: I wonder what went wrong.\Hey, dinner's ready.\Thanks for dinner!\Thank you very much.\The 100th\Win 1 Million Yen Guess the Pork Cutlet Sauce!!\What?\Huh? It broke? response:	Ugh. A power outage?
context: Hey, dinner's ready.\Thanks for dinner!\Thank you very much.\The 100th\Win 1 Million Yen Guess the Pork Cutlet Sauce!!\What?\Huh? It broke?\Ugh. A power outage? response:	It was just getting good, too.
context: Thanks for dinner!\Thank you very much.\The 100th\Win 1 Million Yen Guess the Pork Cutlet Sauce!!\What?\Huh? It broke?\Ugh. A power outage?\It was just getting good, too. response:	The second floor?
context: Thank you very much.\The 100th\Win 1 Million Yen Guess the Pork Cutlet Sauce!!\What?\Huh? It broke?\Ugh. A power outage?\It was just getting good, too.\The second floor? response:	What's that noise?
context: The 100th\Win 1 Million Yen Guess the Pork Cutlet Sauce!!\What?\Huh? It broke?\Ugh. A power outage?\It was just getting good, too.\The second floor?\What's that noise? response:	It's coming from the roof.
context: Win 1 Million Yen Guess the Pork Cutlet Sauce!!\What?\Huh? It broke?\Ugh. A power outage?\It was just getting good, too.\The second floor?\What's that noise?\It's coming from the roof. response:	Wait. What are you going to do?
context: What?\Huh? It broke?\Ugh. A power outage?\It was just getting good, too.\The second floor?\What's that noise?\It's coming from the roof.\Wait. What are you going to do? response:	We're going to check it out, of course.
context: Huh? It broke?\Ugh. A power outage?\It was just getting good, too.\The second floor?\What's that noise?\It's coming from the roof.\Wait. What are you going to do?\We're going to check it out, of course. response:	That scared me.
context: Ugh. A power outage?\It was just getting good, too.\The second floor?\What's that noise?\It's coming from the roof.\Wait. What are you going to do?\We're going to check it out, of course.\That scared me. response:	Don't scare me like tha
context: It was just getting good, too.\The second floor?\What's that noise?\It's coming from the roof.\Wait. What are you going to do?\We're going to check it out, of course.\That scared me.\Don't scare me like tha response:	What's wrong?
context: The second floor?\What's that noise?\It's coming from the roof.\Wait. What are you going to do?\We're going to check it out, of course.\That scared me.\Don't scare me like tha\What's wrong? response:	It's nothing.
context: What's that noise?\It's coming from the roof.\Wait. What are you going to do?\We're going to check it out, of course.\That scared me.\Don't scare me like tha\What's wrong?\It's nothing. response:	Umaru, you sure you don't want to turn on the lights?
context: It's coming from the roof.\Wait. What are you going to do?\We're going to check it out, of course.\That scared me.\Don't scare me like tha\What's wrong?\It's nothing.\Umaru, you sure you don't want to turn on the lights? response:	Are you scared, Onii-chan?
context: Wait. What are you going to do?\We're going to check it out, of course.\That scared me.\Don't scare me like tha\What's wrong?\It's nothing.\Umaru, you sure you don't want to turn on the lights?\Are you scared, Onii-chan? response:	Ju-Oun
context: We're going to check it out, of course.\That scared me.\Don't scare me like tha\What's wrong?\It's nothing.\Umaru, you sure you don't want to turn on the lights?\Are you scared, Onii-chan?\Ju-Oun response:	No. My eyes hurt.
context: That scared me.\Don't scare me like tha\What's wrong?\It's nothing.\Umaru, you sure you don't want to turn on the lights?\Are you scared, Onii-chan?\Ju-Oun\No. My eyes hurt. response:	Ju-Oun
context: Don't scare me like tha\What's wrong?\It's nothing.\Umaru, you sure you don't want to turn on the lights?\Are you scared, Onii-chan?\Ju-Oun\No. My eyes hurt.\Ju-Oun response:	Hey!
context: What's wrong?\It's nothing.\Umaru, you sure you don't want to turn on the lights?\Are you scared, Onii-chan?\Ju-Oun\No. My eyes hurt.\Ju-Oun\Hey! response:	This totally ruins the feel of the movie!
context: It's nothing.\Umaru, you sure you don't want to turn on the lights?\Are you scared, Onii-chan?\Ju-Oun\No. My eyes hurt.\Ju-Oun\Hey!\This totally ruins the feel of the movie! response:	Well, I guess that's fine. It's not that scary.
context: Umaru, you sure you don't want to turn on the lights?\Are you scared, Onii-chan?\Ju-Oun\No. My eyes hurt.\Ju-Oun\Hey!\This totally ruins the feel of the movie!\Well, I guess that's fine. It's not that scary. response:	Huh? Were you always okay with scary movies?
context: Are you scared, Onii-chan?\Ju-Oun\No. My eyes hurt.\Ju-Oun\Hey!\This totally ruins the feel of the movie!\Well, I guess that's fine. It's not that scary.\Huh? Were you always okay with scary movies? response:	Yeah! I'm not scared of ghosts at all!
context: Ju-Oun\No. My eyes hurt.\Ju-Oun\Hey!\This totally ruins the feel of the movie!\Well, I guess that's fine. It's not that scary.\Huh? Were you always okay with scary movies?\Yeah! I'm not scared of ghosts at all! response:	Even if a ghost did appear,
context: No. My eyes hurt.\Ju-Oun\Hey!\This totally ruins the feel of the movie!\Well, I guess that's fine. It's not that scary.\Huh? Were you always okay with scary movies?\Yeah! I'm not scared of ghosts at all!\Even if a ghost did appear, response:	I'd take care of them with my footwork, like that!
context: Ju-Oun\Hey!\This totally ruins the feel of the movie!\Well, I guess that's fine. It's not that scary.\Huh? Were you always okay with scary movies?\Yeah! I'm not scared of ghosts at all!\Even if a ghost did appear,\I'd take care of them with my footwork, like that! response:	Like that!
context: Hey!\This totally ruins the feel of the movie!\Well, I guess that's fine. It's not that scary.\Huh? Were you always okay with scary movies?\Yeah! I'm not scared of ghosts at all!\Even if a ghost did appear,\I'd take care of them with my footwork, like that!\Like that! response:	Footwork?
context: This totally ruins the feel of the movie!\Well, I guess that's fine. It's not that scary.\Huh? Were you always okay with scary movies?\Yeah! I'm not scared of ghosts at all!\Even if a ghost did appear,\I'd take care of them with my footwork, like that!\Like that!\Footwork? response:	End
context: Well, I guess that's fine. It's not that scary.\Huh? Were you always okay with scary movies?\Yeah! I'm not scared of ghosts at all!\Even if a ghost did appear,\I'd take care of them with my footwork, like that!\Like that!\Footwork?\End response:	See? It wasn't that scary.
context: Huh? Were you always okay with scary movies?\Yeah! I'm not scared of ghosts at all!\Even if a ghost did appear,\I'd take care of them with my footwork, like that!\Like that!\Footwork?\End\See? It wasn't that scary. response:	But I heard the sequel's really good, so let's watch it.
context: Yeah! I'm not scared of ghosts at all!\Even if a ghost did appear,\I'd take care of them with my footwork, like that!\Like that!\Footwork?\End\See? It wasn't that scary.\But I heard the sequel's really good, so let's watch it. response:	Actually, I've got to go shopping.
context: Even if a ghost did appear,\I'd take care of them with my footwork, like that!\Like that!\Footwork?\End\See? It wasn't that scary.\But I heard the sequel's really good, so let's watch it.\Actually, I've got to go shopping. response:	You can watch it by yourself.
context: I'd take care of them with my footwork, like that!\Like that!\Footwork?\End\See? It wasn't that scary.\But I heard the sequel's really good, so let's watch it.\Actually, I've got to go shopping.\You can watch it by yourself. response:	By myself?!
context: Like that!\Footwork?\End\See? It wasn't that scary.\But I heard the sequel's really good, so let's watch it.\Actually, I've got to go shopping.\You can watch it by yourself.\By myself?! response:	I guess it can't be helped. I'll wait until you get back.
context: Footwork?\End\See? It wasn't that scary.\But I heard the sequel's really good, so let's watch it.\Actually, I've got to go shopping.\You can watch it by yourself.\By myself?!\I guess it can't be helped. I'll wait until you get back. response:	Onii-chan?
context: End\See? It wasn't that scary.\But I heard the sequel's really good, so let's watch it.\Actually, I've got to go shopping.\You can watch it by yourself.\By myself?!\I guess it can't be helped. I'll wait until you get back.\Onii-chan? response:	I guess it can't be him. He just left...
context: See? It wasn't that scary.\But I heard the sequel's really good, so let's watch it.\Actually, I've got to go shopping.\You can watch it by yourself.\By myself?!\I guess it can't be helped. I'll wait until you get back.\Onii-chan?\I guess it can't be him. He just left... response:	What's that noise?
context: But I heard the sequel's really good, so let's watch it.\Actually, I've got to go shopping.\You can watch it by yourself.\By myself?!\I guess it can't be helped. I'll wait until you get back.\Onii-chan?\I guess it can't be him. He just left...\What's that noise? response:	I-It's my imagination. Just my imagination.
context: Actually, I've got to go shopping.\You can watch it by yourself.\By myself?!\I guess it can't be helped. I'll wait until you get back.\Onii-chan?\I guess it can't be him. He just left...\What's that noise?\I-It's my imagination. Just my imagination. response:	I know!
context: You can watch it by yourself.\By myself?!\I guess it can't be helped. I'll wait until you get back.\Onii-chan?\I guess it can't be him. He just left...\What's that noise?\I-It's my imagination. Just my imagination.\I know! response:	I'll watch some funny video, or something.
context: By myself?!\I guess it can't be helped. I'll wait until you get back.\Onii-chan?\I guess it can't be him. He just left...\What's that noise?\I-It's my imagination. Just my imagination.\I know!\I'll watch some funny video, or something. response:	A p-power outage?
context: I guess it can't be helped. I'll wait until you get back.\Onii-chan?\I guess it can't be him. He just left...\What's that noise?\I-It's my imagination. Just my imagination.\I know!\I'll watch some funny video, or something.\A p-power outage? response:	Umaru!
context: Onii-chan?\I guess it can't be him. He just left...\What's that noise?\I-It's my imagination. Just my imagination.\I know!\I'll watch some funny video, or something.\A p-power outage?\Umaru! response:	Onii-chan!
context: I guess it can't be him. He just left...\What's that noise?\I-It's my imagination. Just my imagination.\I know!\I'll watch some funny video, or something.\A p-power outage?\Umaru!\Onii-chan! response:	I knew it! It's soaked!
context: What's that noise?\I-It's my imagination. Just my imagination.\I know!\I'll watch some funny video, or something.\A p-power outage?\Umaru!\Onii-chan!\I knew it! It's soaked! response:	Umaru!
context: I-It's my imagination. Just my imagination.\I know!\I'll watch some funny video, or something.\A p-power outage?\Umaru!\Onii-chan!\I knew it! It's soaked!\Umaru! response:	At least bring in the laundry at times like this.
context: I know!\I'll watch some funny video, or something.\A p-power outage?\Umaru!\Onii-chan!\I knew it! It's soaked!\Umaru!\At least bring in the laundry at times like this. response:	It can't be... Someone is...
context: I'll watch some funny video, or something.\A p-power outage?\Umaru!\Onii-chan!\I knew it! It's soaked!\Umaru!\At least bring in the laundry at times like this.\It can't be... Someone is... response:	The only person who could do this is Yashichi-san...
context: A p-power outage?\Umaru!\Onii-chan!\I knew it! It's soaked!\Umaru!\At least bring in the laundry at times like this.\It can't be... Someone is...\The only person who could do this is Yashichi-san... response:	I thought you weren't scared.
context: Umaru!\Onii-chan!\I knew it! It's soaked!\Umaru!\At least bring in the laundry at times like this.\It can't be... Someone is...\The only person who could do this is Yashichi-san...\I thought you weren't scared. response:	I-I'm not!
context: Onii-chan!\I knew it! It's soaked!\Umaru!\At least bring in the laundry at times like this.\It can't be... Someone is...\The only person who could do this is Yashichi-san...\I thought you weren't scared.\I-I'm not! response:	Next Time
context: I knew it! It's soaked!\Umaru!\At least bring in the laundry at times like this.\It can't be... Someone is...\The only person who could do this is Yashichi-san...\I thought you weren't scared.\I-I'm not!\Next Time response:	Episode 4 Umaru and Her Rival
context: Umaru!\At least bring in the laundry at times like this.\It can't be... Someone is...\The only person who could do this is Yashichi-san...\I thought you weren't scared.\I-I'm not!\Next Time\Episode 4 Umaru and Her Rival response:	Kirie, well done. You've surpassed me.
context: At least bring in the laundry at times like this.\It can't be... Someone is...\The only person who could do this is Yashichi-san...\I thought you weren't scared.\I-I'm not!\Next Time\Episode 4 Umaru and Her Rival\Kirie, well done. You've surpassed me. response:	I've nothing more to teach you. Flump.
context: It can't be... Someone is...\The only person who could do this is Yashichi-san...\I thought you weren't scared.\I-I'm not!\Next Time\Episode 4 Umaru and Her Rival\Kirie, well done. You've surpassed me.\I've nothing more to teach you. Flump. response:	Master! Please open your eyes! Master!
context: The only person who could do this is Yashichi-san...\I thought you weren't scared.\I-I'm not!\Next Time\Episode 4 Umaru and Her Rival\Kirie, well done. You've surpassed me.\I've nothing more to teach you. Flump.\Master! Please open your eyes! Master! response:	Um, was that all right?
context: I thought you weren't scared.\I-I'm not!\Next Time\Episode 4 Umaru and Her Rival\Kirie, well done. You've surpassed me.\I've nothing more to teach you. Flump.\Master! Please open your eyes! Master!\Um, was that all right? response:	Yeah! Playing master and student is fun!
