context: Thanks to you, I've awakened. response:	This time for sure, see.
context: I'll take back what I said the other day.\Ferrovius and I have poured\all the technology we've developed into AR-D and RM-C's equipment.\So if you do manage to defeat them,\I can't say your Luxes aren't suited for actual combat.\See ya!\Let's go, Kirin.\Right! response:	Listen to me!
context: Ferrovius and I have poured\all the technology we've developed into AR-D and RM-C's equipment.\So if you do manage to defeat them,\I can't say your Luxes aren't suited for actual combat.\See ya!\Let's go, Kirin.\Right!\Listen to me! response:	We're going to grant you...
context: all the technology we've developed into AR-D and RM-C's equipment.\So if you do manage to defeat them,\I can't say your Luxes aren't suited for actual combat.\See ya!\Let's go, Kirin.\Right!\Listen to me!\We're going to grant you... response:	a one-minute grace period today, too!
context: So if you do manage to defeat them,\I can't say your Luxes aren't suited for actual combat.\See ya!\Let's go, Kirin.\Right!\Listen to me!\We're going to grant you...\a one-minute grace period today, too! response:	There it is! He said it again!
context: I can't say your Luxes aren't suited for actual combat.\See ya!\Let's go, Kirin.\Right!\Listen to me!\We're going to grant you...\a one-minute grace period today, too!\There it is! He said it again! response:	AR-D's trademark declaration!
context: See ya!\Let's go, Kirin.\Right!\Listen to me!\We're going to grant you...\a one-minute grace period today, too!\There it is! He said it again!\AR-D's trademark declaration! response:	After making this same declaration in all of their matches,
context: Let's go, Kirin.\Right!\Listen to me!\We're going to grant you...\a one-minute grace period today, too!\There it is! He said it again!\AR-D's trademark declaration!\After making this same declaration in all of their matches, response:	they've won within approximately one minute!
context: Right!\Listen to me!\We're going to grant you...\a one-minute grace period today, too!\There it is! He said it again!\AR-D's trademark declaration!\After making this same declaration in all of their matches,\they've won within approximately one minute! response:	A team that's reached the quarterfinals and is also riding a wave of momentum...
context: Listen to me!\We're going to grant you...\a one-minute grace period today, too!\There it is! He said it again!\AR-D's trademark declaration!\After making this same declaration in all of their matches,\they've won within approximately one minute!\A team that's reached the quarterfinals and is also riding a wave of momentum... response:	Let's see if the Sasamiya-Toudou duo can hold its own here, too!
context: We're going to grant you...\a one-minute grace period today, too!\There it is! He said it again!\AR-D's trademark declaration!\After making this same declaration in all of their matches,\they've won within approximately one minute!\A team that's reached the quarterfinals and is also riding a wave of momentum...\Let's see if the Sasamiya-Toudou duo can hold its own here, too! response:	- Kirin, I'm leaving that one to you. - Right.
context: a one-minute grace period today, too!\There it is! He said it again!\AR-D's trademark declaration!\After making this same declaration in all of their matches,\they've won within approximately one minute!\A team that's reached the quarterfinals and is also riding a wave of momentum...\Let's see if the Sasamiya-Toudou duo can hold its own here, too!\- Kirin, I'm leaving that one to you. - Right. response:	You show them a thing or two.
context: There it is! He said it again!\AR-D's trademark declaration!\After making this same declaration in all of their matches,\they've won within approximately one minute!\A team that's reached the quarterfinals and is also riding a wave of momentum...\Let's see if the Sasamiya-Toudou duo can hold its own here, too!\- Kirin, I'm leaving that one to you. - Right.\You show them a thing or two. response:	Phoenix Festa Semifinals, Match 1...
context: AR-D's trademark declaration!\After making this same declaration in all of their matches,\they've won within approximately one minute!\A team that's reached the quarterfinals and is also riding a wave of momentum...\Let's see if the Sasamiya-Toudou duo can hold its own here, too!\- Kirin, I'm leaving that one to you. - Right.\You show them a thing or two.\Phoenix Festa Semifinals, Match 1... response:	Battle start!
context: After making this same declaration in all of their matches,\they've won within approximately one minute!\A team that's reached the quarterfinals and is also riding a wave of momentum...\Let's see if the Sasamiya-Toudou duo can hold its own here, too!\- Kirin, I'm leaving that one to you. - Right.\You show them a thing or two.\Phoenix Festa Semifinals, Match 1...\Battle start! response:	Kirin Toudou... here I go!
context: they've won within approximately one minute!\A team that's reached the quarterfinals and is also riding a wave of momentum...\Let's see if the Sasamiya-Toudou duo can hold its own here, too!\- Kirin, I'm leaving that one to you. - Right.\You show them a thing or two.\Phoenix Festa Semifinals, Match 1...\Battle start!\Kirin Toudou... here I go! response:	Kirin Toudou, huh?
context: A team that's reached the quarterfinals and is also riding a wave of momentum...\Let's see if the Sasamiya-Toudou duo can hold its own here, too!\- Kirin, I'm leaving that one to you. - Right.\You show them a thing or two.\Phoenix Festa Semifinals, Match 1...\Battle start!\Kirin Toudou... here I go!\Kirin Toudou, huh? response:	What about it?
context: Let's see if the Sasamiya-Toudou duo can hold its own here, too!\- Kirin, I'm leaving that one to you. - Right.\You show them a thing or two.\Phoenix Festa Semifinals, Match 1...\Battle start!\Kirin Toudou... here I go!\Kirin Toudou, huh?\What about it? response:	If your intent is to breach my defensive barrier,
context: - Kirin, I'm leaving that one to you. - Right.\You show them a thing or two.\Phoenix Festa Semifinals, Match 1...\Battle start!\Kirin Toudou... here I go!\Kirin Toudou, huh?\What about it?\If your intent is to breach my defensive barrier, response:	then it would make sense for Saya Sasamiya to take me on with her Lux.
context: You show them a thing or two.\Phoenix Festa Semifinals, Match 1...\Battle start!\Kirin Toudou... here I go!\Kirin Toudou, huh?\What about it?\If your intent is to breach my defensive barrier,\then it would make sense for Saya Sasamiya to take me on with her Lux. response:	This is just my advice.
context: Phoenix Festa Semifinals, Match 1...\Battle start!\Kirin Toudou... here I go!\Kirin Toudou, huh?\What about it?\If your intent is to breach my defensive barrier,\then it would make sense for Saya Sasamiya to take me on with her Lux.\This is just my advice. response:	You can switch now, or else launch a two-pronged attack
context: Battle start!\Kirin Toudou... here I go!\Kirin Toudou, huh?\What about it?\If your intent is to breach my defensive barrier,\then it would make sense for Saya Sasamiya to take me on with her Lux.\This is just my advice.\You can switch now, or else launch a two-pronged attack response:	Then...
context: Kirin Toudou... here I go!\Kirin Toudou, huh?\What about it?\If your intent is to breach my defensive barrier,\then it would make sense for Saya Sasamiya to take me on with her Lux.\This is just my advice.\You can switch now, or else launch a two-pronged attack\Then... response:	Would you like to try me?
context: Kirin Toudou, huh?\What about it?\If your intent is to breach my defensive barrier,\then it would make sense for Saya Sasamiya to take me on with her Lux.\This is just my advice.\You can switch now, or else launch a two-pronged attack\Then...\Would you like to try me? response:	Whether or not this Senbakiri and I are no match for you...
context: What about it?\If your intent is to breach my defensive barrier,\then it would make sense for Saya Sasamiya to take me on with her Lux.\This is just my advice.\You can switch now, or else launch a two-pronged attack\Then...\Would you like to try me?\Whether or not this Senbakiri and I are no match for you... response:	Please find out yourself.
context: If your intent is to breach my defensive barrier,\then it would make sense for Saya Sasamiya to take me on with her Lux.\This is just my advice.\You can switch now, or else launch a two-pronged attack\Then...\Would you like to try me?\Whether or not this Senbakiri and I are no match for you...\Please find out yourself. response:	Very well. If you insist, then go ahead and try it.
context: then it would make sense for Saya Sasamiya to take me on with her Lux.\This is just my advice.\You can switch now, or else launch a two-pronged attack\Then...\Would you like to try me?\Whether or not this Senbakiri and I are no match for you...\Please find out yourself.\Very well. If you insist, then go ahead and try it. response:	It's futile.
context: This is just my advice.\You can switch now, or else launch a two-pronged attack\Then...\Would you like to try me?\Whether or not this Senbakiri and I are no match for you...\Please find out yourself.\Very well. If you insist, then go ahead and try it.\It's futile. response:	So long as you're human, you can never hope to surpass me in terms of reflexes.
context: You can switch now, or else launch a two-pronged attack\Then...\Would you like to try me?\Whether or not this Senbakiri and I are no match for you...\Please find out yourself.\Very well. If you insist, then go ahead and try it.\It's futile.\So long as you're human, you can never hope to surpass me in terms of reflexes. response:	I see, now it's clear.
context: Then...\Would you like to try me?\Whether or not this Senbakiri and I are no match for you...\Please find out yourself.\Very well. If you insist, then go ahead and try it.\It's futile.\So long as you're human, you can never hope to surpass me in terms of reflexes.\I see, now it's clear. response:	That's enough for me.
context: Would you like to try me?\Whether or not this Senbakiri and I are no match for you...\Please find out yourself.\Very well. If you insist, then go ahead and try it.\It's futile.\So long as you're human, you can never hope to surpass me in terms of reflexes.\I see, now it's clear.\That's enough for me. response:	Didn't you hear me say it was futile?
context: Whether or not this Senbakiri and I are no match for you...\Please find out yourself.\Very well. If you insist, then go ahead and try it.\It's futile.\So long as you're human, you can never hope to surpass me in terms of reflexes.\I see, now it's clear.\That's enough for me.\Didn't you hear me say it was futile? response:	What?!
context: Please find out yourself.\Very well. If you insist, then go ahead and try it.\It's futile.\So long as you're human, you can never hope to surpass me in terms of reflexes.\I see, now it's clear.\That's enough for me.\Didn't you hear me say it was futile?\What?! response:	Whoa, whoa!
context: Very well. If you insist, then go ahead and try it.\It's futile.\So long as you're human, you can never hope to surpass me in terms of reflexes.\I see, now it's clear.\That's enough for me.\Didn't you hear me say it was futile?\What?!\Whoa, whoa! response:	How incredible is that?!
context: It's futile.\So long as you're human, you can never hope to surpass me in terms of reflexes.\I see, now it's clear.\That's enough for me.\Didn't you hear me say it was futile?\What?!\Whoa, whoa!\How incredible is that?! response:	At last, at last,
context: So long as you're human, you can never hope to surpass me in terms of reflexes.\I see, now it's clear.\That's enough for me.\Didn't you hear me say it was futile?\What?!\Whoa, whoa!\How incredible is that?!\At last, at last, response:	AR-D has come under attack for the first time in this tournament!
context: I see, now it's clear.\That's enough for me.\Didn't you hear me say it was futile?\What?!\Whoa, whoa!\How incredible is that?!\At last, at last,\AR-D has come under attack for the first time in this tournament! response:	Ridiculous... It's not possible!
context: That's enough for me.\Didn't you hear me say it was futile?\What?!\Whoa, whoa!\How incredible is that?!\At last, at last,\AR-D has come under attack for the first time in this tournament!\Ridiculous... It's not possible! response:	Please take back what you said earlier.
context: Didn't you hear me say it was futile?\What?!\Whoa, whoa!\How incredible is that?!\At last, at last,\AR-D has come under attack for the first time in this tournament!\Ridiculous... It's not possible!\Please take back what you said earlier. response:	What?
context: What?!\Whoa, whoa!\How incredible is that?!\At last, at last,\AR-D has come under attack for the first time in this tournament!\Ridiculous... It's not possible!\Please take back what you said earlier.\What? response:	And let's fight fair and square.
context: Whoa, whoa!\How incredible is that?!\At last, at last,\AR-D has come under attack for the first time in this tournament!\Ridiculous... It's not possible!\Please take back what you said earlier.\What?\And let's fight fair and square. response:	What's that supposed to mean?
context: How incredible is that?!\At last, at last,\AR-D has come under attack for the first time in this tournament!\Ridiculous... It's not possible!\Please take back what you said earlier.\What?\And let's fight fair and square.\What's that supposed to mean? response:	Please don't mock us...
context: At last, at last,\AR-D has come under attack for the first time in this tournament!\Ridiculous... It's not possible!\Please take back what you said earlier.\What?\And let's fight fair and square.\What's that supposed to mean?\Please don't mock us... response:	That's what I mean.
context: AR-D has come under attack for the first time in this tournament!\Ridiculous... It's not possible!\Please take back what you said earlier.\What?\And let's fight fair and square.\What's that supposed to mean?\Please don't mock us...\That's what I mean. response:	If you're planning to keep that up until the end...
context: Ridiculous... It's not possible!\Please take back what you said earlier.\What?\And let's fight fair and square.\What's that supposed to mean?\Please don't mock us...\That's what I mean.\If you're planning to keep that up until the end... response:	I'll put an end to it with my next strike.
context: Please take back what you said earlier.\What?\And let's fight fair and square.\What's that supposed to mean?\Please don't mock us...\That's what I mean.\If you're planning to keep that up until the end...\I'll put an end to it with my next strike. response:	C-Can you believe it?!
context: What?\And let's fight fair and square.\What's that supposed to mean?\Please don't mock us...\That's what I mean.\If you're planning to keep that up until the end...\I'll put an end to it with my next strike.\C-Can you believe it?! response:	Now AR-D's on the attack!
context: And let's fight fair and square.\What's that supposed to mean?\Please don't mock us...\That's what I mean.\If you're planning to keep that up until the end...\I'll put an end to it with my next strike.\C-Can you believe it?!\Now AR-D's on the attack! response:	It's been 56 seconds since his declaration! The minute isn't up yet!
context: What's that supposed to mean?\Please don't mock us...\That's what I mean.\If you're planning to keep that up until the end...\I'll put an end to it with my next strike.\C-Can you believe it?!\Now AR-D's on the attack!\It's been 56 seconds since his declaration! The minute isn't up yet! response:	Splendid!
context: Please don't mock us...\That's what I mean.\If you're planning to keep that up until the end...\I'll put an end to it with my next strike.\C-Can you believe it?!\Now AR-D's on the attack!\It's been 56 seconds since his declaration! The minute isn't up yet!\Splendid! response:	As far as this matter is concerned, you've defeated me soundly.
context: That's what I mean.\If you're planning to keep that up until the end...\I'll put an end to it with my next strike.\C-Can you believe it?!\Now AR-D's on the attack!\It's been 56 seconds since his declaration! The minute isn't up yet!\Splendid!\As far as this matter is concerned, you've defeated me soundly. response:	Allow me to retract what I said!
context: If you're planning to keep that up until the end...\I'll put an end to it with my next strike.\C-Can you believe it?!\Now AR-D's on the attack!\It's been 56 seconds since his declaration! The minute isn't up yet!\Splendid!\As far as this matter is concerned, you've defeated me soundly.\Allow me to retract what I said! response:	If you don't mind, I'd like you to explain to me what kind of technique that was.
context: I'll put an end to it with my next strike.\C-Can you believe it?!\Now AR-D's on the attack!\It's been 56 seconds since his declaration! The minute isn't up yet!\Splendid!\As far as this matter is concerned, you've defeated me soundly.\Allow me to retract what I said!\If you don't mind, I'd like you to explain to me what kind of technique that was. response:	It worked because you're a machine.
context: C-Can you believe it?!\Now AR-D's on the attack!\It's been 56 seconds since his declaration! The minute isn't up yet!\Splendid!\As far as this matter is concerned, you've defeated me soundly.\Allow me to retract what I said!\If you don't mind, I'd like you to explain to me what kind of technique that was.\It worked because you're a machine. response:	What does that mean?
context: Now AR-D's on the attack!\It's been 56 seconds since his declaration! The minute isn't up yet!\Splendid!\As far as this matter is concerned, you've defeated me soundly.\Allow me to retract what I said!\If you don't mind, I'd like you to explain to me what kind of technique that was.\It worked because you're a machine.\What does that mean? response:	You used my data and movements to predict how I'd attack,
context: It's been 56 seconds since his declaration! The minute isn't up yet!\Splendid!\As far as this matter is concerned, you've defeated me soundly.\Allow me to retract what I said!\If you don't mind, I'd like you to explain to me what kind of technique that was.\It worked because you're a machine.\What does that mean?\You used my data and movements to predict how I'd attack, response:	and threw up that defensive barrier, didn't you?
context: Splendid!\As far as this matter is concerned, you've defeated me soundly.\Allow me to retract what I said!\If you don't mind, I'd like you to explain to me what kind of technique that was.\It worked because you're a machine.\What does that mean?\You used my data and movements to predict how I'd attack,\and threw up that defensive barrier, didn't you? response:	Yes, that's exactly right.
context: As far as this matter is concerned, you've defeated me soundly.\Allow me to retract what I said!\If you don't mind, I'd like you to explain to me what kind of technique that was.\It worked because you're a machine.\What does that mean?\You used my data and movements to predict how I'd attack,\and threw up that defensive barrier, didn't you?\Yes, that's exactly right. response:	The Toudou Style features a technique
context: Allow me to retract what I said!\If you don't mind, I'd like you to explain to me what kind of technique that was.\It worked because you're a machine.\What does that mean?\You used my data and movements to predict how I'd attack,\and threw up that defensive barrier, didn't you?\Yes, that's exactly right.\The Toudou Style features a technique response:	in which you lead your opponent on by reading the breathing,
context: If you don't mind, I'd like you to explain to me what kind of technique that was.\It worked because you're a machine.\What does that mean?\You used my data and movements to predict how I'd attack,\and threw up that defensive barrier, didn't you?\Yes, that's exactly right.\The Toudou Style features a technique\in which you lead your opponent on by reading the breathing, response:	sight lines, distance and muscle movements.
context: It worked because you're a machine.\What does that mean?\You used my data and movements to predict how I'd attack,\and threw up that defensive barrier, didn't you?\Yes, that's exactly right.\The Toudou Style features a technique\in which you lead your opponent on by reading the breathing,\sight lines, distance and muscle movements. response:	When two experienced swordsmen meet in battle,
context: What does that mean?\You used my data and movements to predict how I'd attack,\and threw up that defensive barrier, didn't you?\Yes, that's exactly right.\The Toudou Style features a technique\in which you lead your opponent on by reading the breathing,\sight lines, distance and muscle movements.\When two experienced swordsmen meet in battle, response:	they try to get various reads on each other in a split second.
context: You used my data and movements to predict how I'd attack,\and threw up that defensive barrier, didn't you?\Yes, that's exactly right.\The Toudou Style features a technique\in which you lead your opponent on by reading the breathing,\sight lines, distance and muscle movements.\When two experienced swordsmen meet in battle,\they try to get various reads on each other in a split second. response:	But because you're a machine, you tend to merely react to my movements.
context: and threw up that defensive barrier, didn't you?\Yes, that's exactly right.\The Toudou Style features a technique\in which you lead your opponent on by reading the breathing,\sight lines, distance and muscle movements.\When two experienced swordsmen meet in battle,\they try to get various reads on each other in a split second.\But because you're a machine, you tend to merely react to my movements. response:	In other words, your lack of combat experience is fatal!
context: Yes, that's exactly right.\The Toudou Style features a technique\in which you lead your opponent on by reading the breathing,\sight lines, distance and muscle movements.\When two experienced swordsmen meet in battle,\they try to get various reads on each other in a split second.\But because you're a machine, you tend to merely react to my movements.\In other words, your lack of combat experience is fatal! response:	That's my Kirin.
context: The Toudou Style features a technique\in which you lead your opponent on by reading the breathing,\sight lines, distance and muscle movements.\When two experienced swordsmen meet in battle,\they try to get various reads on each other in a split second.\But because you're a machine, you tend to merely react to my movements.\In other words, your lack of combat experience is fatal!\That's my Kirin. response:	I don't understand it.
context: in which you lead your opponent on by reading the breathing,\sight lines, distance and muscle movements.\When two experienced swordsmen meet in battle,\they try to get various reads on each other in a split second.\But because you're a machine, you tend to merely react to my movements.\In other words, your lack of combat experience is fatal!\That's my Kirin.\I don't understand it. response:	The fact that you didn't launch a single attack during this minute.
context: sight lines, distance and muscle movements.\When two experienced swordsmen meet in battle,\they try to get various reads on each other in a split second.\But because you're a machine, you tend to merely react to my movements.\In other words, your lack of combat experience is fatal!\That's my Kirin.\I don't understand it.\The fact that you didn't launch a single attack during this minute. response:	Wouldn't it be fair to say that you're the ones mocking us?
context: When two experienced swordsmen meet in battle,\they try to get various reads on each other in a split second.\But because you're a machine, you tend to merely react to my movements.\In other words, your lack of combat experience is fatal!\That's my Kirin.\I don't understand it.\The fact that you didn't launch a single attack during this minute.\Wouldn't it be fair to say that you're the ones mocking us? response:	All I wanted was to fight you when you were going all-out.
context: they try to get various reads on each other in a split second.\But because you're a machine, you tend to merely react to my movements.\In other words, your lack of combat experience is fatal!\That's my Kirin.\I don't understand it.\The fact that you didn't launch a single attack during this minute.\Wouldn't it be fair to say that you're the ones mocking us?\All I wanted was to fight you when you were going all-out. response:	Otherwise...
context: But because you're a machine, you tend to merely react to my movements.\In other words, your lack of combat experience is fatal!\That's my Kirin.\I don't understand it.\The fact that you didn't launch a single attack during this minute.\Wouldn't it be fair to say that you're the ones mocking us?\All I wanted was to fight you when you were going all-out.\Otherwise... response:	it would be pointless for me.
context: In other words, your lack of combat experience is fatal!\That's my Kirin.\I don't understand it.\The fact that you didn't launch a single attack during this minute.\Wouldn't it be fair to say that you're the ones mocking us?\All I wanted was to fight you when you were going all-out.\Otherwise...\it would be pointless for me. response:	41-type Lux, Twin Particle Cannons, Waldenholt!
context: That's my Kirin.\I don't understand it.\The fact that you didn't launch a single attack during this minute.\Wouldn't it be fair to say that you're the ones mocking us?\All I wanted was to fight you when you were going all-out.\Otherwise...\it would be pointless for me.\41-type Lux, Twin Particle Cannons, Waldenholt! response:	Burst.
context: I don't understand it.\The fact that you didn't launch a single attack during this minute.\Wouldn't it be fair to say that you're the ones mocking us?\All I wanted was to fight you when you were going all-out.\Otherwise...\it would be pointless for me.\41-type Lux, Twin Particle Cannons, Waldenholt!\Burst. response:	U-Unbelievable!
context: The fact that you didn't launch a single attack during this minute.\Wouldn't it be fair to say that you're the ones mocking us?\All I wanted was to fight you when you were going all-out.\Otherwise...\it would be pointless for me.\41-type Lux, Twin Particle Cannons, Waldenholt!\Burst.\U-Unbelievable! response:	A single shot from Sasamiya ends in a clean hit against RM-C!
context: Wouldn't it be fair to say that you're the ones mocking us?\All I wanted was to fight you when you were going all-out.\Otherwise...\it would be pointless for me.\41-type Lux, Twin Particle Cannons, Waldenholt!\Burst.\U-Unbelievable!\A single shot from Sasamiya ends in a clean hit against RM-C! response:	As you can see, I'm ready to go, too.
context: All I wanted was to fight you when you were going all-out.\Otherwise...\it would be pointless for me.\41-type Lux, Twin Particle Cannons, Waldenholt!\Burst.\U-Unbelievable!\A single shot from Sasamiya ends in a clean hit against RM-C!\As you can see, I'm ready to go, too. response:	Give me your best shot.
context: Otherwise...\it would be pointless for me.\41-type Lux, Twin Particle Cannons, Waldenholt!\Burst.\U-Unbelievable!\A single shot from Sasamiya ends in a clean hit against RM-C!\As you can see, I'm ready to go, too.\Give me your best shot. response:	Both Lady Sasamiya and Lady Toudou are amazing!
context: it would be pointless for me.\41-type Lux, Twin Particle Cannons, Waldenholt!\Burst.\U-Unbelievable!\A single shot from Sasamiya ends in a clean hit against RM-C!\As you can see, I'm ready to go, too.\Give me your best shot.\Both Lady Sasamiya and Lady Toudou are amazing! response:	Hey.
context: 41-type Lux, Twin Particle Cannons, Waldenholt!\Burst.\U-Unbelievable!\A single shot from Sasamiya ends in a clean hit against RM-C!\As you can see, I'm ready to go, too.\Give me your best shot.\Both Lady Sasamiya and Lady Toudou are amazing!\Hey. response:	Now, then, Ayato,
context: Burst.\U-Unbelievable!\A single shot from Sasamiya ends in a clean hit against RM-C!\As you can see, I'm ready to go, too.\Give me your best shot.\Both Lady Sasamiya and Lady Toudou are amazing!\Hey.\Now, then, Ayato, response:	if you're spent from fighting, come to my room...
context: U-Unbelievable!\A single shot from Sasamiya ends in a clean hit against RM-C!\As you can see, I'm ready to go, too.\Give me your best shot.\Both Lady Sasamiya and Lady Toudou are amazing!\Hey.\Now, then, Ayato,\if you're spent from fighting, come to my room... response:	Just you and me...
context: A single shot from Sasamiya ends in a clean hit against RM-C!\As you can see, I'm ready to go, too.\Give me your best shot.\Both Lady Sasamiya and Lady Toudou are amazing!\Hey.\Now, then, Ayato,\if you're spent from fighting, come to my room...\Just you and me... response:	- Kaboom! - Oh, my!
context: As you can see, I'm ready to go, too.\Give me your best shot.\Both Lady Sasamiya and Lady Toudou are amazing!\Hey.\Now, then, Ayato,\if you're spent from fighting, come to my room...\Just you and me...\- Kaboom! - Oh, my! response:	This is how you greedily usurp what little screen time Enfield has...
context: Give me your best shot.\Both Lady Sasamiya and Lady Toudou are amazing!\Hey.\Now, then, Ayato,\if you're spent from fighting, come to my room...\Just you and me...\- Kaboom! - Oh, my!\This is how you greedily usurp what little screen time Enfield has... response:	Episode 17 The Tyrants Puppet Strings
context: Both Lady Sasamiya and Lady Toudou are amazing!\Hey.\Now, then, Ayato,\if you're spent from fighting, come to my room...\Just you and me...\- Kaboom! - Oh, my!\This is how you greedily usurp what little screen time Enfield has...\Episode 17 The Tyrants Puppet Strings response:	As Ayato's childhood friend, I'm the true heroine!
