context: Your newbie hasn't quit yet? response:	Nope, he's hanging in there.
context: It may be time to go.\I've almost recovered enough lost love,\so next I'm going to Europe to recover jealousy.\Does that mean you're leaving City Hall?\I told you, it triggers when you leave the elevator.\Calm down.\You're our leader.\I need to bring back Miyako... response:	Let's call Reiji-kun and come up with a plan.
context: I've almost recovered enough lost love,\so next I'm going to Europe to recover jealousy.\Does that mean you're leaving City Hall?\I told you, it triggers when you leave the elevator.\Calm down.\You're our leader.\I need to bring back Miyako...\Let's call Reiji-kun and come up with a plan. response:	We won't get anywhere at this rate.
context: so next I'm going to Europe to recover jealousy.\Does that mean you're leaving City Hall?\I told you, it triggers when you leave the elevator.\Calm down.\You're our leader.\I need to bring back Miyako...\Let's call Reiji-kun and come up with a plan.\We won't get anywhere at this rate. response:	Oh, Reiji-kun?
context: Does that mean you're leaving City Hall?\I told you, it triggers when you leave the elevator.\Calm down.\You're our leader.\I need to bring back Miyako...\Let's call Reiji-kun and come up with a plan.\We won't get anywhere at this rate.\Oh, Reiji-kun? response:	We've got problems...
context: I told you, it triggers when you leave the elevator.\Calm down.\You're our leader.\I need to bring back Miyako...\Let's call Reiji-kun and come up with a plan.\We won't get anywhere at this rate.\Oh, Reiji-kun?\We've got problems... response:	Hey!
context: Calm down.\You're our leader.\I need to bring back Miyako...\Let's call Reiji-kun and come up with a plan.\We won't get anywhere at this rate.\Oh, Reiji-kun?\We've got problems...\Hey! response:	Kyoichi! Wait!
context: You're our leader.\I need to bring back Miyako...\Let's call Reiji-kun and come up with a plan.\We won't get anywhere at this rate.\Oh, Reiji-kun?\We've got problems...\Hey!\Kyoichi! Wait! response:	It's really so much more wonderful when it's filled.
context: I need to bring back Miyako...\Let's call Reiji-kun and come up with a plan.\We won't get anywhere at this rate.\Oh, Reiji-kun?\We've got problems...\Hey!\Kyoichi! Wait!\It's really so much more wonderful when it's filled. response:	But this box was essentially my dowry!
context: Let's call Reiji-kun and come up with a plan.\We won't get anywhere at this rate.\Oh, Reiji-kun?\We've got problems...\Hey!\Kyoichi! Wait!\It's really so much more wonderful when it's filled.\But this box was essentially my dowry! response:	Izumi
context: We won't get anywhere at this rate.\Oh, Reiji-kun?\We've got problems...\Hey!\Kyoichi! Wait!\It's really so much more wonderful when it's filled.\But this box was essentially my dowry!\Izumi response:	When are you turning on your phone?!
context: Oh, Reiji-kun?\We've got problems...\Hey!\Kyoichi! Wait!\It's really so much more wonderful when it's filled.\But this box was essentially my dowry!\Izumi\When are you turning on your phone?! response:	Izumi?
context: We've got problems...\Hey!\Kyoichi! Wait!\It's really so much more wonderful when it's filled.\But this box was essentially my dowry!\Izumi\When are you turning on your phone?!\Izumi? response:	So it's weird that they'd tell me not to open it, right?
context: Hey!\Kyoichi! Wait!\It's really so much more wonderful when it's filled.\But this box was essentially my dowry!\Izumi\When are you turning on your phone?!\Izumi?\So it's weird that they'd tell me not to open it, right? response:	I can send messages!
context: Kyoichi! Wait!\It's really so much more wonderful when it's filled.\But this box was essentially my dowry!\Izumi\When are you turning on your phone?!\Izumi?\So it's weird that they'd tell me not to open it, right?\I can send messages! response:	How does it make any sense for me to not open my own dowry?
context: It's really so much more wonderful when it's filled.\But this box was essentially my dowry!\Izumi\When are you turning on your phone?!\Izumi?\So it's weird that they'd tell me not to open it, right?\I can send messages!\How does it make any sense for me to not open my own dowry? response:	Can't take... any more...
context: But this box was essentially my dowry!\Izumi\When are you turning on your phone?!\Izumi?\So it's weird that they'd tell me not to open it, right?\I can send messages!\How does it make any sense for me to not open my own dowry?\Can't take... any more... response:	I'm calling Reiji-kun regardless of what you say.
context: Izumi\When are you turning on your phone?!\Izumi?\So it's weird that they'd tell me not to open it, right?\I can send messages!\How does it make any sense for me to not open my own dowry?\Can't take... any more...\I'm calling Reiji-kun regardless of what you say. response:	Maybe I can call him.
context: When are you turning on your phone?!\Izumi?\So it's weird that they'd tell me not to open it, right?\I can send messages!\How does it make any sense for me to not open my own dowry?\Can't take... any more...\I'm calling Reiji-kun regardless of what you say.\Maybe I can call him. response:	No way. The barrier probably blocks out voice.
context: Izumi?\So it's weird that they'd tell me not to open it, right?\I can send messages!\How does it make any sense for me to not open my own dowry?\Can't take... any more...\I'm calling Reiji-kun regardless of what you say.\Maybe I can call him.\No way. The barrier probably blocks out voice. response:	Theo
context: So it's weird that they'd tell me not to open it, right?\I can send messages!\How does it make any sense for me to not open my own dowry?\Can't take... any more...\I'm calling Reiji-kun regardless of what you say.\Maybe I can call him.\No way. The barrier probably blocks out voice.\Theo response:	I'm hungry
context: I can send messages!\How does it make any sense for me to not open my own dowry?\Can't take... any more...\I'm calling Reiji-kun regardless of what you say.\Maybe I can call him.\No way. The barrier probably blocks out voice.\Theo\I'm hungry response:	Miyako Arata
context: How does it make any sense for me to not open my own dowry?\Can't take... any more...\I'm calling Reiji-kun regardless of what you say.\Maybe I can call him.\No way. The barrier probably blocks out voice.\Theo\I'm hungry\Miyako Arata response:	Sakaki-san, are you okay?
context: Can't take... any more...\I'm calling Reiji-kun regardless of what you say.\Maybe I can call him.\No way. The barrier probably blocks out voice.\Theo\I'm hungry\Miyako Arata\Sakaki-san, are you okay? response:	What's going on?
context: I'm calling Reiji-kun regardless of what you say.\Maybe I can call him.\No way. The barrier probably blocks out voice.\Theo\I'm hungry\Miyako Arata\Sakaki-san, are you okay?\What's going on? response:	I couldn't get through on the phone!
context: Maybe I can call him.\No way. The barrier probably blocks out voice.\Theo\I'm hungry\Miyako Arata\Sakaki-san, are you okay?\What's going on?\I couldn't get through on the phone! response:	The posts from the other world!
context: No way. The barrier probably blocks out voice.\Theo\I'm hungry\Miyako Arata\Sakaki-san, are you okay?\What's going on?\I couldn't get through on the phone!\The posts from the other world! response:	That's right!
context: Theo\I'm hungry\Miyako Arata\Sakaki-san, are you okay?\What's going on?\I couldn't get through on the phone!\The posts from the other world!\That's right! response:	That guy was posting on his phone from another world!
context: I'm hungry\Miyako Arata\Sakaki-san, are you okay?\What's going on?\I couldn't get through on the phone!\The posts from the other world!\That's right!\That guy was posting on his phone from another world! response:	What's your status?
context: Miyako Arata\Sakaki-san, are you okay?\What's going on?\I couldn't get through on the phone!\The posts from the other world!\That's right!\That guy was posting on his phone from another world!\What's your status? response:	Miyako Arata
context: Sakaki-san, are you okay?\What's going on?\I couldn't get through on the phone!\The posts from the other world!\That's right!\That guy was posting on his phone from another world!\What's your status?\Miyako Arata response:	Talking with the Another.
context: What's going on?\I couldn't get through on the phone!\The posts from the other world!\That's right!\That guy was posting on his phone from another world!\What's your status?\Miyako Arata\Talking with the Another. response:	I don't seem to be in danger.
context: I couldn't get through on the phone!\The posts from the other world!\That's right!\That guy was posting on his phone from another world!\What's your status?\Miyako Arata\Talking with the Another.\I don't seem to be in danger. response:	You probably caught a glimpse of it, but the bad things in the box are...
context: The posts from the other world!\That's right!\That guy was posting on his phone from another world!\What's your status?\Miyako Arata\Talking with the Another.\I don't seem to be in danger.\You probably caught a glimpse of it, but the bad things in the box are... response:	She has nothing to do with the missing people or missing memories.
context: That's right!\That guy was posting on his phone from another world!\What's your status?\Miyako Arata\Talking with the Another.\I don't seem to be in danger.\You probably caught a glimpse of it, but the bad things in the box are...\She has nothing to do with the missing people or missing memories. response:	What's your situation?
context: That guy was posting on his phone from another world!\What's your status?\Miyako Arata\Talking with the Another.\I don't seem to be in danger.\You probably caught a glimpse of it, but the bad things in the box are...\She has nothing to do with the missing people or missing memories.\What's your situation? response:	Nocturnal Community Relations Section (4)
context: What's your status?\Miyako Arata\Talking with the Another.\I don't seem to be in danger.\You probably caught a glimpse of it, but the bad things in the box are...\She has nothing to do with the missing people or missing memories.\What's your situation?\Nocturnal Community Relations Section (4) response:	Talking with the Another.
context: Miyako Arata\Talking with the Another.\I don't seem to be in danger.\You probably caught a glimpse of it, but the bad things in the box are...\She has nothing to do with the missing people or missing memories.\What's your situation?\Nocturnal Community Relations Section (4)\Talking with the Another. response:	I don't seem to be in danger.
context: Talking with the Another.\I don't seem to be in danger.\You probably caught a glimpse of it, but the bad things in the box are...\She has nothing to do with the missing people or missing memories.\What's your situation?\Nocturnal Community Relations Section (4)\Talking with the Another.\I don't seem to be in danger. response:	She has nothing to do with the missing people or missing memories.
context: I don't seem to be in danger.\You probably caught a glimpse of it, but the bad things in the box are...\She has nothing to do with the missing people or missing memories.\What's your situation?\Nocturnal Community Relations Section (4)\Talking with the Another.\I don't seem to be in danger.\She has nothing to do with the missing people or missing memories. response:	She's just collecting feelings of lost love.
context: You probably caught a glimpse of it, but the bad things in the box are...\She has nothing to do with the missing people or missing memories.\What's your situation?\Nocturnal Community Relations Section (4)\Talking with the Another.\I don't seem to be in danger.\She has nothing to do with the missing people or missing memories.\She's just collecting feelings of lost love. response:	Feelings of lost love?
context: She has nothing to do with the missing people or missing memories.\What's your situation?\Nocturnal Community Relations Section (4)\Talking with the Another.\I don't seem to be in danger.\She has nothing to do with the missing people or missing memories.\She's just collecting feelings of lost love.\Feelings of lost love? response:	What the hell?
context: What's your situation?\Nocturnal Community Relations Section (4)\Talking with the Another.\I don't seem to be in danger.\She has nothing to do with the missing people or missing memories.\She's just collecting feelings of lost love.\Feelings of lost love?\What the hell? response:	The lost memories are her doing.
context: Nocturnal Community Relations Section (4)\Talking with the Another.\I don't seem to be in danger.\She has nothing to do with the missing people or missing memories.\She's just collecting feelings of lost love.\Feelings of lost love?\What the hell?\The lost memories are her doing. response:	The weird thing I felt when I talked to Aoi...
context: Talking with the Another.\I don't seem to be in danger.\She has nothing to do with the missing people or missing memories.\She's just collecting feelings of lost love.\Feelings of lost love?\What the hell?\The lost memories are her doing.\The weird thing I felt when I talked to Aoi... response:	Her feelings of lost love were stolen.
context: I don't seem to be in danger.\She has nothing to do with the missing people or missing memories.\She's just collecting feelings of lost love.\Feelings of lost love?\What the hell?\The lost memories are her doing.\The weird thing I felt when I talked to Aoi...\Her feelings of lost love were stolen. response:	An Another that steals emotions.
context: She has nothing to do with the missing people or missing memories.\She's just collecting feelings of lost love.\Feelings of lost love?\What the hell?\The lost memories are her doing.\The weird thing I felt when I talked to Aoi...\Her feelings of lost love were stolen.\An Another that steals emotions. response:	If they fly out of the box again, I have to gather them up...
context: She's just collecting feelings of lost love.\Feelings of lost love?\What the hell?\The lost memories are her doing.\The weird thing I felt when I talked to Aoi...\Her feelings of lost love were stolen.\An Another that steals emotions.\If they fly out of the box again, I have to gather them up... response:	Um...
context: Feelings of lost love?\What the hell?\The lost memories are her doing.\The weird thing I felt when I talked to Aoi...\Her feelings of lost love were stolen.\An Another that steals emotions.\If they fly out of the box again, I have to gather them up...\Um... response:	When you take their feelings of lost love, do you take their memories?
context: What the hell?\The lost memories are her doing.\The weird thing I felt when I talked to Aoi...\Her feelings of lost love were stolen.\An Another that steals emotions.\If they fly out of the box again, I have to gather them up...\Um...\When you take their feelings of lost love, do you take their memories? response:	Memories?
context: The lost memories are her doing.\The weird thing I felt when I talked to Aoi...\Her feelings of lost love were stolen.\An Another that steals emotions.\If they fly out of the box again, I have to gather them up...\Um...\When you take their feelings of lost love, do you take their memories?\Memories? response:	She says she doesn't know...
context: The weird thing I felt when I talked to Aoi...\Her feelings of lost love were stolen.\An Another that steals emotions.\If they fly out of the box again, I have to gather them up...\Um...\When you take their feelings of lost love, do you take their memories?\Memories?\She says she doesn't know... response:	She says she doesn't know...
context: Her feelings of lost love were stolen.\An Another that steals emotions.\If they fly out of the box again, I have to gather them up...\Um...\When you take their feelings of lost love, do you take their memories?\Memories?\She says she doesn't know...\She says she doesn't know... response:	She probably really doesn't know.
context: An Another that steals emotions.\If they fly out of the box again, I have to gather them up...\Um...\When you take their feelings of lost love, do you take their memories?\Memories?\She says she doesn't know...\She says she doesn't know...\She probably really doesn't know. response:	She's not doing it deliberately.
context: If they fly out of the box again, I have to gather them up...\Um...\When you take their feelings of lost love, do you take their memories?\Memories?\She says she doesn't know...\She says she doesn't know...\She probably really doesn't know.\She's not doing it deliberately. response:	She doesn't care if someone finds her or sees her face.
context: Um...\When you take their feelings of lost love, do you take their memories?\Memories?\She says she doesn't know...\She says she doesn't know...\She probably really doesn't know.\She's not doing it deliberately.\She doesn't care if someone finds her or sees her face. response:	That's why she left my memories.
context: When you take their feelings of lost love, do you take their memories?\Memories?\She says she doesn't know...\She says she doesn't know...\She probably really doesn't know.\She's not doing it deliberately.\She doesn't care if someone finds her or sees her face.\That's why she left my memories. response:	But if she's responsible for the missing memories,
context: Memories?\She says she doesn't know...\She says she doesn't know...\She probably really doesn't know.\She's not doing it deliberately.\She doesn't care if someone finds her or sees her face.\That's why she left my memories.\But if she's responsible for the missing memories, response:	then is there another Another somewhere else?
context: She says she doesn't know...\She says she doesn't know...\She probably really doesn't know.\She's not doing it deliberately.\She doesn't care if someone finds her or sees her face.\That's why she left my memories.\But if she's responsible for the missing memories,\then is there another Another somewhere else? response:	No, wait.
context: She says she doesn't know...\She probably really doesn't know.\She's not doing it deliberately.\She doesn't care if someone finds her or sees her face.\That's why she left my memories.\But if she's responsible for the missing memories,\then is there another Another somewhere else?\No, wait. response:	There are no missing people?
context: She probably really doesn't know.\She's not doing it deliberately.\She doesn't care if someone finds her or sees her face.\That's why she left my memories.\But if she's responsible for the missing memories,\then is there another Another somewhere else?\No, wait.\There are no missing people? response:	We were able to ID that message board poster and get a hold of him.
context: She's not doing it deliberately.\She doesn't care if someone finds her or sees her face.\That's why she left my memories.\But if she's responsible for the missing memories,\then is there another Another somewhere else?\No, wait.\There are no missing people?\We were able to ID that message board poster and get a hold of him. response:	There was no missing person report filed on them.
context: She doesn't care if someone finds her or sees her face.\That's why she left my memories.\But if she's responsible for the missing memories,\then is there another Another somewhere else?\No, wait.\There are no missing people?\We were able to ID that message board poster and get a hold of him.\There was no missing person report filed on them. response:	They said they remembered going to City Hall,
context: That's why she left my memories.\But if she's responsible for the missing memories,\then is there another Another somewhere else?\No, wait.\There are no missing people?\We were able to ID that message board poster and get a hold of him.\There was no missing person report filed on them.\They said they remembered going to City Hall, response:	but had no memory of making the posts.
context: But if she's responsible for the missing memories,\then is there another Another somewhere else?\No, wait.\There are no missing people?\We were able to ID that message board poster and get a hold of him.\There was no missing person report filed on them.\They said they remembered going to City Hall,\but had no memory of making the posts. response:	I see where this case is going...
context: then is there another Another somewhere else?\No, wait.\There are no missing people?\We were able to ID that message board poster and get a hold of him.\There was no missing person report filed on them.\They said they remembered going to City Hall,\but had no memory of making the posts.\I see where this case is going... response:	The person was believed to have gone missing because they stopped posting after that.
context: No, wait.\There are no missing people?\We were able to ID that message board poster and get a hold of him.\There was no missing person report filed on them.\They said they remembered going to City Hall,\but had no memory of making the posts.\I see where this case is going...\The person was believed to have gone missing because they stopped posting after that. response:	But if, like the ones who lost their memories, he forgot what happened in the other world,
context: There are no missing people?\We were able to ID that message board poster and get a hold of him.\There was no missing person report filed on them.\They said they remembered going to City Hall,\but had no memory of making the posts.\I see where this case is going...\The person was believed to have gone missing because they stopped posting after that.\But if, like the ones who lost their memories, he forgot what happened in the other world, response:	he wouldn't be able to keep posting.
context: We were able to ID that message board poster and get a hold of him.\There was no missing person report filed on them.\They said they remembered going to City Hall,\but had no memory of making the posts.\I see where this case is going...\The person was believed to have gone missing because they stopped posting after that.\But if, like the ones who lost their memories, he forgot what happened in the other world,\he wouldn't be able to keep posting. response:	Nobody went missing at all, then...
context: There was no missing person report filed on them.\They said they remembered going to City Hall,\but had no memory of making the posts.\I see where this case is going...\The person was believed to have gone missing because they stopped posting after that.\But if, like the ones who lost their memories, he forgot what happened in the other world,\he wouldn't be able to keep posting.\Nobody went missing at all, then... response:	So the missing people and missing memories were all your fault.
context: They said they remembered going to City Hall,\but had no memory of making the posts.\I see where this case is going...\The person was believed to have gone missing because they stopped posting after that.\But if, like the ones who lost their memories, he forgot what happened in the other world,\he wouldn't be able to keep posting.\Nobody went missing at all, then...\So the missing people and missing memories were all your fault. response:	Is it possible for you to stop?
context: but had no memory of making the posts.\I see where this case is going...\The person was believed to have gone missing because they stopped posting after that.\But if, like the ones who lost their memories, he forgot what happened in the other world,\he wouldn't be able to keep posting.\Nobody went missing at all, then...\So the missing people and missing memories were all your fault.\Is it possible for you to stop? response:	Stop what?
context: I see where this case is going...\The person was believed to have gone missing because they stopped posting after that.\But if, like the ones who lost their memories, he forgot what happened in the other world,\he wouldn't be able to keep posting.\Nobody went missing at all, then...\So the missing people and missing memories were all your fault.\Is it possible for you to stop?\Stop what? response:	Looking for what you want with that elevator!
context: The person was believed to have gone missing because they stopped posting after that.\But if, like the ones who lost their memories, he forgot what happened in the other world,\he wouldn't be able to keep posting.\Nobody went missing at all, then...\So the missing people and missing memories were all your fault.\Is it possible for you to stop?\Stop what?\Looking for what you want with that elevator! response:	Why?
context: But if, like the ones who lost their memories, he forgot what happened in the other world,\he wouldn't be able to keep posting.\Nobody went missing at all, then...\So the missing people and missing memories were all your fault.\Is it possible for you to stop?\Stop what?\Looking for what you want with that elevator!\Why? response:	People want to use that elevator to go places!
context: he wouldn't be able to keep posting.\Nobody went missing at all, then...\So the missing people and missing memories were all your fault.\Is it possible for you to stop?\Stop what?\Looking for what you want with that elevator!\Why?\People want to use that elevator to go places! response:	Well, it's not a problem for me.
context: Nobody went missing at all, then...\So the missing people and missing memories were all your fault.\Is it possible for you to stop?\Stop what?\Looking for what you want with that elevator!\Why?\People want to use that elevator to go places!\Well, it's not a problem for me. response:	No, not you. Other people!
context: So the missing people and missing memories were all your fault.\Is it possible for you to stop?\Stop what?\Looking for what you want with that elevator!\Why?\People want to use that elevator to go places!\Well, it's not a problem for me.\No, not you. Other people! response:	Why do I have to stop looking for what I want
context: Is it possible for you to stop?\Stop what?\Looking for what you want with that elevator!\Why?\People want to use that elevator to go places!\Well, it's not a problem for me.\No, not you. Other people!\Why do I have to stop looking for what I want response:	because it's causing a problem for people?
context: Stop what?\Looking for what you want with that elevator!\Why?\People want to use that elevator to go places!\Well, it's not a problem for me.\No, not you. Other people!\Why do I have to stop looking for what I want\because it's causing a problem for people? response:	There's no reason.
context: Looking for what you want with that elevator!\Why?\People want to use that elevator to go places!\Well, it's not a problem for me.\No, not you. Other people!\Why do I have to stop looking for what I want\because it's causing a problem for people?\There's no reason. response:	What will you do if they demand your life in exchange?
context: Why?\People want to use that elevator to go places!\Well, it's not a problem for me.\No, not you. Other people!\Why do I have to stop looking for what I want\because it's causing a problem for people?\There's no reason.\What will you do if they demand your life in exchange? response:	You should learn more about the scary parts of Anothers.
context: People want to use that elevator to go places!\Well, it's not a problem for me.\No, not you. Other people!\Why do I have to stop looking for what I want\because it's causing a problem for people?\There's no reason.\What will you do if they demand your life in exchange?\You should learn more about the scary parts of Anothers. response:	Just because I can talk to them doesn't mean we understand each other.
context: Well, it's not a problem for me.\No, not you. Other people!\Why do I have to stop looking for what I want\because it's causing a problem for people?\There's no reason.\What will you do if they demand your life in exchange?\You should learn more about the scary parts of Anothers.\Just because I can talk to them doesn't mean we understand each other. response:	Anothers and humans can't...
context: No, not you. Other people!\Why do I have to stop looking for what I want\because it's causing a problem for people?\There's no reason.\What will you do if they demand your life in exchange?\You should learn more about the scary parts of Anothers.\Just because I can talk to them doesn't mean we understand each other.\Anothers and humans can't... response:	Um...
context: Why do I have to stop looking for what I want\because it's causing a problem for people?\There's no reason.\What will you do if they demand your life in exchange?\You should learn more about the scary parts of Anothers.\Just because I can talk to them doesn't mean we understand each other.\Anothers and humans can't...\Um... response:	I'm leaving.
context: because it's causing a problem for people?\There's no reason.\What will you do if they demand your life in exchange?\You should learn more about the scary parts of Anothers.\Just because I can talk to them doesn't mean we understand each other.\Anothers and humans can't...\Um...\I'm leaving. response:	I see. What a shame.
context: There's no reason.\What will you do if they demand your life in exchange?\You should learn more about the scary parts of Anothers.\Just because I can talk to them doesn't mean we understand each other.\Anothers and humans can't...\Um...\I'm leaving.\I see. What a shame. response:	Come back again.
context: What will you do if they demand your life in exchange?\You should learn more about the scary parts of Anothers.\Just because I can talk to them doesn't mean we understand each other.\Anothers and humans can't...\Um...\I'm leaving.\I see. What a shame.\Come back again. response:	I'll make it so you can come here any time you like.
context: You should learn more about the scary parts of Anothers.\Just because I can talk to them doesn't mean we understand each other.\Anothers and humans can't...\Um...\I'm leaving.\I see. What a shame.\Come back again.\I'll make it so you can come here any time you like. response:	Um... One last thing.
context: Just because I can talk to them doesn't mean we understand each other.\Anothers and humans can't...\Um...\I'm leaving.\I see. What a shame.\Come back again.\I'll make it so you can come here any time you like.\Um... One last thing. response:	What's your name?
context: Anothers and humans can't...\Um...\I'm leaving.\I see. What a shame.\Come back again.\I'll make it so you can come here any time you like.\Um... One last thing.\What's your name? response:	Name?
context: Um...\I'm leaving.\I see. What a shame.\Come back again.\I'll make it so you can come here any time you like.\Um... One last thing.\What's your name?\Name? response:	Humans call me, Pandora.
context: I'm leaving.\I see. What a shame.\Come back again.\I'll make it so you can come here any time you like.\Um... One last thing.\What's your name?\Name?\Humans call me, Pandora. response:	Pandora? Box...
context: I see. What a shame.\Come back again.\I'll make it so you can come here any time you like.\Um... One last thing.\What's your name?\Name?\Humans call me, Pandora.\Pandora? Box... response:	Pandora's Box?
context: Come back again.\I'll make it so you can come here any time you like.\Um... One last thing.\What's your name?\Name?\Humans call me, Pandora.\Pandora? Box...\Pandora's Box? response:	There's nothing more coming.
context: I'll make it so you can come here any time you like.\Um... One last thing.\What's your name?\Name?\Humans call me, Pandora.\Pandora? Box...\Pandora's Box?\There's nothing more coming. response:	She's just collecting feelings of lost love.
context: Um... One last thing.\What's your name?\Name?\Humans call me, Pandora.\Pandora? Box...\Pandora's Box?\There's nothing more coming.\She's just collecting feelings of lost love. response:	She says she doesn't know...
context: What's your name?\Name?\Humans call me, Pandora.\Pandora? Box...\Pandora's Box?\There's nothing more coming.\She's just collecting feelings of lost love.\She says she doesn't know... response:	I'm coming back.
context: Name?\Humans call me, Pandora.\Pandora? Box...\Pandora's Box?\There's nothing more coming.\She's just collecting feelings of lost love.\She says she doesn't know...\I'm coming back. response:	Miyako!
context: Humans call me, Pandora.\Pandora? Box...\Pandora's Box?\There's nothing more coming.\She's just collecting feelings of lost love.\She says she doesn't know...\I'm coming back.\Miyako! response:	Arata!
context: Pandora? Box...\Pandora's Box?\There's nothing more coming.\She's just collecting feelings of lost love.\She says she doesn't know...\I'm coming back.\Miyako!\Arata! response:	I'm back...
context: Pandora's Box?\There's nothing more coming.\She's just collecting feelings of lost love.\She says she doesn't know...\I'm coming back.\Miyako!\Arata!\I'm back... response:	Hey, are you okay? Are you hurt?
context: There's nothing more coming.\She's just collecting feelings of lost love.\She says she doesn't know...\I'm coming back.\Miyako!\Arata!\I'm back...\Hey, are you okay? Are you hurt? response:	You didn't make any promises with the Another, or take anything from them, right?
context: She's just collecting feelings of lost love.\She says she doesn't know...\I'm coming back.\Miyako!\Arata!\I'm back...\Hey, are you okay? Are you hurt?\You didn't make any promises with the Another, or take anything from them, right? response:	N-No, nothing like that...
context: She says she doesn't know...\I'm coming back.\Miyako!\Arata!\I'm back...\Hey, are you okay? Are you hurt?\You didn't make any promises with the Another, or take anything from them, right?\N-No, nothing like that... response:	Miyako.
context: I'm coming back.\Miyako!\Arata!\I'm back...\Hey, are you okay? Are you hurt?\You didn't make any promises with the Another, or take anything from them, right?\N-No, nothing like that...\Miyako. response:	I'm sorry.
context: Miyako!\Arata!\I'm back...\Hey, are you okay? Are you hurt?\You didn't make any promises with the Another, or take anything from them, right?\N-No, nothing like that...\Miyako.\I'm sorry. response:	I should've been more careful.
context: Arata!\I'm back...\Hey, are you okay? Are you hurt?\You didn't make any promises with the Another, or take anything from them, right?\N-No, nothing like that...\Miyako.\I'm sorry.\I should've been more careful. response:	No, that's not true...
context: I'm back...\Hey, are you okay? Are you hurt?\You didn't make any promises with the Another, or take anything from them, right?\N-No, nothing like that...\Miyako.\I'm sorry.\I should've been more careful.\No, that's not true... response:	Well, Arata's okay. So it all worked out.
context: Hey, are you okay? Are you hurt?\You didn't make any promises with the Another, or take anything from them, right?\N-No, nothing like that...\Miyako.\I'm sorry.\I should've been more careful.\No, that's not true...\Well, Arata's okay. So it all worked out. response:	We're packing up for the day.
context: You didn't make any promises with the Another, or take anything from them, right?\N-No, nothing like that...\Miyako.\I'm sorry.\I should've been more careful.\No, that's not true...\Well, Arata's okay. So it all worked out.\We're packing up for the day. response:	Let's write our report and go.
context: N-No, nothing like that...\Miyako.\I'm sorry.\I should've been more careful.\No, that's not true...\Well, Arata's okay. So it all worked out.\We're packing up for the day.\Let's write our report and go. response:	Yeah, you're right.
context: Miyako.\I'm sorry.\I should've been more careful.\No, that's not true...\Well, Arata's okay. So it all worked out.\We're packing up for the day.\Let's write our report and go.\Yeah, you're right. response:	I'm going right to sleep when I get home.
context: I'm sorry.\I should've been more careful.\No, that's not true...\Well, Arata's okay. So it all worked out.\We're packing up for the day.\Let's write our report and go.\Yeah, you're right.\I'm going right to sleep when I get home. response:	We should eat first.
context: I should've been more careful.\No, that's not true...\Well, Arata's okay. So it all worked out.\We're packing up for the day.\Let's write our report and go.\Yeah, you're right.\I'm going right to sleep when I get home.\We should eat first. response:	Where's Miyako?
context: No, that's not true...\Well, Arata's okay. So it all worked out.\We're packing up for the day.\Let's write our report and go.\Yeah, you're right.\I'm going right to sleep when I get home.\We should eat first.\Where's Miyako? response:	He'll be here soon.
context: Well, Arata's okay. So it all worked out.\We're packing up for the day.\Let's write our report and go.\Yeah, you're right.\I'm going right to sleep when I get home.\We should eat first.\Where's Miyako?\He'll be here soon. response:	Oh, hello there.
context: We're packing up for the day.\Let's write our report and go.\Yeah, you're right.\I'm going right to sleep when I get home.\We should eat first.\Where's Miyako?\He'll be here soon.\Oh, hello there. response:	Hey.
context: Let's write our report and go.\Yeah, you're right.\I'm going right to sleep when I get home.\We should eat first.\Where's Miyako?\He'll be here soon.\Oh, hello there.\Hey. response:	Oh, right.
context: Yeah, you're right.\I'm going right to sleep when I get home.\We should eat first.\Where's Miyako?\He'll be here soon.\Oh, hello there.\Hey.\Oh, right. response:	I read the report.
context: I'm going right to sleep when I get home.\We should eat first.\Where's Miyako?\He'll be here soon.\Oh, hello there.\Hey.\Oh, right.\I read the report. response:	One Another was responsible for both cases, huh?
context: We should eat first.\Where's Miyako?\He'll be here soon.\Oh, hello there.\Hey.\Oh, right.\I read the report.\One Another was responsible for both cases, huh? response:	Sounds like a long night.
context: Where's Miyako?\He'll be here soon.\Oh, hello there.\Hey.\Oh, right.\I read the report.\One Another was responsible for both cases, huh?\Sounds like a long night. response:	What good are the Ears of Sand?
context: He'll be here soon.\Oh, hello there.\Hey.\Oh, right.\I read the report.\One Another was responsible for both cases, huh?\Sounds like a long night.\What good are the Ears of Sand? response:	Even if I can talk to the Anothers, I couldn't resolve anything...
context: Oh, hello there.\Hey.\Oh, right.\I read the report.\One Another was responsible for both cases, huh?\Sounds like a long night.\What good are the Ears of Sand?\Even if I can talk to the Anothers, I couldn't resolve anything... response:	Our job isn't to find the big solutions.
context: Hey.\Oh, right.\I read the report.\One Another was responsible for both cases, huh?\Sounds like a long night.\What good are the Ears of Sand?\Even if I can talk to the Anothers, I couldn't resolve anything...\Our job isn't to find the big solutions. response:	You came back safe, and the Another at City Hall is going to leave.
context: Oh, right.\I read the report.\One Another was responsible for both cases, huh?\Sounds like a long night.\What good are the Ears of Sand?\Even if I can talk to the Anothers, I couldn't resolve anything...\Our job isn't to find the big solutions.\You came back safe, and the Another at City Hall is going to leave. response:	The case is over.
context: I read the report.\One Another was responsible for both cases, huh?\Sounds like a long night.\What good are the Ears of Sand?\Even if I can talk to the Anothers, I couldn't resolve anything...\Our job isn't to find the big solutions.\You came back safe, and the Another at City Hall is going to leave.\The case is over. response:	Oh, Yokoyama-san?
