context: <I'm better at flying than running!!> response:	<Sketch of Petya>
context: Wrong!\Take care of the rest, Youko-chan.\Let me down! Hey!\When they find out that I'm not Shion...\They'll kill you.\This is the most rational decision in that situation.\A cigarette cannot go through a coin.\There's a hole in the coin. response:	The gimmick is that the hole opens and closes with a delicate spring.
context: Take care of the rest, Youko-chan.\Let me down! Hey!\When they find out that I'm not Shion...\They'll kill you.\This is the most rational decision in that situation.\A cigarette cannot go through a coin.\There's a hole in the coin.\The gimmick is that the hole opens and closes with a delicate spring. response:	That's my remuneration.
context: Let me down! Hey!\When they find out that I'm not Shion...\They'll kill you.\This is the most rational decision in that situation.\A cigarette cannot go through a coin.\There's a hole in the coin.\The gimmick is that the hole opens and closes with a delicate spring.\That's my remuneration. response:	I have to explain my tricks.
context: When they find out that I'm not Shion...\They'll kill you.\This is the most rational decision in that situation.\A cigarette cannot go through a coin.\There's a hole in the coin.\The gimmick is that the hole opens and closes with a delicate spring.\That's my remuneration.\I have to explain my tricks. response:	It's really painful for a magician.
context: They'll kill you.\This is the most rational decision in that situation.\A cigarette cannot go through a coin.\There's a hole in the coin.\The gimmick is that the hole opens and closes with a delicate spring.\That's my remuneration.\I have to explain my tricks.\It's really painful for a magician. response:	But thanks to that, I can use real magic!
context: This is the most rational decision in that situation.\A cigarette cannot go through a coin.\There's a hole in the coin.\The gimmick is that the hole opens and closes with a delicate spring.\That's my remuneration.\I have to explain my tricks.\It's really painful for a magician.\But thanks to that, I can use real magic! response:	Not done yet!
context: A cigarette cannot go through a coin.\There's a hole in the coin.\The gimmick is that the hole opens and closes with a delicate spring.\That's my remuneration.\I have to explain my tricks.\It's really painful for a magician.\But thanks to that, I can use real magic!\Not done yet! response:	Don't run away by yourself.
context: There's a hole in the coin.\The gimmick is that the hole opens and closes with a delicate spring.\That's my remuneration.\I have to explain my tricks.\It's really painful for a magician.\But thanks to that, I can use real magic!\Not done yet!\Don't run away by yourself. response:	Why?
context: The gimmick is that the hole opens and closes with a delicate spring.\That's my remuneration.\I have to explain my tricks.\It's really painful for a magician.\But thanks to that, I can use real magic!\Not done yet!\Don't run away by yourself.\Why? response:	Putting someone in a box and then piercing it with a saber...
context: That's my remuneration.\I have to explain my tricks.\It's really painful for a magician.\But thanks to that, I can use real magic!\Not done yet!\Don't run away by yourself.\Why?\Putting someone in a box and then piercing it with a saber... response:	There are several ways to do that,
context: I have to explain my tricks.\It's really painful for a magician.\But thanks to that, I can use real magic!\Not done yet!\Don't run away by yourself.\Why?\Putting someone in a box and then piercing it with a saber...\There are several ways to do that, response:	but the places the saber will pierce are planned beforehand.
context: It's really painful for a magician.\But thanks to that, I can use real magic!\Not done yet!\Don't run away by yourself.\Why?\Putting someone in a box and then piercing it with a saber...\There are several ways to do that,\but the places the saber will pierce are planned beforehand. response:	If you adjust your body properly, you can avoid getting stabbed.
context: But thanks to that, I can use real magic!\Not done yet!\Don't run away by yourself.\Why?\Putting someone in a box and then piercing it with a saber...\There are several ways to do that,\but the places the saber will pierce are planned beforehand.\If you adjust your body properly, you can avoid getting stabbed. response:	I told you. I'm a magician.
context: Not done yet!\Don't run away by yourself.\Why?\Putting someone in a box and then piercing it with a saber...\There are several ways to do that,\but the places the saber will pierce are planned beforehand.\If you adjust your body properly, you can avoid getting stabbed.\I told you. I'm a magician. response:	There're no tricks or gimmicks!
context: Don't run away by yourself.\Why?\Putting someone in a box and then piercing it with a saber...\There are several ways to do that,\but the places the saber will pierce are planned beforehand.\If you adjust your body properly, you can avoid getting stabbed.\I told you. I'm a magician.\There're no tricks or gimmicks! response:	He's distorting the space surrounding him, huh.
context: Why?\Putting someone in a box and then piercing it with a saber...\There are several ways to do that,\but the places the saber will pierce are planned beforehand.\If you adjust your body properly, you can avoid getting stabbed.\I told you. I'm a magician.\There're no tricks or gimmicks!\He's distorting the space surrounding him, huh. response:	Therefore neither swords nor bullets will harm him.
context: Putting someone in a box and then piercing it with a saber...\There are several ways to do that,\but the places the saber will pierce are planned beforehand.\If you adjust your body properly, you can avoid getting stabbed.\I told you. I'm a magician.\There're no tricks or gimmicks!\He's distorting the space surrounding him, huh.\Therefore neither swords nor bullets will harm him. response:	Distraction?
context: There are several ways to do that,\but the places the saber will pierce are planned beforehand.\If you adjust your body properly, you can avoid getting stabbed.\I told you. I'm a magician.\There're no tricks or gimmicks!\He's distorting the space surrounding him, huh.\Therefore neither swords nor bullets will harm him.\Distraction? response:	Instead of attacking him with the knife, he went for the face.
context: but the places the saber will pierce are planned beforehand.\If you adjust your body properly, you can avoid getting stabbed.\I told you. I'm a magician.\There're no tricks or gimmicks!\He's distorting the space surrounding him, huh.\Therefore neither swords nor bullets will harm him.\Distraction?\Instead of attacking him with the knife, he went for the face. response:	Not bad.
context: If you adjust your body properly, you can avoid getting stabbed.\I told you. I'm a magician.\There're no tricks or gimmicks!\He's distorting the space surrounding him, huh.\Therefore neither swords nor bullets will harm him.\Distraction?\Instead of attacking him with the knife, he went for the face.\Not bad. response:	Hazuki-san, we're ready.
context: I told you. I'm a magician.\There're no tricks or gimmicks!\He's distorting the space surrounding him, huh.\Therefore neither swords nor bullets will harm him.\Distraction?\Instead of attacking him with the knife, he went for the face.\Not bad.\Hazuki-san, we're ready. response:	Don't!
context: There're no tricks or gimmicks!\He's distorting the space surrounding him, huh.\Therefore neither swords nor bullets will harm him.\Distraction?\Instead of attacking him with the knife, he went for the face.\Not bad.\Hazuki-san, we're ready.\Don't! response:	Hei...
context: He's distorting the space surrounding him, huh.\Therefore neither swords nor bullets will harm him.\Distraction?\Instead of attacking him with the knife, he went for the face.\Not bad.\Hazuki-san, we're ready.\Don't!\Hei... response:	Don't, Yin!
context: Therefore neither swords nor bullets will harm him.\Distraction?\Instead of attacking him with the knife, he went for the face.\Not bad.\Hazuki-san, we're ready.\Don't!\Hei...\Don't, Yin! response:	Goodbye, Hei.
context: Distraction?\Instead of attacking him with the knife, he went for the face.\Not bad.\Hazuki-san, we're ready.\Don't!\Hei...\Don't, Yin!\Goodbye, Hei. response:	Kureteku yuubae ni senaka osarete
context: Instead of attacking him with the knife, he went for the face.\Not bad.\Hazuki-san, we're ready.\Don't!\Hei...\Don't, Yin!\Goodbye, Hei.\Kureteku yuubae ni senaka osarete response:	My back is pressed by the darkening glow of dusk
context: Not bad.\Hazuki-san, we're ready.\Don't!\Hei...\Don't, Yin!\Goodbye, Hei.\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk response:	Arukidasu kage ga shimesu hou e
context: Hazuki-san, we're ready.\Don't!\Hei...\Don't, Yin!\Goodbye, Hei.\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e response:	I start walking toward where my shadow points
context: Don't!\Hei...\Don't, Yin!\Goodbye, Hei.\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points response:	Taenai ikutsu mo no deai to wakare o
context: Hei...\Don't, Yin!\Goodbye, Hei.\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o response:	Repeating the many, ceaseless encounters and partings
context: Don't, Yin!\Goodbye, Hei.\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings response:	Kurikaeshi doko e mukau no ka
context: Goodbye, Hei.\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka response:	Where do I head to?
context: Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to? response:	Hito wa dare mo mayoinagara
context: My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara response:	For all people, while they are lost,
context: Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost, response:	tsumi to iu na no sadame o seotte
context: I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte response:	they bear the fate known as sin
context: Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin response:	Sore de mo nao ikiru imi o shiru darou
context: Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou response:	Nevertheless, I'll still learn of the meaning to live, right?
context: Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right? response:	Bokura wa sou Day by Day
context: Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day response:	That's right, Day by Day,
context: Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day, response:	ashita e tsuzuku michi no tochuu de
context: For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de response:	we're midway on the road leading to tomorrow
context: tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow response:	Now Say It Again kimi to futari no mama
context: they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama response:	Now Say It Again, though it'd be great if
context: Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if response:	irareta nara ii no ni naa...
context: Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa... response:	I could remain together with you...
context: Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you... response:	BK201 has...
context: That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you...\BK201 has... response:	disappeared?
context: ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you...\BK201 has...\disappeared? response:	It's the terminal.
context: we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you...\BK201 has...\disappeared?\It's the terminal. response:	The place where everything ends.
context: Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you...\BK201 has...\disappeared?\It's the terminal.\The place where everything ends. response:	The white snowfield is drenched with blood and gunsmoke,
context: Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you...\BK201 has...\disappeared?\It's the terminal.\The place where everything ends.\The white snowfield is drenched with blood and gunsmoke, response:	and the decay of their first love drifts into the hell.
context: irareta nara ii no ni naa...\I could remain together with you...\BK201 has...\disappeared?\It's the terminal.\The place where everything ends.\The white snowfield is drenched with blood and gunsmoke,\and the decay of their first love drifts into the hell. response:	The scream,
context: I could remain together with you...\BK201 has...\disappeared?\It's the terminal.\The place where everything ends.\The white snowfield is drenched with blood and gunsmoke,\and the decay of their first love drifts into the hell.\The scream, response:	the invocation, an uninvited spell.
context: BK201 has...\disappeared?\It's the terminal.\The place where everything ends.\The white snowfield is drenched with blood and gunsmoke,\and the decay of their first love drifts into the hell.\The scream,\the invocation, an uninvited spell. response:	When you wake up, the Grim Reaper drifts away with your dream.
context: disappeared?\It's the terminal.\The place where everything ends.\The white snowfield is drenched with blood and gunsmoke,\and the decay of their first love drifts into the hell.\The scream,\the invocation, an uninvited spell.\When you wake up, the Grim Reaper drifts away with your dream. response:	The terminal.
context: It's the terminal.\The place where everything ends.\The white snowfield is drenched with blood and gunsmoke,\and the decay of their first love drifts into the hell.\The scream,\the invocation, an uninvited spell.\When you wake up, the Grim Reaper drifts away with your dream.\The terminal. response:	That's the turning point of fates.
context: The place where everything ends.\The white snowfield is drenched with blood and gunsmoke,\and the decay of their first love drifts into the hell.\The scream,\the invocation, an uninvited spell.\When you wake up, the Grim Reaper drifts away with your dream.\The terminal.\That's the turning point of fates. response:	And then...
context: The white snowfield is drenched with blood and gunsmoke,\and the decay of their first love drifts into the hell.\The scream,\the invocation, an uninvited spell.\When you wake up, the Grim Reaper drifts away with your dream.\The terminal.\That's the turning point of fates.\And then... response:	a light was set free.
