context: Beyond the seas of Kamogawa response:	Beyond the seas of Kamogawa
context: I then realized, the stronger the bond\between those who've achieved Memoria and their Vox,\the more that person's will is converted into the power of the Rinne.\And that's when I felt it...\The will of a greater presence!\In the past, in an attempt to hear that voice,\I tried giving myself to the Vox.\But my soul was not deemed worthy of the Memoria. response:	No matter how many times I tried, no matter what I did!
context: between those who've achieved Memoria and their Vox,\the more that person's will is converted into the power of the Rinne.\And that's when I felt it...\The will of a greater presence!\In the past, in an attempt to hear that voice,\I tried giving myself to the Vox.\But my soul was not deemed worthy of the Memoria.\No matter how many times I tried, no matter what I did! response:	I drowned in despair.
context: the more that person's will is converted into the power of the Rinne.\And that's when I felt it...\The will of a greater presence!\In the past, in an attempt to hear that voice,\I tried giving myself to the Vox.\But my soul was not deemed worthy of the Memoria.\No matter how many times I tried, no matter what I did!\I drowned in despair. response:	That's when you appeared before me.
context: And that's when I felt it...\The will of a greater presence!\In the past, in an attempt to hear that voice,\I tried giving myself to the Vox.\But my soul was not deemed worthy of the Memoria.\No matter how many times I tried, no matter what I did!\I drowned in despair.\That's when you appeared before me. response:	And yet!
context: The will of a greater presence!\In the past, in an attempt to hear that voice,\I tried giving myself to the Vox.\But my soul was not deemed worthy of the Memoria.\No matter how many times I tried, no matter what I did!\I drowned in despair.\That's when you appeared before me.\And yet! response:	You think you have the right to condemn me?!
context: In the past, in an attempt to hear that voice,\I tried giving myself to the Vox.\But my soul was not deemed worthy of the Memoria.\No matter how many times I tried, no matter what I did!\I drowned in despair.\That's when you appeared before me.\And yet!\You think you have the right to condemn me?! response:	You make me laugh!
context: I tried giving myself to the Vox.\But my soul was not deemed worthy of the Memoria.\No matter how many times I tried, no matter what I did!\I drowned in despair.\That's when you appeared before me.\And yet!\You think you have the right to condemn me?!\You make me laugh! response:	Everything goes back to that day, when you didn't fulfill my desire...
context: But my soul was not deemed worthy of the Memoria.\No matter how many times I tried, no matter what I did!\I drowned in despair.\That's when you appeared before me.\And yet!\You think you have the right to condemn me?!\You make me laugh!\Everything goes back to that day, when you didn't fulfill my desire... response:	You're the one who's at fault here!
context: No matter how many times I tried, no matter what I did!\I drowned in despair.\That's when you appeared before me.\And yet!\You think you have the right to condemn me?!\You make me laugh!\Everything goes back to that day, when you didn't fulfill my desire...\You're the one who's at fault here! response:	You used Madoka just for that?!
context: I drowned in despair.\That's when you appeared before me.\And yet!\You think you have the right to condemn me?!\You make me laugh!\Everything goes back to that day, when you didn't fulfill my desire...\You're the one who's at fault here!\You used Madoka just for that?! response:	I failed, Midori.
context: That's when you appeared before me.\And yet!\You think you have the right to condemn me?!\You make me laugh!\Everything goes back to that day, when you didn't fulfill my desire...\You're the one who's at fault here!\You used Madoka just for that?!\I failed, Midori. response:	I couldn't win.
context: And yet!\You think you have the right to condemn me?!\You make me laugh!\Everything goes back to that day, when you didn't fulfill my desire...\You're the one who's at fault here!\You used Madoka just for that?!\I failed, Midori.\I couldn't win. response:	I had to beat him at all cost.
context: You think you have the right to condemn me?!\You make me laugh!\Everything goes back to that day, when you didn't fulfill my desire...\You're the one who's at fault here!\You used Madoka just for that?!\I failed, Midori.\I couldn't win.\I had to beat him at all cost. response:	If I didn't, it would mean that Lan's brother was right.
context: You make me laugh!\Everything goes back to that day, when you didn't fulfill my desire...\You're the one who's at fault here!\You used Madoka just for that?!\I failed, Midori.\I couldn't win.\I had to beat him at all cost.\If I didn't, it would mean that Lan's brother was right. response:	I hate this...
context: Everything goes back to that day, when you didn't fulfill my desire...\You're the one who's at fault here!\You used Madoka just for that?!\I failed, Midori.\I couldn't win.\I had to beat him at all cost.\If I didn't, it would mean that Lan's brother was right.\I hate this... response:	My phone works in here?
context: You're the one who's at fault here!\You used Madoka just for that?!\I failed, Midori.\I couldn't win.\I had to beat him at all cost.\If I didn't, it would mean that Lan's brother was right.\I hate this...\My phone works in here? response:	Email? Who is it from?
context: You used Madoka just for that?!\I failed, Midori.\I couldn't win.\I had to beat him at all cost.\If I didn't, it would mean that Lan's brother was right.\I hate this...\My phone works in here?\Email? Who is it from? response:	I believe this is our destiny.
context: I failed, Midori.\I couldn't win.\I had to beat him at all cost.\If I didn't, it would mean that Lan's brother was right.\I hate this...\My phone works in here?\Email? Who is it from?\I believe this is our destiny. response:	Destiny?
context: I couldn't win.\I had to beat him at all cost.\If I didn't, it would mean that Lan's brother was right.\I hate this...\My phone works in here?\Email? Who is it from?\I believe this is our destiny.\Destiny? response:	That's right.
context: I had to beat him at all cost.\If I didn't, it would mean that Lan's brother was right.\I hate this...\My phone works in here?\Email? Who is it from?\I believe this is our destiny.\Destiny?\That's right. response:	I can't do this by myself.
context: If I didn't, it would mean that Lan's brother was right.\I hate this...\My phone works in here?\Email? Who is it from?\I believe this is our destiny.\Destiny?\That's right.\I can't do this by myself. response:	You can't do this by yourself, either.
context: I hate this...\My phone works in here?\Email? Who is it from?\I believe this is our destiny.\Destiny?\That's right.\I can't do this by myself.\You can't do this by yourself, either. response:	But if we join hands and work together,
context: My phone works in here?\Email? Who is it from?\I believe this is our destiny.\Destiny?\That's right.\I can't do this by myself.\You can't do this by yourself, either.\But if we join hands and work together, response:	we can overcome any problems the Polyhedron might face in the future...
context: Email? Who is it from?\I believe this is our destiny.\Destiny?\That's right.\I can't do this by myself.\You can't do this by yourself, either.\But if we join hands and work together,\we can overcome any problems the Polyhedron might face in the future... response:	We're comrades.
context: I believe this is our destiny.\Destiny?\That's right.\I can't do this by myself.\You can't do this by yourself, either.\But if we join hands and work together,\we can overcome any problems the Polyhedron might face in the future...\We're comrades. response:	Yeah, we're in this together, through good and bad times.
context: Destiny?\That's right.\I can't do this by myself.\You can't do this by yourself, either.\But if we join hands and work together,\we can overcome any problems the Polyhedron might face in the future...\We're comrades.\Yeah, we're in this together, through good and bad times. response:	So that's what happened.
context: That's right.\I can't do this by myself.\You can't do this by yourself, either.\But if we join hands and work together,\we can overcome any problems the Polyhedron might face in the future...\We're comrades.\Yeah, we're in this together, through good and bad times.\So that's what happened. response:	Geez, why didn't you just say so?
context: I can't do this by myself.\You can't do this by yourself, either.\But if we join hands and work together,\we can overcome any problems the Polyhedron might face in the future...\We're comrades.\Yeah, we're in this together, through good and bad times.\So that's what happened.\Geez, why didn't you just say so? response:	Huh?
context: You can't do this by yourself, either.\But if we join hands and work together,\we can overcome any problems the Polyhedron might face in the future...\We're comrades.\Yeah, we're in this together, through good and bad times.\So that's what happened.\Geez, why didn't you just say so?\Huh? response:	What's that, Midori? Look up?
context: But if we join hands and work together,\we can overcome any problems the Polyhedron might face in the future...\We're comrades.\Yeah, we're in this together, through good and bad times.\So that's what happened.\Geez, why didn't you just say so?\Huh?\What's that, Midori? Look up? response:	Ouch! That hurt...
context: we can overcome any problems the Polyhedron might face in the future...\We're comrades.\Yeah, we're in this together, through good and bad times.\So that's what happened.\Geez, why didn't you just say so?\Huh?\What's that, Midori? Look up?\Ouch! That hurt... response:	What was that for?!
context: We're comrades.\Yeah, we're in this together, through good and bad times.\So that's what happened.\Geez, why didn't you just say so?\Huh?\What's that, Midori? Look up?\Ouch! That hurt...\What was that for?! response:	Okay, then!
context: Yeah, we're in this together, through good and bad times.\So that's what happened.\Geez, why didn't you just say so?\Huh?\What's that, Midori? Look up?\Ouch! That hurt...\What was that for?!\Okay, then! response:	We want to talk.
context: So that's what happened.\Geez, why didn't you just say so?\Huh?\What's that, Midori? Look up?\Ouch! That hurt...\What was that for?!\Okay, then!\We want to talk. response:	Madoka, Muginami. I'm sorry...
context: Geez, why didn't you just say so?\Huh?\What's that, Midori? Look up?\Ouch! That hurt...\What was that for?!\Okay, then!\We want to talk.\Madoka, Muginami. I'm sorry... response:	My beloved brother has turned into a demon.
context: Huh?\What's that, Midori? Look up?\Ouch! That hurt...\What was that for?!\Okay, then!\We want to talk.\Madoka, Muginami. I'm sorry...\My beloved brother has turned into a demon. response:	I'm sorry. I'm so sorry.
context: What's that, Midori? Look up?\Ouch! That hurt...\What was that for?!\Okay, then!\We want to talk.\Madoka, Muginami. I'm sorry...\My beloved brother has turned into a demon.\I'm sorry. I'm so sorry. response:	Madoka, Lan...
context: Ouch! That hurt...\What was that for?!\Okay, then!\We want to talk.\Madoka, Muginami. I'm sorry...\My beloved brother has turned into a demon.\I'm sorry. I'm so sorry.\Madoka, Lan... response:	I know I always depend on you guys too much.
context: What was that for?!\Okay, then!\We want to talk.\Madoka, Muginami. I'm sorry...\My beloved brother has turned into a demon.\I'm sorry. I'm so sorry.\Madoka, Lan...\I know I always depend on you guys too much. response:	So I thought I should at least try and avenge my Big Brother on my own, but...
context: Okay, then!\We want to talk.\Madoka, Muginami. I'm sorry...\My beloved brother has turned into a demon.\I'm sorry. I'm so sorry.\Madoka, Lan...\I know I always depend on you guys too much.\So I thought I should at least try and avenge my Big Brother on my own, but... response:	Ouch!
context: We want to talk.\Madoka, Muginami. I'm sorry...\My beloved brother has turned into a demon.\I'm sorry. I'm so sorry.\Madoka, Lan...\I know I always depend on you guys too much.\So I thought I should at least try and avenge my Big Brother on my own, but...\Ouch! response:	That hurt!
context: Madoka, Muginami. I'm sorry...\My beloved brother has turned into a demon.\I'm sorry. I'm so sorry.\Madoka, Lan...\I know I always depend on you guys too much.\So I thought I should at least try and avenge my Big Brother on my own, but...\Ouch!\That hurt! response:	Muginami!
context: My beloved brother has turned into a demon.\I'm sorry. I'm so sorry.\Madoka, Lan...\I know I always depend on you guys too much.\So I thought I should at least try and avenge my Big Brother on my own, but...\Ouch!\That hurt!\Muginami! response:	Oww!
context: I'm sorry. I'm so sorry.\Madoka, Lan...\I know I always depend on you guys too much.\So I thought I should at least try and avenge my Big Brother on my own, but...\Ouch!\That hurt!\Muginami!\Oww! response:	Lan?
context: Madoka, Lan...\I know I always depend on you guys too much.\So I thought I should at least try and avenge my Big Brother on my own, but...\Ouch!\That hurt!\Muginami!\Oww!\Lan? response:	Madoka?
context: I know I always depend on you guys too much.\So I thought I should at least try and avenge my Big Brother on my own, but...\Ouch!\That hurt!\Muginami!\Oww!\Lan?\Madoka? response:	What do you know!
context: So I thought I should at least try and avenge my Big Brother on my own, but...\Ouch!\That hurt!\Muginami!\Oww!\Lan?\Madoka?\What do you know! response:	You're here!
context: Ouch!\That hurt!\Muginami!\Oww!\Lan?\Madoka?\What do you know!\You're here! response:	I didn't care who it was.
context: That hurt!\Muginami!\Oww!\Lan?\Madoka?\What do you know!\You're here!\I didn't care who it was. response:	As long as it was someone who would give in to their emotions, and unleash it completely.
context: Muginami!\Oww!\Lan?\Madoka?\What do you know!\You're here!\I didn't care who it was.\As long as it was someone who would give in to their emotions, and unleash it completely. response:	Anyone with the potential,
context: Oww!\Lan?\Madoka?\What do you know!\You're here!\I didn't care who it was.\As long as it was someone who would give in to their emotions, and unleash it completely.\Anyone with the potential, response:	to allow me to hear that voice from the Rinne.
context: Lan?\Madoka?\What do you know!\You're here!\I didn't care who it was.\As long as it was someone who would give in to their emotions, and unleash it completely.\Anyone with the potential,\to allow me to hear that voice from the Rinne. response:	I suppose I should thank you.
context: Madoka?\What do you know!\You're here!\I didn't care who it was.\As long as it was someone who would give in to their emotions, and unleash it completely.\Anyone with the potential,\to allow me to hear that voice from the Rinne.\I suppose I should thank you. response:	I now know what needs to be done.
context: What do you know!\You're here!\I didn't care who it was.\As long as it was someone who would give in to their emotions, and unleash it completely.\Anyone with the potential,\to allow me to hear that voice from the Rinne.\I suppose I should thank you.\I now know what needs to be done. response:	There's nothing more you can do.
context: You're here!\I didn't care who it was.\As long as it was someone who would give in to their emotions, and unleash it completely.\Anyone with the potential,\to allow me to hear that voice from the Rinne.\I suppose I should thank you.\I now know what needs to be done.\There's nothing more you can do. response:	No, there is one thing.
context: I didn't care who it was.\As long as it was someone who would give in to their emotions, and unleash it completely.\Anyone with the potential,\to allow me to hear that voice from the Rinne.\I suppose I should thank you.\I now know what needs to be done.\There's nothing more you can do.\No, there is one thing. response:	Believe in Madoka.
context: As long as it was someone who would give in to their emotions, and unleash it completely.\Anyone with the potential,\to allow me to hear that voice from the Rinne.\I suppose I should thank you.\I now know what needs to be done.\There's nothing more you can do.\No, there is one thing.\Believe in Madoka. response:	I see...
context: Anyone with the potential,\to allow me to hear that voice from the Rinne.\I suppose I should thank you.\I now know what needs to be done.\There's nothing more you can do.\No, there is one thing.\Believe in Madoka.\I see... response:	You and Muginami decided what to do after high school.
context: to allow me to hear that voice from the Rinne.\I suppose I should thank you.\I now know what needs to be done.\There's nothing more you can do.\No, there is one thing.\Believe in Madoka.\I see...\You and Muginami decided what to do after high school. response:	We're sorry.
context: I suppose I should thank you.\I now know what needs to be done.\There's nothing more you can do.\No, there is one thing.\Believe in Madoka.\I see...\You and Muginami decided what to do after high school.\We're sorry. response:	Don't apologize.
context: I now know what needs to be done.\There's nothing more you can do.\No, there is one thing.\Believe in Madoka.\I see...\You and Muginami decided what to do after high school.\We're sorry.\Don't apologize. response:	It's only natural to want to return to your home planets.
context: There's nothing more you can do.\No, there is one thing.\Believe in Madoka.\I see...\You and Muginami decided what to do after high school.\We're sorry.\Don't apologize.\It's only natural to want to return to your home planets. response:	No, about not telling you until today...
context: No, there is one thing.\Believe in Madoka.\I see...\You and Muginami decided what to do after high school.\We're sorry.\Don't apologize.\It's only natural to want to return to your home planets.\No, about not telling you until today... response:	Yeah, if the two of you had left Kamogawa without saying anything,
context: Believe in Madoka.\I see...\You and Muginami decided what to do after high school.\We're sorry.\Don't apologize.\It's only natural to want to return to your home planets.\No, about not telling you until today...\Yeah, if the two of you had left Kamogawa without saying anything, response:	I probably would've been angry.
context: I see...\You and Muginami decided what to do after high school.\We're sorry.\Don't apologize.\It's only natural to want to return to your home planets.\No, about not telling you until today...\Yeah, if the two of you had left Kamogawa without saying anything,\I probably would've been angry. response:	I think I understand how Lan's brother felt.
context: You and Muginami decided what to do after high school.\We're sorry.\Don't apologize.\It's only natural to want to return to your home planets.\No, about not telling you until today...\Yeah, if the two of you had left Kamogawa without saying anything,\I probably would've been angry.\I think I understand how Lan's brother felt. response:	It's just like how you two are my comrades.
context: We're sorry.\Don't apologize.\It's only natural to want to return to your home planets.\No, about not telling you until today...\Yeah, if the two of you had left Kamogawa without saying anything,\I probably would've been angry.\I think I understand how Lan's brother felt.\It's just like how you two are my comrades. response:	Lan's brother believed that Big Brother Giuvi was his comrade.
context: Don't apologize.\It's only natural to want to return to your home planets.\No, about not telling you until today...\Yeah, if the two of you had left Kamogawa without saying anything,\I probably would've been angry.\I think I understand how Lan's brother felt.\It's just like how you two are my comrades.\Lan's brother believed that Big Brother Giuvi was his comrade. response:	Brother...
context: It's only natural to want to return to your home planets.\No, about not telling you until today...\Yeah, if the two of you had left Kamogawa without saying anything,\I probably would've been angry.\I think I understand how Lan's brother felt.\It's just like how you two are my comrades.\Lan's brother believed that Big Brother Giuvi was his comrade.\Brother... response:	And another voice.
context: No, about not telling you until today...\Yeah, if the two of you had left Kamogawa without saying anything,\I probably would've been angry.\I think I understand how Lan's brother felt.\It's just like how you two are my comrades.\Lan's brother believed that Big Brother Giuvi was his comrade.\Brother...\And another voice. response:	Thank goodness...
context: Yeah, if the two of you had left Kamogawa without saying anything,\I probably would've been angry.\I think I understand how Lan's brother felt.\It's just like how you two are my comrades.\Lan's brother believed that Big Brother Giuvi was his comrade.\Brother...\And another voice.\Thank goodness... response:	Big Brother...
context: I probably would've been angry.\I think I understand how Lan's brother felt.\It's just like how you two are my comrades.\Lan's brother believed that Big Brother Giuvi was his comrade.\Brother...\And another voice.\Thank goodness...\Big Brother... response:	Attention all planets of the Polyhedron!
context: I think I understand how Lan's brother felt.\It's just like how you two are my comrades.\Lan's brother believed that Big Brother Giuvi was his comrade.\Brother...\And another voice.\Thank goodness...\Big Brother...\Attention all planets of the Polyhedron! response:	Le Garite and De Metrio
context: It's just like how you two are my comrades.\Lan's brother believed that Big Brother Giuvi was his comrade.\Brother...\And another voice.\Thank goodness...\Big Brother...\Attention all planets of the Polyhedron!\Le Garite and De Metrio response:	have agreed to a cease-fire effective immediately!
context: Lan's brother believed that Big Brother Giuvi was his comrade.\Brother...\And another voice.\Thank goodness...\Big Brother...\Attention all planets of the Polyhedron!\Le Garite and De Metrio\have agreed to a cease-fire effective immediately! response:	Thank you, Orca, for protecting me till today.
context: Brother...\And another voice.\Thank goodness...\Big Brother...\Attention all planets of the Polyhedron!\Le Garite and De Metrio\have agreed to a cease-fire effective immediately!\Thank you, Orca, for protecting me till today. response:	I'll always love you, Hupo.
context: And another voice.\Thank goodness...\Big Brother...\Attention all planets of the Polyhedron!\Le Garite and De Metrio\have agreed to a cease-fire effective immediately!\Thank you, Orca, for protecting me till today.\I'll always love you, Hupo. response:	All right!
context: Thank goodness...\Big Brother...\Attention all planets of the Polyhedron!\Le Garite and De Metrio\have agreed to a cease-fire effective immediately!\Thank you, Orca, for protecting me till today.\I'll always love you, Hupo.\All right! response:	Let's go, Midori!
context: Big Brother...\Attention all planets of the Polyhedron!\Le Garite and De Metrio\have agreed to a cease-fire effective immediately!\Thank you, Orca, for protecting me till today.\I'll always love you, Hupo.\All right!\Let's go, Midori! response:	Stop feeling sorry for yourself and dragging down the entire universe!
context: Attention all planets of the Polyhedron!\Le Garite and De Metrio\have agreed to a cease-fire effective immediately!\Thank you, Orca, for protecting me till today.\I'll always love you, Hupo.\All right!\Let's go, Midori!\Stop feeling sorry for yourself and dragging down the entire universe! response:	You and Villagiulio's feelings are...
context: Le Garite and De Metrio\have agreed to a cease-fire effective immediately!\Thank you, Orca, for protecting me till today.\I'll always love you, Hupo.\All right!\Let's go, Midori!\Stop feeling sorry for yourself and dragging down the entire universe!\You and Villagiulio's feelings are... response:	Just like...
context: have agreed to a cease-fire effective immediately!\Thank you, Orca, for protecting me till today.\I'll always love you, Hupo.\All right!\Let's go, Midori!\Stop feeling sorry for yourself and dragging down the entire universe!\You and Villagiulio's feelings are...\Just like... response:	us!
context: Thank you, Orca, for protecting me till today.\I'll always love you, Hupo.\All right!\Let's go, Midori!\Stop feeling sorry for yourself and dragging down the entire universe!\You and Villagiulio's feelings are...\Just like...\us! response:	We've finally gotten this far. It's our last episode.
context: I'll always love you, Hupo.\All right!\Let's go, Midori!\Stop feeling sorry for yourself and dragging down the entire universe!\You and Villagiulio's feelings are...\Just like...\us!\We've finally gotten this far. It's our last episode. response:	So many things have happened.
context: All right!\Let's go, Midori!\Stop feeling sorry for yourself and dragging down the entire universe!\You and Villagiulio's feelings are...\Just like...\us!\We've finally gotten this far. It's our last episode.\So many things have happened. response:	They've all turned out to be good memories. Right?
context: Let's go, Midori!\Stop feeling sorry for yourself and dragging down the entire universe!\You and Villagiulio's feelings are...\Just like...\us!\We've finally gotten this far. It's our last episode.\So many things have happened.\They've all turned out to be good memories. Right? response:	Even if the three of us aren't going to be together...
context: Stop feeling sorry for yourself and dragging down the entire universe!\You and Villagiulio's feelings are...\Just like...\us!\We've finally gotten this far. It's our last episode.\So many things have happened.\They've all turned out to be good memories. Right?\Even if the three of us aren't going to be together... response:	Even if I'll never be able to see the two of you again...
context: You and Villagiulio's feelings are...\Just like...\us!\We've finally gotten this far. It's our last episode.\So many things have happened.\They've all turned out to be good memories. Right?\Even if the three of us aren't going to be together...\Even if I'll never be able to see the two of you again... response:	We will always be the Sweats Club!
context: Just like...\us!\We've finally gotten this far. It's our last episode.\So many things have happened.\They've all turned out to be good memories. Right?\Even if the three of us aren't going to be together...\Even if I'll never be able to see the two of you again...\We will always be the Sweats Club! response:	On the water's surface I see a light reflected that stirs my heart
context: us!\We've finally gotten this far. It's our last episode.\So many things have happened.\They've all turned out to be good memories. Right?\Even if the three of us aren't going to be together...\Even if I'll never be able to see the two of you again...\We will always be the Sweats Club!\On the water's surface I see a light reflected that stirs my heart response:	When we realized our bond,
context: We've finally gotten this far. It's our last episode.\So many things have happened.\They've all turned out to be good memories. Right?\Even if the three of us aren't going to be together...\Even if I'll never be able to see the two of you again...\We will always be the Sweats Club!\On the water's surface I see a light reflected that stirs my heart\When we realized our bond, response:	we were already deeply connected under the blue sky
context: So many things have happened.\They've all turned out to be good memories. Right?\Even if the three of us aren't going to be together...\Even if I'll never be able to see the two of you again...\We will always be the Sweats Club!\On the water's surface I see a light reflected that stirs my heart\When we realized our bond,\we were already deeply connected under the blue sky response:	We had so much fun, as in a daze, that time seemed forgotten
context: They've all turned out to be good memories. Right?\Even if the three of us aren't going to be together...\Even if I'll never be able to see the two of you again...\We will always be the Sweats Club!\On the water's surface I see a light reflected that stirs my heart\When we realized our bond,\we were already deeply connected under the blue sky\We had so much fun, as in a daze, that time seemed forgotten response:	I prayed that there would be no end to the way we lived
context: Even if the three of us aren't going to be together...\Even if I'll never be able to see the two of you again...\We will always be the Sweats Club!\On the water's surface I see a light reflected that stirs my heart\When we realized our bond,\we were already deeply connected under the blue sky\We had so much fun, as in a daze, that time seemed forgotten\I prayed that there would be no end to the way we lived response:	I won't forget our days together, although time goes by,
context: Even if I'll never be able to see the two of you again...\We will always be the Sweats Club!\On the water's surface I see a light reflected that stirs my heart\When we realized our bond,\we were already deeply connected under the blue sky\We had so much fun, as in a daze, that time seemed forgotten\I prayed that there would be no end to the way we lived\I won't forget our days together, although time goes by, response:	and you are far from me now,
context: We will always be the Sweats Club!\On the water's surface I see a light reflected that stirs my heart\When we realized our bond,\we were already deeply connected under the blue sky\We had so much fun, as in a daze, that time seemed forgotten\I prayed that there would be no end to the way we lived\I won't forget our days together, although time goes by,\and you are far from me now, response:	because you left behind a wonderful world
context: On the water's surface I see a light reflected that stirs my heart\When we realized our bond,\we were already deeply connected under the blue sky\We had so much fun, as in a daze, that time seemed forgotten\I prayed that there would be no end to the way we lived\I won't forget our days together, although time goes by,\and you are far from me now,\because you left behind a wonderful world response:	for me to wait in
