context: Operation: Infiltrate a Planetoid Base response:	They're fast! I can't process their data quick enough!
context: it will be impossible to communicate with us.\Gold 4 will be in charge of the bomb.\You will also use Gold 4's computer to detonate it.\This mission came out of nowhere, didn't it?\I can't believe we're destroying a base that's on the sidelines.\They're probably trying to make the other team look good.\That's what it'd take to save the MJP's face.\At any rate, they want evidence that we're winning. response:	I bet this is a co-op to increase the chances of success.
context: Gold 4 will be in charge of the bomb.\You will also use Gold 4's computer to detonate it.\This mission came out of nowhere, didn't it?\I can't believe we're destroying a base that's on the sidelines.\They're probably trying to make the other team look good.\That's what it'd take to save the MJP's face.\At any rate, they want evidence that we're winning.\I bet this is a co-op to increase the chances of success. response:	Yeah, but do you think we can handle this...?
context: You will also use Gold 4's computer to detonate it.\This mission came out of nowhere, didn't it?\I can't believe we're destroying a base that's on the sidelines.\They're probably trying to make the other team look good.\That's what it'd take to save the MJP's face.\At any rate, they want evidence that we're winning.\I bet this is a co-op to increase the chances of success.\Yeah, but do you think we can handle this...? response:	Did you end up watching that video last night?
context: This mission came out of nowhere, didn't it?\I can't believe we're destroying a base that's on the sidelines.\They're probably trying to make the other team look good.\That's what it'd take to save the MJP's face.\At any rate, they want evidence that we're winning.\I bet this is a co-op to increase the chances of success.\Yeah, but do you think we can handle this...?\Did you end up watching that video last night? response:	Not me! I didn't watch it!
context: I can't believe we're destroying a base that's on the sidelines.\They're probably trying to make the other team look good.\That's what it'd take to save the MJP's face.\At any rate, they want evidence that we're winning.\I bet this is a co-op to increase the chances of success.\Yeah, but do you think we can handle this...?\Did you end up watching that video last night?\Not me! I didn't watch it! response:	Kei, are you going to tell the instructor...?
context: They're probably trying to make the other team look good.\That's what it'd take to save the MJP's face.\At any rate, they want evidence that we're winning.\I bet this is a co-op to increase the chances of success.\Yeah, but do you think we can handle this...?\Did you end up watching that video last night?\Not me! I didn't watch it!\Kei, are you going to tell the instructor...? response:	No, I wouldn't do that!
context: That's what it'd take to save the MJP's face.\At any rate, they want evidence that we're winning.\I bet this is a co-op to increase the chances of success.\Yeah, but do you think we can handle this...?\Did you end up watching that video last night?\Not me! I didn't watch it!\Kei, are you going to tell the instructor...?\No, I wouldn't do that! response:	D-don't worry, Kei!
context: At any rate, they want evidence that we're winning.\I bet this is a co-op to increase the chances of success.\Yeah, but do you think we can handle this...?\Did you end up watching that video last night?\Not me! I didn't watch it!\Kei, are you going to tell the instructor...?\No, I wouldn't do that!\D-don't worry, Kei! response:	I'm sleepy after staying up all night,
context: I bet this is a co-op to increase the chances of success.\Yeah, but do you think we can handle this...?\Did you end up watching that video last night?\Not me! I didn't watch it!\Kei, are you going to tell the instructor...?\No, I wouldn't do that!\D-don't worry, Kei!\I'm sleepy after staying up all night, response:	but it was really refreshing.
context: Yeah, but do you think we can handle this...?\Did you end up watching that video last night?\Not me! I didn't watch it!\Kei, are you going to tell the instructor...?\No, I wouldn't do that!\D-don't worry, Kei!\I'm sleepy after staying up all night,\but it was really refreshing. response:	Well? Was it a good picker upper?
context: Did you end up watching that video last night?\Not me! I didn't watch it!\Kei, are you going to tell the instructor...?\No, I wouldn't do that!\D-don't worry, Kei!\I'm sleepy after staying up all night,\but it was really refreshing.\Well? Was it a good picker upper? response:	Yeah, but I wound up showing it to Kei and Tamaki...
context: Not me! I didn't watch it!\Kei, are you going to tell the instructor...?\No, I wouldn't do that!\D-don't worry, Kei!\I'm sleepy after staying up all night,\but it was really refreshing.\Well? Was it a good picker upper?\Yeah, but I wound up showing it to Kei and Tamaki... response:	What?! Y-you've got some balls!
context: Kei, are you going to tell the instructor...?\No, I wouldn't do that!\D-don't worry, Kei!\I'm sleepy after staying up all night,\but it was really refreshing.\Well? Was it a good picker upper?\Yeah, but I wound up showing it to Kei and Tamaki...\What?! Y-you've got some balls! response:	I'm amazed you've treaded grounds far more dangerous than I have!
context: No, I wouldn't do that!\D-don't worry, Kei!\I'm sleepy after staying up all night,\but it was really refreshing.\Well? Was it a good picker upper?\Yeah, but I wound up showing it to Kei and Tamaki...\What?! Y-you've got some balls!\I'm amazed you've treaded grounds far more dangerous than I have! response:	G-gee, thanks...
context: D-don't worry, Kei!\I'm sleepy after staying up all night,\but it was really refreshing.\Well? Was it a good picker upper?\Yeah, but I wound up showing it to Kei and Tamaki...\What?! Y-you've got some balls!\I'm amazed you've treaded grounds far more dangerous than I have!\G-gee, thanks... response:	Identifying the enemy base.
context: I'm sleepy after staying up all night,\but it was really refreshing.\Well? Was it a good picker upper?\Yeah, but I wound up showing it to Kei and Tamaki...\What?! Y-you've got some balls!\I'm amazed you've treaded grounds far more dangerous than I have!\G-gee, thanks...\Identifying the enemy base. response:	I'm forwarding the image.
context: but it was really refreshing.\Well? Was it a good picker upper?\Yeah, but I wound up showing it to Kei and Tamaki...\What?! Y-you've got some balls!\I'm amazed you've treaded grounds far more dangerous than I have!\G-gee, thanks...\Identifying the enemy base.\I'm forwarding the image. response:	What's going on here?!
context: Well? Was it a good picker upper?\Yeah, but I wound up showing it to Kei and Tamaki...\What?! Y-you've got some balls!\I'm amazed you've treaded grounds far more dangerous than I have!\G-gee, thanks...\Identifying the enemy base.\I'm forwarding the image.\What's going on here?! response:	Weren't we expecting minimal security?
context: Yeah, but I wound up showing it to Kei and Tamaki...\What?! Y-you've got some balls!\I'm amazed you've treaded grounds far more dangerous than I have!\G-gee, thanks...\Identifying the enemy base.\I'm forwarding the image.\What's going on here?!\Weren't we expecting minimal security? response:	What should we do? Withdraw and request new orders?
context: What?! Y-you've got some balls!\I'm amazed you've treaded grounds far more dangerous than I have!\G-gee, thanks...\Identifying the enemy base.\I'm forwarding the image.\What's going on here?!\Weren't we expecting minimal security?\What should we do? Withdraw and request new orders? response:	We can't reach our commanding officers.
context: I'm amazed you've treaded grounds far more dangerous than I have!\G-gee, thanks...\Identifying the enemy base.\I'm forwarding the image.\What's going on here?!\Weren't we expecting minimal security?\What should we do? Withdraw and request new orders?\We can't reach our commanding officers. response:	We'll have to make the call for ourselves...
context: G-gee, thanks...\Identifying the enemy base.\I'm forwarding the image.\What's going on here?!\Weren't we expecting minimal security?\What should we do? Withdraw and request new orders?\We can't reach our commanding officers.\We'll have to make the call for ourselves... response:	Let's carry out the mission!
context: Identifying the enemy base.\I'm forwarding the image.\What's going on here?!\Weren't we expecting minimal security?\What should we do? Withdraw and request new orders?\We can't reach our commanding officers.\We'll have to make the call for ourselves...\Let's carry out the mission! response:	If the base is crowded with enemies when it shouldn't be,
context: I'm forwarding the image.\What's going on here?!\Weren't we expecting minimal security?\What should we do? Withdraw and request new orders?\We can't reach our commanding officers.\We'll have to make the call for ourselves...\Let's carry out the mission!\If the base is crowded with enemies when it shouldn't be, response:	it means they're up to something.
context: What's going on here?!\Weren't we expecting minimal security?\What should we do? Withdraw and request new orders?\We can't reach our commanding officers.\We'll have to make the call for ourselves...\Let's carry out the mission!\If the base is crowded with enemies when it shouldn't be,\it means they're up to something. response:	We can't go back empty-handed!
context: Weren't we expecting minimal security?\What should we do? Withdraw and request new orders?\We can't reach our commanding officers.\We'll have to make the call for ourselves...\Let's carry out the mission!\If the base is crowded with enemies when it shouldn't be,\it means they're up to something.\We can't go back empty-handed! response:	Roger!
context: What should we do? Withdraw and request new orders?\We can't reach our commanding officers.\We'll have to make the call for ourselves...\Let's carry out the mission!\If the base is crowded with enemies when it shouldn't be,\it means they're up to something.\We can't go back empty-handed!\Roger! response:	Crap! They found us.
context: We can't reach our commanding officers.\We'll have to make the call for ourselves...\Let's carry out the mission!\If the base is crowded with enemies when it shouldn't be,\it means they're up to something.\We can't go back empty-handed!\Roger!\Crap! They found us. response:	But how? Do they have eyes and ears?
context: We'll have to make the call for ourselves...\Let's carry out the mission!\If the base is crowded with enemies when it shouldn't be,\it means they're up to something.\We can't go back empty-handed!\Roger!\Crap! They found us.\But how? Do they have eyes and ears? response:	We'll take them on!
context: Let's carry out the mission!\If the base is crowded with enemies when it shouldn't be,\it means they're up to something.\We can't go back empty-handed!\Roger!\Crap! They found us.\But how? Do they have eyes and ears?\We'll take them on! response:	My team will draw the enemy fire
context: If the base is crowded with enemies when it shouldn't be,\it means they're up to something.\We can't go back empty-handed!\Roger!\Crap! They found us.\But how? Do they have eyes and ears?\We'll take them on!\My team will draw the enemy fire response:	while your team carries out the mission!
context: it means they're up to something.\We can't go back empty-handed!\Roger!\Crap! They found us.\But how? Do they have eyes and ears?\We'll take them on!\My team will draw the enemy fire\while your team carries out the mission! response:	But will you be okay?!
context: We can't go back empty-handed!\Roger!\Crap! They found us.\But how? Do they have eyes and ears?\We'll take them on!\My team will draw the enemy fire\while your team carries out the mission!\But will you be okay?! response:	Don't worry about us!
context: Roger!\Crap! They found us.\But how? Do they have eyes and ears?\We'll take them on!\My team will draw the enemy fire\while your team carries out the mission!\But will you be okay?!\Don't worry about us! response:	There should be a gravity reactor at the center of the base.
context: Crap! They found us.\But how? Do they have eyes and ears?\We'll take them on!\My team will draw the enemy fire\while your team carries out the mission!\But will you be okay?!\Don't worry about us!\There should be a gravity reactor at the center of the base. response:	Set the bomb there.
context: But how? Do they have eyes and ears?\We'll take them on!\My team will draw the enemy fire\while your team carries out the mission!\But will you be okay?!\Don't worry about us!\There should be a gravity reactor at the center of the base.\Set the bomb there. response:	You'll do fine as long as you remain calm.
context: We'll take them on!\My team will draw the enemy fire\while your team carries out the mission!\But will you be okay?!\Don't worry about us!\There should be a gravity reactor at the center of the base.\Set the bomb there.\You'll do fine as long as you remain calm. response:	They want us to infiltrate the base by ourselves...?
context: My team will draw the enemy fire\while your team carries out the mission!\But will you be okay?!\Don't worry about us!\There should be a gravity reactor at the center of the base.\Set the bomb there.\You'll do fine as long as you remain calm.\They want us to infiltrate the base by ourselves...? response:	My feet absolutely refuse to move!
context: while your team carries out the mission!\But will you be okay?!\Don't worry about us!\There should be a gravity reactor at the center of the base.\Set the bomb there.\You'll do fine as long as you remain calm.\They want us to infiltrate the base by ourselves...?\My feet absolutely refuse to move! response:	Don't run away!
context: But will you be okay?!\Don't worry about us!\There should be a gravity reactor at the center of the base.\Set the bomb there.\You'll do fine as long as you remain calm.\They want us to infiltrate the base by ourselves...?\My feet absolutely refuse to move!\Don't run away! response:	Use your willpower to rein in the JURIA-SYSTEM's survival instincts!
context: Don't worry about us!\There should be a gravity reactor at the center of the base.\Set the bomb there.\You'll do fine as long as you remain calm.\They want us to infiltrate the base by ourselves...?\My feet absolutely refuse to move!\Don't run away!\Use your willpower to rein in the JURIA-SYSTEM's survival instincts! response:	Go!
context: There should be a gravity reactor at the center of the base.\Set the bomb there.\You'll do fine as long as you remain calm.\They want us to infiltrate the base by ourselves...?\My feet absolutely refuse to move!\Don't run away!\Use your willpower to rein in the JURIA-SYSTEM's survival instincts!\Go! response:	Y-yes, sir!
context: Set the bomb there.\You'll do fine as long as you remain calm.\They want us to infiltrate the base by ourselves...?\My feet absolutely refuse to move!\Don't run away!\Use your willpower to rein in the JURIA-SYSTEM's survival instincts!\Go!\Y-yes, sir! response:	Let's go, Red 5!
context: You'll do fine as long as you remain calm.\They want us to infiltrate the base by ourselves...?\My feet absolutely refuse to move!\Don't run away!\Use your willpower to rein in the JURIA-SYSTEM's survival instincts!\Go!\Y-yes, sir!\Let's go, Red 5! response:	L-let's fight!
context: They want us to infiltrate the base by ourselves...?\My feet absolutely refuse to move!\Don't run away!\Use your willpower to rein in the JURIA-SYSTEM's survival instincts!\Go!\Y-yes, sir!\Let's go, Red 5!\L-let's fight! response:	Follow me, Purple 2!
context: My feet absolutely refuse to move!\Don't run away!\Use your willpower to rein in the JURIA-SYSTEM's survival instincts!\Go!\Y-yes, sir!\Let's go, Red 5!\L-let's fight!\Follow me, Purple 2! response:	H-hey, wait!
context: Don't run away!\Use your willpower to rein in the JURIA-SYSTEM's survival instincts!\Go!\Y-yes, sir!\Let's go, Red 5!\L-let's fight!\Follow me, Purple 2!\H-hey, wait! response:	What'll we do if they find us again?
context: Use your willpower to rein in the JURIA-SYSTEM's survival instincts!\Go!\Y-yes, sir!\Let's go, Red 5!\L-let's fight!\Follow me, Purple 2!\H-hey, wait!\What'll we do if they find us again? response:	Doberman is attracting all of the enemy's attention.
context: Go!\Y-yes, sir!\Let's go, Red 5!\L-let's fight!\Follow me, Purple 2!\H-hey, wait!\What'll we do if they find us again?\Doberman is attracting all of the enemy's attention. response:	We'll be fine... I think... maybe.
context: Y-yes, sir!\Let's go, Red 5!\L-let's fight!\Follow me, Purple 2!\H-hey, wait!\What'll we do if they find us again?\Doberman is attracting all of the enemy's attention.\We'll be fine... I think... maybe. response:	It looks like the base's guards still don't know we're here.
context: Let's go, Red 5!\L-let's fight!\Follow me, Purple 2!\H-hey, wait!\What'll we do if they find us again?\Doberman is attracting all of the enemy's attention.\We'll be fine... I think... maybe.\It looks like the base's guards still don't know we're here. response:	I bet we could get in through there.
context: L-let's fight!\Follow me, Purple 2!\H-hey, wait!\What'll we do if they find us again?\Doberman is attracting all of the enemy's attention.\We'll be fine... I think... maybe.\It looks like the base's guards still don't know we're here.\I bet we could get in through there. response:	Rose 3 can't fit through that entrance.
context: Follow me, Purple 2!\H-hey, wait!\What'll we do if they find us again?\Doberman is attracting all of the enemy's attention.\We'll be fine... I think... maybe.\It looks like the base's guards still don't know we're here.\I bet we could get in through there.\Rose 3 can't fit through that entrance. response:	What?!
context: H-hey, wait!\What'll we do if they find us again?\Doberman is attracting all of the enemy's attention.\We'll be fine... I think... maybe.\It looks like the base's guards still don't know we're here.\I bet we could get in through there.\Rose 3 can't fit through that entrance.\What?! response:	What should we do, Izuru? Leave Tamaki behind?
context: What'll we do if they find us again?\Doberman is attracting all of the enemy's attention.\We'll be fine... I think... maybe.\It looks like the base's guards still don't know we're here.\I bet we could get in through there.\Rose 3 can't fit through that entrance.\What?!\What should we do, Izuru? Leave Tamaki behind? response:	Make up your mind before the gate closes!
context: Doberman is attracting all of the enemy's attention.\We'll be fine... I think... maybe.\It looks like the base's guards still don't know we're here.\I bet we could get in through there.\Rose 3 can't fit through that entrance.\What?!\What should we do, Izuru? Leave Tamaki behind?\Make up your mind before the gate closes! response:	I'll stay behind.
context: We'll be fine... I think... maybe.\It looks like the base's guards still don't know we're here.\I bet we could get in through there.\Rose 3 can't fit through that entrance.\What?!\What should we do, Izuru? Leave Tamaki behind?\Make up your mind before the gate closes!\I'll stay behind. response:	Asagi...!
context: It looks like the base's guards still don't know we're here.\I bet we could get in through there.\Rose 3 can't fit through that entrance.\What?!\What should we do, Izuru? Leave Tamaki behind?\Make up your mind before the gate closes!\I'll stay behind.\Asagi...! response:	We'll probably need to shoot down any enemy fighters that come back.
context: I bet we could get in through there.\Rose 3 can't fit through that entrance.\What?!\What should we do, Izuru? Leave Tamaki behind?\Make up your mind before the gate closes!\I'll stay behind.\Asagi...!\We'll probably need to shoot down any enemy fighters that come back. response:	Don't worry. We can handle it!
context: Rose 3 can't fit through that entrance.\What?!\What should we do, Izuru? Leave Tamaki behind?\Make up your mind before the gate closes!\I'll stay behind.\Asagi...!\We'll probably need to shoot down any enemy fighters that come back.\Don't worry. We can handle it! response:	Thank you.
context: What?!\What should we do, Izuru? Leave Tamaki behind?\Make up your mind before the gate closes!\I'll stay behind.\Asagi...!\We'll probably need to shoot down any enemy fighters that come back.\Don't worry. We can handle it!\Thank you. response:	Kei, Suruga, let's go!
context: What should we do, Izuru? Leave Tamaki behind?\Make up your mind before the gate closes!\I'll stay behind.\Asagi...!\We'll probably need to shoot down any enemy fighters that come back.\Don't worry. We can handle it!\Thank you.\Kei, Suruga, let's go! response:	So this is a Wulgaru base...
context: Make up your mind before the gate closes!\I'll stay behind.\Asagi...!\We'll probably need to shoot down any enemy fighters that come back.\Don't worry. We can handle it!\Thank you.\Kei, Suruga, let's go!\So this is a Wulgaru base... response:	I'm detecting a reactor located 250 meters below us.
context: I'll stay behind.\Asagi...!\We'll probably need to shoot down any enemy fighters that come back.\Don't worry. We can handle it!\Thank you.\Kei, Suruga, let's go!\So this is a Wulgaru base...\I'm detecting a reactor located 250 meters below us. response:	If we blow that up, it should take out the entire base.
context: Asagi...!\We'll probably need to shoot down any enemy fighters that come back.\Don't worry. We can handle it!\Thank you.\Kei, Suruga, let's go!\So this is a Wulgaru base...\I'm detecting a reactor located 250 meters below us.\If we blow that up, it should take out the entire base. response:	And the route?
context: We'll probably need to shoot down any enemy fighters that come back.\Don't worry. We can handle it!\Thank you.\Kei, Suruga, let's go!\So this is a Wulgaru base...\I'm detecting a reactor located 250 meters below us.\If we blow that up, it should take out the entire base.\And the route? response:	Straight ahead.
context: Don't worry. We can handle it!\Thank you.\Kei, Suruga, let's go!\So this is a Wulgaru base...\I'm detecting a reactor located 250 meters below us.\If we blow that up, it should take out the entire base.\And the route?\Straight ahead. response:	Enemy fighters incoming at 2:00!
context: Thank you.\Kei, Suruga, let's go!\So this is a Wulgaru base...\I'm detecting a reactor located 250 meters below us.\If we blow that up, it should take out the entire base.\And the route?\Straight ahead.\Enemy fighters incoming at 2:00! response:	Suruga, protect the bomb!
context: Kei, Suruga, let's go!\So this is a Wulgaru base...\I'm detecting a reactor located 250 meters below us.\If we blow that up, it should take out the entire base.\And the route?\Straight ahead.\Enemy fighters incoming at 2:00!\Suruga, protect the bomb! response:	Kei, can you activate the defense shields?
context: So this is a Wulgaru base...\I'm detecting a reactor located 250 meters below us.\If we blow that up, it should take out the entire base.\And the route?\Straight ahead.\Enemy fighters incoming at 2:00!\Suruga, protect the bomb!\Kei, can you activate the defense shields? response:	I could, but they'll make scanning and analyzing the area that much harder.
context: I'm detecting a reactor located 250 meters below us.\If we blow that up, it should take out the entire base.\And the route?\Straight ahead.\Enemy fighters incoming at 2:00!\Suruga, protect the bomb!\Kei, can you activate the defense shields?\I could, but they'll make scanning and analyzing the area that much harder. response:	Got it. Then we'll plow through without them!
context: If we blow that up, it should take out the entire base.\And the route?\Straight ahead.\Enemy fighters incoming at 2:00!\Suruga, protect the bomb!\Kei, can you activate the defense shields?\I could, but they'll make scanning and analyzing the area that much harder.\Got it. Then we'll plow through without them! response:	Good thing we trained on Earth!
context: And the route?\Straight ahead.\Enemy fighters incoming at 2:00!\Suruga, protect the bomb!\Kei, can you activate the defense shields?\I could, but they'll make scanning and analyzing the area that much harder.\Got it. Then we'll plow through without them!\Good thing we trained on Earth! response:	Take the upcoming 90 turn to the right!
context: Straight ahead.\Enemy fighters incoming at 2:00!\Suruga, protect the bomb!\Kei, can you activate the defense shields?\I could, but they'll make scanning and analyzing the area that much harder.\Got it. Then we'll plow through without them!\Good thing we trained on Earth!\Take the upcoming 90 turn to the right! response:	Next drop 90 vertically down!
context: Enemy fighters incoming at 2:00!\Suruga, protect the bomb!\Kei, can you activate the defense shields?\I could, but they'll make scanning and analyzing the area that much harder.\Got it. Then we'll plow through without them!\Good thing we trained on Earth!\Take the upcoming 90 turn to the right!\Next drop 90 vertically down! response:	The heat values are higher than I had anticipated.
context: Suruga, protect the bomb!\Kei, can you activate the defense shields?\I could, but they'll make scanning and analyzing the area that much harder.\Got it. Then we'll plow through without them!\Good thing we trained on Earth!\Take the upcoming 90 turn to the right!\Next drop 90 vertically down!\The heat values are higher than I had anticipated. response:	The sudden fluctuation in heat is beginning to interfere with my sensors.
context: Kei, can you activate the defense shields?\I could, but they'll make scanning and analyzing the area that much harder.\Got it. Then we'll plow through without them!\Good thing we trained on Earth!\Take the upcoming 90 turn to the right!\Next drop 90 vertically down!\The heat values are higher than I had anticipated.\The sudden fluctuation in heat is beginning to interfere with my sensors. response:	Can you at least tell what direction it's in?
context: I could, but they'll make scanning and analyzing the area that much harder.\Got it. Then we'll plow through without them!\Good thing we trained on Earth!\Take the upcoming 90 turn to the right!\Next drop 90 vertically down!\The heat values are higher than I had anticipated.\The sudden fluctuation in heat is beginning to interfere with my sensors.\Can you at least tell what direction it's in? response:	If we follow the artificial gravity pipeline, we should reach the source.
context: Got it. Then we'll plow through without them!\Good thing we trained on Earth!\Take the upcoming 90 turn to the right!\Next drop 90 vertically down!\The heat values are higher than I had anticipated.\The sudden fluctuation in heat is beginning to interfere with my sensors.\Can you at least tell what direction it's in?\If we follow the artificial gravity pipeline, we should reach the source. response:	Doesn't that mean we're gonna keep falling for who knows how long?!
context: Good thing we trained on Earth!\Take the upcoming 90 turn to the right!\Next drop 90 vertically down!\The heat values are higher than I had anticipated.\The sudden fluctuation in heat is beginning to interfere with my sensors.\Can you at least tell what direction it's in?\If we follow the artificial gravity pipeline, we should reach the source.\Doesn't that mean we're gonna keep falling for who knows how long?! response:	They aren't holding back even though we're inside their base!
context: Take the upcoming 90 turn to the right!\Next drop 90 vertically down!\The heat values are higher than I had anticipated.\The sudden fluctuation in heat is beginning to interfere with my sensors.\Can you at least tell what direction it's in?\If we follow the artificial gravity pipeline, we should reach the source.\Doesn't that mean we're gonna keep falling for who knows how long?!\They aren't holding back even though we're inside their base! response:	That's a given!
context: Next drop 90 vertically down!\The heat values are higher than I had anticipated.\The sudden fluctuation in heat is beginning to interfere with my sensors.\Can you at least tell what direction it's in?\If we follow the artificial gravity pipeline, we should reach the source.\Doesn't that mean we're gonna keep falling for who knows how long?!\They aren't holding back even though we're inside their base!\That's a given! response:	If we destroy this reactor, it'll send the whole base sky high!
context: The heat values are higher than I had anticipated.\The sudden fluctuation in heat is beginning to interfere with my sensors.\Can you at least tell what direction it's in?\If we follow the artificial gravity pipeline, we should reach the source.\Doesn't that mean we're gonna keep falling for who knows how long?!\They aren't holding back even though we're inside their base!\That's a given!\If we destroy this reactor, it'll send the whole base sky high! response:	It got hit somewhere along the line!
context: The sudden fluctuation in heat is beginning to interfere with my sensors.\Can you at least tell what direction it's in?\If we follow the artificial gravity pipeline, we should reach the source.\Doesn't that mean we're gonna keep falling for who knows how long?!\They aren't holding back even though we're inside their base!\That's a given!\If we destroy this reactor, it'll send the whole base sky high!\It got hit somewhere along the line! response:	Crap! I can't set it like this.
context: Can you at least tell what direction it's in?\If we follow the artificial gravity pipeline, we should reach the source.\Doesn't that mean we're gonna keep falling for who knows how long?!\They aren't holding back even though we're inside their base!\That's a given!\If we destroy this reactor, it'll send the whole base sky high!\It got hit somewhere along the line!\Crap! I can't set it like this. response:	What?!
context: If we follow the artificial gravity pipeline, we should reach the source.\Doesn't that mean we're gonna keep falling for who knows how long?!\They aren't holding back even though we're inside their base!\That's a given!\If we destroy this reactor, it'll send the whole base sky high!\It got hit somewhere along the line!\Crap! I can't set it like this.\What?! response:	The mission's a failure! We gotta retreat. Retreat!
context: Doesn't that mean we're gonna keep falling for who knows how long?!\They aren't holding back even though we're inside their base!\That's a given!\If we destroy this reactor, it'll send the whole base sky high!\It got hit somewhere along the line!\Crap! I can't set it like this.\What?!\The mission's a failure! We gotta retreat. Retreat! response:	What should we do, Izuru?
context: They aren't holding back even though we're inside their base!\That's a given!\If we destroy this reactor, it'll send the whole base sky high!\It got hit somewhere along the line!\Crap! I can't set it like this.\What?!\The mission's a failure! We gotta retreat. Retreat!\What should we do, Izuru? response:	Izuru!
context: That's a given!\If we destroy this reactor, it'll send the whole base sky high!\It got hit somewhere along the line!\Crap! I can't set it like this.\What?!\The mission's a failure! We gotta retreat. Retreat!\What should we do, Izuru?\Izuru! response:	Suruga, can you fix it?
context: If we destroy this reactor, it'll send the whole base sky high!\It got hit somewhere along the line!\Crap! I can't set it like this.\What?!\The mission's a failure! We gotta retreat. Retreat!\What should we do, Izuru?\Izuru!\Suruga, can you fix it? response:	I don't think it's beyond me...
context: It got hit somewhere along the line!\Crap! I can't set it like this.\What?!\The mission's a failure! We gotta retreat. Retreat!\What should we do, Izuru?\Izuru!\Suruga, can you fix it?\I don't think it's beyond me... response:	Then do it!
context: Crap! I can't set it like this.\What?!\The mission's a failure! We gotta retreat. Retreat!\What should we do, Izuru?\Izuru!\Suruga, can you fix it?\I don't think it's beyond me...\Then do it! response:	We won't make it back alive if we don't destroy this base.
context: What?!\The mission's a failure! We gotta retreat. Retreat!\What should we do, Izuru?\Izuru!\Suruga, can you fix it?\I don't think it's beyond me...\Then do it!\We won't make it back alive if we don't destroy this base. response:	This is our only option if we hope to survive this!
context: The mission's a failure! We gotta retreat. Retreat!\What should we do, Izuru?\Izuru!\Suruga, can you fix it?\I don't think it's beyond me...\Then do it!\We won't make it back alive if we don't destroy this base.\This is our only option if we hope to survive this! response:	Are you serious?!
context: What should we do, Izuru?\Izuru!\Suruga, can you fix it?\I don't think it's beyond me...\Then do it!\We won't make it back alive if we don't destroy this base.\This is our only option if we hope to survive this!\Are you serious?! response:	Suruga, you can do it!
context: Izuru!\Suruga, can you fix it?\I don't think it's beyond me...\Then do it!\We won't make it back alive if we don't destroy this base.\This is our only option if we hope to survive this!\Are you serious?!\Suruga, you can do it! response:	I believe in you!
context: Suruga, can you fix it?\I don't think it's beyond me...\Then do it!\We won't make it back alive if we don't destroy this base.\This is our only option if we hope to survive this!\Are you serious?!\Suruga, you can do it!\I believe in you! response:	Izuru!
context: I don't think it's beyond me...\Then do it!\We won't make it back alive if we don't destroy this base.\This is our only option if we hope to survive this!\Are you serious?!\Suruga, you can do it!\I believe in you!\Izuru! response:	Kei, use your shields to protect Suruga.
context: Then do it!\We won't make it back alive if we don't destroy this base.\This is our only option if we hope to survive this!\Are you serious?!\Suruga, you can do it!\I believe in you!\Izuru!\Kei, use your shields to protect Suruga. response:	I'll distract the enemy!
context: We won't make it back alive if we don't destroy this base.\This is our only option if we hope to survive this!\Are you serious?!\Suruga, you can do it!\I believe in you!\Izuru!\Kei, use your shields to protect Suruga.\I'll distract the enemy! response:	Darn! I guess this is the only way.
context: This is our only option if we hope to survive this!\Are you serious?!\Suruga, you can do it!\I believe in you!\Izuru!\Kei, use your shields to protect Suruga.\I'll distract the enemy!\Darn! I guess this is the only way. response:	We're going to survive... Everyone is!
context: Are you serious?!\Suruga, you can do it!\I believe in you!\Izuru!\Kei, use your shields to protect Suruga.\I'll distract the enemy!\Darn! I guess this is the only way.\We're going to survive... Everyone is! response:	I wonder if everyone's okay...
context: Suruga, you can do it!\I believe in you!\Izuru!\Kei, use your shields to protect Suruga.\I'll distract the enemy!\Darn! I guess this is the only way.\We're going to survive... Everyone is!\I wonder if everyone's okay... response:	Yeah...
context: I believe in you!\Izuru!\Kei, use your shields to protect Suruga.\I'll distract the enemy!\Darn! I guess this is the only way.\We're going to survive... Everyone is!\I wonder if everyone's okay...\Yeah... response:	They'll come back safe and sound.
context: Izuru!\Kei, use your shields to protect Suruga.\I'll distract the enemy!\Darn! I guess this is the only way.\We're going to survive... Everyone is!\I wonder if everyone's okay...\Yeah...\They'll come back safe and sound. response:	Otherwise my stomach will kill me!
context: Kei, use your shields to protect Suruga.\I'll distract the enemy!\Darn! I guess this is the only way.\We're going to survive... Everyone is!\I wonder if everyone's okay...\Yeah...\They'll come back safe and sound.\Otherwise my stomach will kill me! response:	Hurry up, Suruga! Izuru is...!
context: I'll distract the enemy!\Darn! I guess this is the only way.\We're going to survive... Everyone is!\I wonder if everyone's okay...\Yeah...\They'll come back safe and sound.\Otherwise my stomach will kill me!\Hurry up, Suruga! Izuru is...! response:	It's all set! I'm a genius!
context: Darn! I guess this is the only way.\We're going to survive... Everyone is!\I wonder if everyone's okay...\Yeah...\They'll come back safe and sound.\Otherwise my stomach will kill me!\Hurry up, Suruga! Izuru is...!\It's all set! I'm a genius! response:	Great! Now let's withdraw.
context: We're going to survive... Everyone is!\I wonder if everyone's okay...\Yeah...\They'll come back safe and sound.\Otherwise my stomach will kill me!\Hurry up, Suruga! Izuru is...!\It's all set! I'm a genius!\Great! Now let's withdraw. response:	It worked!
