context: After all the trouble we went through response:	to restore the Seven Monsters back into humans,
context: We don't know when the Dark Kingdom might come back for you.\I've found the resolve to take them down with me.\Please, I want you to fulfill your own mission.\After all, I was never human to begin with.\If the sacrifice of my unworthy life could save the world...\You and I really are the same.\We're always trying to avoid something.\What?! response:	My friend told me that I need to be more honest with myself.
context: I've found the resolve to take them down with me.\Please, I want you to fulfill your own mission.\After all, I was never human to begin with.\If the sacrifice of my unworthy life could save the world...\You and I really are the same.\We're always trying to avoid something.\What?!\My friend told me that I need to be more honest with myself. response:	Miss Ami...
context: Please, I want you to fulfill your own mission.\After all, I was never human to begin with.\If the sacrifice of my unworthy life could save the world...\You and I really are the same.\We're always trying to avoid something.\What?!\My friend told me that I need to be more honest with myself.\Miss Ami... response:	Sacrificing yourself is certainly very admirable,
context: After all, I was never human to begin with.\If the sacrifice of my unworthy life could save the world...\You and I really are the same.\We're always trying to avoid something.\What?!\My friend told me that I need to be more honest with myself.\Miss Ami...\Sacrificing yourself is certainly very admirable, response:	but if you're honest with what's in your heart,
context: If the sacrifice of my unworthy life could save the world...\You and I really are the same.\We're always trying to avoid something.\What?!\My friend told me that I need to be more honest with myself.\Miss Ami...\Sacrificing yourself is certainly very admirable,\but if you're honest with what's in your heart, response:	don't you feel that you want to make it through alive?
context: You and I really are the same.\We're always trying to avoid something.\What?!\My friend told me that I need to be more honest with myself.\Miss Ami...\Sacrificing yourself is certainly very admirable,\but if you're honest with what's in your heart,\don't you feel that you want to make it through alive? response:	Aren't you forgetting
context: We're always trying to avoid something.\What?!\My friend told me that I need to be more honest with myself.\Miss Ami...\Sacrificing yourself is certainly very admirable,\but if you're honest with what's in your heart,\don't you feel that you want to make it through alive?\Aren't you forgetting response:	that there are people who will grieve over your death?
context: What?!\My friend told me that I need to be more honest with myself.\Miss Ami...\Sacrificing yourself is certainly very admirable,\but if you're honest with what's in your heart,\don't you feel that you want to make it through alive?\Aren't you forgetting\that there are people who will grieve over your death? response:	Let's both stop running away.
context: My friend told me that I need to be more honest with myself.\Miss Ami...\Sacrificing yourself is certainly very admirable,\but if you're honest with what's in your heart,\don't you feel that you want to make it through alive?\Aren't you forgetting\that there are people who will grieve over your death?\Let's both stop running away. response:	Let's take on any obstacle head on, no matter what it is!
context: Miss Ami...\Sacrificing yourself is certainly very admirable,\but if you're honest with what's in your heart,\don't you feel that you want to make it through alive?\Aren't you forgetting\that there are people who will grieve over your death?\Let's both stop running away.\Let's take on any obstacle head on, no matter what it is! response:	That sounds wonderful, Sailor Mercury.
context: Sacrificing yourself is certainly very admirable,\but if you're honest with what's in your heart,\don't you feel that you want to make it through alive?\Aren't you forgetting\that there are people who will grieve over your death?\Let's both stop running away.\Let's take on any obstacle head on, no matter what it is!\That sounds wonderful, Sailor Mercury. response:	You're here!
context: but if you're honest with what's in your heart,\don't you feel that you want to make it through alive?\Aren't you forgetting\that there are people who will grieve over your death?\Let's both stop running away.\Let's take on any obstacle head on, no matter what it is!\That sounds wonderful, Sailor Mercury.\You're here! response:	That's...
context: don't you feel that you want to make it through alive?\Aren't you forgetting\that there are people who will grieve over your death?\Let's both stop running away.\Let's take on any obstacle head on, no matter what it is!\That sounds wonderful, Sailor Mercury.\You're here!\That's... response:	Let's go and see!
context: Aren't you forgetting\that there are people who will grieve over your death?\Let's both stop running away.\Let's take on any obstacle head on, no matter what it is!\That sounds wonderful, Sailor Mercury.\You're here!\That's...\Let's go and see! response:	Yeah!
context: that there are people who will grieve over your death?\Let's both stop running away.\Let's take on any obstacle head on, no matter what it is!\That sounds wonderful, Sailor Mercury.\You're here!\That's...\Let's go and see!\Yeah! response:	Mamoru, I won't hesitate to beat you anymore!
context: Let's both stop running away.\Let's take on any obstacle head on, no matter what it is!\That sounds wonderful, Sailor Mercury.\You're here!\That's...\Let's go and see!\Yeah!\Mamoru, I won't hesitate to beat you anymore! response:	Prepare yourself!
context: Let's take on any obstacle head on, no matter what it is!\That sounds wonderful, Sailor Mercury.\You're here!\That's...\Let's go and see!\Yeah!\Mamoru, I won't hesitate to beat you anymore!\Prepare yourself! response:	How promising.
context: That sounds wonderful, Sailor Mercury.\You're here!\That's...\Let's go and see!\Yeah!\Mamoru, I won't hesitate to beat you anymore!\Prepare yourself!\How promising. response:	I was planning to wait until the Ferris wheel's lights
context: You're here!\That's...\Let's go and see!\Yeah!\Mamoru, I won't hesitate to beat you anymore!\Prepare yourself!\How promising.\I was planning to wait until the Ferris wheel's lights response:	brought the other sailor warriors here,
context: That's...\Let's go and see!\Yeah!\Mamoru, I won't hesitate to beat you anymore!\Prepare yourself!\How promising.\I was planning to wait until the Ferris wheel's lights\brought the other sailor warriors here, response:	but you are saying that is not necessary then.
context: Let's go and see!\Yeah!\Mamoru, I won't hesitate to beat you anymore!\Prepare yourself!\How promising.\I was planning to wait until the Ferris wheel's lights\brought the other sailor warriors here,\but you are saying that is not necessary then. response:	Bubble
context: Yeah!\Mamoru, I won't hesitate to beat you anymore!\Prepare yourself!\How promising.\I was planning to wait until the Ferris wheel's lights\brought the other sailor warriors here,\but you are saying that is not necessary then.\Bubble response:	Spray!
context: Mamoru, I won't hesitate to beat you anymore!\Prepare yourself!\How promising.\I was planning to wait until the Ferris wheel's lights\brought the other sailor warriors here,\but you are saying that is not necessary then.\Bubble\Spray! response:	Before I fight you, I am going to take care of my business first.
context: Prepare yourself!\How promising.\I was planning to wait until the Ferris wheel's lights\brought the other sailor warriors here,\but you are saying that is not necessary then.\Bubble\Spray!\Before I fight you, I am going to take care of my business first. response:	Oh, no! Urawa!
context: How promising.\I was planning to wait until the Ferris wheel's lights\brought the other sailor warriors here,\but you are saying that is not necessary then.\Bubble\Spray!\Before I fight you, I am going to take care of my business first.\Oh, no! Urawa! response:	Miss Ami!
context: I was planning to wait until the Ferris wheel's lights\brought the other sailor warriors here,\but you are saying that is not necessary then.\Bubble\Spray!\Before I fight you, I am going to take care of my business first.\Oh, no! Urawa!\Miss Ami! response:	Thank you for waiting.
context: brought the other sailor warriors here,\but you are saying that is not necessary then.\Bubble\Spray!\Before I fight you, I am going to take care of my business first.\Oh, no! Urawa!\Miss Ami!\Thank you for waiting. response:	You're terrible!
context: but you are saying that is not necessary then.\Bubble\Spray!\Before I fight you, I am going to take care of my business first.\Oh, no! Urawa!\Miss Ami!\Thank you for waiting.\You're terrible! response:	Mamoru! No, Endymion of the Dark Kingdom!
context: Bubble\Spray!\Before I fight you, I am going to take care of my business first.\Oh, no! Urawa!\Miss Ami!\Thank you for waiting.\You're terrible!\Mamoru! No, Endymion of the Dark Kingdom! response:	I won't forgive you!
context: Spray!\Before I fight you, I am going to take care of my business first.\Oh, no! Urawa!\Miss Ami!\Thank you for waiting.\You're terrible!\Mamoru! No, Endymion of the Dark Kingdom!\I won't forgive you! response:	It's time for you to take a cold shower and reflect on what you've done!
context: Before I fight you, I am going to take care of my business first.\Oh, no! Urawa!\Miss Ami!\Thank you for waiting.\You're terrible!\Mamoru! No, Endymion of the Dark Kingdom!\I won't forgive you!\It's time for you to take a cold shower and reflect on what you've done! response:	If you want to get your boyfriend back,
context: Oh, no! Urawa!\Miss Ami!\Thank you for waiting.\You're terrible!\Mamoru! No, Endymion of the Dark Kingdom!\I won't forgive you!\It's time for you to take a cold shower and reflect on what you've done!\If you want to get your boyfriend back, response:	just destroy this Black Crystal.
context: Miss Ami!\Thank you for waiting.\You're terrible!\Mamoru! No, Endymion of the Dark Kingdom!\I won't forgive you!\It's time for you to take a cold shower and reflect on what you've done!\If you want to get your boyfriend back,\just destroy this Black Crystal. response:	But, of course, that is only if you can defeat me.
context: Thank you for waiting.\You're terrible!\Mamoru! No, Endymion of the Dark Kingdom!\I won't forgive you!\It's time for you to take a cold shower and reflect on what you've done!\If you want to get your boyfriend back,\just destroy this Black Crystal.\But, of course, that is only if you can defeat me. response:	Come, let us fight!
context: You're terrible!\Mamoru! No, Endymion of the Dark Kingdom!\I won't forgive you!\It's time for you to take a cold shower and reflect on what you've done!\If you want to get your boyfriend back,\just destroy this Black Crystal.\But, of course, that is only if you can defeat me.\Come, let us fight! response:	Out of my respect for you, I will fight you in earnest!
context: Mamoru! No, Endymion of the Dark Kingdom!\I won't forgive you!\It's time for you to take a cold shower and reflect on what you've done!\If you want to get your boyfriend back,\just destroy this Black Crystal.\But, of course, that is only if you can defeat me.\Come, let us fight!\Out of my respect for you, I will fight you in earnest! response:	There is no way I can beat him at this rate,
context: I won't forgive you!\It's time for you to take a cold shower and reflect on what you've done!\If you want to get your boyfriend back,\just destroy this Black Crystal.\But, of course, that is only if you can defeat me.\Come, let us fight!\Out of my respect for you, I will fight you in earnest!\There is no way I can beat him at this rate, response:	but I have no choice, I have to try.
context: It's time for you to take a cold shower and reflect on what you've done!\If you want to get your boyfriend back,\just destroy this Black Crystal.\But, of course, that is only if you can defeat me.\Come, let us fight!\Out of my respect for you, I will fight you in earnest!\There is no way I can beat him at this rate,\but I have no choice, I have to try. response:	Bubble Spray!
context: If you want to get your boyfriend back,\just destroy this Black Crystal.\But, of course, that is only if you can defeat me.\Come, let us fight!\Out of my respect for you, I will fight you in earnest!\There is no way I can beat him at this rate,\but I have no choice, I have to try.\Bubble Spray! response:	Is that all you can do?
context: just destroy this Black Crystal.\But, of course, that is only if you can defeat me.\Come, let us fight!\Out of my respect for you, I will fight you in earnest!\There is no way I can beat him at this rate,\but I have no choice, I have to try.\Bubble Spray!\Is that all you can do? response:	Impertinent little...
context: But, of course, that is only if you can defeat me.\Come, let us fight!\Out of my respect for you, I will fight you in earnest!\There is no way I can beat him at this rate,\but I have no choice, I have to try.\Bubble Spray!\Is that all you can do?\Impertinent little... response:	I'm just returning the favor!
context: Come, let us fight!\Out of my respect for you, I will fight you in earnest!\There is no way I can beat him at this rate,\but I have no choice, I have to try.\Bubble Spray!\Is that all you can do?\Impertinent little...\I'm just returning the favor! response:	I will also fulfill my mission before I fight you!
context: Out of my respect for you, I will fight you in earnest!\There is no way I can beat him at this rate,\but I have no choice, I have to try.\Bubble Spray!\Is that all you can do?\Impertinent little...\I'm just returning the favor!\I will also fulfill my mission before I fight you! response:	Take that!
context: There is no way I can beat him at this rate,\but I have no choice, I have to try.\Bubble Spray!\Is that all you can do?\Impertinent little...\I'm just returning the favor!\I will also fulfill my mission before I fight you!\Take that! response:	Everyone!
context: but I have no choice, I have to try.\Bubble Spray!\Is that all you can do?\Impertinent little...\I'm just returning the favor!\I will also fulfill my mission before I fight you!\Take that!\Everyone! response:	Sailor Mercury, you look much better now!
context: Bubble Spray!\Is that all you can do?\Impertinent little...\I'm just returning the favor!\I will also fulfill my mission before I fight you!\Take that!\Everyone!\Sailor Mercury, you look much better now! response:	Yes, and it's all thanks to you, Sailor Jupiter!
context: Is that all you can do?\Impertinent little...\I'm just returning the favor!\I will also fulfill my mission before I fight you!\Take that!\Everyone!\Sailor Mercury, you look much better now!\Yes, and it's all thanks to you, Sailor Jupiter! response:	Oh, so you already shattered the ambition of the Dark Kingdom.
context: Impertinent little...\I'm just returning the favor!\I will also fulfill my mission before I fight you!\Take that!\Everyone!\Sailor Mercury, you look much better now!\Yes, and it's all thanks to you, Sailor Jupiter!\Oh, so you already shattered the ambition of the Dark Kingdom. response:	Sailor Moon, you have to restore Tuxedo Mask!
context: I'm just returning the favor!\I will also fulfill my mission before I fight you!\Take that!\Everyone!\Sailor Mercury, you look much better now!\Yes, and it's all thanks to you, Sailor Jupiter!\Oh, so you already shattered the ambition of the Dark Kingdom.\Sailor Moon, you have to restore Tuxedo Mask! response:	I will take care of all three of you together!
context: I will also fulfill my mission before I fight you!\Take that!\Everyone!\Sailor Mercury, you look much better now!\Yes, and it's all thanks to you, Sailor Jupiter!\Oh, so you already shattered the ambition of the Dark Kingdom.\Sailor Moon, you have to restore Tuxedo Mask!\I will take care of all three of you together! response:	If you're interested in recycling, why don't you just stick to cans?!
context: Take that!\Everyone!\Sailor Mercury, you look much better now!\Yes, and it's all thanks to you, Sailor Jupiter!\Oh, so you already shattered the ambition of the Dark Kingdom.\Sailor Moon, you have to restore Tuxedo Mask!\I will take care of all three of you together!\If you're interested in recycling, why don't you just stick to cans?! response:	Urawa and the others were leading peaceful lives.
context: Everyone!\Sailor Mercury, you look much better now!\Yes, and it's all thanks to you, Sailor Jupiter!\Oh, so you already shattered the ambition of the Dark Kingdom.\Sailor Moon, you have to restore Tuxedo Mask!\I will take care of all three of you together!\If you're interested in recycling, why don't you just stick to cans?!\Urawa and the others were leading peaceful lives. response:	I can't forgive you for trying to use them once again!
context: Sailor Mercury, you look much better now!\Yes, and it's all thanks to you, Sailor Jupiter!\Oh, so you already shattered the ambition of the Dark Kingdom.\Sailor Moon, you have to restore Tuxedo Mask!\I will take care of all three of you together!\If you're interested in recycling, why don't you just stick to cans?!\Urawa and the others were leading peaceful lives.\I can't forgive you for trying to use them once again! response:	In the name of the moon, I will punish you!
context: Yes, and it's all thanks to you, Sailor Jupiter!\Oh, so you already shattered the ambition of the Dark Kingdom.\Sailor Moon, you have to restore Tuxedo Mask!\I will take care of all three of you together!\If you're interested in recycling, why don't you just stick to cans?!\Urawa and the others were leading peaceful lives.\I can't forgive you for trying to use them once again!\In the name of the moon, I will punish you! response:	Supreme
context: Oh, so you already shattered the ambition of the Dark Kingdom.\Sailor Moon, you have to restore Tuxedo Mask!\I will take care of all three of you together!\If you're interested in recycling, why don't you just stick to cans?!\Urawa and the others were leading peaceful lives.\I can't forgive you for trying to use them once again!\In the name of the moon, I will punish you!\Supreme response:	Thunder!
context: Sailor Moon, you have to restore Tuxedo Mask!\I will take care of all three of you together!\If you're interested in recycling, why don't you just stick to cans?!\Urawa and the others were leading peaceful lives.\I can't forgive you for trying to use them once again!\In the name of the moon, I will punish you!\Supreme\Thunder! response:	Bubble
context: I will take care of all three of you together!\If you're interested in recycling, why don't you just stick to cans?!\Urawa and the others were leading peaceful lives.\I can't forgive you for trying to use them once again!\In the name of the moon, I will punish you!\Supreme\Thunder!\Bubble response:	Spray!
context: If you're interested in recycling, why don't you just stick to cans?!\Urawa and the others were leading peaceful lives.\I can't forgive you for trying to use them once again!\In the name of the moon, I will punish you!\Supreme\Thunder!\Bubble\Spray! response:	Hurry, Sailor Moon!
context: Urawa and the others were leading peaceful lives.\I can't forgive you for trying to use them once again!\In the name of the moon, I will punish you!\Supreme\Thunder!\Bubble\Spray!\Hurry, Sailor Moon! response:	I know!
context: I can't forgive you for trying to use them once again!\In the name of the moon, I will punish you!\Supreme\Thunder!\Bubble\Spray!\Hurry, Sailor Moon!\I know! response:	Moon Healing Escalation!
context: In the name of the moon, I will punish you!\Supreme\Thunder!\Bubble\Spray!\Hurry, Sailor Moon!\I know!\Moon Healing Escalation! response:	Shoot...
context: Supreme\Thunder!\Bubble\Spray!\Hurry, Sailor Moon!\I know!\Moon Healing Escalation!\Shoot... response:	Just a little more, Sailor Moon!
context: Thunder!\Bubble\Spray!\Hurry, Sailor Moon!\I know!\Moon Healing Escalation!\Shoot...\Just a little more, Sailor Moon! response:	Increase the energy even more!
context: Bubble\Spray!\Hurry, Sailor Moon!\I know!\Moon Healing Escalation!\Shoot...\Just a little more, Sailor Moon!\Increase the energy even more! response:	Refresh!
context: Spray!\Hurry, Sailor Moon!\I know!\Moon Healing Escalation!\Shoot...\Just a little more, Sailor Moon!\Increase the energy even more!\Refresh! response:	We did it! We got Mamoru back!
context: Hurry, Sailor Moon!\I know!\Moon Healing Escalation!\Shoot...\Just a little more, Sailor Moon!\Increase the energy even more!\Refresh!\We did it! We got Mamoru back! response:	Thank goodness!
context: I know!\Moon Healing Escalation!\Shoot...\Just a little more, Sailor Moon!\Increase the energy even more!\Refresh!\We did it! We got Mamoru back!\Thank goodness! response:	Good job, Sailor Moon!
context: Moon Healing Escalation!\Shoot...\Just a little more, Sailor Moon!\Increase the energy even more!\Refresh!\We did it! We got Mamoru back!\Thank goodness!\Good job, Sailor Moon! response:	What...
context: Shoot...\Just a little more, Sailor Moon!\Increase the energy even more!\Refresh!\We did it! We got Mamoru back!\Thank goodness!\Good job, Sailor Moon!\What... response:	It's probably...
context: Just a little more, Sailor Moon!\Increase the energy even more!\Refresh!\We did it! We got Mamoru back!\Thank goodness!\Good job, Sailor Moon!\What...\It's probably... response:	The Dark Kingdom's handiwork.
context: Increase the energy even more!\Refresh!\We did it! We got Mamoru back!\Thank goodness!\Good job, Sailor Moon!\What...\It's probably...\The Dark Kingdom's handiwork. response:	No...
context: Refresh!\We did it! We got Mamoru back!\Thank goodness!\Good job, Sailor Moon!\What...\It's probably...\The Dark Kingdom's handiwork.\No... response:	So, as I feared, Endymion's memories of his past
context: We did it! We got Mamoru back!\Thank goodness!\Good job, Sailor Moon!\What...\It's probably...\The Dark Kingdom's handiwork.\No...\So, as I feared, Endymion's memories of his past response:	were still not completely erased.
context: Thank goodness!\Good job, Sailor Moon!\What...\It's probably...\The Dark Kingdom's handiwork.\No...\So, as I feared, Endymion's memories of his past\were still not completely erased. response:	In that case, once more,
context: Good job, Sailor Moon!\What...\It's probably...\The Dark Kingdom's handiwork.\No...\So, as I feared, Endymion's memories of his past\were still not completely erased.\In that case, once more, response:	I will transfer our great ruler's energy into his body,
context: What...\It's probably...\The Dark Kingdom's handiwork.\No...\So, as I feared, Endymion's memories of his past\were still not completely erased.\In that case, once more,\I will transfer our great ruler's energy into his body, response:	and make sure he becomes
context: It's probably...\The Dark Kingdom's handiwork.\No...\So, as I feared, Endymion's memories of his past\were still not completely erased.\In that case, once more,\I will transfer our great ruler's energy into his body,\and make sure he becomes response:	a loyal servant of the Dark Kingdom this time.
context: The Dark Kingdom's handiwork.\No...\So, as I feared, Endymion's memories of his past\were still not completely erased.\In that case, once more,\I will transfer our great ruler's energy into his body,\and make sure he becomes\a loyal servant of the Dark Kingdom this time. response:	Let's come here again sometime.
context: No...\So, as I feared, Endymion's memories of his past\were still not completely erased.\In that case, once more,\I will transfer our great ruler's energy into his body,\and make sure he becomes\a loyal servant of the Dark Kingdom this time.\Let's come here again sometime. response:	Okay.
context: So, as I feared, Endymion's memories of his past\were still not completely erased.\In that case, once more,\I will transfer our great ruler's energy into his body,\and make sure he becomes\a loyal servant of the Dark Kingdom this time.\Let's come here again sometime.\Okay. response:	We can't let this keep going on!
context: were still not completely erased.\In that case, once more,\I will transfer our great ruler's energy into his body,\and make sure he becomes\a loyal servant of the Dark Kingdom this time.\Let's come here again sometime.\Okay.\We can't let this keep going on! response:	If even Ami forgets about our precious mission,
context: In that case, once more,\I will transfer our great ruler's energy into his body,\and make sure he becomes\a loyal servant of the Dark Kingdom this time.\Let's come here again sometime.\Okay.\We can't let this keep going on!\If even Ami forgets about our precious mission, response:	who's going to be our leader?!
context: I will transfer our great ruler's energy into his body,\and make sure he becomes\a loyal servant of the Dark Kingdom this time.\Let's come here again sometime.\Okay.\We can't let this keep going on!\If even Ami forgets about our precious mission,\who's going to be our leader?! response:	That's technically supposed to be your job, Usagi.
context: and make sure he becomes\a loyal servant of the Dark Kingdom this time.\Let's come here again sometime.\Okay.\We can't let this keep going on!\If even Ami forgets about our precious mission,\who's going to be our leader?!\That's technically supposed to be your job, Usagi. response:	You're jealous of those two. Right, Usagi?
context: a loyal servant of the Dark Kingdom this time.\Let's come here again sometime.\Okay.\We can't let this keep going on!\If even Ami forgets about our precious mission,\who's going to be our leader?!\That's technically supposed to be your job, Usagi.\You're jealous of those two. Right, Usagi? response:	So are you!
context: Let's come here again sometime.\Okay.\We can't let this keep going on!\If even Ami forgets about our precious mission,\who's going to be our leader?!\That's technically supposed to be your job, Usagi.\You're jealous of those two. Right, Usagi?\So are you! response:	Now, now, there's nothing wrong with this.
context: Okay.\We can't let this keep going on!\If even Ami forgets about our precious mission,\who's going to be our leader?!\That's technically supposed to be your job, Usagi.\You're jealous of those two. Right, Usagi?\So are you!\Now, now, there's nothing wrong with this. response:	Let's watch over them for a little while longer.
context: We can't let this keep going on!\If even Ami forgets about our precious mission,\who's going to be our leader?!\That's technically supposed to be your job, Usagi.\You're jealous of those two. Right, Usagi?\So are you!\Now, now, there's nothing wrong with this.\Let's watch over them for a little while longer. response:	During the day, the fragrance of flowers
context: If even Ami forgets about our precious mission,\who's going to be our leader?!\That's technically supposed to be your job, Usagi.\You're jealous of those two. Right, Usagi?\So are you!\Now, now, there's nothing wrong with this.\Let's watch over them for a little while longer.\During the day, the fragrance of flowers response:	During the night, the twinkle of the stars
context: who's going to be our leader?!\That's technically supposed to be your job, Usagi.\You're jealous of those two. Right, Usagi?\So are you!\Now, now, there's nothing wrong with this.\Let's watch over them for a little while longer.\During the day, the fragrance of flowers\During the night, the twinkle of the stars response:	It's a world no one knows about
context: That's technically supposed to be your job, Usagi.\You're jealous of those two. Right, Usagi?\So are you!\Now, now, there's nothing wrong with this.\Let's watch over them for a little while longer.\During the day, the fragrance of flowers\During the night, the twinkle of the stars\It's a world no one knows about response:	With white shoes clicking
context: You're jealous of those two. Right, Usagi?\So are you!\Now, now, there's nothing wrong with this.\Let's watch over them for a little while longer.\During the day, the fragrance of flowers\During the night, the twinkle of the stars\It's a world no one knows about\With white shoes clicking response:	Cross the white moon bridge
context: So are you!\Now, now, there's nothing wrong with this.\Let's watch over them for a little while longer.\During the day, the fragrance of flowers\During the night, the twinkle of the stars\It's a world no one knows about\With white shoes clicking\Cross the white moon bridge response:	And there lives a princess, dreaming of a sweet kiss
context: Now, now, there's nothing wrong with this.\Let's watch over them for a little while longer.\During the day, the fragrance of flowers\During the night, the twinkle of the stars\It's a world no one knows about\With white shoes clicking\Cross the white moon bridge\And there lives a princess, dreaming of a sweet kiss response:	Offer a prayer to the moon
context: Let's watch over them for a little while longer.\During the day, the fragrance of flowers\During the night, the twinkle of the stars\It's a world no one knows about\With white shoes clicking\Cross the white moon bridge\And there lives a princess, dreaming of a sweet kiss\Offer a prayer to the moon response:	It will surely bring you happiness
context: During the day, the fragrance of flowers\During the night, the twinkle of the stars\It's a world no one knows about\With white shoes clicking\Cross the white moon bridge\And there lives a princess, dreaming of a sweet kiss\Offer a prayer to the moon\It will surely bring you happiness response:	Go round and round, the moon's merry-go-round
context: During the night, the twinkle of the stars\It's a world no one knows about\With white shoes clicking\Cross the white moon bridge\And there lives a princess, dreaming of a sweet kiss\Offer a prayer to the moon\It will surely bring you happiness\Go round and round, the moon's merry-go-round response:	Make that serene dress made of glass flutter in the wind
context: It's a world no one knows about\With white shoes clicking\Cross the white moon bridge\And there lives a princess, dreaming of a sweet kiss\Offer a prayer to the moon\It will surely bring you happiness\Go round and round, the moon's merry-go-round\Make that serene dress made of glass flutter in the wind response:	She's always watching over us
context: With white shoes clicking\Cross the white moon bridge\And there lives a princess, dreaming of a sweet kiss\Offer a prayer to the moon\It will surely bring you happiness\Go round and round, the moon's merry-go-round\Make that serene dress made of glass flutter in the wind\She's always watching over us response:	Moon, moon princess
