context: Ladies and gentlemen, we are now preparing for landing. response:	Please fasten your seatbelts tightly.
context: I forget what I bought, but I clearly remember\that the man at the register bowed deeply to me when I paid.\I got all happy, and turned around to say that Mom had been right...\Hey, this is a memory of my mom!\But when I turned around, she was gone,\and I think I never saw her again.\Oh, no...\But hey, I remembered that I had a mom! response:	See you.
context: that the man at the register bowed deeply to me when I paid.\I got all happy, and turned around to say that Mom had been right...\Hey, this is a memory of my mom!\But when I turned around, she was gone,\and I think I never saw her again.\Oh, no...\But hey, I remembered that I had a mom!\See you. response:	Wait... I don't even have your email address yet...
context: I got all happy, and turned around to say that Mom had been right...\Hey, this is a memory of my mom!\But when I turned around, she was gone,\and I think I never saw her again.\Oh, no...\But hey, I remembered that I had a mom!\See you.\Wait... I don't even have your email address yet... response:	Hit me, Bartender.
context: Hey, this is a memory of my mom!\But when I turned around, she was gone,\and I think I never saw her again.\Oh, no...\But hey, I remembered that I had a mom!\See you.\Wait... I don't even have your email address yet...\Hit me, Bartender. response:	The monorail, bubble gum, a bribe for Immigration...
context: But when I turned around, she was gone,\and I think I never saw her again.\Oh, no...\But hey, I remembered that I had a mom!\See you.\Wait... I don't even have your email address yet...\Hit me, Bartender.\The monorail, bubble gum, a bribe for Immigration... response:	Selecao Activity History
context: and I think I never saw her again.\Oh, no...\But hey, I remembered that I had a mom!\See you.\Wait... I don't even have your email address yet...\Hit me, Bartender.\The monorail, bubble gum, a bribe for Immigration...\Selecao Activity History response:	A brainwashing program from the Harima Neuroscience Institute...
context: Oh, no...\But hey, I remembered that I had a mom!\See you.\Wait... I don't even have your email address yet...\Hit me, Bartender.\The monorail, bubble gum, a bribe for Immigration...\Selecao Activity History\A brainwashing program from the Harima Neuroscience Institute... response:	I don't know why, but he did something to his own memories.
context: But hey, I remembered that I had a mom!\See you.\Wait... I don't even have your email address yet...\Hit me, Bartender.\The monorail, bubble gum, a bribe for Immigration...\Selecao Activity History\A brainwashing program from the Harima Neuroscience Institute...\I don't know why, but he did something to his own memories. response:	Selecao Activity History
context: See you.\Wait... I don't even have your email address yet...\Hit me, Bartender.\The monorail, bubble gum, a bribe for Immigration...\Selecao Activity History\A brainwashing program from the Harima Neuroscience Institute...\I don't know why, but he did something to his own memories.\Selecao Activity History response:	And then there's the shopping mall in Toyosu.
context: Wait... I don't even have your email address yet...\Hit me, Bartender.\The monorail, bubble gum, a bribe for Immigration...\Selecao Activity History\A brainwashing program from the Harima Neuroscience Institute...\I don't know why, but he did something to his own memories.\Selecao Activity History\And then there's the shopping mall in Toyosu. response:	But how is this supposed to be helping Japan?
context: Hit me, Bartender.\The monorail, bubble gum, a bribe for Immigration...\Selecao Activity History\A brainwashing program from the Harima Neuroscience Institute...\I don't know why, but he did something to his own memories.\Selecao Activity History\And then there's the shopping mall in Toyosu.\But how is this supposed to be helping Japan? response:	In a sense, this guy might be even worse than me.
context: The monorail, bubble gum, a bribe for Immigration...\Selecao Activity History\A brainwashing program from the Harima Neuroscience Institute...\I don't know why, but he did something to his own memories.\Selecao Activity History\And then there's the shopping mall in Toyosu.\But how is this supposed to be helping Japan?\In a sense, this guy might be even worse than me. response:	You're in a good mood.
context: Selecao Activity History\A brainwashing program from the Harima Neuroscience Institute...\I don't know why, but he did something to his own memories.\Selecao Activity History\And then there's the shopping mall in Toyosu.\But how is this supposed to be helping Japan?\In a sense, this guy might be even worse than me.\You're in a good mood. response:	Yeah, looks like good luck's starting to come my way again.
context: A brainwashing program from the Harima Neuroscience Institute...\I don't know why, but he did something to his own memories.\Selecao Activity History\And then there's the shopping mall in Toyosu.\But how is this supposed to be helping Japan?\In a sense, this guy might be even worse than me.\You're in a good mood.\Yeah, looks like good luck's starting to come my way again. response:	Glad to hear it, Mr. Kondou.
context: I don't know why, but he did something to his own memories.\Selecao Activity History\And then there's the shopping mall in Toyosu.\But how is this supposed to be helping Japan?\In a sense, this guy might be even worse than me.\You're in a good mood.\Yeah, looks like good luck's starting to come my way again.\Glad to hear it, Mr. Kondou. response:	In that case, please hurry up and return my 20 million.
context: Selecao Activity History\And then there's the shopping mall in Toyosu.\But how is this supposed to be helping Japan?\In a sense, this guy might be even worse than me.\You're in a good mood.\Yeah, looks like good luck's starting to come my way again.\Glad to hear it, Mr. Kondou.\In that case, please hurry up and return my 20 million. response:	or you can give me a list of the PD's multiple debtors instead.
context: And then there's the shopping mall in Toyosu.\But how is this supposed to be helping Japan?\In a sense, this guy might be even worse than me.\You're in a good mood.\Yeah, looks like good luck's starting to come my way again.\Glad to hear it, Mr. Kondou.\In that case, please hurry up and return my 20 million.\or you can give me a list of the PD's multiple debtors instead. response:	Yeah. Yeah. I was held up forever at the airport...
context: But how is this supposed to be helping Japan?\In a sense, this guy might be even worse than me.\You're in a good mood.\Yeah, looks like good luck's starting to come my way again.\Glad to hear it, Mr. Kondou.\In that case, please hurry up and return my 20 million.\or you can give me a list of the PD's multiple debtors instead.\Yeah. Yeah. I was held up forever at the airport... response:	Yeah. I'll explain that tomorrow. I'm staying at Micchon's tonight.
context: In a sense, this guy might be even worse than me.\You're in a good mood.\Yeah, looks like good luck's starting to come my way again.\Glad to hear it, Mr. Kondou.\In that case, please hurry up and return my 20 million.\or you can give me a list of the PD's multiple debtors instead.\Yeah. Yeah. I was held up forever at the airport...\Yeah. I'll explain that tomorrow. I'm staying at Micchon's tonight. response:	Yeah. Sorry.
context: You're in a good mood.\Yeah, looks like good luck's starting to come my way again.\Glad to hear it, Mr. Kondou.\In that case, please hurry up and return my 20 million.\or you can give me a list of the PD's multiple debtors instead.\Yeah. Yeah. I was held up forever at the airport...\Yeah. I'll explain that tomorrow. I'm staying at Micchon's tonight.\Yeah. Sorry. response:	Hey, you said you went to New York, right?
context: Yeah, looks like good luck's starting to come my way again.\Glad to hear it, Mr. Kondou.\In that case, please hurry up and return my 20 million.\or you can give me a list of the PD's multiple debtors instead.\Yeah. Yeah. I was held up forever at the airport...\Yeah. I'll explain that tomorrow. I'm staying at Micchon's tonight.\Yeah. Sorry.\Hey, you said you went to New York, right? response:	-Yeah. -So did you go to Fifth Avenue?
context: Glad to hear it, Mr. Kondou.\In that case, please hurry up and return my 20 million.\or you can give me a list of the PD's multiple debtors instead.\Yeah. Yeah. I was held up forever at the airport...\Yeah. I'll explain that tomorrow. I'm staying at Micchon's tonight.\Yeah. Sorry.\Hey, you said you went to New York, right?\-Yeah. -So did you go to Fifth Avenue? response:	Yeah, I went to Tiffany's! I didn't buy anything, but...
context: In that case, please hurry up and return my 20 million.\or you can give me a list of the PD's multiple debtors instead.\Yeah. Yeah. I was held up forever at the airport...\Yeah. I'll explain that tomorrow. I'm staying at Micchon's tonight.\Yeah. Sorry.\Hey, you said you went to New York, right?\-Yeah. -So did you go to Fifth Avenue?\Yeah, I went to Tiffany's! I didn't buy anything, but... response:	This is Times Square. I went to see The Lion King at night.
context: or you can give me a list of the PD's multiple debtors instead.\Yeah. Yeah. I was held up forever at the airport...\Yeah. I'll explain that tomorrow. I'm staying at Micchon's tonight.\Yeah. Sorry.\Hey, you said you went to New York, right?\-Yeah. -So did you go to Fifth Avenue?\Yeah, I went to Tiffany's! I didn't buy anything, but...\This is Times Square. I went to see The Lion King at night. response:	Wow. Where else did you go?
context: Yeah. Yeah. I was held up forever at the airport...\Yeah. I'll explain that tomorrow. I'm staying at Micchon's tonight.\Yeah. Sorry.\Hey, you said you went to New York, right?\-Yeah. -So did you go to Fifth Avenue?\Yeah, I went to Tiffany's! I didn't buy anything, but...\This is Times Square. I went to see The Lion King at night.\Wow. Where else did you go? response:	I went to Central Park, I saw the Statue of Liberty,
context: Yeah. I'll explain that tomorrow. I'm staying at Micchon's tonight.\Yeah. Sorry.\Hey, you said you went to New York, right?\-Yeah. -So did you go to Fifth Avenue?\Yeah, I went to Tiffany's! I didn't buy anything, but...\This is Times Square. I went to see The Lion King at night.\Wow. Where else did you go?\I went to Central Park, I saw the Statue of Liberty, response:	I walked the Brooklyn Bridge...
context: Yeah. Sorry.\Hey, you said you went to New York, right?\-Yeah. -So did you go to Fifth Avenue?\Yeah, I went to Tiffany's! I didn't buy anything, but...\This is Times Square. I went to see The Lion King at night.\Wow. Where else did you go?\I went to Central Park, I saw the Statue of Liberty,\I walked the Brooklyn Bridge... response:	That Gothic bridge?
context: Hey, you said you went to New York, right?\-Yeah. -So did you go to Fifth Avenue?\Yeah, I went to Tiffany's! I didn't buy anything, but...\This is Times Square. I went to see The Lion King at night.\Wow. Where else did you go?\I went to Central Park, I saw the Statue of Liberty,\I walked the Brooklyn Bridge...\That Gothic bridge? response:	Yep! You know your stuff!
context: -Yeah. -So did you go to Fifth Avenue?\Yeah, I went to Tiffany's! I didn't buy anything, but...\This is Times Square. I went to see The Lion King at night.\Wow. Where else did you go?\I went to Central Park, I saw the Statue of Liberty,\I walked the Brooklyn Bridge...\That Gothic bridge?\Yep! You know your stuff! response:	I've just seen it in movies.
context: Yeah, I went to Tiffany's! I didn't buy anything, but...\This is Times Square. I went to see The Lion King at night.\Wow. Where else did you go?\I went to Central Park, I saw the Statue of Liberty,\I walked the Brooklyn Bridge...\That Gothic bridge?\Yep! You know your stuff!\I've just seen it in movies. response:	This bridge had a time portal in that Meg Ryan movie, right?
context: This is Times Square. I went to see The Lion King at night.\Wow. Where else did you go?\I went to Central Park, I saw the Statue of Liberty,\I walked the Brooklyn Bridge...\That Gothic bridge?\Yep! You know your stuff!\I've just seen it in movies.\This bridge had a time portal in that Meg Ryan movie, right? response:	I don't know. I don't really watch movies.
context: Wow. Where else did you go?\I went to Central Park, I saw the Statue of Liberty,\I walked the Brooklyn Bridge...\That Gothic bridge?\Yep! You know your stuff!\I've just seen it in movies.\This bridge had a time portal in that Meg Ryan movie, right?\I don't know. I don't really watch movies. response:	Huh. I thought any girl would've seen that one.
context: I went to Central Park, I saw the Statue of Liberty,\I walked the Brooklyn Bridge...\That Gothic bridge?\Yep! You know your stuff!\I've just seen it in movies.\This bridge had a time portal in that Meg Ryan movie, right?\I don't know. I don't really watch movies.\Huh. I thought any girl would've seen that one. response:	Damn, my memory for movies is awfully vivid, but...
context: I walked the Brooklyn Bridge...\That Gothic bridge?\Yep! You know your stuff!\I've just seen it in movies.\This bridge had a time portal in that Meg Ryan movie, right?\I don't know. I don't really watch movies.\Huh. I thought any girl would've seen that one.\Damn, my memory for movies is awfully vivid, but... response:	What others do you remember? Maybe we'll find a clue to your memories.
context: That Gothic bridge?\Yep! You know your stuff!\I've just seen it in movies.\This bridge had a time portal in that Meg Ryan movie, right?\I don't know. I don't really watch movies.\Huh. I thought any girl would've seen that one.\Damn, my memory for movies is awfully vivid, but...\What others do you remember? Maybe we'll find a clue to your memories. response:	What's your favorite movie?
context: Yep! You know your stuff!\I've just seen it in movies.\This bridge had a time portal in that Meg Ryan movie, right?\I don't know. I don't really watch movies.\Huh. I thought any girl would've seen that one.\Damn, my memory for movies is awfully vivid, but...\What others do you remember? Maybe we'll find a clue to your memories.\What's your favorite movie? response:	Let's see... Well, I've forgotten just about everything about myself...
context: I've just seen it in movies.\This bridge had a time portal in that Meg Ryan movie, right?\I don't know. I don't really watch movies.\Huh. I thought any girl would've seen that one.\Damn, my memory for movies is awfully vivid, but...\What others do you remember? Maybe we'll find a clue to your memories.\What's your favorite movie?\Let's see... Well, I've forgotten just about everything about myself... response:	Oh.
context: This bridge had a time portal in that Meg Ryan movie, right?\I don't know. I don't really watch movies.\Huh. I thought any girl would've seen that one.\Damn, my memory for movies is awfully vivid, but...\What others do you remember? Maybe we'll find a clue to your memories.\What's your favorite movie?\Let's see... Well, I've forgotten just about everything about myself...\Oh. response:	Hey, what's this?
context: I don't know. I don't really watch movies.\Huh. I thought any girl would've seen that one.\Damn, my memory for movies is awfully vivid, but...\What others do you remember? Maybe we'll find a clue to your memories.\What's your favorite movie?\Let's see... Well, I've forgotten just about everything about myself...\Oh.\Hey, what's this? response:	That's the Freedom Tower.
context: Huh. I thought any girl would've seen that one.\Damn, my memory for movies is awfully vivid, but...\What others do you remember? Maybe we'll find a clue to your memories.\What's your favorite movie?\Let's see... Well, I've forgotten just about everything about myself...\Oh.\Hey, what's this?\That's the Freedom Tower. response:	Freedom Tower?
context: Damn, my memory for movies is awfully vivid, but...\What others do you remember? Maybe we'll find a clue to your memories.\What's your favorite movie?\Let's see... Well, I've forgotten just about everything about myself...\Oh.\Hey, what's this?\That's the Freedom Tower.\Freedom Tower? response:	The new building on the site of Ground Zero.
context: What others do you remember? Maybe we'll find a clue to your memories.\What's your favorite movie?\Let's see... Well, I've forgotten just about everything about myself...\Oh.\Hey, what's this?\That's the Freedom Tower.\Freedom Tower?\The new building on the site of Ground Zero. response:	You mean as in 9/11?
context: What's your favorite movie?\Let's see... Well, I've forgotten just about everything about myself...\Oh.\Hey, what's this?\That's the Freedom Tower.\Freedom Tower?\The new building on the site of Ground Zero.\You mean as in 9/11? response:	Huh... I don't think this has made it into the movies yet.
context: Let's see... Well, I've forgotten just about everything about myself...\Oh.\Hey, what's this?\That's the Freedom Tower.\Freedom Tower?\The new building on the site of Ground Zero.\You mean as in 9/11?\Huh... I don't think this has made it into the movies yet. response:	It was mysterious; so smooth and pretty...
context: Oh.\Hey, what's this?\That's the Freedom Tower.\Freedom Tower?\The new building on the site of Ground Zero.\You mean as in 9/11?\Huh... I don't think this has made it into the movies yet.\It was mysterious; so smooth and pretty... response:	I wanted to see Ground Zero,
context: Hey, what's this?\That's the Freedom Tower.\Freedom Tower?\The new building on the site of Ground Zero.\You mean as in 9/11?\Huh... I don't think this has made it into the movies yet.\It was mysterious; so smooth and pretty...\I wanted to see Ground Zero, response:	but there's no trace anymore of how it was ten years ago.
context: That's the Freedom Tower.\Freedom Tower?\The new building on the site of Ground Zero.\You mean as in 9/11?\Huh... I don't think this has made it into the movies yet.\It was mysterious; so smooth and pretty...\I wanted to see Ground Zero,\but there's no trace anymore of how it was ten years ago. response:	But somehow I feel like I mustn't forget about that attack...
context: Freedom Tower?\The new building on the site of Ground Zero.\You mean as in 9/11?\Huh... I don't think this has made it into the movies yet.\It was mysterious; so smooth and pretty...\I wanted to see Ground Zero,\but there's no trace anymore of how it was ten years ago.\But somehow I feel like I mustn't forget about that attack... response:	C'mere a sec.
context: The new building on the site of Ground Zero.\You mean as in 9/11?\Huh... I don't think this has made it into the movies yet.\It was mysterious; so smooth and pretty...\I wanted to see Ground Zero,\but there's no trace anymore of how it was ten years ago.\But somehow I feel like I mustn't forget about that attack...\C'mere a sec. response:	How's that? Ground Zero.
context: You mean as in 9/11?\Huh... I don't think this has made it into the movies yet.\It was mysterious; so smooth and pretty...\I wanted to see Ground Zero,\but there's no trace anymore of how it was ten years ago.\But somehow I feel like I mustn't forget about that attack...\C'mere a sec.\How's that? Ground Zero. response:	Can I have a copy of this photo?
context: Huh... I don't think this has made it into the movies yet.\It was mysterious; so smooth and pretty...\I wanted to see Ground Zero,\but there's no trace anymore of how it was ten years ago.\But somehow I feel like I mustn't forget about that attack...\C'mere a sec.\How's that? Ground Zero.\Can I have a copy of this photo? response:	Sure.
context: It was mysterious; so smooth and pretty...\I wanted to see Ground Zero,\but there's no trace anymore of how it was ten years ago.\But somehow I feel like I mustn't forget about that attack...\C'mere a sec.\How's that? Ground Zero.\Can I have a copy of this photo?\Sure. response:	I don't know how. You do it.
context: I wanted to see Ground Zero,\but there's no trace anymore of how it was ten years ago.\But somehow I feel like I mustn't forget about that attack...\C'mere a sec.\How's that? Ground Zero.\Can I have a copy of this photo?\Sure.\I don't know how. You do it. response:	Mr. Kondou, if things keep up this way,
context: but there's no trace anymore of how it was ten years ago.\But somehow I feel like I mustn't forget about that attack...\C'mere a sec.\How's that? Ground Zero.\Can I have a copy of this photo?\Sure.\I don't know how. You do it.\Mr. Kondou, if things keep up this way, response:	I'm afraid I'll be forced to visit your place of work.
context: But somehow I feel like I mustn't forget about that attack...\C'mere a sec.\How's that? Ground Zero.\Can I have a copy of this photo?\Sure.\I don't know how. You do it.\Mr. Kondou, if things keep up this way,\I'm afraid I'll be forced to visit your place of work. response:	Whatever.
context: C'mere a sec.\How's that? Ground Zero.\Can I have a copy of this photo?\Sure.\I don't know how. You do it.\Mr. Kondou, if things keep up this way,\I'm afraid I'll be forced to visit your place of work.\Whatever. response:	Juiz, kill these two.
context: How's that? Ground Zero.\Can I have a copy of this photo?\Sure.\I don't know how. You do it.\Mr. Kondou, if things keep up this way,\I'm afraid I'll be forced to visit your place of work.\Whatever.\Juiz, kill these two. response:	Accepted. Noblesse oblige. I pray you shall continue to be a savior.
context: Can I have a copy of this photo?\Sure.\I don't know how. You do it.\Mr. Kondou, if things keep up this way,\I'm afraid I'll be forced to visit your place of work.\Whatever.\Juiz, kill these two.\Accepted. Noblesse oblige. I pray you shall continue to be a savior. response:	Shutup
context: Sure.\I don't know how. You do it.\Mr. Kondou, if things keep up this way,\I'm afraid I'll be forced to visit your place of work.\Whatever.\Juiz, kill these two.\Accepted. Noblesse oblige. I pray you shall continue to be a savior.\Shutup response:	What are you doing?
context: I don't know how. You do it.\Mr. Kondou, if things keep up this way,\I'm afraid I'll be forced to visit your place of work.\Whatever.\Juiz, kill these two.\Accepted. Noblesse oblige. I pray you shall continue to be a savior.\Shutup\What are you doing? response:	I'm going to do my life over.
context: Mr. Kondou, if things keep up this way,\I'm afraid I'll be forced to visit your place of work.\Whatever.\Juiz, kill these two.\Accepted. Noblesse oblige. I pray you shall continue to be a savior.\Shutup\What are you doing?\I'm going to do my life over. response:	Has being cornered like this made you go crazy?
context: I'm afraid I'll be forced to visit your place of work.\Whatever.\Juiz, kill these two.\Accepted. Noblesse oblige. I pray you shall continue to be a savior.\Shutup\What are you doing?\I'm going to do my life over.\Has being cornered like this made you go crazy? response:	Bang.
context: Whatever.\Juiz, kill these two.\Accepted. Noblesse oblige. I pray you shall continue to be a savior.\Shutup\What are you doing?\I'm going to do my life over.\Has being cornered like this made you go crazy?\Bang. response:	Bang.
context: Juiz, kill these two.\Accepted. Noblesse oblige. I pray you shall continue to be a savior.\Shutup\What are you doing?\I'm going to do my life over.\Has being cornered like this made you go crazy?\Bang.\Bang. response:	Him too, Juiz.
context: Accepted. Noblesse oblige. I pray you shall continue to be a savior.\Shutup\What are you doing?\I'm going to do my life over.\Has being cornered like this made you go crazy?\Bang.\Bang.\Him too, Juiz. response:	Sorry.
context: Shutup\What are you doing?\I'm going to do my life over.\Has being cornered like this made you go crazy?\Bang.\Bang.\Him too, Juiz.\Sorry. response:	Bang.
context: What are you doing?\I'm going to do my life over.\Has being cornered like this made you go crazy?\Bang.\Bang.\Him too, Juiz.\Sorry.\Bang. response:	These days, a lone cop can't carry out justice no matter how hard he tries.
context: I'm going to do my life over.\Has being cornered like this made you go crazy?\Bang.\Bang.\Him too, Juiz.\Sorry.\Bang.\These days, a lone cop can't carry out justice no matter how hard he tries. response:	Selecao Activity History
context: Has being cornered like this made you go crazy?\Bang.\Bang.\Him too, Juiz.\Sorry.\Bang.\These days, a lone cop can't carry out justice no matter how hard he tries.\Selecao Activity History response:	Well, whatever. Just you wait, Number 9.
context: Bang.\Bang.\Him too, Juiz.\Sorry.\Bang.\These days, a lone cop can't carry out justice no matter how hard he tries.\Selecao Activity History\Well, whatever. Just you wait, Number 9. response:	I'll take over your obligations.
context: Bang.\Him too, Juiz.\Sorry.\Bang.\These days, a lone cop can't carry out justice no matter how hard he tries.\Selecao Activity History\Well, whatever. Just you wait, Number 9.\I'll take over your obligations. response:	The night is a seal
context: Him too, Juiz.\Sorry.\Bang.\These days, a lone cop can't carry out justice no matter how hard he tries.\Selecao Activity History\Well, whatever. Just you wait, Number 9.\I'll take over your obligations.\The night is a seal response:	If we mix in some bewilderment, it will end
context: Sorry.\Bang.\These days, a lone cop can't carry out justice no matter how hard he tries.\Selecao Activity History\Well, whatever. Just you wait, Number 9.\I'll take over your obligations.\The night is a seal\If we mix in some bewilderment, it will end response:	If we're in danger of wavering, let's just abandon our reasons
context: Bang.\These days, a lone cop can't carry out justice no matter how hard he tries.\Selecao Activity History\Well, whatever. Just you wait, Number 9.\I'll take over your obligations.\The night is a seal\If we mix in some bewilderment, it will end\If we're in danger of wavering, let's just abandon our reasons response:	We drown in dreams again
context: These days, a lone cop can't carry out justice no matter how hard he tries.\Selecao Activity History\Well, whatever. Just you wait, Number 9.\I'll take over your obligations.\The night is a seal\If we mix in some bewilderment, it will end\If we're in danger of wavering, let's just abandon our reasons\We drown in dreams again response:	The future stretches on uncertainly
context: Selecao Activity History\Well, whatever. Just you wait, Number 9.\I'll take over your obligations.\The night is a seal\If we mix in some bewilderment, it will end\If we're in danger of wavering, let's just abandon our reasons\We drown in dreams again\The future stretches on uncertainly response:	I can still forgive you, I can still know the meaning
context: Well, whatever. Just you wait, Number 9.\I'll take over your obligations.\The night is a seal\If we mix in some bewilderment, it will end\If we're in danger of wavering, let's just abandon our reasons\We drown in dreams again\The future stretches on uncertainly\I can still forgive you, I can still know the meaning response:	The night exists to be listened to closely
context: I'll take over your obligations.\The night is a seal\If we mix in some bewilderment, it will end\If we're in danger of wavering, let's just abandon our reasons\We drown in dreams again\The future stretches on uncertainly\I can still forgive you, I can still know the meaning\The night exists to be listened to closely response:	I can copy that reason, and change
context: The night is a seal\If we mix in some bewilderment, it will end\If we're in danger of wavering, let's just abandon our reasons\We drown in dreams again\The future stretches on uncertainly\I can still forgive you, I can still know the meaning\The night exists to be listened to closely\I can copy that reason, and change response:	I wouldn't mind cutting off the future to know your breath
context: If we mix in some bewilderment, it will end\If we're in danger of wavering, let's just abandon our reasons\We drown in dreams again\The future stretches on uncertainly\I can still forgive you, I can still know the meaning\The night exists to be listened to closely\I can copy that reason, and change\I wouldn't mind cutting off the future to know your breath response:	I wouldn't mind cutting off the future
