context: Unforgivable! He is the number one enemy of all junior high girls! response:	Impure fraternization! It's just unforgivable!
context: What could they be chatting about?!\I'll just have to get closer to them.\Usagi, you're too bold.\This is not the place for...\We should have a pure relationship, like good junior high kids.\But maybe a kiss wouldn't hurt!\Huh? Where did you go, Miss Usagi?!\Usagi! response:	Oh, so you're both here, too.
context: I'll just have to get closer to them.\Usagi, you're too bold.\This is not the place for...\We should have a pure relationship, like good junior high kids.\But maybe a kiss wouldn't hurt!\Huh? Where did you go, Miss Usagi?!\Usagi!\Oh, so you're both here, too. response:	We can't leave those two alone after all.
context: Usagi, you're too bold.\This is not the place for...\We should have a pure relationship, like good junior high kids.\But maybe a kiss wouldn't hurt!\Huh? Where did you go, Miss Usagi?!\Usagi!\Oh, so you're both here, too.\We can't leave those two alone after all. response:	Don't be ridiculous!
context: This is not the place for...\We should have a pure relationship, like good junior high kids.\But maybe a kiss wouldn't hurt!\Huh? Where did you go, Miss Usagi?!\Usagi!\Oh, so you're both here, too.\We can't leave those two alone after all.\Don't be ridiculous! response:	Usagi, something terrible is going on in this park right now!
context: We should have a pure relationship, like good junior high kids.\But maybe a kiss wouldn't hurt!\Huh? Where did you go, Miss Usagi?!\Usagi!\Oh, so you're both here, too.\We can't leave those two alone after all.\Don't be ridiculous!\Usagi, something terrible is going on in this park right now! response:	Something terrible?
context: But maybe a kiss wouldn't hurt!\Huh? Where did you go, Miss Usagi?!\Usagi!\Oh, so you're both here, too.\We can't leave those two alone after all.\Don't be ridiculous!\Usagi, something terrible is going on in this park right now!\Something terrible? response:	You guys again! Something terrible?
context: Huh? Where did you go, Miss Usagi?!\Usagi!\Oh, so you're both here, too.\We can't leave those two alone after all.\Don't be ridiculous!\Usagi, something terrible is going on in this park right now!\Something terrible?\You guys again! Something terrible? response:	You guys again!
context: Usagi!\Oh, so you're both here, too.\We can't leave those two alone after all.\Don't be ridiculous!\Usagi, something terrible is going on in this park right now!\Something terrible?\You guys again! Something terrible?\You guys again! response:	Mr. Kunitachi!
context: Oh, so you're both here, too.\We can't leave those two alone after all.\Don't be ridiculous!\Usagi, something terrible is going on in this park right now!\Something terrible?\You guys again! Something terrible?\You guys again!\Mr. Kunitachi! response:	Foolish humans! Mr. Kunitachi!
context: We can't leave those two alone after all.\Don't be ridiculous!\Usagi, something terrible is going on in this park right now!\Something terrible?\You guys again! Something terrible?\You guys again!\Mr. Kunitachi!\Foolish humans! Mr. Kunitachi! response:	Foolish humans!
context: Don't be ridiculous!\Usagi, something terrible is going on in this park right now!\Something terrible?\You guys again! Something terrible?\You guys again!\Mr. Kunitachi!\Foolish humans! Mr. Kunitachi!\Foolish humans! response:	You people forgot the boon that nature provided you with,
context: Usagi, something terrible is going on in this park right now!\Something terrible?\You guys again! Something terrible?\You guys again!\Mr. Kunitachi!\Foolish humans! Mr. Kunitachi!\Foolish humans!\You people forgot the boon that nature provided you with, response:	and the only way you can atone for it is with your deaths!
context: Something terrible?\You guys again! Something terrible?\You guys again!\Mr. Kunitachi!\Foolish humans! Mr. Kunitachi!\Foolish humans!\You people forgot the boon that nature provided you with,\and the only way you can atone for it is with your deaths! response:	The energy level has peaked!
context: You guys again! Something terrible?\You guys again!\Mr. Kunitachi!\Foolish humans! Mr. Kunitachi!\Foolish humans!\You people forgot the boon that nature provided you with,\and the only way you can atone for it is with your deaths!\The energy level has peaked! response:	Do it, Petasos!
context: You guys again!\Mr. Kunitachi!\Foolish humans! Mr. Kunitachi!\Foolish humans!\You people forgot the boon that nature provided you with,\and the only way you can atone for it is with your deaths!\The energy level has peaked!\Do it, Petasos! response:	Mr. Kunitachi...
context: Mr. Kunitachi!\Foolish humans! Mr. Kunitachi!\Foolish humans!\You people forgot the boon that nature provided you with,\and the only way you can atone for it is with your deaths!\The energy level has peaked!\Do it, Petasos!\Mr. Kunitachi... response:	All animals in this park, massacre the humans!
context: Foolish humans! Mr. Kunitachi!\Foolish humans!\You people forgot the boon that nature provided you with,\and the only way you can atone for it is with your deaths!\The energy level has peaked!\Do it, Petasos!\Mr. Kunitachi...\All animals in this park, massacre the humans! response:	Unforgivable! Mercury Power Makeup!
context: Foolish humans!\You people forgot the boon that nature provided you with,\and the only way you can atone for it is with your deaths!\The energy level has peaked!\Do it, Petasos!\Mr. Kunitachi...\All animals in this park, massacre the humans!\Unforgivable! Mercury Power Makeup! response:	Usagi, don't just stand there!
context: You people forgot the boon that nature provided you with,\and the only way you can atone for it is with your deaths!\The energy level has peaked!\Do it, Petasos!\Mr. Kunitachi...\All animals in this park, massacre the humans!\Unforgivable! Mercury Power Makeup!\Usagi, don't just stand there! response:	I know that!
context: and the only way you can atone for it is with your deaths!\The energy level has peaked!\Do it, Petasos!\Mr. Kunitachi...\All animals in this park, massacre the humans!\Unforgivable! Mercury Power Makeup!\Usagi, don't just stand there!\I know that! response:	Moon Prism Power Makeup!
context: The energy level has peaked!\Do it, Petasos!\Mr. Kunitachi...\All animals in this park, massacre the humans!\Unforgivable! Mercury Power Makeup!\Usagi, don't just stand there!\I know that!\Moon Prism Power Makeup! response:	Mamoru, what is wrong?
context: Do it, Petasos!\Mr. Kunitachi...\All animals in this park, massacre the humans!\Unforgivable! Mercury Power Makeup!\Usagi, don't just stand there!\I know that!\Moon Prism Power Makeup!\Mamoru, what is wrong? response:	What's this?!
context: Mr. Kunitachi...\All animals in this park, massacre the humans!\Unforgivable! Mercury Power Makeup!\Usagi, don't just stand there!\I know that!\Moon Prism Power Makeup!\Mamoru, what is wrong?\What's this?! response:	What are these?!
context: All animals in this park, massacre the humans!\Unforgivable! Mercury Power Makeup!\Usagi, don't just stand there!\I know that!\Moon Prism Power Makeup!\Mamoru, what is wrong?\What's this?!\What are these?! response:	Oh, help me!
context: Unforgivable! Mercury Power Makeup!\Usagi, don't just stand there!\I know that!\Moon Prism Power Makeup!\Mamoru, what is wrong?\What's this?!\What are these?!\Oh, help me! response:	Bubble
context: Usagi, don't just stand there!\I know that!\Moon Prism Power Makeup!\Mamoru, what is wrong?\What's this?!\What are these?!\Oh, help me!\Bubble response:	Spray!
context: I know that!\Moon Prism Power Makeup!\Mamoru, what is wrong?\What's this?!\What are these?!\Oh, help me!\Bubble\Spray! response:	The animals have been weakened!
context: Moon Prism Power Makeup!\Mamoru, what is wrong?\What's this?!\What are these?!\Oh, help me!\Bubble\Spray!\The animals have been weakened! response:	Prepare yourself!
context: Mamoru, what is wrong?\What's this?!\What are these?!\Oh, help me!\Bubble\Spray!\The animals have been weakened!\Prepare yourself! response:	Mercury's on a roll!
context: What's this?!\What are these?!\Oh, help me!\Bubble\Spray!\The animals have been weakened!\Prepare yourself!\Mercury's on a roll! response:	Then I will use... Hand Flower!
context: What are these?!\Oh, help me!\Bubble\Spray!\The animals have been weakened!\Prepare yourself!\Mercury's on a roll!\Then I will use... Hand Flower! response:	Watch out!
context: Oh, help me!\Bubble\Spray!\The animals have been weakened!\Prepare yourself!\Mercury's on a roll!\Then I will use... Hand Flower!\Watch out! response:	Sailor Moon!
context: Bubble\Spray!\The animals have been weakened!\Prepare yourself!\Mercury's on a roll!\Then I will use... Hand Flower!\Watch out!\Sailor Moon! response:	Petasos Rope!
context: Spray!\The animals have been weakened!\Prepare yourself!\Mercury's on a roll!\Then I will use... Hand Flower!\Watch out!\Sailor Moon!\Petasos Rope! response:	Are you okay?
context: The animals have been weakened!\Prepare yourself!\Mercury's on a roll!\Then I will use... Hand Flower!\Watch out!\Sailor Moon!\Petasos Rope!\Are you okay? response:	Yes, I am. But you weren't feeling well...
context: Prepare yourself!\Mercury's on a roll!\Then I will use... Hand Flower!\Watch out!\Sailor Moon!\Petasos Rope!\Are you okay?\Yes, I am. But you weren't feeling well... response:	Oh, it was nothing serious.
context: Mercury's on a roll!\Then I will use... Hand Flower!\Watch out!\Sailor Moon!\Petasos Rope!\Are you okay?\Yes, I am. But you weren't feeling well...\Oh, it was nothing serious. response:	All right.
context: Then I will use... Hand Flower!\Watch out!\Sailor Moon!\Petasos Rope!\Are you okay?\Yes, I am. But you weren't feeling well...\Oh, it was nothing serious.\All right. response:	I sense a powerful evil aura.
context: Watch out!\Sailor Moon!\Petasos Rope!\Are you okay?\Yes, I am. But you weren't feeling well...\Oh, it was nothing serious.\All right.\I sense a powerful evil aura. response:	Mamoru, stay here! I'll be right back!
context: Sailor Moon!\Petasos Rope!\Are you okay?\Yes, I am. But you weren't feeling well...\Oh, it was nothing serious.\All right.\I sense a powerful evil aura.\Mamoru, stay here! I'll be right back! response:	Sailor Mercury!
context: Petasos Rope!\Are you okay?\Yes, I am. But you weren't feeling well...\Oh, it was nothing serious.\All right.\I sense a powerful evil aura.\Mamoru, stay here! I'll be right back!\Sailor Mercury! response:	I will squeeze you to death first.
context: Are you okay?\Yes, I am. But you weren't feeling well...\Oh, it was nothing serious.\All right.\I sense a powerful evil aura.\Mamoru, stay here! I'll be right back!\Sailor Mercury!\I will squeeze you to death first. response:	Mr. Kunitachi...
context: Yes, I am. But you weren't feeling well...\Oh, it was nothing serious.\All right.\I sense a powerful evil aura.\Mamoru, stay here! I'll be right back!\Sailor Mercury!\I will squeeze you to death first.\Mr. Kunitachi... response:	I can't forgive you!
context: Oh, it was nothing serious.\All right.\I sense a powerful evil aura.\Mamoru, stay here! I'll be right back!\Sailor Mercury!\I will squeeze you to death first.\Mr. Kunitachi...\I can't forgive you! response:	I can't forgive you!
context: All right.\I sense a powerful evil aura.\Mamoru, stay here! I'll be right back!\Sailor Mercury!\I will squeeze you to death first.\Mr. Kunitachi...\I can't forgive you!\I can't forgive you! response:	Fire Soul!
context: I sense a powerful evil aura.\Mamoru, stay here! I'll be right back!\Sailor Mercury!\I will squeeze you to death first.\Mr. Kunitachi...\I can't forgive you!\I can't forgive you!\Fire Soul! response:	Hot! Hot! Hot!
context: Mamoru, stay here! I'll be right back!\Sailor Mercury!\I will squeeze you to death first.\Mr. Kunitachi...\I can't forgive you!\I can't forgive you!\Fire Soul!\Hot! Hot! Hot! response:	Are you okay?
context: Sailor Mercury!\I will squeeze you to death first.\Mr. Kunitachi...\I can't forgive you!\I can't forgive you!\Fire Soul!\Hot! Hot! Hot!\Are you okay? response:	Can't you help me in a better way? Are you okay?
context: I will squeeze you to death first.\Mr. Kunitachi...\I can't forgive you!\I can't forgive you!\Fire Soul!\Hot! Hot! Hot!\Are you okay?\Can't you help me in a better way? Are you okay? response:	Can't you help me in a better way?
context: Mr. Kunitachi...\I can't forgive you!\I can't forgive you!\Fire Soul!\Hot! Hot! Hot!\Are you okay?\Can't you help me in a better way? Are you okay?\Can't you help me in a better way? response:	Is that any way to talk to someone who just rescued you?!
context: I can't forgive you!\I can't forgive you!\Fire Soul!\Hot! Hot! Hot!\Are you okay?\Can't you help me in a better way? Are you okay?\Can't you help me in a better way?\Is that any way to talk to someone who just rescued you?! response:	I see. So, she's the one who interrupted my date.
context: I can't forgive you!\Fire Soul!\Hot! Hot! Hot!\Are you okay?\Can't you help me in a better way? Are you okay?\Can't you help me in a better way?\Is that any way to talk to someone who just rescued you?!\I see. So, she's the one who interrupted my date. response:	I can't forgive you for taking advantage of Mr. Kunitachi's feelings!
context: Fire Soul!\Hot! Hot! Hot!\Are you okay?\Can't you help me in a better way? Are you okay?\Can't you help me in a better way?\Is that any way to talk to someone who just rescued you?!\I see. So, she's the one who interrupted my date.\I can't forgive you for taking advantage of Mr. Kunitachi's feelings! response:	You'll pay a heavy price for staining everyone's favorite hangout with evil.
context: Hot! Hot! Hot!\Are you okay?\Can't you help me in a better way? Are you okay?\Can't you help me in a better way?\Is that any way to talk to someone who just rescued you?!\I see. So, she's the one who interrupted my date.\I can't forgive you for taking advantage of Mr. Kunitachi's feelings!\You'll pay a heavy price for staining everyone's favorite hangout with evil. response:	In the name of the moon, we will punish you!
context: Are you okay?\Can't you help me in a better way? Are you okay?\Can't you help me in a better way?\Is that any way to talk to someone who just rescued you?!\I see. So, she's the one who interrupted my date.\I can't forgive you for taking advantage of Mr. Kunitachi's feelings!\You'll pay a heavy price for staining everyone's favorite hangout with evil.\In the name of the moon, we will punish you! response:	Hey, that's my line!
context: Can't you help me in a better way? Are you okay?\Can't you help me in a better way?\Is that any way to talk to someone who just rescued you?!\I see. So, she's the one who interrupted my date.\I can't forgive you for taking advantage of Mr. Kunitachi's feelings!\You'll pay a heavy price for staining everyone's favorite hangout with evil.\In the name of the moon, we will punish you!\Hey, that's my line! response:	Fine, then! I'll take care of all three of you together!
context: Can't you help me in a better way?\Is that any way to talk to someone who just rescued you?!\I see. So, she's the one who interrupted my date.\I can't forgive you for taking advantage of Mr. Kunitachi's feelings!\You'll pay a heavy price for staining everyone's favorite hangout with evil.\In the name of the moon, we will punish you!\Hey, that's my line!\Fine, then! I'll take care of all three of you together! response:	Tuxedo Mask!
context: Is that any way to talk to someone who just rescued you?!\I see. So, she's the one who interrupted my date.\I can't forgive you for taking advantage of Mr. Kunitachi's feelings!\You'll pay a heavy price for staining everyone's favorite hangout with evil.\In the name of the moon, we will punish you!\Hey, that's my line!\Fine, then! I'll take care of all three of you together!\Tuxedo Mask! response:	Now's your chance, Sailor Moon!
context: I see. So, she's the one who interrupted my date.\I can't forgive you for taking advantage of Mr. Kunitachi's feelings!\You'll pay a heavy price for staining everyone's favorite hangout with evil.\In the name of the moon, we will punish you!\Hey, that's my line!\Fine, then! I'll take care of all three of you together!\Tuxedo Mask!\Now's your chance, Sailor Moon! response:	Yes!
context: I can't forgive you for taking advantage of Mr. Kunitachi's feelings!\You'll pay a heavy price for staining everyone's favorite hangout with evil.\In the name of the moon, we will punish you!\Hey, that's my line!\Fine, then! I'll take care of all three of you together!\Tuxedo Mask!\Now's your chance, Sailor Moon!\Yes! response:	Moon Tiara Action!
context: You'll pay a heavy price for staining everyone's favorite hangout with evil.\In the name of the moon, we will punish you!\Hey, that's my line!\Fine, then! I'll take care of all three of you together!\Tuxedo Mask!\Now's your chance, Sailor Moon!\Yes!\Moon Tiara Action! response:	Good-bye, sailor warriors!
context: In the name of the moon, we will punish you!\Hey, that's my line!\Fine, then! I'll take care of all three of you together!\Tuxedo Mask!\Now's your chance, Sailor Moon!\Yes!\Moon Tiara Action!\Good-bye, sailor warriors! response:	He's so dreamy.
context: Hey, that's my line!\Fine, then! I'll take care of all three of you together!\Tuxedo Mask!\Now's your chance, Sailor Moon!\Yes!\Moon Tiara Action!\Good-bye, sailor warriors!\He's so dreamy. response:	Ami, what have I been doing?
context: Fine, then! I'll take care of all three of you together!\Tuxedo Mask!\Now's your chance, Sailor Moon!\Yes!\Moon Tiara Action!\Good-bye, sailor warriors!\He's so dreamy.\Ami, what have I been doing? response:	It's okay now. Don't worry. You were just having a bad dream.
context: Tuxedo Mask!\Now's your chance, Sailor Moon!\Yes!\Moon Tiara Action!\Good-bye, sailor warriors!\He's so dreamy.\Ami, what have I been doing?\It's okay now. Don't worry. You were just having a bad dream. response:	Good grief. That was awful.
context: Now's your chance, Sailor Moon!\Yes!\Moon Tiara Action!\Good-bye, sailor warriors!\He's so dreamy.\Ami, what have I been doing?\It's okay now. Don't worry. You were just having a bad dream.\Good grief. That was awful. response:	Mamoru! Is it okay for you to get up?
context: Yes!\Moon Tiara Action!\Good-bye, sailor warriors!\He's so dreamy.\Ami, what have I been doing?\It's okay now. Don't worry. You were just having a bad dream.\Good grief. That was awful.\Mamoru! Is it okay for you to get up? response:	Yeah, I'm completely fine now.
context: Moon Tiara Action!\Good-bye, sailor warriors!\He's so dreamy.\Ami, what have I been doing?\It's okay now. Don't worry. You were just having a bad dream.\Good grief. That was awful.\Mamoru! Is it okay for you to get up?\Yeah, I'm completely fine now. response:	Maybe Mamoru really is Tuxedo Mask.
context: Good-bye, sailor warriors!\He's so dreamy.\Ami, what have I been doing?\It's okay now. Don't worry. You were just having a bad dream.\Good grief. That was awful.\Mamoru! Is it okay for you to get up?\Yeah, I'm completely fine now.\Maybe Mamoru really is Tuxedo Mask. response:	There's no way this guy can be Tuxedo Mask!
context: He's so dreamy.\Ami, what have I been doing?\It's okay now. Don't worry. You were just having a bad dream.\Good grief. That was awful.\Mamoru! Is it okay for you to get up?\Yeah, I'm completely fine now.\Maybe Mamoru really is Tuxedo Mask.\There's no way this guy can be Tuxedo Mask! response:	Huh? What's this Tuxedo Mask?
context: Ami, what have I been doing?\It's okay now. Don't worry. You were just having a bad dream.\Good grief. That was awful.\Mamoru! Is it okay for you to get up?\Yeah, I'm completely fine now.\Maybe Mamoru really is Tuxedo Mask.\There's no way this guy can be Tuxedo Mask!\Huh? What's this Tuxedo Mask? response:	Oh, no, it's nothing at all.
context: It's okay now. Don't worry. You were just having a bad dream.\Good grief. That was awful.\Mamoru! Is it okay for you to get up?\Yeah, I'm completely fine now.\Maybe Mamoru really is Tuxedo Mask.\There's no way this guy can be Tuxedo Mask!\Huh? What's this Tuxedo Mask?\Oh, no, it's nothing at all. response:	He has to be! Mamoru is surely Tuxedo Mask.
context: Good grief. That was awful.\Mamoru! Is it okay for you to get up?\Yeah, I'm completely fine now.\Maybe Mamoru really is Tuxedo Mask.\There's no way this guy can be Tuxedo Mask!\Huh? What's this Tuxedo Mask?\Oh, no, it's nothing at all.\He has to be! Mamoru is surely Tuxedo Mask. response:	Oh, Miss Usagi!
context: Mamoru! Is it okay for you to get up?\Yeah, I'm completely fine now.\Maybe Mamoru really is Tuxedo Mask.\There's no way this guy can be Tuxedo Mask!\Huh? What's this Tuxedo Mask?\Oh, no, it's nothing at all.\He has to be! Mamoru is surely Tuxedo Mask.\Oh, Miss Usagi! response:	Oh, Umino...
context: Yeah, I'm completely fine now.\Maybe Mamoru really is Tuxedo Mask.\There's no way this guy can be Tuxedo Mask!\Huh? What's this Tuxedo Mask?\Oh, no, it's nothing at all.\He has to be! Mamoru is surely Tuxedo Mask.\Oh, Miss Usagi!\Oh, Umino... response:	I looked everywhere for you.
context: Maybe Mamoru really is Tuxedo Mask.\There's no way this guy can be Tuxedo Mask!\Huh? What's this Tuxedo Mask?\Oh, no, it's nothing at all.\He has to be! Mamoru is surely Tuxedo Mask.\Oh, Miss Usagi!\Oh, Umino...\I looked everywhere for you. response:	Now, let us continue our date.
context: There's no way this guy can be Tuxedo Mask!\Huh? What's this Tuxedo Mask?\Oh, no, it's nothing at all.\He has to be! Mamoru is surely Tuxedo Mask.\Oh, Miss Usagi!\Oh, Umino...\I looked everywhere for you.\Now, let us continue our date. response:	Umino, don't go making up stories!
context: Huh? What's this Tuxedo Mask?\Oh, no, it's nothing at all.\He has to be! Mamoru is surely Tuxedo Mask.\Oh, Miss Usagi!\Oh, Umino...\I looked everywhere for you.\Now, let us continue our date.\Umino, don't go making up stories! response:	What are you talking about? You're the one who asked me out!
context: Oh, no, it's nothing at all.\He has to be! Mamoru is surely Tuxedo Mask.\Oh, Miss Usagi!\Oh, Umino...\I looked everywhere for you.\Now, let us continue our date.\Umino, don't go making up stories!\What are you talking about? You're the one who asked me out! response:	Really? Good going.
context: He has to be! Mamoru is surely Tuxedo Mask.\Oh, Miss Usagi!\Oh, Umino...\I looked everywhere for you.\Now, let us continue our date.\Umino, don't go making up stories!\What are you talking about? You're the one who asked me out!\Really? Good going. response:	That's not it!
context: Oh, Miss Usagi!\Oh, Umino...\I looked everywhere for you.\Now, let us continue our date.\Umino, don't go making up stories!\What are you talking about? You're the one who asked me out!\Really? Good going.\That's not it! response:	I'm telling you, it's not!
context: Oh, Umino...\I looked everywhere for you.\Now, let us continue our date.\Umino, don't go making up stories!\What are you talking about? You're the one who asked me out!\Really? Good going.\That's not it!\I'm telling you, it's not! response:	In my dream, you and I were together
context: I looked everywhere for you.\Now, let us continue our date.\Umino, don't go making up stories!\What are you talking about? You're the one who asked me out!\Really? Good going.\That's not it!\I'm telling you, it's not!\In my dream, you and I were together response:	Protected by the stars
context: Now, let us continue our date.\Umino, don't go making up stories!\What are you talking about? You're the one who asked me out!\Really? Good going.\That's not it!\I'm telling you, it's not!\In my dream, you and I were together\Protected by the stars response:	When we were friends, it didn't bother us
context: Umino, don't go making up stories!\What are you talking about? You're the one who asked me out!\Really? Good going.\That's not it!\I'm telling you, it's not!\In my dream, you and I were together\Protected by the stars\When we were friends, it didn't bother us response:	And we casually talked to each other
context: What are you talking about? You're the one who asked me out!\Really? Good going.\That's not it!\I'm telling you, it's not!\In my dream, you and I were together\Protected by the stars\When we were friends, it didn't bother us\And we casually talked to each other response:	But there was a moment when I noticed only you
context: Really? Good going.\That's not it!\I'm telling you, it's not!\In my dream, you and I were together\Protected by the stars\When we were friends, it didn't bother us\And we casually talked to each other\But there was a moment when I noticed only you response:	I want to become prettier right here and now
context: That's not it!\I'm telling you, it's not!\In my dream, you and I were together\Protected by the stars\When we were friends, it didn't bother us\And we casually talked to each other\But there was a moment when I noticed only you\I want to become prettier right here and now response:	Something changes when you fall in love
context: I'm telling you, it's not!\In my dream, you and I were together\Protected by the stars\When we were friends, it didn't bother us\And we casually talked to each other\But there was a moment when I noticed only you\I want to become prettier right here and now\Something changes when you fall in love response:	I close my eyes and check to make sure
context: In my dream, you and I were together\Protected by the stars\When we were friends, it didn't bother us\And we casually talked to each other\But there was a moment when I noticed only you\I want to become prettier right here and now\Something changes when you fall in love\I close my eyes and check to make sure response:	I want to convey the thrill I felt when we held each other
