context: I thought you'd be back before us. response:	What are you doing?
context: Too easy. The Yugyo-ji Temple Slope.\Correct.\Yeah!\What else? What else you got?\Oh, uh...\King seems to be doing well.\When he mentioned the Ekiden in his afternoon interview,\it was apparently received very well. response:	It's working for him.
context: Correct.\Yeah!\What else? What else you got?\Oh, uh...\King seems to be doing well.\When he mentioned the Ekiden in his afternoon interview,\it was apparently received very well.\It's working for him. response:	Thanks for the food.
context: Yeah!\What else? What else you got?\Oh, uh...\King seems to be doing well.\When he mentioned the Ekiden in his afternoon interview,\it was apparently received very well.\It's working for him.\Thanks for the food. response:	That was quick. Did you get enough to eat?
context: What else? What else you got?\Oh, uh...\King seems to be doing well.\When he mentioned the Ekiden in his afternoon interview,\it was apparently received very well.\It's working for him.\Thanks for the food.\That was quick. Did you get enough to eat? response:	Sure I did.
context: Oh, uh...\King seems to be doing well.\When he mentioned the Ekiden in his afternoon interview,\it was apparently received very well.\It's working for him.\Thanks for the food.\That was quick. Did you get enough to eat?\Sure I did. response:	Food tastes better since I stopped smoking.
context: King seems to be doing well.\When he mentioned the Ekiden in his afternoon interview,\it was apparently received very well.\It's working for him.\Thanks for the food.\That was quick. Did you get enough to eat?\Sure I did.\Food tastes better since I stopped smoking. response:	It's important to let your muscles rest.
context: When he mentioned the Ekiden in his afternoon interview,\it was apparently received very well.\It's working for him.\Thanks for the food.\That was quick. Did you get enough to eat?\Sure I did.\Food tastes better since I stopped smoking.\It's important to let your muscles rest. response:	I'm fine. I got plenty of rest this past month.
context: it was apparently received very well.\It's working for him.\Thanks for the food.\That was quick. Did you get enough to eat?\Sure I did.\Food tastes better since I stopped smoking.\It's important to let your muscles rest.\I'm fine. I got plenty of rest this past month. response:	Lead the team with him.
context: It's working for him.\Thanks for the food.\That was quick. Did you get enough to eat?\Sure I did.\Food tastes better since I stopped smoking.\It's important to let your muscles rest.\I'm fine. I got plenty of rest this past month.\Lead the team with him. response:	With him?
context: Thanks for the food.\That was quick. Did you get enough to eat?\Sure I did.\Food tastes better since I stopped smoking.\It's important to let your muscles rest.\I'm fine. I got plenty of rest this past month.\Lead the team with him.\With him? response:	Aren't you going for Hakone?
context: That was quick. Did you get enough to eat?\Sure I did.\Food tastes better since I stopped smoking.\It's important to let your muscles rest.\I'm fine. I got plenty of rest this past month.\Lead the team with him.\With him?\Aren't you going for Hakone? response:	Oh, right. Prince.
context: Sure I did.\Food tastes better since I stopped smoking.\It's important to let your muscles rest.\I'm fine. I got plenty of rest this past month.\Lead the team with him.\With him?\Aren't you going for Hakone?\Oh, right. Prince. response:	The twins told me you were looking for a treadmill.
context: Food tastes better since I stopped smoking.\It's important to let your muscles rest.\I'm fine. I got plenty of rest this past month.\Lead the team with him.\With him?\Aren't you going for Hakone?\Oh, right. Prince.\The twins told me you were looking for a treadmill. response:	Yes.
context: It's important to let your muscles rest.\I'm fine. I got plenty of rest this past month.\Lead the team with him.\With him?\Aren't you going for Hakone?\Oh, right. Prince.\The twins told me you were looking for a treadmill.\Yes. response:	My family's got one they don't use.
context: I'm fine. I got plenty of rest this past month.\Lead the team with him.\With him?\Aren't you going for Hakone?\Oh, right. Prince.\The twins told me you were looking for a treadmill.\Yes.\My family's got one they don't use. response:	I'll have them ship it here.
context: Lead the team with him.\With him?\Aren't you going for Hakone?\Oh, right. Prince.\The twins told me you were looking for a treadmill.\Yes.\My family's got one they don't use.\I'll have them ship it here. response:	What?!
context: With him?\Aren't you going for Hakone?\Oh, right. Prince.\The twins told me you were looking for a treadmill.\Yes.\My family's got one they don't use.\I'll have them ship it here.\What?! response:	You should've said so sooner!
context: Aren't you going for Hakone?\Oh, right. Prince.\The twins told me you were looking for a treadmill.\Yes.\My family's got one they don't use.\I'll have them ship it here.\What?!\You should've said so sooner! response:	That's great, Prince.
context: Oh, right. Prince.\The twins told me you were looking for a treadmill.\Yes.\My family's got one they don't use.\I'll have them ship it here.\What?!\You should've said so sooner!\That's great, Prince. response:	Is... Is such a miracle possible?!
context: The twins told me you were looking for a treadmill.\Yes.\My family's got one they don't use.\I'll have them ship it here.\What?!\You should've said so sooner!\That's great, Prince.\Is... Is such a miracle possible?! response:	They're keeping it in the shed. They were going to throw it away.
context: Yes.\My family's got one they don't use.\I'll have them ship it here.\What?!\You should've said so sooner!\That's great, Prince.\Is... Is such a miracle possible?!\They're keeping it in the shed. They were going to throw it away. response:	Oh, god!
context: My family's got one they don't use.\I'll have them ship it here.\What?!\You should've said so sooner!\That's great, Prince.\Is... Is such a miracle possible?!\They're keeping it in the shed. They were going to throw it away.\Oh, god! response:	What's wrong?
context: I'll have them ship it here.\What?!\You should've said so sooner!\That's great, Prince.\Is... Is such a miracle possible?!\They're keeping it in the shed. They were going to throw it away.\Oh, god!\What's wrong? response:	Nothing. When one door shuts, another opens.
context: What?!\You should've said so sooner!\That's great, Prince.\Is... Is such a miracle possible?!\They're keeping it in the shed. They were going to throw it away.\Oh, god!\What's wrong?\Nothing. When one door shuts, another opens. response:	That's not quite right.
context: You should've said so sooner!\That's great, Prince.\Is... Is such a miracle possible?!\They're keeping it in the shed. They were going to throw it away.\Oh, god!\What's wrong?\Nothing. When one door shuts, another opens.\That's not quite right. response:	Oh, God!
context: That's great, Prince.\Is... Is such a miracle possible?!\They're keeping it in the shed. They were going to throw it away.\Oh, god!\What's wrong?\Nothing. When one door shuts, another opens.\That's not quite right.\Oh, God! response:	Ogre Shipping
context: Is... Is such a miracle possible?!\They're keeping it in the shed. They were going to throw it away.\Oh, god!\What's wrong?\Nothing. When one door shuts, another opens.\That's not quite right.\Oh, God!\Ogre Shipping response:	Chikusei-so
context: They're keeping it in the shed. They were going to throw it away.\Oh, god!\What's wrong?\Nothing. When one door shuts, another opens.\That's not quite right.\Oh, God!\Ogre Shipping\Chikusei-so response:	My alphabetical order, my alphabetical order...
context: Oh, god!\What's wrong?\Nothing. When one door shuts, another opens.\That's not quite right.\Oh, God!\Ogre Shipping\Chikusei-so\My alphabetical order, my alphabetical order... response:	This is surprisingly new.
context: What's wrong?\Nothing. When one door shuts, another opens.\That's not quite right.\Oh, God!\Ogre Shipping\Chikusei-so\My alphabetical order, my alphabetical order...\This is surprisingly new. response:	And it's free?
context: Nothing. When one door shuts, another opens.\That's not quite right.\Oh, God!\Ogre Shipping\Chikusei-so\My alphabetical order, my alphabetical order...\This is surprisingly new.\And it's free? response:	You got a great deal, Prince.
context: That's not quite right.\Oh, God!\Ogre Shipping\Chikusei-so\My alphabetical order, my alphabetical order...\This is surprisingly new.\And it's free?\You got a great deal, Prince. response:	Let's turn it on!
context: Oh, God!\Ogre Shipping\Chikusei-so\My alphabetical order, my alphabetical order...\This is surprisingly new.\And it's free?\You got a great deal, Prince.\Let's turn it on! response:	I-It's too fast! Slow it down!
context: Ogre Shipping\Chikusei-so\My alphabetical order, my alphabetical order...\This is surprisingly new.\And it's free?\You got a great deal, Prince.\Let's turn it on!\I-It's too fast! Slow it down! response:	I can't! I can't!
context: Chikusei-so\My alphabetical order, my alphabetical order...\This is surprisingly new.\And it's free?\You got a great deal, Prince.\Let's turn it on!\I-It's too fast! Slow it down!\I can't! I can't! response:	Wow! I've never seen Prince move so much!
context: My alphabetical order, my alphabetical order...\This is surprisingly new.\And it's free?\You got a great deal, Prince.\Let's turn it on!\I-It's too fast! Slow it down!\I can't! I can't!\Wow! I've never seen Prince move so much! response:	I can't do this!
context: This is surprisingly new.\And it's free?\You got a great deal, Prince.\Let's turn it on!\I-It's too fast! Slow it down!\I can't! I can't!\Wow! I've never seen Prince move so much!\I can't do this! response:	Wow! Oh, wow!
context: And it's free?\You got a great deal, Prince.\Let's turn it on!\I-It's too fast! Slow it down!\I can't! I can't!\Wow! I've never seen Prince move so much!\I can't do this!\Wow! Oh, wow! response:	What is that sound?
context: You got a great deal, Prince.\Let's turn it on!\I-It's too fast! Slow it down!\I can't! I can't!\Wow! I've never seen Prince move so much!\I can't do this!\Wow! Oh, wow!\What is that sound? response:	I'm going to the field.
context: Let's turn it on!\I-It's too fast! Slow it down!\I can't! I can't!\Wow! I've never seen Prince move so much!\I can't do this!\Wow! Oh, wow!\What is that sound?\I'm going to the field. response:	Damn it.
context: I-It's too fast! Slow it down!\I can't! I can't!\Wow! I've never seen Prince move so much!\I can't do this!\Wow! Oh, wow!\What is that sound?\I'm going to the field.\Damn it. response:	You can do it!
context: I can't! I can't!\Wow! I've never seen Prince move so much!\I can't do this!\Wow! Oh, wow!\What is that sound?\I'm going to the field.\Damn it.\You can do it! response:	Keep it up!
context: Wow! I've never seen Prince move so much!\I can't do this!\Wow! Oh, wow!\What is that sound?\I'm going to the field.\Damn it.\You can do it!\Keep it up! response:	Two weeks until the next meet, huh?
context: I can't do this!\Wow! Oh, wow!\What is that sound?\I'm going to the field.\Damn it.\You can do it!\Keep it up!\Two weeks until the next meet, huh? response:	How are you feeling?
context: Wow! Oh, wow!\What is that sound?\I'm going to the field.\Damn it.\You can do it!\Keep it up!\Two weeks until the next meet, huh?\How are you feeling? response:	What is this? An interview?
context: What is that sound?\I'm going to the field.\Damn it.\You can do it!\Keep it up!\Two weeks until the next meet, huh?\How are you feeling?\What is this? An interview? response:	I'm getting into shape right now.
context: I'm going to the field.\Damn it.\You can do it!\Keep it up!\Two weeks until the next meet, huh?\How are you feeling?\What is this? An interview?\I'm getting into shape right now. response:	1402.
context: Damn it.\You can do it!\Keep it up!\Two weeks until the next meet, huh?\How are you feeling?\What is this? An interview?\I'm getting into shape right now.\1402. response:	That's crazy fast.
context: You can do it!\Keep it up!\Two weeks until the next meet, huh?\How are you feeling?\What is this? An interview?\I'm getting into shape right now.\1402.\That's crazy fast. response:	Okay.
context: Keep it up!\Two weeks until the next meet, huh?\How are you feeling?\What is this? An interview?\I'm getting into shape right now.\1402.\That's crazy fast.\Okay. response:	Joji, don't give up! You can pass him!
context: Two weeks until the next meet, huh?\How are you feeling?\What is this? An interview?\I'm getting into shape right now.\1402.\That's crazy fast.\Okay.\Joji, don't give up! You can pass him! response:	Wait. Are you sure that's right?
context: How are you feeling?\What is this? An interview?\I'm getting into shape right now.\1402.\That's crazy fast.\Okay.\Joji, don't give up! You can pass him!\Wait. Are you sure that's right? response:	Huh?
context: What is this? An interview?\I'm getting into shape right now.\1402.\That's crazy fast.\Okay.\Joji, don't give up! You can pass him!\Wait. Are you sure that's right?\Huh? response:	50:02? I don't think that's possible.
context: I'm getting into shape right now.\1402.\That's crazy fast.\Okay.\Joji, don't give up! You can pass him!\Wait. Are you sure that's right?\Huh?\50:02? I don't think that's possible. response:	What? But...
context: 1402.\That's crazy fast.\Okay.\Joji, don't give up! You can pass him!\Wait. Are you sure that's right?\Huh?\50:02? I don't think that's possible.\What? But... response:	That's the same as two weeks ago!
context: That's crazy fast.\Okay.\Joji, don't give up! You can pass him!\Wait. Are you sure that's right?\Huh?\50:02? I don't think that's possible.\What? But...\That's the same as two weeks ago! response:	It doesn't make sense!
context: Okay.\Joji, don't give up! You can pass him!\Wait. Are you sure that's right?\Huh?\50:02? I don't think that's possible.\What? But...\That's the same as two weeks ago!\It doesn't make sense! response:	What's his problem?
context: Joji, don't give up! You can pass him!\Wait. Are you sure that's right?\Huh?\50:02? I don't think that's possible.\What? But...\That's the same as two weeks ago!\It doesn't make sense!\What's his problem? response:	Fine.
context: Wait. Are you sure that's right?\Huh?\50:02? I don't think that's possible.\What? But...\That's the same as two weeks ago!\It doesn't make sense!\What's his problem?\Fine. response:	I'll run it again. Time it correctly this time.
context: Huh?\50:02? I don't think that's possible.\What? But...\That's the same as two weeks ago!\It doesn't make sense!\What's his problem?\Fine.\I'll run it again. Time it correctly this time. response:	Kakeru!
context: 50:02? I don't think that's possible.\What? But...\That's the same as two weeks ago!\It doesn't make sense!\What's his problem?\Fine.\I'll run it again. Time it correctly this time.\Kakeru! response:	Keep to the schedule.
context: What? But...\That's the same as two weeks ago!\It doesn't make sense!\What's his problem?\Fine.\I'll run it again. Time it correctly this time.\Kakeru!\Keep to the schedule. response:	And Hana's times are accurate.
context: That's the same as two weeks ago!\It doesn't make sense!\What's his problem?\Fine.\I'll run it again. Time it correctly this time.\Kakeru!\Keep to the schedule.\And Hana's times are accurate. response:	Sorry.
context: It doesn't make sense!\What's his problem?\Fine.\I'll run it again. Time it correctly this time.\Kakeru!\Keep to the schedule.\And Hana's times are accurate.\Sorry. response:	What?
context: What's his problem?\Fine.\I'll run it again. Time it correctly this time.\Kakeru!\Keep to the schedule.\And Hana's times are accurate.\Sorry.\What? response:	You don't need to run at the next meet.
context: Fine.\I'll run it again. Time it correctly this time.\Kakeru!\Keep to the schedule.\And Hana's times are accurate.\Sorry.\What?\You don't need to run at the next meet. response:	Only the members who haven't achieved official records will attend.
context: I'll run it again. Time it correctly this time.\Kakeru!\Keep to the schedule.\And Hana's times are accurate.\Sorry.\What?\You don't need to run at the next meet.\Only the members who haven't achieved official records will attend. response:	Why?
context: Kakeru!\Keep to the schedule.\And Hana's times are accurate.\Sorry.\What?\You don't need to run at the next meet.\Only the members who haven't achieved official records will attend.\Why? response:	Is it because my time hasn't improved?
context: Keep to the schedule.\And Hana's times are accurate.\Sorry.\What?\You don't need to run at the next meet.\Only the members who haven't achieved official records will attend.\Why?\Is it because my time hasn't improved? response:	In that case, it's better that I run.
context: And Hana's times are accurate.\Sorry.\What?\You don't need to run at the next meet.\Only the members who haven't achieved official records will attend.\Why?\Is it because my time hasn't improved?\In that case, it's better that I run. response:	If I run, I can get back in shape.
context: Sorry.\What?\You don't need to run at the next meet.\Only the members who haven't achieved official records will attend.\Why?\Is it because my time hasn't improved?\In that case, it's better that I run.\If I run, I can get back in shape. response:	It's pointless.
context: What?\You don't need to run at the next meet.\Only the members who haven't achieved official records will attend.\Why?\Is it because my time hasn't improved?\In that case, it's better that I run.\If I run, I can get back in shape.\It's pointless. response:	You can't see yourself right now.
context: You don't need to run at the next meet.\Only the members who haven't achieved official records will attend.\Why?\Is it because my time hasn't improved?\In that case, it's better that I run.\If I run, I can get back in shape.\It's pointless.\You can't see yourself right now. response:	Then where can I leave my record?
context: Only the members who haven't achieved official records will attend.\Why?\Is it because my time hasn't improved?\In that case, it's better that I run.\If I run, I can get back in shape.\It's pointless.\You can't see yourself right now.\Then where can I leave my record? response:	There's always more track meets.
context: Why?\Is it because my time hasn't improved?\In that case, it's better that I run.\If I run, I can get back in shape.\It's pointless.\You can't see yourself right now.\Then where can I leave my record?\There's always more track meets. response:	In the first place, we've focused our aim on Hakone
context: Is it because my time hasn't improved?\In that case, it's better that I run.\If I run, I can get back in shape.\It's pointless.\You can't see yourself right now.\Then where can I leave my record?\There's always more track meets.\In the first place, we've focused our aim on Hakone response:	Are you telling me to waste an entire year?
context: In that case, it's better that I run.\If I run, I can get back in shape.\It's pointless.\You can't see yourself right now.\Then where can I leave my record?\There's always more track meets.\In the first place, we've focused our aim on Hakone\Are you telling me to waste an entire year? response:	It'll all be for nothing if I don't leave a record.
context: If I run, I can get back in shape.\It's pointless.\You can't see yourself right now.\Then where can I leave my record?\There's always more track meets.\In the first place, we've focused our aim on Hakone\Are you telling me to waste an entire year?\It'll all be for nothing if I don't leave a record. response:	Are records everything?
context: It's pointless.\You can't see yourself right now.\Then where can I leave my record?\There's always more track meets.\In the first place, we've focused our aim on Hakone\Are you telling me to waste an entire year?\It'll all be for nothing if I don't leave a record.\Are records everything? response:	What?
context: You can't see yourself right now.\Then where can I leave my record?\There's always more track meets.\In the first place, we've focused our aim on Hakone\Are you telling me to waste an entire year?\It'll all be for nothing if I don't leave a record.\Are records everything?\What? response:	Is running for you all about speed and abandoning those who fall behind?
context: Then where can I leave my record?\There's always more track meets.\In the first place, we've focused our aim on Hakone\Are you telling me to waste an entire year?\It'll all be for nothing if I don't leave a record.\Are records everything?\What?\Is running for you all about speed and abandoning those who fall behind? response:	We're competing.
context: There's always more track meets.\In the first place, we've focused our aim on Hakone\Are you telling me to waste an entire year?\It'll all be for nothing if I don't leave a record.\Are records everything?\What?\Is running for you all about speed and abandoning those who fall behind?\We're competing. response:	We're not even guaranteed to run in the Hakone Ekiden qualifier.
context: In the first place, we've focused our aim on Hakone\Are you telling me to waste an entire year?\It'll all be for nothing if I don't leave a record.\Are records everything?\What?\Is running for you all about speed and abandoning those who fall behind?\We're competing.\We're not even guaranteed to run in the Hakone Ekiden qualifier. response:	Matching their half-assed speed won't make me any faster.
context: Are you telling me to waste an entire year?\It'll all be for nothing if I don't leave a record.\Are records everything?\What?\Is running for you all about speed and abandoning those who fall behind?\We're competing.\We're not even guaranteed to run in the Hakone Ekiden qualifier.\Matching their half-assed speed won't make me any faster. response:	No one here is running half-assed!
context: It'll all be for nothing if I don't leave a record.\Are records everything?\What?\Is running for you all about speed and abandoning those who fall behind?\We're competing.\We're not even guaranteed to run in the Hakone Ekiden qualifier.\Matching their half-assed speed won't make me any faster.\No one here is running half-assed! response:	Why won't you try to acknowledge that everyone's trying their best?
context: Are records everything?\What?\Is running for you all about speed and abandoning those who fall behind?\We're competing.\We're not even guaranteed to run in the Hakone Ekiden qualifier.\Matching their half-assed speed won't make me any faster.\No one here is running half-assed!\Why won't you try to acknowledge that everyone's trying their best? response:	Is it because they're slower than you?
context: What?\Is running for you all about speed and abandoning those who fall behind?\We're competing.\We're not even guaranteed to run in the Hakone Ekiden qualifier.\Matching their half-assed speed won't make me any faster.\No one here is running half-assed!\Why won't you try to acknowledge that everyone's trying their best?\Is it because they're slower than you? response:	Is speed the only thing that matters to you?
context: Is running for you all about speed and abandoning those who fall behind?\We're competing.\We're not even guaranteed to run in the Hakone Ekiden qualifier.\Matching their half-assed speed won't make me any faster.\No one here is running half-assed!\Why won't you try to acknowledge that everyone's trying their best?\Is it because they're slower than you?\Is speed the only thing that matters to you? response:	Then there's no reason to run.
context: We're competing.\We're not even guaranteed to run in the Hakone Ekiden qualifier.\Matching their half-assed speed won't make me any faster.\No one here is running half-assed!\Why won't you try to acknowledge that everyone's trying their best?\Is it because they're slower than you?\Is speed the only thing that matters to you?\Then there's no reason to run. response:	Ride a bullet train. Ride a plane.
context: We're not even guaranteed to run in the Hakone Ekiden qualifier.\Matching their half-assed speed won't make me any faster.\No one here is running half-assed!\Why won't you try to acknowledge that everyone's trying their best?\Is it because they're slower than you?\Is speed the only thing that matters to you?\Then there's no reason to run.\Ride a bullet train. Ride a plane. response:	They're faster.
context: Matching their half-assed speed won't make me any faster.\No one here is running half-assed!\Why won't you try to acknowledge that everyone's trying their best?\Is it because they're slower than you?\Is speed the only thing that matters to you?\Then there's no reason to run.\Ride a bullet train. Ride a plane.\They're faster. response:	Wake up, Kakeru.
context: No one here is running half-assed!\Why won't you try to acknowledge that everyone's trying their best?\Is it because they're slower than you?\Is speed the only thing that matters to you?\Then there's no reason to run.\Ride a bullet train. Ride a plane.\They're faster.\Wake up, Kakeru. response:	It's not enough to just chase speed.
context: Why won't you try to acknowledge that everyone's trying their best?\Is it because they're slower than you?\Is speed the only thing that matters to you?\Then there's no reason to run.\Ride a bullet train. Ride a plane.\They're faster.\Wake up, Kakeru.\It's not enough to just chase speed. response:	It's... futile.
context: Is it because they're slower than you?\Is speed the only thing that matters to you?\Then there's no reason to run.\Ride a bullet train. Ride a plane.\They're faster.\Wake up, Kakeru.\It's not enough to just chase speed.\It's... futile. response:	What?
context: Is speed the only thing that matters to you?\Then there's no reason to run.\Ride a bullet train. Ride a plane.\They're faster.\Wake up, Kakeru.\It's not enough to just chase speed.\It's... futile.\What? response:	Are you guys fighting?
context: Then there's no reason to run.\Ride a bullet train. Ride a plane.\They're faster.\Wake up, Kakeru.\It's not enough to just chase speed.\It's... futile.\What?\Are you guys fighting? response:	You weren't sleeping?
context: Ride a bullet train. Ride a plane.\They're faster.\Wake up, Kakeru.\It's not enough to just chase speed.\It's... futile.\What?\Are you guys fighting?\You weren't sleeping? response:	I got thirsty.
context: They're faster.\Wake up, Kakeru.\It's not enough to just chase speed.\It's... futile.\What?\Are you guys fighting?\You weren't sleeping?\I got thirsty. response:	Excuse me.
context: Wake up, Kakeru.\It's not enough to just chase speed.\It's... futile.\What?\Are you guys fighting?\You weren't sleeping?\I got thirsty.\Excuse me. response:	Kakeru. We're not done talking.
context: It's not enough to just chase speed.\It's... futile.\What?\Are you guys fighting?\You weren't sleeping?\I got thirsty.\Excuse me.\Kakeru. We're not done talking. response:	Prince.
context: It's... futile.\What?\Are you guys fighting?\You weren't sleeping?\I got thirsty.\Excuse me.\Kakeru. We're not done talking.\Prince. response:	If you're only able to achieve the same time at the next meet,
context: What?\Are you guys fighting?\You weren't sleeping?\I got thirsty.\Excuse me.\Kakeru. We're not done talking.\Prince.\If you're only able to achieve the same time at the next meet, response:	will you quit the team?
context: Are you guys fighting?\You weren't sleeping?\I got thirsty.\Excuse me.\Kakeru. We're not done talking.\Prince.\If you're only able to achieve the same time at the next meet,\will you quit the team? response:	What?
context: You weren't sleeping?\I got thirsty.\Excuse me.\Kakeru. We're not done talking.\Prince.\If you're only able to achieve the same time at the next meet,\will you quit the team?\What? response:	Please. For the team.
context: I got thirsty.\Excuse me.\Kakeru. We're not done talking.\Prince.\If you're only able to achieve the same time at the next meet,\will you quit the team?\What?\Please. For the team. response:	Next time: Mismatched Runners.
context: Excuse me.\Kakeru. We're not done talking.\Prince.\If you're only able to achieve the same time at the next meet,\will you quit the team?\What?\Please. For the team.\Next time: Mismatched Runners. response:	Mismatched Runners
