context: Pathetic. response:	Pathetic, pathetic, pathetic!
context: Well, no matter.\I have slain my true target. I shall call it a day.\Anyway, I'm getting soot all over me.\This means your lives are worth less to me than soot.\You have no time to waste, though.\I shall produce the Grail right away, and open a hole leading to Hell.\Saber, if you wish to recover it, act swiftly.\This time, the Grail is a hasty affair, riddled with defects. response:	Be quick about it,
context: I have slain my true target. I shall call it a day.\Anyway, I'm getting soot all over me.\This means your lives are worth less to me than soot.\You have no time to waste, though.\I shall produce the Grail right away, and open a hole leading to Hell.\Saber, if you wish to recover it, act swiftly.\This time, the Grail is a hasty affair, riddled with defects.\Be quick about it, response:	or its contents will drain out completely.
context: Anyway, I'm getting soot all over me.\This means your lives are worth less to me than soot.\You have no time to waste, though.\I shall produce the Grail right away, and open a hole leading to Hell.\Saber, if you wish to recover it, act swiftly.\This time, the Grail is a hasty affair, riddled with defects.\Be quick about it,\or its contents will drain out completely. response:	Crap... Everyone keeps getting in my way!
context: This means your lives are worth less to me than soot.\You have no time to waste, though.\I shall produce the Grail right away, and open a hole leading to Hell.\Saber, if you wish to recover it, act swiftly.\This time, the Grail is a hasty affair, riddled with defects.\Be quick about it,\or its contents will drain out completely.\Crap... Everyone keeps getting in my way! response:	You!
context: You have no time to waste, though.\I shall produce the Grail right away, and open a hole leading to Hell.\Saber, if you wish to recover it, act swiftly.\This time, the Grail is a hasty affair, riddled with defects.\Be quick about it,\or its contents will drain out completely.\Crap... Everyone keeps getting in my way!\You! response:	You are injured. I see that you have taken an active role, Shinji.
context: I shall produce the Grail right away, and open a hole leading to Hell.\Saber, if you wish to recover it, act swiftly.\This time, the Grail is a hasty affair, riddled with defects.\Be quick about it,\or its contents will drain out completely.\Crap... Everyone keeps getting in my way!\You!\You are injured. I see that you have taken an active role, Shinji. response:	Whose fault do you think that is?
context: Saber, if you wish to recover it, act swiftly.\This time, the Grail is a hasty affair, riddled with defects.\Be quick about it,\or its contents will drain out completely.\Crap... Everyone keeps getting in my way!\You!\You are injured. I see that you have taken an active role, Shinji.\Whose fault do you think that is? response:	I got stabbed by Lancer because you're such a useless dumbass!
context: This time, the Grail is a hasty affair, riddled with defects.\Be quick about it,\or its contents will drain out completely.\Crap... Everyone keeps getting in my way!\You!\You are injured. I see that you have taken an active role, Shinji.\Whose fault do you think that is?\I got stabbed by Lancer because you're such a useless dumbass! response:	So that is why that girl was still alive.
context: Be quick about it,\or its contents will drain out completely.\Crap... Everyone keeps getting in my way!\You!\You are injured. I see that you have taken an active role, Shinji.\Whose fault do you think that is?\I got stabbed by Lancer because you're such a useless dumbass!\So that is why that girl was still alive. response:	What of Kotomine?
context: or its contents will drain out completely.\Crap... Everyone keeps getting in my way!\You!\You are injured. I see that you have taken an active role, Shinji.\Whose fault do you think that is?\I got stabbed by Lancer because you're such a useless dumbass!\So that is why that girl was still alive.\What of Kotomine? response:	Dead and gone!
context: Crap... Everyone keeps getting in my way!\You!\You are injured. I see that you have taken an active role, Shinji.\Whose fault do you think that is?\I got stabbed by Lancer because you're such a useless dumbass!\So that is why that girl was still alive.\What of Kotomine?\Dead and gone! response:	Tohsaka slipped through my fingers
context: You!\You are injured. I see that you have taken an active role, Shinji.\Whose fault do you think that is?\I got stabbed by Lancer because you're such a useless dumbass!\So that is why that girl was still alive.\What of Kotomine?\Dead and gone!\Tohsaka slipped through my fingers response:	because you and that priest are both worthless scum!
context: You are injured. I see that you have taken an active role, Shinji.\Whose fault do you think that is?\I got stabbed by Lancer because you're such a useless dumbass!\So that is why that girl was still alive.\What of Kotomine?\Dead and gone!\Tohsaka slipped through my fingers\because you and that priest are both worthless scum! response:	I see.
context: Whose fault do you think that is?\I got stabbed by Lancer because you're such a useless dumbass!\So that is why that girl was still alive.\What of Kotomine?\Dead and gone!\Tohsaka slipped through my fingers\because you and that priest are both worthless scum!\I see. response:	That is a pity.
context: I got stabbed by Lancer because you're such a useless dumbass!\So that is why that girl was still alive.\What of Kotomine?\Dead and gone!\Tohsaka slipped through my fingers\because you and that priest are both worthless scum!\I see.\That is a pity. response:	You bet your ass it is!
context: So that is why that girl was still alive.\What of Kotomine?\Dead and gone!\Tohsaka slipped through my fingers\because you and that priest are both worthless scum!\I see.\That is a pity.\You bet your ass it is! response:	Didn't you say that we couldn't get the Grail without Tohsaka?
context: What of Kotomine?\Dead and gone!\Tohsaka slipped through my fingers\because you and that priest are both worthless scum!\I see.\That is a pity.\You bet your ass it is!\Didn't you say that we couldn't get the Grail without Tohsaka? response:	Calm yourself. I can produce the Grail.
context: Dead and gone!\Tohsaka slipped through my fingers\because you and that priest are both worthless scum!\I see.\That is a pity.\You bet your ass it is!\Didn't you say that we couldn't get the Grail without Tohsaka?\Calm yourself. I can produce the Grail. response:	Produce it how?
context: Tohsaka slipped through my fingers\because you and that priest are both worthless scum!\I see.\That is a pity.\You bet your ass it is!\Didn't you say that we couldn't get the Grail without Tohsaka?\Calm yourself. I can produce the Grail.\Produce it how? response:	The priest said that, even if you have the Grail, you need a vessel.
context: because you and that priest are both worthless scum!\I see.\That is a pity.\You bet your ass it is!\Didn't you say that we couldn't get the Grail without Tohsaka?\Calm yourself. I can produce the Grail.\Produce it how?\The priest said that, even if you have the Grail, you need a vessel. response:	He said it wouldn't work unless you had someone for a sacrifice!
context: I see.\That is a pity.\You bet your ass it is!\Didn't you say that we couldn't get the Grail without Tohsaka?\Calm yourself. I can produce the Grail.\Produce it how?\The priest said that, even if you have the Grail, you need a vessel.\He said it wouldn't work unless you had someone for a sacrifice! response:	That is not an issue.
context: That is a pity.\You bet your ass it is!\Didn't you say that we couldn't get the Grail without Tohsaka?\Calm yourself. I can produce the Grail.\Produce it how?\The priest said that, even if you have the Grail, you need a vessel.\He said it wouldn't work unless you had someone for a sacrifice!\That is not an issue. response:	We have another Master right here who can serve as an anchor, correct?
context: You bet your ass it is!\Didn't you say that we couldn't get the Grail without Tohsaka?\Calm yourself. I can produce the Grail.\Produce it how?\The priest said that, even if you have the Grail, you need a vessel.\He said it wouldn't work unless you had someone for a sacrifice!\That is not an issue.\We have another Master right here who can serve as an anchor, correct? response:	You desire the Grail, don't you? Then I shall give it to you.
context: Didn't you say that we couldn't get the Grail without Tohsaka?\Calm yourself. I can produce the Grail.\Produce it how?\The priest said that, even if you have the Grail, you need a vessel.\He said it wouldn't work unless you had someone for a sacrifice!\That is not an issue.\We have another Master right here who can serve as an anchor, correct?\You desire the Grail, don't you? Then I shall give it to you. response:	When something is important, never let it out of your grasp.
context: Calm yourself. I can produce the Grail.\Produce it how?\The priest said that, even if you have the Grail, you need a vessel.\He said it wouldn't work unless you had someone for a sacrifice!\That is not an issue.\We have another Master right here who can serve as an anchor, correct?\You desire the Grail, don't you? Then I shall give it to you.\When something is important, never let it out of your grasp. response:	How unsightly...
context: Produce it how?\The priest said that, even if you have the Grail, you need a vessel.\He said it wouldn't work unless you had someone for a sacrifice!\That is not an issue.\We have another Master right here who can serve as an anchor, correct?\You desire the Grail, don't you? Then I shall give it to you.\When something is important, never let it out of your grasp.\How unsightly... response:	Still, ugly things tend to be all the more delicious.
context: The priest said that, even if you have the Grail, you need a vessel.\He said it wouldn't work unless you had someone for a sacrifice!\That is not an issue.\We have another Master right here who can serve as an anchor, correct?\You desire the Grail, don't you? Then I shall give it to you.\When something is important, never let it out of your grasp.\How unsightly...\Still, ugly things tend to be all the more delicious. response:	What matters is that someone like you will belch forth fine mud indeed.
context: He said it wouldn't work unless you had someone for a sacrifice!\That is not an issue.\We have another Master right here who can serve as an anchor, correct?\You desire the Grail, don't you? Then I shall give it to you.\When something is important, never let it out of your grasp.\How unsightly...\Still, ugly things tend to be all the more delicious.\What matters is that someone like you will belch forth fine mud indeed. response:	Right, Shinji?
context: That is not an issue.\We have another Master right here who can serve as an anchor, correct?\You desire the Grail, don't you? Then I shall give it to you.\When something is important, never let it out of your grasp.\How unsightly...\Still, ugly things tend to be all the more delicious.\What matters is that someone like you will belch forth fine mud indeed.\Right, Shinji? response:	It hurts... It hurts. It hurts...
context: We have another Master right here who can serve as an anchor, correct?\You desire the Grail, don't you? Then I shall give it to you.\When something is important, never let it out of your grasp.\How unsightly...\Still, ugly things tend to be all the more delicious.\What matters is that someone like you will belch forth fine mud indeed.\Right, Shinji?\It hurts... It hurts. It hurts... response:	It's spreading... It's spreading!
context: You desire the Grail, don't you? Then I shall give it to you.\When something is important, never let it out of your grasp.\How unsightly...\Still, ugly things tend to be all the more delicious.\What matters is that someone like you will belch forth fine mud indeed.\Right, Shinji?\It hurts... It hurts. It hurts...\It's spreading... It's spreading! response:	Help me... Help me!
context: When something is important, never let it out of your grasp.\How unsightly...\Still, ugly things tend to be all the more delicious.\What matters is that someone like you will belch forth fine mud indeed.\Right, Shinji?\It hurts... It hurts. It hurts...\It's spreading... It's spreading!\Help me... Help me! response:	I'm going to avenge Archer.
context: How unsightly...\Still, ugly things tend to be all the more delicious.\What matters is that someone like you will belch forth fine mud indeed.\Right, Shinji?\It hurts... It hurts. It hurts...\It's spreading... It's spreading!\Help me... Help me!\I'm going to avenge Archer. response:	You're going to create a connection between you and me, to share mana?
context: Still, ugly things tend to be all the more delicious.\What matters is that someone like you will belch forth fine mud indeed.\Right, Shinji?\It hurts... It hurts. It hurts...\It's spreading... It's spreading!\Help me... Help me!\I'm going to avenge Archer.\You're going to create a connection between you and me, to share mana? response:	You have shown me the way.
context: What matters is that someone like you will belch forth fine mud indeed.\Right, Shinji?\It hurts... It hurts. It hurts...\It's spreading... It's spreading!\Help me... Help me!\I'm going to avenge Archer.\You're going to create a connection between you and me, to share mana?\You have shown me the way. response:	This is my most important fight,
context: Right, Shinji?\It hurts... It hurts. It hurts...\It's spreading... It's spreading!\Help me... Help me!\I'm going to avenge Archer.\You're going to create a connection between you and me, to share mana?\You have shown me the way.\This is my most important fight, response:	so I have to commit my most important possession, right?
context: It hurts... It hurts. It hurts...\It's spreading... It's spreading!\Help me... Help me!\I'm going to avenge Archer.\You're going to create a connection between you and me, to share mana?\You have shown me the way.\This is my most important fight,\so I have to commit my most important possession, right? response:	Next Time Winter Days, A Long Way Home
