context: Tsuritama Episode 2 response:	The day I moved to Enoshima,
context: Okay, I got it.\What's this?\It's nothing. Don't do it in front of Yuki.\Okay.\Who do you think's going to suffer if you do that?\Guys like you can't do anything.\What? If you have something to say, say it!\What is this feeling? response:	You don't have to go that far!
context: What's this?\It's nothing. Don't do it in front of Yuki.\Okay.\Who do you think's going to suffer if you do that?\Guys like you can't do anything.\What? If you have something to say, say it!\What is this feeling?\You don't have to go that far! response:	Oh, right. I was frustrated, but...
context: It's nothing. Don't do it in front of Yuki.\Okay.\Who do you think's going to suffer if you do that?\Guys like you can't do anything.\What? If you have something to say, say it!\What is this feeling?\You don't have to go that far!\Oh, right. I was frustrated, but... response:	I might have been winging it.
context: Okay.\Who do you think's going to suffer if you do that?\Guys like you can't do anything.\What? If you have something to say, say it!\What is this feeling?\You don't have to go that far!\Oh, right. I was frustrated, but...\I might have been winging it. response:	Yuki, where are you going?
context: Who do you think's going to suffer if you do that?\Guys like you can't do anything.\What? If you have something to say, say it!\What is this feeling?\You don't have to go that far!\Oh, right. I was frustrated, but...\I might have been winging it.\Yuki, where are you going? response:	Yuki!
context: Guys like you can't do anything.\What? If you have something to say, say it!\What is this feeling?\You don't have to go that far!\Oh, right. I was frustrated, but...\I might have been winging it.\Yuki, where are you going?\Yuki! response:	Yuki, this is hard.
context: What? If you have something to say, say it!\What is this feeling?\You don't have to go that far!\Oh, right. I was frustrated, but...\I might have been winging it.\Yuki, where are you going?\Yuki!\Yuki, this is hard. response:	Shut up and do it.
context: What is this feeling?\You don't have to go that far!\Oh, right. I was frustrated, but...\I might have been winging it.\Yuki, where are you going?\Yuki!\Yuki, this is hard.\Shut up and do it. response:	Yuki.
context: You don't have to go that far!\Oh, right. I was frustrated, but...\I might have been winging it.\Yuki, where are you going?\Yuki!\Yuki, this is hard.\Shut up and do it.\Yuki. response:	You're pissing me off!
context: Oh, right. I was frustrated, but...\I might have been winging it.\Yuki, where are you going?\Yuki!\Yuki, this is hard.\Shut up and do it.\Yuki.\You're pissing me off! response:	What am I doing?
context: I might have been winging it.\Yuki, where are you going?\Yuki!\Yuki, this is hard.\Shut up and do it.\Yuki.\You're pissing me off!\What am I doing? response:	Hey Nii-chan, why do you like that Yuki kid?
context: Yuki, where are you going?\Yuki!\Yuki, this is hard.\Shut up and do it.\Yuki.\You're pissing me off!\What am I doing?\Hey Nii-chan, why do you like that Yuki kid? response:	I don't know, but I like him.
context: Yuki!\Yuki, this is hard.\Shut up and do it.\Yuki.\You're pissing me off!\What am I doing?\Hey Nii-chan, why do you like that Yuki kid?\I don't know, but I like him. response:	He's hopeless.
context: Yuki, this is hard.\Shut up and do it.\Yuki.\You're pissing me off!\What am I doing?\Hey Nii-chan, why do you like that Yuki kid?\I don't know, but I like him.\He's hopeless. response:	He's always making that weird face,
context: Shut up and do it.\Yuki.\You're pissing me off!\What am I doing?\Hey Nii-chan, why do you like that Yuki kid?\I don't know, but I like him.\He's hopeless.\He's always making that weird face, response:	and he breaks his promises.
context: Yuki.\You're pissing me off!\What am I doing?\Hey Nii-chan, why do you like that Yuki kid?\I don't know, but I like him.\He's hopeless.\He's always making that weird face,\and he breaks his promises. response:	I don't think you should fish with him.
context: You're pissing me off!\What am I doing?\Hey Nii-chan, why do you like that Yuki kid?\I don't know, but I like him.\He's hopeless.\He's always making that weird face,\and he breaks his promises.\I don't think you should fish with him. response:	It's okay. I won't bother Yuki.
context: What am I doing?\Hey Nii-chan, why do you like that Yuki kid?\I don't know, but I like him.\He's hopeless.\He's always making that weird face,\and he breaks his promises.\I don't think you should fish with him.\It's okay. I won't bother Yuki. response:	What?
context: Hey Nii-chan, why do you like that Yuki kid?\I don't know, but I like him.\He's hopeless.\He's always making that weird face,\and he breaks his promises.\I don't think you should fish with him.\It's okay. I won't bother Yuki.\What? response:	If I do that, we'll be friends.
context: I don't know, but I like him.\He's hopeless.\He's always making that weird face,\and he breaks his promises.\I don't think you should fish with him.\It's okay. I won't bother Yuki.\What?\If I do that, we'll be friends. response:	If we're friends, I know we can catch it.
context: He's hopeless.\He's always making that weird face,\and he breaks his promises.\I don't think you should fish with him.\It's okay. I won't bother Yuki.\What?\If I do that, we'll be friends.\If we're friends, I know we can catch it. response:	It won't be that easy.
context: He's always making that weird face,\and he breaks his promises.\I don't think you should fish with him.\It's okay. I won't bother Yuki.\What?\If I do that, we'll be friends.\If we're friends, I know we can catch it.\It won't be that easy. response:	All right.
context: and he breaks his promises.\I don't think you should fish with him.\It's okay. I won't bother Yuki.\What?\If I do that, we'll be friends.\If we're friends, I know we can catch it.\It won't be that easy.\All right. response:	This again. Why does this keep happening?
context: I don't think you should fish with him.\It's okay. I won't bother Yuki.\What?\If I do that, we'll be friends.\If we're friends, I know we can catch it.\It won't be that easy.\All right.\This again. Why does this keep happening? response:	No. This'll break right away.
context: It's okay. I won't bother Yuki.\What?\If I do that, we'll be friends.\If we're friends, I know we can catch it.\It won't be that easy.\All right.\This again. Why does this keep happening?\No. This'll break right away. response:	What am I supposed to do, then?
context: What?\If I do that, we'll be friends.\If we're friends, I know we can catch it.\It won't be that easy.\All right.\This again. Why does this keep happening?\No. This'll break right away.\What am I supposed to do, then? response:	Could it be?
context: If I do that, we'll be friends.\If we're friends, I know we can catch it.\It won't be that easy.\All right.\This again. Why does this keep happening?\No. This'll break right away.\What am I supposed to do, then?\Could it be? response:	Of course.
context: If we're friends, I know we can catch it.\It won't be that easy.\All right.\This again. Why does this keep happening?\No. This'll break right away.\What am I supposed to do, then?\Could it be?\Of course. response:	This'll reduce the friction and keep it from breaking.
context: It won't be that easy.\All right.\This again. Why does this keep happening?\No. This'll break right away.\What am I supposed to do, then?\Could it be?\Of course.\This'll reduce the friction and keep it from breaking. response:	I did it.
context: All right.\This again. Why does this keep happening?\No. This'll break right away.\What am I supposed to do, then?\Could it be?\Of course.\This'll reduce the friction and keep it from breaking.\I did it. response:	I did it!
context: This again. Why does this keep happening?\No. This'll break right away.\What am I supposed to do, then?\Could it be?\Of course.\This'll reduce the friction and keep it from breaking.\I did it.\I did it! response:	All right.
context: No. This'll break right away.\What am I supposed to do, then?\Could it be?\Of course.\This'll reduce the friction and keep it from breaking.\I did it.\I did it!\All right. response:	But I need to be able to tie it faster.
context: What am I supposed to do, then?\Could it be?\Of course.\This'll reduce the friction and keep it from breaking.\I did it.\I did it!\All right.\But I need to be able to tie it faster. response:	Yuki!
context: Could it be?\Of course.\This'll reduce the friction and keep it from breaking.\I did it.\I did it!\All right.\But I need to be able to tie it faster.\Yuki! response:	Haru.
context: Of course.\This'll reduce the friction and keep it from breaking.\I did it.\I did it!\All right.\But I need to be able to tie it faster.\Yuki!\Haru. response:	What?
context: This'll reduce the friction and keep it from breaking.\I did it.\I did it!\All right.\But I need to be able to tie it faster.\Yuki!\Haru.\What? response:	Stop doing this.
context: I did it.\I did it!\All right.\But I need to be able to tie it faster.\Yuki!\Haru.\What?\Stop doing this. response:	Why?
context: I did it!\All right.\But I need to be able to tie it faster.\Yuki!\Haru.\What?\Stop doing this.\Why? response:	I just don't like it.
context: All right.\But I need to be able to tie it faster.\Yuki!\Haru.\What?\Stop doing this.\Why?\I just don't like it. response:	Does this bother you?
context: But I need to be able to tie it faster.\Yuki!\Haru.\What?\Stop doing this.\Why?\I just don't like it.\Does this bother you? response:	Yeah, it does.
context: Yuki!\Haru.\What?\Stop doing this.\Why?\I just don't like it.\Does this bother you?\Yeah, it does. response:	Okay.
context: Haru.\What?\Stop doing this.\Why?\I just don't like it.\Does this bother you?\Yeah, it does.\Okay. response:	Nii-chan!
context: What?\Stop doing this.\Why?\I just don't like it.\Does this bother you?\Yeah, it does.\Okay.\Nii-chan! response:	I'll do it.
context: Stop doing this.\Why?\I just don't like it.\Does this bother you?\Yeah, it does.\Okay.\Nii-chan!\I'll do it. response:	I'll fish.
context: Why?\I just don't like it.\Does this bother you?\Yeah, it does.\Okay.\Nii-chan!\I'll do it.\I'll fish. response:	I'll catch something this time.
context: I just don't like it.\Does this bother you?\Yeah, it does.\Okay.\Nii-chan!\I'll do it.\I'll fish.\I'll catch something this time. response:	Yuki!
context: Does this bother you?\Yeah, it does.\Okay.\Nii-chan!\I'll do it.\I'll fish.\I'll catch something this time.\Yuki! response:	Something's not right, Tapioca.
context: Yeah, it does.\Okay.\Nii-chan!\I'll do it.\I'll fish.\I'll catch something this time.\Yuki!\Something's not right, Tapioca. response:	See you later.
context: Okay.\Nii-chan!\I'll do it.\I'll fish.\I'll catch something this time.\Yuki!\Something's not right, Tapioca.\See you later. response:	We'll see you later!
context: Nii-chan!\I'll do it.\I'll fish.\I'll catch something this time.\Yuki!\Something's not right, Tapioca.\See you later.\We'll see you later! response:	See you later.
context: I'll do it.\I'll fish.\I'll catch something this time.\Yuki!\Something's not right, Tapioca.\See you later.\We'll see you later!\See you later. response:	Whitebait curry? They'll serve anything.
context: I'll fish.\I'll catch something this time.\Yuki!\Something's not right, Tapioca.\See you later.\We'll see you later!\See you later.\Whitebait curry? They'll serve anything. response:	Not everything.
context: I'll catch something this time.\Yuki!\Something's not right, Tapioca.\See you later.\We'll see you later!\See you later.\Whitebait curry? They'll serve anything.\Not everything. response:	Not everything?!
context: Yuki!\Something's not right, Tapioca.\See you later.\We'll see you later!\See you later.\Whitebait curry? They'll serve anything.\Not everything.\Not everything?! response:	Good morning, Prince.
context: Something's not right, Tapioca.\See you later.\We'll see you later!\See you later.\Whitebait curry? They'll serve anything.\Not everything.\Not everything?!\Good morning, Prince. response:	Prince?
context: See you later.\We'll see you later!\See you later.\Whitebait curry? They'll serve anything.\Not everything.\Not everything?!\Good morning, Prince.\Prince? response:	Is he talking about Usami-kun?
context: We'll see you later!\See you later.\Whitebait curry? They'll serve anything.\Not everything.\Not everything?!\Good morning, Prince.\Prince?\Is he talking about Usami-kun? response:	Bastard.
context: See you later.\Whitebait curry? They'll serve anything.\Not everything.\Not everything?!\Good morning, Prince.\Prince?\Is he talking about Usami-kun?\Bastard. response:	What?
context: Whitebait curry? They'll serve anything.\Not everything.\Not everything?!\Good morning, Prince.\Prince?\Is he talking about Usami-kun?\Bastard.\What? response:	It's a uni knot!
context: Not everything.\Not everything?!\Good morning, Prince.\Prince?\Is he talking about Usami-kun?\Bastard.\What?\It's a uni knot! response:	Is that all?
context: Not everything?!\Good morning, Prince.\Prince?\Is he talking about Usami-kun?\Bastard.\What?\It's a uni knot!\Is that all? response:	But I did it.
context: Good morning, Prince.\Prince?\Is he talking about Usami-kun?\Bastard.\What?\It's a uni knot!\Is that all?\But I did it. response:	He talked.
context: Prince?\Is he talking about Usami-kun?\Bastard.\What?\It's a uni knot!\Is that all?\But I did it.\He talked. response:	I won't...
context: Is he talking about Usami-kun?\Bastard.\What?\It's a uni knot!\Is that all?\But I did it.\He talked.\I won't... response:	I won't wing it any more.
context: Bastard.\What?\It's a uni knot!\Is that all?\But I did it.\He talked.\I won't...\I won't wing it any more. response:	There's no reason you can't do at least that.
context: What?\It's a uni knot!\Is that all?\But I did it.\He talked.\I won't...\I won't wing it any more.\There's no reason you can't do at least that. response:	Hey.
context: It's a uni knot!\Is that all?\But I did it.\He talked.\I won't...\I won't wing it any more.\There's no reason you can't do at least that.\Hey. response:	Teach me to fish.
context: Is that all?\But I did it.\He talked.\I won't...\I won't wing it any more.\There's no reason you can't do at least that.\Hey.\Teach me to fish. response:	I want you to teach me to fish.
context: But I did it.\He talked.\I won't...\I won't wing it any more.\There's no reason you can't do at least that.\Hey.\Teach me to fish.\I want you to teach me to fish. response:	Good morning.
context: He talked.\I won't...\I won't wing it any more.\There's no reason you can't do at least that.\Hey.\Teach me to fish.\I want you to teach me to fish.\Good morning. response:	Hello. I am Akira Agarkar Yamada.
context: I won't...\I won't wing it any more.\There's no reason you can't do at least that.\Hey.\Teach me to fish.\I want you to teach me to fish.\Good morning.\Hello. I am Akira Agarkar Yamada. response:	I am transferring into this class today.
context: I won't wing it any more.\There's no reason you can't do at least that.\Hey.\Teach me to fish.\I want you to teach me to fish.\Good morning.\Hello. I am Akira Agarkar Yamada.\I am transferring into this class today. response:	I may be 25 years old,
context: There's no reason you can't do at least that.\Hey.\Teach me to fish.\I want you to teach me to fish.\Good morning.\Hello. I am Akira Agarkar Yamada.\I am transferring into this class today.\I may be 25 years old, response:	but don't let that stop us from being friends.
context: Hey.\Teach me to fish.\I want you to teach me to fish.\Good morning.\Hello. I am Akira Agarkar Yamada.\I am transferring into this class today.\I may be 25 years old,\but don't let that stop us from being friends. response:	It's a pleasure to meet you.
context: Teach me to fish.\I want you to teach me to fish.\Good morning.\Hello. I am Akira Agarkar Yamada.\I am transferring into this class today.\I may be 25 years old,\but don't let that stop us from being friends.\It's a pleasure to meet you. response:	The duck's so cute.
context: I want you to teach me to fish.\Good morning.\Hello. I am Akira Agarkar Yamada.\I am transferring into this class today.\I may be 25 years old,\but don't let that stop us from being friends.\It's a pleasure to meet you.\The duck's so cute. response:	Is Enoshima all right?
context: Good morning.\Hello. I am Akira Agarkar Yamada.\I am transferring into this class today.\I may be 25 years old,\but don't let that stop us from being friends.\It's a pleasure to meet you.\The duck's so cute.\Is Enoshima all right? response:	The four of us came together for the first time that day.
context: Hello. I am Akira Agarkar Yamada.\I am transferring into this class today.\I may be 25 years old,\but don't let that stop us from being friends.\It's a pleasure to meet you.\The duck's so cute.\Is Enoshima all right?\The four of us came together for the first time that day. response:	The story began that day.
context: I am transferring into this class today.\I may be 25 years old,\but don't let that stop us from being friends.\It's a pleasure to meet you.\The duck's so cute.\Is Enoshima all right?\The four of us came together for the first time that day.\The story began that day. response:	This little island's...
context: I may be 25 years old,\but don't let that stop us from being friends.\It's a pleasure to meet you.\The duck's so cute.\Is Enoshima all right?\The four of us came together for the first time that day.\The story began that day.\This little island's... response:	great big story.
context: but don't let that stop us from being friends.\It's a pleasure to meet you.\The duck's so cute.\Is Enoshima all right?\The four of us came together for the first time that day.\The story began that day.\This little island's...\great big story. response:	Continued in 3
