context: Fast as Wind Quiet as a Forest Daring as Fire Immovable as a Mountain response:	I'm hungry.
context: So why am I the only one who has to show restraint?\You've been restraining yourself?\When and where?\I have.\I've been restraining myself like crazy.\I wanted to storm in your class and mess everything up.\If you do that, we're finished.\See? response:	Why do I have to suffer so much?
context: You've been restraining yourself?\When and where?\I have.\I've been restraining myself like crazy.\I wanted to storm in your class and mess everything up.\If you do that, we're finished.\See?\Why do I have to suffer so much? response:	I love you.
context: When and where?\I have.\I've been restraining myself like crazy.\I wanted to storm in your class and mess everything up.\If you do that, we're finished.\See?\Why do I have to suffer so much?\I love you. response:	I don't want you to hate me,
context: I have.\I've been restraining myself like crazy.\I wanted to storm in your class and mess everything up.\If you do that, we're finished.\See?\Why do I have to suffer so much?\I love you.\I don't want you to hate me, response:	but I don't want you to leave me behind, either.
context: I've been restraining myself like crazy.\I wanted to storm in your class and mess everything up.\If you do that, we're finished.\See?\Why do I have to suffer so much?\I love you.\I don't want you to hate me,\but I don't want you to leave me behind, either. response:	Huh? What?
context: I wanted to storm in your class and mess everything up.\If you do that, we're finished.\See?\Why do I have to suffer so much?\I love you.\I don't want you to hate me,\but I don't want you to leave me behind, either.\Huh? What? response:	What is he talking about?
context: If you do that, we're finished.\See?\Why do I have to suffer so much?\I love you.\I don't want you to hate me,\but I don't want you to leave me behind, either.\Huh? What?\What is he talking about? response:	What am I supposed to say?
context: See?\Why do I have to suffer so much?\I love you.\I don't want you to hate me,\but I don't want you to leave me behind, either.\Huh? What?\What is he talking about?\What am I supposed to say? response:	I always believed
context: Why do I have to suffer so much?\I love you.\I don't want you to hate me,\but I don't want you to leave me behind, either.\Huh? What?\What is he talking about?\What am I supposed to say?\I always believed response:	that if I told him and showed him how I felt,
context: I love you.\I don't want you to hate me,\but I don't want you to leave me behind, either.\Huh? What?\What is he talking about?\What am I supposed to say?\I always believed\that if I told him and showed him how I felt, response:	everything would work out.
context: I don't want you to hate me,\but I don't want you to leave me behind, either.\Huh? What?\What is he talking about?\What am I supposed to say?\I always believed\that if I told him and showed him how I felt,\everything would work out. response:	I need some peace of mind.
context: but I don't want you to leave me behind, either.\Huh? What?\What is he talking about?\What am I supposed to say?\I always believed\that if I told him and showed him how I felt,\everything would work out.\I need some peace of mind. response:	I want proof.
context: Huh? What?\What is he talking about?\What am I supposed to say?\I always believed\that if I told him and showed him how I felt,\everything would work out.\I need some peace of mind.\I want proof. response:	I want you!
context: What is he talking about?\What am I supposed to say?\I always believed\that if I told him and showed him how I felt,\everything would work out.\I need some peace of mind.\I want proof.\I want you! response:	That's...
context: What am I supposed to say?\I always believed\that if I told him and showed him how I felt,\everything would work out.\I need some peace of mind.\I want proof.\I want you!\That's... response:	That's not happening!
context: I always believed\that if I told him and showed him how I felt,\everything would work out.\I need some peace of mind.\I want proof.\I want you!\That's...\That's not happening! response:	Why...
context: that if I told him and showed him how I felt,\everything would work out.\I need some peace of mind.\I want proof.\I want you!\That's...\That's not happening!\Why... response:	Why do we keep clashing?
context: everything would work out.\I need some peace of mind.\I want proof.\I want you!\That's...\That's not happening!\Why...\Why do we keep clashing? response:	I'm guessing that we're out of sync somehow,
context: I need some peace of mind.\I want proof.\I want you!\That's...\That's not happening!\Why...\Why do we keep clashing?\I'm guessing that we're out of sync somehow, response:	but I don't know how to fix it.
context: I want proof.\I want you!\That's...\That's not happening!\Why...\Why do we keep clashing?\I'm guessing that we're out of sync somehow,\but I don't know how to fix it. response:	I don't know the right answer.
context: I want you!\That's...\That's not happening!\Why...\Why do we keep clashing?\I'm guessing that we're out of sync somehow,\but I don't know how to fix it.\I don't know the right answer. response:	Misawa Batting Center
context: That's...\That's not happening!\Why...\Why do we keep clashing?\I'm guessing that we're out of sync somehow,\but I don't know how to fix it.\I don't know the right answer.\Misawa Batting Center response:	Fierce
context: That's not happening!\Why...\Why do we keep clashing?\I'm guessing that we're out of sync somehow,\but I don't know how to fix it.\I don't know the right answer.\Misawa Batting Center\Fierce response:	I feel like spaghetti tonight.
context: Why...\Why do we keep clashing?\I'm guessing that we're out of sync somehow,\but I don't know how to fix it.\I don't know the right answer.\Misawa Batting Center\Fierce\I feel like spaghetti tonight. response:	Pasta!
context: Why do we keep clashing?\I'm guessing that we're out of sync somehow,\but I don't know how to fix it.\I don't know the right answer.\Misawa Batting Center\Fierce\I feel like spaghetti tonight.\Pasta! response:	She can't bring pasta from home!
context: I'm guessing that we're out of sync somehow,\but I don't know how to fix it.\I don't know the right answer.\Misawa Batting Center\Fierce\I feel like spaghetti tonight.\Pasta!\She can't bring pasta from home! response:	Would you be interested in
context: but I don't know how to fix it.\I don't know the right answer.\Misawa Batting Center\Fierce\I feel like spaghetti tonight.\Pasta!\She can't bring pasta from home!\Would you be interested in response:	Get accepted to your first choice!!
context: I don't know the right answer.\Misawa Batting Center\Fierce\I feel like spaghetti tonight.\Pasta!\She can't bring pasta from home!\Would you be interested in\Get accepted to your first choice!! response:	I see.
context: Misawa Batting Center\Fierce\I feel like spaghetti tonight.\Pasta!\She can't bring pasta from home!\Would you be interested in\Get accepted to your first choice!!\I see. response:	That keeps it warm.
context: Fierce\I feel like spaghetti tonight.\Pasta!\She can't bring pasta from home!\Would you be interested in\Get accepted to your first choice!!\I see.\That keeps it warm. response:	Sasaki Seminar
context: I feel like spaghetti tonight.\Pasta!\She can't bring pasta from home!\Would you be interested in\Get accepted to your first choice!!\I see.\That keeps it warm.\Sasaki Seminar response:	Pass Before Graduation
context: Pasta!\She can't bring pasta from home!\Would you be interested in\Get accepted to your first choice!!\I see.\That keeps it warm.\Sasaki Seminar\Pass Before Graduation response:	I hate girls who are too domestic.
context: She can't bring pasta from home!\Would you be interested in\Get accepted to your first choice!!\I see.\That keeps it warm.\Sasaki Seminar\Pass Before Graduation\I hate girls who are too domestic. response:	Next Episode
context: Would you be interested in\Get accepted to your first choice!!\I see.\That keeps it warm.\Sasaki Seminar\Pass Before Graduation\I hate girls who are too domestic.\Next Episode response:	The Year Draws to a Close
