context: Um, may I help you? response:	Give me the medicine written on this note.
context: What is it, then?\The victim, Fujii Hiroko... Did she get into any trouble in the past?\Nothing big enough to be recorded, as far as I can tell.\Did she know anyone who hadn't gone outside for a long time?\Someone who hadn't gone outside?\Someone who probably would've been sent to therapy right away\if he'd been caught by the street scanners.\I see. response:	How about this guy?
context: The victim, Fujii Hiroko... Did she get into any trouble in the past?\Nothing big enough to be recorded, as far as I can tell.\Did she know anyone who hadn't gone outside for a long time?\Someone who hadn't gone outside?\Someone who probably would've been sent to therapy right away\if he'd been caught by the street scanners.\I see.\How about this guy? response:	Itoh Junmei... one of her colleagues.
context: Nothing big enough to be recorded, as far as I can tell.\Did she know anyone who hadn't gone outside for a long time?\Someone who hadn't gone outside?\Someone who probably would've been sent to therapy right away\if he'd been caught by the street scanners.\I see.\How about this guy?\Itoh Junmei... one of her colleagues. response:	He's been out sick for about two weeks, so he's been ordered to receive health care.
context: Did she know anyone who hadn't gone outside for a long time?\Someone who hadn't gone outside?\Someone who probably would've been sent to therapy right away\if he'd been caught by the street scanners.\I see.\How about this guy?\Itoh Junmei... one of her colleagues.\He's been out sick for about two weeks, so he's been ordered to receive health care. response:	He lives in Tsurumaki.
context: Someone who hadn't gone outside?\Someone who probably would've been sent to therapy right away\if he'd been caught by the street scanners.\I see.\How about this guy?\Itoh Junmei... one of her colleagues.\He's been out sick for about two weeks, so he's been ordered to receive health care.\He lives in Tsurumaki. response:	It's not that far.
context: Someone who probably would've been sent to therapy right away\if he'd been caught by the street scanners.\I see.\How about this guy?\Itoh Junmei... one of her colleagues.\He's been out sick for about two weeks, so he's been ordered to receive health care.\He lives in Tsurumaki.\It's not that far. response:	Is he out?
context: if he'd been caught by the street scanners.\I see.\How about this guy?\Itoh Junmei... one of her colleagues.\He's been out sick for about two weeks, so he's been ordered to receive health care.\He lives in Tsurumaki.\It's not that far.\Is he out? response:	Bingo.
context: I see.\How about this guy?\Itoh Junmei... one of her colleagues.\He's been out sick for about two weeks, so he's been ordered to receive health care.\He lives in Tsurumaki.\It's not that far.\Is he out?\Bingo. response:	If this is the state of mind he's been in lately,
context: How about this guy?\Itoh Junmei... one of her colleagues.\He's been out sick for about two weeks, so he's been ordered to receive health care.\He lives in Tsurumaki.\It's not that far.\Is he out?\Bingo.\If this is the state of mind he's been in lately, response:	no wonder he couldn't go outside his apartment.
context: Itoh Junmei... one of her colleagues.\He's been out sick for about two weeks, so he's been ordered to receive health care.\He lives in Tsurumaki.\It's not that far.\Is he out?\Bingo.\If this is the state of mind he's been in lately,\no wonder he couldn't go outside his apartment. response:	Crime Coefficient is 32.
context: He's been out sick for about two weeks, so he's been ordered to receive health care.\He lives in Tsurumaki.\It's not that far.\Is he out?\Bingo.\If this is the state of mind he's been in lately,\no wonder he couldn't go outside his apartment.\Crime Coefficient is 32. response:	An Inspector registered at the CID.
context: He lives in Tsurumaki.\It's not that far.\Is he out?\Bingo.\If this is the state of mind he's been in lately,\no wonder he couldn't go outside his apartment.\Crime Coefficient is 32.\An Inspector registered at the CID. response:	W-We have to go after him!
context: It's not that far.\Is he out?\Bingo.\If this is the state of mind he's been in lately,\no wonder he couldn't go outside his apartment.\Crime Coefficient is 32.\An Inspector registered at the CID.\W-We have to go after him! response:	Inspector!
context: Is he out?\Bingo.\If this is the state of mind he's been in lately,\no wonder he couldn't go outside his apartment.\Crime Coefficient is 32.\An Inspector registered at the CID.\W-We have to go after him!\Inspector! response:	What's your Crime Coefficient?
context: Bingo.\If this is the state of mind he's been in lately,\no wonder he couldn't go outside his apartment.\Crime Coefficient is 32.\An Inspector registered at the CID.\W-We have to go after him!\Inspector!\What's your Crime Coefficient? response:	Huh?!
context: If this is the state of mind he's been in lately,\no wonder he couldn't go outside his apartment.\Crime Coefficient is 32.\An Inspector registered at the CID.\W-We have to go after him!\Inspector!\What's your Crime Coefficient?\Huh?! response:	Crime Coefficient is 32.
context: no wonder he couldn't go outside his apartment.\Crime Coefficient is 32.\An Inspector registered at the CID.\W-We have to go after him!\Inspector!\What's your Crime Coefficient?\Huh?!\Crime Coefficient is 32. response:	An Inspector registered at the CID.
context: Crime Coefficient is 32.\An Inspector registered at the CID.\W-We have to go after him!\Inspector!\What's your Crime Coefficient?\Huh?!\Crime Coefficient is 32.\An Inspector registered at the CID. response:	Warning: Any rebellious conduct by Enforcers will be recorded and reported to headquarters.
context: An Inspector registered at the CID.\W-We have to go after him!\Inspector!\What's your Crime Coefficient?\Huh?!\Crime Coefficient is 32.\An Inspector registered at the CID.\Warning: Any rebellious conduct by Enforcers will be recorded and reported to headquarters. response:	I get it now.
context: W-We have to go after him!\Inspector!\What's your Crime Coefficient?\Huh?!\Crime Coefficient is 32.\An Inspector registered at the CID.\Warning: Any rebellious conduct by Enforcers will be recorded and reported to headquarters.\I get it now. response:	I figured out the secret to this magic trick!
context: Inspector!\What's your Crime Coefficient?\Huh?!\Crime Coefficient is 32.\An Inspector registered at the CID.\Warning: Any rebellious conduct by Enforcers will be recorded and reported to headquarters.\I get it now.\I figured out the secret to this magic trick! response:	Shion!
context: What's your Crime Coefficient?\Huh?!\Crime Coefficient is 32.\An Inspector registered at the CID.\Warning: Any rebellious conduct by Enforcers will be recorded and reported to headquarters.\I get it now.\I figured out the secret to this magic trick!\Shion! response:	Are there any blocks in this area with no people around?
context: Huh?!\Crime Coefficient is 32.\An Inspector registered at the CID.\Warning: Any rebellious conduct by Enforcers will be recorded and reported to headquarters.\I get it now.\I figured out the secret to this magic trick!\Shion!\Are there any blocks in this area with no people around? response:	What is it all of a sudden?!
context: Crime Coefficient is 32.\An Inspector registered at the CID.\Warning: Any rebellious conduct by Enforcers will be recorded and reported to headquarters.\I get it now.\I figured out the secret to this magic trick!\Shion!\Are there any blocks in this area with no people around?\What is it all of a sudden?! response:	What's going on?!
context: An Inspector registered at the CID.\Warning: Any rebellious conduct by Enforcers will be recorded and reported to headquarters.\I get it now.\I figured out the secret to this magic trick!\Shion!\Are there any blocks in this area with no people around?\What is it all of a sudden?!\What's going on?! response:	The perpetrator can copy the Psycho-Pass of anyone who's near him!
context: Warning: Any rebellious conduct by Enforcers will be recorded and reported to headquarters.\I get it now.\I figured out the secret to this magic trick!\Shion!\Are there any blocks in this area with no people around?\What is it all of a sudden?!\What's going on?!\The perpetrator can copy the Psycho-Pass of anyone who's near him! response:	The helmet itself is performing a cymatic scan on other people.
context: I get it now.\I figured out the secret to this magic trick!\Shion!\Are there any blocks in this area with no people around?\What is it all of a sudden?!\What's going on?!\The perpetrator can copy the Psycho-Pass of anyone who's near him!\The helmet itself is performing a cymatic scan on other people. response:	I see... Then if we can clear people from that scanning range...
context: I figured out the secret to this magic trick!\Shion!\Are there any blocks in this area with no people around?\What is it all of a sudden?!\What's going on?!\The perpetrator can copy the Psycho-Pass of anyone who's near him!\The helmet itself is performing a cymatic scan on other people.\I see... Then if we can clear people from that scanning range... response:	That helmet will just be a lump of metal. Hurry!
context: Shion!\Are there any blocks in this area with no people around?\What is it all of a sudden?!\What's going on?!\The perpetrator can copy the Psycho-Pass of anyone who's near him!\The helmet itself is performing a cymatic scan on other people.\I see... Then if we can clear people from that scanning range...\That helmet will just be a lump of metal. Hurry! response:	Let's see...
context: Are there any blocks in this area with no people around?\What is it all of a sudden?!\What's going on?!\The perpetrator can copy the Psycho-Pass of anyone who's near him!\The helmet itself is performing a cymatic scan on other people.\I see... Then if we can clear people from that scanning range...\That helmet will just be a lump of metal. Hurry!\Let's see... response:	There's a storage building four blocks ahead of you.
context: What is it all of a sudden?!\What's going on?!\The perpetrator can copy the Psycho-Pass of anyone who's near him!\The helmet itself is performing a cymatic scan on other people.\I see... Then if we can clear people from that scanning range...\That helmet will just be a lump of metal. Hurry!\Let's see...\There's a storage building four blocks ahead of you. response:	It's fully automated, so there are no workers.
context: What's going on?!\The perpetrator can copy the Psycho-Pass of anyone who's near him!\The helmet itself is performing a cymatic scan on other people.\I see... Then if we can clear people from that scanning range...\That helmet will just be a lump of metal. Hurry!\Let's see...\There's a storage building four blocks ahead of you.\It's fully automated, so there are no workers. response:	We'll chase him there.
context: The perpetrator can copy the Psycho-Pass of anyone who's near him!\The helmet itself is performing a cymatic scan on other people.\I see... Then if we can clear people from that scanning range...\That helmet will just be a lump of metal. Hurry!\Let's see...\There's a storage building four blocks ahead of you.\It's fully automated, so there are no workers.\We'll chase him there. response:	Call out any nearby Drones and lead them there!
context: The helmet itself is performing a cymatic scan on other people.\I see... Then if we can clear people from that scanning range...\That helmet will just be a lump of metal. Hurry!\Let's see...\There's a storage building four blocks ahead of you.\It's fully automated, so there are no workers.\We'll chase him there.\Call out any nearby Drones and lead them there! response:	Okay!
context: I see... Then if we can clear people from that scanning range...\That helmet will just be a lump of metal. Hurry!\Let's see...\There's a storage building four blocks ahead of you.\It's fully automated, so there are no workers.\We'll chase him there.\Call out any nearby Drones and lead them there!\Okay! response:	You heard the plan, pops!
context: That helmet will just be a lump of metal. Hurry!\Let's see...\There's a storage building four blocks ahead of you.\It's fully automated, so there are no workers.\We'll chase him there.\Call out any nearby Drones and lead them there!\Okay!\You heard the plan, pops! response:	Go around and cut him off!
context: Let's see...\There's a storage building four blocks ahead of you.\It's fully automated, so there are no workers.\We'll chase him there.\Call out any nearby Drones and lead them there!\Okay!\You heard the plan, pops!\Go around and cut him off! response:	Okay!
context: There's a storage building four blocks ahead of you.\It's fully automated, so there are no workers.\We'll chase him there.\Call out any nearby Drones and lead them there!\Okay!\You heard the plan, pops!\Go around and cut him off!\Okay! response:	And, Inspector!
context: It's fully automated, so there are no workers.\We'll chase him there.\Call out any nearby Drones and lead them there!\Okay!\You heard the plan, pops!\Go around and cut him off!\Okay!\And, Inspector! response:	Keep your distance from Itoh!
context: We'll chase him there.\Call out any nearby Drones and lead them there!\Okay!\You heard the plan, pops!\Go around and cut him off!\Okay!\And, Inspector!\Keep your distance from Itoh! response:	Otherwise we'll have the same problem as before.
context: Call out any nearby Drones and lead them there!\Okay!\You heard the plan, pops!\Go around and cut him off!\Okay!\And, Inspector!\Keep your distance from Itoh!\Otherwise we'll have the same problem as before. response:	O-Okay!
context: Okay!\You heard the plan, pops!\Go around and cut him off!\Okay!\And, Inspector!\Keep your distance from Itoh!\Otherwise we'll have the same problem as before.\O-Okay! response:	Attention please.
context: You heard the plan, pops!\Go around and cut him off!\Okay!\And, Inspector!\Keep your distance from Itoh!\Otherwise we'll have the same problem as before.\O-Okay!\Attention please. response:	This is the Criminal Investigation Department, part of the Public Safety Bureau. At this time...
context: Go around and cut him off!\Okay!\And, Inspector!\Keep your distance from Itoh!\Otherwise we'll have the same problem as before.\O-Okay!\Attention please.\This is the Criminal Investigation Department, part of the Public Safety Bureau. At this time... response:	This is the Criminal Investigation Department, part of the Public Safety Bureau.
context: Okay!\And, Inspector!\Keep your distance from Itoh!\Otherwise we'll have the same problem as before.\O-Okay!\Attention please.\This is the Criminal Investigation Department, part of the Public Safety Bureau. At this time...\This is the Criminal Investigation Department, part of the Public Safety Bureau. response:	At this time, the road is closed due to an emergency situation.
context: And, Inspector!\Keep your distance from Itoh!\Otherwise we'll have the same problem as before.\O-Okay!\Attention please.\This is the Criminal Investigation Department, part of the Public Safety Bureau. At this time...\This is the Criminal Investigation Department, part of the Public Safety Bureau.\At this time, the road is closed due to an emergency situation. response:	Good! Good! Keep it up!
context: Keep your distance from Itoh!\Otherwise we'll have the same problem as before.\O-Okay!\Attention please.\This is the Criminal Investigation Department, part of the Public Safety Bureau. At this time...\This is the Criminal Investigation Department, part of the Public Safety Bureau.\At this time, the road is closed due to an emergency situation.\Good! Good! Keep it up! response:	The road is closed due to an emergency situation.
context: Otherwise we'll have the same problem as before.\O-Okay!\Attention please.\This is the Criminal Investigation Department, part of the Public Safety Bureau. At this time...\This is the Criminal Investigation Department, part of the Public Safety Bureau.\At this time, the road is closed due to an emergency situation.\Good! Good! Keep it up!\The road is closed due to an emergency situation. response:	Crime Coefficient is 282.
context: O-Okay!\Attention please.\This is the Criminal Investigation Department, part of the Public Safety Bureau. At this time...\This is the Criminal Investigation Department, part of the Public Safety Bureau.\At this time, the road is closed due to an emergency situation.\Good! Good! Keep it up!\The road is closed due to an emergency situation.\Crime Coefficient is 282. response:	An Enforcer registered at the CID.
context: Attention please.\This is the Criminal Investigation Department, part of the Public Safety Bureau. At this time...\This is the Criminal Investigation Department, part of the Public Safety Bureau.\At this time, the road is closed due to an emergency situation.\Good! Good! Keep it up!\The road is closed due to an emergency situation.\Crime Coefficient is 282.\An Enforcer registered at the CID. response:	Dammit!
context: This is the Criminal Investigation Department, part of the Public Safety Bureau. At this time...\This is the Criminal Investigation Department, part of the Public Safety Bureau.\At this time, the road is closed due to an emergency situation.\Good! Good! Keep it up!\The road is closed due to an emergency situation.\Crime Coefficient is 282.\An Enforcer registered at the CID.\Dammit! response:	This target has Enforce At Will status.
context: This is the Criminal Investigation Department, part of the Public Safety Bureau.\At this time, the road is closed due to an emergency situation.\Good! Good! Keep it up!\The road is closed due to an emergency situation.\Crime Coefficient is 282.\An Enforcer registered at the CID.\Dammit!\This target has Enforce At Will status. response:	The safety will be released.
context: At this time, the road is closed due to an emergency situation.\Good! Good! Keep it up!\The road is closed due to an emergency situation.\Crime Coefficient is 282.\An Enforcer registered at the CID.\Dammit!\This target has Enforce At Will status.\The safety will be released. response:	Thanks for that.
context: Good! Good! Keep it up!\The road is closed due to an emergency situation.\Crime Coefficient is 282.\An Enforcer registered at the CID.\Dammit!\This target has Enforce At Will status.\The safety will be released.\Thanks for that. response:	282? Hey...
context: The road is closed due to an emergency situation.\Crime Coefficient is 282.\An Enforcer registered at the CID.\Dammit!\This target has Enforce At Will status.\The safety will be released.\Thanks for that.\282? Hey... response:	Yeah...
context: Crime Coefficient is 282.\An Enforcer registered at the CID.\Dammit!\This target has Enforce At Will status.\The safety will be released.\Thanks for that.\282? Hey...\Yeah... response:	I couldn't help but think about killing this bastard with my bare hands.
context: An Enforcer registered at the CID.\Dammit!\This target has Enforce At Will status.\The safety will be released.\Thanks for that.\282? Hey...\Yeah...\I couldn't help but think about killing this bastard with my bare hands. response:	How do you feel about someone with your Psycho-Pass being shot?
context: Dammit!\This target has Enforce At Will status.\The safety will be released.\Thanks for that.\282? Hey...\Yeah...\I couldn't help but think about killing this bastard with my bare hands.\How do you feel about someone with your Psycho-Pass being shot? response:	I'm just glad it didn't activate the Eliminator.
context: This target has Enforce At Will status.\The safety will be released.\Thanks for that.\282? Hey...\Yeah...\I couldn't help but think about killing this bastard with my bare hands.\How do you feel about someone with your Psycho-Pass being shot?\I'm just glad it didn't activate the Eliminator. response:	Looks like you had no trouble shaking off your pursuers.
context: The safety will be released.\Thanks for that.\282? Hey...\Yeah...\I couldn't help but think about killing this bastard with my bare hands.\How do you feel about someone with your Psycho-Pass being shot?\I'm just glad it didn't activate the Eliminator.\Looks like you had no trouble shaking off your pursuers. response:	It was a piece of cake.
context: Thanks for that.\282? Hey...\Yeah...\I couldn't help but think about killing this bastard with my bare hands.\How do you feel about someone with your Psycho-Pass being shot?\I'm just glad it didn't activate the Eliminator.\Looks like you had no trouble shaking off your pursuers.\It was a piece of cake. response:	The Bureau's utterly toothless without their precious Dominators.
context: 282? Hey...\Yeah...\I couldn't help but think about killing this bastard with my bare hands.\How do you feel about someone with your Psycho-Pass being shot?\I'm just glad it didn't activate the Eliminator.\Looks like you had no trouble shaking off your pursuers.\It was a piece of cake.\The Bureau's utterly toothless without their precious Dominators. response:	That said...
context: Yeah...\I couldn't help but think about killing this bastard with my bare hands.\How do you feel about someone with your Psycho-Pass being shot?\I'm just glad it didn't activate the Eliminator.\Looks like you had no trouble shaking off your pursuers.\It was a piece of cake.\The Bureau's utterly toothless without their precious Dominators.\That said... response:	Dude.
context: I couldn't help but think about killing this bastard with my bare hands.\How do you feel about someone with your Psycho-Pass being shot?\I'm just glad it didn't activate the Eliminator.\Looks like you had no trouble shaking off your pursuers.\It was a piece of cake.\The Bureau's utterly toothless without their precious Dominators.\That said...\Dude. response:	You must be out of your mind.
context: How do you feel about someone with your Psycho-Pass being shot?\I'm just glad it didn't activate the Eliminator.\Looks like you had no trouble shaking off your pursuers.\It was a piece of cake.\The Bureau's utterly toothless without their precious Dominators.\That said...\Dude.\You must be out of your mind. response:	Why would you carry something that valuable around all by yourself?
context: I'm just glad it didn't activate the Eliminator.\Looks like you had no trouble shaking off your pursuers.\It was a piece of cake.\The Bureau's utterly toothless without their precious Dominators.\That said...\Dude.\You must be out of your mind.\Why would you carry something that valuable around all by yourself? response:	Didn't you even think about taking precautions?
context: Looks like you had no trouble shaking off your pursuers.\It was a piece of cake.\The Bureau's utterly toothless without their precious Dominators.\That said...\Dude.\You must be out of your mind.\Why would you carry something that valuable around all by yourself?\Didn't you even think about taking precautions? response:	This was a tool to promote awareness.
context: It was a piece of cake.\The Bureau's utterly toothless without their precious Dominators.\That said...\Dude.\You must be out of your mind.\Why would you carry something that valuable around all by yourself?\Didn't you even think about taking precautions?\This was a tool to promote awareness. response:	To make people realize they should live like human beings, not docile livestock.
context: The Bureau's utterly toothless without their precious Dominators.\That said...\Dude.\You must be out of your mind.\Why would you carry something that valuable around all by yourself?\Didn't you even think about taking precautions?\This was a tool to promote awareness.\To make people realize they should live like human beings, not docile livestock. response:	Huh?
context: That said...\Dude.\You must be out of your mind.\Why would you carry something that valuable around all by yourself?\Didn't you even think about taking precautions?\This was a tool to promote awareness.\To make people realize they should live like human beings, not docile livestock.\Huh? response:	People have been misled by Sibyl to the point
context: Dude.\You must be out of your mind.\Why would you carry something that valuable around all by yourself?\Didn't you even think about taking precautions?\This was a tool to promote awareness.\To make people realize they should live like human beings, not docile livestock.\Huh?\People have been misled by Sibyl to the point response:	where they no longer recognize danger, even if it's staring them in the face.
context: You must be out of your mind.\Why would you carry something that valuable around all by yourself?\Didn't you even think about taking precautions?\This was a tool to promote awareness.\To make people realize they should live like human beings, not docile livestock.\Huh?\People have been misled by Sibyl to the point\where they no longer recognize danger, even if it's staring them in the face. response:	In that sense, you guys are as foolish as those pitiful sheep.
context: Why would you carry something that valuable around all by yourself?\Didn't you even think about taking precautions?\This was a tool to promote awareness.\To make people realize they should live like human beings, not docile livestock.\Huh?\People have been misled by Sibyl to the point\where they no longer recognize danger, even if it's staring them in the face.\In that sense, you guys are as foolish as those pitiful sheep. response:	Indeed. It really is...
context: Didn't you even think about taking precautions?\This was a tool to promote awareness.\To make people realize they should live like human beings, not docile livestock.\Huh?\People have been misled by Sibyl to the point\where they no longer recognize danger, even if it's staring them in the face.\In that sense, you guys are as foolish as those pitiful sheep.\Indeed. It really is... response:	a terrible shame.
context: This was a tool to promote awareness.\To make people realize they should live like human beings, not docile livestock.\Huh?\People have been misled by Sibyl to the point\where they no longer recognize danger, even if it's staring them in the face.\In that sense, you guys are as foolish as those pitiful sheep.\Indeed. It really is...\a terrible shame. response:	I would like to show
context: To make people realize they should live like human beings, not docile livestock.\Huh?\People have been misled by Sibyl to the point\where they no longer recognize danger, even if it's staring them in the face.\In that sense, you guys are as foolish as those pitiful sheep.\Indeed. It really is...\a terrible shame.\I would like to show response:	Cut open my skull
context: Huh?\People have been misled by Sibyl to the point\where they no longer recognize danger, even if it's staring them in the face.\In that sense, you guys are as foolish as those pitiful sheep.\Indeed. It really is...\a terrible shame.\I would like to show\Cut open my skull response:	Look into my head
context: People have been misled by Sibyl to the point\where they no longer recognize danger, even if it's staring them in the face.\In that sense, you guys are as foolish as those pitiful sheep.\Indeed. It really is...\a terrible shame.\I would like to show\Cut open my skull\Look into my head response:	I don't know why I'm so harsh
context: where they no longer recognize danger, even if it's staring them in the face.\In that sense, you guys are as foolish as those pitiful sheep.\Indeed. It really is...\a terrible shame.\I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh response:	I can't be so brash
context: In that sense, you guys are as foolish as those pitiful sheep.\Indeed. It really is...\a terrible shame.\I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash response:	I'm going to crash
context: Indeed. It really is...\a terrible shame.\I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash response:	'Cause I feel
context: a terrible shame.\I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel response:	I can always show my everything to you
context: I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you response:	If this moment was for me
context: Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me response:	I try to hear, lend my ear
context: Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear response:	Voices inside, one link to join it all
context: I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all response:	Again
context: I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again response:	'Cause I feel
context: I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel response:	I can always show my everything to you
context: 'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you response:	If this moment was for me
context: I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you\If this moment was for me response:	I try to hear, lend my ear
context: If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear response:	Voices inside, one link to join it all
context: I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all response:	So it goes
context: Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes response:	Again
context: Again\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again response:	14: Sweet Poison
context: 'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again\14: Sweet Poison response:	Iwakami Yasumi A Revolution Sabotaged Before It Began
context: I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again\14: Sweet Poison\Iwakami Yasumi A Revolution Sabotaged Before It Began response:	Iwakami Yasumi A Revolution Sabotaged Before It Began
context: If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again\14: Sweet Poison\Iwakami Yasumi A Revolution Sabotaged Before It Began\Iwakami Yasumi A Revolution Sabotaged Before It Began response:	There's no way I could love anyone,
context: I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again\14: Sweet Poison\Iwakami Yasumi A Revolution Sabotaged Before It Began\Iwakami Yasumi A Revolution Sabotaged Before It Began\There's no way I could love anyone, response:	There's no way I could love anyone,
context: Voices inside, one link to join it all\So it goes\Again\14: Sweet Poison\Iwakami Yasumi A Revolution Sabotaged Before It Began\Iwakami Yasumi A Revolution Sabotaged Before It Began\There's no way I could love anyone,\There's no way I could love anyone, response:	but I wish to be loved by someone in turn
context: So it goes\Again\14: Sweet Poison\Iwakami Yasumi A Revolution Sabotaged Before It Began\Iwakami Yasumi A Revolution Sabotaged Before It Began\There's no way I could love anyone,\There's no way I could love anyone,\but I wish to be loved by someone in turn response:	but I wish to be loved by someone in turn
context: Again\14: Sweet Poison\Iwakami Yasumi A Revolution Sabotaged Before It Began\Iwakami Yasumi A Revolution Sabotaged Before It Began\There's no way I could love anyone,\There's no way I could love anyone,\but I wish to be loved by someone in turn\but I wish to be loved by someone in turn response:	The world may not have
context: 14: Sweet Poison\Iwakami Yasumi A Revolution Sabotaged Before It Began\Iwakami Yasumi A Revolution Sabotaged Before It Began\There's no way I could love anyone,\There's no way I could love anyone,\but I wish to be loved by someone in turn\but I wish to be loved by someone in turn\The world may not have response:	The world may not have
context: Iwakami Yasumi A Revolution Sabotaged Before It Began\Iwakami Yasumi A Revolution Sabotaged Before It Began\There's no way I could love anyone,\There's no way I could love anyone,\but I wish to be loved by someone in turn\but I wish to be loved by someone in turn\The world may not have\The world may not have response:	ended yesterday after all,
context: Iwakami Yasumi A Revolution Sabotaged Before It Began\There's no way I could love anyone,\There's no way I could love anyone,\but I wish to be loved by someone in turn\but I wish to be loved by someone in turn\The world may not have\The world may not have\ended yesterday after all, response:	ended yesterday after all,
context: There's no way I could love anyone,\There's no way I could love anyone,\but I wish to be loved by someone in turn\but I wish to be loved by someone in turn\The world may not have\The world may not have\ended yesterday after all,\ended yesterday after all, response:	but we will not budge
context: There's no way I could love anyone,\but I wish to be loved by someone in turn\but I wish to be loved by someone in turn\The world may not have\The world may not have\ended yesterday after all,\ended yesterday after all,\but we will not budge response:	but we will not budge
context: but I wish to be loved by someone in turn\but I wish to be loved by someone in turn\The world may not have\The world may not have\ended yesterday after all,\ended yesterday after all,\but we will not budge\but we will not budge response:	from where we are
context: but I wish to be loved by someone in turn\The world may not have\The world may not have\ended yesterday after all,\ended yesterday after all,\but we will not budge\but we will not budge\from where we are response:	from where we are
context: The world may not have\The world may not have\ended yesterday after all,\ended yesterday after all,\but we will not budge\but we will not budge\from where we are\from where we are response:	God, in favor of which parts have you left us?
context: The world may not have\ended yesterday after all,\ended yesterday after all,\but we will not budge\but we will not budge\from where we are\from where we are\God, in favor of which parts have you left us? response:	God, in favor of which parts have you left us?
context: ended yesterday after all,\ended yesterday after all,\but we will not budge\but we will not budge\from where we are\from where we are\God, in favor of which parts have you left us?\God, in favor of which parts have you left us? response:	I receive no reply
context: ended yesterday after all,\but we will not budge\but we will not budge\from where we are\from where we are\God, in favor of which parts have you left us?\God, in favor of which parts have you left us?\I receive no reply response:	I receive no reply
context: but we will not budge\but we will not budge\from where we are\from where we are\God, in favor of which parts have you left us?\God, in favor of which parts have you left us?\I receive no reply\I receive no reply response:	I never do
context: but we will not budge\from where we are\from where we are\God, in favor of which parts have you left us?\God, in favor of which parts have you left us?\I receive no reply\I receive no reply\I never do response:	I never do
context: from where we are\from where we are\God, in favor of which parts have you left us?\God, in favor of which parts have you left us?\I receive no reply\I receive no reply\I never do\I never do response:	Are you still here?
context: from where we are\God, in favor of which parts have you left us?\God, in favor of which parts have you left us?\I receive no reply\I receive no reply\I never do\I never do\Are you still here? response:	Are you still here?
context: God, in favor of which parts have you left us?\God, in favor of which parts have you left us?\I receive no reply\I receive no reply\I never do\I never do\Are you still here?\Are you still here? response:	You'll never walk alone
context: God, in favor of which parts have you left us?\I receive no reply\I receive no reply\I never do\I never do\Are you still here?\Are you still here?\You'll never walk alone response:	You'll never walk alone
context: I receive no reply\I receive no reply\I never do\I never do\Are you still here?\Are you still here?\You'll never walk alone\You'll never walk alone response:	I walk with you
context: I receive no reply\I never do\I never do\Are you still here?\Are you still here?\You'll never walk alone\You'll never walk alone\I walk with you response:	I walk with you
context: I never do\I never do\Are you still here?\Are you still here?\You'll never walk alone\You'll never walk alone\I walk with you\I walk with you response:	I will share all your sins
context: I never do\Are you still here?\Are you still here?\You'll never walk alone\You'll never walk alone\I walk with you\I walk with you\I will share all your sins response:	I will share all your sins
context: Are you still here?\Are you still here?\You'll never walk alone\You'll never walk alone\I walk with you\I walk with you\I will share all your sins\I will share all your sins response:	Together with you
