context: What? response:	Okay, I'll say it again.
context: Can you fight?\Nope, I can't.\But even if I can't fight,\I think this human will be pretty useful against the White Whale.\I must ask... On what grounds?\I'm not all that happy about it myself,\but I seem to be the type of guy who attracts mabeasts.\What? response:	It is true.
context: Nope, I can't.\But even if I can't fight,\I think this human will be pretty useful against the White Whale.\I must ask... On what grounds?\I'm not all that happy about it myself,\but I seem to be the type of guy who attracts mabeasts.\What?\It is true. response:	Thanks to that, Subaru-kun has previously saved my life.
context: But even if I can't fight,\I think this human will be pretty useful against the White Whale.\I must ask... On what grounds?\I'm not all that happy about it myself,\but I seem to be the type of guy who attracts mabeasts.\What?\It is true.\Thanks to that, Subaru-kun has previously saved my life. response:	So, on my borrowed ground dragon,
context: I think this human will be pretty useful against the White Whale.\I must ask... On what grounds?\I'm not all that happy about it myself,\but I seem to be the type of guy who attracts mabeasts.\What?\It is true.\Thanks to that, Subaru-kun has previously saved my life.\So, on my borrowed ground dragon, response:	I'll run around under White Whale's nose and draw its attention,
context: I must ask... On what grounds?\I'm not all that happy about it myself,\but I seem to be the type of guy who attracts mabeasts.\What?\It is true.\Thanks to that, Subaru-kun has previously saved my life.\So, on my borrowed ground dragon,\I'll run around under White Whale's nose and draw its attention, response:	while you guys launch an all-out attack!
context: I'm not all that happy about it myself,\but I seem to be the type of guy who attracts mabeasts.\What?\It is true.\Thanks to that, Subaru-kun has previously saved my life.\So, on my borrowed ground dragon,\I'll run around under White Whale's nose and draw its attention,\while you guys launch an all-out attack! response:	That's the tactic I'd recommend, anyway.
context: but I seem to be the type of guy who attracts mabeasts.\What?\It is true.\Thanks to that, Subaru-kun has previously saved my life.\So, on my borrowed ground dragon,\I'll run around under White Whale's nose and draw its attention,\while you guys launch an all-out attack!\That's the tactic I'd recommend, anyway. response:	Under the White Whale's... nose?
context: What?\It is true.\Thanks to that, Subaru-kun has previously saved my life.\So, on my borrowed ground dragon,\I'll run around under White Whale's nose and draw its attention,\while you guys launch an all-out attack!\That's the tactic I'd recommend, anyway.\Under the White Whale's... nose? response:	Shockingly, I sense no lies in that statement.
context: It is true.\Thanks to that, Subaru-kun has previously saved my life.\So, on my borrowed ground dragon,\I'll run around under White Whale's nose and draw its attention,\while you guys launch an all-out attack!\That's the tactic I'd recommend, anyway.\Under the White Whale's... nose?\Shockingly, I sense no lies in that statement. response:	I never thought
context: Thanks to that, Subaru-kun has previously saved my life.\So, on my borrowed ground dragon,\I'll run around under White Whale's nose and draw its attention,\while you guys launch an all-out attack!\That's the tactic I'd recommend, anyway.\Under the White Whale's... nose?\Shockingly, I sense no lies in that statement.\I never thought response:	I would doubt my divine protection as often as I have in the past half day.
context: So, on my borrowed ground dragon,\I'll run around under White Whale's nose and draw its attention,\while you guys launch an all-out attack!\That's the tactic I'd recommend, anyway.\Under the White Whale's... nose?\Shockingly, I sense no lies in that statement.\I never thought\I would doubt my divine protection as often as I have in the past half day. response:	They're here.
context: I'll run around under White Whale's nose and draw its attention,\while you guys launch an all-out attack!\That's the tactic I'd recommend, anyway.\Under the White Whale's... nose?\Shockingly, I sense no lies in that statement.\I never thought\I would doubt my divine protection as often as I have in the past half day.\They're here. response:	Crusch-sama, we have arrived.
context: while you guys launch an all-out attack!\That's the tactic I'd recommend, anyway.\Under the White Whale's... nose?\Shockingly, I sense no lies in that statement.\I never thought\I would doubt my divine protection as often as I have in the past half day.\They're here.\Crusch-sama, we have arrived. response:	Is this boy...
context: That's the tactic I'd recommend, anyway.\Under the White Whale's... nose?\Shockingly, I sense no lies in that statement.\I never thought\I would doubt my divine protection as often as I have in the past half day.\They're here.\Crusch-sama, we have arrived.\Is this boy... response:	Yes, he is.
context: Under the White Whale's... nose?\Shockingly, I sense no lies in that statement.\I never thought\I would doubt my divine protection as often as I have in the past half day.\They're here.\Crusch-sama, we have arrived.\Is this boy...\Yes, he is. response:	Thank you, young man.
context: Shockingly, I sense no lies in that statement.\I never thought\I would doubt my divine protection as often as I have in the past half day.\They're here.\Crusch-sama, we have arrived.\Is this boy...\Yes, he is.\Thank you, young man. response:	Huh?
context: I never thought\I would doubt my divine protection as often as I have in the past half day.\They're here.\Crusch-sama, we have arrived.\Is this boy...\Yes, he is.\Thank you, young man.\Huh? response:	Thanks to you, our wish may come true.
context: I would doubt my divine protection as often as I have in the past half day.\They're here.\Crusch-sama, we have arrived.\Is this boy...\Yes, he is.\Thank you, young man.\Huh?\Thanks to you, our wish may come true. response:	We could not be happier.
context: They're here.\Crusch-sama, we have arrived.\Is this boy...\Yes, he is.\Thank you, young man.\Huh?\Thanks to you, our wish may come true.\We could not be happier. response:	Thank you.
context: Crusch-sama, we have arrived.\Is this boy...\Yes, he is.\Thank you, young man.\Huh?\Thanks to you, our wish may come true.\We could not be happier.\Thank you. response:	It seems all of them have a history with the White Whale.
context: Is this boy...\Yes, he is.\Thank you, young man.\Huh?\Thanks to you, our wish may come true.\We could not be happier.\Thank you.\It seems all of them have a history with the White Whale. response:	Then, they're like Wilhelm-san?
context: Yes, he is.\Thank you, young man.\Huh?\Thanks to you, our wish may come true.\We could not be happier.\Thank you.\It seems all of them have a history with the White Whale.\Then, they're like Wilhelm-san? response:	Yes, many are men who have retired from the front lines.
context: Thank you, young man.\Huh?\Thanks to you, our wish may come true.\We could not be happier.\Thank you.\It seems all of them have a history with the White Whale.\Then, they're like Wilhelm-san?\Yes, many are men who have retired from the front lines. response:	They have joined our subjugation force at Wilhelm's invitation.
context: Huh?\Thanks to you, our wish may come true.\We could not be happier.\Thank you.\It seems all of them have a history with the White Whale.\Then, they're like Wilhelm-san?\Yes, many are men who have retired from the front lines.\They have joined our subjugation force at Wilhelm's invitation. response:	Their morale and experience
context: Thanks to you, our wish may come true.\We could not be happier.\Thank you.\It seems all of them have a history with the White Whale.\Then, they're like Wilhelm-san?\Yes, many are men who have retired from the front lines.\They have joined our subjugation force at Wilhelm's invitation.\Their morale and experience response:	is comparable to those of the capital's active knights.
context: We could not be happier.\Thank you.\It seems all of them have a history with the White Whale.\Then, they're like Wilhelm-san?\Yes, many are men who have retired from the front lines.\They have joined our subjugation force at Wilhelm's invitation.\Their morale and experience\is comparable to those of the capital's active knights. response:	Crusch-sama, it's time.
context: Thank you.\It seems all of them have a history with the White Whale.\Then, they're like Wilhelm-san?\Yes, many are men who have retired from the front lines.\They have joined our subjugation force at Wilhelm's invitation.\Their morale and experience\is comparable to those of the capital's active knights.\Crusch-sama, it's time. response:	Right.
context: It seems all of them have a history with the White Whale.\Then, they're like Wilhelm-san?\Yes, many are men who have retired from the front lines.\They have joined our subjugation force at Wilhelm's invitation.\Their morale and experience\is comparable to those of the capital's active knights.\Crusch-sama, it's time.\Right. response:	Four hundred years.
context: Then, they're like Wilhelm-san?\Yes, many are men who have retired from the front lines.\They have joined our subjugation force at Wilhelm's invitation.\Their morale and experience\is comparable to those of the capital's active knights.\Crusch-sama, it's time.\Right.\Four hundred years. response:	Since the White Whale, created by the Jealous Witch,
context: Yes, many are men who have retired from the front lines.\They have joined our subjugation force at Wilhelm's invitation.\Their morale and experience\is comparable to those of the capital's active knights.\Crusch-sama, it's time.\Right.\Four hundred years.\Since the White Whale, created by the Jealous Witch, response:	made the world its hunting ground,
context: They have joined our subjugation force at Wilhelm's invitation.\Their morale and experience\is comparable to those of the capital's active knights.\Crusch-sama, it's time.\Right.\Four hundred years.\Since the White Whale, created by the Jealous Witch,\made the world its hunting ground, response:	trampling the weak and dominating the land as if it were its owner,
context: Their morale and experience\is comparable to those of the capital's active knights.\Crusch-sama, it's time.\Right.\Four hundred years.\Since the White Whale, created by the Jealous Witch,\made the world its hunting ground,\trampling the weak and dominating the land as if it were its owner, response:	four hundred years have passed.
context: is comparable to those of the capital's active knights.\Crusch-sama, it's time.\Right.\Four hundred years.\Since the White Whale, created by the Jealous Witch,\made the world its hunting ground,\trampling the weak and dominating the land as if it were its owner,\four hundred years have passed. response:	Countless lives have been lost in that time.
context: Crusch-sama, it's time.\Right.\Four hundred years.\Since the White Whale, created by the Jealous Witch,\made the world its hunting ground,\trampling the weak and dominating the land as if it were its owner,\four hundred years have passed.\Countless lives have been lost in that time. response:	Given its fog's unscrupulous nature, as well,
context: Right.\Four hundred years.\Since the White Whale, created by the Jealous Witch,\made the world its hunting ground,\trampling the weak and dominating the land as if it were its owner,\four hundred years have passed.\Countless lives have been lost in that time.\Given its fog's unscrupulous nature, as well, response:	the number of graves we cannot even inscribe with names will only rise.
context: Four hundred years.\Since the White Whale, created by the Jealous Witch,\made the world its hunting ground,\trampling the weak and dominating the land as if it were its owner,\four hundred years have passed.\Countless lives have been lost in that time.\Given its fog's unscrupulous nature, as well,\the number of graves we cannot even inscribe with names will only rise. response:	But those days of sitting idle end today!
context: Since the White Whale, created by the Jealous Witch,\made the world its hunting ground,\trampling the weak and dominating the land as if it were its owner,\four hundred years have passed.\Countless lives have been lost in that time.\Given its fog's unscrupulous nature, as well,\the number of graves we cannot even inscribe with names will only rise.\But those days of sitting idle end today! response:	Today, those of us here will end it!
context: made the world its hunting ground,\trampling the weak and dominating the land as if it were its owner,\four hundred years have passed.\Countless lives have been lost in that time.\Given its fog's unscrupulous nature, as well,\the number of graves we cannot even inscribe with names will only rise.\But those days of sitting idle end today!\Today, those of us here will end it! response:	We shall strike down the White Whale, and stop further tragedy!
context: trampling the weak and dominating the land as if it were its owner,\four hundred years have passed.\Countless lives have been lost in that time.\Given its fog's unscrupulous nature, as well,\the number of graves we cannot even inscribe with names will only rise.\But those days of sitting idle end today!\Today, those of us here will end it!\We shall strike down the White Whale, and stop further tragedy! response:	We shall give the sorrow, which fell short of true sorrow,
context: four hundred years have passed.\Countless lives have been lost in that time.\Given its fog's unscrupulous nature, as well,\the number of graves we cannot even inscribe with names will only rise.\But those days of sitting idle end today!\Today, those of us here will end it!\We shall strike down the White Whale, and stop further tragedy!\We shall give the sorrow, which fell short of true sorrow, response:	a chance to shed overdue tears!
context: Countless lives have been lost in that time.\Given its fog's unscrupulous nature, as well,\the number of graves we cannot even inscribe with names will only rise.\But those days of sitting idle end today!\Today, those of us here will end it!\We shall strike down the White Whale, and stop further tragedy!\We shall give the sorrow, which fell short of true sorrow,\a chance to shed overdue tears! response:	We move out!
context: Given its fog's unscrupulous nature, as well,\the number of graves we cannot even inscribe with names will only rise.\But those days of sitting idle end today!\Today, those of us here will end it!\We shall strike down the White Whale, and stop further tragedy!\We shall give the sorrow, which fell short of true sorrow,\a chance to shed overdue tears!\We move out! response:	Our destination is Flugel's Tree, on the Lifaus Highway.
context: the number of graves we cannot even inscribe with names will only rise.\But those days of sitting idle end today!\Today, those of us here will end it!\We shall strike down the White Whale, and stop further tragedy!\We shall give the sorrow, which fell short of true sorrow,\a chance to shed overdue tears!\We move out!\Our destination is Flugel's Tree, on the Lifaus Highway. response:	Tonight, we shall slay the White Whale with our own hands!
context: But those days of sitting idle end today!\Today, those of us here will end it!\We shall strike down the White Whale, and stop further tragedy!\We shall give the sorrow, which fell short of true sorrow,\a chance to shed overdue tears!\We move out!\Our destination is Flugel's Tree, on the Lifaus Highway.\Tonight, we shall slay the White Whale with our own hands! response:	I'm Mimi! Glad to know ya!
context: Today, those of us here will end it!\We shall strike down the White Whale, and stop further tragedy!\We shall give the sorrow, which fell short of true sorrow,\a chance to shed overdue tears!\We move out!\Our destination is Flugel's Tree, on the Lifaus Highway.\Tonight, we shall slay the White Whale with our own hands!\I'm Mimi! Glad to know ya! response:	My name's Hetaro. Nice to meet you.
context: We shall strike down the White Whale, and stop further tragedy!\We shall give the sorrow, which fell short of true sorrow,\a chance to shed overdue tears!\We move out!\Our destination is Flugel's Tree, on the Lifaus Highway.\Tonight, we shall slay the White Whale with our own hands!\I'm Mimi! Glad to know ya!\My name's Hetaro. Nice to meet you. response:	Yep, nice to meet you.
context: We shall give the sorrow, which fell short of true sorrow,\a chance to shed overdue tears!\We move out!\Our destination is Flugel's Tree, on the Lifaus Highway.\Tonight, we shall slay the White Whale with our own hands!\I'm Mimi! Glad to know ya!\My name's Hetaro. Nice to meet you.\Yep, nice to meet you. response:	Anyway, not that I doubted it, but...
context: a chance to shed overdue tears!\We move out!\Our destination is Flugel's Tree, on the Lifaus Highway.\Tonight, we shall slay the White Whale with our own hands!\I'm Mimi! Glad to know ya!\My name's Hetaro. Nice to meet you.\Yep, nice to meet you.\Anyway, not that I doubted it, but... response:	You really are the second-in-command, huh?
context: We move out!\Our destination is Flugel's Tree, on the Lifaus Highway.\Tonight, we shall slay the White Whale with our own hands!\I'm Mimi! Glad to know ya!\My name's Hetaro. Nice to meet you.\Yep, nice to meet you.\Anyway, not that I doubted it, but...\You really are the second-in-command, huh? response:	Huh? Have we met somewhere before?
context: Our destination is Flugel's Tree, on the Lifaus Highway.\Tonight, we shall slay the White Whale with our own hands!\I'm Mimi! Glad to know ya!\My name's Hetaro. Nice to meet you.\Yep, nice to meet you.\Anyway, not that I doubted it, but...\You really are the second-in-command, huh?\Huh? Have we met somewhere before? response:	Hmm... I totally can't remember at all!
context: Tonight, we shall slay the White Whale with our own hands!\I'm Mimi! Glad to know ya!\My name's Hetaro. Nice to meet you.\Yep, nice to meet you.\Anyway, not that I doubted it, but...\You really are the second-in-command, huh?\Huh? Have we met somewhere before?\Hmm... I totally can't remember at all! response:	C-Come on, Sister, you have to sit up properly.
context: I'm Mimi! Glad to know ya!\My name's Hetaro. Nice to meet you.\Yep, nice to meet you.\Anyway, not that I doubted it, but...\You really are the second-in-command, huh?\Huh? Have we met somewhere before?\Hmm... I totally can't remember at all!\C-Come on, Sister, you have to sit up properly. response:	Totally can't...
context: My name's Hetaro. Nice to meet you.\Yep, nice to meet you.\Anyway, not that I doubted it, but...\You really are the second-in-command, huh?\Huh? Have we met somewhere before?\Hmm... I totally can't remember at all!\C-Come on, Sister, you have to sit up properly.\Totally can't... response:	Don't worry about it... Just talking to myself.
context: Yep, nice to meet you.\Anyway, not that I doubted it, but...\You really are the second-in-command, huh?\Huh? Have we met somewhere before?\Hmm... I totally can't remember at all!\C-Come on, Sister, you have to sit up properly.\Totally can't...\Don't worry about it... Just talking to myself. response:	I'm Natsuki Subaru.
context: Anyway, not that I doubted it, but...\You really are the second-in-command, huh?\Huh? Have we met somewhere before?\Hmm... I totally can't remember at all!\C-Come on, Sister, you have to sit up properly.\Totally can't...\Don't worry about it... Just talking to myself.\I'm Natsuki Subaru. response:	So you two are brother and sister, huh?
context: You really are the second-in-command, huh?\Huh? Have we met somewhere before?\Hmm... I totally can't remember at all!\C-Come on, Sister, you have to sit up properly.\Totally can't...\Don't worry about it... Just talking to myself.\I'm Natsuki Subaru.\So you two are brother and sister, huh? response:	Yes, my big sister and I will do our
context: Huh? Have we met somewhere before?\Hmm... I totally can't remember at all!\C-Come on, Sister, you have to sit up properly.\Totally can't...\Don't worry about it... Just talking to myself.\I'm Natsuki Subaru.\So you two are brother and sister, huh?\Yes, my big sister and I will do our response:	When Mimi and Hetaro are together, we're the strongest!
context: Hmm... I totally can't remember at all!\C-Come on, Sister, you have to sit up properly.\Totally can't...\Don't worry about it... Just talking to myself.\I'm Natsuki Subaru.\So you two are brother and sister, huh?\Yes, my big sister and I will do our\When Mimi and Hetaro are together, we're the strongest! response:	And the captain's also here, so we're the super strongest!
context: C-Come on, Sister, you have to sit up properly.\Totally can't...\Don't worry about it... Just talking to myself.\I'm Natsuki Subaru.\So you two are brother and sister, huh?\Yes, my big sister and I will do our\When Mimi and Hetaro are together, we're the strongest!\And the captain's also here, so we're the super strongest! response:	Uh, my sister and the captain tend to be hasty,
context: Totally can't...\Don't worry about it... Just talking to myself.\I'm Natsuki Subaru.\So you two are brother and sister, huh?\Yes, my big sister and I will do our\When Mimi and Hetaro are together, we're the strongest!\And the captain's also here, so we're the super strongest!\Uh, my sister and the captain tend to be hasty, response:	Strongest! Strongest! Super strongest!
context: Don't worry about it... Just talking to myself.\I'm Natsuki Subaru.\So you two are brother and sister, huh?\Yes, my big sister and I will do our\When Mimi and Hetaro are together, we're the strongest!\And the captain's also here, so we're the super strongest!\Uh, my sister and the captain tend to be hasty,\Strongest! Strongest! Super strongest! response:	so I usually give the orders.
context: I'm Natsuki Subaru.\So you two are brother and sister, huh?\Yes, my big sister and I will do our\When Mimi and Hetaro are together, we're the strongest!\And the captain's also here, so we're the super strongest!\Uh, my sister and the captain tend to be hasty,\Strongest! Strongest! Super strongest!\so I usually give the orders. response:	I see...
context: So you two are brother and sister, huh?\Yes, my big sister and I will do our\When Mimi and Hetaro are together, we're the strongest!\And the captain's also here, so we're the super strongest!\Uh, my sister and the captain tend to be hasty,\Strongest! Strongest! Super strongest!\so I usually give the orders.\I see... response:	Must be rough...
context: Yes, my big sister and I will do our\When Mimi and Hetaro are together, we're the strongest!\And the captain's also here, so we're the super strongest!\Uh, my sister and the captain tend to be hasty,\Strongest! Strongest! Super strongest!\so I usually give the orders.\I see...\Must be rough... response:	What's the matter, bro? Ya look awful gloomy!
context: When Mimi and Hetaro are together, we're the strongest!\And the captain's also here, so we're the super strongest!\Uh, my sister and the captain tend to be hasty,\Strongest! Strongest! Super strongest!\so I usually give the orders.\I see...\Must be rough...\What's the matter, bro? Ya look awful gloomy! response:	Whose fault is that?
context: And the captain's also here, so we're the super strongest!\Uh, my sister and the captain tend to be hasty,\Strongest! Strongest! Super strongest!\so I usually give the orders.\I see...\Must be rough...\What's the matter, bro? Ya look awful gloomy!\Whose fault is that? response:	A captain shouldn't make trouble for his men.
context: Uh, my sister and the captain tend to be hasty,\Strongest! Strongest! Super strongest!\so I usually give the orders.\I see...\Must be rough...\What's the matter, bro? Ya look awful gloomy!\Whose fault is that?\A captain shouldn't make trouble for his men. response:	Hey, that's a nice ground dragon ya got there.
context: Strongest! Strongest! Super strongest!\so I usually give the orders.\I see...\Must be rough...\What's the matter, bro? Ya look awful gloomy!\Whose fault is that?\A captain shouldn't make trouble for his men.\Hey, that's a nice ground dragon ya got there. response:	Hey!
context: so I usually give the orders.\I see...\Must be rough...\What's the matter, bro? Ya look awful gloomy!\Whose fault is that?\A captain shouldn't make trouble for his men.\Hey, that's a nice ground dragon ya got there.\Hey! response:	Is it?
context: I see...\Must be rough...\What's the matter, bro? Ya look awful gloomy!\Whose fault is that?\A captain shouldn't make trouble for his men.\Hey, that's a nice ground dragon ya got there.\Hey!\Is it? response:	I borrowed this one because it seemed to like me, but...
context: Must be rough...\What's the matter, bro? Ya look awful gloomy!\Whose fault is that?\A captain shouldn't make trouble for his men.\Hey, that's a nice ground dragon ya got there.\Hey!\Is it?\I borrowed this one because it seemed to like me, but... response:	Come to think of it,
context: What's the matter, bro? Ya look awful gloomy!\Whose fault is that?\A captain shouldn't make trouble for his men.\Hey, that's a nice ground dragon ya got there.\Hey!\Is it?\I borrowed this one because it seemed to like me, but...\Come to think of it, response:	the ones you guys ride look kinda different.
context: Whose fault is that?\A captain shouldn't make trouble for his men.\Hey, that's a nice ground dragon ya got there.\Hey!\Is it?\I borrowed this one because it seemed to like me, but...\Come to think of it,\the ones you guys ride look kinda different. response:	They're called rigers.
context: A captain shouldn't make trouble for his men.\Hey, that's a nice ground dragon ya got there.\Hey!\Is it?\I borrowed this one because it seemed to like me, but...\Come to think of it,\the ones you guys ride look kinda different.\They're called rigers. response:	But ya don't see'em too often in these parts.
context: Hey, that's a nice ground dragon ya got there.\Hey!\Is it?\I borrowed this one because it seemed to like me, but...\Come to think of it,\the ones you guys ride look kinda different.\They're called rigers.\But ya don't see'em too often in these parts. response:	They ain't as strong as ground dragons,
context: Hey!\Is it?\I borrowed this one because it seemed to like me, but...\Come to think of it,\the ones you guys ride look kinda different.\They're called rigers.\But ya don't see'em too often in these parts.\They ain't as strong as ground dragons, response:	but they're much more agile.
context: Is it?\I borrowed this one because it seemed to like me, but...\Come to think of it,\the ones you guys ride look kinda different.\They're called rigers.\But ya don't see'em too often in these parts.\They ain't as strong as ground dragons,\but they're much more agile. response:	If it comes to a brawl against the Whale,
context: I borrowed this one because it seemed to like me, but...\Come to think of it,\the ones you guys ride look kinda different.\They're called rigers.\But ya don't see'em too often in these parts.\They ain't as strong as ground dragons,\but they're much more agile.\If it comes to a brawl against the Whale, response:	that's where they really shine, so watch close.
context: Come to think of it,\the ones you guys ride look kinda different.\They're called rigers.\But ya don't see'em too often in these parts.\They ain't as strong as ground dragons,\but they're much more agile.\If it comes to a brawl against the Whale,\that's where they really shine, so watch close. response:	Shouldn't you have had ground dragons pull the cargo, then?
context: the ones you guys ride look kinda different.\They're called rigers.\But ya don't see'em too often in these parts.\They ain't as strong as ground dragons,\but they're much more agile.\If it comes to a brawl against the Whale,\that's where they really shine, so watch close.\Shouldn't you have had ground dragons pull the cargo, then? response:	We've gotta manage our luggage on our own.
context: They're called rigers.\But ya don't see'em too often in these parts.\They ain't as strong as ground dragons,\but they're much more agile.\If it comes to a brawl against the Whale,\that's where they really shine, so watch close.\Shouldn't you have had ground dragons pull the cargo, then?\We've gotta manage our luggage on our own. response:	If ya think the White Whale's our only enemy,
context: But ya don't see'em too often in these parts.\They ain't as strong as ground dragons,\but they're much more agile.\If it comes to a brawl against the Whale,\that's where they really shine, so watch close.\Shouldn't you have had ground dragons pull the cargo, then?\We've gotta manage our luggage on our own.\If ya think the White Whale's our only enemy, response:	you'll get the rug pulled out from under ya.
context: They ain't as strong as ground dragons,\but they're much more agile.\If it comes to a brawl against the Whale,\that's where they really shine, so watch close.\Shouldn't you have had ground dragons pull the cargo, then?\We've gotta manage our luggage on our own.\If ya think the White Whale's our only enemy,\you'll get the rug pulled out from under ya. response:	Ain't no guarantee we won't run into thieves on the road, after all.
context: but they're much more agile.\If it comes to a brawl against the Whale,\that's where they really shine, so watch close.\Shouldn't you have had ground dragons pull the cargo, then?\We've gotta manage our luggage on our own.\If ya think the White Whale's our only enemy,\you'll get the rug pulled out from under ya.\Ain't no guarantee we won't run into thieves on the road, after all. response:	If anyone's got the guts to take on a fully armed group like this,
context: If it comes to a brawl against the Whale,\that's where they really shine, so watch close.\Shouldn't you have had ground dragons pull the cargo, then?\We've gotta manage our luggage on our own.\If ya think the White Whale's our only enemy,\you'll get the rug pulled out from under ya.\Ain't no guarantee we won't run into thieves on the road, after all.\If anyone's got the guts to take on a fully armed group like this, response:	they wouldn't settle for being thieves.
context: that's where they really shine, so watch close.\Shouldn't you have had ground dragons pull the cargo, then?\We've gotta manage our luggage on our own.\If ya think the White Whale's our only enemy,\you'll get the rug pulled out from under ya.\Ain't no guarantee we won't run into thieves on the road, after all.\If anyone's got the guts to take on a fully armed group like this,\they wouldn't settle for being thieves. response:	Good point!
context: Shouldn't you have had ground dragons pull the cargo, then?\We've gotta manage our luggage on our own.\If ya think the White Whale's our only enemy,\you'll get the rug pulled out from under ya.\Ain't no guarantee we won't run into thieves on the road, after all.\If anyone's got the guts to take on a fully armed group like this,\they wouldn't settle for being thieves.\Good point! response:	It looks like Ricardo-sama is trying to ease everyone's nerves.
context: We've gotta manage our luggage on our own.\If ya think the White Whale's our only enemy,\you'll get the rug pulled out from under ya.\Ain't no guarantee we won't run into thieves on the road, after all.\If anyone's got the guts to take on a fully armed group like this,\they wouldn't settle for being thieves.\Good point!\It looks like Ricardo-sama is trying to ease everyone's nerves. response:	Subaru-kun?
context: If ya think the White Whale's our only enemy,\you'll get the rug pulled out from under ya.\Ain't no guarantee we won't run into thieves on the road, after all.\If anyone's got the guts to take on a fully armed group like this,\they wouldn't settle for being thieves.\Good point!\It looks like Ricardo-sama is trying to ease everyone's nerves.\Subaru-kun? response:	I thought I'd prepared myself for this...
context: you'll get the rug pulled out from under ya.\Ain't no guarantee we won't run into thieves on the road, after all.\If anyone's got the guts to take on a fully armed group like this,\they wouldn't settle for being thieves.\Good point!\It looks like Ricardo-sama is trying to ease everyone's nerves.\Subaru-kun?\I thought I'd prepared myself for this... response:	You can tell the hero inside to awaken,
context: Ain't no guarantee we won't run into thieves on the road, after all.\If anyone's got the guts to take on a fully armed group like this,\they wouldn't settle for being thieves.\Good point!\It looks like Ricardo-sama is trying to ease everyone's nerves.\Subaru-kun?\I thought I'd prepared myself for this...\You can tell the hero inside to awaken, response:	but it really isn't as easy as it sounds.
context: If anyone's got the guts to take on a fully armed group like this,\they wouldn't settle for being thieves.\Good point!\It looks like Ricardo-sama is trying to ease everyone's nerves.\Subaru-kun?\I thought I'd prepared myself for this...\You can tell the hero inside to awaken,\but it really isn't as easy as it sounds. response:	It's huge!
context: they wouldn't settle for being thieves.\Good point!\It looks like Ricardo-sama is trying to ease everyone's nerves.\Subaru-kun?\I thought I'd prepared myself for this...\You can tell the hero inside to awaken,\but it really isn't as easy as it sounds.\It's huge! response:	You sound happy, Subaru-kun.
context: Good point!\It looks like Ricardo-sama is trying to ease everyone's nerves.\Subaru-kun?\I thought I'd prepared myself for this...\You can tell the hero inside to awaken,\but it really isn't as easy as it sounds.\It's huge!\You sound happy, Subaru-kun. response:	Oh, looks like people have carved their names into the trunk.
context: It looks like Ricardo-sama is trying to ease everyone's nerves.\Subaru-kun?\I thought I'd prepared myself for this...\You can tell the hero inside to awaken,\but it really isn't as easy as it sounds.\It's huge!\You sound happy, Subaru-kun.\Oh, looks like people have carved their names into the trunk. response:	We aren't on some field trip.
context: Subaru-kun?\I thought I'd prepared myself for this...\You can tell the hero inside to awaken,\but it really isn't as easy as it sounds.\It's huge!\You sound happy, Subaru-kun.\Oh, looks like people have carved their names into the trunk.\We aren't on some field trip. response:	That's just bad manners...
context: I thought I'd prepared myself for this...\You can tell the hero inside to awaken,\but it really isn't as easy as it sounds.\It's huge!\You sound happy, Subaru-kun.\Oh, looks like people have carved their names into the trunk.\We aren't on some field trip.\That's just bad manners... response:	Rem, get me a chisel!
context: You can tell the hero inside to awaken,\but it really isn't as easy as it sounds.\It's huge!\You sound happy, Subaru-kun.\Oh, looks like people have carved their names into the trunk.\We aren't on some field trip.\That's just bad manners...\Rem, get me a chisel! response:	Even you should know that will get you in trouble, Subaru-kun.
context: but it really isn't as easy as it sounds.\It's huge!\You sound happy, Subaru-kun.\Oh, looks like people have carved their names into the trunk.\We aren't on some field trip.\That's just bad manners...\Rem, get me a chisel!\Even you should know that will get you in trouble, Subaru-kun. response:	With me, for starters.
context: It's huge!\You sound happy, Subaru-kun.\Oh, looks like people have carved their names into the trunk.\We aren't on some field trip.\That's just bad manners...\Rem, get me a chisel!\Even you should know that will get you in trouble, Subaru-kun.\With me, for starters. response:	So the White Whale is coming here?
context: You sound happy, Subaru-kun.\Oh, looks like people have carved their names into the trunk.\We aren't on some field trip.\That's just bad manners...\Rem, get me a chisel!\Even you should know that will get you in trouble, Subaru-kun.\With me, for starters.\So the White Whale is coming here? response:	Honestly, I am opposed to
context: Oh, looks like people have carved their names into the trunk.\We aren't on some field trip.\That's just bad manners...\Rem, get me a chisel!\Even you should know that will get you in trouble, Subaru-kun.\With me, for starters.\So the White Whale is coming here?\Honestly, I am opposed to response:	using the witch's scent to draw the White Whale here.
context: We aren't on some field trip.\That's just bad manners...\Rem, get me a chisel!\Even you should know that will get you in trouble, Subaru-kun.\With me, for starters.\So the White Whale is coming here?\Honestly, I am opposed to\using the witch's scent to draw the White Whale here. response:	It's too dangerous.
context: That's just bad manners...\Rem, get me a chisel!\Even you should know that will get you in trouble, Subaru-kun.\With me, for starters.\So the White Whale is coming here?\Honestly, I am opposed to\using the witch's scent to draw the White Whale here.\It's too dangerous. response:	I'll use whatever I can.
context: Rem, get me a chisel!\Even you should know that will get you in trouble, Subaru-kun.\With me, for starters.\So the White Whale is coming here?\Honestly, I am opposed to\using the witch's scent to draw the White Whale here.\It's too dangerous.\I'll use whatever I can. response:	If it gives us even a slightly better chance of winning, it's worth it.
