context: A giant, centipede-like demon pulled me... response:	into the depths of the Hidden Well in the shrine.
context: I am Kagome!\But if it's okay, Kikyo, please lend me your power...\Hit it!\You're not lying about her being a master archer, are you?\Then you must be a klutz!\Look, now it's gettin' bigger!\Aim!\Oww! response:	Now I get it!
context: But if it's okay, Kikyo, please lend me your power...\Hit it!\You're not lying about her being a master archer, are you?\Then you must be a klutz!\Look, now it's gettin' bigger!\Aim!\Oww!\Now I get it! response:	No way you're Kikyo incarnated!
context: Hit it!\You're not lying about her being a master archer, are you?\Then you must be a klutz!\Look, now it's gettin' bigger!\Aim!\Oww!\Now I get it!\No way you're Kikyo incarnated! response:	Now I know not to expect nothin'.
context: You're not lying about her being a master archer, are you?\Then you must be a klutz!\Look, now it's gettin' bigger!\Aim!\Oww!\Now I get it!\No way you're Kikyo incarnated!\Now I know not to expect nothin'. response:	Inuyasha!
context: Then you must be a klutz!\Look, now it's gettin' bigger!\Aim!\Oww!\Now I get it!\No way you're Kikyo incarnated!\Now I know not to expect nothin'.\Inuyasha! response:	My son!
context: Look, now it's gettin' bigger!\Aim!\Oww!\Now I get it!\No way you're Kikyo incarnated!\Now I know not to expect nothin'.\Inuyasha!\My son! response:	Looking for food already?
context: Aim!\Oww!\Now I get it!\No way you're Kikyo incarnated!\Now I know not to expect nothin'.\Inuyasha!\My son!\Looking for food already? response:	Well, you'd better think about running away from me first!
context: Oww!\Now I get it!\No way you're Kikyo incarnated!\Now I know not to expect nothin'.\Inuyasha!\My son!\Looking for food already?\Well, you'd better think about running away from me first! response:	You can't hunt if you're bein' hunted!
context: Now I get it!\No way you're Kikyo incarnated!\Now I know not to expect nothin'.\Inuyasha!\My son!\Looking for food already?\Well, you'd better think about running away from me first!\You can't hunt if you're bein' hunted! response:	No! Save the child!
context: No way you're Kikyo incarnated!\Now I know not to expect nothin'.\Inuyasha!\My son!\Looking for food already?\Well, you'd better think about running away from me first!\You can't hunt if you're bein' hunted!\No! Save the child! response:	Yeah, right!
context: Now I know not to expect nothin'.\Inuyasha!\My son!\Looking for food already?\Well, you'd better think about running away from me first!\You can't hunt if you're bein' hunted!\No! Save the child!\Yeah, right! response:	Iron Reaver, Soul Stealer!
context: Inuyasha!\My son!\Looking for food already?\Well, you'd better think about running away from me first!\You can't hunt if you're bein' hunted!\No! Save the child!\Yeah, right!\Iron Reaver, Soul Stealer! response:	Where is it? Where's the Sacred Jewel!
context: My son!\Looking for food already?\Well, you'd better think about running away from me first!\You can't hunt if you're bein' hunted!\No! Save the child!\Yeah, right!\Iron Reaver, Soul Stealer!\Where is it? Where's the Sacred Jewel! response:	My son! Shokichi!
context: Looking for food already?\Well, you'd better think about running away from me first!\You can't hunt if you're bein' hunted!\No! Save the child!\Yeah, right!\Iron Reaver, Soul Stealer!\Where is it? Where's the Sacred Jewel!\My son! Shokichi! response:	I'm glad I went to swimming classes.
context: Well, you'd better think about running away from me first!\You can't hunt if you're bein' hunted!\No! Save the child!\Yeah, right!\Iron Reaver, Soul Stealer!\Where is it? Where's the Sacred Jewel!\My son! Shokichi!\I'm glad I went to swimming classes. response:	How is she doin' that?!
context: You can't hunt if you're bein' hunted!\No! Save the child!\Yeah, right!\Iron Reaver, Soul Stealer!\Where is it? Where's the Sacred Jewel!\My son! Shokichi!\I'm glad I went to swimming classes.\How is she doin' that?! response:	So fast!
context: No! Save the child!\Yeah, right!\Iron Reaver, Soul Stealer!\Where is it? Where's the Sacred Jewel!\My son! Shokichi!\I'm glad I went to swimming classes.\How is she doin' that?!\So fast! response:	She must be a kappa! A water-imp!
context: Yeah, right!\Iron Reaver, Soul Stealer!\Where is it? Where's the Sacred Jewel!\My son! Shokichi!\I'm glad I went to swimming classes.\How is she doin' that?!\So fast!\She must be a kappa! A water-imp! response:	First time I saw one up-close!
context: Iron Reaver, Soul Stealer!\Where is it? Where's the Sacred Jewel!\My son! Shokichi!\I'm glad I went to swimming classes.\How is she doin' that?!\So fast!\She must be a kappa! A water-imp!\First time I saw one up-close! response:	Help!
context: Where is it? Where's the Sacred Jewel!\My son! Shokichi!\I'm glad I went to swimming classes.\How is she doin' that?!\So fast!\She must be a kappa! A water-imp!\First time I saw one up-close!\Help! response:	Hang on!
context: My son! Shokichi!\I'm glad I went to swimming classes.\How is she doin' that?!\So fast!\She must be a kappa! A water-imp!\First time I saw one up-close!\Help!\Hang on! response:	Relax...
context: I'm glad I went to swimming classes.\How is she doin' that?!\So fast!\She must be a kappa! A water-imp!\First time I saw one up-close!\Help!\Hang on!\Relax... response:	The kappa is swimmin' on its back! IMPossible!
context: How is she doin' that?!\So fast!\She must be a kappa! A water-imp!\First time I saw one up-close!\Help!\Hang on!\Relax...\The kappa is swimmin' on its back! IMPossible! response:	I'll kappa you, you stupid...
context: So fast!\She must be a kappa! A water-imp!\First time I saw one up-close!\Help!\Hang on!\Relax...\The kappa is swimmin' on its back! IMPossible!\I'll kappa you, you stupid... response:	Hey girl! Where's the Sacred Jewel?!
context: She must be a kappa! A water-imp!\First time I saw one up-close!\Help!\Hang on!\Relax...\The kappa is swimmin' on its back! IMPossible!\I'll kappa you, you stupid...\Hey girl! Where's the Sacred Jewel?! response:	Shokichi!
context: First time I saw one up-close!\Help!\Hang on!\Relax...\The kappa is swimmin' on its back! IMPossible!\I'll kappa you, you stupid...\Hey girl! Where's the Sacred Jewel?!\Shokichi! response:	Wh-What?!
context: Help!\Hang on!\Relax...\The kappa is swimmin' on its back! IMPossible!\I'll kappa you, you stupid...\Hey girl! Where's the Sacred Jewel?!\Shokichi!\Wh-What?! response:	Thanks, lady!
context: Hang on!\Relax...\The kappa is swimmin' on its back! IMPossible!\I'll kappa you, you stupid...\Hey girl! Where's the Sacred Jewel?!\Shokichi!\Wh-What?!\Thanks, lady! response:	Thank you so much. Thank you!
context: Relax...\The kappa is swimmin' on its back! IMPossible!\I'll kappa you, you stupid...\Hey girl! Where's the Sacred Jewel?!\Shokichi!\Wh-What?!\Thanks, lady!\Thank you so much. Thank you! response:	It's okay, really.
context: The kappa is swimmin' on its back! IMPossible!\I'll kappa you, you stupid...\Hey girl! Where's the Sacred Jewel?!\Shokichi!\Wh-What?!\Thanks, lady!\Thank you so much. Thank you!\It's okay, really. response:	Ahh! It's gettin' away!
context: I'll kappa you, you stupid...\Hey girl! Where's the Sacred Jewel?!\Shokichi!\Wh-What?!\Thanks, lady!\Thank you so much. Thank you!\It's okay, really.\Ahh! It's gettin' away! response:	I guess this is no time to be fighting.
context: Hey girl! Where's the Sacred Jewel?!\Shokichi!\Wh-What?!\Thanks, lady!\Thank you so much. Thank you!\It's okay, really.\Ahh! It's gettin' away!\I guess this is no time to be fighting. response:	Aha!
context: Shokichi!\Wh-What?!\Thanks, lady!\Thank you so much. Thank you!\It's okay, really.\Ahh! It's gettin' away!\I guess this is no time to be fighting.\Aha! response:	May I use your bow and arrow?
context: Wh-What?!\Thanks, lady!\Thank you so much. Thank you!\It's okay, really.\Ahh! It's gettin' away!\I guess this is no time to be fighting.\Aha!\May I use your bow and arrow? response:	Huh?
context: Thanks, lady!\Thank you so much. Thank you!\It's okay, really.\Ahh! It's gettin' away!\I guess this is no time to be fighting.\Aha!\May I use your bow and arrow?\Huh? response:	But it's so far away...
context: Thank you so much. Thank you!\It's okay, really.\Ahh! It's gettin' away!\I guess this is no time to be fighting.\Aha!\May I use your bow and arrow?\Huh?\But it's so far away... response:	No way she can get it.
context: It's okay, really.\Ahh! It's gettin' away!\I guess this is no time to be fighting.\Aha!\May I use your bow and arrow?\Huh?\But it's so far away...\No way she can get it. response:	This time, for sure... I'll get it!
context: Ahh! It's gettin' away!\I guess this is no time to be fighting.\Aha!\May I use your bow and arrow?\Huh?\But it's so far away...\No way she can get it.\This time, for sure... I'll get it! response:	She attached the foot of the Corpse Crow...
context: I guess this is no time to be fighting.\Aha!\May I use your bow and arrow?\Huh?\But it's so far away...\No way she can get it.\This time, for sure... I'll get it!\She attached the foot of the Corpse Crow... response:	The crow's foot will be drawn by the power of the Sacred Jewel.
context: Aha!\May I use your bow and arrow?\Huh?\But it's so far away...\No way she can get it.\This time, for sure... I'll get it!\She attached the foot of the Corpse Crow...\The crow's foot will be drawn by the power of the Sacred Jewel. response:	I did it!
context: May I use your bow and arrow?\Huh?\But it's so far away...\No way she can get it.\This time, for sure... I'll get it!\She attached the foot of the Corpse Crow...\The crow's foot will be drawn by the power of the Sacred Jewel.\I did it! response:	She got it?
context: Huh?\But it's so far away...\No way she can get it.\This time, for sure... I'll get it!\She attached the foot of the Corpse Crow...\The crow's foot will be drawn by the power of the Sacred Jewel.\I did it!\She got it? response:	But... what's that light?
context: But it's so far away...\No way she can get it.\This time, for sure... I'll get it!\She attached the foot of the Corpse Crow...\The crow's foot will be drawn by the power of the Sacred Jewel.\I did it!\She got it?\But... what's that light? response:	Priestess Kaede... Up in the sky!
context: No way she can get it.\This time, for sure... I'll get it!\She attached the foot of the Corpse Crow...\The crow's foot will be drawn by the power of the Sacred Jewel.\I did it!\She got it?\But... what's that light?\Priestess Kaede... Up in the sky! response:	I've got a bad feeling about this...
context: This time, for sure... I'll get it!\She attached the foot of the Corpse Crow...\The crow's foot will be drawn by the power of the Sacred Jewel.\I did it!\She got it?\But... what's that light?\Priestess Kaede... Up in the sky!\I've got a bad feeling about this... response:	Are you sure it's around here?
context: She attached the foot of the Corpse Crow...\The crow's foot will be drawn by the power of the Sacred Jewel.\I did it!\She got it?\But... what's that light?\Priestess Kaede... Up in the sky!\I've got a bad feeling about this...\Are you sure it's around here? response:	Yeah... I feel it...
context: The crow's foot will be drawn by the power of the Sacred Jewel.\I did it!\She got it?\But... what's that light?\Priestess Kaede... Up in the sky!\I've got a bad feeling about this...\Are you sure it's around here?\Yeah... I feel it... response:	But I wonder what it was... that light?
context: I did it!\She got it?\But... what's that light?\Priestess Kaede... Up in the sky!\I've got a bad feeling about this...\Are you sure it's around here?\Yeah... I feel it...\But I wonder what it was... that light? response:	Die!
context: She got it?\But... what's that light?\Priestess Kaede... Up in the sky!\I've got a bad feeling about this...\Are you sure it's around here?\Yeah... I feel it...\But I wonder what it was... that light?\Die! response:	Could this be?
context: But... what's that light?\Priestess Kaede... Up in the sky!\I've got a bad feeling about this...\Are you sure it's around here?\Yeah... I feel it...\But I wonder what it was... that light?\Die!\Could this be? response:	Could this be...what.
context: Priestess Kaede... Up in the sky!\I've got a bad feeling about this...\Are you sure it's around here?\Yeah... I feel it...\But I wonder what it was... that light?\Die!\Could this be?\Could this be...what. response:	A fragment of the Sacred Jewel?
context: I've got a bad feeling about this...\Are you sure it's around here?\Yeah... I feel it...\But I wonder what it was... that light?\Die!\Could this be?\Could this be...what.\A fragment of the Sacred Jewel? response:	Wh... What did you say?!
context: Are you sure it's around here?\Yeah... I feel it...\But I wonder what it was... that light?\Die!\Could this be?\Could this be...what.\A fragment of the Sacred Jewel?\Wh... What did you say?! response:	The Sacred Jewel is in pieces!
context: Yeah... I feel it...\But I wonder what it was... that light?\Die!\Could this be?\Could this be...what.\A fragment of the Sacred Jewel?\Wh... What did you say?!\The Sacred Jewel is in pieces! response:	Since even ONE piece can make demons powerful...
context: But I wonder what it was... that light?\Die!\Could this be?\Could this be...what.\A fragment of the Sacred Jewel?\Wh... What did you say?!\The Sacred Jewel is in pieces!\Since even ONE piece can make demons powerful... response:	it's up to us to get them back!
context: Die!\Could this be?\Could this be...what.\A fragment of the Sacred Jewel?\Wh... What did you say?!\The Sacred Jewel is in pieces!\Since even ONE piece can make demons powerful...\it's up to us to get them back! response:	Of course Inuyasha will want them for himself...
context: Could this be?\Could this be...what.\A fragment of the Sacred Jewel?\Wh... What did you say?!\The Sacred Jewel is in pieces!\Since even ONE piece can make demons powerful...\it's up to us to get them back!\Of course Inuyasha will want them for himself... response:	What am I gonna do?!
context: Could this be...what.\A fragment of the Sacred Jewel?\Wh... What did you say?!\The Sacred Jewel is in pieces!\Since even ONE piece can make demons powerful...\it's up to us to get them back!\Of course Inuyasha will want them for himself...\What am I gonna do?! response:	Isn't a girl who uses hair like wires bad enough?
context: A fragment of the Sacred Jewel?\Wh... What did you say?!\The Sacred Jewel is in pieces!\Since even ONE piece can make demons powerful...\it's up to us to get them back!\Of course Inuyasha will want them for himself...\What am I gonna do?!\Isn't a girl who uses hair like wires bad enough? response:	Next time.
context: Wh... What did you say?!\The Sacred Jewel is in pieces!\Since even ONE piece can make demons powerful...\it's up to us to get them back!\Of course Inuyasha will want them for himself...\What am I gonna do?!\Isn't a girl who uses hair like wires bad enough?\Next time. response:	Down the Rabbit Hole and Back Again
context: The Sacred Jewel is in pieces!\Since even ONE piece can make demons powerful...\it's up to us to get them back!\Of course Inuyasha will want them for himself...\What am I gonna do?!\Isn't a girl who uses hair like wires bad enough?\Next time.\Down the Rabbit Hole and Back Again response:	See you soon!
