context: they're gonna bash the Star Rose into the gate! response:	You're going to ram the Star Rose into the gate?!
context: You mean its frame changed.\Marvelous! I shall respond in suit!\Remaining distance to the gate: 100!\Withdraw, Team Rabbits!\All armies, retreat!\Pull back, Kei, Tamaki and Suruga!\What about Izuru?\He will survive. response:	That's how the JURIA-System works, right?
context: Marvelous! I shall respond in suit!\Remaining distance to the gate: 100!\Withdraw, Team Rabbits!\All armies, retreat!\Pull back, Kei, Tamaki and Suruga!\What about Izuru?\He will survive.\That's how the JURIA-System works, right? response:	Lady Teoria, please hurry!
context: Remaining distance to the gate: 100!\Withdraw, Team Rabbits!\All armies, retreat!\Pull back, Kei, Tamaki and Suruga!\What about Izuru?\He will survive.\That's how the JURIA-System works, right?\Lady Teoria, please hurry! response:	Lady Teoria...?
context: Withdraw, Team Rabbits!\All armies, retreat!\Pull back, Kei, Tamaki and Suruga!\What about Izuru?\He will survive.\That's how the JURIA-System works, right?\Lady Teoria, please hurry!\Lady Teoria...? response:	I want you to go back.
context: All armies, retreat!\Pull back, Kei, Tamaki and Suruga!\What about Izuru?\He will survive.\That's how the JURIA-System works, right?\Lady Teoria, please hurry!\Lady Teoria...?\I want you to go back. response:	I will see this through to the end!
context: Pull back, Kei, Tamaki and Suruga!\What about Izuru?\He will survive.\That's how the JURIA-System works, right?\Lady Teoria, please hurry!\Lady Teoria...?\I want you to go back.\I will see this through to the end! response:	Then so shall I.
context: What about Izuru?\He will survive.\That's how the JURIA-System works, right?\Lady Teoria, please hurry!\Lady Teoria...?\I want you to go back.\I will see this through to the end!\Then so shall I. response:	I swear that we will stop you!
context: He will survive.\That's how the JURIA-System works, right?\Lady Teoria, please hurry!\Lady Teoria...?\I want you to go back.\I will see this through to the end!\Then so shall I.\I swear that we will stop you! response:	One minute until collision.
context: That's how the JURIA-System works, right?\Lady Teoria, please hurry!\Lady Teoria...?\I want you to go back.\I will see this through to the end!\Then so shall I.\I swear that we will stop you!\One minute until collision. response:	Izuru, hurry! Please!
context: Lady Teoria, please hurry!\Lady Teoria...?\I want you to go back.\I will see this through to the end!\Then so shall I.\I swear that we will stop you!\One minute until collision.\Izuru, hurry! Please! response:	Commander Simon...
context: Lady Teoria...?\I want you to go back.\I will see this through to the end!\Then so shall I.\I swear that we will stop you!\One minute until collision.\Izuru, hurry! Please!\Commander Simon... response:	Dad...
context: I want you to go back.\I will see this through to the end!\Then so shall I.\I swear that we will stop you!\One minute until collision.\Izuru, hurry! Please!\Commander Simon...\Dad... response:	Red 5, retreat!
context: I will see this through to the end!\Then so shall I.\I swear that we will stop you!\One minute until collision.\Izuru, hurry! Please!\Commander Simon...\Dad...\Red 5, retreat! response:	Red 5!
context: Then so shall I.\I swear that we will stop you!\One minute until collision.\Izuru, hurry! Please!\Commander Simon...\Dad...\Red 5, retreat!\Red 5! response:	Izuru, come back!
context: I swear that we will stop you!\One minute until collision.\Izuru, hurry! Please!\Commander Simon...\Dad...\Red 5, retreat!\Red 5!\Izuru, come back! response:	What's keeping you?
context: One minute until collision.\Izuru, hurry! Please!\Commander Simon...\Dad...\Red 5, retreat!\Red 5!\Izuru, come back!\What's keeping you? response:	It's about to ram into the gate!
context: Izuru, hurry! Please!\Commander Simon...\Dad...\Red 5, retreat!\Red 5!\Izuru, come back!\What's keeping you?\It's about to ram into the gate! response:	Izuru!
context: Commander Simon...\Dad...\Red 5, retreat!\Red 5!\Izuru, come back!\What's keeping you?\It's about to ram into the gate!\Izuru! response:	Commander Simon, please abandon ship!
context: Dad...\Red 5, retreat!\Red 5!\Izuru, come back!\What's keeping you?\It's about to ram into the gate!\Izuru!\Commander Simon, please abandon ship! response:	Now that it has come to this...!
context: Red 5, retreat!\Red 5!\Izuru, come back!\What's keeping you?\It's about to ram into the gate!\Izuru!\Commander Simon, please abandon ship!\Now that it has come to this...! response:	Legatus Dolgana, please retreat!
context: Red 5!\Izuru, come back!\What's keeping you?\It's about to ram into the gate!\Izuru!\Commander Simon, please abandon ship!\Now that it has come to this...!\Legatus Dolgana, please retreat! response:	There is no turning back!
context: Izuru, come back!\What's keeping you?\It's about to ram into the gate!\Izuru!\Commander Simon, please abandon ship!\Now that it has come to this...!\Legatus Dolgana, please retreat!\There is no turning back! response:	Please wait here!
context: What's keeping you?\It's about to ram into the gate!\Izuru!\Commander Simon, please abandon ship!\Now that it has come to this...!\Legatus Dolgana, please retreat!\There is no turning back!\Please wait here! response:	Daneel!
context: It's about to ram into the gate!\Izuru!\Commander Simon, please abandon ship!\Now that it has come to this...!\Legatus Dolgana, please retreat!\There is no turning back!\Please wait here!\Daneel! response:	Lemme handle these pests!
context: Izuru!\Commander Simon, please abandon ship!\Now that it has come to this...!\Legatus Dolgana, please retreat!\There is no turning back!\Please wait here!\Daneel!\Lemme handle these pests! response:	Bite the dust, ya nasty ground beetles!
context: Commander Simon, please abandon ship!\Now that it has come to this...!\Legatus Dolgana, please retreat!\There is no turning back!\Please wait here!\Daneel!\Lemme handle these pests!\Bite the dust, ya nasty ground beetles! response:	I'm not done yet!
context: Now that it has come to this...!\Legatus Dolgana, please retreat!\There is no turning back!\Please wait here!\Daneel!\Lemme handle these pests!\Bite the dust, ya nasty ground beetles!\I'm not done yet! response:	All armies, retreat! Pull back before the gate implodes!
context: Legatus Dolgana, please retreat!\There is no turning back!\Please wait here!\Daneel!\Lemme handle these pests!\Bite the dust, ya nasty ground beetles!\I'm not done yet!\All armies, retreat! Pull back before the gate implodes! response:	Don't pursue the retreating enemy fleets!
context: There is no turning back!\Please wait here!\Daneel!\Lemme handle these pests!\Bite the dust, ya nasty ground beetles!\I'm not done yet!\All armies, retreat! Pull back before the gate implodes!\Don't pursue the retreating enemy fleets! response:	To live and die in accordance to one's instincts...
context: Please wait here!\Daneel!\Lemme handle these pests!\Bite the dust, ya nasty ground beetles!\I'm not done yet!\All armies, retreat! Pull back before the gate implodes!\Don't pursue the retreating enemy fleets!\To live and die in accordance to one's instincts... response:	In a sense, that is the ultimate way for any creature to live its life.
context: Daneel!\Lemme handle these pests!\Bite the dust, ya nasty ground beetles!\I'm not done yet!\All armies, retreat! Pull back before the gate implodes!\Don't pursue the retreating enemy fleets!\To live and die in accordance to one's instincts...\In a sense, that is the ultimate way for any creature to live its life. response:	May you fare well, Princess Teoria.
context: Lemme handle these pests!\Bite the dust, ya nasty ground beetles!\I'm not done yet!\All armies, retreat! Pull back before the gate implodes!\Don't pursue the retreating enemy fleets!\To live and die in accordance to one's instincts...\In a sense, that is the ultimate way for any creature to live its life.\May you fare well, Princess Teoria. response:	Ten seconds until collision!
context: Bite the dust, ya nasty ground beetles!\I'm not done yet!\All armies, retreat! Pull back before the gate implodes!\Don't pursue the retreating enemy fleets!\To live and die in accordance to one's instincts...\In a sense, that is the ultimate way for any creature to live its life.\May you fare well, Princess Teoria.\Ten seconds until collision! response:	Stupid!
context: I'm not done yet!\All armies, retreat! Pull back before the gate implodes!\Don't pursue the retreating enemy fleets!\To live and die in accordance to one's instincts...\In a sense, that is the ultimate way for any creature to live its life.\May you fare well, Princess Teoria.\Ten seconds until collision!\Stupid! response:	Izuru! Stupid!
context: All armies, retreat! Pull back before the gate implodes!\Don't pursue the retreating enemy fleets!\To live and die in accordance to one's instincts...\In a sense, that is the ultimate way for any creature to live its life.\May you fare well, Princess Teoria.\Ten seconds until collision!\Stupid!\Izuru! Stupid! response:	Come back! Izuru! Stupid!
context: Don't pursue the retreating enemy fleets!\To live and die in accordance to one's instincts...\In a sense, that is the ultimate way for any creature to live its life.\May you fare well, Princess Teoria.\Ten seconds until collision!\Stupid!\Izuru! Stupid!\Come back! Izuru! Stupid! response:	Come back! What's keepin' ya?!
context: To live and die in accordance to one's instincts...\In a sense, that is the ultimate way for any creature to live its life.\May you fare well, Princess Teoria.\Ten seconds until collision!\Stupid!\Izuru! Stupid!\Come back! Izuru! Stupid!\Come back! What's keepin' ya?! response:	5,
context: In a sense, that is the ultimate way for any creature to live its life.\May you fare well, Princess Teoria.\Ten seconds until collision!\Stupid!\Izuru! Stupid!\Come back! Izuru! Stupid!\Come back! What's keepin' ya?!\5, response:	4,
context: May you fare well, Princess Teoria.\Ten seconds until collision!\Stupid!\Izuru! Stupid!\Come back! Izuru! Stupid!\Come back! What's keepin' ya?!\5,\4, response:	3,
context: Ten seconds until collision!\Stupid!\Izuru! Stupid!\Come back! Izuru! Stupid!\Come back! What's keepin' ya?!\5,\4,\3, response:	2,
context: Stupid!\Izuru! Stupid!\Come back! Izuru! Stupid!\Come back! What's keepin' ya?!\5,\4,\3,\2, response:	1,
context: Izuru! Stupid!\Come back! Izuru! Stupid!\Come back! What's keepin' ya?!\5,\4,\3,\2,\1, response:	Star Rose Galaxy Rest Area
context: Come back! Izuru! Stupid!\Come back! What's keepin' ya?!\5,\4,\3,\2,\1,\Star Rose Galaxy Rest Area response:	Izuru!
context: Come back! What's keepin' ya?!\5,\4,\3,\2,\1,\Star Rose Galaxy Rest Area\Izuru! response:	The gate is starting to collapse.
context: 5,\4,\3,\2,\1,\Star Rose Galaxy Rest Area\Izuru!\The gate is starting to collapse. response:	The operation was a success.
context: 4,\3,\2,\1,\Star Rose Galaxy Rest Area\Izuru!\The gate is starting to collapse.\The operation was a success. response:	This is the moment I have been waiting for!
context: 3,\2,\1,\Star Rose Galaxy Rest Area\Izuru!\The gate is starting to collapse.\The operation was a success.\This is the moment I have been waiting for! response:	I'm not finished yet!
context: 2,\1,\Star Rose Galaxy Rest Area\Izuru!\The gate is starting to collapse.\The operation was a success.\This is the moment I have been waiting for!\I'm not finished yet! response:	The time to hunt you down is now!
context: 1,\Star Rose Galaxy Rest Area\Izuru!\The gate is starting to collapse.\The operation was a success.\This is the moment I have been waiting for!\I'm not finished yet!\The time to hunt you down is now! response:	I will survive and return to my friends!
context: Star Rose Galaxy Rest Area\Izuru!\The gate is starting to collapse.\The operation was a success.\This is the moment I have been waiting for!\I'm not finished yet!\The time to hunt you down is now!\I will survive and return to my friends! response:	We can still achieve heights far greater than this!
context: Izuru!\The gate is starting to collapse.\The operation was a success.\This is the moment I have been waiting for!\I'm not finished yet!\The time to hunt you down is now!\I will survive and return to my friends!\We can still achieve heights far greater than this! response:	They destroyed our gate?
context: The gate is starting to collapse.\The operation was a success.\This is the moment I have been waiting for!\I'm not finished yet!\The time to hunt you down is now!\I will survive and return to my friends!\We can still achieve heights far greater than this!\They destroyed our gate? response:	I am terribly sorry.
context: The operation was a success.\This is the moment I have been waiting for!\I'm not finished yet!\The time to hunt you down is now!\I will survive and return to my friends!\We can still achieve heights far greater than this!\They destroyed our gate?\I am terribly sorry. response:	At long last, we have found it.
context: This is the moment I have been waiting for!\I'm not finished yet!\The time to hunt you down is now!\I will survive and return to my friends!\We can still achieve heights far greater than this!\They destroyed our gate?\I am terribly sorry.\At long last, we have found it. response:	The gate may have closed,
context: I'm not finished yet!\The time to hunt you down is now!\I will survive and return to my friends!\We can still achieve heights far greater than this!\They destroyed our gate?\I am terribly sorry.\At long last, we have found it.\The gate may have closed, response:	but a new evolutionary path has opened before us.
context: The time to hunt you down is now!\I will survive and return to my friends!\We can still achieve heights far greater than this!\They destroyed our gate?\I am terribly sorry.\At long last, we have found it.\The gate may have closed,\but a new evolutionary path has opened before us. response:	There are heat signatures coming from the direction of the gate!
context: I will survive and return to my friends!\We can still achieve heights far greater than this!\They destroyed our gate?\I am terribly sorry.\At long last, we have found it.\The gate may have closed,\but a new evolutionary path has opened before us.\There are heat signatures coming from the direction of the gate! response:	Confirming their ID codes!
context: We can still achieve heights far greater than this!\They destroyed our gate?\I am terribly sorry.\At long last, we have found it.\The gate may have closed,\but a new evolutionary path has opened before us.\There are heat signatures coming from the direction of the gate!\Confirming their ID codes! response:	They're Teoria and Daneel's units!
context: They destroyed our gate?\I am terribly sorry.\At long last, we have found it.\The gate may have closed,\but a new evolutionary path has opened before us.\There are heat signatures coming from the direction of the gate!\Confirming their ID codes!\They're Teoria and Daneel's units! response:	I am sorry.
context: I am terribly sorry.\At long last, we have found it.\The gate may have closed,\but a new evolutionary path has opened before us.\There are heat signatures coming from the direction of the gate!\Confirming their ID codes!\They're Teoria and Daneel's units!\I am sorry. response:	I had a hard time convincing him to abandon ship.
context: At long last, we have found it.\The gate may have closed,\but a new evolutionary path has opened before us.\There are heat signatures coming from the direction of the gate!\Confirming their ID codes!\They're Teoria and Daneel's units!\I am sorry.\I had a hard time convincing him to abandon ship. response:	Thank you, Princess.
context: The gate may have closed,\but a new evolutionary path has opened before us.\There are heat signatures coming from the direction of the gate!\Confirming their ID codes!\They're Teoria and Daneel's units!\I am sorry.\I had a hard time convincing him to abandon ship.\Thank you, Princess. response:	I've failed to die yet again, Juria.
context: but a new evolutionary path has opened before us.\There are heat signatures coming from the direction of the gate!\Confirming their ID codes!\They're Teoria and Daneel's units!\I am sorry.\I had a hard time convincing him to abandon ship.\Thank you, Princess.\I've failed to die yet again, Juria. response:	And I have lost everything.
context: There are heat signatures coming from the direction of the gate!\Confirming their ID codes!\They're Teoria and Daneel's units!\I am sorry.\I had a hard time convincing him to abandon ship.\Thank you, Princess.\I've failed to die yet again, Juria.\And I have lost everything. response:	However,
context: Confirming their ID codes!\They're Teoria and Daneel's units!\I am sorry.\I had a hard time convincing him to abandon ship.\Thank you, Princess.\I've failed to die yet again, Juria.\And I have lost everything.\However, response:	a new hero has been born.
context: They're Teoria and Daneel's units!\I am sorry.\I had a hard time convincing him to abandon ship.\Thank you, Princess.\I've failed to die yet again, Juria.\And I have lost everything.\However,\a new hero has been born. response:	Where is Red 5... Izuru?
context: I am sorry.\I had a hard time convincing him to abandon ship.\Thank you, Princess.\I've failed to die yet again, Juria.\And I have lost everything.\However,\a new hero has been born.\Where is Red 5... Izuru? response:	I'm not getting any readings on my monitor!
context: I had a hard time convincing him to abandon ship.\Thank you, Princess.\I've failed to die yet again, Juria.\And I have lost everything.\However,\a new hero has been born.\Where is Red 5... Izuru?\I'm not getting any readings on my monitor! response:	Guiliano! Siegfried!
context: Thank you, Princess.\I've failed to die yet again, Juria.\And I have lost everything.\However,\a new hero has been born.\Where is Red 5... Izuru?\I'm not getting any readings on my monitor!\Guiliano! Siegfried! response:	Maximize our broad sensor's output and find him!
context: I've failed to die yet again, Juria.\And I have lost everything.\However,\a new hero has been born.\Where is Red 5... Izuru?\I'm not getting any readings on my monitor!\Guiliano! Siegfried!\Maximize our broad sensor's output and find him! response:	Roger!
context: And I have lost everything.\However,\a new hero has been born.\Where is Red 5... Izuru?\I'm not getting any readings on my monitor!\Guiliano! Siegfried!\Maximize our broad sensor's output and find him!\Roger! response:	Maximizing broad sensor output!
context: However,\a new hero has been born.\Where is Red 5... Izuru?\I'm not getting any readings on my monitor!\Guiliano! Siegfried!\Maximize our broad sensor's output and find him!\Roger!\Maximizing broad sensor output! response:	Izuru...!
context: a new hero has been born.\Where is Red 5... Izuru?\I'm not getting any readings on my monitor!\Guiliano! Siegfried!\Maximize our broad sensor's output and find him!\Roger!\Maximizing broad sensor output!\Izuru...! response:	Izuru!
context: Where is Red 5... Izuru?\I'm not getting any readings on my monitor!\Guiliano! Siegfried!\Maximize our broad sensor's output and find him!\Roger!\Maximizing broad sensor output!\Izuru...!\Izuru! response:	I'm picking something up in Sector AE-23!
context: I'm not getting any readings on my monitor!\Guiliano! Siegfried!\Maximize our broad sensor's output and find him!\Roger!\Maximizing broad sensor output!\Izuru...!\Izuru!\I'm picking something up in Sector AE-23! response:	I've confirmed that it's Red 5! I'm sending you the coordinates!
context: Guiliano! Siegfried!\Maximize our broad sensor's output and find him!\Roger!\Maximizing broad sensor output!\Izuru...!\Izuru!\I'm picking something up in Sector AE-23!\I've confirmed that it's Red 5! I'm sending you the coordinates! response:	Izuru!
context: Maximize our broad sensor's output and find him!\Roger!\Maximizing broad sensor output!\Izuru...!\Izuru!\I'm picking something up in Sector AE-23!\I've confirmed that it's Red 5! I'm sending you the coordinates!\Izuru! response:	Izuru!
context: Roger!\Maximizing broad sensor output!\Izuru...!\Izuru!\I'm picking something up in Sector AE-23!\I've confirmed that it's Red 5! I'm sending you the coordinates!\Izuru!\Izuru! response:	Izuru!
context: Maximizing broad sensor output!\Izuru...!\Izuru!\I'm picking something up in Sector AE-23!\I've confirmed that it's Red 5! I'm sending you the coordinates!\Izuru!\Izuru!\Izuru! response:	Officer Izuru!
context: Izuru...!\Izuru!\I'm picking something up in Sector AE-23!\I've confirmed that it's Red 5! I'm sending you the coordinates!\Izuru!\Izuru!\Izuru!\Officer Izuru! response:	Izuru!
context: Izuru!\I'm picking something up in Sector AE-23!\I've confirmed that it's Red 5! I'm sending you the coordinates!\Izuru!\Izuru!\Izuru!\Officer Izuru!\Izuru! response:	Izuru!
context: I'm picking something up in Sector AE-23!\I've confirmed that it's Red 5! I'm sending you the coordinates!\Izuru!\Izuru!\Izuru!\Officer Izuru!\Izuru!\Izuru! response:	Izuru...
context: I've confirmed that it's Red 5! I'm sending you the coordinates!\Izuru!\Izuru!\Izuru!\Officer Izuru!\Izuru!\Izuru!\Izuru... response:	He pulled through!
context: Izuru!\Izuru!\Izuru!\Officer Izuru!\Izuru!\Izuru!\Izuru...\He pulled through! response:	Izuru!
context: Izuru!\Izuru!\Officer Izuru!\Izuru!\Izuru!\Izuru...\He pulled through!\Izuru! response:	Izuru! Izuru!
context: Izuru!\Officer Izuru!\Izuru!\Izuru!\Izuru...\He pulled through!\Izuru!\Izuru! Izuru! response:	Izuru!
context: Officer Izuru!\Izuru!\Izuru!\Izuru...\He pulled through!\Izuru!\Izuru! Izuru!\Izuru! response:	Izuru...!
