context: This is a world of magic. response:	Magic is bought and sold here every day, and is an integral part of people's daily lives.
context: I-I really wanna go...\I was really looking forward to it...\Are you okay, Lucy?\Can't you tell just by looking at me?\I've caught a cold...\Sorry... I'm going to sleep...\Take care of yourself.\Man, that sucks. response:	It's too bad she caught a cold, after she was looking forward to it so much.
context: I was really looking forward to it...\Are you okay, Lucy?\Can't you tell just by looking at me?\I've caught a cold...\Sorry... I'm going to sleep...\Take care of yourself.\Man, that sucks.\It's too bad she caught a cold, after she was looking forward to it so much. response:	Hanami?! I'm there! I'm sooo there!
context: Are you okay, Lucy?\Can't you tell just by looking at me?\I've caught a cold...\Sorry... I'm going to sleep...\Take care of yourself.\Man, that sucks.\It's too bad she caught a cold, after she was looking forward to it so much.\Hanami?! I'm there! I'm sooo there! response:	What should I wear?
context: Can't you tell just by looking at me?\I've caught a cold...\Sorry... I'm going to sleep...\Take care of yourself.\Man, that sucks.\It's too bad she caught a cold, after she was looking forward to it so much.\Hanami?! I'm there! I'm sooo there!\What should I wear? response:	I know! I'll bake cookies!
context: I've caught a cold...\Sorry... I'm going to sleep...\Take care of yourself.\Man, that sucks.\It's too bad she caught a cold, after she was looking forward to it so much.\Hanami?! I'm there! I'm sooo there!\What should I wear?\I know! I'll bake cookies! response:	And then, and then...
context: Sorry... I'm going to sleep...\Take care of yourself.\Man, that sucks.\It's too bad she caught a cold, after she was looking forward to it so much.\Hanami?! I'm there! I'm sooo there!\What should I wear?\I know! I'll bake cookies!\And then, and then... response:	That's right. This will be the first hanami for Lucy, won't it?
context: Take care of yourself.\Man, that sucks.\It's too bad she caught a cold, after she was looking forward to it so much.\Hanami?! I'm there! I'm sooo there!\What should I wear?\I know! I'll bake cookies!\And then, and then...\That's right. This will be the first hanami for Lucy, won't it? response:	A Man!
context: Man, that sucks.\It's too bad she caught a cold, after she was looking forward to it so much.\Hanami?! I'm there! I'm sooo there!\What should I wear?\I know! I'll bake cookies!\And then, and then...\That's right. This will be the first hanami for Lucy, won't it?\A Man! response:	Hanami?
context: It's too bad she caught a cold, after she was looking forward to it so much.\Hanami?! I'm there! I'm sooo there!\What should I wear?\I know! I'll bake cookies!\And then, and then...\That's right. This will be the first hanami for Lucy, won't it?\A Man!\Hanami? response:	Hanami is where everyone drinks and eats and has a party while looking at the sakura blossoms.
context: Hanami?! I'm there! I'm sooo there!\What should I wear?\I know! I'll bake cookies!\And then, and then...\That's right. This will be the first hanami for Lucy, won't it?\A Man!\Hanami?\Hanami is where everyone drinks and eats and has a party while looking at the sakura blossoms. response:	You're makin' too much of a fuss about it.
context: What should I wear?\I know! I'll bake cookies!\And then, and then...\That's right. This will be the first hanami for Lucy, won't it?\A Man!\Hanami?\Hanami is where everyone drinks and eats and has a party while looking at the sakura blossoms.\You're makin' too much of a fuss about it. response:	But Magnolia has those rainbow sakura that are supposed to be really beautiful, right?
context: I know! I'll bake cookies!\And then, and then...\That's right. This will be the first hanami for Lucy, won't it?\A Man!\Hanami?\Hanami is where everyone drinks and eats and has a party while looking at the sakura blossoms.\You're makin' too much of a fuss about it.\But Magnolia has those rainbow sakura that are supposed to be really beautiful, right? response:	When I came to Magnolia, I totally couldn't wait to go see them!
context: And then, and then...\That's right. This will be the first hanami for Lucy, won't it?\A Man!\Hanami?\Hanami is where everyone drinks and eats and has a party while looking at the sakura blossoms.\You're makin' too much of a fuss about it.\But Magnolia has those rainbow sakura that are supposed to be really beautiful, right?\When I came to Magnolia, I totally couldn't wait to go see them! response:	Poor thing...
context: That's right. This will be the first hanami for Lucy, won't it?\A Man!\Hanami?\Hanami is where everyone drinks and eats and has a party while looking at the sakura blossoms.\You're makin' too much of a fuss about it.\But Magnolia has those rainbow sakura that are supposed to be really beautiful, right?\When I came to Magnolia, I totally couldn't wait to go see them!\Poor thing... response:	I feel bad for Lucy.
context: A Man!\Hanami?\Hanami is where everyone drinks and eats and has a party while looking at the sakura blossoms.\You're makin' too much of a fuss about it.\But Magnolia has those rainbow sakura that are supposed to be really beautiful, right?\When I came to Magnolia, I totally couldn't wait to go see them!\Poor thing...\I feel bad for Lucy. response:	Now everyone, eat up all you want!
context: Hanami?\Hanami is where everyone drinks and eats and has a party while looking at the sakura blossoms.\You're makin' too much of a fuss about it.\But Magnolia has those rainbow sakura that are supposed to be really beautiful, right?\When I came to Magnolia, I totally couldn't wait to go see them!\Poor thing...\I feel bad for Lucy.\Now everyone, eat up all you want! response:	This here's mine!
context: Hanami is where everyone drinks and eats and has a party while looking at the sakura blossoms.\You're makin' too much of a fuss about it.\But Magnolia has those rainbow sakura that are supposed to be really beautiful, right?\When I came to Magnolia, I totally couldn't wait to go see them!\Poor thing...\I feel bad for Lucy.\Now everyone, eat up all you want!\This here's mine! response:	You brought your own barrel?
context: You're makin' too much of a fuss about it.\But Magnolia has those rainbow sakura that are supposed to be really beautiful, right?\When I came to Magnolia, I totally couldn't wait to go see them!\Poor thing...\I feel bad for Lucy.\Now everyone, eat up all you want!\This here's mine!\You brought your own barrel? response:	No one's gonna take it, sheesh.
context: But Magnolia has those rainbow sakura that are supposed to be really beautiful, right?\When I came to Magnolia, I totally couldn't wait to go see them!\Poor thing...\I feel bad for Lucy.\Now everyone, eat up all you want!\This here's mine!\You brought your own barrel?\No one's gonna take it, sheesh. response:	Hanami is Man!
context: When I came to Magnolia, I totally couldn't wait to go see them!\Poor thing...\I feel bad for Lucy.\Now everyone, eat up all you want!\This here's mine!\You brought your own barrel?\No one's gonna take it, sheesh.\Hanami is Man! response:	I don't get what that means.
context: Poor thing...\I feel bad for Lucy.\Now everyone, eat up all you want!\This here's mine!\You brought your own barrel?\No one's gonna take it, sheesh.\Hanami is Man!\I don't get what that means. response:	Levy, want something to eat?
context: I feel bad for Lucy.\Now everyone, eat up all you want!\This here's mine!\You brought your own barrel?\No one's gonna take it, sheesh.\Hanami is Man!\I don't get what that means.\Levy, want something to eat? response:	Levy, want something to drink?
context: Now everyone, eat up all you want!\This here's mine!\You brought your own barrel?\No one's gonna take it, sheesh.\Hanami is Man!\I don't get what that means.\Levy, want something to eat?\Levy, want something to drink? response:	Huh? She caught a cold?
context: This here's mine!\You brought your own barrel?\No one's gonna take it, sheesh.\Hanami is Man!\I don't get what that means.\Levy, want something to eat?\Levy, want something to drink?\Huh? She caught a cold? response:	Is it serious?
context: You brought your own barrel?\No one's gonna take it, sheesh.\Hanami is Man!\I don't get what that means.\Levy, want something to eat?\Levy, want something to drink?\Huh? She caught a cold?\Is it serious? response:	Yeah...
context: No one's gonna take it, sheesh.\Hanami is Man!\I don't get what that means.\Levy, want something to eat?\Levy, want something to drink?\Huh? She caught a cold?\Is it serious?\Yeah... response:	Her nose is all runny, and her face is flushed...
context: Hanami is Man!\I don't get what that means.\Levy, want something to eat?\Levy, want something to drink?\Huh? She caught a cold?\Is it serious?\Yeah...\Her nose is all runny, and her face is flushed... response:	Why'd she catch a cold?
context: I don't get what that means.\Levy, want something to eat?\Levy, want something to drink?\Huh? She caught a cold?\Is it serious?\Yeah...\Her nose is all runny, and her face is flushed...\Why'd she catch a cold? response:	You don't get it, do you?
context: Levy, want something to eat?\Levy, want something to drink?\Huh? She caught a cold?\Is it serious?\Yeah...\Her nose is all runny, and her face is flushed...\Why'd she catch a cold?\You don't get it, do you? response:	Even though Lucy-san was looking forward to it so much...
context: Levy, want something to drink?\Huh? She caught a cold?\Is it serious?\Yeah...\Her nose is all runny, and her face is flushed...\Why'd she catch a cold?\You don't get it, do you?\Even though Lucy-san was looking forward to it so much... response:	Oh, that's right! Why don't you cure her with your magic, Wendy?
context: Huh? She caught a cold?\Is it serious?\Yeah...\Her nose is all runny, and her face is flushed...\Why'd she catch a cold?\You don't get it, do you?\Even though Lucy-san was looking forward to it so much...\Oh, that's right! Why don't you cure her with your magic, Wendy? response:	I already cast the spell. She'll be fine again by tomorrow, but...
context: Is it serious?\Yeah...\Her nose is all runny, and her face is flushed...\Why'd she catch a cold?\You don't get it, do you?\Even though Lucy-san was looking forward to it so much...\Oh, that's right! Why don't you cure her with your magic, Wendy?\I already cast the spell. She'll be fine again by tomorrow, but... response:	Tomorrow, huh?
context: Yeah...\Her nose is all runny, and her face is flushed...\Why'd she catch a cold?\You don't get it, do you?\Even though Lucy-san was looking forward to it so much...\Oh, that's right! Why don't you cure her with your magic, Wendy?\I already cast the spell. She'll be fine again by tomorrow, but...\Tomorrow, huh? response:	Hanami...
context: Her nose is all runny, and her face is flushed...\Why'd she catch a cold?\You don't get it, do you?\Even though Lucy-san was looking forward to it so much...\Oh, that's right! Why don't you cure her with your magic, Wendy?\I already cast the spell. She'll be fine again by tomorrow, but...\Tomorrow, huh?\Hanami... response:	I bet everyone's having a lot of fun now...
context: Why'd she catch a cold?\You don't get it, do you?\Even though Lucy-san was looking forward to it so much...\Oh, that's right! Why don't you cure her with your magic, Wendy?\I already cast the spell. She'll be fine again by tomorrow, but...\Tomorrow, huh?\Hanami...\I bet everyone's having a lot of fun now... response:	I sure wish I could have gone...
context: You don't get it, do you?\Even though Lucy-san was looking forward to it so much...\Oh, that's right! Why don't you cure her with your magic, Wendy?\I already cast the spell. She'll be fine again by tomorrow, but...\Tomorrow, huh?\Hanami...\I bet everyone's having a lot of fun now...\I sure wish I could have gone... response:	And now, we'll begin the traditional hanami bingo tournament!
context: Even though Lucy-san was looking forward to it so much...\Oh, that's right! Why don't you cure her with your magic, Wendy?\I already cast the spell. She'll be fine again by tomorrow, but...\Tomorrow, huh?\Hanami...\I bet everyone's having a lot of fun now...\I sure wish I could have gone...\And now, we'll begin the traditional hanami bingo tournament! response:	Bingo!
context: Oh, that's right! Why don't you cure her with your magic, Wendy?\I already cast the spell. She'll be fine again by tomorrow, but...\Tomorrow, huh?\Hanami...\I bet everyone's having a lot of fun now...\I sure wish I could have gone...\And now, we'll begin the traditional hanami bingo tournament!\Bingo! response:	We've got a bunch of high quality prizes again this year!
context: I already cast the spell. She'll be fine again by tomorrow, but...\Tomorrow, huh?\Hanami...\I bet everyone's having a lot of fun now...\I sure wish I could have gone...\And now, we'll begin the traditional hanami bingo tournament!\Bingo!\We've got a bunch of high quality prizes again this year! response:	Everyone, give it everything you got!
context: Tomorrow, huh?\Hanami...\I bet everyone's having a lot of fun now...\I sure wish I could have gone...\And now, we'll begin the traditional hanami bingo tournament!\Bingo!\We've got a bunch of high quality prizes again this year!\Everyone, give it everything you got! response:	Everyone ready?
context: Hanami...\I bet everyone's having a lot of fun now...\I sure wish I could have gone...\And now, we'll begin the traditional hanami bingo tournament!\Bingo!\We've got a bunch of high quality prizes again this year!\Everyone, give it everything you got!\Everyone ready? response:	Aye, sir!
context: I bet everyone's having a lot of fun now...\I sure wish I could have gone...\And now, we'll begin the traditional hanami bingo tournament!\Bingo!\We've got a bunch of high quality prizes again this year!\Everyone, give it everything you got!\Everyone ready?\Aye, sir! response:	Then, please punch out the center circle!
context: I sure wish I could have gone...\And now, we'll begin the traditional hanami bingo tournament!\Bingo!\We've got a bunch of high quality prizes again this year!\Everyone, give it everything you got!\Everyone ready?\Aye, sir!\Then, please punch out the center circle! response:	I'm gonna get the top prize, for sure!
context: And now, we'll begin the traditional hanami bingo tournament!\Bingo!\We've got a bunch of high quality prizes again this year!\Everyone, give it everything you got!\Everyone ready?\Aye, sir!\Then, please punch out the center circle!\I'm gonna get the top prize, for sure! response:	Do your best, Dad!
context: Bingo!\We've got a bunch of high quality prizes again this year!\Everyone, give it everything you got!\Everyone ready?\Aye, sir!\Then, please punch out the center circle!\I'm gonna get the top prize, for sure!\Do your best, Dad! response:	Let's bingo!
context: We've got a bunch of high quality prizes again this year!\Everyone, give it everything you got!\Everyone ready?\Aye, sir!\Then, please punch out the center circle!\I'm gonna get the top prize, for sure!\Do your best, Dad!\Let's bingo! response:	The first number is...
context: Everyone, give it everything you got!\Everyone ready?\Aye, sir!\Then, please punch out the center circle!\I'm gonna get the top prize, for sure!\Do your best, Dad!\Let's bingo!\The first number is... response:	24!
context: Everyone ready?\Aye, sir!\Then, please punch out the center circle!\I'm gonna get the top prize, for sure!\Do your best, Dad!\Let's bingo!\The first number is...\24! response:	All right! Right off the bat.
context: Aye, sir!\Then, please punch out the center circle!\I'm gonna get the top prize, for sure!\Do your best, Dad!\Let's bingo!\The first number is...\24!\All right! Right off the bat. response:	What incredible luck...
context: Then, please punch out the center circle!\I'm gonna get the top prize, for sure!\Do your best, Dad!\Let's bingo!\The first number is...\24!\All right! Right off the bat.\What incredible luck... response:	Levy, you can do it!
context: I'm gonna get the top prize, for sure!\Do your best, Dad!\Let's bingo!\The first number is...\24!\All right! Right off the bat.\What incredible luck...\Levy, you can do it! response:	Now that I think about it, it hasn't even been a year, has it?
context: Do your best, Dad!\Let's bingo!\The first number is...\24!\All right! Right off the bat.\What incredible luck...\Levy, you can do it!\Now that I think about it, it hasn't even been a year, has it? response:	I ran away from home, trying to join Fairy Tail, my dream guild...
context: Let's bingo!\The first number is...\24!\All right! Right off the bat.\What incredible luck...\Levy, you can do it!\Now that I think about it, it hasn't even been a year, has it?\I ran away from home, trying to join Fairy Tail, my dream guild... response:	And that's how I met Natsu.
context: The first number is...\24!\All right! Right off the bat.\What incredible luck...\Levy, you can do it!\Now that I think about it, it hasn't even been a year, has it?\I ran away from home, trying to join Fairy Tail, my dream guild...\And that's how I met Natsu. response:	Then, I joined the guild.
context: 24!\All right! Right off the bat.\What incredible luck...\Levy, you can do it!\Now that I think about it, it hasn't even been a year, has it?\I ran away from home, trying to join Fairy Tail, my dream guild...\And that's how I met Natsu.\Then, I joined the guild. response:	After that, time just flew...
context: All right! Right off the bat.\What incredible luck...\Levy, you can do it!\Now that I think about it, it hasn't even been a year, has it?\I ran away from home, trying to join Fairy Tail, my dream guild...\And that's how I met Natsu.\Then, I joined the guild.\After that, time just flew... response:	Next is 5!
context: What incredible luck...\Levy, you can do it!\Now that I think about it, it hasn't even been a year, has it?\I ran away from home, trying to join Fairy Tail, my dream guild...\And that's how I met Natsu.\Then, I joined the guild.\After that, time just flew...\Next is 5! response:	Yes! Got it! Man!
context: Levy, you can do it!\Now that I think about it, it hasn't even been a year, has it?\I ran away from home, trying to join Fairy Tail, my dream guild...\And that's how I met Natsu.\Then, I joined the guild.\After that, time just flew...\Next is 5!\Yes! Got it! Man! response:	Being a man has nothing to do with it.
context: Now that I think about it, it hasn't even been a year, has it?\I ran away from home, trying to join Fairy Tail, my dream guild...\And that's how I met Natsu.\Then, I joined the guild.\After that, time just flew...\Next is 5!\Yes! Got it! Man!\Being a man has nothing to do with it. response:	I'm getting nothing here...
context: I ran away from home, trying to join Fairy Tail, my dream guild...\And that's how I met Natsu.\Then, I joined the guild.\After that, time just flew...\Next is 5!\Yes! Got it! Man!\Being a man has nothing to do with it.\I'm getting nothing here... response:	Natsu, you don't want to play bingo?
context: And that's how I met Natsu.\Then, I joined the guild.\After that, time just flew...\Next is 5!\Yes! Got it! Man!\Being a man has nothing to do with it.\I'm getting nothing here...\Natsu, you don't want to play bingo? response:	Naw...
context: Then, I joined the guild.\After that, time just flew...\Next is 5!\Yes! Got it! Man!\Being a man has nothing to do with it.\I'm getting nothing here...\Natsu, you don't want to play bingo?\Naw... response:	In just a short time, there's been so much over-the-top stuff...
context: After that, time just flew...\Next is 5!\Yes! Got it! Man!\Being a man has nothing to do with it.\I'm getting nothing here...\Natsu, you don't want to play bingo?\Naw...\In just a short time, there's been so much over-the-top stuff... response:	68!
context: Next is 5!\Yes! Got it! Man!\Being a man has nothing to do with it.\I'm getting nothing here...\Natsu, you don't want to play bingo?\Naw...\In just a short time, there's been so much over-the-top stuff...\68! response:	Bingo!
context: Yes! Got it! Man!\Being a man has nothing to do with it.\I'm getting nothing here...\Natsu, you don't want to play bingo?\Naw...\In just a short time, there's been so much over-the-top stuff...\68!\Bingo! response:	Seriously?
context: Being a man has nothing to do with it.\I'm getting nothing here...\Natsu, you don't want to play bingo?\Naw...\In just a short time, there's been so much over-the-top stuff...\68!\Bingo!\Seriously? response:	Look at her go...
context: I'm getting nothing here...\Natsu, you don't want to play bingo?\Naw...\In just a short time, there's been so much over-the-top stuff...\68!\Bingo!\Seriously?\Look at her go... response:	I'm just one away from 3 different bingos!
context: Natsu, you don't want to play bingo?\Naw...\In just a short time, there's been so much over-the-top stuff...\68!\Bingo!\Seriously?\Look at her go...\I'm just one away from 3 different bingos! response:	Erza, you're the first bingo!
context: Naw...\In just a short time, there's been so much over-the-top stuff...\68!\Bingo!\Seriously?\Look at her go...\I'm just one away from 3 different bingos!\Erza, you're the first bingo! response:	Even luck can come from training!
context: In just a short time, there's been so much over-the-top stuff...\68!\Bingo!\Seriously?\Look at her go...\I'm just one away from 3 different bingos!\Erza, you're the first bingo!\Even luck can come from training! response:	S-So, w-what's the prize?
context: 68!\Bingo!\Seriously?\Look at her go...\I'm just one away from 3 different bingos!\Erza, you're the first bingo!\Even luck can come from training!\S-So, w-what's the prize? response:	Right! Here.
context: Bingo!\Seriously?\Look at her go...\I'm just one away from 3 different bingos!\Erza, you're the first bingo!\Even luck can come from training!\S-So, w-what's the prize?\Right! Here. response:	It's the herbs that are rumored to temporarily increase one's magic power!
context: Seriously?\Look at her go...\I'm just one away from 3 different bingos!\Erza, you're the first bingo!\Even luck can come from training!\S-So, w-what's the prize?\Right! Here.\It's the herbs that are rumored to temporarily increase one's magic power! response:	What?!
context: Look at her go...\I'm just one away from 3 different bingos!\Erza, you're the first bingo!\Even luck can come from training!\S-So, w-what's the prize?\Right! Here.\It's the herbs that are rumored to temporarily increase one's magic power!\What?! response:	Those are the herbs we picked!
context: I'm just one away from 3 different bingos!\Erza, you're the first bingo!\Even luck can come from training!\S-So, w-what's the prize?\Right! Here.\It's the herbs that are rumored to temporarily increase one's magic power!\What?!\Those are the herbs we picked! response:	And they're already dried up!
context: Erza, you're the first bingo!\Even luck can come from training!\S-So, w-what's the prize?\Right! Here.\It's the herbs that are rumored to temporarily increase one's magic power!\What?!\Those are the herbs we picked!\And they're already dried up! response:	Probably'cause we took them suddenly to a warm climate.
context: Even luck can come from training!\S-So, w-what's the prize?\Right! Here.\It's the herbs that are rumored to temporarily increase one's magic power!\What?!\Those are the herbs we picked!\And they're already dried up!\Probably'cause we took them suddenly to a warm climate. response:	My bingo...
context: S-So, w-what's the prize?\Right! Here.\It's the herbs that are rumored to temporarily increase one's magic power!\What?!\Those are the herbs we picked!\And they're already dried up!\Probably'cause we took them suddenly to a warm climate.\My bingo... response:	Now, now...
context: Right! Here.\It's the herbs that are rumored to temporarily increase one's magic power!\What?!\Those are the herbs we picked!\And they're already dried up!\Probably'cause we took them suddenly to a warm climate.\My bingo...\Now, now... response:	A whole lot happened, that's for sure...
context: It's the herbs that are rumored to temporarily increase one's magic power!\What?!\Those are the herbs we picked!\And they're already dried up!\Probably'cause we took them suddenly to a warm climate.\My bingo...\Now, now...\A whole lot happened, that's for sure... response:	And in my way, I think I've done my best to deal with it...
context: What?!\Those are the herbs we picked!\And they're already dried up!\Probably'cause we took them suddenly to a warm climate.\My bingo...\Now, now...\A whole lot happened, that's for sure...\And in my way, I think I've done my best to deal with it... response:	Yeah...
context: Those are the herbs we picked!\And they're already dried up!\Probably'cause we took them suddenly to a warm climate.\My bingo...\Now, now...\A whole lot happened, that's for sure...\And in my way, I think I've done my best to deal with it...\Yeah... response:	Bingo!
context: And they're already dried up!\Probably'cause we took them suddenly to a warm climate.\My bingo...\Now, now...\A whole lot happened, that's for sure...\And in my way, I think I've done my best to deal with it...\Yeah...\Bingo! response:	Seriously?! I ain't even got one hit yet!
context: Probably'cause we took them suddenly to a warm climate.\My bingo...\Now, now...\A whole lot happened, that's for sure...\And in my way, I think I've done my best to deal with it...\Yeah...\Bingo!\Seriously?! I ain't even got one hit yet! response:	That's'cause your skills are rusty!
context: My bingo...\Now, now...\A whole lot happened, that's for sure...\And in my way, I think I've done my best to deal with it...\Yeah...\Bingo!\Seriously?! I ain't even got one hit yet!\That's'cause your skills are rusty! response:	Dad, you can do it!
context: Now, now...\A whole lot happened, that's for sure...\And in my way, I think I've done my best to deal with it...\Yeah...\Bingo!\Seriously?! I ain't even got one hit yet!\That's'cause your skills are rusty!\Dad, you can do it! response:	I have a feeling there's no way I'll win.
context: A whole lot happened, that's for sure...\And in my way, I think I've done my best to deal with it...\Yeah...\Bingo!\Seriously?! I ain't even got one hit yet!\That's'cause your skills are rusty!\Dad, you can do it!\I have a feeling there's no way I'll win. response:	Your intuition is usually correct, Carla...
context: And in my way, I think I've done my best to deal with it...\Yeah...\Bingo!\Seriously?! I ain't even got one hit yet!\That's'cause your skills are rusty!\Dad, you can do it!\I have a feeling there's no way I'll win.\Your intuition is usually correct, Carla... response:	The prizes are gonna be gone soon.
context: Yeah...\Bingo!\Seriously?! I ain't even got one hit yet!\That's'cause your skills are rusty!\Dad, you can do it!\I have a feeling there's no way I'll win.\Your intuition is usually correct, Carla...\The prizes are gonna be gone soon. response:	I was hoping to at least bring Lucy a present...
context: Bingo!\Seriously?! I ain't even got one hit yet!\That's'cause your skills are rusty!\Dad, you can do it!\I have a feeling there's no way I'll win.\Your intuition is usually correct, Carla...\The prizes are gonna be gone soon.\I was hoping to at least bring Lucy a present... response:	115!
context: Seriously?! I ain't even got one hit yet!\That's'cause your skills are rusty!\Dad, you can do it!\I have a feeling there's no way I'll win.\Your intuition is usually correct, Carla...\The prizes are gonna be gone soon.\I was hoping to at least bring Lucy a present...\115! response:	Bingo!
context: That's'cause your skills are rusty!\Dad, you can do it!\I have a feeling there's no way I'll win.\Your intuition is usually correct, Carla...\The prizes are gonna be gone soon.\I was hoping to at least bring Lucy a present...\115!\Bingo! response:	Huh?
context: Dad, you can do it!\I have a feeling there's no way I'll win.\Your intuition is usually correct, Carla...\The prizes are gonna be gone soon.\I was hoping to at least bring Lucy a present...\115!\Bingo!\Huh? response:	Oh, my...
context: I have a feeling there's no way I'll win.\Your intuition is usually correct, Carla...\The prizes are gonna be gone soon.\I was hoping to at least bring Lucy a present...\115!\Bingo!\Huh?\Oh, my... response:	Three at the same time?
context: Your intuition is usually correct, Carla...\The prizes are gonna be gone soon.\I was hoping to at least bring Lucy a present...\115!\Bingo!\Huh?\Oh, my...\Three at the same time? response:	Then I'll give the prize to whoever makes me laugh the most with a single gag.
context: The prizes are gonna be gone soon.\I was hoping to at least bring Lucy a present...\115!\Bingo!\Huh?\Oh, my...\Three at the same time?\Then I'll give the prize to whoever makes me laugh the most with a single gag. response:	A single gag?!
context: I was hoping to at least bring Lucy a present...\115!\Bingo!\Huh?\Oh, my...\Three at the same time?\Then I'll give the prize to whoever makes me laugh the most with a single gag.\A single gag?! response:	The prize is a pair of tickets to a fancy hotel at Akane Resort for 3 days and 2 nights!
context: 115!\Bingo!\Huh?\Oh, my...\Three at the same time?\Then I'll give the prize to whoever makes me laugh the most with a single gag.\A single gag?!\The prize is a pair of tickets to a fancy hotel at Akane Resort for 3 days and 2 nights! response:	Whoa!
context: Bingo!\Huh?\Oh, my...\Three at the same time?\Then I'll give the prize to whoever makes me laugh the most with a single gag.\A single gag?!\The prize is a pair of tickets to a fancy hotel at Akane Resort for 3 days and 2 nights!\Whoa! response:	A vacation for two?!
context: Huh?\Oh, my...\Three at the same time?\Then I'll give the prize to whoever makes me laugh the most with a single gag.\A single gag?!\The prize is a pair of tickets to a fancy hotel at Akane Resort for 3 days and 2 nights!\Whoa!\A vacation for two?! response:	Akane Resort, huh? I'll give it as a present to my sister!
context: Oh, my...\Three at the same time?\Then I'll give the prize to whoever makes me laugh the most with a single gag.\A single gag?!\The prize is a pair of tickets to a fancy hotel at Akane Resort for 3 days and 2 nights!\Whoa!\A vacation for two?!\Akane Resort, huh? I'll give it as a present to my sister! response:	Together with Gray-sama for 3 days and 2 nights?
context: Three at the same time?\Then I'll give the prize to whoever makes me laugh the most with a single gag.\A single gag?!\The prize is a pair of tickets to a fancy hotel at Akane Resort for 3 days and 2 nights!\Whoa!\A vacation for two?!\Akane Resort, huh? I'll give it as a present to my sister!\Together with Gray-sama for 3 days and 2 nights? response:	Juvia's heart isn't ready for such...
context: Then I'll give the prize to whoever makes me laugh the most with a single gag.\A single gag?!\The prize is a pair of tickets to a fancy hotel at Akane Resort for 3 days and 2 nights!\Whoa!\A vacation for two?!\Akane Resort, huh? I'll give it as a present to my sister!\Together with Gray-sama for 3 days and 2 nights?\Juvia's heart isn't ready for such... response:	A single gag.
context: A single gag?!\The prize is a pair of tickets to a fancy hotel at Akane Resort for 3 days and 2 nights!\Whoa!\A vacation for two?!\Akane Resort, huh? I'll give it as a present to my sister!\Together with Gray-sama for 3 days and 2 nights?\Juvia's heart isn't ready for such...\A single gag. response:	Truly a one-shot battle on the edge.
context: The prize is a pair of tickets to a fancy hotel at Akane Resort for 3 days and 2 nights!\Whoa!\A vacation for two?!\Akane Resort, huh? I'll give it as a present to my sister!\Together with Gray-sama for 3 days and 2 nights?\Juvia's heart isn't ready for such...\A single gag.\Truly a one-shot battle on the edge. response:	And that means it's my turn, partner.
context: Whoa!\A vacation for two?!\Akane Resort, huh? I'll give it as a present to my sister!\Together with Gray-sama for 3 days and 2 nights?\Juvia's heart isn't ready for such...\A single gag.\Truly a one-shot battle on the edge.\And that means it's my turn, partner. response:	You again?!
context: A vacation for two?!\Akane Resort, huh? I'll give it as a present to my sister!\Together with Gray-sama for 3 days and 2 nights?\Juvia's heart isn't ready for such...\A single gag.\Truly a one-shot battle on the edge.\And that means it's my turn, partner.\You again?! response:	Get outta here! You ain't even close to a bingo!
context: Akane Resort, huh? I'll give it as a present to my sister!\Together with Gray-sama for 3 days and 2 nights?\Juvia's heart isn't ready for such...\A single gag.\Truly a one-shot battle on the edge.\And that means it's my turn, partner.\You again?!\Get outta here! You ain't even close to a bingo! response:	Natsu...
context: Together with Gray-sama for 3 days and 2 nights?\Juvia's heart isn't ready for such...\A single gag.\Truly a one-shot battle on the edge.\And that means it's my turn, partner.\You again?!\Get outta here! You ain't even close to a bingo!\Natsu... response:	Yeah?
context: Juvia's heart isn't ready for such...\A single gag.\Truly a one-shot battle on the edge.\And that means it's my turn, partner.\You again?!\Get outta here! You ain't even close to a bingo!\Natsu...\Yeah? response:	It seemed my heart would break countless numbers of times...
context: A single gag.\Truly a one-shot battle on the edge.\And that means it's my turn, partner.\You again?!\Get outta here! You ain't even close to a bingo!\Natsu...\Yeah?\It seemed my heart would break countless numbers of times... response:	We got into some crazy trouble...
context: Truly a one-shot battle on the edge.\And that means it's my turn, partner.\You again?!\Get outta here! You ain't even close to a bingo!\Natsu...\Yeah?\It seemed my heart would break countless numbers of times...\We got into some crazy trouble... response:	There were enemies more powerful than I could have ever imagined...
context: And that means it's my turn, partner.\You again?!\Get outta here! You ain't even close to a bingo!\Natsu...\Yeah?\It seemed my heart would break countless numbers of times...\We got into some crazy trouble...\There were enemies more powerful than I could have ever imagined... response:	But because he and everyone in the guild were always there for me...
context: You again?!\Get outta here! You ain't even close to a bingo!\Natsu...\Yeah?\It seemed my heart would break countless numbers of times...\We got into some crazy trouble...\There were enemies more powerful than I could have ever imagined...\But because he and everyone in the guild were always there for me... response:	Crying... laughing... and everything else...
context: Get outta here! You ain't even close to a bingo!\Natsu...\Yeah?\It seemed my heart would break countless numbers of times...\We got into some crazy trouble...\There were enemies more powerful than I could have ever imagined...\But because he and everyone in the guild were always there for me...\Crying... laughing... and everything else... response:	Well, a whole lot happened, that's for sure.
context: Natsu...\Yeah?\It seemed my heart would break countless numbers of times...\We got into some crazy trouble...\There were enemies more powerful than I could have ever imagined...\But because he and everyone in the guild were always there for me...\Crying... laughing... and everything else...\Well, a whole lot happened, that's for sure. response:	But I'm sure that's it.
