context: You pesky moth! response:	I don't remember a thing while I was transformed.
context: Ouch.\Master Myoga... did you abandon Inuyasha again?\Kagome!\Inuyasha!\Stay alive!\So weak.\You're not worth tormenting.\It won't relieve my anger towards your father for putting me under seal. response:	Do you not understand...
context: Master Myoga... did you abandon Inuyasha again?\Kagome!\Inuyasha!\Stay alive!\So weak.\You're not worth tormenting.\It won't relieve my anger towards your father for putting me under seal.\Do you not understand... response:	with such an inferior sword...
context: Kagome!\Inuyasha!\Stay alive!\So weak.\You're not worth tormenting.\It won't relieve my anger towards your father for putting me under seal.\Do you not understand...\with such an inferior sword... response:	you cannot kill me?!
context: Inuyasha!\Stay alive!\So weak.\You're not worth tormenting.\It won't relieve my anger towards your father for putting me under seal.\Do you not understand...\with such an inferior sword...\you cannot kill me?! response:	Tetsusaiga!
context: Stay alive!\So weak.\You're not worth tormenting.\It won't relieve my anger towards your father for putting me under seal.\Do you not understand...\with such an inferior sword...\you cannot kill me?!\Tetsusaiga! response:	You must not part with Tetsusaiga.
context: So weak.\You're not worth tormenting.\It won't relieve my anger towards your father for putting me under seal.\Do you not understand...\with such an inferior sword...\you cannot kill me?!\Tetsusaiga!\You must not part with Tetsusaiga. response:	When your life is in danger, you will transform, Inuyasha.
context: You're not worth tormenting.\It won't relieve my anger towards your father for putting me under seal.\Do you not understand...\with such an inferior sword...\you cannot kill me?!\Tetsusaiga!\You must not part with Tetsusaiga.\When your life is in danger, you will transform, Inuyasha. response:	Tetsusaiga...
context: It won't relieve my anger towards your father for putting me under seal.\Do you not understand...\with such an inferior sword...\you cannot kill me?!\Tetsusaiga!\You must not part with Tetsusaiga.\When your life is in danger, you will transform, Inuyasha.\Tetsusaiga... response:	I see them! Over there!
context: Do you not understand...\with such an inferior sword...\you cannot kill me?!\Tetsusaiga!\You must not part with Tetsusaiga.\When your life is in danger, you will transform, Inuyasha.\Tetsusaiga...\I see them! Over there! response:	So easy...
context: with such an inferior sword...\you cannot kill me?!\Tetsusaiga!\You must not part with Tetsusaiga.\When your life is in danger, you will transform, Inuyasha.\Tetsusaiga...\I see them! Over there!\So easy... response:	Dead, already.
context: you cannot kill me?!\Tetsusaiga!\You must not part with Tetsusaiga.\When your life is in danger, you will transform, Inuyasha.\Tetsusaiga...\I see them! Over there!\So easy...\Dead, already. response:	Huh?
context: Tetsusaiga!\You must not part with Tetsusaiga.\When your life is in danger, you will transform, Inuyasha.\Tetsusaiga...\I see them! Over there!\So easy...\Dead, already.\Huh? response:	W-what's with him?
context: You must not part with Tetsusaiga.\When your life is in danger, you will transform, Inuyasha.\Tetsusaiga...\I see them! Over there!\So easy...\Dead, already.\Huh?\W-what's with him? response:	Inuyasha!
context: When your life is in danger, you will transform, Inuyasha.\Tetsusaiga...\I see them! Over there!\So easy...\Dead, already.\Huh?\W-what's with him?\Inuyasha! response:	Inuyasha isn't holding Tetsusaiga!
context: Tetsusaiga...\I see them! Over there!\So easy...\Dead, already.\Huh?\W-what's with him?\Inuyasha!\Inuyasha isn't holding Tetsusaiga! response:	Inuyasha!
context: I see them! Over there!\So easy...\Dead, already.\Huh?\W-what's with him?\Inuyasha!\Inuyasha isn't holding Tetsusaiga!\Inuyasha! response:	K-Kagome...
context: So easy...\Dead, already.\Huh?\W-what's with him?\Inuyasha!\Inuyasha isn't holding Tetsusaiga!\Inuyasha!\K-Kagome... response:	Inuyasha transforms into a demon.
context: Dead, already.\Huh?\W-what's with him?\Inuyasha!\Inuyasha isn't holding Tetsusaiga!\Inuyasha!\K-Kagome...\Inuyasha transforms into a demon. response:	If we stay here, he may come after us as well.
context: Huh?\W-what's with him?\Inuyasha!\Inuyasha isn't holding Tetsusaiga!\Inuyasha!\K-Kagome...\Inuyasha transforms into a demon.\If we stay here, he may come after us as well. response:	What? Totosai? You say we have to fall back?
context: W-what's with him?\Inuyasha!\Inuyasha isn't holding Tetsusaiga!\Inuyasha!\K-Kagome...\Inuyasha transforms into a demon.\If we stay here, he may come after us as well.\What? Totosai? You say we have to fall back? response:	I will not abandon Inuyasha!
context: Inuyasha!\Inuyasha isn't holding Tetsusaiga!\Inuyasha!\K-Kagome...\Inuyasha transforms into a demon.\If we stay here, he may come after us as well.\What? Totosai? You say we have to fall back?\I will not abandon Inuyasha! response:	He's trying all by himself so hard to discover his true power.
context: Inuyasha isn't holding Tetsusaiga!\Inuyasha!\K-Kagome...\Inuyasha transforms into a demon.\If we stay here, he may come after us as well.\What? Totosai? You say we have to fall back?\I will not abandon Inuyasha!\He's trying all by himself so hard to discover his true power. response:	Just then, Tetsusaiga begins to pulsate.
context: Inuyasha!\K-Kagome...\Inuyasha transforms into a demon.\If we stay here, he may come after us as well.\What? Totosai? You say we have to fall back?\I will not abandon Inuyasha!\He's trying all by himself so hard to discover his true power.\Just then, Tetsusaiga begins to pulsate. response:	Backlash Wave: Tetsusaiga's Ultimate Technique
context: K-Kagome...\Inuyasha transforms into a demon.\If we stay here, he may come after us as well.\What? Totosai? You say we have to fall back?\I will not abandon Inuyasha!\He's trying all by himself so hard to discover his true power.\Just then, Tetsusaiga begins to pulsate.\Backlash Wave: Tetsusaiga's Ultimate Technique response:	Don't miss it!
