context: Th-This can't be happening! response:	Even Groribas, our best warrior, defeated?!
context: I will spring past that sword and squeeze your skull'til it pops.\Think so? Then be my guest.\So he's come.\This planet's finest warrior\I can sense no limit to his energy.\You the boss of these invaders?\Wonderful!\Before we fight, let us exchange names. response:	I lead the pirate band known as Dark Matter,
context: Think so? Then be my guest.\So he's come.\This planet's finest warrior\I can sense no limit to his energy.\You the boss of these invaders?\Wonderful!\Before we fight, let us exchange names.\I lead the pirate band known as Dark Matter, response:	and am Dominator of the Universe. I am Boros.
context: So he's come.\This planet's finest warrior\I can sense no limit to his energy.\You the boss of these invaders?\Wonderful!\Before we fight, let us exchange names.\I lead the pirate band known as Dark Matter,\and am Dominator of the Universe. I am Boros. response:	I'm a hero for fuI mean,
context: This planet's finest warrior\I can sense no limit to his energy.\You the boss of these invaders?\Wonderful!\Before we fight, let us exchange names.\I lead the pirate band known as Dark Matter,\and am Dominator of the Universe. I am Boros.\I'm a hero for fuI mean, response:	a professional hero.
context: I can sense no limit to his energy.\You the boss of these invaders?\Wonderful!\Before we fight, let us exchange names.\I lead the pirate band known as Dark Matter,\and am Dominator of the Universe. I am Boros.\I'm a hero for fuI mean,\a professional hero. response:	My name's Saitama.
context: You the boss of these invaders?\Wonderful!\Before we fight, let us exchange names.\I lead the pirate band known as Dark Matter,\and am Dominator of the Universe. I am Boros.\I'm a hero for fuI mean,\a professional hero.\My name's Saitama. response:	Saitama
context: Wonderful!\Before we fight, let us exchange names.\I lead the pirate band known as Dark Matter,\and am Dominator of the Universe. I am Boros.\I'm a hero for fuI mean,\a professional hero.\My name's Saitama.\Saitama response:	Look, I don't know what the Denominator of the Universe
context: Before we fight, let us exchange names.\I lead the pirate band known as Dark Matter,\and am Dominator of the Universe. I am Boros.\I'm a hero for fuI mean,\a professional hero.\My name's Saitama.\Saitama\Look, I don't know what the Denominator of the Universe response:	wants with Earth
context: I lead the pirate band known as Dark Matter,\and am Dominator of the Universe. I am Boros.\I'm a hero for fuI mean,\a professional hero.\My name's Saitama.\Saitama\Look, I don't know what the Denominator of the Universe\wants with Earth response:	but you sure trashed City A.
context: and am Dominator of the Universe. I am Boros.\I'm a hero for fuI mean,\a professional hero.\My name's Saitama.\Saitama\Look, I don't know what the Denominator of the Universe\wants with Earth\but you sure trashed City A. response:	What I want with Earth?
context: I'm a hero for fuI mean,\a professional hero.\My name's Saitama.\Saitama\Look, I don't know what the Denominator of the Universe\wants with Earth\but you sure trashed City A.\What I want with Earth? response:	There exists a prophecy.
context: a professional hero.\My name's Saitama.\Saitama\Look, I don't know what the Denominator of the Universe\wants with Earth\but you sure trashed City A.\What I want with Earth?\There exists a prophecy. response:	Prophecy? You mean
context: My name's Saitama.\Saitama\Look, I don't know what the Denominator of the Universe\wants with Earth\but you sure trashed City A.\What I want with Earth?\There exists a prophecy.\Prophecy? You mean response:	Once, I traveled the universe, ravaging everything in sight.
context: Saitama\Look, I don't know what the Denominator of the Universe\wants with Earth\but you sure trashed City A.\What I want with Earth?\There exists a prophecy.\Prophecy? You mean\Once, I traveled the universe, ravaging everything in sight. response:	But I was too strong.
context: Look, I don't know what the Denominator of the Universe\wants with Earth\but you sure trashed City A.\What I want with Earth?\There exists a prophecy.\Prophecy? You mean\Once, I traveled the universe, ravaging everything in sight.\But I was too strong. response:	Eventually, there were none left who could face me.
context: wants with Earth\but you sure trashed City A.\What I want with Earth?\There exists a prophecy.\Prophecy? You mean\Once, I traveled the universe, ravaging everything in sight.\But I was too strong.\Eventually, there were none left who could face me. response:	I came to know the torment of utter, all-encompassing boredom.
context: but you sure trashed City A.\What I want with Earth?\There exists a prophecy.\Prophecy? You mean\Once, I traveled the universe, ravaging everything in sight.\But I was too strong.\Eventually, there were none left who could face me.\I came to know the torment of utter, all-encompassing boredom. response:	Then one day, a seer told me
context: What I want with Earth?\There exists a prophecy.\Prophecy? You mean\Once, I traveled the universe, ravaging everything in sight.\But I was too strong.\Eventually, there were none left who could face me.\I came to know the torment of utter, all-encompassing boredom.\Then one day, a seer told me response:	On a faraway planet,
context: There exists a prophecy.\Prophecy? You mean\Once, I traveled the universe, ravaging everything in sight.\But I was too strong.\Eventually, there were none left who could face me.\I came to know the torment of utter, all-encompassing boredom.\Then one day, a seer told me\On a faraway planet, response:	a being exists who is my match,
context: Prophecy? You mean\Once, I traveled the universe, ravaging everything in sight.\But I was too strong.\Eventually, there were none left who could face me.\I came to know the torment of utter, all-encompassing boredom.\Then one day, a seer told me\On a faraway planet,\a being exists who is my match, response:	one who could rekindle my passion for battle.
context: Once, I traveled the universe, ravaging everything in sight.\But I was too strong.\Eventually, there were none left who could face me.\I came to know the torment of utter, all-encompassing boredom.\Then one day, a seer told me\On a faraway planet,\a being exists who is my match,\one who could rekindle my passion for battle. response:	That was nearly twenty years ago.
context: But I was too strong.\Eventually, there were none left who could face me.\I came to know the torment of utter, all-encompassing boredom.\Then one day, a seer told me\On a faraway planet,\a being exists who is my match,\one who could rekindle my passion for battle.\That was nearly twenty years ago. response:	Have you any idea the distance I have traveled to get here?
context: Eventually, there were none left who could face me.\I came to know the torment of utter, all-encompassing boredom.\Then one day, a seer told me\On a faraway planet,\a being exists who is my match,\one who could rekindle my passion for battle.\That was nearly twenty years ago.\Have you any idea the distance I have traveled to get here? response:	My men thought the prophecy was a ruse,
context: I came to know the torment of utter, all-encompassing boredom.\Then one day, a seer told me\On a faraway planet,\a being exists who is my match,\one who could rekindle my passion for battle.\That was nearly twenty years ago.\Have you any idea the distance I have traveled to get here?\My men thought the prophecy was a ruse, response:	made up to lure me away
context: Then one day, a seer told me\On a faraway planet,\a being exists who is my match,\one who could rekindle my passion for battle.\That was nearly twenty years ago.\Have you any idea the distance I have traveled to get here?\My men thought the prophecy was a ruse,\made up to lure me away response:	But now I am certain.
context: On a faraway planet,\a being exists who is my match,\one who could rekindle my passion for battle.\That was nearly twenty years ago.\Have you any idea the distance I have traveled to get here?\My men thought the prophecy was a ruse,\made up to lure me away\But now I am certain. response:	Come. Give stimulation to my existence.
context: a being exists who is my match,\one who could rekindle my passion for battle.\That was nearly twenty years ago.\Have you any idea the distance I have traveled to get here?\My men thought the prophecy was a ruse,\made up to lure me away\But now I am certain.\Come. Give stimulation to my existence. response:	That is why I am here!
context: one who could rekindle my passion for battle.\That was nearly twenty years ago.\Have you any idea the distance I have traveled to get here?\My men thought the prophecy was a ruse,\made up to lure me away\But now I am certain.\Come. Give stimulation to my existence.\That is why I am here! response:	Are you stupid?
context: That was nearly twenty years ago.\Have you any idea the distance I have traveled to get here?\My men thought the prophecy was a ruse,\made up to lure me away\But now I am certain.\Come. Give stimulation to my existence.\That is why I am here!\Are you stupid? response:	You can't just go around attacking other planets
context: Have you any idea the distance I have traveled to get here?\My men thought the prophecy was a ruse,\made up to lure me away\But now I am certain.\Come. Give stimulation to my existence.\That is why I am here!\Are you stupid?\You can't just go around attacking other planets response:	just to liven up your boring life.
context: My men thought the prophecy was a ruse,\made up to lure me away\But now I am certain.\Come. Give stimulation to my existence.\That is why I am here!\Are you stupid?\You can't just go around attacking other planets\just to liven up your boring life. response:	Even telemarketers wouldn't think that.
context: made up to lure me away\But now I am certain.\Come. Give stimulation to my existence.\That is why I am here!\Are you stupid?\You can't just go around attacking other planets\just to liven up your boring life.\Even telemarketers wouldn't think that. response:	This set of armor, used to seal in my immeasurable, irresistible power
context: But now I am certain.\Come. Give stimulation to my existence.\That is why I am here!\Are you stupid?\You can't just go around attacking other planets\just to liven up your boring life.\Even telemarketers wouldn't think that.\This set of armor, used to seal in my immeasurable, irresistible power response:	has been broken.
context: Come. Give stimulation to my existence.\That is why I am here!\Are you stupid?\You can't just go around attacking other planets\just to liven up your boring life.\Even telemarketers wouldn't think that.\This set of armor, used to seal in my immeasurable, irresistible power\has been broken. response:	OK.
context: That is why I am here!\Are you stupid?\You can't just go around attacking other planets\just to liven up your boring life.\Even telemarketers wouldn't think that.\This set of armor, used to seal in my immeasurable, irresistible power\has been broken.\OK. response:	It is time!
context: Are you stupid?\You can't just go around attacking other planets\just to liven up your boring life.\Even telemarketers wouldn't think that.\This set of armor, used to seal in my immeasurable, irresistible power\has been broken.\OK.\It is time! response:	THE STRONGEST HERO
context: You can't just go around attacking other planets\just to liven up your boring life.\Even telemarketers wouldn't think that.\This set of armor, used to seal in my immeasurable, irresistible power\has been broken.\OK.\It is time!\THE STRONGEST HERO response:	THE STRONGEST HERO The nextand final episode of One-Punch Man is
context: just to liven up your boring life.\Even telemarketers wouldn't think that.\This set of armor, used to seal in my immeasurable, irresistible power\has been broken.\OK.\It is time!\THE STRONGEST HERO\THE STRONGEST HERO The nextand final episode of One-Punch Man is response:	The Strongest Hero.
context: Even telemarketers wouldn't think that.\This set of armor, used to seal in my immeasurable, irresistible power\has been broken.\OK.\It is time!\THE STRONGEST HERO\THE STRONGEST HERO The nextand final episode of One-Punch Man is\The Strongest Hero. response:	What does it mean to be strongest,
context: This set of armor, used to seal in my immeasurable, irresistible power\has been broken.\OK.\It is time!\THE STRONGEST HERO\THE STRONGEST HERO The nextand final episode of One-Punch Man is\The Strongest Hero.\What does it mean to be strongest, response:	Saitama?
context: has been broken.\OK.\It is time!\THE STRONGEST HERO\THE STRONGEST HERO The nextand final episode of One-Punch Man is\The Strongest Hero.\What does it mean to be strongest,\Saitama? response:	You must tell me too
