context: All units, stay put. response:	We grab him when he flips off the engine.
context: Where are you, O'Neill?\It hurts to breathe... It hurts so much...\I will drown within the flesh of your blessings\and come to you in your kingdom...\There you are.\Hey, get off the man, lady.\I'm afraid that's impossible.\When the Virgin Mary gets like this, she won't wake up for at least 12 hours. response:	The Virgin Mary? She's a prostitute, right?
context: It hurts to breathe... It hurts so much...\I will drown within the flesh of your blessings\and come to you in your kingdom...\There you are.\Hey, get off the man, lady.\I'm afraid that's impossible.\When the Virgin Mary gets like this, she won't wake up for at least 12 hours.\The Virgin Mary? She's a prostitute, right? response:	Yes. But that's what they call her.
context: I will drown within the flesh of your blessings\and come to you in your kingdom...\There you are.\Hey, get off the man, lady.\I'm afraid that's impossible.\When the Virgin Mary gets like this, she won't wake up for at least 12 hours.\The Virgin Mary? She's a prostitute, right?\Yes. But that's what they call her. response:	Take this.
context: and come to you in your kingdom...\There you are.\Hey, get off the man, lady.\I'm afraid that's impossible.\When the Virgin Mary gets like this, she won't wake up for at least 12 hours.\The Virgin Mary? She's a prostitute, right?\Yes. But that's what they call her.\Take this. response:	Mister, that was mean.
context: There you are.\Hey, get off the man, lady.\I'm afraid that's impossible.\When the Virgin Mary gets like this, she won't wake up for at least 12 hours.\The Virgin Mary? She's a prostitute, right?\Yes. But that's what they call her.\Take this.\Mister, that was mean. response:	Well, I didn't think she'd react like that.
context: Hey, get off the man, lady.\I'm afraid that's impossible.\When the Virgin Mary gets like this, she won't wake up for at least 12 hours.\The Virgin Mary? She's a prostitute, right?\Yes. But that's what they call her.\Take this.\Mister, that was mean.\Well, I didn't think she'd react like that. response:	Shouldn't we call an ambulance?
context: I'm afraid that's impossible.\When the Virgin Mary gets like this, she won't wake up for at least 12 hours.\The Virgin Mary? She's a prostitute, right?\Yes. But that's what they call her.\Take this.\Mister, that was mean.\Well, I didn't think she'd react like that.\Shouldn't we call an ambulance? response:	You're Tilarna, right?
context: When the Virgin Mary gets like this, she won't wake up for at least 12 hours.\The Virgin Mary? She's a prostitute, right?\Yes. But that's what they call her.\Take this.\Mister, that was mean.\Well, I didn't think she'd react like that.\Shouldn't we call an ambulance?\You're Tilarna, right? response:	It's not a dream, right?
context: The Virgin Mary? She's a prostitute, right?\Yes. But that's what they call her.\Take this.\Mister, that was mean.\Well, I didn't think she'd react like that.\Shouldn't we call an ambulance?\You're Tilarna, right?\It's not a dream, right? response:	The garbage truck! What happened to it?
context: Yes. But that's what they call her.\Take this.\Mister, that was mean.\Well, I didn't think she'd react like that.\Shouldn't we call an ambulance?\You're Tilarna, right?\It's not a dream, right?\The garbage truck! What happened to it? response:	Oh, no!
context: Take this.\Mister, that was mean.\Well, I didn't think she'd react like that.\Shouldn't we call an ambulance?\You're Tilarna, right?\It's not a dream, right?\The garbage truck! What happened to it?\Oh, no! response:	I need to chase after it!
context: Mister, that was mean.\Well, I didn't think she'd react like that.\Shouldn't we call an ambulance?\You're Tilarna, right?\It's not a dream, right?\The garbage truck! What happened to it?\Oh, no!\I need to chase after it! response:	Are you coming too?
context: Well, I didn't think she'd react like that.\Shouldn't we call an ambulance?\You're Tilarna, right?\It's not a dream, right?\The garbage truck! What happened to it?\Oh, no!\I need to chase after it!\Are you coming too? response:	Okay!
context: Shouldn't we call an ambulance?\You're Tilarna, right?\It's not a dream, right?\The garbage truck! What happened to it?\Oh, no!\I need to chase after it!\Are you coming too?\Okay! response:	First, let's find the garbage truck.
context: You're Tilarna, right?\It's not a dream, right?\The garbage truck! What happened to it?\Oh, no!\I need to chase after it!\Are you coming too?\Okay!\First, let's find the garbage truck. response:	It hasn't been that long, so it should still be close.
context: It's not a dream, right?\The garbage truck! What happened to it?\Oh, no!\I need to chase after it!\Are you coming too?\Okay!\First, let's find the garbage truck.\It hasn't been that long, so it should still be close. response:	What? Did you find it?
context: The garbage truck! What happened to it?\Oh, no!\I need to chase after it!\Are you coming too?\Okay!\First, let's find the garbage truck.\It hasn't been that long, so it should still be close.\What? Did you find it? response:	Lower the blinds. I won't be able to keep living if someone sees me.
context: Oh, no!\I need to chase after it!\Are you coming too?\Okay!\First, let's find the garbage truck.\It hasn't been that long, so it should still be close.\What? Did you find it?\Lower the blinds. I won't be able to keep living if someone sees me. response:	Jeez, we're in a hurry!
context: I need to chase after it!\Are you coming too?\Okay!\First, let's find the garbage truck.\It hasn't been that long, so it should still be close.\What? Did you find it?\Lower the blinds. I won't be able to keep living if someone sees me.\Jeez, we're in a hurry! response:	Let's hurry!
context: Are you coming too?\Okay!\First, let's find the garbage truck.\It hasn't been that long, so it should still be close.\What? Did you find it?\Lower the blinds. I won't be able to keep living if someone sees me.\Jeez, we're in a hurry!\Let's hurry! response:	Next time Next time on COP CRAFT.
