context: You know, we've got a lot of only children in our group, huh? response:	I've got a little brother.
context: Sawada, Iura-kun isn't trying to scare you. He's a good guy.\Miyamura!\I mean, I don't care if he's a good guy. That's not the problem.\Sorry, Iura-kun. No luck.\I can't stand people who are loud and annoying.\My throat's all scratchy.\You coming down with a cold, Iura?\You keep coughing. response:	I don't feel sick. I just can't talk.
context: Miyamura!\I mean, I don't care if he's a good guy. That's not the problem.\Sorry, Iura-kun. No luck.\I can't stand people who are loud and annoying.\My throat's all scratchy.\You coming down with a cold, Iura?\You keep coughing.\I don't feel sick. I just can't talk. response:	Well, you're acting like the same old Iura...
context: I mean, I don't care if he's a good guy. That's not the problem.\Sorry, Iura-kun. No luck.\I can't stand people who are loud and annoying.\My throat's all scratchy.\You coming down with a cold, Iura?\You keep coughing.\I don't feel sick. I just can't talk.\Well, you're acting like the same old Iura... response:	But I do feel... kinda fatigued.
context: Sorry, Iura-kun. No luck.\I can't stand people who are loud and annoying.\My throat's all scratchy.\You coming down with a cold, Iura?\You keep coughing.\I don't feel sick. I just can't talk.\Well, you're acting like the same old Iura...\But I do feel... kinda fatigued. response:	You're totally sick! Go home!
context: I can't stand people who are loud and annoying.\My throat's all scratchy.\You coming down with a cold, Iura?\You keep coughing.\I don't feel sick. I just can't talk.\Well, you're acting like the same old Iura...\But I do feel... kinda fatigued.\You're totally sick! Go home! response:	C'mon, you've totally got a fever, too!
context: My throat's all scratchy.\You coming down with a cold, Iura?\You keep coughing.\I don't feel sick. I just can't talk.\Well, you're acting like the same old Iura...\But I do feel... kinda fatigued.\You're totally sick! Go home!\C'mon, you've totally got a fever, too! response:	Why're you grabbing me like this?! Why're you grabbing me like this?!
context: You coming down with a cold, Iura?\You keep coughing.\I don't feel sick. I just can't talk.\Well, you're acting like the same old Iura...\But I do feel... kinda fatigued.\You're totally sick! Go home!\C'mon, you've totally got a fever, too!\Why're you grabbing me like this?! Why're you grabbing me like this?! response:	Be gentle with me!
context: You keep coughing.\I don't feel sick. I just can't talk.\Well, you're acting like the same old Iura...\But I do feel... kinda fatigued.\You're totally sick! Go home!\C'mon, you've totally got a fever, too!\Why're you grabbing me like this?! Why're you grabbing me like this?!\Be gentle with me! response:	My throat's dead!
context: I don't feel sick. I just can't talk.\Well, you're acting like the same old Iura...\But I do feel... kinda fatigued.\You're totally sick! Go home!\C'mon, you've totally got a fever, too!\Why're you grabbing me like this?! Why're you grabbing me like this?!\Be gentle with me!\My throat's dead! response:	If it hurts that bad, then go the hell home!
context: Well, you're acting like the same old Iura...\But I do feel... kinda fatigued.\You're totally sick! Go home!\C'mon, you've totally got a fever, too!\Why're you grabbing me like this?! Why're you grabbing me like this?!\Be gentle with me!\My throat's dead!\If it hurts that bad, then go the hell home! response:	Don't get anyone else sick!
context: But I do feel... kinda fatigued.\You're totally sick! Go home!\C'mon, you've totally got a fever, too!\Why're you grabbing me like this?! Why're you grabbing me like this?!\Be gentle with me!\My throat's dead!\If it hurts that bad, then go the hell home!\Don't get anyone else sick! response:	Science Lab
context: You're totally sick! Go home!\C'mon, you've totally got a fever, too!\Why're you grabbing me like this?! Why're you grabbing me like this?!\Be gentle with me!\My throat's dead!\If it hurts that bad, then go the hell home!\Don't get anyone else sick!\Science Lab response:	It's so heavy.
context: C'mon, you've totally got a fever, too!\Why're you grabbing me like this?! Why're you grabbing me like this?!\Be gentle with me!\My throat's dead!\If it hurts that bad, then go the hell home!\Don't get anyone else sick!\Science Lab\It's so heavy. response:	Going the same way so might as well help out, but can't say anything because his throat hurts
context: Why're you grabbing me like this?! Why're you grabbing me like this?!\Be gentle with me!\My throat's dead!\If it hurts that bad, then go the hell home!\Don't get anyone else sick!\Science Lab\It's so heavy.\Going the same way so might as well help out, but can't say anything because his throat hurts response:	Going the same way so might as well help out, but can't say anything because his throat hurts Terrified because someone just grabbed the box out of her hands
context: Be gentle with me!\My throat's dead!\If it hurts that bad, then go the hell home!\Don't get anyone else sick!\Science Lab\It's so heavy.\Going the same way so might as well help out, but can't say anything because his throat hurts\Going the same way so might as well help out, but can't say anything because his throat hurts Terrified because someone just grabbed the box out of her hands response:	Hey!
context: My throat's dead!\If it hurts that bad, then go the hell home!\Don't get anyone else sick!\Science Lab\It's so heavy.\Going the same way so might as well help out, but can't say anything because his throat hurts\Going the same way so might as well help out, but can't say anything because his throat hurts Terrified because someone just grabbed the box out of her hands\Hey! response:	Science Lab
context: If it hurts that bad, then go the hell home!\Don't get anyone else sick!\Science Lab\It's so heavy.\Going the same way so might as well help out, but can't say anything because his throat hurts\Going the same way so might as well help out, but can't say anything because his throat hurts Terrified because someone just grabbed the box out of her hands\Hey!\Science Lab response:	H-Hey, uh...
context: Don't get anyone else sick!\Science Lab\It's so heavy.\Going the same way so might as well help out, but can't say anything because his throat hurts\Going the same way so might as well help out, but can't say anything because his throat hurts Terrified because someone just grabbed the box out of her hands\Hey!\Science Lab\H-Hey, uh... response:	Don't get anyone else sick!
context: Science Lab\It's so heavy.\Going the same way so might as well help out, but can't say anything because his throat hurts\Going the same way so might as well help out, but can't say anything because his throat hurts Terrified because someone just grabbed the box out of her hands\Hey!\Science Lab\H-Hey, uh...\Don't get anyone else sick! response:	Hey...
context: It's so heavy.\Going the same way so might as well help out, but can't say anything because his throat hurts\Going the same way so might as well help out, but can't say anything because his throat hurts Terrified because someone just grabbed the box out of her hands\Hey!\Science Lab\H-Hey, uh...\Don't get anyone else sick!\Hey... response:	Wait, what?
context: Going the same way so might as well help out, but can't say anything because his throat hurts\Going the same way so might as well help out, but can't say anything because his throat hurts Terrified because someone just grabbed the box out of her hands\Hey!\Science Lab\H-Hey, uh...\Don't get anyone else sick!\Hey...\Wait, what? response:	You're so loud, Iura!
context: Going the same way so might as well help out, but can't say anything because his throat hurts Terrified because someone just grabbed the box out of her hands\Hey!\Science Lab\H-Hey, uh...\Don't get anyone else sick!\Hey...\Wait, what?\You're so loud, Iura! response:	You're so loud, Iura! Nope!
context: Hey!\Science Lab\H-Hey, uh...\Don't get anyone else sick!\Hey...\Wait, what?\You're so loud, Iura!\You're so loud, Iura! Nope! response:	You're so loud, Iura! Nope! He's scary!
context: Science Lab\H-Hey, uh...\Don't get anyone else sick!\Hey...\Wait, what?\You're so loud, Iura!\You're so loud, Iura! Nope!\You're so loud, Iura! Nope! He's scary! response:	Man, I went home, gargled mouthwash and passed out, and I'm feelin' great!
context: H-Hey, uh...\Don't get anyone else sick!\Hey...\Wait, what?\You're so loud, Iura!\You're so loud, Iura! Nope!\You're so loud, Iura! Nope! He's scary!\Man, I went home, gargled mouthwash and passed out, and I'm feelin' great! response:	Grats.
context: Don't get anyone else sick!\Hey...\Wait, what?\You're so loud, Iura!\You're so loud, Iura! Nope!\You're so loud, Iura! Nope! He's scary!\Man, I went home, gargled mouthwash and passed out, and I'm feelin' great!\Grats. response:	At least say the whole word!
context: Hey...\Wait, what?\You're so loud, Iura!\You're so loud, Iura! Nope!\You're so loud, Iura! Nope! He's scary!\Man, I went home, gargled mouthwash and passed out, and I'm feelin' great!\Grats.\At least say the whole word! response:	Wait, why are you congratulating me for beating a cold, anyway?
context: Wait, what?\You're so loud, Iura!\You're so loud, Iura! Nope!\You're so loud, Iura! Nope! He's scary!\Man, I went home, gargled mouthwash and passed out, and I'm feelin' great!\Grats.\At least say the whole word!\Wait, why are you congratulating me for beating a cold, anyway? response:	Your little sister's studying for high school exams. Don't get her sick.
context: You're so loud, Iura!\You're so loud, Iura! Nope!\You're so loud, Iura! Nope! He's scary!\Man, I went home, gargled mouthwash and passed out, and I'm feelin' great!\Grats.\At least say the whole word!\Wait, why are you congratulating me for beating a cold, anyway?\Your little sister's studying for high school exams. Don't get her sick. response:	Sawada-san?
context: You're so loud, Iura! Nope!\You're so loud, Iura! Nope! He's scary!\Man, I went home, gargled mouthwash and passed out, and I'm feelin' great!\Grats.\At least say the whole word!\Wait, why are you congratulating me for beating a cold, anyway?\Your little sister's studying for high school exams. Don't get her sick.\Sawada-san? response:	H-Hey...
context: You're so loud, Iura! Nope! He's scary!\Man, I went home, gargled mouthwash and passed out, and I'm feelin' great!\Grats.\At least say the whole word!\Wait, why are you congratulating me for beating a cold, anyway?\Your little sister's studying for high school exams. Don't get her sick.\Sawada-san?\H-Hey... response:	Do you need Iura-kun?
context: Man, I went home, gargled mouthwash and passed out, and I'm feelin' great!\Grats.\At least say the whole word!\Wait, why are you congratulating me for beating a cold, anyway?\Your little sister's studying for high school exams. Don't get her sick.\Sawada-san?\H-Hey...\Do you need Iura-kun? response:	Wait, you think he's mad at you?
context: Grats.\At least say the whole word!\Wait, why are you congratulating me for beating a cold, anyway?\Your little sister's studying for high school exams. Don't get her sick.\Sawada-san?\H-Hey...\Do you need Iura-kun?\Wait, you think he's mad at you? response:	Yeah.
context: At least say the whole word!\Wait, why are you congratulating me for beating a cold, anyway?\Your little sister's studying for high school exams. Don't get her sick.\Sawada-san?\H-Hey...\Do you need Iura-kun?\Wait, you think he's mad at you?\Yeah. response:	Does he even get mad?
context: Wait, why are you congratulating me for beating a cold, anyway?\Your little sister's studying for high school exams. Don't get her sick.\Sawada-san?\H-Hey...\Do you need Iura-kun?\Wait, you think he's mad at you?\Yeah.\Does he even get mad? response:	-Huh?
context: Your little sister's studying for high school exams. Don't get her sick.\Sawada-san?\H-Hey...\Do you need Iura-kun?\Wait, you think he's mad at you?\Yeah.\Does he even get mad?\-Huh? response:	-I've never seen him angry, ever. -Huh?
context: Sawada-san?\H-Hey...\Do you need Iura-kun?\Wait, you think he's mad at you?\Yeah.\Does he even get mad?\-Huh?\-I've never seen him angry, ever. -Huh? response:	-I've never seen him angry, ever.
context: H-Hey...\Do you need Iura-kun?\Wait, you think he's mad at you?\Yeah.\Does he even get mad?\-Huh?\-I've never seen him angry, ever. -Huh?\-I've never seen him angry, ever. response:	AND I MANAGED TO PISS HIM OFF!
context: Do you need Iura-kun?\Wait, you think he's mad at you?\Yeah.\Does he even get mad?\-Huh?\-I've never seen him angry, ever. -Huh?\-I've never seen him angry, ever.\AND I MANAGED TO PISS HIM OFF! response:	-I've never seen him angry, ever.
context: Wait, you think he's mad at you?\Yeah.\Does he even get mad?\-Huh?\-I've never seen him angry, ever. -Huh?\-I've never seen him angry, ever.\AND I MANAGED TO PISS HIM OFF!\-I've never seen him angry, ever. response:	AND I MANAGED TO PISS HIM OFF!
context: Yeah.\Does he even get mad?\-Huh?\-I've never seen him angry, ever. -Huh?\-I've never seen him angry, ever.\AND I MANAGED TO PISS HIM OFF!\-I've never seen him angry, ever.\AND I MANAGED TO PISS HIM OFF! response:	H-Hold on, is he really mad at you?
context: Does he even get mad?\-Huh?\-I've never seen him angry, ever. -Huh?\-I've never seen him angry, ever.\AND I MANAGED TO PISS HIM OFF!\-I've never seen him angry, ever.\AND I MANAGED TO PISS HIM OFF!\H-Hold on, is he really mad at you? response:	H-Hold on, is he really mad at you?
context: -Huh?\-I've never seen him angry, ever. -Huh?\-I've never seen him angry, ever.\AND I MANAGED TO PISS HIM OFF!\-I've never seen him angry, ever.\AND I MANAGED TO PISS HIM OFF!\H-Hold on, is he really mad at you?\H-Hold on, is he really mad at you? response:	I can hear him laughing, so I think you're okay.
context: -I've never seen him angry, ever. -Huh?\-I've never seen him angry, ever.\AND I MANAGED TO PISS HIM OFF!\-I've never seen him angry, ever.\AND I MANAGED TO PISS HIM OFF!\H-Hold on, is he really mad at you?\H-Hold on, is he really mad at you?\I can hear him laughing, so I think you're okay. response:	Do you want him to like you?
context: -I've never seen him angry, ever.\AND I MANAGED TO PISS HIM OFF!\-I've never seen him angry, ever.\AND I MANAGED TO PISS HIM OFF!\H-Hold on, is he really mad at you?\H-Hold on, is he really mad at you?\I can hear him laughing, so I think you're okay.\Do you want him to like you? response:	Whoa, it's Kono-san and Sawada-san!
context: AND I MANAGED TO PISS HIM OFF!\-I've never seen him angry, ever.\AND I MANAGED TO PISS HIM OFF!\H-Hold on, is he really mad at you?\H-Hold on, is he really mad at you?\I can hear him laughing, so I think you're okay.\Do you want him to like you?\Whoa, it's Kono-san and Sawada-san! response:	Oh, Miyamura's not here, but Hori-san is!
context: -I've never seen him angry, ever.\AND I MANAGED TO PISS HIM OFF!\H-Hold on, is he really mad at you?\H-Hold on, is he really mad at you?\I can hear him laughing, so I think you're okay.\Do you want him to like you?\Whoa, it's Kono-san and Sawada-san!\Oh, Miyamura's not here, but Hori-san is! response:	What're you and Kono-san talking about?
context: AND I MANAGED TO PISS HIM OFF!\H-Hold on, is he really mad at you?\H-Hold on, is he really mad at you?\I can hear him laughing, so I think you're okay.\Do you want him to like you?\Whoa, it's Kono-san and Sawada-san!\Oh, Miyamura's not here, but Hori-san is!\What're you and Kono-san talking about? response:	Wait, if it's private, you don't have to say!
context: H-Hold on, is he really mad at you?\H-Hold on, is he really mad at you?\I can hear him laughing, so I think you're okay.\Do you want him to like you?\Whoa, it's Kono-san and Sawada-san!\Oh, Miyamura's not here, but Hori-san is!\What're you and Kono-san talking about?\Wait, if it's private, you don't have to say! response:	Did everything work out yesterday?
context: H-Hold on, is he really mad at you?\I can hear him laughing, so I think you're okay.\Do you want him to like you?\Whoa, it's Kono-san and Sawada-san!\Oh, Miyamura's not here, but Hori-san is!\What're you and Kono-san talking about?\Wait, if it's private, you don't have to say!\Did everything work out yesterday? response:	Sheesh, the science room is so far away from the second-year classrooms.
context: I can hear him laughing, so I think you're okay.\Do you want him to like you?\Whoa, it's Kono-san and Sawada-san!\Oh, Miyamura's not here, but Hori-san is!\What're you and Kono-san talking about?\Wait, if it's private, you don't have to say!\Did everything work out yesterday?\Sheesh, the science room is so far away from the second-year classrooms. response:	I was worried you'd end up late to class!
context: Do you want him to like you?\Whoa, it's Kono-san and Sawada-san!\Oh, Miyamura's not here, but Hori-san is!\What're you and Kono-san talking about?\Wait, if it's private, you don't have to say!\Did everything work out yesterday?\Sheesh, the science room is so far away from the second-year classrooms.\I was worried you'd end up late to class! response:	Y-Y-You're so annoying!
context: Whoa, it's Kono-san and Sawada-san!\Oh, Miyamura's not here, but Hori-san is!\What're you and Kono-san talking about?\Wait, if it's private, you don't have to say!\Did everything work out yesterday?\Sheesh, the science room is so far away from the second-year classrooms.\I was worried you'd end up late to class!\Y-Y-You're so annoying! response:	And she hates me again.
context: Oh, Miyamura's not here, but Hori-san is!\What're you and Kono-san talking about?\Wait, if it's private, you don't have to say!\Did everything work out yesterday?\Sheesh, the science room is so far away from the second-year classrooms.\I was worried you'd end up late to class!\Y-Y-You're so annoying!\And she hates me again. response:	Iura-kun, your timing is annoying.
context: What're you and Kono-san talking about?\Wait, if it's private, you don't have to say!\Did everything work out yesterday?\Sheesh, the science room is so far away from the second-year classrooms.\I was worried you'd end up late to class!\Y-Y-You're so annoying!\And she hates me again.\Iura-kun, your timing is annoying. response:	M-My timing?!
context: Wait, if it's private, you don't have to say!\Did everything work out yesterday?\Sheesh, the science room is so far away from the second-year classrooms.\I was worried you'd end up late to class!\Y-Y-You're so annoying!\And she hates me again.\Iura-kun, your timing is annoying.\M-My timing?! response:	Ah, hmm... You want to try for East High?
context: Did everything work out yesterday?\Sheesh, the science room is so far away from the second-year classrooms.\I was worried you'd end up late to class!\Y-Y-You're so annoying!\And she hates me again.\Iura-kun, your timing is annoying.\M-My timing?!\Ah, hmm... You want to try for East High? response:	Yes, sir.
context: Sheesh, the science room is so far away from the second-year classrooms.\I was worried you'd end up late to class!\Y-Y-You're so annoying!\And she hates me again.\Iura-kun, your timing is annoying.\M-My timing?!\Ah, hmm... You want to try for East High?\Yes, sir. response:	East High, huh. And you're dead set on it?
context: I was worried you'd end up late to class!\Y-Y-You're so annoying!\And she hates me again.\Iura-kun, your timing is annoying.\M-My timing?!\Ah, hmm... You want to try for East High?\Yes, sir.\East High, huh. And you're dead set on it? response:	Huh?
context: Y-Y-You're so annoying!\And she hates me again.\Iura-kun, your timing is annoying.\M-My timing?!\Ah, hmm... You want to try for East High?\Yes, sir.\East High, huh. And you're dead set on it?\Huh? response:	I mean, look. You might want to aim a rank lower.
context: And she hates me again.\Iura-kun, your timing is annoying.\M-My timing?!\Ah, hmm... You want to try for East High?\Yes, sir.\East High, huh. And you're dead set on it?\Huh?\I mean, look. You might want to aim a rank lower. response:	Your grades are pretty average.
context: Iura-kun, your timing is annoying.\M-My timing?!\Ah, hmm... You want to try for East High?\Yes, sir.\East High, huh. And you're dead set on it?\Huh?\I mean, look. You might want to aim a rank lower.\Your grades are pretty average. response:	I don't think your grades in any subject would be high enough...
context: M-My timing?!\Ah, hmm... You want to try for East High?\Yes, sir.\East High, huh. And you're dead set on it?\Huh?\I mean, look. You might want to aim a rank lower.\Your grades are pretty average.\I don't think your grades in any subject would be high enough... response:	But that's not to say that's bad, no.
context: Ah, hmm... You want to try for East High?\Yes, sir.\East High, huh. And you're dead set on it?\Huh?\I mean, look. You might want to aim a rank lower.\Your grades are pretty average.\I don't think your grades in any subject would be high enough...\But that's not to say that's bad, no. response:	East High, though... You may want to think that over once more.
context: Yes, sir.\East High, huh. And you're dead set on it?\Huh?\I mean, look. You might want to aim a rank lower.\Your grades are pretty average.\I don't think your grades in any subject would be high enough...\But that's not to say that's bad, no.\East High, though... You may want to think that over once more. response:	Give it some thought, then come back to me...
context: East High, huh. And you're dead set on it?\Huh?\I mean, look. You might want to aim a rank lower.\Your grades are pretty average.\I don't think your grades in any subject would be high enough...\But that's not to say that's bad, no.\East High, though... You may want to think that over once more.\Give it some thought, then come back to me... response:	Yo, Moto-Moto. You know where Grampa is?
context: Huh?\I mean, look. You might want to aim a rank lower.\Your grades are pretty average.\I don't think your grades in any subject would be high enough...\But that's not to say that's bad, no.\East High, though... You may want to think that over once more.\Give it some thought, then come back to me...\Yo, Moto-Moto. You know where Grampa is? response:	No.
context: I mean, look. You might want to aim a rank lower.\Your grades are pretty average.\I don't think your grades in any subject would be high enough...\But that's not to say that's bad, no.\East High, though... You may want to think that over once more.\Give it some thought, then come back to me...\Yo, Moto-Moto. You know where Grampa is?\No. response:	Mmkay.
context: Your grades are pretty average.\I don't think your grades in any subject would be high enough...\But that's not to say that's bad, no.\East High, though... You may want to think that over once more.\Give it some thought, then come back to me...\Yo, Moto-Moto. You know where Grampa is?\No.\Mmkay. response:	Whatever.
context: I don't think your grades in any subject would be high enough...\But that's not to say that's bad, no.\East High, though... You may want to think that over once more.\Give it some thought, then come back to me...\Yo, Moto-Moto. You know where Grampa is?\No.\Mmkay.\Whatever. response:	I'm not gonna have dinner tonight.
context: But that's not to say that's bad, no.\East High, though... You may want to think that over once more.\Give it some thought, then come back to me...\Yo, Moto-Moto. You know where Grampa is?\No.\Mmkay.\Whatever.\I'm not gonna have dinner tonight. response:	Why not?
context: East High, though... You may want to think that over once more.\Give it some thought, then come back to me...\Yo, Moto-Moto. You know where Grampa is?\No.\Mmkay.\Whatever.\I'm not gonna have dinner tonight.\Why not? response:	I told my teacher where I wanted to go for high school, and he laughed at me.
context: Give it some thought, then come back to me...\Yo, Moto-Moto. You know where Grampa is?\No.\Mmkay.\Whatever.\I'm not gonna have dinner tonight.\Why not?\I told my teacher where I wanted to go for high school, and he laughed at me. response:	Why does him laughing at you mean you're not gonna eat dinner?
context: Yo, Moto-Moto. You know where Grampa is?\No.\Mmkay.\Whatever.\I'm not gonna have dinner tonight.\Why not?\I told my teacher where I wanted to go for high school, and he laughed at me.\Why does him laughing at you mean you're not gonna eat dinner? response:	Th-That's not what I meant.
context: No.\Mmkay.\Whatever.\I'm not gonna have dinner tonight.\Why not?\I told my teacher where I wanted to go for high school, and he laughed at me.\Why does him laughing at you mean you're not gonna eat dinner?\Th-That's not what I meant. response:	You're going to eat dinner.
context: Mmkay.\Whatever.\I'm not gonna have dinner tonight.\Why not?\I told my teacher where I wanted to go for high school, and he laughed at me.\Why does him laughing at you mean you're not gonna eat dinner?\Th-That's not what I meant.\You're going to eat dinner. response:	You are, okay?
context: Whatever.\I'm not gonna have dinner tonight.\Why not?\I told my teacher where I wanted to go for high school, and he laughed at me.\Why does him laughing at you mean you're not gonna eat dinner?\Th-That's not what I meant.\You're going to eat dinner.\You are, okay? response:	O-Okay, fine.
context: I'm not gonna have dinner tonight.\Why not?\I told my teacher where I wanted to go for high school, and he laughed at me.\Why does him laughing at you mean you're not gonna eat dinner?\Th-That's not what I meant.\You're going to eat dinner.\You are, okay?\O-Okay, fine. response:	Where do you wanna go, Moto?
context: Why not?\I told my teacher where I wanted to go for high school, and he laughed at me.\Why does him laughing at you mean you're not gonna eat dinner?\Th-That's not what I meant.\You're going to eat dinner.\You are, okay?\O-Okay, fine.\Where do you wanna go, Moto? response:	You're gonna laugh, too.
context: I told my teacher where I wanted to go for high school, and he laughed at me.\Why does him laughing at you mean you're not gonna eat dinner?\Th-That's not what I meant.\You're going to eat dinner.\You are, okay?\O-Okay, fine.\Where do you wanna go, Moto?\You're gonna laugh, too. response:	No, I won't. I wanna know where you wanna go.
context: Why does him laughing at you mean you're not gonna eat dinner?\Th-That's not what I meant.\You're going to eat dinner.\You are, okay?\O-Okay, fine.\Where do you wanna go, Moto?\You're gonna laugh, too.\No, I won't. I wanna know where you wanna go. response:	East High.
context: Th-That's not what I meant.\You're going to eat dinner.\You are, okay?\O-Okay, fine.\Where do you wanna go, Moto?\You're gonna laugh, too.\No, I won't. I wanna know where you wanna go.\East High. response:	Wait, I thought it was gonna be some funny name! That's not funny at all!
context: You're going to eat dinner.\You are, okay?\O-Okay, fine.\Where do you wanna go, Moto?\You're gonna laugh, too.\No, I won't. I wanna know where you wanna go.\East High.\Wait, I thought it was gonna be some funny name! That's not funny at all! response:	My teacher didn't laugh at the name, dummy! He...
context: You are, okay?\O-Okay, fine.\Where do you wanna go, Moto?\You're gonna laugh, too.\No, I won't. I wanna know where you wanna go.\East High.\Wait, I thought it was gonna be some funny name! That's not funny at all!\My teacher didn't laugh at the name, dummy! He... response:	H-He laughed at my grades.
context: O-Okay, fine.\Where do you wanna go, Moto?\You're gonna laugh, too.\No, I won't. I wanna know where you wanna go.\East High.\Wait, I thought it was gonna be some funny name! That's not funny at all!\My teacher didn't laugh at the name, dummy! He...\H-He laughed at my grades. response:	What, are they laughably bad?
context: Where do you wanna go, Moto?\You're gonna laugh, too.\No, I won't. I wanna know where you wanna go.\East High.\Wait, I thought it was gonna be some funny name! That's not funny at all!\My teacher didn't laugh at the name, dummy! He...\H-He laughed at my grades.\What, are they laughably bad? response:	You're always throwing your notes and textbooks at me, so I took a peek.
context: You're gonna laugh, too.\No, I won't. I wanna know where you wanna go.\East High.\Wait, I thought it was gonna be some funny name! That's not funny at all!\My teacher didn't laugh at the name, dummy! He...\H-He laughed at my grades.\What, are they laughably bad?\You're always throwing your notes and textbooks at me, so I took a peek. response:	The pages of your textbooks are worn down from how much you study.
context: No, I won't. I wanna know where you wanna go.\East High.\Wait, I thought it was gonna be some funny name! That's not funny at all!\My teacher didn't laugh at the name, dummy! He...\H-He laughed at my grades.\What, are they laughably bad?\You're always throwing your notes and textbooks at me, so I took a peek.\The pages of your textbooks are worn down from how much you study. response:	You highlight and write notes all over them, too.
context: East High.\Wait, I thought it was gonna be some funny name! That's not funny at all!\My teacher didn't laugh at the name, dummy! He...\H-He laughed at my grades.\What, are they laughably bad?\You're always throwing your notes and textbooks at me, so I took a peek.\The pages of your textbooks are worn down from how much you study.\You highlight and write notes all over them, too. response:	You're trying really hard.
context: Wait, I thought it was gonna be some funny name! That's not funny at all!\My teacher didn't laugh at the name, dummy! He...\H-He laughed at my grades.\What, are they laughably bad?\You're always throwing your notes and textbooks at me, so I took a peek.\The pages of your textbooks are worn down from how much you study.\You highlight and write notes all over them, too.\You're trying really hard. response:	Which teacher laughed at you? Bring'im over.
context: My teacher didn't laugh at the name, dummy! He...\H-He laughed at my grades.\What, are they laughably bad?\You're always throwing your notes and textbooks at me, so I took a peek.\The pages of your textbooks are worn down from how much you study.\You highlight and write notes all over them, too.\You're trying really hard.\Which teacher laughed at you? Bring'im over. response:	I'll punch his lights out.
context: H-He laughed at my grades.\What, are they laughably bad?\You're always throwing your notes and textbooks at me, so I took a peek.\The pages of your textbooks are worn down from how much you study.\You highlight and write notes all over them, too.\You're trying really hard.\Which teacher laughed at you? Bring'im over.\I'll punch his lights out. response:	I'll do it so you don't have to.
context: What, are they laughably bad?\You're always throwing your notes and textbooks at me, so I took a peek.\The pages of your textbooks are worn down from how much you study.\You highlight and write notes all over them, too.\You're trying really hard.\Which teacher laughed at you? Bring'im over.\I'll punch his lights out.\I'll do it so you don't have to. response:	Why?
context: You're always throwing your notes and textbooks at me, so I took a peek.\The pages of your textbooks are worn down from how much you study.\You highlight and write notes all over them, too.\You're trying really hard.\Which teacher laughed at you? Bring'im over.\I'll punch his lights out.\I'll do it so you don't have to.\Why? response:	How? Why?
context: The pages of your textbooks are worn down from how much you study.\You highlight and write notes all over them, too.\You're trying really hard.\Which teacher laughed at you? Bring'im over.\I'll punch his lights out.\I'll do it so you don't have to.\Why?\How? Why? response:	I try, but my grades keep slipping.
context: You highlight and write notes all over them, too.\You're trying really hard.\Which teacher laughed at you? Bring'im over.\I'll punch his lights out.\I'll do it so you don't have to.\Why?\How? Why?\I try, but my grades keep slipping. response:	My teacher said it's hopeless. He said I should rethink things.
context: You're trying really hard.\Which teacher laughed at you? Bring'im over.\I'll punch his lights out.\I'll do it so you don't have to.\Why?\How? Why?\I try, but my grades keep slipping.\My teacher said it's hopeless. He said I should rethink things. response:	My friends, they... Their grades are good enough to get in, but mine...
context: Which teacher laughed at you? Bring'im over.\I'll punch his lights out.\I'll do it so you don't have to.\Why?\How? Why?\I try, but my grades keep slipping.\My teacher said it's hopeless. He said I should rethink things.\My friends, they... Their grades are good enough to get in, but mine... response:	I'm...
context: I'll punch his lights out.\I'll do it so you don't have to.\Why?\How? Why?\I try, but my grades keep slipping.\My teacher said it's hopeless. He said I should rethink things.\My friends, they... Their grades are good enough to get in, but mine...\I'm... response:	What should I do, big bro? I don't know what to do!
context: I'll do it so you don't have to.\Why?\How? Why?\I try, but my grades keep slipping.\My teacher said it's hopeless. He said I should rethink things.\My friends, they... Their grades are good enough to get in, but mine...\I'm...\What should I do, big bro? I don't know what to do! response:	I try, and I try, and I try,
context: Why?\How? Why?\I try, but my grades keep slipping.\My teacher said it's hopeless. He said I should rethink things.\My friends, they... Their grades are good enough to get in, but mine...\I'm...\What should I do, big bro? I don't know what to do!\I try, and I try, and I try, response:	but I can't make it happen.
context: How? Why?\I try, but my grades keep slipping.\My teacher said it's hopeless. He said I should rethink things.\My friends, they... Their grades are good enough to get in, but mine...\I'm...\What should I do, big bro? I don't know what to do!\I try, and I try, and I try,\but I can't make it happen. response:	The East High uniforms suck.
context: I try, but my grades keep slipping.\My teacher said it's hopeless. He said I should rethink things.\My friends, they... Their grades are good enough to get in, but mine...\I'm...\What should I do, big bro? I don't know what to do!\I try, and I try, and I try,\but I can't make it happen.\The East High uniforms suck. response:	If you don't get in, you'll have to try a lower-ranked school,
context: My teacher said it's hopeless. He said I should rethink things.\My friends, they... Their grades are good enough to get in, but mine...\I'm...\What should I do, big bro? I don't know what to do!\I try, and I try, and I try,\but I can't make it happen.\The East High uniforms suck.\If you don't get in, you'll have to try a lower-ranked school, response:	but you could totally get into Katagiri.
context: My friends, they... Their grades are good enough to get in, but mine...\I'm...\What should I do, big bro? I don't know what to do!\I try, and I try, and I try,\but I can't make it happen.\The East High uniforms suck.\If you don't get in, you'll have to try a lower-ranked school,\but you could totally get into Katagiri. response:	Our uniforms are real cute. You'd look good in'em.
context: I'm...\What should I do, big bro? I don't know what to do!\I try, and I try, and I try,\but I can't make it happen.\The East High uniforms suck.\If you don't get in, you'll have to try a lower-ranked school,\but you could totally get into Katagiri.\Our uniforms are real cute. You'd look good in'em. response:	Just do the best you can.
