context: I hear the ultimate stage calling to me... response:	This voice! This melody!
context: Song of Legend\zetsubouteki ni kimi wa kirei sa\hanten suru sekai no kattou ni aishiaou\bokura ga miteru sekai wa itsudemo sakasama de\doushiyou mo nai koto de taigai kimatteku\namida suru hodo kizu tsuku hitomi\kokoro de sakebi nagara\tada atteitai saigo no futari masarenai mama response:	byouyomi ga kikoetekuru
context: zetsubouteki ni kimi wa kirei sa\hanten suru sekai no kattou ni aishiaou\bokura ga miteru sekai wa itsudemo sakasama de\doushiyou mo nai koto de taigai kimatteku\namida suru hodo kizu tsuku hitomi\kokoro de sakebi nagara\tada atteitai saigo no futari masarenai mama\byouyomi ga kikoetekuru response:	zetsubouteki ni kimi wa kirei sa
context: hanten suru sekai no kattou ni aishiaou\bokura ga miteru sekai wa itsudemo sakasama de\doushiyou mo nai koto de taigai kimatteku\namida suru hodo kizu tsuku hitomi\kokoro de sakebi nagara\tada atteitai saigo no futari masarenai mama\byouyomi ga kikoetekuru\zetsubouteki ni kimi wa kirei sa response:	sutareyuku doubutsu mitai ni aishiaou
context: bokura ga miteru sekai wa itsudemo sakasama de\doushiyou mo nai koto de taigai kimatteku\namida suru hodo kizu tsuku hitomi\kokoro de sakebi nagara\tada atteitai saigo no futari masarenai mama\byouyomi ga kikoetekuru\zetsubouteki ni kimi wa kirei sa\sutareyuku doubutsu mitai ni aishiaou response:	nakitai kurai kimi wa kirei sa
context: doushiyou mo nai koto de taigai kimatteku\namida suru hodo kizu tsuku hitomi\kokoro de sakebi nagara\tada atteitai saigo no futari masarenai mama\byouyomi ga kikoetekuru\zetsubouteki ni kimi wa kirei sa\sutareyuku doubutsu mitai ni aishiaou\nakitai kurai kimi wa kirei sa response:	hanten suru sekai no kattou ni kanjitai yo
context: namida suru hodo kizu tsuku hitomi\kokoro de sakebi nagara\tada atteitai saigo no futari masarenai mama\byouyomi ga kikoetekuru\zetsubouteki ni kimi wa kirei sa\sutareyuku doubutsu mitai ni aishiaou\nakitai kurai kimi wa kirei sa\hanten suru sekai no kattou ni kanjitai yo response:	You're so beautiful it's depressing
context: kokoro de sakebi nagara\tada atteitai saigo no futari masarenai mama\byouyomi ga kikoetekuru\zetsubouteki ni kimi wa kirei sa\sutareyuku doubutsu mitai ni aishiaou\nakitai kurai kimi wa kirei sa\hanten suru sekai no kattou ni kanjitai yo\You're so beautiful it's depressing response:	Let's love one another amidst the chaos in this backwards world
context: tada atteitai saigo no futari masarenai mama\byouyomi ga kikoetekuru\zetsubouteki ni kimi wa kirei sa\sutareyuku doubutsu mitai ni aishiaou\nakitai kurai kimi wa kirei sa\hanten suru sekai no kattou ni kanjitai yo\You're so beautiful it's depressing\Let's love one another amidst the chaos in this backwards world response:	This world of ours moves in reverse
context: byouyomi ga kikoetekuru\zetsubouteki ni kimi wa kirei sa\sutareyuku doubutsu mitai ni aishiaou\nakitai kurai kimi wa kirei sa\hanten suru sekai no kattou ni kanjitai yo\You're so beautiful it's depressing\Let's love one another amidst the chaos in this backwards world\This world of ours moves in reverse response:	controlled by forces we can't even touch
context: zetsubouteki ni kimi wa kirei sa\sutareyuku doubutsu mitai ni aishiaou\nakitai kurai kimi wa kirei sa\hanten suru sekai no kattou ni kanjitai yo\You're so beautiful it's depressing\Let's love one another amidst the chaos in this backwards world\This world of ours moves in reverse\controlled by forces we can't even touch response:	There is pain in your eyes so deep I want to cry
context: sutareyuku doubutsu mitai ni aishiaou\nakitai kurai kimi wa kirei sa\hanten suru sekai no kattou ni kanjitai yo\You're so beautiful it's depressing\Let's love one another amidst the chaos in this backwards world\This world of ours moves in reverse\controlled by forces we can't even touch\There is pain in your eyes so deep I want to cry response:	Screaming from my heart
context: nakitai kurai kimi wa kirei sa\hanten suru sekai no kattou ni kanjitai yo\You're so beautiful it's depressing\Let's love one another amidst the chaos in this backwards world\This world of ours moves in reverse\controlled by forces we can't even touch\There is pain in your eyes so deep I want to cry\Screaming from my heart response:	The last couple who desire each other cannot be together
context: hanten suru sekai no kattou ni kanjitai yo\You're so beautiful it's depressing\Let's love one another amidst the chaos in this backwards world\This world of ours moves in reverse\controlled by forces we can't even touch\There is pain in your eyes so deep I want to cry\Screaming from my heart\The last couple who desire each other cannot be together response:	And time is running out
context: You're so beautiful it's depressing\Let's love one another amidst the chaos in this backwards world\This world of ours moves in reverse\controlled by forces we can't even touch\There is pain in your eyes so deep I want to cry\Screaming from my heart\The last couple who desire each other cannot be together\And time is running out response:	You're so beautiful it's depressing
context: Let's love one another amidst the chaos in this backwards world\This world of ours moves in reverse\controlled by forces we can't even touch\There is pain in your eyes so deep I want to cry\Screaming from my heart\The last couple who desire each other cannot be together\And time is running out\You're so beautiful it's depressing response:	Let's love one another like abandoned animals
context: This world of ours moves in reverse\controlled by forces we can't even touch\There is pain in your eyes so deep I want to cry\Screaming from my heart\The last couple who desire each other cannot be together\And time is running out\You're so beautiful it's depressing\Let's love one another like abandoned animals response:	You're so beautiful I want to cry
context: controlled by forces we can't even touch\There is pain in your eyes so deep I want to cry\Screaming from my heart\The last couple who desire each other cannot be together\And time is running out\You're so beautiful it's depressing\Let's love one another like abandoned animals\You're so beautiful I want to cry response:	Let's love one another amidst the chaos in this backwards world
context: There is pain in your eyes so deep I want to cry\Screaming from my heart\The last couple who desire each other cannot be together\And time is running out\You're so beautiful it's depressing\Let's love one another like abandoned animals\You're so beautiful I want to cry\Let's love one another amidst the chaos in this backwards world response:	kimi he tsuzuku sakamichi ni
context: Screaming from my heart\The last couple who desire each other cannot be together\And time is running out\You're so beautiful it's depressing\Let's love one another like abandoned animals\You're so beautiful I want to cry\Let's love one another amidst the chaos in this backwards world\kimi he tsuzuku sakamichi ni response:	shiroi hana ga saiteta
context: The last couple who desire each other cannot be together\And time is running out\You're so beautiful it's depressing\Let's love one another like abandoned animals\You're so beautiful I want to cry\Let's love one another amidst the chaos in this backwards world\kimi he tsuzuku sakamichi ni\shiroi hana ga saiteta response:	yume kara sameta ato mo kanashii sora miteta
context: And time is running out\You're so beautiful it's depressing\Let's love one another like abandoned animals\You're so beautiful I want to cry\Let's love one another amidst the chaos in this backwards world\kimi he tsuzuku sakamichi ni\shiroi hana ga saiteta\yume kara sameta ato mo kanashii sora miteta response:	kono kimochi happa no ue ni susunderu
context: You're so beautiful it's depressing\Let's love one another like abandoned animals\You're so beautiful I want to cry\Let's love one another amidst the chaos in this backwards world\kimi he tsuzuku sakamichi ni\shiroi hana ga saiteta\yume kara sameta ato mo kanashii sora miteta\kono kimochi happa no ue ni susunderu response:	asatsuyu wo ochiru oto ni mimi wo sumaseteru no
context: Let's love one another like abandoned animals\You're so beautiful I want to cry\Let's love one another amidst the chaos in this backwards world\kimi he tsuzuku sakamichi ni\shiroi hana ga saiteta\yume kara sameta ato mo kanashii sora miteta\kono kimochi happa no ue ni susunderu\asatsuyu wo ochiru oto ni mimi wo sumaseteru no response:	kamisama anata ga tsukutta sekai wa kanpeki ja nai
context: You're so beautiful I want to cry\Let's love one another amidst the chaos in this backwards world\kimi he tsuzuku sakamichi ni\shiroi hana ga saiteta\yume kara sameta ato mo kanashii sora miteta\kono kimochi happa no ue ni susunderu\asatsuyu wo ochiru oto ni mimi wo sumaseteru no\kamisama anata ga tsukutta sekai wa kanpeki ja nai response:	koko de wa mainichi koi ga boroboro shindeku
context: Let's love one another amidst the chaos in this backwards world\kimi he tsuzuku sakamichi ni\shiroi hana ga saiteta\yume kara sameta ato mo kanashii sora miteta\kono kimochi happa no ue ni susunderu\asatsuyu wo ochiru oto ni mimi wo sumaseteru no\kamisama anata ga tsukutta sekai wa kanpeki ja nai\koko de wa mainichi koi ga boroboro shindeku response:	hajimete suki ni natta no wo anata wa shiranai deshou
context: kimi he tsuzuku sakamichi ni\shiroi hana ga saiteta\yume kara sameta ato mo kanashii sora miteta\kono kimochi happa no ue ni susunderu\asatsuyu wo ochiru oto ni mimi wo sumaseteru no\kamisama anata ga tsukutta sekai wa kanpeki ja nai\koko de wa mainichi koi ga boroboro shindeku\hajimete suki ni natta no wo anata wa shiranai deshou response:	chikyuu no uragawa de ii kara soba ni ite hoshikatta
context: shiroi hana ga saiteta\yume kara sameta ato mo kanashii sora miteta\kono kimochi happa no ue ni susunderu\asatsuyu wo ochiru oto ni mimi wo sumaseteru no\kamisama anata ga tsukutta sekai wa kanpeki ja nai\koko de wa mainichi koi ga boroboro shindeku\hajimete suki ni natta no wo anata wa shiranai deshou\chikyuu no uragawa de ii kara soba ni ite hoshikatta response:	watashi wo wasuretemo ii kara soba ni ite hoshikatta
context: yume kara sameta ato mo kanashii sora miteta\kono kimochi happa no ue ni susunderu\asatsuyu wo ochiru oto ni mimi wo sumaseteru no\kamisama anata ga tsukutta sekai wa kanpeki ja nai\koko de wa mainichi koi ga boroboro shindeku\hajimete suki ni natta no wo anata wa shiranai deshou\chikyuu no uragawa de ii kara soba ni ite hoshikatta\watashi wo wasuretemo ii kara soba ni ite hoshikatta response:	There were white flowers growing
context: kono kimochi happa no ue ni susunderu\asatsuyu wo ochiru oto ni mimi wo sumaseteru no\kamisama anata ga tsukutta sekai wa kanpeki ja nai\koko de wa mainichi koi ga boroboro shindeku\hajimete suki ni natta no wo anata wa shiranai deshou\chikyuu no uragawa de ii kara soba ni ite hoshikatta\watashi wo wasuretemo ii kara soba ni ite hoshikatta\There were white flowers growing response:	on the road on the hill that leads to you
context: asatsuyu wo ochiru oto ni mimi wo sumaseteru no\kamisama anata ga tsukutta sekai wa kanpeki ja nai\koko de wa mainichi koi ga boroboro shindeku\hajimete suki ni natta no wo anata wa shiranai deshou\chikyuu no uragawa de ii kara soba ni ite hoshikatta\watashi wo wasuretemo ii kara soba ni ite hoshikatta\There were white flowers growing\on the road on the hill that leads to you response:	When I woke from the dream, the sky still looked sad
context: kamisama anata ga tsukutta sekai wa kanpeki ja nai\koko de wa mainichi koi ga boroboro shindeku\hajimete suki ni natta no wo anata wa shiranai deshou\chikyuu no uragawa de ii kara soba ni ite hoshikatta\watashi wo wasuretemo ii kara soba ni ite hoshikatta\There were white flowers growing\on the road on the hill that leads to you\When I woke from the dream, the sky still looked sad response:	My feelings drift on a leaf in the wind
context: koko de wa mainichi koi ga boroboro shindeku\hajimete suki ni natta no wo anata wa shiranai deshou\chikyuu no uragawa de ii kara soba ni ite hoshikatta\watashi wo wasuretemo ii kara soba ni ite hoshikatta\There were white flowers growing\on the road on the hill that leads to you\When I woke from the dream, the sky still looked sad\My feelings drift on a leaf in the wind response:	I'm straining my ears for the sound of the dew falling
context: hajimete suki ni natta no wo anata wa shiranai deshou\chikyuu no uragawa de ii kara soba ni ite hoshikatta\watashi wo wasuretemo ii kara soba ni ite hoshikatta\There were white flowers growing\on the road on the hill that leads to you\When I woke from the dream, the sky still looked sad\My feelings drift on a leaf in the wind\I'm straining my ears for the sound of the dew falling response:	God in Heaven, this world You made is far from perfect
context: chikyuu no uragawa de ii kara soba ni ite hoshikatta\watashi wo wasuretemo ii kara soba ni ite hoshikatta\There were white flowers growing\on the road on the hill that leads to you\When I woke from the dream, the sky still looked sad\My feelings drift on a leaf in the wind\I'm straining my ears for the sound of the dew falling\God in Heaven, this world You made is far from perfect response:	Down here, love is shattered day by day
context: watashi wo wasuretemo ii kara soba ni ite hoshikatta\There were white flowers growing\on the road on the hill that leads to you\When I woke from the dream, the sky still looked sad\My feelings drift on a leaf in the wind\I'm straining my ears for the sound of the dew falling\God in Heaven, this world You made is far from perfect\Down here, love is shattered day by day response:	You don't know what it's like to fall in love for the first time
context: There were white flowers growing\on the road on the hill that leads to you\When I woke from the dream, the sky still looked sad\My feelings drift on a leaf in the wind\I'm straining my ears for the sound of the dew falling\God in Heaven, this world You made is far from perfect\Down here, love is shattered day by day\You don't know what it's like to fall in love for the first time response:	Let it be on the other end of the world, but I wanted to be with him
context: on the road on the hill that leads to you\When I woke from the dream, the sky still looked sad\My feelings drift on a leaf in the wind\I'm straining my ears for the sound of the dew falling\God in Heaven, this world You made is far from perfect\Down here, love is shattered day by day\You don't know what it's like to fall in love for the first time\Let it be on the other end of the world, but I wanted to be with him response:	Even if You were to forget me, I wanted to be with him
context: When I woke from the dream, the sky still looked sad\My feelings drift on a leaf in the wind\I'm straining my ears for the sound of the dew falling\God in Heaven, this world You made is far from perfect\Down here, love is shattered day by day\You don't know what it's like to fall in love for the first time\Let it be on the other end of the world, but I wanted to be with him\Even if You were to forget me, I wanted to be with him response:	kimi he tsuzuku sakamichi ni
context: My feelings drift on a leaf in the wind\I'm straining my ears for the sound of the dew falling\God in Heaven, this world You made is far from perfect\Down here, love is shattered day by day\You don't know what it's like to fall in love for the first time\Let it be on the other end of the world, but I wanted to be with him\Even if You were to forget me, I wanted to be with him\kimi he tsuzuku sakamichi ni response:	shiroi hana ga saiteta
context: I'm straining my ears for the sound of the dew falling\God in Heaven, this world You made is far from perfect\Down here, love is shattered day by day\You don't know what it's like to fall in love for the first time\Let it be on the other end of the world, but I wanted to be with him\Even if You were to forget me, I wanted to be with him\kimi he tsuzuku sakamichi ni\shiroi hana ga saiteta response:	yume kara sameta ato mo kanashii sora miteta
context: God in Heaven, this world You made is far from perfect\Down here, love is shattered day by day\You don't know what it's like to fall in love for the first time\Let it be on the other end of the world, but I wanted to be with him\Even if You were to forget me, I wanted to be with him\kimi he tsuzuku sakamichi ni\shiroi hana ga saiteta\yume kara sameta ato mo kanashii sora miteta response:	kono kimochi happa no ue ni susunderu
context: Down here, love is shattered day by day\You don't know what it's like to fall in love for the first time\Let it be on the other end of the world, but I wanted to be with him\Even if You were to forget me, I wanted to be with him\kimi he tsuzuku sakamichi ni\shiroi hana ga saiteta\yume kara sameta ato mo kanashii sora miteta\kono kimochi happa no ue ni susunderu response:	asatsuyu wo ochiru oto ni mimi wo sumaseteru no
context: You don't know what it's like to fall in love for the first time\Let it be on the other end of the world, but I wanted to be with him\Even if You were to forget me, I wanted to be with him\kimi he tsuzuku sakamichi ni\shiroi hana ga saiteta\yume kara sameta ato mo kanashii sora miteta\kono kimochi happa no ue ni susunderu\asatsuyu wo ochiru oto ni mimi wo sumaseteru no response:	kamisama anata ga tsukutta sekai wa kanpeki ja nai
context: Let it be on the other end of the world, but I wanted to be with him\Even if You were to forget me, I wanted to be with him\kimi he tsuzuku sakamichi ni\shiroi hana ga saiteta\yume kara sameta ato mo kanashii sora miteta\kono kimochi happa no ue ni susunderu\asatsuyu wo ochiru oto ni mimi wo sumaseteru no\kamisama anata ga tsukutta sekai wa kanpeki ja nai response:	koko de wa mainichi koi ga boroboro shindeku
context: Even if You were to forget me, I wanted to be with him\kimi he tsuzuku sakamichi ni\shiroi hana ga saiteta\yume kara sameta ato mo kanashii sora miteta\kono kimochi happa no ue ni susunderu\asatsuyu wo ochiru oto ni mimi wo sumaseteru no\kamisama anata ga tsukutta sekai wa kanpeki ja nai\koko de wa mainichi koi ga boroboro shindeku response:	hajimete suki ni natta no wo anata wa shiranai deshou
context: kimi he tsuzuku sakamichi ni\shiroi hana ga saiteta\yume kara sameta ato mo kanashii sora miteta\kono kimochi happa no ue ni susunderu\asatsuyu wo ochiru oto ni mimi wo sumaseteru no\kamisama anata ga tsukutta sekai wa kanpeki ja nai\koko de wa mainichi koi ga boroboro shindeku\hajimete suki ni natta no wo anata wa shiranai deshou response:	chikyuu no uragawa de ii kara soba ni ite hoshikatta
context: shiroi hana ga saiteta\yume kara sameta ato mo kanashii sora miteta\kono kimochi happa no ue ni susunderu\asatsuyu wo ochiru oto ni mimi wo sumaseteru no\kamisama anata ga tsukutta sekai wa kanpeki ja nai\koko de wa mainichi koi ga boroboro shindeku\hajimete suki ni natta no wo anata wa shiranai deshou\chikyuu no uragawa de ii kara soba ni ite hoshikatta response:	watashi wo wasuretemo ii kara soba ni ite hoshikatta
context: yume kara sameta ato mo kanashii sora miteta\kono kimochi happa no ue ni susunderu\asatsuyu wo ochiru oto ni mimi wo sumaseteru no\kamisama anata ga tsukutta sekai wa kanpeki ja nai\koko de wa mainichi koi ga boroboro shindeku\hajimete suki ni natta no wo anata wa shiranai deshou\chikyuu no uragawa de ii kara soba ni ite hoshikatta\watashi wo wasuretemo ii kara soba ni ite hoshikatta response:	There were white flowers growing
context: kono kimochi happa no ue ni susunderu\asatsuyu wo ochiru oto ni mimi wo sumaseteru no\kamisama anata ga tsukutta sekai wa kanpeki ja nai\koko de wa mainichi koi ga boroboro shindeku\hajimete suki ni natta no wo anata wa shiranai deshou\chikyuu no uragawa de ii kara soba ni ite hoshikatta\watashi wo wasuretemo ii kara soba ni ite hoshikatta\There were white flowers growing response:	on the road on the hill that leads to you
context: asatsuyu wo ochiru oto ni mimi wo sumaseteru no\kamisama anata ga tsukutta sekai wa kanpeki ja nai\koko de wa mainichi koi ga boroboro shindeku\hajimete suki ni natta no wo anata wa shiranai deshou\chikyuu no uragawa de ii kara soba ni ite hoshikatta\watashi wo wasuretemo ii kara soba ni ite hoshikatta\There were white flowers growing\on the road on the hill that leads to you response:	When I woke from the dream, the sky still looked sad
context: kamisama anata ga tsukutta sekai wa kanpeki ja nai\koko de wa mainichi koi ga boroboro shindeku\hajimete suki ni natta no wo anata wa shiranai deshou\chikyuu no uragawa de ii kara soba ni ite hoshikatta\watashi wo wasuretemo ii kara soba ni ite hoshikatta\There were white flowers growing\on the road on the hill that leads to you\When I woke from the dream, the sky still looked sad response:	My feelings drift on a leaf in the wind
context: koko de wa mainichi koi ga boroboro shindeku\hajimete suki ni natta no wo anata wa shiranai deshou\chikyuu no uragawa de ii kara soba ni ite hoshikatta\watashi wo wasuretemo ii kara soba ni ite hoshikatta\There were white flowers growing\on the road on the hill that leads to you\When I woke from the dream, the sky still looked sad\My feelings drift on a leaf in the wind response:	I'm straining my ears for the sound of the dew falling
context: hajimete suki ni natta no wo anata wa shiranai deshou\chikyuu no uragawa de ii kara soba ni ite hoshikatta\watashi wo wasuretemo ii kara soba ni ite hoshikatta\There were white flowers growing\on the road on the hill that leads to you\When I woke from the dream, the sky still looked sad\My feelings drift on a leaf in the wind\I'm straining my ears for the sound of the dew falling response:	God in Heaven, this world You made is far from perfect
context: chikyuu no uragawa de ii kara soba ni ite hoshikatta\watashi wo wasuretemo ii kara soba ni ite hoshikatta\There were white flowers growing\on the road on the hill that leads to you\When I woke from the dream, the sky still looked sad\My feelings drift on a leaf in the wind\I'm straining my ears for the sound of the dew falling\God in Heaven, this world You made is far from perfect response:	Down here, love is shattered day by day
context: watashi wo wasuretemo ii kara soba ni ite hoshikatta\There were white flowers growing\on the road on the hill that leads to you\When I woke from the dream, the sky still looked sad\My feelings drift on a leaf in the wind\I'm straining my ears for the sound of the dew falling\God in Heaven, this world You made is far from perfect\Down here, love is shattered day by day response:	You don't know what it's like to fall in love for the first time
context: There were white flowers growing\on the road on the hill that leads to you\When I woke from the dream, the sky still looked sad\My feelings drift on a leaf in the wind\I'm straining my ears for the sound of the dew falling\God in Heaven, this world You made is far from perfect\Down here, love is shattered day by day\You don't know what it's like to fall in love for the first time response:	Let it be on the other end of the world, but I wanted to be with him
context: on the road on the hill that leads to you\When I woke from the dream, the sky still looked sad\My feelings drift on a leaf in the wind\I'm straining my ears for the sound of the dew falling\God in Heaven, this world You made is far from perfect\Down here, love is shattered day by day\You don't know what it's like to fall in love for the first time\Let it be on the other end of the world, but I wanted to be with him response:	Even if You were to forget me, I wanted to be with him
