context: ED response:	Niizuma
context: 1 million yen\Niizuma Eiji (15) Aomori\Niizuma Eiji (15) Aomori\When we picked up Jack in a convenience store during our third year of middle school,\we saw the runner-up for the Tezuka Prize, a 15-year-old named Niizuma Eiji.\When I saw that, I knew there was an amazing guy in my generation.\Niizuma Eiji 15 Aomori\Niizuma Eiji 15 Aomori response:	If I was going to aim for the top in Jack, this guy would be my rival.
context: Niizuma Eiji (15) Aomori\Niizuma Eiji (15) Aomori\When we picked up Jack in a convenience store during our third year of middle school,\we saw the runner-up for the Tezuka Prize, a 15-year-old named Niizuma Eiji.\When I saw that, I knew there was an amazing guy in my generation.\Niizuma Eiji 15 Aomori\Niizuma Eiji 15 Aomori\If I was going to aim for the top in Jack, this guy would be my rival. response:	Niizuma Eiji 15 Aomori
context: Niizuma Eiji (15) Aomori\When we picked up Jack in a convenience store during our third year of middle school,\we saw the runner-up for the Tezuka Prize, a 15-year-old named Niizuma Eiji.\When I saw that, I knew there was an amazing guy in my generation.\Niizuma Eiji 15 Aomori\Niizuma Eiji 15 Aomori\If I was going to aim for the top in Jack, this guy would be my rival.\Niizuma Eiji 15 Aomori response:	Niizuma Eiji 15 Aomori
context: When we picked up Jack in a convenience store during our third year of middle school,\we saw the runner-up for the Tezuka Prize, a 15-year-old named Niizuma Eiji.\When I saw that, I knew there was an amazing guy in my generation.\Niizuma Eiji 15 Aomori\Niizuma Eiji 15 Aomori\If I was going to aim for the top in Jack, this guy would be my rival.\Niizuma Eiji 15 Aomori\Niizuma Eiji 15 Aomori response:	I arbitrarily decided I had to beat him.
context: we saw the runner-up for the Tezuka Prize, a 15-year-old named Niizuma Eiji.\When I saw that, I knew there was an amazing guy in my generation.\Niizuma Eiji 15 Aomori\Niizuma Eiji 15 Aomori\If I was going to aim for the top in Jack, this guy would be my rival.\Niizuma Eiji 15 Aomori\Niizuma Eiji 15 Aomori\I arbitrarily decided I had to beat him. response:	And ever since then, we've been chasing Eiji.
context: When I saw that, I knew there was an amazing guy in my generation.\Niizuma Eiji 15 Aomori\Niizuma Eiji 15 Aomori\If I was going to aim for the top in Jack, this guy would be my rival.\Niizuma Eiji 15 Aomori\Niizuma Eiji 15 Aomori\I arbitrarily decided I had to beat him.\And ever since then, we've been chasing Eiji. response:	It's not like Niizuma is quitting manga, you know.
context: Niizuma Eiji 15 Aomori\Niizuma Eiji 15 Aomori\If I was going to aim for the top in Jack, this guy would be my rival.\Niizuma Eiji 15 Aomori\Niizuma Eiji 15 Aomori\I arbitrarily decided I had to beat him.\And ever since then, we've been chasing Eiji.\It's not like Niizuma is quitting manga, you know. response:	I know, but...
context: Niizuma Eiji 15 Aomori\If I was going to aim for the top in Jack, this guy would be my rival.\Niizuma Eiji 15 Aomori\Niizuma Eiji 15 Aomori\I arbitrarily decided I had to beat him.\And ever since then, we've been chasing Eiji.\It's not like Niizuma is quitting manga, you know.\I know, but... response:	It feels like a total loss.
context: If I was going to aim for the top in Jack, this guy would be my rival.\Niizuma Eiji 15 Aomori\Niizuma Eiji 15 Aomori\I arbitrarily decided I had to beat him.\And ever since then, we've been chasing Eiji.\It's not like Niizuma is quitting manga, you know.\I know, but...\It feels like a total loss. response:	Continue with your series and wait for us. We'll catch up to you.
context: Niizuma Eiji 15 Aomori\Niizuma Eiji 15 Aomori\I arbitrarily decided I had to beat him.\And ever since then, we've been chasing Eiji.\It's not like Niizuma is quitting manga, you know.\I know, but...\It feels like a total loss.\Continue with your series and wait for us. We'll catch up to you. response:	I said that to him the day we met.
context: Niizuma Eiji 15 Aomori\I arbitrarily decided I had to beat him.\And ever since then, we've been chasing Eiji.\It's not like Niizuma is quitting manga, you know.\I know, but...\It feels like a total loss.\Continue with your series and wait for us. We'll catch up to you.\I said that to him the day we met. response:	And he did continue and waited for us.
context: I arbitrarily decided I had to beat him.\And ever since then, we've been chasing Eiji.\It's not like Niizuma is quitting manga, you know.\I know, but...\It feels like a total loss.\Continue with your series and wait for us. We'll catch up to you.\I said that to him the day we met.\And he did continue and waited for us. response:	Even though we have a series of our own now, we still couldn't catch up to him.
context: And ever since then, we've been chasing Eiji.\It's not like Niizuma is quitting manga, you know.\I know, but...\It feels like a total loss.\Continue with your series and wait for us. We'll catch up to you.\I said that to him the day we met.\And he did continue and waited for us.\Even though we have a series of our own now, we still couldn't catch up to him. response:	CROW will end without us ever catching up to him.
context: It's not like Niizuma is quitting manga, you know.\I know, but...\It feels like a total loss.\Continue with your series and wait for us. We'll catch up to you.\I said that to him the day we met.\And he did continue and waited for us.\Even though we have a series of our own now, we still couldn't catch up to him.\CROW will end without us ever catching up to him. response:	Not an ending by cancellationa perfect ending.
context: I know, but...\It feels like a total loss.\Continue with your series and wait for us. We'll catch up to you.\I said that to him the day we met.\And he did continue and waited for us.\Even though we have a series of our own now, we still couldn't catch up to him.\CROW will end without us ever catching up to him.\Not an ending by cancellationa perfect ending. response:	I think you at least got to the point where you could say We caught up to him.
context: It feels like a total loss.\Continue with your series and wait for us. We'll catch up to you.\I said that to him the day we met.\And he did continue and waited for us.\Even though we have a series of our own now, we still couldn't catch up to him.\CROW will end without us ever catching up to him.\Not an ending by cancellationa perfect ending.\I think you at least got to the point where you could say We caught up to him. response:	No.
context: Continue with your series and wait for us. We'll catch up to you.\I said that to him the day we met.\And he did continue and waited for us.\Even though we have a series of our own now, we still couldn't catch up to him.\CROW will end without us ever catching up to him.\Not an ending by cancellationa perfect ending.\I think you at least got to the point where you could say We caught up to him.\No. response:	Setting NATURAL aside, we never caught up to CROW.
context: I said that to him the day we met.\And he did continue and waited for us.\Even though we have a series of our own now, we still couldn't catch up to him.\CROW will end without us ever catching up to him.\Not an ending by cancellationa perfect ending.\I think you at least got to the point where you could say We caught up to him.\No.\Setting NATURAL aside, we never caught up to CROW. response:	We only passed it on our first chapter.
context: And he did continue and waited for us.\Even though we have a series of our own now, we still couldn't catch up to him.\CROW will end without us ever catching up to him.\Not an ending by cancellationa perfect ending.\I think you at least got to the point where you could say We caught up to him.\No.\Setting NATURAL aside, we never caught up to CROW.\We only passed it on our first chapter. response:	In the end, Eiji is best when he works alone.
context: Even though we have a series of our own now, we still couldn't catch up to him.\CROW will end without us ever catching up to him.\Not an ending by cancellationa perfect ending.\I think you at least got to the point where you could say We caught up to him.\No.\Setting NATURAL aside, we never caught up to CROW.\We only passed it on our first chapter.\In the end, Eiji is best when he works alone. response:	Against that single person, even two people combined couldn't measure up.
context: CROW will end without us ever catching up to him.\Not an ending by cancellationa perfect ending.\I think you at least got to the point where you could say We caught up to him.\No.\Setting NATURAL aside, we never caught up to CROW.\We only passed it on our first chapter.\In the end, Eiji is best when he works alone.\Against that single person, even two people combined couldn't measure up. response:	Forget about not measuring up.
context: Not an ending by cancellationa perfect ending.\I think you at least got to the point where you could say We caught up to him.\No.\Setting NATURAL aside, we never caught up to CROW.\We only passed it on our first chapter.\In the end, Eiji is best when he works alone.\Against that single person, even two people combined couldn't measure up.\Forget about not measuring up. response:	If it wasn't for Eiji, we wouldn't have come this far as manga authors.
context: I think you at least got to the point where you could say We caught up to him.\No.\Setting NATURAL aside, we never caught up to CROW.\We only passed it on our first chapter.\In the end, Eiji is best when he works alone.\Against that single person, even two people combined couldn't measure up.\Forget about not measuring up.\If it wasn't for Eiji, we wouldn't have come this far as manga authors. response:	It's not just Eiji.
context: No.\Setting NATURAL aside, we never caught up to CROW.\We only passed it on our first chapter.\In the end, Eiji is best when he works alone.\Against that single person, even two people combined couldn't measure up.\Forget about not measuring up.\If it wasn't for Eiji, we wouldn't have come this far as manga authors.\It's not just Eiji. response:	Because we competed with Fukuda, Takahama and others from our generation,
context: Setting NATURAL aside, we never caught up to CROW.\We only passed it on our first chapter.\In the end, Eiji is best when he works alone.\Against that single person, even two people combined couldn't measure up.\Forget about not measuring up.\If it wasn't for Eiji, we wouldn't have come this far as manga authors.\It's not just Eiji.\Because we competed with Fukuda, Takahama and others from our generation, response:	we were able to get to this point.
context: We only passed it on our first chapter.\In the end, Eiji is best when he works alone.\Against that single person, even two people combined couldn't measure up.\Forget about not measuring up.\If it wasn't for Eiji, we wouldn't have come this far as manga authors.\It's not just Eiji.\Because we competed with Fukuda, Takahama and others from our generation,\we were able to get to this point. response:	Niizuma's still only 23.
context: In the end, Eiji is best when he works alone.\Against that single person, even two people combined couldn't measure up.\Forget about not measuring up.\If it wasn't for Eiji, we wouldn't have come this far as manga authors.\It's not just Eiji.\Because we competed with Fukuda, Takahama and others from our generation,\we were able to get to this point.\Niizuma's still only 23. response:	If you think about that, it's really amazing.
context: Against that single person, even two people combined couldn't measure up.\Forget about not measuring up.\If it wasn't for Eiji, we wouldn't have come this far as manga authors.\It's not just Eiji.\Because we competed with Fukuda, Takahama and others from our generation,\we were able to get to this point.\Niizuma's still only 23.\If you think about that, it's really amazing. response:	To have a series run for seven years, and have it end as no. 1.
context: Forget about not measuring up.\If it wasn't for Eiji, we wouldn't have come this far as manga authors.\It's not just Eiji.\Because we competed with Fukuda, Takahama and others from our generation,\we were able to get to this point.\Niizuma's still only 23.\If you think about that, it's really amazing.\To have a series run for seven years, and have it end as no. 1. response:	I'd like to try ending a series like that.
context: If it wasn't for Eiji, we wouldn't have come this far as manga authors.\It's not just Eiji.\Because we competed with Fukuda, Takahama and others from our generation,\we were able to get to this point.\Niizuma's still only 23.\If you think about that, it's really amazing.\To have a series run for seven years, and have it end as no. 1.\I'd like to try ending a series like that. response:	It's admirable.
context: It's not just Eiji.\Because we competed with Fukuda, Takahama and others from our generation,\we were able to get to this point.\Niizuma's still only 23.\If you think about that, it's really amazing.\To have a series run for seven years, and have it end as no. 1.\I'd like to try ending a series like that.\It's admirable. response:	For sure.
context: Because we competed with Fukuda, Takahama and others from our generation,\we were able to get to this point.\Niizuma's still only 23.\If you think about that, it's really amazing.\To have a series run for seven years, and have it end as no. 1.\I'd like to try ending a series like that.\It's admirable.\For sure. response:	To keep up a streak of first place rankings, then end it with a front cover color spread.
context: we were able to get to this point.\Niizuma's still only 23.\If you think about that, it's really amazing.\To have a series run for seven years, and have it end as no. 1.\I'd like to try ending a series like that.\It's admirable.\For sure.\To keep up a streak of first place rankings, then end it with a front cover color spread. response:	I wanna try that.
context: Niizuma's still only 23.\If you think about that, it's really amazing.\To have a series run for seven years, and have it end as no. 1.\I'd like to try ending a series like that.\It's admirable.\For sure.\To keep up a streak of first place rankings, then end it with a front cover color spread.\I wanna try that. response:	It makes me want to congratulate him.
context: If you think about that, it's really amazing.\To have a series run for seven years, and have it end as no. 1.\I'd like to try ending a series like that.\It's admirable.\For sure.\To keep up a streak of first place rankings, then end it with a front cover color spread.\I wanna try that.\It makes me want to congratulate him. response:	As a manga author.
context: To have a series run for seven years, and have it end as no. 1.\I'd like to try ending a series like that.\It's admirable.\For sure.\To keep up a streak of first place rankings, then end it with a front cover color spread.\I wanna try that.\It makes me want to congratulate him.\As a manga author. response:	As a rival.
context: I'd like to try ending a series like that.\It's admirable.\For sure.\To keep up a streak of first place rankings, then end it with a front cover color spread.\I wanna try that.\It makes me want to congratulate him.\As a manga author.\As a rival. response:	As a friend.
context: It's admirable.\For sure.\To keep up a streak of first place rankings, then end it with a front cover color spread.\I wanna try that.\It makes me want to congratulate him.\As a manga author.\As a rival.\As a friend. response:	Yeah.
context: For sure.\To keep up a streak of first place rankings, then end it with a front cover color spread.\I wanna try that.\It makes me want to congratulate him.\As a manga author.\As a rival.\As a friend.\Yeah. response:	August 19, Friday
context: To keep up a streak of first place rankings, then end it with a front cover color spread.\I wanna try that.\It makes me want to congratulate him.\As a manga author.\As a rival.\As a friend.\Yeah.\August 19, Friday response:	August 19, Friday
context: I wanna try that.\It makes me want to congratulate him.\As a manga author.\As a rival.\As a friend.\Yeah.\August 19, Friday\August 19, Friday response:	That was the best ending ever!
context: It makes me want to congratulate him.\As a manga author.\As a rival.\As a friend.\Yeah.\August 19, Friday\August 19, Friday\That was the best ending ever! response:	Thanks.
context: As a manga author.\As a rival.\As a friend.\Yeah.\August 19, Friday\August 19, Friday\That was the best ending ever!\Thanks. response:	Though my feelings are probably beside the point, now that you've finally been able to end it.
context: As a rival.\As a friend.\Yeah.\August 19, Friday\August 19, Friday\That was the best ending ever!\Thanks.\Though my feelings are probably beside the point, now that you've finally been able to end it. response:	Niizuma-sensei...
context: As a friend.\Yeah.\August 19, Friday\August 19, Friday\That was the best ending ever!\Thanks.\Though my feelings are probably beside the point, now that you've finally been able to end it.\Niizuma-sensei... response:	Huh? Sensei?
context: Yeah.\August 19, Friday\August 19, Friday\That was the best ending ever!\Thanks.\Though my feelings are probably beside the point, now that you've finally been able to end it.\Niizuma-sensei...\Huh? Sensei? response:	I am proud to have edited CROW all the way until the end.
context: August 19, Friday\August 19, Friday\That was the best ending ever!\Thanks.\Though my feelings are probably beside the point, now that you've finally been able to end it.\Niizuma-sensei...\Huh? Sensei?\I am proud to have edited CROW all the way until the end. response:	Color Pages at page 31!
context: August 19, Friday\That was the best ending ever!\Thanks.\Though my feelings are probably beside the point, now that you've finally been able to end it.\Niizuma-sensei...\Huh? Sensei?\I am proud to have edited CROW all the way until the end.\Color Pages at page 31! response:	Color Pages at page 31!
context: That was the best ending ever!\Thanks.\Though my feelings are probably beside the point, now that you've finally been able to end it.\Niizuma-sensei...\Huh? Sensei?\I am proud to have edited CROW all the way until the end.\Color Pages at page 31!\Color Pages at page 31! response:	Color Pages at page 31!
context: Thanks.\Though my feelings are probably beside the point, now that you've finally been able to end it.\Niizuma-sensei...\Huh? Sensei?\I am proud to have edited CROW all the way until the end.\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31! response:	Ending
context: Though my feelings are probably beside the point, now that you've finally been able to end it.\Niizuma-sensei...\Huh? Sensei?\I am proud to have edited CROW all the way until the end.\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending response:	Ending
context: Niizuma-sensei...\Huh? Sensei?\I am proud to have edited CROW all the way until the end.\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending response:	Ending
context: Huh? Sensei?\I am proud to have edited CROW all the way until the end.\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending response:	Niizuma Eiji
context: I am proud to have edited CROW all the way until the end.\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji response:	Niizuma Eiji
context: Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji response:	Color Pages at page 31!
context: Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31! response:	Color Pages at page 31!
context: Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31! response:	Color Pages at page 31!
context: Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31! response:	Ending
context: Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending response:	Ending
context: Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending response:	Ending
context: Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending response:	Niizuma Eiji
context: Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji response:	Niizuma Eiji
context: Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji response:	Color Pages at page 31!
context: Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31! response:	Color Pages at page 31!
context: Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31! response:	Color Pages at page 31!
context: Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31! response:	Ending
context: Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending response:	Ending
context: Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending response:	Ending
context: Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending response:	Niizuma Eiji
context: Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji response:	Niizuma Eiji
context: Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji response:	Color Pages at page 31!
context: Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31! response:	Color Pages at page 31!
context: Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31! response:	Color Pages at page 31!
context: Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31! response:	Ending
context: Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending response:	Ending
context: Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending response:	Ending
context: Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending response:	Niizuma Eiji
context: Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji response:	Niizuma Eiji
context: Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji response:	Color Pages at page 31!
context: Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31! response:	Color Pages at page 31!
context: Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31! response:	Color Pages at page 31!
context: Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31! response:	Ending
context: Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending response:	Ending
context: Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending response:	Ending
context: Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending response:	Niizuma Eiji
context: Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji response:	Niizuma Eiji
context: Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji response:	Color Pages at page 31!
context: Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31! response:	Color Pages at page 31!
context: Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31! response:	Color Pages at page 31!
context: Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31! response:	Ending
context: Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending response:	Ending
context: Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending response:	Ending
context: Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending response:	Niizuma Eiji
context: Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji response:	Niizuma Eiji
context: Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji response:	Color Pages at page 31!
context: Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31! response:	Color Pages at page 31!
context: Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31! response:	Color Pages at page 31!
context: Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31! response:	Ending
context: Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending response:	Ending
context: Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending response:	Ending
context: Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending response:	Niizuma Eiji
context: Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji response:	Niizuma Eiji
context: Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji response:	Color Pages at page 31!
context: Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31! response:	Color Pages at page 31!
context: Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31! response:	Color Pages at page 31!
context: Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31! response:	Ending
context: Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending response:	Ending
context: Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending response:	Ending
context: Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending response:	Niizuma Eiji
context: Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji response:	Niizuma Eiji
context: Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji response:	Color Pages at page 31!
context: Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31! response:	Color Pages at page 31!
context: Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31! response:	Color Pages at page 31!
context: Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31! response:	Ending
context: Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending response:	Ending
context: Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending response:	Ending
context: Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending response:	Niizuma Eiji
context: Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji response:	Niizuma Eiji
context: Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji response:	Color Pages at page 31!
context: Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31! response:	Color Pages at page 31!
context: Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31! response:	Color Pages at page 31!
context: Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31! response:	Ending
context: Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending response:	Ending
context: Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending response:	Ending
context: Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending response:	Niizuma Eiji
context: Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji response:	Niizuma Eiji
context: Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji response:	Color Pages at page 31!
context: Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31! response:	Color Pages at page 31!
context: Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31! response:	Color Pages at page 31!
context: Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31! response:	Ending
context: Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending response:	Ending
context: Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending response:	Ending
context: Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending response:	Niizuma Eiji
context: Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji response:	Niizuma Eiji
context: Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji response:	Color Pages at page 31!
context: Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31! response:	Color Pages at page 31!
context: Color Pages at page 31!\Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31! response:	Color Pages at page 31!
context: Ending\Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31! response:	Ending
context: Ending\Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending response:	Ending
context: Ending\Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending response:	Ending
context: Niizuma Eiji\Niizuma Eiji\Color Pages at page 31!\Color Pages at page 31!\Color Pages at page 31!\Ending\Ending\Ending response:	Niizuma Eiji
