context: This is the International Rescue Fleet of the Norma Administration Board. response:	Normas, thank you for your good work fighting the DRAGONs.
context: I know, I'll reinstate you into the royal family.\Angelise!\Come on, that's not a bad offer, is it?\Please, don't kill me!\You worthless scum.\Go to hell!\You're\Embryo-sama! response:	Get her! Kill Angelise!
context: Angelise!\Come on, that's not a bad offer, is it?\Please, don't kill me!\You worthless scum.\Go to hell!\You're\Embryo-sama!\Get her! Kill Angelise! response:	Do it now!
context: Come on, that's not a bad offer, is it?\Please, don't kill me!\You worthless scum.\Go to hell!\You're\Embryo-sama!\Get her! Kill Angelise!\Do it now! response:	Embryo?
context: Please, don't kill me!\You worthless scum.\Go to hell!\You're\Embryo-sama!\Get her! Kill Angelise!\Do it now!\Embryo? response:	Ange, you are beautiful.
context: You worthless scum.\Go to hell!\You're\Embryo-sama!\Get her! Kill Angelise!\Do it now!\Embryo?\Ange, you are beautiful. response:	Your anger is pure and white.
context: Go to hell!\You're\Embryo-sama!\Get her! Kill Angelise!\Do it now!\Embryo?\Ange, you are beautiful.\Your anger is pure and white. response:	It rages, its heat unsurpassed.
context: You're\Embryo-sama!\Get her! Kill Angelise!\Do it now!\Embryo?\Ange, you are beautiful.\Your anger is pure and white.\It rages, its heat unsurpassed. response:	You are like a burning flame, rising up against injustice and absurdity.
context: Embryo-sama!\Get her! Kill Angelise!\Do it now!\Embryo?\Ange, you are beautiful.\Your anger is pure and white.\It rages, its heat unsurpassed.\You are like a burning flame, rising up against injustice and absurdity. response:	A noble, beautiful flame...
context: Get her! Kill Angelise!\Do it now!\Embryo?\Ange, you are beautiful.\Your anger is pure and white.\It rages, its heat unsurpassed.\You are like a burning flame, rising up against injustice and absurdity.\A noble, beautiful flame... response:	I cannot let such a flame be tarnished
context: Do it now!\Embryo?\Ange, you are beautiful.\Your anger is pure and white.\It rages, its heat unsurpassed.\You are like a burning flame, rising up against injustice and absurdity.\A noble, beautiful flame...\I cannot let such a flame be tarnished response:	by burning up things of no value.
context: Embryo?\Ange, you are beautiful.\Your anger is pure and white.\It rages, its heat unsurpassed.\You are like a burning flame, rising up against injustice and absurdity.\A noble, beautiful flame...\I cannot let such a flame be tarnished\by burning up things of no value. response:	So I will do it instead.
context: Ange, you are beautiful.\Your anger is pure and white.\It rages, its heat unsurpassed.\You are like a burning flame, rising up against injustice and absurdity.\A noble, beautiful flame...\I cannot let such a flame be tarnished\by burning up things of no value.\So I will do it instead. response:	I will carry the burden of your sin.
context: Your anger is pure and white.\It rages, its heat unsurpassed.\You are like a burning flame, rising up against injustice and absurdity.\A noble, beautiful flame...\I cannot let such a flame be tarnished\by burning up things of no value.\So I will do it instead.\I will carry the burden of your sin. response:	The flames of countless lives,
context: It rages, its heat unsurpassed.\You are like a burning flame, rising up against injustice and absurdity.\A noble, beautiful flame...\I cannot let such a flame be tarnished\by burning up things of no value.\So I will do it instead.\I will carry the burden of your sin.\The flames of countless lives, response:	Fall through and become stars
context: You are like a burning flame, rising up against injustice and absurdity.\A noble, beautiful flame...\I cannot let such a flame be tarnished\by burning up things of no value.\So I will do it instead.\I will carry the burden of your sin.\The flames of countless lives,\Fall through and become stars response:	That's...
context: A noble, beautiful flame...\I cannot let such a flame be tarnished\by burning up things of no value.\So I will do it instead.\I will carry the burden of your sin.\The flames of countless lives,\Fall through and become stars\That's... response:	I know this song.
context: I cannot let such a flame be tarnished\by burning up things of no value.\So I will do it instead.\I will carry the burden of your sin.\The flames of countless lives,\Fall through and become stars\That's...\I know this song. response:	They fly beautifully,
context: by burning up things of no value.\So I will do it instead.\I will carry the burden of your sin.\The flames of countless lives,\Fall through and become stars\That's...\I know this song.\They fly beautifully, response:	Me, too.
context: So I will do it instead.\I will carry the burden of your sin.\The flames of countless lives,\Fall through and become stars\That's...\I know this song.\They fly beautifully,\Me, too. response:	It can't be.
context: I will carry the burden of your sin.\The flames of countless lives,\Fall through and become stars\That's...\I know this song.\They fly beautifully,\Me, too.\It can't be. response:	And fade away in the cradle of life and death
context: The flames of countless lives,\Fall through and become stars\That's...\I know this song.\They fly beautifully,\Me, too.\It can't be.\And fade away in the cradle of life and death response:	Embryo.
context: Fall through and become stars\That's...\I know this song.\They fly beautifully,\Me, too.\It can't be.\And fade away in the cradle of life and death\Embryo. response:	The same weapons as the Villkiss...
context: That's...\I know this song.\They fly beautifully,\Me, too.\It can't be.\And fade away in the cradle of life and death\Embryo.\The same weapons as the Villkiss... response:	Begin irrigation.
context: I know this song.\They fly beautifully,\Me, too.\It can't be.\And fade away in the cradle of life and death\Embryo.\The same weapons as the Villkiss...\Begin irrigation. response:	Beginning irrigation.
context: They fly beautifully,\Me, too.\It can't be.\And fade away in the cradle of life and death\Embryo.\The same weapons as the Villkiss...\Begin irrigation.\Beginning irrigation. response:	No life signs within Arzenal.
context: Me, too.\It can't be.\And fade away in the cradle of life and death\Embryo.\The same weapons as the Villkiss...\Begin irrigation.\Beginning irrigation.\No life signs within Arzenal. response:	All survivors have been relocated.
context: It can't be.\And fade away in the cradle of life and death\Embryo.\The same weapons as the Villkiss...\Begin irrigation.\Beginning irrigation.\No life signs within Arzenal.\All survivors have been relocated. response:	Main engine critical in ten seconds.
context: And fade away in the cradle of life and death\Embryo.\The same weapons as the Villkiss...\Begin irrigation.\Beginning irrigation.\No life signs within Arzenal.\All survivors have been relocated.\Main engine critical in ten seconds. response:	Water levels up 80.
context: Embryo.\The same weapons as the Villkiss...\Begin irrigation.\Beginning irrigation.\No life signs within Arzenal.\All survivors have been relocated.\Main engine critical in ten seconds.\Water levels up 80. response:	All floodgates closed.
context: The same weapons as the Villkiss...\Begin irrigation.\Beginning irrigation.\No life signs within Arzenal.\All survivors have been relocated.\Main engine critical in ten seconds.\Water levels up 80.\All floodgates closed. response:	Transmit our encrypted rendezvous coordinates to the Para-mails in combat.
context: Begin irrigation.\Beginning irrigation.\No life signs within Arzenal.\All survivors have been relocated.\Main engine critical in ten seconds.\Water levels up 80.\All floodgates closed.\Transmit our encrypted rendezvous coordinates to the Para-mails in combat. response:	Roger.
context: Beginning irrigation.\No life signs within Arzenal.\All survivors have been relocated.\Main engine critical in ten seconds.\Water levels up 80.\All floodgates closed.\Transmit our encrypted rendezvous coordinates to the Para-mails in combat.\Roger. response:	Full gauge.
context: No life signs within Arzenal.\All survivors have been relocated.\Main engine critical in ten seconds.\Water levels up 80.\All floodgates closed.\Transmit our encrypted rendezvous coordinates to the Para-mails in combat.\Roger.\Full gauge. response:	Release the restraint arm.
context: All survivors have been relocated.\Main engine critical in ten seconds.\Water levels up 80.\All floodgates closed.\Transmit our encrypted rendezvous coordinates to the Para-mails in combat.\Roger.\Full gauge.\Release the restraint arm. response:	Open the gates.
context: Main engine critical in ten seconds.\Water levels up 80.\All floodgates closed.\Transmit our encrypted rendezvous coordinates to the Para-mails in combat.\Roger.\Full gauge.\Release the restraint arm.\Open the gates. response:	Ease ahead.
context: Water levels up 80.\All floodgates closed.\Transmit our encrypted rendezvous coordinates to the Para-mails in combat.\Roger.\Full gauge.\Release the restraint arm.\Open the gates.\Ease ahead. response:	Aurora, take off!
context: All floodgates closed.\Transmit our encrypted rendezvous coordinates to the Para-mails in combat.\Roger.\Full gauge.\Release the restraint arm.\Open the gates.\Ease ahead.\Aurora, take off! response:	What?
context: Transmit our encrypted rendezvous coordinates to the Para-mails in combat.\Roger.\Full gauge.\Release the restraint arm.\Open the gates.\Ease ahead.\Aurora, take off!\What? response:	What are you?
context: Roger.\Full gauge.\Release the restraint arm.\Open the gates.\Ease ahead.\Aurora, take off!\What?\What are you? response:	Ange, that man is dangerous!
context: Full gauge.\Release the restraint arm.\Open the gates.\Ease ahead.\Aurora, take off!\What?\What are you?\Ange, that man is dangerous! response:	Tusk!
context: Release the restraint arm.\Open the gates.\Ease ahead.\Aurora, take off!\What?\What are you?\Ange, that man is dangerous!\Tusk! response:	Get away!
context: Open the gates.\Ease ahead.\Aurora, take off!\What?\What are you?\Ange, that man is dangerous!\Tusk!\Get away! response:	Now!
context: Ease ahead.\Aurora, take off!\What?\What are you?\Ange, that man is dangerous!\Tusk!\Get away!\Now! response:	What a turn-off...
context: Aurora, take off!\What?\What are you?\Ange, that man is dangerous!\Tusk!\Get away!\Now!\What a turn-off... response:	Sing, sing, the two wishes are now
context: What?\What are you?\Ange, that man is dangerous!\Tusk!\Get away!\Now!\What a turn-off...\Sing, sing, the two wishes are now response:	No!
context: What are you?\Ange, that man is dangerous!\Tusk!\Get away!\Now!\What a turn-off...\Sing, sing, the two wishes are now\No! response:	Strongly, strongly shining in heavenly gold
context: Ange, that man is dangerous!\Tusk!\Get away!\Now!\What a turn-off...\Sing, sing, the two wishes are now\No!\Strongly, strongly shining in heavenly gold response:	Tusk!
context: Tusk!\Get away!\Now!\What a turn-off...\Sing, sing, the two wishes are now\No!\Strongly, strongly shining in heavenly gold\Tusk! response:	Ange!
context: Get away!\Now!\What a turn-off...\Sing, sing, the two wishes are now\No!\Strongly, strongly shining in heavenly gold\Tusk!\Ange! response:	No!
context: Now!\What a turn-off...\Sing, sing, the two wishes are now\No!\Strongly, strongly shining in heavenly gold\Tusk!\Ange!\No! response:	It speaks of eternity
context: What a turn-off...\Sing, sing, the two wishes are now\No!\Strongly, strongly shining in heavenly gold\Tusk!\Ange!\No!\It speaks of eternity response:	What a boring plot.
context: Sing, sing, the two wishes are now\No!\Strongly, strongly shining in heavenly gold\Tusk!\Ange!\No!\It speaks of eternity\What a boring plot. response:	But not bad...
context: No!\Strongly, strongly shining in heavenly gold\Tusk!\Ange!\No!\It speaks of eternity\What a boring plot.\But not bad... response:	Preview
context: Strongly, strongly shining in heavenly gold\Tusk!\Ange!\No!\It speaks of eternity\What a boring plot.\But not bad...\Preview response:	Where have we ended up?
context: Tusk!\Ange!\No!\It speaks of eternity\What a boring plot.\But not bad...\Preview\Where have we ended up? response:	I don't know, but it looks like w-we're alone.
context: Ange!\No!\It speaks of eternity\What a boring plot.\But not bad...\Preview\Where have we ended up?\I don't know, but it looks like w-we're alone. response:	Stranded on a deserted island again?
context: No!\It speaks of eternity\What a boring plot.\But not bad...\Preview\Where have we ended up?\I don't know, but it looks like w-we're alone.\Stranded on a deserted island again? response:	If you do things, or touch me funny,
context: It speaks of eternity\What a boring plot.\But not bad...\Preview\Where have we ended up?\I don't know, but it looks like w-we're alone.\Stranded on a deserted island again?\If you do things, or touch me funny, response:	or suck on me again, I'll kill you.
context: What a boring plot.\But not bad...\Preview\Where have we ended up?\I don't know, but it looks like w-we're alone.\Stranded on a deserted island again?\If you do things, or touch me funny,\or suck on me again, I'll kill you. response:	Ange and Tusk
context: But not bad...\Preview\Where have we ended up?\I don't know, but it looks like w-we're alone.\Stranded on a deserted island again?\If you do things, or touch me funny,\or suck on me again, I'll kill you.\Ange and Tusk response:	So... pinching?
context: Preview\Where have we ended up?\I don't know, but it looks like w-we're alone.\Stranded on a deserted island again?\If you do things, or touch me funny,\or suck on me again, I'll kill you.\Ange and Tusk\So... pinching? response:	Die!
