context: It's finally here. response:	The Okinawa training camp.
context: Okay!\Okay. I've set it.\Let the watermelon splitting commence!\All right! Bring on the directions!\Given that you're standing on the start point and you're facing the imaginary axis,\the watermelon is at 2+3i.\Huh? What's that mean?\Kosuke-kun, she's talking about a complex plane. response:	Forward 3i.
context: Okay. I've set it.\Let the watermelon splitting commence!\All right! Bring on the directions!\Given that you're standing on the start point and you're facing the imaginary axis,\the watermelon is at 2+3i.\Huh? What's that mean?\Kosuke-kun, she's talking about a complex plane.\Forward 3i. response:	Right 2. That's how you have to move.
context: Let the watermelon splitting commence!\All right! Bring on the directions!\Given that you're standing on the start point and you're facing the imaginary axis,\the watermelon is at 2+3i.\Huh? What's that mean?\Kosuke-kun, she's talking about a complex plane.\Forward 3i.\Right 2. That's how you have to move. response:	Forward 3i? What's that even mean?
context: All right! Bring on the directions!\Given that you're standing on the start point and you're facing the imaginary axis,\the watermelon is at 2+3i.\Huh? What's that mean?\Kosuke-kun, she's talking about a complex plane.\Forward 3i.\Right 2. That's how you have to move.\Forward 3i? What's that even mean? response:	You don't remember complex numbers? Really?
context: Given that you're standing on the start point and you're facing the imaginary axis,\the watermelon is at 2+3i.\Huh? What's that mean?\Kosuke-kun, she's talking about a complex plane.\Forward 3i.\Right 2. That's how you have to move.\Forward 3i? What's that even mean?\You don't remember complex numbers? Really? response:	As a science-type, aren't you embarrassed?
context: the watermelon is at 2+3i.\Huh? What's that mean?\Kosuke-kun, she's talking about a complex plane.\Forward 3i.\Right 2. That's how you have to move.\Forward 3i? What's that even mean?\You don't remember complex numbers? Really?\As a science-type, aren't you embarrassed? response:	I feel like there's a bigger problem with the directions here,
context: Huh? What's that mean?\Kosuke-kun, she's talking about a complex plane.\Forward 3i.\Right 2. That's how you have to move.\Forward 3i? What's that even mean?\You don't remember complex numbers? Really?\As a science-type, aren't you embarrassed?\I feel like there's a bigger problem with the directions here, response:	but do I go right two steps or two meters? Add a unit, at least!
context: Kosuke-kun, she's talking about a complex plane.\Forward 3i.\Right 2. That's how you have to move.\Forward 3i? What's that even mean?\You don't remember complex numbers? Really?\As a science-type, aren't you embarrassed?\I feel like there's a bigger problem with the directions here,\but do I go right two steps or two meters? Add a unit, at least! response:	Here, right?!
context: Forward 3i.\Right 2. That's how you have to move.\Forward 3i? What's that even mean?\You don't remember complex numbers? Really?\As a science-type, aren't you embarrassed?\I feel like there's a bigger problem with the directions here,\but do I go right two steps or two meters? Add a unit, at least!\Here, right?! response:	Not good enough, Torasuke.
context: Right 2. That's how you have to move.\Forward 3i? What's that even mean?\You don't remember complex numbers? Really?\As a science-type, aren't you embarrassed?\I feel like there's a bigger problem with the directions here,\but do I go right two steps or two meters? Add a unit, at least!\Here, right?!\Not good enough, Torasuke. response:	A real science-type would have been able to split the watermelon with that.
context: Forward 3i? What's that even mean?\You don't remember complex numbers? Really?\As a science-type, aren't you embarrassed?\I feel like there's a bigger problem with the directions here,\but do I go right two steps or two meters? Add a unit, at least!\Here, right?!\Not good enough, Torasuke.\A real science-type would have been able to split the watermelon with that. response:	Was it here?!
context: You don't remember complex numbers? Really?\As a science-type, aren't you embarrassed?\I feel like there's a bigger problem with the directions here,\but do I go right two steps or two meters? Add a unit, at least!\Here, right?!\Not good enough, Torasuke.\A real science-type would have been able to split the watermelon with that.\Was it here?! response:	Over here, right?!
context: As a science-type, aren't you embarrassed?\I feel like there's a bigger problem with the directions here,\but do I go right two steps or two meters? Add a unit, at least!\Here, right?!\Not good enough, Torasuke.\A real science-type would have been able to split the watermelon with that.\Was it here?!\Over here, right?! response:	With that, next it's your turn, Professor Ikeda.
context: I feel like there's a bigger problem with the directions here,\but do I go right two steps or two meters? Add a unit, at least!\Here, right?!\Not good enough, Torasuke.\A real science-type would have been able to split the watermelon with that.\Was it here?!\Over here, right?!\With that, next it's your turn, Professor Ikeda. response:	This is actually the first time I've played the watermelon splitting game.
context: but do I go right two steps or two meters? Add a unit, at least!\Here, right?!\Not good enough, Torasuke.\A real science-type would have been able to split the watermelon with that.\Was it here?!\Over here, right?!\With that, next it's your turn, Professor Ikeda.\This is actually the first time I've played the watermelon splitting game. response:	I wonder if I'll be able to do it right.
context: Here, right?!\Not good enough, Torasuke.\A real science-type would have been able to split the watermelon with that.\Was it here?!\Over here, right?!\With that, next it's your turn, Professor Ikeda.\This is actually the first time I've played the watermelon splitting game.\I wonder if I'll be able to do it right. response:	The watermelon is at 3+7i.
context: Not good enough, Torasuke.\A real science-type would have been able to split the watermelon with that.\Was it here?!\Over here, right?!\With that, next it's your turn, Professor Ikeda.\This is actually the first time I've played the watermelon splitting game.\I wonder if I'll be able to do it right.\The watermelon is at 3+7i. response:	Go!
context: A real science-type would have been able to split the watermelon with that.\Was it here?!\Over here, right?!\With that, next it's your turn, Professor Ikeda.\This is actually the first time I've played the watermelon splitting game.\I wonder if I'll be able to do it right.\The watermelon is at 3+7i.\Go! response:	Oh! I managed to split it!
context: Was it here?!\Over here, right?!\With that, next it's your turn, Professor Ikeda.\This is actually the first time I've played the watermelon splitting game.\I wonder if I'll be able to do it right.\The watermelon is at 3+7i.\Go!\Oh! I managed to split it! response:	It was just where you said it was, Ibarada-kun.
context: Over here, right?!\With that, next it's your turn, Professor Ikeda.\This is actually the first time I've played the watermelon splitting game.\I wonder if I'll be able to do it right.\The watermelon is at 3+7i.\Go!\Oh! I managed to split it!\It was just where you said it was, Ibarada-kun. response:	Are you surprised, Kosuke-kun?
context: With that, next it's your turn, Professor Ikeda.\This is actually the first time I've played the watermelon splitting game.\I wonder if I'll be able to do it right.\The watermelon is at 3+7i.\Go!\Oh! I managed to split it!\It was just where you said it was, Ibarada-kun.\Are you surprised, Kosuke-kun? response:	It's true 3+7i doesn't tell you the distance to the watermelon,
context: This is actually the first time I've played the watermelon splitting game.\I wonder if I'll be able to do it right.\The watermelon is at 3+7i.\Go!\Oh! I managed to split it!\It was just where you said it was, Ibarada-kun.\Are you surprised, Kosuke-kun?\It's true 3+7i doesn't tell you the distance to the watermelon, response:	but a complex plane isn't any different than a regular graph.
context: I wonder if I'll be able to do it right.\The watermelon is at 3+7i.\Go!\Oh! I managed to split it!\It was just where you said it was, Ibarada-kun.\Are you surprised, Kosuke-kun?\It's true 3+7i doesn't tell you the distance to the watermelon,\but a complex plane isn't any different than a regular graph. response:	Imaginary Axis
context: The watermelon is at 3+7i.\Go!\Oh! I managed to split it!\It was just where you said it was, Ibarada-kun.\Are you surprised, Kosuke-kun?\It's true 3+7i doesn't tell you the distance to the watermelon,\but a complex plane isn't any different than a regular graph.\Imaginary Axis response:	Real Axis
context: Go!\Oh! I managed to split it!\It was just where you said it was, Ibarada-kun.\Are you surprised, Kosuke-kun?\It's true 3+7i doesn't tell you the distance to the watermelon,\but a complex plane isn't any different than a regular graph.\Imaginary Axis\Real Axis response:	From the ration 3:7, we learn that the watermelon sits along an angle of about 67.
context: Oh! I managed to split it!\It was just where you said it was, Ibarada-kun.\Are you surprised, Kosuke-kun?\It's true 3+7i doesn't tell you the distance to the watermelon,\but a complex plane isn't any different than a regular graph.\Imaginary Axis\Real Axis\From the ration 3:7, we learn that the watermelon sits along an angle of about 67. response:	approx.
context: It was just where you said it was, Ibarada-kun.\Are you surprised, Kosuke-kun?\It's true 3+7i doesn't tell you the distance to the watermelon,\but a complex plane isn't any different than a regular graph.\Imaginary Axis\Real Axis\From the ration 3:7, we learn that the watermelon sits along an angle of about 67.\approx. response:	Which meant that if I followed the angle in a straight line,
context: Are you surprised, Kosuke-kun?\It's true 3+7i doesn't tell you the distance to the watermelon,\but a complex plane isn't any different than a regular graph.\Imaginary Axis\Real Axis\From the ration 3:7, we learn that the watermelon sits along an angle of about 67.\approx.\Which meant that if I followed the angle in a straight line, response:	I'd be sure to find the watermelon.
context: It's true 3+7i doesn't tell you the distance to the watermelon,\but a complex plane isn't any different than a regular graph.\Imaginary Axis\Real Axis\From the ration 3:7, we learn that the watermelon sits along an angle of about 67.\approx.\Which meant that if I followed the angle in a straight line,\I'd be sure to find the watermelon. response:	Now that you've heard, it's simple, isn't it?
context: but a complex plane isn't any different than a regular graph.\Imaginary Axis\Real Axis\From the ration 3:7, we learn that the watermelon sits along an angle of about 67.\approx.\Which meant that if I followed the angle in a straight line,\I'd be sure to find the watermelon.\Now that you've heard, it's simple, isn't it? response:	No...
context: Imaginary Axis\Real Axis\From the ration 3:7, we learn that the watermelon sits along an angle of about 67.\approx.\Which meant that if I followed the angle in a straight line,\I'd be sure to find the watermelon.\Now that you've heard, it's simple, isn't it?\No... response:	That's not what we're surprised about!
context: Real Axis\From the ration 3:7, we learn that the watermelon sits along an angle of about 67.\approx.\Which meant that if I followed the angle in a straight line,\I'd be sure to find the watermelon.\Now that you've heard, it's simple, isn't it?\No...\That's not what we're surprised about! response:	Huh?
context: From the ration 3:7, we learn that the watermelon sits along an angle of about 67.\approx.\Which meant that if I followed the angle in a straight line,\I'd be sure to find the watermelon.\Now that you've heard, it's simple, isn't it?\No...\That's not what we're surprised about!\Huh? response:	Where are Himuro-senpai and Yukimura-senpai?
context: approx.\Which meant that if I followed the angle in a straight line,\I'd be sure to find the watermelon.\Now that you've heard, it's simple, isn't it?\No...\That's not what we're surprised about!\Huh?\Where are Himuro-senpai and Yukimura-senpai? response:	I saw them go into the shade of those rocks.
context: Which meant that if I followed the angle in a straight line,\I'd be sure to find the watermelon.\Now that you've heard, it's simple, isn't it?\No...\That's not what we're surprised about!\Huh?\Where are Himuro-senpai and Yukimura-senpai?\I saw them go into the shade of those rocks. response:	They're probably getting things started about now.
context: I'd be sure to find the watermelon.\Now that you've heard, it's simple, isn't it?\No...\That's not what we're surprised about!\Huh?\Where are Himuro-senpai and Yukimura-senpai?\I saw them go into the shade of those rocks.\They're probably getting things started about now. response:	No one can see us here, agreed?
context: Now that you've heard, it's simple, isn't it?\No...\That's not what we're surprised about!\Huh?\Where are Himuro-senpai and Yukimura-senpai?\I saw them go into the shade of those rocks.\They're probably getting things started about now.\No one can see us here, agreed? response:	Let's do it... the close physical contact experiment...
context: No...\That's not what we're surprised about!\Huh?\Where are Himuro-senpai and Yukimura-senpai?\I saw them go into the shade of those rocks.\They're probably getting things started about now.\No one can see us here, agreed?\Let's do it... the close physical contact experiment... response:	I can finally cuddle close to Yukimura-kun.
context: That's not what we're surprised about!\Huh?\Where are Himuro-senpai and Yukimura-senpai?\I saw them go into the shade of those rocks.\They're probably getting things started about now.\No one can see us here, agreed?\Let's do it... the close physical contact experiment...\I can finally cuddle close to Yukimura-kun. response:	I'm happy about that, but...
context: Huh?\Where are Himuro-senpai and Yukimura-senpai?\I saw them go into the shade of those rocks.\They're probably getting things started about now.\No one can see us here, agreed?\Let's do it... the close physical contact experiment...\I can finally cuddle close to Yukimura-kun.\I'm happy about that, but... response:	When I think about it rationally...
context: Where are Himuro-senpai and Yukimura-senpai?\I saw them go into the shade of those rocks.\They're probably getting things started about now.\No one can see us here, agreed?\Let's do it... the close physical contact experiment...\I can finally cuddle close to Yukimura-kun.\I'm happy about that, but...\When I think about it rationally... response:	close contact in these clothes... Isn't this a little crazy?
context: I saw them go into the shade of those rocks.\They're probably getting things started about now.\No one can see us here, agreed?\Let's do it... the close physical contact experiment...\I can finally cuddle close to Yukimura-kun.\I'm happy about that, but...\When I think about it rationally...\close contact in these clothes... Isn't this a little crazy? response:	Hold on just a second...
context: They're probably getting things started about now.\No one can see us here, agreed?\Let's do it... the close physical contact experiment...\I can finally cuddle close to Yukimura-kun.\I'm happy about that, but...\When I think about it rationally...\close contact in these clothes... Isn't this a little crazy?\Hold on just a second... response:	I'm going to have close contact with this Himuro?
context: No one can see us here, agreed?\Let's do it... the close physical contact experiment...\I can finally cuddle close to Yukimura-kun.\I'm happy about that, but...\When I think about it rationally...\close contact in these clothes... Isn't this a little crazy?\Hold on just a second...\I'm going to have close contact with this Himuro? response:	She's in a bathing suit! This degree of exposure...
context: Let's do it... the close physical contact experiment...\I can finally cuddle close to Yukimura-kun.\I'm happy about that, but...\When I think about it rationally...\close contact in these clothes... Isn't this a little crazy?\Hold on just a second...\I'm going to have close contact with this Himuro?\She's in a bathing suit! This degree of exposure... response:	The direct skin to skin contact area isn't comparable to everyday amounts.
context: I can finally cuddle close to Yukimura-kun.\I'm happy about that, but...\When I think about it rationally...\close contact in these clothes... Isn't this a little crazy?\Hold on just a second...\I'm going to have close contact with this Himuro?\She's in a bathing suit! This degree of exposure...\The direct skin to skin contact area isn't comparable to everyday amounts. response:	On top of which, in order to produce the hormone,
context: I'm happy about that, but...\When I think about it rationally...\close contact in these clothes... Isn't this a little crazy?\Hold on just a second...\I'm going to have close contact with this Himuro?\She's in a bathing suit! This degree of exposure...\The direct skin to skin contact area isn't comparable to everyday amounts.\On top of which, in order to produce the hormone, response:	it's best for the contact to be as close and tight as possible.
context: When I think about it rationally...\close contact in these clothes... Isn't this a little crazy?\Hold on just a second...\I'm going to have close contact with this Himuro?\She's in a bathing suit! This degree of exposure...\The direct skin to skin contact area isn't comparable to everyday amounts.\On top of which, in order to produce the hormone,\it's best for the contact to be as close and tight as possible. response:	As close and tight as possible!
context: close contact in these clothes... Isn't this a little crazy?\Hold on just a second...\I'm going to have close contact with this Himuro?\She's in a bathing suit! This degree of exposure...\The direct skin to skin contact area isn't comparable to everyday amounts.\On top of which, in order to produce the hormone,\it's best for the contact to be as close and tight as possible.\As close and tight as possible! response:	I'm going to hydrate a bit.
context: Hold on just a second...\I'm going to have close contact with this Himuro?\She's in a bathing suit! This degree of exposure...\The direct skin to skin contact area isn't comparable to everyday amounts.\On top of which, in order to produce the hormone,\it's best for the contact to be as close and tight as possible.\As close and tight as possible!\I'm going to hydrate a bit. response:	I collected so much saliva, my mouth is dry.
context: I'm going to have close contact with this Himuro?\She's in a bathing suit! This degree of exposure...\The direct skin to skin contact area isn't comparable to everyday amounts.\On top of which, in order to produce the hormone,\it's best for the contact to be as close and tight as possible.\As close and tight as possible!\I'm going to hydrate a bit.\I collected so much saliva, my mouth is dry. response:	A-And I've remembered something I forgot to enter into the calculation...
context: She's in a bathing suit! This degree of exposure...\The direct skin to skin contact area isn't comparable to everyday amounts.\On top of which, in order to produce the hormone,\it's best for the contact to be as close and tight as possible.\As close and tight as possible!\I'm going to hydrate a bit.\I collected so much saliva, my mouth is dry.\A-And I've remembered something I forgot to enter into the calculation... response:	Delicious
context: The direct skin to skin contact area isn't comparable to everyday amounts.\On top of which, in order to produce the hormone,\it's best for the contact to be as close and tight as possible.\As close and tight as possible!\I'm going to hydrate a bit.\I collected so much saliva, my mouth is dry.\A-And I've remembered something I forgot to enter into the calculation...\Delicious response:	Delicious
context: On top of which, in order to produce the hormone,\it's best for the contact to be as close and tight as possible.\As close and tight as possible!\I'm going to hydrate a bit.\I collected so much saliva, my mouth is dry.\A-And I've remembered something I forgot to enter into the calculation...\Delicious\Delicious response:	Oh, honestly!
context: it's best for the contact to be as close and tight as possible.\As close and tight as possible!\I'm going to hydrate a bit.\I collected so much saliva, my mouth is dry.\A-And I've remembered something I forgot to enter into the calculation...\Delicious\Delicious\Oh, honestly! response:	I want to cuddle close to him, but I feel so embarrassed right now!
context: As close and tight as possible!\I'm going to hydrate a bit.\I collected so much saliva, my mouth is dry.\A-And I've remembered something I forgot to enter into the calculation...\Delicious\Delicious\Oh, honestly!\I want to cuddle close to him, but I feel so embarrassed right now! response:	Oh, what am I supposed to do?
context: I'm going to hydrate a bit.\I collected so much saliva, my mouth is dry.\A-And I've remembered something I forgot to enter into the calculation...\Delicious\Delicious\Oh, honestly!\I want to cuddle close to him, but I feel so embarrassed right now!\Oh, what am I supposed to do? response:	How am I supposed to have close contact with her?
context: I collected so much saliva, my mouth is dry.\A-And I've remembered something I forgot to enter into the calculation...\Delicious\Delicious\Oh, honestly!\I want to cuddle close to him, but I feel so embarrassed right now!\Oh, what am I supposed to do?\How am I supposed to have close contact with her? response:	With a Himuro who's 2.34 times more beautiful than normal?
context: A-And I've remembered something I forgot to enter into the calculation...\Delicious\Delicious\Oh, honestly!\I want to cuddle close to him, but I feel so embarrassed right now!\Oh, what am I supposed to do?\How am I supposed to have close contact with her?\With a Himuro who's 2.34 times more beautiful than normal? response:	I think the stimulus might be a little too strong for Yukimura-kun.
context: Delicious\Delicious\Oh, honestly!\I want to cuddle close to him, but I feel so embarrassed right now!\Oh, what am I supposed to do?\How am I supposed to have close contact with her?\With a Himuro who's 2.34 times more beautiful than normal?\I think the stimulus might be a little too strong for Yukimura-kun. response:	That's where you're just supposed to go and grab her!
context: Delicious\Oh, honestly!\I want to cuddle close to him, but I feel so embarrassed right now!\Oh, what am I supposed to do?\How am I supposed to have close contact with her?\With a Himuro who's 2.34 times more beautiful than normal?\I think the stimulus might be a little too strong for Yukimura-kun.\That's where you're just supposed to go and grab her! response:	The two of them in swimsuits, embracing...
context: Oh, honestly!\I want to cuddle close to him, but I feel so embarrassed right now!\Oh, what am I supposed to do?\How am I supposed to have close contact with her?\With a Himuro who's 2.34 times more beautiful than normal?\I think the stimulus might be a little too strong for Yukimura-kun.\That's where you're just supposed to go and grab her!\The two of them in swimsuits, embracing... response:	It would be so exciting, but...
context: I want to cuddle close to him, but I feel so embarrassed right now!\Oh, what am I supposed to do?\How am I supposed to have close contact with her?\With a Himuro who's 2.34 times more beautiful than normal?\I think the stimulus might be a little too strong for Yukimura-kun.\That's where you're just supposed to go and grab her!\The two of them in swimsuits, embracing...\It would be so exciting, but... response:	What are all of you doing here?
context: Oh, what am I supposed to do?\How am I supposed to have close contact with her?\With a Himuro who's 2.34 times more beautiful than normal?\I think the stimulus might be a little too strong for Yukimura-kun.\That's where you're just supposed to go and grab her!\The two of them in swimsuits, embracing...\It would be so exciting, but...\What are all of you doing here? response:	For crying out loud.
context: How am I supposed to have close contact with her?\With a Himuro who's 2.34 times more beautiful than normal?\I think the stimulus might be a little too strong for Yukimura-kun.\That's where you're just supposed to go and grab her!\The two of them in swimsuits, embracing...\It would be so exciting, but...\What are all of you doing here?\For crying out loud. response:	Don't worry, Yukimura-senpai.
context: With a Himuro who's 2.34 times more beautiful than normal?\I think the stimulus might be a little too strong for Yukimura-kun.\That's where you're just supposed to go and grab her!\The two of them in swimsuits, embracing...\It would be so exciting, but...\What are all of you doing here?\For crying out loud.\Don't worry, Yukimura-senpai. response:	Everyone feels a little lost their first time. That's just how it is.
context: I think the stimulus might be a little too strong for Yukimura-kun.\That's where you're just supposed to go and grab her!\The two of them in swimsuits, embracing...\It would be so exciting, but...\What are all of you doing here?\For crying out loud.\Don't worry, Yukimura-senpai.\Everyone feels a little lost their first time. That's just how it is. response:	What are you talking about?
context: That's where you're just supposed to go and grab her!\The two of them in swimsuits, embracing...\It would be so exciting, but...\What are all of you doing here?\For crying out loud.\Don't worry, Yukimura-senpai.\Everyone feels a little lost their first time. That's just how it is.\What are you talking about? response:	Those swimsuits are going to waste!
context: The two of them in swimsuits, embracing...\It would be so exciting, but...\What are all of you doing here?\For crying out loud.\Don't worry, Yukimura-senpai.\Everyone feels a little lost their first time. That's just how it is.\What are you talking about?\Those swimsuits are going to waste! response:	I fully support you two in your close physical contact.
context: It would be so exciting, but...\What are all of you doing here?\For crying out loud.\Don't worry, Yukimura-senpai.\Everyone feels a little lost their first time. That's just how it is.\What are you talking about?\Those swimsuits are going to waste!\I fully support you two in your close physical contact. response:	Let's think about what kind of contact would be best!
context: What are all of you doing here?\For crying out loud.\Don't worry, Yukimura-senpai.\Everyone feels a little lost their first time. That's just how it is.\What are you talking about?\Those swimsuits are going to waste!\I fully support you two in your close physical contact.\Let's think about what kind of contact would be best! response:	A Couple's Greatest Close Contact Problem When two people have close physical contact, they should seek a position which offers the greatest contact area.
context: For crying out loud.\Don't worry, Yukimura-senpai.\Everyone feels a little lost their first time. That's just how it is.\What are you talking about?\Those swimsuits are going to waste!\I fully support you two in your close physical contact.\Let's think about what kind of contact would be best!\A Couple's Greatest Close Contact Problem When two people have close physical contact, they should seek a position which offers the greatest contact area. response:	When two people have close physical contact,
context: Don't worry, Yukimura-senpai.\Everyone feels a little lost their first time. That's just how it is.\What are you talking about?\Those swimsuits are going to waste!\I fully support you two in your close physical contact.\Let's think about what kind of contact would be best!\A Couple's Greatest Close Contact Problem When two people have close physical contact, they should seek a position which offers the greatest contact area.\When two people have close physical contact, response:	they should seek a position which offers the greatest contact area.
context: Everyone feels a little lost their first time. That's just how it is.\What are you talking about?\Those swimsuits are going to waste!\I fully support you two in your close physical contact.\Let's think about what kind of contact would be best!\A Couple's Greatest Close Contact Problem When two people have close physical contact, they should seek a position which offers the greatest contact area.\When two people have close physical contact,\they should seek a position which offers the greatest contact area. response:	Let's turn it into a problem like this,
context: What are you talking about?\Those swimsuits are going to waste!\I fully support you two in your close physical contact.\Let's think about what kind of contact would be best!\A Couple's Greatest Close Contact Problem When two people have close physical contact, they should seek a position which offers the greatest contact area.\When two people have close physical contact,\they should seek a position which offers the greatest contact area.\Let's turn it into a problem like this, response:	and look for the ideal method.
context: Those swimsuits are going to waste!\I fully support you two in your close physical contact.\Let's think about what kind of contact would be best!\A Couple's Greatest Close Contact Problem When two people have close physical contact, they should seek a position which offers the greatest contact area.\When two people have close physical contact,\they should seek a position which offers the greatest contact area.\Let's turn it into a problem like this,\and look for the ideal method. response:	In the lab, we performed what is generally known as a regular hug, but
context: I fully support you two in your close physical contact.\Let's think about what kind of contact would be best!\A Couple's Greatest Close Contact Problem When two people have close physical contact, they should seek a position which offers the greatest contact area.\When two people have close physical contact,\they should seek a position which offers the greatest contact area.\Let's turn it into a problem like this,\and look for the ideal method.\In the lab, we performed what is generally known as a regular hug, but response:	there may be a position which allows for greater close contact.
context: Let's think about what kind of contact would be best!\A Couple's Greatest Close Contact Problem When two people have close physical contact, they should seek a position which offers the greatest contact area.\When two people have close physical contact,\they should seek a position which offers the greatest contact area.\Let's turn it into a problem like this,\and look for the ideal method.\In the lab, we performed what is generally known as a regular hug, but\there may be a position which allows for greater close contact. response:	The human body has more surface area on the front than on the sides, so
context: A Couple's Greatest Close Contact Problem When two people have close physical contact, they should seek a position which offers the greatest contact area.\When two people have close physical contact,\they should seek a position which offers the greatest contact area.\Let's turn it into a problem like this,\and look for the ideal method.\In the lab, we performed what is generally known as a regular hug, but\there may be a position which allows for greater close contact.\The human body has more surface area on the front than on the sides, so response:	if the front of the body and under the arms are held closely in a hug,
context: When two people have close physical contact,\they should seek a position which offers the greatest contact area.\Let's turn it into a problem like this,\and look for the ideal method.\In the lab, we performed what is generally known as a regular hug, but\there may be a position which allows for greater close contact.\The human body has more surface area on the front than on the sides, so\if the front of the body and under the arms are held closely in a hug, response:	some might say the position provides and exceedingly great area of close contact, but...
context: they should seek a position which offers the greatest contact area.\Let's turn it into a problem like this,\and look for the ideal method.\In the lab, we performed what is generally known as a regular hug, but\there may be a position which allows for greater close contact.\The human body has more surface area on the front than on the sides, so\if the front of the body and under the arms are held closely in a hug,\some might say the position provides and exceedingly great area of close contact, but... response:	If that's true, then...
context: Let's turn it into a problem like this,\and look for the ideal method.\In the lab, we performed what is generally known as a regular hug, but\there may be a position which allows for greater close contact.\The human body has more surface area on the front than on the sides, so\if the front of the body and under the arms are held closely in a hug,\some might say the position provides and exceedingly great area of close contact, but...\If that's true, then... response:	with this position, or...
context: and look for the ideal method.\In the lab, we performed what is generally known as a regular hug, but\there may be a position which allows for greater close contact.\The human body has more surface area on the front than on the sides, so\if the front of the body and under the arms are held closely in a hug,\some might say the position provides and exceedingly great area of close contact, but...\If that's true, then...\with this position, or... response:	even this position...
context: In the lab, we performed what is generally known as a regular hug, but\there may be a position which allows for greater close contact.\The human body has more surface area on the front than on the sides, so\if the front of the body and under the arms are held closely in a hug,\some might say the position provides and exceedingly great area of close contact, but...\If that's true, then...\with this position, or...\even this position... response:	the amount of close contact doesn't change very much.
context: there may be a position which allows for greater close contact.\The human body has more surface area on the front than on the sides, so\if the front of the body and under the arms are held closely in a hug,\some might say the position provides and exceedingly great area of close contact, but...\If that's true, then...\with this position, or...\even this position...\the amount of close contact doesn't change very much. response:	This one's nice, too.
context: The human body has more surface area on the front than on the sides, so\if the front of the body and under the arms are held closely in a hug,\some might say the position provides and exceedingly great area of close contact, but...\If that's true, then...\with this position, or...\even this position...\the amount of close contact doesn't change very much.\This one's nice, too. response:	Hang on!
context: if the front of the body and under the arms are held closely in a hug,\some might say the position provides and exceedingly great area of close contact, but...\If that's true, then...\with this position, or...\even this position...\the amount of close contact doesn't change very much.\This one's nice, too.\Hang on! response:	If they entwined their legs in their close contact,
context: some might say the position provides and exceedingly great area of close contact, but...\If that's true, then...\with this position, or...\even this position...\the amount of close contact doesn't change very much.\This one's nice, too.\Hang on!\If they entwined their legs in their close contact, response:	wouldn't it increase the contact area?
context: If that's true, then...\with this position, or...\even this position...\the amount of close contact doesn't change very much.\This one's nice, too.\Hang on!\If they entwined their legs in their close contact,\wouldn't it increase the contact area? response:	If they did, it would be something like this.
context: with this position, or...\even this position...\the amount of close contact doesn't change very much.\This one's nice, too.\Hang on!\If they entwined their legs in their close contact,\wouldn't it increase the contact area?\If they did, it would be something like this. response:	It kinda reminds me of a cicada...
context: even this position...\the amount of close contact doesn't change very much.\This one's nice, too.\Hang on!\If they entwined their legs in their close contact,\wouldn't it increase the contact area?\If they did, it would be something like this.\It kinda reminds me of a cicada... response:	Would it be too hard for both of them to wrap their legs?
context: the amount of close contact doesn't change very much.\This one's nice, too.\Hang on!\If they entwined their legs in their close contact,\wouldn't it increase the contact area?\If they did, it would be something like this.\It kinda reminds me of a cicada...\Would it be too hard for both of them to wrap their legs? response:	Yes...
context: This one's nice, too.\Hang on!\If they entwined their legs in their close contact,\wouldn't it increase the contact area?\If they did, it would be something like this.\It kinda reminds me of a cicada...\Would it be too hard for both of them to wrap their legs?\Yes... response:	Which means, it would be difficult to increase the amount of close contact any more than this...
context: Hang on!\If they entwined their legs in their close contact,\wouldn't it increase the contact area?\If they did, it would be something like this.\It kinda reminds me of a cicada...\Would it be too hard for both of them to wrap their legs?\Yes...\Which means, it would be difficult to increase the amount of close contact any more than this... response:	No, that's wrong.
context: If they entwined their legs in their close contact,\wouldn't it increase the contact area?\If they did, it would be something like this.\It kinda reminds me of a cicada...\Would it be too hard for both of them to wrap their legs?\Yes...\Which means, it would be difficult to increase the amount of close contact any more than this...\No, that's wrong. response:	We've overlooked something.
context: wouldn't it increase the contact area?\If they did, it would be something like this.\It kinda reminds me of a cicada...\Would it be too hard for both of them to wrap their legs?\Yes...\Which means, it would be difficult to increase the amount of close contact any more than this...\No, that's wrong.\We've overlooked something. response:	When the fronts of the bodies are in close contact,
context: If they did, it would be something like this.\It kinda reminds me of a cicada...\Would it be too hard for both of them to wrap their legs?\Yes...\Which means, it would be difficult to increase the amount of close contact any more than this...\No, that's wrong.\We've overlooked something.\When the fronts of the bodies are in close contact, response:	there is no reason to match the direction of up and down!
context: It kinda reminds me of a cicada...\Would it be too hard for both of them to wrap their legs?\Yes...\Which means, it would be difficult to increase the amount of close contact any more than this...\No, that's wrong.\We've overlooked something.\When the fronts of the bodies are in close contact,\there is no reason to match the direction of up and down! response:	Which means this!
context: Would it be too hard for both of them to wrap their legs?\Yes...\Which means, it would be difficult to increase the amount of close contact any more than this...\No, that's wrong.\We've overlooked something.\When the fronts of the bodies are in close contact,\there is no reason to match the direction of up and down!\Which means this! response:	What life-form is that supposed to be?
context: Yes...\Which means, it would be difficult to increase the amount of close contact any more than this...\No, that's wrong.\We've overlooked something.\When the fronts of the bodies are in close contact,\there is no reason to match the direction of up and down!\Which means this!\What life-form is that supposed to be? response:	That's horrible in all kinds of ways!
