context: Tetsusaiga's purpose is to suppress the demon blood in Inuyasha. response:	Unless he masters Tetsusaiga...
context: the Wind Scar and his own evil aura simultaneously.\Anyway, that's the rationale.\But you had to be able to discern where to cut through the evil aura.\And unless your will was stronger than his enemy's evil aura...\it would've been impossible.\I'm impressed, Inuyasha!\Hmm... I just cut through the spot that seemed funny.\He's gone beyond the reasoning. response:	Maybe, he's destined for bigger things than I imagined.
context: Anyway, that's the rationale.\But you had to be able to discern where to cut through the evil aura.\And unless your will was stronger than his enemy's evil aura...\it would've been impossible.\I'm impressed, Inuyasha!\Hmm... I just cut through the spot that seemed funny.\He's gone beyond the reasoning.\Maybe, he's destined for bigger things than I imagined. response:	Inuyasha, now you're able to wield Tetsusaiga at will.
context: But you had to be able to discern where to cut through the evil aura.\And unless your will was stronger than his enemy's evil aura...\it would've been impossible.\I'm impressed, Inuyasha!\Hmm... I just cut through the spot that seemed funny.\He's gone beyond the reasoning.\Maybe, he's destined for bigger things than I imagined.\Inuyasha, now you're able to wield Tetsusaiga at will. response:	Not only that...
context: And unless your will was stronger than his enemy's evil aura...\it would've been impossible.\I'm impressed, Inuyasha!\Hmm... I just cut through the spot that seemed funny.\He's gone beyond the reasoning.\Maybe, he's destined for bigger things than I imagined.\Inuyasha, now you're able to wield Tetsusaiga at will.\Not only that... response:	You'll be shocked!
context: it would've been impossible.\I'm impressed, Inuyasha!\Hmm... I just cut through the spot that seemed funny.\He's gone beyond the reasoning.\Maybe, he's destined for bigger things than I imagined.\Inuyasha, now you're able to wield Tetsusaiga at will.\Not only that...\You'll be shocked! response:	Here you go!
context: I'm impressed, Inuyasha!\Hmm... I just cut through the spot that seemed funny.\He's gone beyond the reasoning.\Maybe, he's destined for bigger things than I imagined.\Inuyasha, now you're able to wield Tetsusaiga at will.\Not only that...\You'll be shocked!\Here you go! response:	The Wind Scar!
context: Hmm... I just cut through the spot that seemed funny.\He's gone beyond the reasoning.\Maybe, he's destined for bigger things than I imagined.\Inuyasha, now you're able to wield Tetsusaiga at will.\Not only that...\You'll be shocked!\Here you go!\The Wind Scar! response:	See? I can pull out the Wind Scar anytime now!
context: He's gone beyond the reasoning.\Maybe, he's destined for bigger things than I imagined.\Inuyasha, now you're able to wield Tetsusaiga at will.\Not only that...\You'll be shocked!\Here you go!\The Wind Scar!\See? I can pull out the Wind Scar anytime now! response:	There!
context: Maybe, he's destined for bigger things than I imagined.\Inuyasha, now you're able to wield Tetsusaiga at will.\Not only that...\You'll be shocked!\Here you go!\The Wind Scar!\See? I can pull out the Wind Scar anytime now!\There! response:	Hey!
context: Inuyasha, now you're able to wield Tetsusaiga at will.\Not only that...\You'll be shocked!\Here you go!\The Wind Scar!\See? I can pull out the Wind Scar anytime now!\There!\Hey! response:	How about it?
context: Not only that...\You'll be shocked!\Here you go!\The Wind Scar!\See? I can pull out the Wind Scar anytime now!\There!\Hey!\How about it? response:	This here, too!
context: You'll be shocked!\Here you go!\The Wind Scar!\See? I can pull out the Wind Scar anytime now!\There!\Hey!\How about it?\This here, too! response:	Hey! Stop! Inuyasha!
context: Here you go!\The Wind Scar!\See? I can pull out the Wind Scar anytime now!\There!\Hey!\How about it?\This here, too!\Hey! Stop! Inuyasha! response:	Stop hurling around a dangerous sword like that!
context: The Wind Scar!\See? I can pull out the Wind Scar anytime now!\There!\Hey!\How about it?\This here, too!\Hey! Stop! Inuyasha!\Stop hurling around a dangerous sword like that! response:	If you're jealous, stop me!
context: See? I can pull out the Wind Scar anytime now!\There!\Hey!\How about it?\This here, too!\Hey! Stop! Inuyasha!\Stop hurling around a dangerous sword like that!\If you're jealous, stop me! response:	Inuyasha!
context: There!\Hey!\How about it?\This here, too!\Hey! Stop! Inuyasha!\Stop hurling around a dangerous sword like that!\If you're jealous, stop me!\Inuyasha! response:	Oops!
context: Hey!\How about it?\This here, too!\Hey! Stop! Inuyasha!\Stop hurling around a dangerous sword like that!\If you're jealous, stop me!\Inuyasha!\Oops! response:	Sit!
context: How about it?\This here, too!\Hey! Stop! Inuyasha!\Stop hurling around a dangerous sword like that!\If you're jealous, stop me!\Inuyasha!\Oops!\Sit! response:	You are so excitable.
context: This here, too!\Hey! Stop! Inuyasha!\Stop hurling around a dangerous sword like that!\If you're jealous, stop me!\Inuyasha!\Oops!\Sit!\You are so excitable. response:	I'll say... Such a simpleton.
context: Hey! Stop! Inuyasha!\Stop hurling around a dangerous sword like that!\If you're jealous, stop me!\Inuyasha!\Oops!\Sit!\You are so excitable.\I'll say... Such a simpleton. response:	I must be strong for him.
context: Stop hurling around a dangerous sword like that!\If you're jealous, stop me!\Inuyasha!\Oops!\Sit!\You are so excitable.\I'll say... Such a simpleton.\I must be strong for him. response:	Damn... Kagome said the word.
context: If you're jealous, stop me!\Inuyasha!\Oops!\Sit!\You are so excitable.\I'll say... Such a simpleton.\I must be strong for him.\Damn... Kagome said the word. response:	Hmm... He's still just a little punk.
context: Inuyasha!\Oops!\Sit!\You are so excitable.\I'll say... Such a simpleton.\I must be strong for him.\Damn... Kagome said the word.\Hmm... He's still just a little punk. response:	Let's go...
context: Oops!\Sit!\You are so excitable.\I'll say... Such a simpleton.\I must be strong for him.\Damn... Kagome said the word.\Hmm... He's still just a little punk.\Let's go... response:	A girl waits all alone for her brother who has gone off to war, never to return.
context: Sit!\You are so excitable.\I'll say... Such a simpleton.\I must be strong for him.\Damn... Kagome said the word.\Hmm... He's still just a little punk.\Let's go...\A girl waits all alone for her brother who has gone off to war, never to return. response:	Satsuki has a treasure to make her wishes come true...
context: You are so excitable.\I'll say... Such a simpleton.\I must be strong for him.\Damn... Kagome said the word.\Hmm... He's still just a little punk.\Let's go...\A girl waits all alone for her brother who has gone off to war, never to return.\Satsuki has a treasure to make her wishes come true... response:	fragment of the Sacred Jewel!
context: I'll say... Such a simpleton.\I must be strong for him.\Damn... Kagome said the word.\Hmm... He's still just a little punk.\Let's go...\A girl waits all alone for her brother who has gone off to war, never to return.\Satsuki has a treasure to make her wishes come true...\fragment of the Sacred Jewel! response:	If it's the real thing, we must take it from her.
context: I must be strong for him.\Damn... Kagome said the word.\Hmm... He's still just a little punk.\Let's go...\A girl waits all alone for her brother who has gone off to war, never to return.\Satsuki has a treasure to make her wishes come true...\fragment of the Sacred Jewel!\If it's the real thing, we must take it from her. response:	Poor Shippo is in a dilemma.
context: Damn... Kagome said the word.\Hmm... He's still just a little punk.\Let's go...\A girl waits all alone for her brother who has gone off to war, never to return.\Satsuki has a treasure to make her wishes come true...\fragment of the Sacred Jewel!\If it's the real thing, we must take it from her.\Poor Shippo is in a dilemma. response:	I wonder if he has feelings for Satsuki?
context: Hmm... He's still just a little punk.\Let's go...\A girl waits all alone for her brother who has gone off to war, never to return.\Satsuki has a treasure to make her wishes come true...\fragment of the Sacred Jewel!\If it's the real thing, we must take it from her.\Poor Shippo is in a dilemma.\I wonder if he has feelings for Satsuki? response:	Just then, a demon lays a cruel trap...
context: Let's go...\A girl waits all alone for her brother who has gone off to war, never to return.\Satsuki has a treasure to make her wishes come true...\fragment of the Sacred Jewel!\If it's the real thing, we must take it from her.\Poor Shippo is in a dilemma.\I wonder if he has feelings for Satsuki?\Just then, a demon lays a cruel trap... response:	in order to get the Sacred Jewel fragment.
context: A girl waits all alone for her brother who has gone off to war, never to return.\Satsuki has a treasure to make her wishes come true...\fragment of the Sacred Jewel!\If it's the real thing, we must take it from her.\Poor Shippo is in a dilemma.\I wonder if he has feelings for Satsuki?\Just then, a demon lays a cruel trap...\in order to get the Sacred Jewel fragment. response:	The Stone Flower and Shippo's First Love...
context: Satsuki has a treasure to make her wishes come true...\fragment of the Sacred Jewel!\If it's the real thing, we must take it from her.\Poor Shippo is in a dilemma.\I wonder if he has feelings for Satsuki?\Just then, a demon lays a cruel trap...\in order to get the Sacred Jewel fragment.\The Stone Flower and Shippo's First Love... response:	Don't miss it!
