context: Hey, Izuna. response:	What, please?
context: So... even if I lose,\promise you'll take care of Izuna and Ino, and my people.\Shrine Priestess...\I've changed my opinion of you.\Just get started.\Let's start the world's most brutal coin toss.\You can pick heads or tails as it lands.\I'll take the other. response:	You're sure?
context: promise you'll take care of Izuna and Ino, and my people.\Shrine Priestess...\I've changed my opinion of you.\Just get started.\Let's start the world's most brutal coin toss.\You can pick heads or tails as it lands.\I'll take the other.\You're sure? response:	Yeah.
context: Shrine Priestess...\I've changed my opinion of you.\Just get started.\Let's start the world's most brutal coin toss.\You can pick heads or tails as it lands.\I'll take the other.\You're sure?\Yeah. response:	Okay...
context: I've changed my opinion of you.\Just get started.\Let's start the world's most brutal coin toss.\You can pick heads or tails as it lands.\I'll take the other.\You're sure?\Yeah.\Okay... response:	Aschente!
context: Just get started.\Let's start the world's most brutal coin toss.\You can pick heads or tails as it lands.\I'll take the other.\You're sure?\Yeah.\Okay...\Aschente! response:	Blood Destruction?
context: Let's start the world's most brutal coin toss.\You can pick heads or tails as it lands.\I'll take the other.\You're sure?\Yeah.\Okay...\Aschente!\Blood Destruction? response:	Blood Destruction surpasses physical limits,
context: You can pick heads or tails as it lands.\I'll take the other.\You're sure?\Yeah.\Okay...\Aschente!\Blood Destruction?\Blood Destruction surpasses physical limits, response:	allowing me to grasp all signals and movements.
context: I'll take the other.\You're sure?\Yeah.\Okay...\Aschente!\Blood Destruction?\Blood Destruction surpasses physical limits,\allowing me to grasp all signals and movements. response:	At the rate it's falling,
context: You're sure?\Yeah.\Okay...\Aschente!\Blood Destruction?\Blood Destruction surpasses physical limits,\allowing me to grasp all signals and movements.\At the rate it's falling, response:	it will hit the floor after 142 and two-thirds flips,
context: Yeah.\Okay...\Aschente!\Blood Destruction?\Blood Destruction surpasses physical limits,\allowing me to grasp all signals and movements.\At the rate it's falling,\it will hit the floor after 142 and two-thirds flips, response:	bounce 4 times, spin for 5.2 seconds,
context: Okay...\Aschente!\Blood Destruction?\Blood Destruction surpasses physical limits,\allowing me to grasp all signals and movements.\At the rate it's falling,\it will hit the floor after 142 and two-thirds flips,\bounce 4 times, spin for 5.2 seconds, response:	and stop on tails.
context: Aschente!\Blood Destruction?\Blood Destruction surpasses physical limits,\allowing me to grasp all signals and movements.\At the rate it's falling,\it will hit the floor after 142 and two-thirds flips,\bounce 4 times, spin for 5.2 seconds,\and stop on tails. response:	I don't detect any magic usage within range.
context: Blood Destruction?\Blood Destruction surpasses physical limits,\allowing me to grasp all signals and movements.\At the rate it's falling,\it will hit the floor after 142 and two-thirds flips,\bounce 4 times, spin for 5.2 seconds,\and stop on tails.\I don't detect any magic usage within range. response:	Did they underestimate my kinetic vision?
context: Blood Destruction surpasses physical limits,\allowing me to grasp all signals and movements.\At the rate it's falling,\it will hit the floor after 142 and two-thirds flips,\bounce 4 times, spin for 5.2 seconds,\and stop on tails.\I don't detect any magic usage within range.\Did they underestimate my kinetic vision? response:	No, that's impossible.
context: allowing me to grasp all signals and movements.\At the rate it's falling,\it will hit the floor after 142 and two-thirds flips,\bounce 4 times, spin for 5.2 seconds,\and stop on tails.\I don't detect any magic usage within range.\Did they underestimate my kinetic vision?\No, that's impossible. response:	But...
context: At the rate it's falling,\it will hit the floor after 142 and two-thirds flips,\bounce 4 times, spin for 5.2 seconds,\and stop on tails.\I don't detect any magic usage within range.\Did they underestimate my kinetic vision?\No, that's impossible.\But... response:	Tails.
context: it will hit the floor after 142 and two-thirds flips,\bounce 4 times, spin for 5.2 seconds,\and stop on tails.\I don't detect any magic usage within range.\Did they underestimate my kinetic vision?\No, that's impossible.\But...\Tails. response:	Wh-What is this?
context: bounce 4 times, spin for 5.2 seconds,\and stop on tails.\I don't detect any magic usage within range.\Did they underestimate my kinetic vision?\No, that's impossible.\But...\Tails.\Wh-What is this? response:	A draw.
context: and stop on tails.\I don't detect any magic usage within range.\Did they underestimate my kinetic vision?\No, that's impossible.\But...\Tails.\Wh-What is this?\A draw. response:	A draw?
context: I don't detect any magic usage within range.\Did they underestimate my kinetic vision?\No, that's impossible.\But...\Tails.\Wh-What is this?\A draw.\A draw? response:	Wow, I didn't see that coming!
context: Did they underestimate my kinetic vision?\No, that's impossible.\But...\Tails.\Wh-What is this?\A draw.\A draw?\Wow, I didn't see that coming! response:	What a problem.
context: No, that's impossible.\But...\Tails.\Wh-What is this?\A draw.\A draw?\Wow, I didn't see that coming!\What a problem. response:	Did we both win or did we both lose?
context: But...\Tails.\Wh-What is this?\A draw.\A draw?\Wow, I didn't see that coming!\What a problem.\Did we both win or did we both lose? response:	Which is it?
context: Tails.\Wh-What is this?\A draw.\A draw?\Wow, I didn't see that coming!\What a problem.\Did we both win or did we both lose?\Which is it? response:	Sora, you're not fooling anybody.
context: Wh-What is this?\A draw.\A draw?\Wow, I didn't see that coming!\What a problem.\Did we both win or did we both lose?\Which is it?\Sora, you're not fooling anybody. response:	Truly.
context: A draw.\A draw?\Wow, I didn't see that coming!\What a problem.\Did we both win or did we both lose?\Which is it?\Sora, you're not fooling anybody.\Truly. response:	This was your goal from the start.
context: A draw?\Wow, I didn't see that coming!\What a problem.\Did we both win or did we both lose?\Which is it?\Sora, you're not fooling anybody.\Truly.\This was your goal from the start. response:	If we both win, that means both of our demands are fulfilled.
context: Wow, I didn't see that coming!\What a problem.\Did we both win or did we both lose?\Which is it?\Sora, you're not fooling anybody.\Truly.\This was your goal from the start.\If we both win, that means both of our demands are fulfilled. response:	In other words, you end up under Elkia's control,
context: What a problem.\Did we both win or did we both lose?\Which is it?\Sora, you're not fooling anybody.\Truly.\This was your goal from the start.\If we both win, that means both of our demands are fulfilled.\In other words, you end up under Elkia's control, response:	Eastern Federation Elkia
context: Did we both win or did we both lose?\Which is it?\Sora, you're not fooling anybody.\Truly.\This was your goal from the start.\If we both win, that means both of our demands are fulfilled.\In other words, you end up under Elkia's control,\Eastern Federation Elkia response:	but your rights are assured and you keep the right to self-rule.
context: Which is it?\Sora, you're not fooling anybody.\Truly.\This was your goal from the start.\If we both win, that means both of our demands are fulfilled.\In other words, you end up under Elkia's control,\Eastern Federation Elkia\but your rights are assured and you keep the right to self-rule. response:	Warbeasts
context: Sora, you're not fooling anybody.\Truly.\This was your goal from the start.\If we both win, that means both of our demands are fulfilled.\In other words, you end up under Elkia's control,\Eastern Federation Elkia\but your rights are assured and you keep the right to self-rule.\Warbeasts response:	We can both share the continent's resources.
context: Truly.\This was your goal from the start.\If we both win, that means both of our demands are fulfilled.\In other words, you end up under Elkia's control,\Eastern Federation Elkia\but your rights are assured and you keep the right to self-rule.\Warbeasts\We can both share the continent's resources. response:	The Eastern Federation becomes the Elkia Federation.
context: This was your goal from the start.\If we both win, that means both of our demands are fulfilled.\In other words, you end up under Elkia's control,\Eastern Federation Elkia\but your rights are assured and you keep the right to self-rule.\Warbeasts\We can both share the continent's resources.\The Eastern Federation becomes the Elkia Federation. response:	Elkia Federation
context: If we both win, that means both of our demands are fulfilled.\In other words, you end up under Elkia's control,\Eastern Federation Elkia\but your rights are assured and you keep the right to self-rule.\Warbeasts\We can both share the continent's resources.\The Eastern Federation becomes the Elkia Federation.\Elkia Federation response:	Well?
context: In other words, you end up under Elkia's control,\Eastern Federation Elkia\but your rights are assured and you keep the right to self-rule.\Warbeasts\We can both share the continent's resources.\The Eastern Federation becomes the Elkia Federation.\Elkia Federation\Well? response:	Do we both win, or do we both lose? Which do you prefer?
context: Eastern Federation Elkia\but your rights are assured and you keep the right to self-rule.\Warbeasts\We can both share the continent's resources.\The Eastern Federation becomes the Elkia Federation.\Elkia Federation\Well?\Do we both win, or do we both lose? Which do you prefer? response:	Weren't you going to take over the
context: but your rights are assured and you keep the right to self-rule.\Warbeasts\We can both share the continent's resources.\The Eastern Federation becomes the Elkia Federation.\Elkia Federation\Well?\Do we both win, or do we both lose? Which do you prefer?\Weren't you going to take over the response:	Eastern Federation and destroy the Warbeasts?
context: Warbeasts\We can both share the continent's resources.\The Eastern Federation becomes the Elkia Federation.\Elkia Federation\Well?\Do we both win, or do we both lose? Which do you prefer?\Weren't you going to take over the\Eastern Federation and destroy the Warbeasts? response:	That's totally wrong.
context: We can both share the continent's resources.\The Eastern Federation becomes the Elkia Federation.\Elkia Federation\Well?\Do we both win, or do we both lose? Which do you prefer?\Weren't you going to take over the\Eastern Federation and destroy the Warbeasts?\That's totally wrong. response:	Why would I destroy my animal girl paradise?
context: The Eastern Federation becomes the Elkia Federation.\Elkia Federation\Well?\Do we both win, or do we both lose? Which do you prefer?\Weren't you going to take over the\Eastern Federation and destroy the Warbeasts?\That's totally wrong.\Why would I destroy my animal girl paradise? response:	It's a race filled with ultimate pretty animals like Izuna!
context: Elkia Federation\Well?\Do we both win, or do we both lose? Which do you prefer?\Weren't you going to take over the\Eastern Federation and destroy the Warbeasts?\That's totally wrong.\Why would I destroy my animal girl paradise?\It's a race filled with ultimate pretty animals like Izuna! response:	Why the hell would I want to destroy a treasure like that?
context: Well?\Do we both win, or do we both lose? Which do you prefer?\Weren't you going to take over the\Eastern Federation and destroy the Warbeasts?\That's totally wrong.\Why would I destroy my animal girl paradise?\It's a race filled with ultimate pretty animals like Izuna!\Why the hell would I want to destroy a treasure like that? response:	Cute is Ultimate Justice!
context: Do we both win, or do we both lose? Which do you prefer?\Weren't you going to take over the\Eastern Federation and destroy the Warbeasts?\That's totally wrong.\Why would I destroy my animal girl paradise?\It's a race filled with ultimate pretty animals like Izuna!\Why the hell would I want to destroy a treasure like that?\Cute is Ultimate Justice! response:	Animal Ear Love
context: Weren't you going to take over the\Eastern Federation and destroy the Warbeasts?\That's totally wrong.\Why would I destroy my animal girl paradise?\It's a race filled with ultimate pretty animals like Izuna!\Why the hell would I want to destroy a treasure like that?\Cute is Ultimate Justice!\Animal Ear Love response:	You're too passionate, Brother.
context: Eastern Federation and destroy the Warbeasts?\That's totally wrong.\Why would I destroy my animal girl paradise?\It's a race filled with ultimate pretty animals like Izuna!\Why the hell would I want to destroy a treasure like that?\Cute is Ultimate Justice!\Animal Ear Love\You're too passionate, Brother. response:	Really...
context: That's totally wrong.\Why would I destroy my animal girl paradise?\It's a race filled with ultimate pretty animals like Izuna!\Why the hell would I want to destroy a treasure like that?\Cute is Ultimate Justice!\Animal Ear Love\You're too passionate, Brother.\Really... response:	So we really were playing into your hands the whole time.
context: Why would I destroy my animal girl paradise?\It's a race filled with ultimate pretty animals like Izuna!\Why the hell would I want to destroy a treasure like that?\Cute is Ultimate Justice!\Animal Ear Love\You're too passionate, Brother.\Really...\So we really were playing into your hands the whole time. response:	However, even if our nations unite,
context: It's a race filled with ultimate pretty animals like Izuna!\Why the hell would I want to destroy a treasure like that?\Cute is Ultimate Justice!\Animal Ear Love\You're too passionate, Brother.\Really...\So we really were playing into your hands the whole time.\However, even if our nations unite, response:	thanks to you, the elves know our secrets.
context: Why the hell would I want to destroy a treasure like that?\Cute is Ultimate Justice!\Animal Ear Love\You're too passionate, Brother.\Really...\So we really were playing into your hands the whole time.\However, even if our nations unite,\thanks to you, the elves know our secrets. response:	Elven Garde will declare war on us someday.
context: Cute is Ultimate Justice!\Animal Ear Love\You're too passionate, Brother.\Really...\So we really were playing into your hands the whole time.\However, even if our nations unite,\thanks to you, the elves know our secrets.\Elven Garde will declare war on us someday. response:	I'm sure they will.
context: Animal Ear Love\You're too passionate, Brother.\Really...\So we really were playing into your hands the whole time.\However, even if our nations unite,\thanks to you, the elves know our secrets.\Elven Garde will declare war on us someday.\I'm sure they will. response:	So when they do, let's kick their asses.
context: You're too passionate, Brother.\Really...\So we really were playing into your hands the whole time.\However, even if our nations unite,\thanks to you, the elves know our secrets.\Elven Garde will declare war on us someday.\I'm sure they will.\So when they do, let's kick their asses. response:	You think you can do that?
context: Really...\So we really were playing into your hands the whole time.\However, even if our nations unite,\thanks to you, the elves know our secrets.\Elven Garde will declare war on us someday.\I'm sure they will.\So when they do, let's kick their asses.\You think you can do that? response:	I can.
context: So we really were playing into your hands the whole time.\However, even if our nations unite,\thanks to you, the elves know our secrets.\Elven Garde will declare war on us someday.\I'm sure they will.\So when they do, let's kick their asses.\You think you can do that?\I can. response:	Our spy actually had
context: However, even if our nations unite,\thanks to you, the elves know our secrets.\Elven Garde will declare war on us someday.\I'm sure they will.\So when they do, let's kick their asses.\You think you can do that?\I can.\Our spy actually had response:	her memories altered by the pledges before she reported to Elven Garde.
context: thanks to you, the elves know our secrets.\Elven Garde will declare war on us someday.\I'm sure they will.\So when they do, let's kick their asses.\You think you can do that?\I can.\Our spy actually had\her memories altered by the pledges before she reported to Elven Garde. response:	So she gave them the wrong information about your game.
context: Elven Garde will declare war on us someday.\I'm sure they will.\So when they do, let's kick their asses.\You think you can do that?\I can.\Our spy actually had\her memories altered by the pledges before she reported to Elven Garde.\So she gave them the wrong information about your game. response:	So the reason you fought Kurami for the right to alter her memories...
context: I'm sure they will.\So when they do, let's kick their asses.\You think you can do that?\I can.\Our spy actually had\her memories altered by the pledges before she reported to Elven Garde.\So she gave them the wrong information about your game.\So the reason you fought Kurami for the right to alter her memories... response:	Now, when Elven Garde attacks us, we're sure to win.
context: So when they do, let's kick their asses.\You think you can do that?\I can.\Our spy actually had\her memories altered by the pledges before she reported to Elven Garde.\So she gave them the wrong information about your game.\So the reason you fought Kurami for the right to alter her memories...\Now, when Elven Garde attacks us, we're sure to win. response:	Then we get the elves' nation, too.
context: You think you can do that?\I can.\Our spy actually had\her memories altered by the pledges before she reported to Elven Garde.\So she gave them the wrong information about your game.\So the reason you fought Kurami for the right to alter her memories...\Now, when Elven Garde attacks us, we're sure to win.\Then we get the elves' nation, too. response:	You thought it through that far?
context: I can.\Our spy actually had\her memories altered by the pledges before she reported to Elven Garde.\So she gave them the wrong information about your game.\So the reason you fought Kurami for the right to alter her memories...\Now, when Elven Garde attacks us, we're sure to win.\Then we get the elves' nation, too.\You thought it through that far? response:	Checkmate doesn't mean you've simply cornered the enemy king.
context: Our spy actually had\her memories altered by the pledges before she reported to Elven Garde.\So she gave them the wrong information about your game.\So the reason you fought Kurami for the right to alter her memories...\Now, when Elven Garde attacks us, we're sure to win.\Then we get the elves' nation, too.\You thought it through that far?\Checkmate doesn't mean you've simply cornered the enemy king. response:	It's a declaration that the enemy king is yours.
context: her memories altered by the pledges before she reported to Elven Garde.\So she gave them the wrong information about your game.\So the reason you fought Kurami for the right to alter her memories...\Now, when Elven Garde attacks us, we're sure to win.\Then we get the elves' nation, too.\You thought it through that far?\Checkmate doesn't mean you've simply cornered the enemy king.\It's a declaration that the enemy king is yours. response:	That's why I said it the first time I met you.
context: So she gave them the wrong information about your game.\So the reason you fought Kurami for the right to alter her memories...\Now, when Elven Garde attacks us, we're sure to win.\Then we get the elves' nation, too.\You thought it through that far?\Checkmate doesn't mean you've simply cornered the enemy king.\It's a declaration that the enemy king is yours.\That's why I said it the first time I met you. response:	Checkmate.
context: So the reason you fought Kurami for the right to alter her memories...\Now, when Elven Garde attacks us, we're sure to win.\Then we get the elves' nation, too.\You thought it through that far?\Checkmate doesn't mean you've simply cornered the enemy king.\It's a declaration that the enemy king is yours.\That's why I said it the first time I met you.\Checkmate. response:	So, which will it be?
context: Now, when Elven Garde attacks us, we're sure to win.\Then we get the elves' nation, too.\You thought it through that far?\Checkmate doesn't mean you've simply cornered the enemy king.\It's a declaration that the enemy king is yours.\That's why I said it the first time I met you.\Checkmate.\So, which will it be? response:	Do we both win, or do we both lose?
context: Then we get the elves' nation, too.\You thought it through that far?\Checkmate doesn't mean you've simply cornered the enemy king.\It's a declaration that the enemy king is yours.\That's why I said it the first time I met you.\Checkmate.\So, which will it be?\Do we both win, or do we both lose? response:	Are you really going to make me say it? Meanie.
context: You thought it through that far?\Checkmate doesn't mean you've simply cornered the enemy king.\It's a declaration that the enemy king is yours.\That's why I said it the first time I met you.\Checkmate.\So, which will it be?\Do we both win, or do we both lose?\Are you really going to make me say it? Meanie. response:	We both win.
context: Checkmate doesn't mean you've simply cornered the enemy king.\It's a declaration that the enemy king is yours.\That's why I said it the first time I met you.\Checkmate.\So, which will it be?\Do we both win, or do we both lose?\Are you really going to make me say it? Meanie.\We both win. response:	Okay, now...
context: It's a declaration that the enemy king is yours.\That's why I said it the first time I met you.\Checkmate.\So, which will it be?\Do we both win, or do we both lose?\Are you really going to make me say it? Meanie.\We both win.\Okay, now... response:	Find a place to stay Learn about this world Get a Flugel Take over the Eastern Federation
context: That's why I said it the first time I met you.\Checkmate.\So, which will it be?\Do we both win, or do we both lose?\Are you really going to make me say it? Meanie.\We both win.\Okay, now...\Find a place to stay Learn about this world Get a Flugel Take over the Eastern Federation response:	The Elkia Federation is born!
context: Checkmate.\So, which will it be?\Do we both win, or do we both lose?\Are you really going to make me say it? Meanie.\We both win.\Okay, now...\Find a place to stay Learn about this world Get a Flugel Take over the Eastern Federation\The Elkia Federation is born! response:	What are you going to do?
context: So, which will it be?\Do we both win, or do we both lose?\Are you really going to make me say it? Meanie.\We both win.\Okay, now...\Find a place to stay Learn about this world Get a Flugel Take over the Eastern Federation\The Elkia Federation is born!\What are you going to do? response:	Don't tell me you're going to start another great war.
context: Do we both win, or do we both lose?\Are you really going to make me say it? Meanie.\We both win.\Okay, now...\Find a place to stay Learn about this world Get a Flugel Take over the Eastern Federation\The Elkia Federation is born!\What are you going to do?\Don't tell me you're going to start another great war. response:	If I wanted that, I would've taken your Race Piece.
context: Are you really going to make me say it? Meanie.\We both win.\Okay, now...\Find a place to stay Learn about this world Get a Flugel Take over the Eastern Federation\The Elkia Federation is born!\What are you going to do?\Don't tell me you're going to start another great war.\If I wanted that, I would've taken your Race Piece. response:	Those must never be taken, so we won't.
context: We both win.\Okay, now...\Find a place to stay Learn about this world Get a Flugel Take over the Eastern Federation\The Elkia Federation is born!\What are you going to do?\Don't tell me you're going to start another great war.\If I wanted that, I would've taken your Race Piece.\Those must never be taken, so we won't. response:	Yup.
context: Okay, now...\Find a place to stay Learn about this world Get a Flugel Take over the Eastern Federation\The Elkia Federation is born!\What are you going to do?\Don't tell me you're going to start another great war.\If I wanted that, I would've taken your Race Piece.\Those must never be taken, so we won't.\Yup. response:	Our goal has never changed.
context: Find a place to stay Learn about this world Get a Flugel Take over the Eastern Federation\The Elkia Federation is born!\What are you going to do?\Don't tell me you're going to start another great war.\If I wanted that, I would've taken your Race Piece.\Those must never be taken, so we won't.\Yup.\Our goal has never changed. response:	It's simple and straightforward.
context: The Elkia Federation is born!\What are you going to do?\Don't tell me you're going to start another great war.\If I wanted that, I would've taken your Race Piece.\Those must never be taken, so we won't.\Yup.\Our goal has never changed.\It's simple and straightforward. response:	Beat Tet.
context: What are you going to do?\Don't tell me you're going to start another great war.\If I wanted that, I would've taken your Race Piece.\Those must never be taken, so we won't.\Yup.\Our goal has never changed.\It's simple and straightforward.\Beat Tet. response:	That's all.
context: Don't tell me you're going to start another great war.\If I wanted that, I would've taken your Race Piece.\Those must never be taken, so we won't.\Yup.\Our goal has never changed.\It's simple and straightforward.\Beat Tet.\That's all. response:	Beat him?
context: If I wanted that, I would've taken your Race Piece.\Those must never be taken, so we won't.\Yup.\Our goal has never changed.\It's simple and straightforward.\Beat Tet.\That's all.\Beat him? response:	He's the one true god!
context: Those must never be taken, so we won't.\Yup.\Our goal has never changed.\It's simple and straightforward.\Beat Tet.\That's all.\Beat him?\He's the one true god! response:	Yeah? And?
context: Yup.\Our goal has never changed.\It's simple and straightforward.\Beat Tet.\That's all.\Beat him?\He's the one true god!\Yeah? And? response:	Is that a problem?
context: Our goal has never changed.\It's simple and straightforward.\Beat Tet.\That's all.\Beat him?\He's the one true god!\Yeah? And?\Is that a problem? response:	You're going to try and beat a god?
context: It's simple and straightforward.\Beat Tet.\That's all.\Beat him?\He's the one true god!\Yeah? And?\Is that a problem?\You're going to try and beat a god? response:	You come up with the funniest ideas.
context: Beat Tet.\That's all.\Beat him?\He's the one true god!\Yeah? And?\Is that a problem?\You're going to try and beat a god?\You come up with the funniest ideas. response:	Do you think you can do it?
context: That's all.\Beat him?\He's the one true god!\Yeah? And?\Is that a problem?\You're going to try and beat a god?\You come up with the funniest ideas.\Do you think you can do it? response:	Dunno!
context: Beat him?\He's the one true god!\Yeah? And?\Is that a problem?\You're going to try and beat a god?\You come up with the funniest ideas.\Do you think you can do it?\Dunno! response:	We don't have a clue about the specifics,
context: He's the one true god!\Yeah? And?\Is that a problem?\You're going to try and beat a god?\You come up with the funniest ideas.\Do you think you can do it?\Dunno!\We don't have a clue about the specifics, response:	but we have hints.
context: Yeah? And?\Is that a problem?\You're going to try and beat a god?\You come up with the funniest ideas.\Do you think you can do it?\Dunno!\We don't have a clue about the specifics,\but we have hints. response:	First, why are the Race Pieces shaped like this?
context: Is that a problem?\You're going to try and beat a god?\You come up with the funniest ideas.\Do you think you can do it?\Dunno!\We don't have a clue about the specifics,\but we have hints.\First, why are the Race Pieces shaped like this? response:	Second...
context: You're going to try and beat a god?\You come up with the funniest ideas.\Do you think you can do it?\Dunno!\We don't have a clue about the specifics,\but we have hints.\First, why are the Race Pieces shaped like this?\Second... response:	Why are there sixteen races, the Exceed, in this world?
context: You come up with the funniest ideas.\Do you think you can do it?\Dunno!\We don't have a clue about the specifics,\but we have hints.\First, why are the Race Pieces shaped like this?\Second...\Why are there sixteen races, the Exceed, in this world? response:	Third...
context: Do you think you can do it?\Dunno!\We don't have a clue about the specifics,\but we have hints.\First, why are the Race Pieces shaped like this?\Second...\Why are there sixteen races, the Exceed, in this world?\Third... response:	What are those things I see on the horizon?
context: Dunno!\We don't have a clue about the specifics,\but we have hints.\First, why are the Race Pieces shaped like this?\Second...\Why are there sixteen races, the Exceed, in this world?\Third...\What are those things I see on the horizon? response:	In other words, gathering all the pieces is what
context: We don't have a clue about the specifics,\but we have hints.\First, why are the Race Pieces shaped like this?\Second...\Why are there sixteen races, the Exceed, in this world?\Third...\What are those things I see on the horizon?\In other words, gathering all the pieces is what response:	gives you the right to challenge God.
context: but we have hints.\First, why are the Race Pieces shaped like this?\Second...\Why are there sixteen races, the Exceed, in this world?\Third...\What are those things I see on the horizon?\In other words, gathering all the pieces is what\gives you the right to challenge God. response:	But doesn't that mean you have to take our Race Pieces?
context: First, why are the Race Pieces shaped like this?\Second...\Why are there sixteen races, the Exceed, in this world?\Third...\What are those things I see on the horizon?\In other words, gathering all the pieces is what\gives you the right to challenge God.\But doesn't that mean you have to take our Race Pieces? response:	Nope.
context: Second...\Why are there sixteen races, the Exceed, in this world?\Third...\What are those things I see on the horizon?\In other words, gathering all the pieces is what\gives you the right to challenge God.\But doesn't that mean you have to take our Race Pieces?\Nope. response:	That would go against the pledges.
context: Why are there sixteen races, the Exceed, in this world?\Third...\What are those things I see on the horizon?\In other words, gathering all the pieces is what\gives you the right to challenge God.\But doesn't that mean you have to take our Race Pieces?\Nope.\That would go against the pledges. response:	The pledges?
context: Third...\What are those things I see on the horizon?\In other words, gathering all the pieces is what\gives you the right to challenge God.\But doesn't that mean you have to take our Race Pieces?\Nope.\That would go against the pledges.\The pledges? response:	Fourth, why put a rule into the pledges that doesn't
context: What are those things I see on the horizon?\In other words, gathering all the pieces is what\gives you the right to challenge God.\But doesn't that mean you have to take our Race Pieces?\Nope.\That would go against the pledges.\The pledges?\Fourth, why put a rule into the pledges that doesn't response:	Ten Pledges
context: In other words, gathering all the pieces is what\gives you the right to challenge God.\But doesn't that mean you have to take our Race Pieces?\Nope.\That would go against the pledges.\The pledges?\Fourth, why put a rule into the pledges that doesn't\Ten Pledges response:	1. All murder, war, and robbery is forbidden in this world. 2. All conflict in this world will be resolved through games. 3. In games, each player will bet something that they agree is of equal value. 4. As long as it doesn't violate pledge three, anything may be bet, and any game may be played. 5. The challenged party has the right to decide the rules of the game.
context: gives you the right to challenge God.\But doesn't that mean you have to take our Race Pieces?\Nope.\That would go against the pledges.\The pledges?\Fourth, why put a rule into the pledges that doesn't\Ten Pledges\1. All murder, war, and robbery is forbidden in this world. 2. All conflict in this world will be resolved through games. 3. In games, each player will bet something that they agree is of equal value. 4. As long as it doesn't violate pledge three, anything may be bet, and any game may be played. 5. The challenged party has the right to decide the rules of the game. response:	have to be followed?
context: But doesn't that mean you have to take our Race Pieces?\Nope.\That would go against the pledges.\The pledges?\Fourth, why put a rule into the pledges that doesn't\Ten Pledges\1. All murder, war, and robbery is forbidden in this world. 2. All conflict in this world will be resolved through games. 3. In games, each player will bet something that they agree is of equal value. 4. As long as it doesn't violate pledge three, anything may be bet, and any game may be played. 5. The challenged party has the right to decide the rules of the game.\have to be followed? response:	What do you mean?
context: Nope.\That would go against the pledges.\The pledges?\Fourth, why put a rule into the pledges that doesn't\Ten Pledges\1. All murder, war, and robbery is forbidden in this world. 2. All conflict in this world will be resolved through games. 3. In games, each player will bet something that they agree is of equal value. 4. As long as it doesn't violate pledge three, anything may be bet, and any game may be played. 5. The challenged party has the right to decide the rules of the game.\have to be followed?\What do you mean? response:	6. Any bets made in accordance with the pledges must be upheld. 7. Conflicts between groups will be conducted by designated representatives with absolute authority. 8. Being caught cheating during a game is grounds for an instant loss. 9. In the name of God, the previous rules may never be changed.
context: That would go against the pledges.\The pledges?\Fourth, why put a rule into the pledges that doesn't\Ten Pledges\1. All murder, war, and robbery is forbidden in this world. 2. All conflict in this world will be resolved through games. 3. In games, each player will bet something that they agree is of equal value. 4. As long as it doesn't violate pledge three, anything may be bet, and any game may be played. 5. The challenged party has the right to decide the rules of the game.\have to be followed?\What do you mean?\6. Any bets made in accordance with the pledges must be upheld. 7. Conflicts between groups will be conducted by designated representatives with absolute authority. 8. Being caught cheating during a game is grounds for an instant loss. 9. In the name of God, the previous rules may never be changed. response:	10. Let's all have fun and play together!
context: The pledges?\Fourth, why put a rule into the pledges that doesn't\Ten Pledges\1. All murder, war, and robbery is forbidden in this world. 2. All conflict in this world will be resolved through games. 3. In games, each player will bet something that they agree is of equal value. 4. As long as it doesn't violate pledge three, anything may be bet, and any game may be played. 5. The challenged party has the right to decide the rules of the game.\have to be followed?\What do you mean?\6. Any bets made in accordance with the pledges must be upheld. 7. Conflicts between groups will be conducted by designated representatives with absolute authority. 8. Being caught cheating during a game is grounds for an instant loss. 9. In the name of God, the previous rules may never be changed.\10. Let's all have fun and play together! response:	Did you forget?
context: Fourth, why put a rule into the pledges that doesn't\Ten Pledges\1. All murder, war, and robbery is forbidden in this world. 2. All conflict in this world will be resolved through games. 3. In games, each player will bet something that they agree is of equal value. 4. As long as it doesn't violate pledge three, anything may be bet, and any game may be played. 5. The challenged party has the right to decide the rules of the game.\have to be followed?\What do you mean?\6. Any bets made in accordance with the pledges must be upheld. 7. Conflicts between groups will be conducted by designated representatives with absolute authority. 8. Being caught cheating during a game is grounds for an instant loss. 9. In the name of God, the previous rules may never be changed.\10. Let's all have fun and play together!\Did you forget? response:	Pledge 10.
context: Ten Pledges\1. All murder, war, and robbery is forbidden in this world. 2. All conflict in this world will be resolved through games. 3. In games, each player will bet something that they agree is of equal value. 4. As long as it doesn't violate pledge three, anything may be bet, and any game may be played. 5. The challenged party has the right to decide the rules of the game.\have to be followed?\What do you mean?\6. Any bets made in accordance with the pledges must be upheld. 7. Conflicts between groups will be conducted by designated representatives with absolute authority. 8. Being caught cheating during a game is grounds for an instant loss. 9. In the name of God, the previous rules may never be changed.\10. Let's all have fun and play together!\Did you forget?\Pledge 10. response:	10. Let's all have fun and play together!
