context: Don't touch me with your right hand! response:	This is the last cherry bomb I have.
context: It's a promise.\Please go after my brother.\Eve- chan, are you sure?\That man is the one responsible for the deaths in your family!\If this sounds like I'm making excuses, so be it,\but Raymond and Geoffrey were not killed on my orders.\This man here did it all on his own.\Boss... response:	It's you, isn't it, Boss? You came to rescue-
context: Please go after my brother.\Eve- chan, are you sure?\That man is the one responsible for the deaths in your family!\If this sounds like I'm making excuses, so be it,\but Raymond and Geoffrey were not killed on my orders.\This man here did it all on his own.\Boss...\It's you, isn't it, Boss? You came to rescue- response:	Does that somewhat help to demonstrate the way things are?
context: Eve- chan, are you sure?\That man is the one responsible for the deaths in your family!\If this sounds like I'm making excuses, so be it,\but Raymond and Geoffrey were not killed on my orders.\This man here did it all on his own.\Boss...\It's you, isn't it, Boss? You came to rescue-\Does that somewhat help to demonstrate the way things are? response:	I want to show my brother that there are such things as miracles.
context: That man is the one responsible for the deaths in your family!\If this sounds like I'm making excuses, so be it,\but Raymond and Geoffrey were not killed on my orders.\This man here did it all on his own.\Boss...\It's you, isn't it, Boss? You came to rescue-\Does that somewhat help to demonstrate the way things are?\I want to show my brother that there are such things as miracles. response:	If I rescue him from the hell of the river bottom,
context: If this sounds like I'm making excuses, so be it,\but Raymond and Geoffrey were not killed on my orders.\This man here did it all on his own.\Boss...\It's you, isn't it, Boss? You came to rescue-\Does that somewhat help to demonstrate the way things are?\I want to show my brother that there are such things as miracles.\If I rescue him from the hell of the river bottom, response:	I think my brother will realize that.
context: but Raymond and Geoffrey were not killed on my orders.\This man here did it all on his own.\Boss...\It's you, isn't it, Boss? You came to rescue-\Does that somewhat help to demonstrate the way things are?\I want to show my brother that there are such things as miracles.\If I rescue him from the hell of the river bottom,\I think my brother will realize that. response:	Pardon the intrusion, Gandor.
context: This man here did it all on his own.\Boss...\It's you, isn't it, Boss? You came to rescue-\Does that somewhat help to demonstrate the way things are?\I want to show my brother that there are such things as miracles.\If I rescue him from the hell of the river bottom,\I think my brother will realize that.\Pardon the intrusion, Gandor. response:	Eve- chan!
context: Boss...\It's you, isn't it, Boss? You came to rescue-\Does that somewhat help to demonstrate the way things are?\I want to show my brother that there are such things as miracles.\If I rescue him from the hell of the river bottom,\I think my brother will realize that.\Pardon the intrusion, Gandor.\Eve- chan! response:	Oh! Ennis, Firo, and Maiza!
context: It's you, isn't it, Boss? You came to rescue-\Does that somewhat help to demonstrate the way things are?\I want to show my brother that there are such things as miracles.\If I rescue him from the hell of the river bottom,\I think my brother will realize that.\Pardon the intrusion, Gandor.\Eve- chan!\Oh! Ennis, Firo, and Maiza! response:	Long time no see, my fine fellows!
context: Does that somewhat help to demonstrate the way things are?\I want to show my brother that there are such things as miracles.\If I rescue him from the hell of the river bottom,\I think my brother will realize that.\Pardon the intrusion, Gandor.\Eve- chan!\Oh! Ennis, Firo, and Maiza!\Long time no see, my fine fellows! response:	I'm so glad to see you're all doing so well!
context: I want to show my brother that there are such things as miracles.\If I rescue him from the hell of the river bottom,\I think my brother will realize that.\Pardon the intrusion, Gandor.\Eve- chan!\Oh! Ennis, Firo, and Maiza!\Long time no see, my fine fellows!\I'm so glad to see you're all doing so well! response:	Oh yeah, Ennis! This boy's name is Czes- kun!
context: If I rescue him from the hell of the river bottom,\I think my brother will realize that.\Pardon the intrusion, Gandor.\Eve- chan!\Oh! Ennis, Firo, and Maiza!\Long time no see, my fine fellows!\I'm so glad to see you're all doing so well!\Oh yeah, Ennis! This boy's name is Czes- kun! response:	That's right, Ennis! Let this boy be your younger brother!
context: I think my brother will realize that.\Pardon the intrusion, Gandor.\Eve- chan!\Oh! Ennis, Firo, and Maiza!\Long time no see, my fine fellows!\I'm so glad to see you're all doing so well!\Oh yeah, Ennis! This boy's name is Czes- kun!\That's right, Ennis! Let this boy be your younger brother! response:	That would be great!
context: Pardon the intrusion, Gandor.\Eve- chan!\Oh! Ennis, Firo, and Maiza!\Long time no see, my fine fellows!\I'm so glad to see you're all doing so well!\Oh yeah, Ennis! This boy's name is Czes- kun!\That's right, Ennis! Let this boy be your younger brother!\That would be great! response:	This is our gift!
context: Eve- chan!\Oh! Ennis, Firo, and Maiza!\Long time no see, my fine fellows!\I'm so glad to see you're all doing so well!\Oh yeah, Ennis! This boy's name is Czes- kun!\That's right, Ennis! Let this boy be your younger brother!\That would be great!\This is our gift! response:	Especially for you!
context: Oh! Ennis, Firo, and Maiza!\Long time no see, my fine fellows!\I'm so glad to see you're all doing so well!\Oh yeah, Ennis! This boy's name is Czes- kun!\That's right, Ennis! Let this boy be your younger brother!\That would be great!\This is our gift!\Especially for you! response:	Hello.
context: Long time no see, my fine fellows!\I'm so glad to see you're all doing so well!\Oh yeah, Ennis! This boy's name is Czes- kun!\That's right, Ennis! Let this boy be your younger brother!\That would be great!\This is our gift!\Especially for you!\Hello. response:	Hello.
context: I'm so glad to see you're all doing so well!\Oh yeah, Ennis! This boy's name is Czes- kun!\That's right, Ennis! Let this boy be your younger brother!\That would be great!\This is our gift!\Especially for you!\Hello.\Hello. response:	Czes...
context: Oh yeah, Ennis! This boy's name is Czes- kun!\That's right, Ennis! Let this boy be your younger brother!\That would be great!\This is our gift!\Especially for you!\Hello.\Hello.\Czes... response:	Maiza...
context: That's right, Ennis! Let this boy be your younger brother!\That would be great!\This is our gift!\Especially for you!\Hello.\Hello.\Czes...\Maiza... response:	I came to this city in order to devour this man.
context: That would be great!\This is our gift!\Especially for you!\Hello.\Hello.\Czes...\Maiza...\I came to this city in order to devour this man. response:	Does this mean these two know each other, Miria?
context: This is our gift!\Especially for you!\Hello.\Hello.\Czes...\Maiza...\I came to this city in order to devour this man.\Does this mean these two know each other, Miria? response:	I'm sure that's it, Isaac.
context: Especially for you!\Hello.\Hello.\Czes...\Maiza...\I came to this city in order to devour this man.\Does this mean these two know each other, Miria?\I'm sure that's it, Isaac. response:	Czes- kun said he was coming here to see an acquaintance.
context: Hello.\Hello.\Czes...\Maiza...\I came to this city in order to devour this man.\Does this mean these two know each other, Miria?\I'm sure that's it, Isaac.\Czes- kun said he was coming here to see an acquaintance. response:	He's here.
context: Hello.\Czes...\Maiza...\I came to this city in order to devour this man.\Does this mean these two know each other, Miria?\I'm sure that's it, Isaac.\Czes- kun said he was coming here to see an acquaintance.\He's here. response:	Now he's going to put his right hand on my head, and try to devour me.
context: Czes...\Maiza...\I came to this city in order to devour this man.\Does this mean these two know each other, Miria?\I'm sure that's it, Isaac.\Czes- kun said he was coming here to see an acquaintance.\He's here.\Now he's going to put his right hand on my head, and try to devour me. response:	Devour him before he does!
context: Maiza...\I came to this city in order to devour this man.\Does this mean these two know each other, Miria?\I'm sure that's it, Isaac.\Czes- kun said he was coming here to see an acquaintance.\He's here.\Now he's going to put his right hand on my head, and try to devour me.\Devour him before he does! response:	Go on, stick your right hand out toward Maiza!
context: I came to this city in order to devour this man.\Does this mean these two know each other, Miria?\I'm sure that's it, Isaac.\Czes- kun said he was coming here to see an acquaintance.\He's here.\Now he's going to put his right hand on my head, and try to devour me.\Devour him before he does!\Go on, stick your right hand out toward Maiza! response:	What's he doing? It's a trick.
context: Does this mean these two know each other, Miria?\I'm sure that's it, Isaac.\Czes- kun said he was coming here to see an acquaintance.\He's here.\Now he's going to put his right hand on my head, and try to devour me.\Devour him before he does!\Go on, stick your right hand out toward Maiza!\What's he doing? It's a trick. response:	He's pretending to be considerate,
context: I'm sure that's it, Isaac.\Czes- kun said he was coming here to see an acquaintance.\He's here.\Now he's going to put his right hand on my head, and try to devour me.\Devour him before he does!\Go on, stick your right hand out toward Maiza!\What's he doing? It's a trick.\He's pretending to be considerate, response:	but it's a scheme to devour me at his leisure afterward...
context: Czes- kun said he was coming here to see an acquaintance.\He's here.\Now he's going to put his right hand on my head, and try to devour me.\Devour him before he does!\Go on, stick your right hand out toward Maiza!\What's he doing? It's a trick.\He's pretending to be considerate,\but it's a scheme to devour me at his leisure afterward... response:	It's all right, Czes.
context: He's here.\Now he's going to put his right hand on my head, and try to devour me.\Devour him before he does!\Go on, stick your right hand out toward Maiza!\What's he doing? It's a trick.\He's pretending to be considerate,\but it's a scheme to devour me at his leisure afterward...\It's all right, Czes. response:	Don't be fooled!
context: Now he's going to put his right hand on my head, and try to devour me.\Devour him before he does!\Go on, stick your right hand out toward Maiza!\What's he doing? It's a trick.\He's pretending to be considerate,\but it's a scheme to devour me at his leisure afterward...\It's all right, Czes.\Don't be fooled! response:	It's all right. Just like it used to be.
context: Devour him before he does!\Go on, stick your right hand out toward Maiza!\What's he doing? It's a trick.\He's pretending to be considerate,\but it's a scheme to devour me at his leisure afterward...\It's all right, Czes.\Don't be fooled!\It's all right. Just like it used to be. response:	It's already set in motion...
context: Go on, stick your right hand out toward Maiza!\What's he doing? It's a trick.\He's pretending to be considerate,\but it's a scheme to devour me at his leisure afterward...\It's all right, Czes.\Don't be fooled!\It's all right. Just like it used to be.\It's already set in motion... response:	Maiza...
context: What's he doing? It's a trick.\He's pretending to be considerate,\but it's a scheme to devour me at his leisure afterward...\It's all right, Czes.\Don't be fooled!\It's all right. Just like it used to be.\It's already set in motion...\Maiza... response:	I couldn't ever go back to that ship...
context: He's pretending to be considerate,\but it's a scheme to devour me at his leisure afterward...\It's all right, Czes.\Don't be fooled!\It's all right. Just like it used to be.\It's already set in motion...\Maiza...\I couldn't ever go back to that ship... response:	I've missed you!
context: but it's a scheme to devour me at his leisure afterward...\It's all right, Czes.\Don't be fooled!\It's all right. Just like it used to be.\It's already set in motion...\Maiza...\I couldn't ever go back to that ship...\I've missed you! response:	I've missed you, Maiza!
context: It's all right, Czes.\Don't be fooled!\It's all right. Just like it used to be.\It's already set in motion...\Maiza...\I couldn't ever go back to that ship...\I've missed you!\I've missed you, Maiza! response:	Firo...
context: Don't be fooled!\It's all right. Just like it used to be.\It's already set in motion...\Maiza...\I couldn't ever go back to that ship...\I've missed you!\I've missed you, Maiza!\Firo... response:	Maiza- san, I understand everything.
context: It's all right. Just like it used to be.\It's already set in motion...\Maiza...\I couldn't ever go back to that ship...\I've missed you!\I've missed you, Maiza!\Firo...\Maiza- san, I understand everything. response:	Firo... In that case, I don't need to say it.
context: It's already set in motion...\Maiza...\I couldn't ever go back to that ship...\I've missed you!\I've missed you, Maiza!\Firo...\Maiza- san, I understand everything.\Firo... In that case, I don't need to say it. response:	You, of all people...
context: Maiza...\I couldn't ever go back to that ship...\I've missed you!\I've missed you, Maiza!\Firo...\Maiza- san, I understand everything.\Firo... In that case, I don't need to say it.\You, of all people... response:	What's the matter, Maiza- san?
context: I couldn't ever go back to that ship...\I've missed you!\I've missed you, Maiza!\Firo...\Maiza- san, I understand everything.\Firo... In that case, I don't need to say it.\You, of all people...\What's the matter, Maiza- san? response:	To have given the agony of living forever to all of you...
context: I've missed you!\I've missed you, Maiza!\Firo...\Maiza- san, I understand everything.\Firo... In that case, I don't need to say it.\You, of all people...\What's the matter, Maiza- san?\To have given the agony of living forever to all of you... response:	What are you talking about, Maiza- san?
context: I've missed you, Maiza!\Firo...\Maiza- san, I understand everything.\Firo... In that case, I don't need to say it.\You, of all people...\What's the matter, Maiza- san?\To have given the agony of living forever to all of you...\What are you talking about, Maiza- san? response:	None of us mind one bit. We'd rather not die.
context: Firo...\Maiza- san, I understand everything.\Firo... In that case, I don't need to say it.\You, of all people...\What's the matter, Maiza- san?\To have given the agony of living forever to all of you...\What are you talking about, Maiza- san?\None of us mind one bit. We'd rather not die. response:	We feel like saying yahoo!
context: Maiza- san, I understand everything.\Firo... In that case, I don't need to say it.\You, of all people...\What's the matter, Maiza- san?\To have given the agony of living forever to all of you...\What are you talking about, Maiza- san?\None of us mind one bit. We'd rather not die.\We feel like saying yahoo! response:	I'm not sure I really get it, but yahoo!
context: Firo... In that case, I don't need to say it.\You, of all people...\What's the matter, Maiza- san?\To have given the agony of living forever to all of you...\What are you talking about, Maiza- san?\None of us mind one bit. We'd rather not die.\We feel like saying yahoo!\I'm not sure I really get it, but yahoo! response:	Yahoo! Cheer up, Maiza!
context: You, of all people...\What's the matter, Maiza- san?\To have given the agony of living forever to all of you...\What are you talking about, Maiza- san?\None of us mind one bit. We'd rather not die.\We feel like saying yahoo!\I'm not sure I really get it, but yahoo!\Yahoo! Cheer up, Maiza! response:	As long as they don't say anything, the boss and Yaguruma- san
context: What's the matter, Maiza- san?\To have given the agony of living forever to all of you...\What are you talking about, Maiza- san?\None of us mind one bit. We'd rather not die.\We feel like saying yahoo!\I'm not sure I really get it, but yahoo!\Yahoo! Cheer up, Maiza!\As long as they don't say anything, the boss and Yaguruma- san response:	can pass themselves off as just being long-lived!
context: To have given the agony of living forever to all of you...\What are you talking about, Maiza- san?\None of us mind one bit. We'd rather not die.\We feel like saying yahoo!\I'm not sure I really get it, but yahoo!\Yahoo! Cheer up, Maiza!\As long as they don't say anything, the boss and Yaguruma- san\can pass themselves off as just being long-lived! response:	What are you talking about, Firo?
context: What are you talking about, Maiza- san?\None of us mind one bit. We'd rather not die.\We feel like saying yahoo!\I'm not sure I really get it, but yahoo!\Yahoo! Cheer up, Maiza!\As long as they don't say anything, the boss and Yaguruma- san\can pass themselves off as just being long-lived!\What are you talking about, Firo? response:	In celebration of the birth of a new capo,
context: None of us mind one bit. We'd rather not die.\We feel like saying yahoo!\I'm not sure I really get it, but yahoo!\Yahoo! Cheer up, Maiza!\As long as they don't say anything, the boss and Yaguruma- san\can pass themselves off as just being long-lived!\What are you talking about, Firo?\In celebration of the birth of a new capo, response:	cheers!
context: We feel like saying yahoo!\I'm not sure I really get it, but yahoo!\Yahoo! Cheer up, Maiza!\As long as they don't say anything, the boss and Yaguruma- san\can pass themselves off as just being long-lived!\What are you talking about, Firo?\In celebration of the birth of a new capo,\cheers! response:	Cheers!
context: I'm not sure I really get it, but yahoo!\Yahoo! Cheer up, Maiza!\As long as they don't say anything, the boss and Yaguruma- san\can pass themselves off as just being long-lived!\What are you talking about, Firo?\In celebration of the birth of a new capo,\cheers!\Cheers! response:	Here you go, here you go.
context: Yahoo! Cheer up, Maiza!\As long as they don't say anything, the boss and Yaguruma- san\can pass themselves off as just being long-lived!\What are you talking about, Firo?\In celebration of the birth of a new capo,\cheers!\Cheers!\Here you go, here you go. response:	Here you go.
context: As long as they don't say anything, the boss and Yaguruma- san\can pass themselves off as just being long-lived!\What are you talking about, Firo?\In celebration of the birth of a new capo,\cheers!\Cheers!\Here you go, here you go.\Here you go. response:	We've been invited to attend such a happy event, and all.
context: can pass themselves off as just being long-lived!\What are you talking about, Firo?\In celebration of the birth of a new capo,\cheers!\Cheers!\Here you go, here you go.\Here you go.\We've been invited to attend such a happy event, and all. response:	This is the least we can do to thank them.
context: What are you talking about, Firo?\In celebration of the birth of a new capo,\cheers!\Cheers!\Here you go, here you go.\Here you go.\We've been invited to attend such a happy event, and all.\This is the least we can do to thank them. response:	Gretto, is this right?
context: In celebration of the birth of a new capo,\cheers!\Cheers!\Here you go, here you go.\Here you go.\We've been invited to attend such a happy event, and all.\This is the least we can do to thank them.\Gretto, is this right? response:	I had noticed, but I ended up not stopping them.
context: cheers!\Cheers!\Here you go, here you go.\Here you go.\We've been invited to attend such a happy event, and all.\This is the least we can do to thank them.\Gretto, is this right?\I had noticed, but I ended up not stopping them. response:	They would be able to make their way through it.
context: Cheers!\Here you go, here you go.\Here you go.\We've been invited to attend such a happy event, and all.\This is the least we can do to thank them.\Gretto, is this right?\I had noticed, but I ended up not stopping them.\They would be able to make their way through it. response:	That's more or less what I was thinking.
context: Here you go, here you go.\Here you go.\We've been invited to attend such a happy event, and all.\This is the least we can do to thank them.\Gretto, is this right?\I had noticed, but I ended up not stopping them.\They would be able to make their way through it.\That's more or less what I was thinking. response:	Oh, well.
context: Here you go.\We've been invited to attend such a happy event, and all.\This is the least we can do to thank them.\Gretto, is this right?\I had noticed, but I ended up not stopping them.\They would be able to make their way through it.\That's more or less what I was thinking.\Oh, well. response:	I will be waiting for you in Manhattan.
context: We've been invited to attend such a happy event, and all.\This is the least we can do to thank them.\Gretto, is this right?\I had noticed, but I ended up not stopping them.\They would be able to make their way through it.\That's more or less what I was thinking.\Oh, well.\I will be waiting for you in Manhattan. response:	I will wait for you forever.
context: This is the least we can do to thank them.\Gretto, is this right?\I had noticed, but I ended up not stopping them.\They would be able to make their way through it.\That's more or less what I was thinking.\Oh, well.\I will be waiting for you in Manhattan.\I will wait for you forever. response:	Please, please, find me.
context: Gretto, is this right?\I had noticed, but I ended up not stopping them.\They would be able to make their way through it.\That's more or less what I was thinking.\Oh, well.\I will be waiting for you in Manhattan.\I will wait for you forever.\Please, please, find me. response:	I will also try to find you.
context: I had noticed, but I ended up not stopping them.\They would be able to make their way through it.\That's more or less what I was thinking.\Oh, well.\I will be waiting for you in Manhattan.\I will wait for you forever.\Please, please, find me.\I will also try to find you. response:	Manhattan, she says. That's too large a scale.
context: They would be able to make their way through it.\That's more or less what I was thinking.\Oh, well.\I will be waiting for you in Manhattan.\I will wait for you forever.\Please, please, find me.\I will also try to find you.\Manhattan, she says. That's too large a scale. response:	Besides, I never told her my name.
context: That's more or less what I was thinking.\Oh, well.\I will be waiting for you in Manhattan.\I will wait for you forever.\Please, please, find me.\I will also try to find you.\Manhattan, she says. That's too large a scale.\Besides, I never told her my name. response:	Well, it will have to wait until after I've fulfilled my duties to the Gandor brothers,
context: Oh, well.\I will be waiting for you in Manhattan.\I will wait for you forever.\Please, please, find me.\I will also try to find you.\Manhattan, she says. That's too large a scale.\Besides, I never told her my name.\Well, it will have to wait until after I've fulfilled my duties to the Gandor brothers, response:	but I'll find you. I promise.
context: I will be waiting for you in Manhattan.\I will wait for you forever.\Please, please, find me.\I will also try to find you.\Manhattan, she says. That's too large a scale.\Besides, I never told her my name.\Well, it will have to wait until after I've fulfilled my duties to the Gandor brothers,\but I'll find you. I promise. response:	That makes a whole lot of children that have been saved, Miria!
context: I will wait for you forever.\Please, please, find me.\I will also try to find you.\Manhattan, she says. That's too large a scale.\Besides, I never told her my name.\Well, it will have to wait until after I've fulfilled my duties to the Gandor brothers,\but I'll find you. I promise.\That makes a whole lot of children that have been saved, Miria! response:	From harmful radio waves, huh, Isaac?
context: Please, please, find me.\I will also try to find you.\Manhattan, she says. That's too large a scale.\Besides, I never told her my name.\Well, it will have to wait until after I've fulfilled my duties to the Gandor brothers,\but I'll find you. I promise.\That makes a whole lot of children that have been saved, Miria!\From harmful radio waves, huh, Isaac? response:	Yeah! According to the British Sun or Nature, whichever it was,
context: I will also try to find you.\Manhattan, she says. That's too large a scale.\Besides, I never told her my name.\Well, it will have to wait until after I've fulfilled my duties to the Gandor brothers,\but I'll find you. I promise.\That makes a whole lot of children that have been saved, Miria!\From harmful radio waves, huh, Isaac?\Yeah! According to the British Sun or Nature, whichever it was, response:	conversation is disappearing among families because of radio waves from cell phones.
context: Manhattan, she says. That's too large a scale.\Besides, I never told her my name.\Well, it will have to wait until after I've fulfilled my duties to the Gandor brothers,\but I'll find you. I promise.\That makes a whole lot of children that have been saved, Miria!\From harmful radio waves, huh, Isaac?\Yeah! According to the British Sun or Nature, whichever it was,\conversation is disappearing among families because of radio waves from cell phones. response:	Children are involved in gaming, fathers find outside lovers,
context: Besides, I never told her my name.\Well, it will have to wait until after I've fulfilled my duties to the Gandor brothers,\but I'll find you. I promise.\That makes a whole lot of children that have been saved, Miria!\From harmful radio waves, huh, Isaac?\Yeah! According to the British Sun or Nature, whichever it was,\conversation is disappearing among families because of radio waves from cell phones.\Children are involved in gaming, fathers find outside lovers, response:	and mothers are going off to work.
context: Well, it will have to wait until after I've fulfilled my duties to the Gandor brothers,\but I'll find you. I promise.\That makes a whole lot of children that have been saved, Miria!\From harmful radio waves, huh, Isaac?\Yeah! According to the British Sun or Nature, whichever it was,\conversation is disappearing among families because of radio waves from cell phones.\Children are involved in gaming, fathers find outside lovers,\and mothers are going off to work. response:	It's the breakdown of the family, huh?
context: but I'll find you. I promise.\That makes a whole lot of children that have been saved, Miria!\From harmful radio waves, huh, Isaac?\Yeah! According to the British Sun or Nature, whichever it was,\conversation is disappearing among families because of radio waves from cell phones.\Children are involved in gaming, fathers find outside lovers,\and mothers are going off to work.\It's the breakdown of the family, huh? response:	Yeah! And so, we're going to stop it!
context: That makes a whole lot of children that have been saved, Miria!\From harmful radio waves, huh, Isaac?\Yeah! According to the British Sun or Nature, whichever it was,\conversation is disappearing among families because of radio waves from cell phones.\Children are involved in gaming, fathers find outside lovers,\and mothers are going off to work.\It's the breakdown of the family, huh?\Yeah! And so, we're going to stop it! response:	And fight child depopulation, huh?
context: From harmful radio waves, huh, Isaac?\Yeah! According to the British Sun or Nature, whichever it was,\conversation is disappearing among families because of radio waves from cell phones.\Children are involved in gaming, fathers find outside lovers,\and mothers are going off to work.\It's the breakdown of the family, huh?\Yeah! And so, we're going to stop it!\And fight child depopulation, huh? response:	By the way, Miria...
context: Yeah! According to the British Sun or Nature, whichever it was,\conversation is disappearing among families because of radio waves from cell phones.\Children are involved in gaming, fathers find outside lovers,\and mothers are going off to work.\It's the breakdown of the family, huh?\Yeah! And so, we're going to stop it!\And fight child depopulation, huh?\By the way, Miria... response:	What, Isaac?
context: conversation is disappearing among families because of radio waves from cell phones.\Children are involved in gaming, fathers find outside lovers,\and mothers are going off to work.\It's the breakdown of the family, huh?\Yeah! And so, we're going to stop it!\And fight child depopulation, huh?\By the way, Miria...\What, Isaac? response:	I've got this feeling, like we haven't aged at all.
context: Children are involved in gaming, fathers find outside lovers,\and mothers are going off to work.\It's the breakdown of the family, huh?\Yeah! And so, we're going to stop it!\And fight child depopulation, huh?\By the way, Miria...\What, Isaac?\I've got this feeling, like we haven't aged at all. response:	Am I imagining things?
context: and mothers are going off to work.\It's the breakdown of the family, huh?\Yeah! And so, we're going to stop it!\And fight child depopulation, huh?\By the way, Miria...\What, Isaac?\I've got this feeling, like we haven't aged at all.\Am I imagining things? response:	You're right!
context: It's the breakdown of the family, huh?\Yeah! And so, we're going to stop it!\And fight child depopulation, huh?\By the way, Miria...\What, Isaac?\I've got this feeling, like we haven't aged at all.\Am I imagining things?\You're right! response:	Miria!
context: Yeah! And so, we're going to stop it!\And fight child depopulation, huh?\By the way, Miria...\What, Isaac?\I've got this feeling, like we haven't aged at all.\Am I imagining things?\You're right!\Miria! response:	Isaac!
context: And fight child depopulation, huh?\By the way, Miria...\What, Isaac?\I've got this feeling, like we haven't aged at all.\Am I imagining things?\You're right!\Miria!\Isaac! response:	I don't know why this has happened to us,
context: By the way, Miria...\What, Isaac?\I've got this feeling, like we haven't aged at all.\Am I imagining things?\You're right!\Miria!\Isaac!\I don't know why this has happened to us, response:	but does this mean that we are being constantly reborn anew?!
context: What, Isaac?\I've got this feeling, like we haven't aged at all.\Am I imagining things?\You're right!\Miria!\Isaac!\I don't know why this has happened to us,\but does this mean that we are being constantly reborn anew?! response:	Refreshed! Like every day is our birthday, huh?
context: I've got this feeling, like we haven't aged at all.\Am I imagining things?\You're right!\Miria!\Isaac!\I don't know why this has happened to us,\but does this mean that we are being constantly reborn anew?!\Refreshed! Like every day is our birthday, huh? response:	Okay then, we have to celebrate!
context: Am I imagining things?\You're right!\Miria!\Isaac!\I don't know why this has happened to us,\but does this mean that we are being constantly reborn anew?!\Refreshed! Like every day is our birthday, huh?\Okay then, we have to celebrate! response:	Let's call everyone over, and have a party, every day!
context: You're right!\Miria!\Isaac!\I don't know why this has happened to us,\but does this mean that we are being constantly reborn anew?!\Refreshed! Like every day is our birthday, huh?\Okay then, we have to celebrate!\Let's call everyone over, and have a party, every day! response:	Wow, Isaac! Happy birthday!
