context: Thanks for helping out today. response:	Sota's been eating me out of house and home, so shopping's been rough.
context: What?!\I couldn't even get a word in, and now she's gone...\Budget Report\What's going on?\I told you, I gave you everything I worked on!\I know, but there are papers missing.\-And we can't find them anywhere.\-Huh? What's happening over here? -And we can't find them anywhere. response:	-Huh? What's happening over here?
context: I couldn't even get a word in, and now she's gone...\Budget Report\What's going on?\I told you, I gave you everything I worked on!\I know, but there are papers missing.\-And we can't find them anywhere.\-Huh? What's happening over here? -And we can't find them anywhere.\-Huh? What's happening over here? response:	Miyamura-kun! You gotta help!
context: Budget Report\What's going on?\I told you, I gave you everything I worked on!\I know, but there are papers missing.\-And we can't find them anywhere.\-Huh? What's happening over here? -And we can't find them anywhere.\-Huh? What's happening over here?\Miyamura-kun! You gotta help! response:	It's Hori! She's in trouble!
context: What's going on?\I told you, I gave you everything I worked on!\I know, but there are papers missing.\-And we can't find them anywhere.\-Huh? What's happening over here? -And we can't find them anywhere.\-Huh? What's happening over here?\Miyamura-kun! You gotta help!\It's Hori! She's in trouble! response:	Hori-san?
context: I told you, I gave you everything I worked on!\I know, but there are papers missing.\-And we can't find them anywhere.\-Huh? What's happening over here? -And we can't find them anywhere.\-Huh? What's happening over here?\Miyamura-kun! You gotta help!\It's Hori! She's in trouble!\Hori-san? response:	The student council's yelling at Hori-san!
context: I know, but there are papers missing.\-And we can't find them anywhere.\-Huh? What's happening over here? -And we can't find them anywhere.\-Huh? What's happening over here?\Miyamura-kun! You gotta help!\It's Hori! She's in trouble!\Hori-san?\The student council's yelling at Hori-san! response:	I gave you everything yesterday, including the budget paperwork!
context: -And we can't find them anywhere.\-Huh? What's happening over here? -And we can't find them anywhere.\-Huh? What's happening over here?\Miyamura-kun! You gotta help!\It's Hori! She's in trouble!\Hori-san?\The student council's yelling at Hori-san!\I gave you everything yesterday, including the budget paperwork! response:	You saw, right, Ayasaki-san?!
context: -Huh? What's happening over here? -And we can't find them anywhere.\-Huh? What's happening over here?\Miyamura-kun! You gotta help!\It's Hori! She's in trouble!\Hori-san?\The student council's yelling at Hori-san!\I gave you everything yesterday, including the budget paperwork!\You saw, right, Ayasaki-san?! response:	Remi says she didn't see.
context: -Huh? What's happening over here?\Miyamura-kun! You gotta help!\It's Hori! She's in trouble!\Hori-san?\The student council's yelling at Hori-san!\I gave you everything yesterday, including the budget paperwork!\You saw, right, Ayasaki-san?!\Remi says she didn't see. response:	You didn't check to see if it was everything, did you?
context: Miyamura-kun! You gotta help!\It's Hori! She's in trouble!\Hori-san?\The student council's yelling at Hori-san!\I gave you everything yesterday, including the budget paperwork!\You saw, right, Ayasaki-san?!\Remi says she didn't see.\You didn't check to see if it was everything, did you? response:	Sure, but shouldn't you guys-
context: It's Hori! She's in trouble!\Hori-san?\The student council's yelling at Hori-san!\I gave you everything yesterday, including the budget paperwork!\You saw, right, Ayasaki-san?!\Remi says she didn't see.\You didn't check to see if it was everything, did you?\Sure, but shouldn't you guys- response:	You're right, some of the blame falls on us.
context: Hori-san?\The student council's yelling at Hori-san!\I gave you everything yesterday, including the budget paperwork!\You saw, right, Ayasaki-san?!\Remi says she didn't see.\You didn't check to see if it was everything, did you?\Sure, but shouldn't you guys-\You're right, some of the blame falls on us. response:	But only if those budget papers were in the pile you handed over.
context: The student council's yelling at Hori-san!\I gave you everything yesterday, including the budget paperwork!\You saw, right, Ayasaki-san?!\Remi says she didn't see.\You didn't check to see if it was everything, did you?\Sure, but shouldn't you guys-\You're right, some of the blame falls on us.\But only if those budget papers were in the pile you handed over. response:	Hori-san, were they in there?
context: I gave you everything yesterday, including the budget paperwork!\You saw, right, Ayasaki-san?!\Remi says she didn't see.\You didn't check to see if it was everything, did you?\Sure, but shouldn't you guys-\You're right, some of the blame falls on us.\But only if those budget papers were in the pile you handed over.\Hori-san, were they in there? response:	They were.
context: You saw, right, Ayasaki-san?!\Remi says she didn't see.\You didn't check to see if it was everything, did you?\Sure, but shouldn't you guys-\You're right, some of the blame falls on us.\But only if those budget papers were in the pile you handed over.\Hori-san, were they in there?\They were. response:	But to be honest, I was so tired, I can't remember...
context: Remi says she didn't see.\You didn't check to see if it was everything, did you?\Sure, but shouldn't you guys-\You're right, some of the blame falls on us.\But only if those budget papers were in the pile you handed over.\Hori-san, were they in there?\They were.\But to be honest, I was so tired, I can't remember... response:	Hori-san messed up?
context: You didn't check to see if it was everything, did you?\Sure, but shouldn't you guys-\You're right, some of the blame falls on us.\But only if those budget papers were in the pile you handed over.\Hori-san, were they in there?\They were.\But to be honest, I was so tired, I can't remember...\Hori-san messed up? response:	The girl in Class 1?
context: Sure, but shouldn't you guys-\You're right, some of the blame falls on us.\But only if those budget papers were in the pile you handed over.\Hori-san, were they in there?\They were.\But to be honest, I was so tired, I can't remember...\Hori-san messed up?\The girl in Class 1? response:	I hear the council's running behind because she lost those papers.
context: You're right, some of the blame falls on us.\But only if those budget papers were in the pile you handed over.\Hori-san, were they in there?\They were.\But to be honest, I was so tired, I can't remember...\Hori-san messed up?\The girl in Class 1?\I hear the council's running behind because she lost those papers. response:	The poor Prez...
context: But only if those budget papers were in the pile you handed over.\Hori-san, were they in there?\They were.\But to be honest, I was so tired, I can't remember...\Hori-san messed up?\The girl in Class 1?\I hear the council's running behind because she lost those papers.\The poor Prez... response:	If it's your fault, I just want an apology. That's all, Hori-san.
context: Hori-san, were they in there?\They were.\But to be honest, I was so tired, I can't remember...\Hori-san messed up?\The girl in Class 1?\I hear the council's running behind because she lost those papers.\The poor Prez...\If it's your fault, I just want an apology. That's all, Hori-san. response:	Sengoku, you asshole-
context: They were.\But to be honest, I was so tired, I can't remember...\Hori-san messed up?\The girl in Class 1?\I hear the council's running behind because she lost those papers.\The poor Prez...\If it's your fault, I just want an apology. That's all, Hori-san.\Sengoku, you asshole- response:	Cool it, Ishikawa!
context: But to be honest, I was so tired, I can't remember...\Hori-san messed up?\The girl in Class 1?\I hear the council's running behind because she lost those papers.\The poor Prez...\If it's your fault, I just want an apology. That's all, Hori-san.\Sengoku, you asshole-\Cool it, Ishikawa! response:	Stop! Hori finished working on the budget! I saw her do it!
context: Hori-san messed up?\The girl in Class 1?\I hear the council's running behind because she lost those papers.\The poor Prez...\If it's your fault, I just want an apology. That's all, Hori-san.\Sengoku, you asshole-\Cool it, Ishikawa!\Stop! Hori finished working on the budget! I saw her do it! response:	She gave it to you yesterday!
context: The girl in Class 1?\I hear the council's running behind because she lost those papers.\The poor Prez...\If it's your fault, I just want an apology. That's all, Hori-san.\Sengoku, you asshole-\Cool it, Ishikawa!\Stop! Hori finished working on the budget! I saw her do it!\She gave it to you yesterday! response:	Man, all she has to do is apologize.
context: I hear the council's running behind because she lost those papers.\The poor Prez...\If it's your fault, I just want an apology. That's all, Hori-san.\Sengoku, you asshole-\Cool it, Ishikawa!\Stop! Hori finished working on the budget! I saw her do it!\She gave it to you yesterday!\Man, all she has to do is apologize. response:	C'mon, just say sorry.
context: The poor Prez...\If it's your fault, I just want an apology. That's all, Hori-san.\Sengoku, you asshole-\Cool it, Ishikawa!\Stop! Hori finished working on the budget! I saw her do it!\She gave it to you yesterday!\Man, all she has to do is apologize.\C'mon, just say sorry. response:	Ishikawa-kun.
context: If it's your fault, I just want an apology. That's all, Hori-san.\Sengoku, you asshole-\Cool it, Ishikawa!\Stop! Hori finished working on the budget! I saw her do it!\She gave it to you yesterday!\Man, all she has to do is apologize.\C'mon, just say sorry.\Ishikawa-kun. response:	Miyamura?
context: Sengoku, you asshole-\Cool it, Ishikawa!\Stop! Hori finished working on the budget! I saw her do it!\She gave it to you yesterday!\Man, all she has to do is apologize.\C'mon, just say sorry.\Ishikawa-kun.\Miyamura? response:	Can you hold my bag and glasses? Thanks.
context: Cool it, Ishikawa!\Stop! Hori finished working on the budget! I saw her do it!\She gave it to you yesterday!\Man, all she has to do is apologize.\C'mon, just say sorry.\Ishikawa-kun.\Miyamura?\Can you hold my bag and glasses? Thanks. response:	Well, Hori-san?
context: Stop! Hori finished working on the budget! I saw her do it!\She gave it to you yesterday!\Man, all she has to do is apologize.\C'mon, just say sorry.\Ishikawa-kun.\Miyamura?\Can you hold my bag and glasses? Thanks.\Well, Hori-san? response:	-I'm-
context: She gave it to you yesterday!\Man, all she has to do is apologize.\C'mon, just say sorry.\Ishikawa-kun.\Miyamura?\Can you hold my bag and glasses? Thanks.\Well, Hori-san?\-I'm- response:	-You don't have to apologize. -I'm-
context: Man, all she has to do is apologize.\C'mon, just say sorry.\Ishikawa-kun.\Miyamura?\Can you hold my bag and glasses? Thanks.\Well, Hori-san?\-I'm-\-You don't have to apologize. -I'm- response:	-You don't have to apologize.
context: C'mon, just say sorry.\Ishikawa-kun.\Miyamura?\Can you hold my bag and glasses? Thanks.\Well, Hori-san?\-I'm-\-You don't have to apologize. -I'm-\-You don't have to apologize. response:	You don't have to tell them anything, Hori-san.
context: Ishikawa-kun.\Miyamura?\Can you hold my bag and glasses? Thanks.\Well, Hori-san?\-I'm-\-You don't have to apologize. -I'm-\-You don't have to apologize.\You don't have to tell them anything, Hori-san. response:	Miyamura?
context: Miyamura?\Can you hold my bag and glasses? Thanks.\Well, Hori-san?\-I'm-\-You don't have to apologize. -I'm-\-You don't have to apologize.\You don't have to tell them anything, Hori-san.\Miyamura? response:	What do you want?
context: Can you hold my bag and glasses? Thanks.\Well, Hori-san?\-I'm-\-You don't have to apologize. -I'm-\-You don't have to apologize.\You don't have to tell them anything, Hori-san.\Miyamura?\What do you want? response:	Mr. President.
context: Well, Hori-san?\-I'm-\-You don't have to apologize. -I'm-\-You don't have to apologize.\You don't have to tell them anything, Hori-san.\Miyamura?\What do you want?\Mr. President. response:	What?!
context: -I'm-\-You don't have to apologize. -I'm-\-You don't have to apologize.\You don't have to tell them anything, Hori-san.\Miyamura?\What do you want?\Mr. President.\What?! response:	What the hell are you doing?!
context: -You don't have to apologize. -I'm-\-You don't have to apologize.\You don't have to tell them anything, Hori-san.\Miyamura?\What do you want?\Mr. President.\What?!\What the hell are you doing?! response:	Sengoku-kun!
context: -You don't have to apologize.\You don't have to tell them anything, Hori-san.\Miyamura?\What do you want?\Mr. President.\What?!\What the hell are you doing?!\Sengoku-kun! response:	Violence is unacceptable! Why did you think you could-?
context: You don't have to tell them anything, Hori-san.\Miyamura?\What do you want?\Mr. President.\What?!\What the hell are you doing?!\Sengoku-kun!\Violence is unacceptable! Why did you think you could-? response:	Is this what you were looking for?
context: Miyamura?\What do you want?\Mr. President.\What?!\What the hell are you doing?!\Sengoku-kun!\Violence is unacceptable! Why did you think you could-?\Is this what you were looking for? response:	The budget files! Why do you have them?
context: What do you want?\Mr. President.\What?!\What the hell are you doing?!\Sengoku-kun!\Violence is unacceptable! Why did you think you could-?\Is this what you were looking for?\The budget files! Why do you have them? response:	I found it in the hall yesterday.
context: Mr. President.\What?!\What the hell are you doing?!\Sengoku-kun!\Violence is unacceptable! Why did you think you could-?\Is this what you were looking for?\The budget files! Why do you have them?\I found it in the hall yesterday. response:	Ayasaki-san told me to throw it away.
context: What?!\What the hell are you doing?!\Sengoku-kun!\Violence is unacceptable! Why did you think you could-?\Is this what you were looking for?\The budget files! Why do you have them?\I found it in the hall yesterday.\Ayasaki-san told me to throw it away. response:	I didn't tell you to-
context: What the hell are you doing?!\Sengoku-kun!\Violence is unacceptable! Why did you think you could-?\Is this what you were looking for?\The budget files! Why do you have them?\I found it in the hall yesterday.\Ayasaki-san told me to throw it away.\I didn't tell you to- response:	Ohhh, you mean in the hall...
context: Sengoku-kun!\Violence is unacceptable! Why did you think you could-?\Is this what you were looking for?\The budget files! Why do you have them?\I found it in the hall yesterday.\Ayasaki-san told me to throw it away.\I didn't tell you to-\Ohhh, you mean in the hall... response:	Remi...
context: Violence is unacceptable! Why did you think you could-?\Is this what you were looking for?\The budget files! Why do you have them?\I found it in the hall yesterday.\Ayasaki-san told me to throw it away.\I didn't tell you to-\Ohhh, you mean in the hall...\Remi... response:	I'm sorry!
context: Is this what you were looking for?\The budget files! Why do you have them?\I found it in the hall yesterday.\Ayasaki-san told me to throw it away.\I didn't tell you to-\Ohhh, you mean in the hall...\Remi...\I'm sorry! response:	So it wasn't Hori-san's fault?
context: The budget files! Why do you have them?\I found it in the hall yesterday.\Ayasaki-san told me to throw it away.\I didn't tell you to-\Ohhh, you mean in the hall...\Remi...\I'm sorry!\So it wasn't Hori-san's fault? response:	What happened, then?
context: I found it in the hall yesterday.\Ayasaki-san told me to throw it away.\I didn't tell you to-\Ohhh, you mean in the hall...\Remi...\I'm sorry!\So it wasn't Hori-san's fault?\What happened, then? response:	Who knows?
context: Ayasaki-san told me to throw it away.\I didn't tell you to-\Ohhh, you mean in the hall...\Remi...\I'm sorry!\So it wasn't Hori-san's fault?\What happened, then?\Who knows? response:	I'm just glad it got resolved.
context: I didn't tell you to-\Ohhh, you mean in the hall...\Remi...\I'm sorry!\So it wasn't Hori-san's fault?\What happened, then?\Who knows?\I'm just glad it got resolved. response:	I was this close to crying.
context: Ohhh, you mean in the hall...\Remi...\I'm sorry!\So it wasn't Hori-san's fault?\What happened, then?\Who knows?\I'm just glad it got resolved.\I was this close to crying. response:	You're super organized, Hori. No way it could've been you.
context: Remi...\I'm sorry!\So it wasn't Hori-san's fault?\What happened, then?\Who knows?\I'm just glad it got resolved.\I was this close to crying.\You're super organized, Hori. No way it could've been you. response:	Oh, c'mon.
context: I'm sorry!\So it wasn't Hori-san's fault?\What happened, then?\Who knows?\I'm just glad it got resolved.\I was this close to crying.\You're super organized, Hori. No way it could've been you.\Oh, c'mon. response:	You really helped me out there, Miyamura.
context: So it wasn't Hori-san's fault?\What happened, then?\Who knows?\I'm just glad it got resolved.\I was this close to crying.\You're super organized, Hori. No way it could've been you.\Oh, c'mon.\You really helped me out there, Miyamura. response:	Thanks.
context: What happened, then?\Who knows?\I'm just glad it got resolved.\I was this close to crying.\You're super organized, Hori. No way it could've been you.\Oh, c'mon.\You really helped me out there, Miyamura.\Thanks. response:	I just happened to be there is all.
context: Who knows?\I'm just glad it got resolved.\I was this close to crying.\You're super organized, Hori. No way it could've been you.\Oh, c'mon.\You really helped me out there, Miyamura.\Thanks.\I just happened to be there is all. response:	But why'd you need to headbutt him if you had the papers?
context: I'm just glad it got resolved.\I was this close to crying.\You're super organized, Hori. No way it could've been you.\Oh, c'mon.\You really helped me out there, Miyamura.\Thanks.\I just happened to be there is all.\But why'd you need to headbutt him if you had the papers? response:	Oh, I was just kinda pissed at him.
context: I was this close to crying.\You're super organized, Hori. No way it could've been you.\Oh, c'mon.\You really helped me out there, Miyamura.\Thanks.\I just happened to be there is all.\But why'd you need to headbutt him if you had the papers?\Oh, I was just kinda pissed at him. response:	I've been wondering, Hori-san.
context: You're super organized, Hori. No way it could've been you.\Oh, c'mon.\You really helped me out there, Miyamura.\Thanks.\I just happened to be there is all.\But why'd you need to headbutt him if you had the papers?\Oh, I was just kinda pissed at him.\I've been wondering, Hori-san. response:	Does the Student Council Prez have some dirt on you or something?
context: Oh, c'mon.\You really helped me out there, Miyamura.\Thanks.\I just happened to be there is all.\But why'd you need to headbutt him if you had the papers?\Oh, I was just kinda pissed at him.\I've been wondering, Hori-san.\Does the Student Council Prez have some dirt on you or something? response:	Huh?!
context: You really helped me out there, Miyamura.\Thanks.\I just happened to be there is all.\But why'd you need to headbutt him if you had the papers?\Oh, I was just kinda pissed at him.\I've been wondering, Hori-san.\Does the Student Council Prez have some dirt on you or something?\Huh?! response:	I mean, you always do whatever he asks you to do.
context: Thanks.\I just happened to be there is all.\But why'd you need to headbutt him if you had the papers?\Oh, I was just kinda pissed at him.\I've been wondering, Hori-san.\Does the Student Council Prez have some dirt on you or something?\Huh?!\I mean, you always do whatever he asks you to do. response:	That is weird!
context: I just happened to be there is all.\But why'd you need to headbutt him if you had the papers?\Oh, I was just kinda pissed at him.\I've been wondering, Hori-san.\Does the Student Council Prez have some dirt on you or something?\Huh?!\I mean, you always do whatever he asks you to do.\That is weird! response:	Why do you do it?
context: But why'd you need to headbutt him if you had the papers?\Oh, I was just kinda pissed at him.\I've been wondering, Hori-san.\Does the Student Council Prez have some dirt on you or something?\Huh?!\I mean, you always do whatever he asks you to do.\That is weird!\Why do you do it? response:	C'mon, it's just'cause the student council's so busy!
context: Oh, I was just kinda pissed at him.\I've been wondering, Hori-san.\Does the Student Council Prez have some dirt on you or something?\Huh?!\I mean, you always do whatever he asks you to do.\That is weird!\Why do you do it?\C'mon, it's just'cause the student council's so busy! response:	And Sengoku... -kun and I have known each other for forever!
context: I've been wondering, Hori-san.\Does the Student Council Prez have some dirt on you or something?\Huh?!\I mean, you always do whatever he asks you to do.\That is weird!\Why do you do it?\C'mon, it's just'cause the student council's so busy!\And Sengoku... -kun and I have known each other for forever! response:	Sengoku, you're such a crybaby!
context: Does the Student Council Prez have some dirt on you or something?\Huh?!\I mean, you always do whatever he asks you to do.\That is weird!\Why do you do it?\C'mon, it's just'cause the student council's so busy!\And Sengoku... -kun and I have known each other for forever!\Sengoku, you're such a crybaby! response:	Stop, Kyo-chan!
context: Huh?!\I mean, you always do whatever he asks you to do.\That is weird!\Why do you do it?\C'mon, it's just'cause the student council's so busy!\And Sengoku... -kun and I have known each other for forever!\Sengoku, you're such a crybaby!\Stop, Kyo-chan! response:	But I hate peas!
context: I mean, you always do whatever he asks you to do.\That is weird!\Why do you do it?\C'mon, it's just'cause the student council's so busy!\And Sengoku... -kun and I have known each other for forever!\Sengoku, you're such a crybaby!\Stop, Kyo-chan!\But I hate peas! response:	Rock, paper, scissors!
context: That is weird!\Why do you do it?\C'mon, it's just'cause the student council's so busy!\And Sengoku... -kun and I have known each other for forever!\Sengoku, you're such a crybaby!\Stop, Kyo-chan!\But I hate peas!\Rock, paper, scissors! response:	When high school starts, I'm not going to be your dog anymore!
context: Why do you do it?\C'mon, it's just'cause the student council's so busy!\And Sengoku... -kun and I have known each other for forever!\Sengoku, you're such a crybaby!\Stop, Kyo-chan!\But I hate peas!\Rock, paper, scissors!\When high school starts, I'm not going to be your dog anymore! response:	My dog? Wow, that's how you saw yourself?
context: C'mon, it's just'cause the student council's so busy!\And Sengoku... -kun and I have known each other for forever!\Sengoku, you're such a crybaby!\Stop, Kyo-chan!\But I hate peas!\Rock, paper, scissors!\When high school starts, I'm not going to be your dog anymore!\My dog? Wow, that's how you saw yourself? response:	That's kind of hilarious.
context: And Sengoku... -kun and I have known each other for forever!\Sengoku, you're such a crybaby!\Stop, Kyo-chan!\But I hate peas!\Rock, paper, scissors!\When high school starts, I'm not going to be your dog anymore!\My dog? Wow, that's how you saw yourself?\That's kind of hilarious. response:	And you're going to use an honorific with my name!
context: Sengoku, you're such a crybaby!\Stop, Kyo-chan!\But I hate peas!\Rock, paper, scissors!\When high school starts, I'm not going to be your dog anymore!\My dog? Wow, that's how you saw yourself?\That's kind of hilarious.\And you're going to use an honorific with my name! response:	I want to have a normal, happy time in high school!
context: Stop, Kyo-chan!\But I hate peas!\Rock, paper, scissors!\When high school starts, I'm not going to be your dog anymore!\My dog? Wow, that's how you saw yourself?\That's kind of hilarious.\And you're going to use an honorific with my name!\I want to have a normal, happy time in high school! response:	Really?
context: But I hate peas!\Rock, paper, scissors!\When high school starts, I'm not going to be your dog anymore!\My dog? Wow, that's how you saw yourself?\That's kind of hilarious.\And you're going to use an honorific with my name!\I want to have a normal, happy time in high school!\Really? response:	You'll do it, or I'll tell everyone how you treated me!
context: Rock, paper, scissors!\When high school starts, I'm not going to be your dog anymore!\My dog? Wow, that's how you saw yourself?\That's kind of hilarious.\And you're going to use an honorific with my name!\I want to have a normal, happy time in high school!\Really?\You'll do it, or I'll tell everyone how you treated me! response:	What, treated you how?
context: When high school starts, I'm not going to be your dog anymore!\My dog? Wow, that's how you saw yourself?\That's kind of hilarious.\And you're going to use an honorific with my name!\I want to have a normal, happy time in high school!\Really?\You'll do it, or I'll tell everyone how you treated me!\What, treated you how? response:	Like this! This is what I'm talking about!
context: My dog? Wow, that's how you saw yourself?\That's kind of hilarious.\And you're going to use an honorific with my name!\I want to have a normal, happy time in high school!\Really?\You'll do it, or I'll tell everyone how you treated me!\What, treated you how?\Like this! This is what I'm talking about! response:	Fine, then,
context: That's kind of hilarious.\And you're going to use an honorific with my name!\I want to have a normal, happy time in high school!\Really?\You'll do it, or I'll tell everyone how you treated me!\What, treated you how?\Like this! This is what I'm talking about!\Fine, then, response:	S-Sen...
context: And you're going to use an honorific with my name!\I want to have a normal, happy time in high school!\Really?\You'll do it, or I'll tell everyone how you treated me!\What, treated you how?\Like this! This is what I'm talking about!\Fine, then,\S-Sen... response:	Sengoku... -kun.
context: I want to have a normal, happy time in high school!\Really?\You'll do it, or I'll tell everyone how you treated me!\What, treated you how?\Like this! This is what I'm talking about!\Fine, then,\S-Sen...\Sengoku... -kun. response:	That's it. Thanks, Hori-san.
context: Really?\You'll do it, or I'll tell everyone how you treated me!\What, treated you how?\Like this! This is what I'm talking about!\Fine, then,\S-Sen...\Sengoku... -kun.\That's it. Thanks, Hori-san. response:	Seriously, I've known him forever!
context: You'll do it, or I'll tell everyone how you treated me!\What, treated you how?\Like this! This is what I'm talking about!\Fine, then,\S-Sen...\Sengoku... -kun.\That's it. Thanks, Hori-san.\Seriously, I've known him forever! response:	He definitely has dirt on her.
context: What, treated you how?\Like this! This is what I'm talking about!\Fine, then,\S-Sen...\Sengoku... -kun.\That's it. Thanks, Hori-san.\Seriously, I've known him forever!\He definitely has dirt on her. response:	Morning, Prez.
context: Like this! This is what I'm talking about!\Fine, then,\S-Sen...\Sengoku... -kun.\That's it. Thanks, Hori-san.\Seriously, I've known him forever!\He definitely has dirt on her.\Morning, Prez. response:	Good morning, sir!
context: Fine, then,\S-Sen...\Sengoku... -kun.\That's it. Thanks, Hori-san.\Seriously, I've known him forever!\He definitely has dirt on her.\Morning, Prez.\Good morning, sir! response:	Sengoku was traumatized by what happened.
context: S-Sen...\Sengoku... -kun.\That's it. Thanks, Hori-san.\Seriously, I've known him forever!\He definitely has dirt on her.\Morning, Prez.\Good morning, sir!\Sengoku was traumatized by what happened. response:	Hey, it's almost Hori's birthday.
context: Sengoku... -kun.\That's it. Thanks, Hori-san.\Seriously, I've known him forever!\He definitely has dirt on her.\Morning, Prez.\Good morning, sir!\Sengoku was traumatized by what happened.\Hey, it's almost Hori's birthday. response:	Wait, really?
context: That's it. Thanks, Hori-san.\Seriously, I've known him forever!\He definitely has dirt on her.\Morning, Prez.\Good morning, sir!\Sengoku was traumatized by what happened.\Hey, it's almost Hori's birthday.\Wait, really? response:	It's at the end of March.
context: Seriously, I've known him forever!\He definitely has dirt on her.\Morning, Prez.\Good morning, sir!\Sengoku was traumatized by what happened.\Hey, it's almost Hori's birthday.\Wait, really?\It's at the end of March. response:	Oh, so it's during spring break.
context: He definitely has dirt on her.\Morning, Prez.\Good morning, sir!\Sengoku was traumatized by what happened.\Hey, it's almost Hori's birthday.\Wait, really?\It's at the end of March.\Oh, so it's during spring break. response:	I was thinking of getting her something.
context: Morning, Prez.\Good morning, sir!\Sengoku was traumatized by what happened.\Hey, it's almost Hori's birthday.\Wait, really?\It's at the end of March.\Oh, so it's during spring break.\I was thinking of getting her something. response:	But she's turned me down once already. I'd just be bothering her.
context: Good morning, sir!\Sengoku was traumatized by what happened.\Hey, it's almost Hori's birthday.\Wait, really?\It's at the end of March.\Oh, so it's during spring break.\I was thinking of getting her something.\But she's turned me down once already. I'd just be bothering her. response:	I don't think it'd bother her.
context: Sengoku was traumatized by what happened.\Hey, it's almost Hori's birthday.\Wait, really?\It's at the end of March.\Oh, so it's during spring break.\I was thinking of getting her something.\But she's turned me down once already. I'd just be bothering her.\I don't think it'd bother her. response:	There's nothing wrong with wanting to get her something.
context: Hey, it's almost Hori's birthday.\Wait, really?\It's at the end of March.\Oh, so it's during spring break.\I was thinking of getting her something.\But she's turned me down once already. I'd just be bothering her.\I don't think it'd bother her.\There's nothing wrong with wanting to get her something. response:	I guess, but I've got no idea what to get her.
context: Wait, really?\It's at the end of March.\Oh, so it's during spring break.\I was thinking of getting her something.\But she's turned me down once already. I'd just be bothering her.\I don't think it'd bother her.\There's nothing wrong with wanting to get her something.\I guess, but I've got no idea what to get her. response:	It's the thought that counts.
context: It's at the end of March.\Oh, so it's during spring break.\I was thinking of getting her something.\But she's turned me down once already. I'd just be bothering her.\I don't think it'd bother her.\There's nothing wrong with wanting to get her something.\I guess, but I've got no idea what to get her.\It's the thought that counts. response:	Just get her whatever you want. Maybe some jewelry or something.
context: Oh, so it's during spring break.\I was thinking of getting her something.\But she's turned me down once already. I'd just be bothering her.\I don't think it'd bother her.\There's nothing wrong with wanting to get her something.\I guess, but I've got no idea what to get her.\It's the thought that counts.\Just get her whatever you want. Maybe some jewelry or something. response:	No way, that's way too serious.
context: I was thinking of getting her something.\But she's turned me down once already. I'd just be bothering her.\I don't think it'd bother her.\There's nothing wrong with wanting to get her something.\I guess, but I've got no idea what to get her.\It's the thought that counts.\Just get her whatever you want. Maybe some jewelry or something.\No way, that's way too serious. response:	What about a desk ornament?
context: But she's turned me down once already. I'd just be bothering her.\I don't think it'd bother her.\There's nothing wrong with wanting to get her something.\I guess, but I've got no idea what to get her.\It's the thought that counts.\Just get her whatever you want. Maybe some jewelry or something.\No way, that's way too serious.\What about a desk ornament? response:	Don't you know what kind of stuff she likes, Miyamura?
context: I don't think it'd bother her.\There's nothing wrong with wanting to get her something.\I guess, but I've got no idea what to get her.\It's the thought that counts.\Just get her whatever you want. Maybe some jewelry or something.\No way, that's way too serious.\What about a desk ornament?\Don't you know what kind of stuff she likes, Miyamura? response:	A present for Hori-san...
context: There's nothing wrong with wanting to get her something.\I guess, but I've got no idea what to get her.\It's the thought that counts.\Just get her whatever you want. Maybe some jewelry or something.\No way, that's way too serious.\What about a desk ornament?\Don't you know what kind of stuff she likes, Miyamura?\A present for Hori-san... response:	What would I give her?
context: I guess, but I've got no idea what to get her.\It's the thought that counts.\Just get her whatever you want. Maybe some jewelry or something.\No way, that's way too serious.\What about a desk ornament?\Don't you know what kind of stuff she likes, Miyamura?\A present for Hori-san...\What would I give her? response:	Hey, do you think my bro will come here every day over break?
context: It's the thought that counts.\Just get her whatever you want. Maybe some jewelry or something.\No way, that's way too serious.\What about a desk ornament?\Don't you know what kind of stuff she likes, Miyamura?\A present for Hori-san...\What would I give her?\Hey, do you think my bro will come here every day over break? response:	Not every day.
context: Just get her whatever you want. Maybe some jewelry or something.\No way, that's way too serious.\What about a desk ornament?\Don't you know what kind of stuff she likes, Miyamura?\A present for Hori-san...\What would I give her?\Hey, do you think my bro will come here every day over break?\Not every day. response:	And remember, this won't last forever. He'll stop coming someday.
context: No way, that's way too serious.\What about a desk ornament?\Don't you know what kind of stuff she likes, Miyamura?\A present for Hori-san...\What would I give her?\Hey, do you think my bro will come here every day over break?\Not every day.\And remember, this won't last forever. He'll stop coming someday. response:	Okay... when will that be?
context: What about a desk ornament?\Don't you know what kind of stuff she likes, Miyamura?\A present for Hori-san...\What would I give her?\Hey, do you think my bro will come here every day over break?\Not every day.\And remember, this won't last forever. He'll stop coming someday.\Okay... when will that be? response:	When you graduate high school?
context: Don't you know what kind of stuff she likes, Miyamura?\A present for Hori-san...\What would I give her?\Hey, do you think my bro will come here every day over break?\Not every day.\And remember, this won't last forever. He'll stop coming someday.\Okay... when will that be?\When you graduate high school? response:	When will Miyamura stop coming over?
context: A present for Hori-san...\What would I give her?\Hey, do you think my bro will come here every day over break?\Not every day.\And remember, this won't last forever. He'll stop coming someday.\Okay... when will that be?\When you graduate high school?\When will Miyamura stop coming over? response:	I don't know.
