context: Serara, the girl we saved in Susukino, response:	belongs to Marielle's guild, the Crescent Moon Alliance.
context: Any treasure you attain without anyone ever working is no treasure at all.\He's right.\The Tea Party and the Crescent Moon Alliance...\In both, there was someone hard at work behind the scenes...\Chief, what should I do?\The most amazing thing that you can.\Amazing?\You hold back too often. response:	I don't think you need to feel so bound by duty all the time.
context: He's right.\The Tea Party and the Crescent Moon Alliance...\In both, there was someone hard at work behind the scenes...\Chief, what should I do?\The most amazing thing that you can.\Amazing?\You hold back too often.\I don't think you need to feel so bound by duty all the time. response:	I mean, there's no need to hold back!
context: The Tea Party and the Crescent Moon Alliance...\In both, there was someone hard at work behind the scenes...\Chief, what should I do?\The most amazing thing that you can.\Amazing?\You hold back too often.\I don't think you need to feel so bound by duty all the time.\I mean, there's no need to hold back! response:	I've kept you waiting?
context: In both, there was someone hard at work behind the scenes...\Chief, what should I do?\The most amazing thing that you can.\Amazing?\You hold back too often.\I don't think you need to feel so bound by duty all the time.\I mean, there's no need to hold back!\I've kept you waiting? response:	That's right.
context: Chief, what should I do?\The most amazing thing that you can.\Amazing?\You hold back too often.\I don't think you need to feel so bound by duty all the time.\I mean, there's no need to hold back!\I've kept you waiting?\That's right. response:	Both of you were waiting for me?
context: The most amazing thing that you can.\Amazing?\You hold back too often.\I don't think you need to feel so bound by duty all the time.\I mean, there's no need to hold back!\I've kept you waiting?\That's right.\Both of you were waiting for me? response:	That's right.
context: Amazing?\You hold back too often.\I don't think you need to feel so bound by duty all the time.\I mean, there's no need to hold back!\I've kept you waiting?\That's right.\Both of you were waiting for me?\That's right. response:	Instead of going elsewhere, you stayed with me.
context: You hold back too often.\I don't think you need to feel so bound by duty all the time.\I mean, there's no need to hold back!\I've kept you waiting?\That's right.\Both of you were waiting for me?\That's right.\Instead of going elsewhere, you stayed with me. response:	That's right.
context: I don't think you need to feel so bound by duty all the time.\I mean, there's no need to hold back!\I've kept you waiting?\That's right.\Both of you were waiting for me?\That's right.\Instead of going elsewhere, you stayed with me.\That's right. response:	Oh, a message...
context: I mean, there's no need to hold back!\I've kept you waiting?\That's right.\Both of you were waiting for me?\That's right.\Instead of going elsewhere, you stayed with me.\That's right.\Oh, a message... response:	Shiroe
context: I've kept you waiting?\That's right.\Both of you were waiting for me?\That's right.\Instead of going elsewhere, you stayed with me.\That's right.\Oh, a message...\Shiroe response:	Um, hello.
context: That's right.\Both of you were waiting for me?\That's right.\Instead of going elsewhere, you stayed with me.\That's right.\Oh, a message...\Shiroe\Um, hello. response:	Do you remember me?
context: Both of you were waiting for me?\That's right.\Instead of going elsewhere, you stayed with me.\That's right.\Oh, a message...\Shiroe\Um, hello.\Do you remember me? response:	It's Shiroe.
context: That's right.\Instead of going elsewhere, you stayed with me.\That's right.\Oh, a message...\Shiroe\Um, hello.\Do you remember me?\It's Shiroe. response:	This is Minori, right?
context: Instead of going elsewhere, you stayed with me.\That's right.\Oh, a message...\Shiroe\Um, hello.\Do you remember me?\It's Shiroe.\This is Minori, right? response:	Yes.
context: That's right.\Oh, a message...\Shiroe\Um, hello.\Do you remember me?\It's Shiroe.\This is Minori, right?\Yes. response:	Listen carefully, Minori...
context: Oh, a message...\Shiroe\Um, hello.\Do you remember me?\It's Shiroe.\This is Minori, right?\Yes.\Listen carefully, Minori... response:	Cough softly once for yes.
context: Shiroe\Um, hello.\Do you remember me?\It's Shiroe.\This is Minori, right?\Yes.\Listen carefully, Minori...\Cough softly once for yes. response:	Twice for no.
context: Um, hello.\Do you remember me?\It's Shiroe.\This is Minori, right?\Yes.\Listen carefully, Minori...\Cough softly once for yes.\Twice for no. response:	Three times if you want to say something.
context: Do you remember me?\It's Shiroe.\This is Minori, right?\Yes.\Listen carefully, Minori...\Cough softly once for yes.\Twice for no.\Three times if you want to say something. response:	Got it?
context: It's Shiroe.\This is Minori, right?\Yes.\Listen carefully, Minori...\Cough softly once for yes.\Twice for no.\Three times if you want to say something.\Got it? response:	Shiroe knows what's happening to us now...
context: This is Minori, right?\Yes.\Listen carefully, Minori...\Cough softly once for yes.\Twice for no.\Three times if you want to say something.\Got it?\Shiroe knows what's happening to us now... response:	Cough once if you understand.
context: Yes.\Listen carefully, Minori...\Cough softly once for yes.\Twice for no.\Three times if you want to say something.\Got it?\Shiroe knows what's happening to us now...\Cough once if you understand. response:	You're both in Hamelin, right?
context: Listen carefully, Minori...\Cough softly once for yes.\Twice for no.\Three times if you want to say something.\Got it?\Shiroe knows what's happening to us now...\Cough once if you understand.\You're both in Hamelin, right? response:	And you're giving your EXP pots to Hamelin?
context: Cough softly once for yes.\Twice for no.\Three times if you want to say something.\Got it?\Shiroe knows what's happening to us now...\Cough once if you understand.\You're both in Hamelin, right?\And you're giving your EXP pots to Hamelin? response:	Are you okay?
context: Twice for no.\Three times if you want to say something.\Got it?\Shiroe knows what's happening to us now...\Cough once if you understand.\You're both in Hamelin, right?\And you're giving your EXP pots to Hamelin?\Are you okay? response:	Are you okay?
context: Three times if you want to say something.\Got it?\Shiroe knows what's happening to us now...\Cough once if you understand.\You're both in Hamelin, right?\And you're giving your EXP pots to Hamelin?\Are you okay?\Are you okay? response:	Really?
context: Got it?\Shiroe knows what's happening to us now...\Cough once if you understand.\You're both in Hamelin, right?\And you're giving your EXP pots to Hamelin?\Are you okay?\Are you okay?\Really? response:	You want to say something?
context: Shiroe knows what's happening to us now...\Cough once if you understand.\You're both in Hamelin, right?\And you're giving your EXP pots to Hamelin?\Are you okay?\Are you okay?\Really?\You want to say something? response:	I did tell you to cough three times if you had something to say.
context: Cough once if you understand.\You're both in Hamelin, right?\And you're giving your EXP pots to Hamelin?\Are you okay?\Are you okay?\Really?\You want to say something?\I did tell you to cough three times if you had something to say. response:	All right, I'll hurry, so I can hear it.
context: You're both in Hamelin, right?\And you're giving your EXP pots to Hamelin?\Are you okay?\Are you okay?\Really?\You want to say something?\I did tell you to cough three times if you had something to say.\All right, I'll hurry, so I can hear it. response:	For now, I'll believe you're okay.
context: And you're giving your EXP pots to Hamelin?\Are you okay?\Are you okay?\Really?\You want to say something?\I did tell you to cough three times if you had something to say.\All right, I'll hurry, so I can hear it.\For now, I'll believe you're okay. response:	So believe in me, too, all right?
context: Are you okay?\Are you okay?\Really?\You want to say something?\I did tell you to cough three times if you had something to say.\All right, I'll hurry, so I can hear it.\For now, I'll believe you're okay.\So believe in me, too, all right? response:	I'll come to rescue you.
context: Are you okay?\Really?\You want to say something?\I did tell you to cough three times if you had something to say.\All right, I'll hurry, so I can hear it.\For now, I'll believe you're okay.\So believe in me, too, all right?\I'll come to rescue you. response:	Got it?
context: Really?\You want to say something?\I did tell you to cough three times if you had something to say.\All right, I'll hurry, so I can hear it.\For now, I'll believe you're okay.\So believe in me, too, all right?\I'll come to rescue you.\Got it? response:	Hey! Shiro!
context: You want to say something?\I did tell you to cough three times if you had something to say.\All right, I'll hurry, so I can hear it.\For now, I'll believe you're okay.\So believe in me, too, all right?\I'll come to rescue you.\Got it?\Hey! Shiro! response:	My lord, don't worry me.
context: I did tell you to cough three times if you had something to say.\All right, I'll hurry, so I can hear it.\For now, I'll believe you're okay.\So believe in me, too, all right?\I'll come to rescue you.\Got it?\Hey! Shiro!\My lord, don't worry me. response:	If you're leaving, say something.
context: All right, I'll hurry, so I can hear it.\For now, I'll believe you're okay.\So believe in me, too, all right?\I'll come to rescue you.\Got it?\Hey! Shiro!\My lord, don't worry me.\If you're leaving, say something. response:	That's right.
context: For now, I'll believe you're okay.\So believe in me, too, all right?\I'll come to rescue you.\Got it?\Hey! Shiro!\My lord, don't worry me.\If you're leaving, say something.\That's right. response:	What...
context: So believe in me, too, all right?\I'll come to rescue you.\Got it?\Hey! Shiro!\My lord, don't worry me.\If you're leaving, say something.\That's right.\What... response:	That's right.
context: I'll come to rescue you.\Got it?\Hey! Shiro!\My lord, don't worry me.\If you're leaving, say something.\That's right.\What...\That's right. response:	Those two have been waiting
context: Got it?\Hey! Shiro!\My lord, don't worry me.\If you're leaving, say something.\That's right.\What...\That's right.\Those two have been waiting response:	for my words.
context: Hey! Shiro!\My lord, don't worry me.\If you're leaving, say something.\That's right.\What...\That's right.\Those two have been waiting\for my words. response:	This time, I'd like your help with something.
context: My lord, don't worry me.\If you're leaving, say something.\That's right.\What...\That's right.\Those two have been waiting\for my words.\This time, I'd like your help with something. response:	Our help?
context: If you're leaving, say something.\That's right.\What...\That's right.\Those two have been waiting\for my words.\This time, I'd like your help with something.\Our help? response:	Anything you need, Shiroe!
context: That's right.\What...\That's right.\Those two have been waiting\for my words.\This time, I'd like your help with something.\Our help?\Anything you need, Shiroe! response:	That's right.
context: What...\That's right.\Those two have been waiting\for my words.\This time, I'd like your help with something.\Our help?\Anything you need, Shiroe!\That's right. response:	The Crescent Moon Alliance owes you much.
context: That's right.\Those two have been waiting\for my words.\This time, I'd like your help with something.\Our help?\Anything you need, Shiroe!\That's right.\The Crescent Moon Alliance owes you much. response:	Well?
context: Those two have been waiting\for my words.\This time, I'd like your help with something.\Our help?\Anything you need, Shiroe!\That's right.\The Crescent Moon Alliance owes you much.\Well? response:	Some twins I know are being held captive...
context: for my words.\This time, I'd like your help with something.\Our help?\Anything you need, Shiroe!\That's right.\The Crescent Moon Alliance owes you much.\Well?\Some twins I know are being held captive... response:	Or rather, being forced to stay in a nasty guild.
context: This time, I'd like your help with something.\Our help?\Anything you need, Shiroe!\That's right.\The Crescent Moon Alliance owes you much.\Well?\Some twins I know are being held captive...\Or rather, being forced to stay in a nasty guild. response:	I'd like to save them.
context: Our help?\Anything you need, Shiroe!\That's right.\The Crescent Moon Alliance owes you much.\Well?\Some twins I know are being held captive...\Or rather, being forced to stay in a nasty guild.\I'd like to save them. response:	I see...
context: Anything you need, Shiroe!\That's right.\The Crescent Moon Alliance owes you much.\Well?\Some twins I know are being held captive...\Or rather, being forced to stay in a nasty guild.\I'd like to save them.\I see... response:	So you just need them to quit the guild, right?
context: That's right.\The Crescent Moon Alliance owes you much.\Well?\Some twins I know are being held captive...\Or rather, being forced to stay in a nasty guild.\I'd like to save them.\I see...\So you just need them to quit the guild, right? response:	We could draw them off...
context: The Crescent Moon Alliance owes you much.\Well?\Some twins I know are being held captive...\Or rather, being forced to stay in a nasty guild.\I'd like to save them.\I see...\So you just need them to quit the guild, right?\We could draw them off... response:	Um...
context: Well?\Some twins I know are being held captive...\Or rather, being forced to stay in a nasty guild.\I'd like to save them.\I see...\So you just need them to quit the guild, right?\We could draw them off...\Um... response:	This guild you're talking about...
context: Some twins I know are being held captive...\Or rather, being forced to stay in a nasty guild.\I'd like to save them.\I see...\So you just need them to quit the guild, right?\We could draw them off...\Um...\This guild you're talking about... response:	This guild supposedly gathers new players and takes their EXP pots.
context: Or rather, being forced to stay in a nasty guild.\I'd like to save them.\I see...\So you just need them to quit the guild, right?\We could draw them off...\Um...\This guild you're talking about...\This guild supposedly gathers new players and takes their EXP pots. response:	Hamelin...
context: I'd like to save them.\I see...\So you just need them to quit the guild, right?\We could draw them off...\Um...\This guild you're talking about...\This guild supposedly gathers new players and takes their EXP pots.\Hamelin... response:	I think it's time they left.
context: I see...\So you just need them to quit the guild, right?\We could draw them off...\Um...\This guild you're talking about...\This guild supposedly gathers new players and takes their EXP pots.\Hamelin...\I think it's time they left. response:	W-Wait a second...
context: So you just need them to quit the guild, right?\We could draw them off...\Um...\This guild you're talking about...\This guild supposedly gathers new players and takes their EXP pots.\Hamelin...\I think it's time they left.\W-Wait a second... response:	Do you mean you'll destroy them?
context: We could draw them off...\Um...\This guild you're talking about...\This guild supposedly gathers new players and takes their EXP pots.\Hamelin...\I think it's time they left.\W-Wait a second...\Do you mean you'll destroy them? response:	No, I mean exactly what I said.
context: Um...\This guild you're talking about...\This guild supposedly gathers new players and takes their EXP pots.\Hamelin...\I think it's time they left.\W-Wait a second...\Do you mean you'll destroy them?\No, I mean exactly what I said. response:	I'm going to have them leave Akihabara.
context: This guild you're talking about...\This guild supposedly gathers new players and takes their EXP pots.\Hamelin...\I think it's time they left.\W-Wait a second...\Do you mean you'll destroy them?\No, I mean exactly what I said.\I'm going to have them leave Akihabara. response:	Shiro, I understand how you feel...
context: This guild supposedly gathers new players and takes their EXP pots.\Hamelin...\I think it's time they left.\W-Wait a second...\Do you mean you'll destroy them?\No, I mean exactly what I said.\I'm going to have them leave Akihabara.\Shiro, I understand how you feel... response:	But we...
context: Hamelin...\I think it's time they left.\W-Wait a second...\Do you mean you'll destroy them?\No, I mean exactly what I said.\I'm going to have them leave Akihabara.\Shiro, I understand how you feel...\But we... response:	I'm sorry, but please let me finish.
context: I think it's time they left.\W-Wait a second...\Do you mean you'll destroy them?\No, I mean exactly what I said.\I'm going to have them leave Akihabara.\Shiro, I understand how you feel...\But we...\I'm sorry, but please let me finish. response:	This is only the first part.
context: W-Wait a second...\Do you mean you'll destroy them?\No, I mean exactly what I said.\I'm going to have them leave Akihabara.\Shiro, I understand how you feel...\But we...\I'm sorry, but please let me finish.\This is only the first part. response:	Hamelin's just a small portion of this.
context: Do you mean you'll destroy them?\No, I mean exactly what I said.\I'm going to have them leave Akihabara.\Shiro, I understand how you feel...\But we...\I'm sorry, but please let me finish.\This is only the first part.\Hamelin's just a small portion of this. response:	To be honest, I don't really like the way Akihabara feels right now.
context: No, I mean exactly what I said.\I'm going to have them leave Akihabara.\Shiro, I understand how you feel...\But we...\I'm sorry, but please let me finish.\This is only the first part.\Hamelin's just a small portion of this.\To be honest, I don't really like the way Akihabara feels right now. response:	It's petty, pathetic, and cheap.
context: I'm going to have them leave Akihabara.\Shiro, I understand how you feel...\But we...\I'm sorry, but please let me finish.\This is only the first part.\Hamelin's just a small portion of this.\To be honest, I don't really like the way Akihabara feels right now.\It's petty, pathetic, and cheap. response:	That's why
context: Shiro, I understand how you feel...\But we...\I'm sorry, but please let me finish.\This is only the first part.\Hamelin's just a small portion of this.\To be honest, I don't really like the way Akihabara feels right now.\It's petty, pathetic, and cheap.\That's why response:	I'm going to clean the place up.
context: But we...\I'm sorry, but please let me finish.\This is only the first part.\Hamelin's just a small portion of this.\To be honest, I don't really like the way Akihabara feels right now.\It's petty, pathetic, and cheap.\That's why\I'm going to clean the place up. response:	Akihabara is our hometown.
context: I'm sorry, but please let me finish.\This is only the first part.\Hamelin's just a small portion of this.\To be honest, I don't really like the way Akihabara feels right now.\It's petty, pathetic, and cheap.\That's why\I'm going to clean the place up.\Akihabara is our hometown. response:	It's the largest city on the Japanese server.
context: This is only the first part.\Hamelin's just a small portion of this.\To be honest, I don't really like the way Akihabara feels right now.\It's petty, pathetic, and cheap.\That's why\I'm going to clean the place up.\Akihabara is our hometown.\It's the largest city on the Japanese server. response:	And it's sad, unpleasant, frail...
context: Hamelin's just a small portion of this.\To be honest, I don't really like the way Akihabara feels right now.\It's petty, pathetic, and cheap.\That's why\I'm going to clean the place up.\Akihabara is our hometown.\It's the largest city on the Japanese server.\And it's sad, unpleasant, frail... response:	Everyone walks with their heads down...
context: To be honest, I don't really like the way Akihabara feels right now.\It's petty, pathetic, and cheap.\That's why\I'm going to clean the place up.\Akihabara is our hometown.\It's the largest city on the Japanese server.\And it's sad, unpleasant, frail...\Everyone walks with their heads down... response:	It's as if our only purpose in life were to be pathetic.
context: It's petty, pathetic, and cheap.\That's why\I'm going to clean the place up.\Akihabara is our hometown.\It's the largest city on the Japanese server.\And it's sad, unpleasant, frail...\Everyone walks with their heads down...\It's as if our only purpose in life were to be pathetic. response:	We number thirty thousand.
context: That's why\I'm going to clean the place up.\Akihabara is our hometown.\It's the largest city on the Japanese server.\And it's sad, unpleasant, frail...\Everyone walks with their heads down...\It's as if our only purpose in life were to be pathetic.\We number thirty thousand. response:	But that also means there are only thirty thousand of us.
context: I'm going to clean the place up.\Akihabara is our hometown.\It's the largest city on the Japanese server.\And it's sad, unpleasant, frail...\Everyone walks with their heads down...\It's as if our only purpose in life were to be pathetic.\We number thirty thousand.\But that also means there are only thirty thousand of us. response:	I think everyone's been underestimating this world far too much.
context: Akihabara is our hometown.\It's the largest city on the Japanese server.\And it's sad, unpleasant, frail...\Everyone walks with their heads down...\It's as if our only purpose in life were to be pathetic.\We number thirty thousand.\But that also means there are only thirty thousand of us.\I think everyone's been underestimating this world far too much. response:	We aren't nearly desperate enough.
context: It's the largest city on the Japanese server.\And it's sad, unpleasant, frail...\Everyone walks with their heads down...\It's as if our only purpose in life were to be pathetic.\We number thirty thousand.\But that also means there are only thirty thousand of us.\I think everyone's been underestimating this world far too much.\We aren't nearly desperate enough. response:	Please help me.
context: And it's sad, unpleasant, frail...\Everyone walks with their heads down...\It's as if our only purpose in life were to be pathetic.\We number thirty thousand.\But that also means there are only thirty thousand of us.\I think everyone's been underestimating this world far too much.\We aren't nearly desperate enough.\Please help me. response:	Shiro...
context: Everyone walks with their heads down...\It's as if our only purpose in life were to be pathetic.\We number thirty thousand.\But that also means there are only thirty thousand of us.\I think everyone's been underestimating this world far too much.\We aren't nearly desperate enough.\Please help me.\Shiro... response:	Guild master...
context: It's as if our only purpose in life were to be pathetic.\We number thirty thousand.\But that also means there are only thirty thousand of us.\I think everyone's been underestimating this world far too much.\We aren't nearly desperate enough.\Please help me.\Shiro...\Guild master... response:	Could we at least hear him out?
context: We number thirty thousand.\But that also means there are only thirty thousand of us.\I think everyone's been underestimating this world far too much.\We aren't nearly desperate enough.\Please help me.\Shiro...\Guild master...\Could we at least hear him out? response:	For a long time, I've been feeling the same way.
context: But that also means there are only thirty thousand of us.\I think everyone's been underestimating this world far too much.\We aren't nearly desperate enough.\Please help me.\Shiro...\Guild master...\Could we at least hear him out?\For a long time, I've been feeling the same way. response:	Shouryuu...
context: I think everyone's been underestimating this world far too much.\We aren't nearly desperate enough.\Please help me.\Shiro...\Guild master...\Could we at least hear him out?\For a long time, I've been feeling the same way.\Shouryuu... response:	How would you do it?
context: We aren't nearly desperate enough.\Please help me.\Shiro...\Guild master...\Could we at least hear him out?\For a long time, I've been feeling the same way.\Shouryuu...\How would you do it? response:	It depends on your plan.
context: Please help me.\Shiro...\Guild master...\Could we at least hear him out?\For a long time, I've been feeling the same way.\Shouryuu...\How would you do it?\It depends on your plan. response:	Tell us.
context: Shiro...\Guild master...\Could we at least hear him out?\For a long time, I've been feeling the same way.\Shouryuu...\How would you do it?\It depends on your plan.\Tell us. response:	And we'll decide if it's something we can help you with.
context: Guild master...\Could we at least hear him out?\For a long time, I've been feeling the same way.\Shouryuu...\How would you do it?\It depends on your plan.\Tell us.\And we'll decide if it's something we can help you with. response:	I need money.
context: Could we at least hear him out?\For a long time, I've been feeling the same way.\Shouryuu...\How would you do it?\It depends on your plan.\Tell us.\And we'll decide if it's something we can help you with.\I need money. response:	For now,
context: For a long time, I've been feeling the same way.\Shouryuu...\How would you do it?\It depends on your plan.\Tell us.\And we'll decide if it's something we can help you with.\I need money.\For now, response:	five million gold.
context: Shouryuu...\How would you do it?\It depends on your plan.\Tell us.\And we'll decide if it's something we can help you with.\I need money.\For now,\five million gold. response:	F-Five million...
context: How would you do it?\It depends on your plan.\Tell us.\And we'll decide if it's something we can help you with.\I need money.\For now,\five million gold.\F-Five million... response:	M-Money?
context: It depends on your plan.\Tell us.\And we'll decide if it's something we can help you with.\I need money.\For now,\five million gold.\F-Five million...\M-Money? response:	That's insane!
context: Tell us.\And we'll decide if it's something we can help you with.\I need money.\For now,\five million gold.\F-Five million...\M-Money?\That's insane! response:	Our treasury only has sixty thousand.
context: And we'll decide if it's something we can help you with.\I need money.\For now,\five million gold.\F-Five million...\M-Money?\That's insane!\Our treasury only has sixty thousand. response:	Even if we included all our members' belongings...
context: I need money.\For now,\five million gold.\F-Five million...\M-Money?\That's insane!\Our treasury only has sixty thousand.\Even if we included all our members' belongings... response:	What would you use all that money for?
context: For now,\five million gold.\F-Five million...\M-Money?\That's insane!\Our treasury only has sixty thousand.\Even if we included all our members' belongings...\What would you use all that money for? response:	The money isn't that important.
context: five million gold.\F-Five million...\M-Money?\That's insane!\Our treasury only has sixty thousand.\Even if we included all our members' belongings...\What would you use all that money for?\The money isn't that important. response:	It's only the start.
context: F-Five million...\M-Money?\That's insane!\Our treasury only has sixty thousand.\Even if we included all our members' belongings...\What would you use all that money for?\The money isn't that important.\It's only the start. response:	The real problem comes after.
context: M-Money?\That's insane!\Our treasury only has sixty thousand.\Even if we included all our members' belongings...\What would you use all that money for?\The money isn't that important.\It's only the start.\The real problem comes after. response:	I need everyone's hope and goodwill.
context: That's insane!\Our treasury only has sixty thousand.\Even if we included all our members' belongings...\What would you use all that money for?\The money isn't that important.\It's only the start.\The real problem comes after.\I need everyone's hope and goodwill. response:	I believe that more people like this town than hate it.
context: Our treasury only has sixty thousand.\Even if we included all our members' belongings...\What would you use all that money for?\The money isn't that important.\It's only the start.\The real problem comes after.\I need everyone's hope and goodwill.\I believe that more people like this town than hate it. response:	The more people who want to save it, the more likely it is
context: Even if we included all our members' belongings...\What would you use all that money for?\The money isn't that important.\It's only the start.\The real problem comes after.\I need everyone's hope and goodwill.\I believe that more people like this town than hate it.\The more people who want to save it, the more likely it is response:	that we can win.
context: What would you use all that money for?\The money isn't that important.\It's only the start.\The real problem comes after.\I need everyone's hope and goodwill.\I believe that more people like this town than hate it.\The more people who want to save it, the more likely it is\that we can win. response:	So I'll say it again.
context: The money isn't that important.\It's only the start.\The real problem comes after.\I need everyone's hope and goodwill.\I believe that more people like this town than hate it.\The more people who want to save it, the more likely it is\that we can win.\So I'll say it again. response:	Lend your assistance to me.
context: It's only the start.\The real problem comes after.\I need everyone's hope and goodwill.\I believe that more people like this town than hate it.\The more people who want to save it, the more likely it is\that we can win.\So I'll say it again.\Lend your assistance to me. response:	To me... And to my guild.
context: The real problem comes after.\I need everyone's hope and goodwill.\I believe that more people like this town than hate it.\The more people who want to save it, the more likely it is\that we can win.\So I'll say it again.\Lend your assistance to me.\To me... And to my guild. response:	Shiro, did you just say guild?
context: I need everyone's hope and goodwill.\I believe that more people like this town than hate it.\The more people who want to save it, the more likely it is\that we can win.\So I'll say it again.\Lend your assistance to me.\To me... And to my guild.\Shiro, did you just say guild? response:	My guild?
context: I believe that more people like this town than hate it.\The more people who want to save it, the more likely it is\that we can win.\So I'll say it again.\Lend your assistance to me.\To me... And to my guild.\Shiro, did you just say guild?\My guild? response:	Yes.
context: The more people who want to save it, the more likely it is\that we can win.\So I'll say it again.\Lend your assistance to me.\To me... And to my guild.\Shiro, did you just say guild?\My guild?\Yes. response:	Then you made one?
context: that we can win.\So I'll say it again.\Lend your assistance to me.\To me... And to my guild.\Shiro, did you just say guild?\My guild?\Yes.\Then you made one? response:	Yes.
context: So I'll say it again.\Lend your assistance to me.\To me... And to my guild.\Shiro, did you just say guild?\My guild?\Yes.\Then you made one?\Yes. response:	I'm sorry, since you've invited me.
context: Lend your assistance to me.\To me... And to my guild.\Shiro, did you just say guild?\My guild?\Yes.\Then you made one?\Yes.\I'm sorry, since you've invited me. response:	No, it's nothing to apologize for...
context: To me... And to my guild.\Shiro, did you just say guild?\My guild?\Yes.\Then you made one?\Yes.\I'm sorry, since you've invited me.\No, it's nothing to apologize for... response:	I see.
context: Shiro, did you just say guild?\My guild?\Yes.\Then you made one?\Yes.\I'm sorry, since you've invited me.\No, it's nothing to apologize for...\I see. response:	Congratulations, Shiro.
context: My guild?\Yes.\Then you made one?\Yes.\I'm sorry, since you've invited me.\No, it's nothing to apologize for...\I see.\Congratulations, Shiro. response:	So you managed to make one...
context: Yes.\Then you made one?\Yes.\I'm sorry, since you've invited me.\No, it's nothing to apologize for...\I see.\Congratulations, Shiro.\So you managed to make one... response:	You made a home...
context: Then you made one?\Yes.\I'm sorry, since you've invited me.\No, it's nothing to apologize for...\I see.\Congratulations, Shiro.\So you managed to make one...\You made a home... response:	What's it called, Shiroe?
context: Yes.\I'm sorry, since you've invited me.\No, it's nothing to apologize for...\I see.\Congratulations, Shiro.\So you managed to make one...\You made a home...\What's it called, Shiroe? response:	What's the guild's name?
context: I'm sorry, since you've invited me.\No, it's nothing to apologize for...\I see.\Congratulations, Shiro.\So you managed to make one...\You made a home...\What's it called, Shiroe?\What's the guild's name? response:	Ah, right...
context: No, it's nothing to apologize for...\I see.\Congratulations, Shiro.\So you managed to make one...\You made a home...\What's it called, Shiroe?\What's the guild's name?\Ah, right... response:	Its name is...
context: I see.\Congratulations, Shiro.\So you managed to make one...\You made a home...\What's it called, Shiroe?\What's the guild's name?\Ah, right...\Its name is... response:	Log Horizon.
context: Congratulations, Shiro.\So you managed to make one...\You made a home...\What's it called, Shiroe?\What's the guild's name?\Ah, right...\Its name is...\Log Horizon. response:	Fragrant scents are in the air...
context: So you managed to make one...\You made a home...\What's it called, Shiroe?\What's the guild's name?\Ah, right...\Its name is...\Log Horizon.\Fragrant scents are in the air... response:	Juicy meat... Crisp, fresh lettuce.
context: You made a home...\What's it called, Shiroe?\What's the guild's name?\Ah, right...\Its name is...\Log Horizon.\Fragrant scents are in the air...\Juicy meat... Crisp, fresh lettuce. response:	And tomato with a touch of sourness.
context: What's it called, Shiroe?\What's the guild's name?\Ah, right...\Its name is...\Log Horizon.\Fragrant scents are in the air...\Juicy meat... Crisp, fresh lettuce.\And tomato with a touch of sourness. response:	The sweetness of lightly toasted bread and smooth butter.
context: What's the guild's name?\Ah, right...\Its name is...\Log Horizon.\Fragrant scents are in the air...\Juicy meat... Crisp, fresh lettuce.\And tomato with a touch of sourness.\The sweetness of lightly toasted bread and smooth butter. response:	Topped off with spicy mustard.
context: Ah, right...\Its name is...\Log Horizon.\Fragrant scents are in the air...\Juicy meat... Crisp, fresh lettuce.\And tomato with a touch of sourness.\The sweetness of lightly toasted bread and smooth butter.\Topped off with spicy mustard. response:	This is called the Crescent Burger.
context: Its name is...\Log Horizon.\Fragrant scents are in the air...\Juicy meat... Crisp, fresh lettuce.\And tomato with a touch of sourness.\The sweetness of lightly toasted bread and smooth butter.\Topped off with spicy mustard.\This is called the Crescent Burger. response:	On sale today, for just 50 gold.
context: Log Horizon.\Fragrant scents are in the air...\Juicy meat... Crisp, fresh lettuce.\And tomato with a touch of sourness.\The sweetness of lightly toasted bread and smooth butter.\Topped off with spicy mustard.\This is called the Crescent Burger.\On sale today, for just 50 gold. response:	Next time: Crescent Moon.
context: Fragrant scents are in the air...\Juicy meat... Crisp, fresh lettuce.\And tomato with a touch of sourness.\The sweetness of lightly toasted bread and smooth butter.\Topped off with spicy mustard.\This is called the Crescent Burger.\On sale today, for just 50 gold.\Next time: Crescent Moon. response:	Crescent Moon
context: Juicy meat... Crisp, fresh lettuce.\And tomato with a touch of sourness.\The sweetness of lightly toasted bread and smooth butter.\Topped off with spicy mustard.\This is called the Crescent Burger.\On sale today, for just 50 gold.\Next time: Crescent Moon.\Crescent Moon response:	This is our reality.
