context: I've had this image in my head since I was a child. response:	An image of a landscape you could find anywhere.
context: Kaito-kun.\You lonely?\A little, I guess.\Oh, yeah, Senpai.\There's a place I want to stop by before we head back.\A place you want to stop by?\Nee-san asked me to.\Onee-chan-san did? response:	Yeah, you need to get some everyday clothes.
context: You lonely?\A little, I guess.\Oh, yeah, Senpai.\There's a place I want to stop by before we head back.\A place you want to stop by?\Nee-san asked me to.\Onee-chan-san did?\Yeah, you need to get some everyday clothes. response:	She's...
context: A little, I guess.\Oh, yeah, Senpai.\There's a place I want to stop by before we head back.\A place you want to stop by?\Nee-san asked me to.\Onee-chan-san did?\Yeah, you need to get some everyday clothes.\She's... response:	But...
context: Oh, yeah, Senpai.\There's a place I want to stop by before we head back.\A place you want to stop by?\Nee-san asked me to.\Onee-chan-san did?\Yeah, you need to get some everyday clothes.\She's...\But... response:	She's cute.
context: There's a place I want to stop by before we head back.\A place you want to stop by?\Nee-san asked me to.\Onee-chan-san did?\Yeah, you need to get some everyday clothes.\She's...\But...\She's cute. response:	Total due
context: A place you want to stop by?\Nee-san asked me to.\Onee-chan-san did?\Yeah, you need to get some everyday clothes.\She's...\But...\She's cute.\Total due response:	This should be enough.
context: Nee-san asked me to.\Onee-chan-san did?\Yeah, you need to get some everyday clothes.\She's...\But...\She's cute.\Total due\This should be enough. response:	Thank you.
context: Onee-chan-san did?\Yeah, you need to get some everyday clothes.\She's...\But...\She's cute.\Total due\This should be enough.\Thank you. response:	That was a lot of fun.
context: Yeah, you need to get some everyday clothes.\She's...\But...\She's cute.\Total due\This should be enough.\Thank you.\That was a lot of fun. response:	Shopping really is a girl's greatest pleasure.
context: She's...\But...\She's cute.\Total due\This should be enough.\Thank you.\That was a lot of fun.\Shopping really is a girl's greatest pleasure. response:	I have to tell Onee-chan-san thank you, too.
context: But...\She's cute.\Total due\This should be enough.\Thank you.\That was a lot of fun.\Shopping really is a girl's greatest pleasure.\I have to tell Onee-chan-san thank you, too. response:	You can wait until she calls us.
context: She's cute.\Total due\This should be enough.\Thank you.\That was a lot of fun.\Shopping really is a girl's greatest pleasure.\I have to tell Onee-chan-san thank you, too.\You can wait until she calls us. response:	I will.
context: Total due\This should be enough.\Thank you.\That was a lot of fun.\Shopping really is a girl's greatest pleasure.\I have to tell Onee-chan-san thank you, too.\You can wait until she calls us.\I will. response:	Huh? It's open.
context: This should be enough.\Thank you.\That was a lot of fun.\Shopping really is a girl's greatest pleasure.\I have to tell Onee-chan-san thank you, too.\You can wait until she calls us.\I will.\Huh? It's open. response:	Why?
context: Thank you.\That was a lot of fun.\Shopping really is a girl's greatest pleasure.\I have to tell Onee-chan-san thank you, too.\You can wait until she calls us.\I will.\Huh? It's open.\Why? response:	Huh?
context: That was a lot of fun.\Shopping really is a girl's greatest pleasure.\I have to tell Onee-chan-san thank you, too.\You can wait until she calls us.\I will.\Huh? It's open.\Why?\Huh? response:	Oh, you're late.
context: Shopping really is a girl's greatest pleasure.\I have to tell Onee-chan-san thank you, too.\You can wait until she calls us.\I will.\Huh? It's open.\Why?\Huh?\Oh, you're late. response:	I almost couldn't wait any longer.
context: I have to tell Onee-chan-san thank you, too.\You can wait until she calls us.\I will.\Huh? It's open.\Why?\Huh?\Oh, you're late.\I almost couldn't wait any longer. response:	Yo.
context: You can wait until she calls us.\I will.\Huh? It's open.\Why?\Huh?\Oh, you're late.\I almost couldn't wait any longer.\Yo. response:	Wh-Why?
context: I will.\Huh? It's open.\Why?\Huh?\Oh, you're late.\I almost couldn't wait any longer.\Yo.\Wh-Why? response:	We said yesterday we were going...
context: Huh? It's open.\Why?\Huh?\Oh, you're late.\I almost couldn't wait any longer.\Yo.\Wh-Why?\We said yesterday we were going... response:	Sorry, but we all decided on your house as the place to do it.
context: Why?\Huh?\Oh, you're late.\I almost couldn't wait any longer.\Yo.\Wh-Why?\We said yesterday we were going...\Sorry, but we all decided on your house as the place to do it. response:	That's not the problem!
context: Huh?\Oh, you're late.\I almost couldn't wait any longer.\Yo.\Wh-Why?\We said yesterday we were going...\Sorry, but we all decided on your house as the place to do it.\That's not the problem! response:	Oh?
context: Oh, you're late.\I almost couldn't wait any longer.\Yo.\Wh-Why?\We said yesterday we were going...\Sorry, but we all decided on your house as the place to do it.\That's not the problem!\Oh? response:	Close enough to go shopping together already, huh?
context: I almost couldn't wait any longer.\Yo.\Wh-Why?\We said yesterday we were going...\Sorry, but we all decided on your house as the place to do it.\That's not the problem!\Oh?\Close enough to go shopping together already, huh? response:	Th-That's not it...
context: Yo.\Wh-Why?\We said yesterday we were going...\Sorry, but we all decided on your house as the place to do it.\That's not the problem!\Oh?\Close enough to go shopping together already, huh?\Th-That's not it... response:	How did you get in the house, anyway?
context: Wh-Why?\We said yesterday we were going...\Sorry, but we all decided on your house as the place to do it.\That's not the problem!\Oh?\Close enough to go shopping together already, huh?\Th-That's not it...\How did you get in the house, anyway? response:	You should use a better lock.
context: We said yesterday we were going...\Sorry, but we all decided on your house as the place to do it.\That's not the problem!\Oh?\Close enough to go shopping together already, huh?\Th-That's not it...\How did you get in the house, anyway?\You should use a better lock. response:	Don't just unlock it without asking.
context: Sorry, but we all decided on your house as the place to do it.\That's not the problem!\Oh?\Close enough to go shopping together already, huh?\Th-That's not it...\How did you get in the house, anyway?\You should use a better lock.\Don't just unlock it without asking. response:	That's really illegal!
context: That's not the problem!\Oh?\Close enough to go shopping together already, huh?\Th-That's not it...\How did you get in the house, anyway?\You should use a better lock.\Don't just unlock it without asking.\That's really illegal! response:	But I have to do my due diligence.
context: Oh?\Close enough to go shopping together already, huh?\Th-That's not it...\How did you get in the house, anyway?\You should use a better lock.\Don't just unlock it without asking.\That's really illegal!\But I have to do my due diligence. response:	On where my good friend is staying.
context: Close enough to go shopping together already, huh?\Th-That's not it...\How did you get in the house, anyway?\You should use a better lock.\Don't just unlock it without asking.\That's really illegal!\But I have to do my due diligence.\On where my good friend is staying. response:	How did you know that?
context: Th-That's not it...\How did you get in the house, anyway?\You should use a better lock.\Don't just unlock it without asking.\That's really illegal!\But I have to do my due diligence.\On where my good friend is staying.\How did you know that? response:	Tanigawa!
context: How did you get in the house, anyway?\You should use a better lock.\Don't just unlock it without asking.\That's really illegal!\But I have to do my due diligence.\On where my good friend is staying.\How did you know that?\Tanigawa! response:	Now that we're all here,
context: You should use a better lock.\Don't just unlock it without asking.\That's really illegal!\But I have to do my due diligence.\On where my good friend is staying.\How did you know that?\Tanigawa!\Now that we're all here, response:	we can begin our first meeting regarding Director...
context: Don't just unlock it without asking.\That's really illegal!\But I have to do my due diligence.\On where my good friend is staying.\How did you know that?\Tanigawa!\Now that we're all here,\we can begin our first meeting regarding Director... response:	It will begin now.
context: That's really illegal!\But I have to do my due diligence.\On where my good friend is staying.\How did you know that?\Tanigawa!\Now that we're all here,\we can begin our first meeting regarding Director...\It will begin now. response:	Hey, Director.
context: But I have to do my due diligence.\On where my good friend is staying.\How did you know that?\Tanigawa!\Now that we're all here,\we can begin our first meeting regarding Director...\It will begin now.\Hey, Director. response:	Do you have to call me that?
context: On where my good friend is staying.\How did you know that?\Tanigawa!\Now that we're all here,\we can begin our first meeting regarding Director...\It will begin now.\Hey, Director.\Do you have to call me that? response:	Actually, why is she in charge?
context: How did you know that?\Tanigawa!\Now that we're all here,\we can begin our first meeting regarding Director...\It will begin now.\Hey, Director.\Do you have to call me that?\Actually, why is she in charge? response:	Why not? She's an upperclassman, anyway.
context: Tanigawa!\Now that we're all here,\we can begin our first meeting regarding Director...\It will begin now.\Hey, Director.\Do you have to call me that?\Actually, why is she in charge?\Why not? She's an upperclassman, anyway. response:	So what type of movie are we making?
context: Now that we're all here,\we can begin our first meeting regarding Director...\It will begin now.\Hey, Director.\Do you have to call me that?\Actually, why is she in charge?\Why not? She's an upperclassman, anyway.\So what type of movie are we making? response:	We'll be using this script I wrote for the film.
context: we can begin our first meeting regarding Director...\It will begin now.\Hey, Director.\Do you have to call me that?\Actually, why is she in charge?\Why not? She's an upperclassman, anyway.\So what type of movie are we making?\We'll be using this script I wrote for the film. response:	By the way, the idea was developed over twenty years.
context: It will begin now.\Hey, Director.\Do you have to call me that?\Actually, why is she in charge?\Why not? She's an upperclassman, anyway.\So what type of movie are we making?\We'll be using this script I wrote for the film.\By the way, the idea was developed over twenty years. response:	The writing took five.
context: Hey, Director.\Do you have to call me that?\Actually, why is she in charge?\Why not? She's an upperclassman, anyway.\So what type of movie are we making?\We'll be using this script I wrote for the film.\By the way, the idea was developed over twenty years.\The writing took five. response:	Hey!
context: Do you have to call me that?\Actually, why is she in charge?\Why not? She's an upperclassman, anyway.\So what type of movie are we making?\We'll be using this script I wrote for the film.\By the way, the idea was developed over twenty years.\The writing took five.\Hey! response:	What's the story like?
context: Actually, why is she in charge?\Why not? She's an upperclassman, anyway.\So what type of movie are we making?\We'll be using this script I wrote for the film.\By the way, the idea was developed over twenty years.\The writing took five.\Hey!\What's the story like? response:	In the 23rd century, mobile weapons are used across the world.
context: Why not? She's an upperclassman, anyway.\So what type of movie are we making?\We'll be using this script I wrote for the film.\By the way, the idea was developed over twenty years.\The writing took five.\Hey!\What's the story like?\In the 23rd century, mobile weapons are used across the world. response:	It'll be a huge flick that's far beyond what Hollywood could pull off.
context: So what type of movie are we making?\We'll be using this script I wrote for the film.\By the way, the idea was developed over twenty years.\The writing took five.\Hey!\What's the story like?\In the 23rd century, mobile weapons are used across the world.\It'll be a huge flick that's far beyond what Hollywood could pull off. response:	That's not happening.
context: We'll be using this script I wrote for the film.\By the way, the idea was developed over twenty years.\The writing took five.\Hey!\What's the story like?\In the 23rd century, mobile weapons are used across the world.\It'll be a huge flick that's far beyond what Hollywood could pull off.\That's not happening. response:	We'll do it all in CG, so it'll be okay.
context: By the way, the idea was developed over twenty years.\The writing took five.\Hey!\What's the story like?\In the 23rd century, mobile weapons are used across the world.\It'll be a huge flick that's far beyond what Hollywood could pull off.\That's not happening.\We'll do it all in CG, so it'll be okay. response:	We might not need a camera, then.
context: The writing took five.\Hey!\What's the story like?\In the 23rd century, mobile weapons are used across the world.\It'll be a huge flick that's far beyond what Hollywood could pull off.\That's not happening.\We'll do it all in CG, so it'll be okay.\We might not need a camera, then. response:	Shouldn't we do something we know we can do?
context: Hey!\What's the story like?\In the 23rd century, mobile weapons are used across the world.\It'll be a huge flick that's far beyond what Hollywood could pull off.\That's not happening.\We'll do it all in CG, so it'll be okay.\We might not need a camera, then.\Shouldn't we do something we know we can do? response:	How about a story related to school?
context: What's the story like?\In the 23rd century, mobile weapons are used across the world.\It'll be a huge flick that's far beyond what Hollywood could pull off.\That's not happening.\We'll do it all in CG, so it'll be okay.\We might not need a camera, then.\Shouldn't we do something we know we can do?\How about a story related to school? response:	I'm sure the school will let us film there, too.
context: In the 23rd century, mobile weapons are used across the world.\It'll be a huge flick that's far beyond what Hollywood could pull off.\That's not happening.\We'll do it all in CG, so it'll be okay.\We might not need a camera, then.\Shouldn't we do something we know we can do?\How about a story related to school?\I'm sure the school will let us film there, too. response:	Well, that's one way to play it safe.
context: It'll be a huge flick that's far beyond what Hollywood could pull off.\That's not happening.\We'll do it all in CG, so it'll be okay.\We might not need a camera, then.\Shouldn't we do something we know we can do?\How about a story related to school?\I'm sure the school will let us film there, too.\Well, that's one way to play it safe. response:	What would we do for the story?
context: That's not happening.\We'll do it all in CG, so it'll be okay.\We might not need a camera, then.\Shouldn't we do something we know we can do?\How about a story related to school?\I'm sure the school will let us film there, too.\Well, that's one way to play it safe.\What would we do for the story? response:	How about this?
context: We'll do it all in CG, so it'll be okay.\We might not need a camera, then.\Shouldn't we do something we know we can do?\How about a story related to school?\I'm sure the school will let us film there, too.\Well, that's one way to play it safe.\What would we do for the story?\How about this? response:	Zombies appear at the school out of nowhere,
context: We might not need a camera, then.\Shouldn't we do something we know we can do?\How about a story related to school?\I'm sure the school will let us film there, too.\Well, that's one way to play it safe.\What would we do for the story?\How about this?\Zombies appear at the school out of nowhere, response:	and the main characters, the only people left alive
context: Shouldn't we do something we know we can do?\How about a story related to school?\I'm sure the school will let us film there, too.\Well, that's one way to play it safe.\What would we do for the story?\How about this?\Zombies appear at the school out of nowhere,\and the main characters, the only people left alive response:	That's not happening.
context: How about a story related to school?\I'm sure the school will let us film there, too.\Well, that's one way to play it safe.\What would we do for the story?\How about this?\Zombies appear at the school out of nowhere,\and the main characters, the only people left alive\That's not happening. response:	Do you have any requests, Ichika-senpai?
context: I'm sure the school will let us film there, too.\Well, that's one way to play it safe.\What would we do for the story?\How about this?\Zombies appear at the school out of nowhere,\and the main characters, the only people left alive\That's not happening.\Do you have any requests, Ichika-senpai? response:	Kirishima-kun, you're quite the brave one.
context: Well, that's one way to play it safe.\What would we do for the story?\How about this?\Zombies appear at the school out of nowhere,\and the main characters, the only people left alive\That's not happening.\Do you have any requests, Ichika-senpai?\Kirishima-kun, you're quite the brave one. response:	Me?
context: What would we do for the story?\How about this?\Zombies appear at the school out of nowhere,\and the main characters, the only people left alive\That's not happening.\Do you have any requests, Ichika-senpai?\Kirishima-kun, you're quite the brave one.\Me? response:	You're the lead, so you should tell us what you'd like to do.
context: How about this?\Zombies appear at the school out of nowhere,\and the main characters, the only people left alive\That's not happening.\Do you have any requests, Ichika-senpai?\Kirishima-kun, you're quite the brave one.\Me?\You're the lead, so you should tell us what you'd like to do. response:	Huh? Wa-Wai
context: Zombies appear at the school out of nowhere,\and the main characters, the only people left alive\That's not happening.\Do you have any requests, Ichika-senpai?\Kirishima-kun, you're quite the brave one.\Me?\You're the lead, so you should tell us what you'd like to do.\Huh? Wa-Wai response:	Hm... It doesn't have anything to do with the story,
context: and the main characters, the only people left alive\That's not happening.\Do you have any requests, Ichika-senpai?\Kirishima-kun, you're quite the brave one.\Me?\You're the lead, so you should tell us what you'd like to do.\Huh? Wa-Wai\Hm... It doesn't have anything to do with the story, response:	but I'd like to see some pretty scenery.
context: That's not happening.\Do you have any requests, Ichika-senpai?\Kirishima-kun, you're quite the brave one.\Me?\You're the lead, so you should tell us what you'd like to do.\Huh? Wa-Wai\Hm... It doesn't have anything to do with the story,\but I'd like to see some pretty scenery. response:	I just got here, so I'd like to go...
context: Do you have any requests, Ichika-senpai?\Kirishima-kun, you're quite the brave one.\Me?\You're the lead, so you should tell us what you'd like to do.\Huh? Wa-Wai\Hm... It doesn't have anything to do with the story,\but I'd like to see some pretty scenery.\I just got here, so I'd like to go... response:	There's a place I wanted to visit.
context: Kirishima-kun, you're quite the brave one.\Me?\You're the lead, so you should tell us what you'd like to do.\Huh? Wa-Wai\Hm... It doesn't have anything to do with the story,\but I'd like to see some pretty scenery.\I just got here, so I'd like to go...\There's a place I wanted to visit. response:	Oh, s-sorry for being so abstract.
context: Me?\You're the lead, so you should tell us what you'd like to do.\Huh? Wa-Wai\Hm... It doesn't have anything to do with the story,\but I'd like to see some pretty scenery.\I just got here, so I'd like to go...\There's a place I wanted to visit.\Oh, s-sorry for being so abstract. response:	It sounds good to me.
context: You're the lead, so you should tell us what you'd like to do.\Huh? Wa-Wai\Hm... It doesn't have anything to do with the story,\but I'd like to see some pretty scenery.\I just got here, so I'd like to go...\There's a place I wanted to visit.\Oh, s-sorry for being so abstract.\It sounds good to me. response:	Let's go around to different places.
context: Huh? Wa-Wai\Hm... It doesn't have anything to do with the story,\but I'd like to see some pretty scenery.\I just got here, so I'd like to go...\There's a place I wanted to visit.\Oh, s-sorry for being so abstract.\It sounds good to me.\Let's go around to different places. response:	It's almost summer break anyway.
context: Hm... It doesn't have anything to do with the story,\but I'd like to see some pretty scenery.\I just got here, so I'd like to go...\There's a place I wanted to visit.\Oh, s-sorry for being so abstract.\It sounds good to me.\Let's go around to different places.\It's almost summer break anyway. response:	Sounds good.
context: but I'd like to see some pretty scenery.\I just got here, so I'd like to go...\There's a place I wanted to visit.\Oh, s-sorry for being so abstract.\It sounds good to me.\Let's go around to different places.\It's almost summer break anyway.\Sounds good. response:	We can film the movie and have fun at the same time.
context: I just got here, so I'd like to go...\There's a place I wanted to visit.\Oh, s-sorry for being so abstract.\It sounds good to me.\Let's go around to different places.\It's almost summer break anyway.\Sounds good.\We can film the movie and have fun at the same time. response:	I think we'd end up just messing around.
context: There's a place I wanted to visit.\Oh, s-sorry for being so abstract.\It sounds good to me.\Let's go around to different places.\It's almost summer break anyway.\Sounds good.\We can film the movie and have fun at the same time.\I think we'd end up just messing around. response:	That wouldn't be so bad.
context: Oh, s-sorry for being so abstract.\It sounds good to me.\Let's go around to different places.\It's almost summer break anyway.\Sounds good.\We can film the movie and have fun at the same time.\I think we'd end up just messing around.\That wouldn't be so bad. response:	It's not like we have to put together a movie no matter what.
context: It sounds good to me.\Let's go around to different places.\It's almost summer break anyway.\Sounds good.\We can film the movie and have fun at the same time.\I think we'd end up just messing around.\That wouldn't be so bad.\It's not like we have to put together a movie no matter what. response:	Let's go all over the place.
context: Let's go around to different places.\It's almost summer break anyway.\Sounds good.\We can film the movie and have fun at the same time.\I think we'd end up just messing around.\That wouldn't be so bad.\It's not like we have to put together a movie no matter what.\Let's go all over the place. response:	Huh?
context: It's almost summer break anyway.\Sounds good.\We can film the movie and have fun at the same time.\I think we'd end up just messing around.\That wouldn't be so bad.\It's not like we have to put together a movie no matter what.\Let's go all over the place.\Huh? response:	You might find that place you want to go.
context: Sounds good.\We can film the movie and have fun at the same time.\I think we'd end up just messing around.\That wouldn't be so bad.\It's not like we have to put together a movie no matter what.\Let's go all over the place.\Huh?\You might find that place you want to go. response:	Thank you, Kaito-kun.
context: We can film the movie and have fun at the same time.\I think we'd end up just messing around.\That wouldn't be so bad.\It's not like we have to put together a movie no matter what.\Let's go all over the place.\Huh?\You might find that place you want to go.\Thank you, Kaito-kun. response:	We'll think about the content of the movie.
context: I think we'd end up just messing around.\That wouldn't be so bad.\It's not like we have to put together a movie no matter what.\Let's go all over the place.\Huh?\You might find that place you want to go.\Thank you, Kaito-kun.\We'll think about the content of the movie. response:	But let's all toast for the success of the film.
context: That wouldn't be so bad.\It's not like we have to put together a movie no matter what.\Let's go all over the place.\Huh?\You might find that place you want to go.\Thank you, Kaito-kun.\We'll think about the content of the movie.\But let's all toast for the success of the film. response:	R-Right...
context: It's not like we have to put together a movie no matter what.\Let's go all over the place.\Huh?\You might find that place you want to go.\Thank you, Kaito-kun.\We'll think about the content of the movie.\But let's all toast for the success of the film.\R-Right... response:	Well then, cheers.
context: Let's go all over the place.\Huh?\You might find that place you want to go.\Thank you, Kaito-kun.\We'll think about the content of the movie.\But let's all toast for the success of the film.\R-Right...\Well then, cheers. response:	Cheers!
context: Huh?\You might find that place you want to go.\Thank you, Kaito-kun.\We'll think about the content of the movie.\But let's all toast for the success of the film.\R-Right...\Well then, cheers.\Cheers! response:	What is this, anyway?
context: You might find that place you want to go.\Thank you, Kaito-kun.\We'll think about the content of the movie.\But let's all toast for the success of the film.\R-Right...\Well then, cheers.\Cheers!\What is this, anyway? response:	It tastes pretty strange.
context: Thank you, Kaito-kun.\We'll think about the content of the movie.\But let's all toast for the success of the film.\R-Right...\Well then, cheers.\Cheers!\What is this, anyway?\It tastes pretty strange. response:	But it has a bit of sweetness that's kind of good.
context: We'll think about the content of the movie.\But let's all toast for the success of the film.\R-Right...\Well then, cheers.\Cheers!\What is this, anyway?\It tastes pretty strange.\But it has a bit of sweetness that's kind of good. response:	Do you have any more?
context: But let's all toast for the success of the film.\R-Right...\Well then, cheers.\Cheers!\What is this, anyway?\It tastes pretty strange.\But it has a bit of sweetness that's kind of good.\Do you have any more? response:	Yes, I brought a lot with me, so have as much as you'd like.
context: R-Right...\Well then, cheers.\Cheers!\What is this, anyway?\It tastes pretty strange.\But it has a bit of sweetness that's kind of good.\Do you have any more?\Yes, I brought a lot with me, so have as much as you'd like. response:	Revolution! And I'm out this round!
context: Well then, cheers.\Cheers!\What is this, anyway?\It tastes pretty strange.\But it has a bit of sweetness that's kind of good.\Do you have any more?\Yes, I brought a lot with me, so have as much as you'd like.\Revolution! And I'm out this round! response:	Smirk.
context: Cheers!\What is this, anyway?\It tastes pretty strange.\But it has a bit of sweetness that's kind of good.\Do you have any more?\Yes, I brought a lot with me, so have as much as you'd like.\Revolution! And I'm out this round!\Smirk. response:	Hey, Remon-senpai.
context: What is this, anyway?\It tastes pretty strange.\But it has a bit of sweetness that's kind of good.\Do you have any more?\Yes, I brought a lot with me, so have as much as you'd like.\Revolution! And I'm out this round!\Smirk.\Hey, Remon-senpai. response:	What's this drink called?
context: It tastes pretty strange.\But it has a bit of sweetness that's kind of good.\Do you have any more?\Yes, I brought a lot with me, so have as much as you'd like.\Revolution! And I'm out this round!\Smirk.\Hey, Remon-senpai.\What's this drink called? response:	Dynamite Drink.
context: But it has a bit of sweetness that's kind of good.\Do you have any more?\Yes, I brought a lot with me, so have as much as you'd like.\Revolution! And I'm out this round!\Smirk.\Hey, Remon-senpai.\What's this drink called?\Dynamite Drink. response:	I see!
context: Do you have any more?\Yes, I brought a lot with me, so have as much as you'd like.\Revolution! And I'm out this round!\Smirk.\Hey, Remon-senpai.\What's this drink called?\Dynamite Drink.\I see! response:	That works!
context: Yes, I brought a lot with me, so have as much as you'd like.\Revolution! And I'm out this round!\Smirk.\Hey, Remon-senpai.\What's this drink called?\Dynamite Drink.\I see!\That works! response:	Dynamite!
context: Revolution! And I'm out this round!\Smirk.\Hey, Remon-senpai.\What's this drink called?\Dynamite Drink.\I see!\That works!\Dynamite! response:	Senpai, are you okay?
context: Smirk.\Hey, Remon-senpai.\What's this drink called?\Dynamite Drink.\I see!\That works!\Dynamite!\Senpai, are you okay? response:	I kinda feel hot...
context: Hey, Remon-senpai.\What's this drink called?\Dynamite Drink.\I see!\That works!\Dynamite!\Senpai, are you okay?\I kinda feel hot... response:	Hot?
context: What's this drink called?\Dynamite Drink.\I see!\That works!\Dynamite!\Senpai, are you okay?\I kinda feel hot...\Hot? response:	Yeah, my body feels warm.
context: Dynamite Drink.\I see!\That works!\Dynamite!\Senpai, are you okay?\I kinda feel hot...\Hot?\Yeah, my body feels warm. response:	Your body...
context: I see!\That works!\Dynamite!\Senpai, are you okay?\I kinda feel hot...\Hot?\Yeah, my body feels warm.\Your body... response:	Yes.
context: That works!\Dynamite!\Senpai, are you okay?\I kinda feel hot...\Hot?\Yeah, my body feels warm.\Your body...\Yes. response:	I-I see...
context: Dynamite!\Senpai, are you okay?\I kinda feel hot...\Hot?\Yeah, my body feels warm.\Your body...\Yes.\I-I see... response:	Th-That sounds like a problem.
context: Senpai, are you okay?\I kinda feel hot...\Hot?\Yeah, my body feels warm.\Your body...\Yes.\I-I see...\Th-That sounds like a problem. response:	Hey!
context: I kinda feel hot...\Hot?\Yeah, my body feels warm.\Your body...\Yes.\I-I see...\Th-That sounds like a problem.\Hey! response:	What are you guys doing out there by yourselves?!
context: Hot?\Yeah, my body feels warm.\Your body...\Yes.\I-I see...\Th-That sounds like a problem.\Hey!\What are you guys doing out there by yourselves?! response:	Come here!
context: Yeah, my body feels warm.\Your body...\Yes.\I-I see...\Th-That sounds like a problem.\Hey!\What are you guys doing out there by yourselves?!\Come here! response:	What is it, Tanigawa?
context: Your body...\Yes.\I-I see...\Th-That sounds like a problem.\Hey!\What are you guys doing out there by yourselves?!\Come here!\What is it, Tanigawa? response:	You think I'm disturbing you two, don't you?
context: Yes.\I-I see...\Th-That sounds like a problem.\Hey!\What are you guys doing out there by yourselves?!\Come here!\What is it, Tanigawa?\You think I'm disturbing you two, don't you? response:	Don't you?!
context: I-I see...\Th-That sounds like a problem.\Hey!\What are you guys doing out there by yourselves?!\Come here!\What is it, Tanigawa?\You think I'm disturbing you two, don't you?\Don't you?! response:	That's not true.
context: Th-That sounds like a problem.\Hey!\What are you guys doing out there by yourselves?!\Come here!\What is it, Tanigawa?\You think I'm disturbing you two, don't you?\Don't you?!\That's not true. response:	What about you, Senpai?
context: Hey!\What are you guys doing out there by yourselves?!\Come here!\What is it, Tanigawa?\You think I'm disturbing you two, don't you?\Don't you?!\That's not true.\What about you, Senpai? response:	I wasn't thinking that.
context: What are you guys doing out there by yourselves?!\Come here!\What is it, Tanigawa?\You think I'm disturbing you two, don't you?\Don't you?!\That's not true.\What about you, Senpai?\I wasn't thinking that. response:	You're going to be staying here, right?
context: Come here!\What is it, Tanigawa?\You think I'm disturbing you two, don't you?\Don't you?!\That's not true.\What about you, Senpai?\I wasn't thinking that.\You're going to be staying here, right? response:	Yeah...
context: What is it, Tanigawa?\You think I'm disturbing you two, don't you?\Don't you?!\That's not true.\What about you, Senpai?\I wasn't thinking that.\You're going to be staying here, right?\Yeah... response:	You guys are going to live together.
context: You think I'm disturbing you two, don't you?\Don't you?!\That's not true.\What about you, Senpai?\I wasn't thinking that.\You're going to be staying here, right?\Yeah...\You guys are going to live together. response:	Yeah, I guess so.
context: Don't you?!\That's not true.\What about you, Senpai?\I wasn't thinking that.\You're going to be staying here, right?\Yeah...\You guys are going to live together.\Yeah, I guess so. response:	It's almost summer break.
context: That's not true.\What about you, Senpai?\I wasn't thinking that.\You're going to be staying here, right?\Yeah...\You guys are going to live together.\Yeah, I guess so.\It's almost summer break. response:	You two will be alone together all day...
context: What about you, Senpai?\I wasn't thinking that.\You're going to be staying here, right?\Yeah...\You guys are going to live together.\Yeah, I guess so.\It's almost summer break.\You two will be alone together all day... response:	Alone!
context: I wasn't thinking that.\You're going to be staying here, right?\Yeah...\You guys are going to live together.\Yeah, I guess so.\It's almost summer break.\You two will be alone together all day...\Alone! response:	Well...
context: You're going to be staying here, right?\Yeah...\You guys are going to live together.\Yeah, I guess so.\It's almost summer break.\You two will be alone together all day...\Alone!\Well... response:	Ichika-senpai!
context: Yeah...\You guys are going to live together.\Yeah, I guess so.\It's almost summer break.\You two will be alone together all day...\Alone!\Well...\Ichika-senpai! response:	Y-Yes!
context: You guys are going to live together.\Yeah, I guess so.\It's almost summer break.\You two will be alone together all day...\Alone!\Well...\Ichika-senpai!\Y-Yes! response:	I'll get straight to the point!
context: Yeah, I guess so.\It's almost summer break.\You two will be alone together all day...\Alone!\Well...\Ichika-senpai!\Y-Yes!\I'll get straight to the point! response:	How do you feel about Kaito-kun?
context: It's almost summer break.\You two will be alone together all day...\Alone!\Well...\Ichika-senpai!\Y-Yes!\I'll get straight to the point!\How do you feel about Kaito-kun? response:	I-I...
context: You two will be alone together all day...\Alone!\Well...\Ichika-senpai!\Y-Yes!\I'll get straight to the point!\How do you feel about Kaito-kun?\I-I... response:	Well, Kaito-kun helped me when I was in a time of need...
context: Alone!\Well...\Ichika-senpai!\Y-Yes!\I'll get straight to the point!\How do you feel about Kaito-kun?\I-I...\Well, Kaito-kun helped me when I was in a time of need... response:	Not that!
context: Well...\Ichika-senpai!\Y-Yes!\I'll get straight to the point!\How do you feel about Kaito-kun?\I-I...\Well, Kaito-kun helped me when I was in a time of need...\Not that! response:	I'm asking what you think of him!
context: Ichika-senpai!\Y-Yes!\I'll get straight to the point!\How do you feel about Kaito-kun?\I-I...\Well, Kaito-kun helped me when I was in a time of need...\Not that!\I'm asking what you think of him! response:	Wh-Why?
context: Y-Yes!\I'll get straight to the point!\How do you feel about Kaito-kun?\I-I...\Well, Kaito-kun helped me when I was in a time of need...\Not that!\I'm asking what you think of him!\Wh-Why? response:	What is that?
context: I'll get straight to the point!\How do you feel about Kaito-kun?\I-I...\Well, Kaito-kun helped me when I was in a time of need...\Not that!\I'm asking what you think of him!\Wh-Why?\What is that? response:	A biological entity...
context: How do you feel about Kaito-kun?\I-I...\Well, Kaito-kun helped me when I was in a time of need...\Not that!\I'm asking what you think of him!\Wh-Why?\What is that?\A biological entity... response:	I mean...
context: I-I...\Well, Kaito-kun helped me when I was in a time of need...\Not that!\I'm asking what you think of him!\Wh-Why?\What is that?\A biological entity...\I mean... response:	It's my p-pet.
