context: This is the depths' second layer... response:	We did it, Reg!
context: Wow...\I never noticed it before!\It never showed up while you were sleeping... not even once!\What could it be?\Reg, maybe it's the writing system they use where you come from.\Huh?\A-ah, it's disappearing!\What are those...? response:	Um... I think they're called inbyos...
context: I never noticed it before!\It never showed up while you were sleeping... not even once!\What could it be?\Reg, maybe it's the writing system they use where you come from.\Huh?\A-ah, it's disappearing!\What are those...?\Um... I think they're called inbyos... response:	Looks like they're saying, This is our turf.
context: It never showed up while you were sleeping... not even once!\What could it be?\Reg, maybe it's the writing system they use where you come from.\Huh?\A-ah, it's disappearing!\What are those...?\Um... I think they're called inbyos...\Looks like they're saying, This is our turf. response:	Think they're angry?
context: What could it be?\Reg, maybe it's the writing system they use where you come from.\Huh?\A-ah, it's disappearing!\What are those...?\Um... I think they're called inbyos...\Looks like they're saying, This is our turf.\Think they're angry? response:	Here they come!
context: Reg, maybe it's the writing system they use where you come from.\Huh?\A-ah, it's disappearing!\What are those...?\Um... I think they're called inbyos...\Looks like they're saying, This is our turf.\Think they're angry?\Here they come! response:	Riko, you alright?
context: Huh?\A-ah, it's disappearing!\What are those...?\Um... I think they're called inbyos...\Looks like they're saying, This is our turf.\Think they're angry?\Here they come!\Riko, you alright? response:	Y-yeah...
context: A-ah, it's disappearing!\What are those...?\Um... I think they're called inbyos...\Looks like they're saying, This is our turf.\Think they're angry?\Here they come!\Riko, you alright?\Y-yeah... response:	Seems we managed to make it out of their territory...
context: What are those...?\Um... I think they're called inbyos...\Looks like they're saying, This is our turf.\Think they're angry?\Here they come!\Riko, you alright?\Y-yeah...\Seems we managed to make it out of their territory... response:	Hup!
context: Um... I think they're called inbyos...\Looks like they're saying, This is our turf.\Think they're angry?\Here they come!\Riko, you alright?\Y-yeah...\Seems we managed to make it out of their territory...\Hup! response:	You sure you're headed in the right direction?
context: Looks like they're saying, This is our turf.\Think they're angry?\Here they come!\Riko, you alright?\Y-yeah...\Seems we managed to make it out of their territory...\Hup!\You sure you're headed in the right direction? response:	Yep, we should be able to see the route to the Seeker Camper soon.
context: Think they're angry?\Here they come!\Riko, you alright?\Y-yeah...\Seems we managed to make it out of their territory...\Hup!\You sure you're headed in the right direction?\Yep, we should be able to see the route to the Seeker Camper soon. response:	I told you, right? I know where we're going.
context: Here they come!\Riko, you alright?\Y-yeah...\Seems we managed to make it out of their territory...\Hup!\You sure you're headed in the right direction?\Yep, we should be able to see the route to the Seeker Camper soon.\I told you, right? I know where we're going. response:	Master! Master!
context: Riko, you alright?\Y-yeah...\Seems we managed to make it out of their territory...\Hup!\You sure you're headed in the right direction?\Yep, we should be able to see the route to the Seeker Camper soon.\I told you, right? I know where we're going.\Master! Master! response:	Something's approaching.
context: Y-yeah...\Seems we managed to make it out of their territory...\Hup!\You sure you're headed in the right direction?\Yep, we should be able to see the route to the Seeker Camper soon.\I told you, right? I know where we're going.\Master! Master!\Something's approaching. response:	It's two people.
context: Seems we managed to make it out of their territory...\Hup!\You sure you're headed in the right direction?\Yep, we should be able to see the route to the Seeker Camper soon.\I told you, right? I know where we're going.\Master! Master!\Something's approaching.\It's two people. response:	One's a Red Whistle... and the other one...
context: Hup!\You sure you're headed in the right direction?\Yep, we should be able to see the route to the Seeker Camper soon.\I told you, right? I know where we're going.\Master! Master!\Something's approaching.\It's two people.\One's a Red Whistle... and the other one... response:	doesn't even seem to be a cave raider...
context: You sure you're headed in the right direction?\Yep, we should be able to see the route to the Seeker Camper soon.\I told you, right? I know where we're going.\Master! Master!\Something's approaching.\It's two people.\One's a Red Whistle... and the other one...\doesn't even seem to be a cave raider... response:	Shall I ready the gondola?
context: Yep, we should be able to see the route to the Seeker Camper soon.\I told you, right? I know where we're going.\Master! Master!\Something's approaching.\It's two people.\One's a Red Whistle... and the other one...\doesn't even seem to be a cave raider...\Shall I ready the gondola? response:	Master...?
context: I told you, right? I know where we're going.\Master! Master!\Something's approaching.\It's two people.\One's a Red Whistle... and the other one...\doesn't even seem to be a cave raider...\Shall I ready the gondola?\Master...? response:	I get the feeling the wind's calmed down.
context: Master! Master!\Something's approaching.\It's two people.\One's a Red Whistle... and the other one...\doesn't even seem to be a cave raider...\Shall I ready the gondola?\Master...?\I get the feeling the wind's calmed down. response:	That might be because we've left the central part of the Abyss.
context: Something's approaching.\It's two people.\One's a Red Whistle... and the other one...\doesn't even seem to be a cave raider...\Shall I ready the gondola?\Master...?\I get the feeling the wind's calmed down.\That might be because we've left the central part of the Abyss. response:	Come to think of it, the creatures here are more peaceful, too.
context: It's two people.\One's a Red Whistle... and the other one...\doesn't even seem to be a cave raider...\Shall I ready the gondola?\Master...?\I get the feeling the wind's calmed down.\That might be because we've left the central part of the Abyss.\Come to think of it, the creatures here are more peaceful, too. response:	So that's how it works?
context: One's a Red Whistle... and the other one...\doesn't even seem to be a cave raider...\Shall I ready the gondola?\Master...?\I get the feeling the wind's calmed down.\That might be because we've left the central part of the Abyss.\Come to think of it, the creatures here are more peaceful, too.\So that's how it works? response:	The force field, you see, carries light and nutrients,
context: doesn't even seem to be a cave raider...\Shall I ready the gondola?\Master...?\I get the feeling the wind's calmed down.\That might be because we've left the central part of the Abyss.\Come to think of it, the creatures here are more peaceful, too.\So that's how it works?\The force field, you see, carries light and nutrients, response:	so there are more creatures the closer you get to the central shaft.
context: Shall I ready the gondola?\Master...?\I get the feeling the wind's calmed down.\That might be because we've left the central part of the Abyss.\Come to think of it, the creatures here are more peaceful, too.\So that's how it works?\The force field, you see, carries light and nutrients,\so there are more creatures the closer you get to the central shaft. response:	I also hear that when you get farther away from there the Curse becomes a bit more bearable.
context: Master...?\I get the feeling the wind's calmed down.\That might be because we've left the central part of the Abyss.\Come to think of it, the creatures here are more peaceful, too.\So that's how it works?\The force field, you see, carries light and nutrients,\so there are more creatures the closer you get to the central shaft.\I also hear that when you get farther away from there the Curse becomes a bit more bearable. response:	So that's why the Seeker Camp is in such a strangely remote place, huh?
context: I get the feeling the wind's calmed down.\That might be because we've left the central part of the Abyss.\Come to think of it, the creatures here are more peaceful, too.\So that's how it works?\The force field, you see, carries light and nutrients,\so there are more creatures the closer you get to the central shaft.\I also hear that when you get farther away from there the Curse becomes a bit more bearable.\So that's why the Seeker Camp is in such a strangely remote place, huh? response:	Well, you see...
context: That might be because we've left the central part of the Abyss.\Come to think of it, the creatures here are more peaceful, too.\So that's how it works?\The force field, you see, carries light and nutrients,\so there are more creatures the closer you get to the central shaft.\I also hear that when you get farther away from there the Curse becomes a bit more bearable.\So that's why the Seeker Camp is in such a strangely remote place, huh?\Well, you see... response:	The Inverted Forest is too high up to descend from directly,
context: Come to think of it, the creatures here are more peaceful, too.\So that's how it works?\The force field, you see, carries light and nutrients,\so there are more creatures the closer you get to the central shaft.\I also hear that when you get farther away from there the Curse becomes a bit more bearable.\So that's why the Seeker Camp is in such a strangely remote place, huh?\Well, you see...\The Inverted Forest is too high up to descend from directly, response:	so it was originally built as a stopover point for people taking the long way around.
context: So that's how it works?\The force field, you see, carries light and nutrients,\so there are more creatures the closer you get to the central shaft.\I also hear that when you get farther away from there the Curse becomes a bit more bearable.\So that's why the Seeker Camp is in such a strangely remote place, huh?\Well, you see...\The Inverted Forest is too high up to descend from directly,\so it was originally built as a stopover point for people taking the long way around. response:	It just so happened that the location proved convenient.
context: The force field, you see, carries light and nutrients,\so there are more creatures the closer you get to the central shaft.\I also hear that when you get farther away from there the Curse becomes a bit more bearable.\So that's why the Seeker Camp is in such a strangely remote place, huh?\Well, you see...\The Inverted Forest is too high up to descend from directly,\so it was originally built as a stopover point for people taking the long way around.\It just so happened that the location proved convenient. response:	Like, long-range visibility is better where the force field is weak, right?
context: so there are more creatures the closer you get to the central shaft.\I also hear that when you get farther away from there the Curse becomes a bit more bearable.\So that's why the Seeker Camp is in such a strangely remote place, huh?\Well, you see...\The Inverted Forest is too high up to descend from directly,\so it was originally built as a stopover point for people taking the long way around.\It just so happened that the location proved convenient.\Like, long-range visibility is better where the force field is weak, right? response:	So they ended up constructing a large telescope there.
context: I also hear that when you get farther away from there the Curse becomes a bit more bearable.\So that's why the Seeker Camp is in such a strangely remote place, huh?\Well, you see...\The Inverted Forest is too high up to descend from directly,\so it was originally built as a stopover point for people taking the long way around.\It just so happened that the location proved convenient.\Like, long-range visibility is better where the force field is weak, right?\So they ended up constructing a large telescope there. response:	Riko...
context: So that's why the Seeker Camp is in such a strangely remote place, huh?\Well, you see...\The Inverted Forest is too high up to descend from directly,\so it was originally built as a stopover point for people taking the long way around.\It just so happened that the location proved convenient.\Like, long-range visibility is better where the force field is weak, right?\So they ended up constructing a large telescope there.\Riko... response:	Is that...
context: Well, you see...\The Inverted Forest is too high up to descend from directly,\so it was originally built as a stopover point for people taking the long way around.\It just so happened that the location proved convenient.\Like, long-range visibility is better where the force field is weak, right?\So they ended up constructing a large telescope there.\Riko...\Is that... response:	the telescope?
context: The Inverted Forest is too high up to descend from directly,\so it was originally built as a stopover point for people taking the long way around.\It just so happened that the location proved convenient.\Like, long-range visibility is better where the force field is weak, right?\So they ended up constructing a large telescope there.\Riko...\Is that...\the telescope? response:	Wow!
context: so it was originally built as a stopover point for people taking the long way around.\It just so happened that the location proved convenient.\Like, long-range visibility is better where the force field is weak, right?\So they ended up constructing a large telescope there.\Riko...\Is that...\the telescope?\Wow! response:	So this is the Seeker Camp, huh?
context: It just so happened that the location proved convenient.\Like, long-range visibility is better where the force field is weak, right?\So they ended up constructing a large telescope there.\Riko...\Is that...\the telescope?\Wow!\So this is the Seeker Camp, huh? response:	It's really quite high up there...
context: Like, long-range visibility is better where the force field is weak, right?\So they ended up constructing a large telescope there.\Riko...\Is that...\the telescope?\Wow!\So this is the Seeker Camp, huh?\It's really quite high up there... response:	Huh? Speaking of that...
context: So they ended up constructing a large telescope there.\Riko...\Is that...\the telescope?\Wow!\So this is the Seeker Camp, huh?\It's really quite high up there...\Huh? Speaking of that... response:	What's wrong?
context: Riko...\Is that...\the telescope?\Wow!\So this is the Seeker Camp, huh?\It's really quite high up there...\Huh? Speaking of that...\What's wrong? response:	Um, well...
context: Is that...\the telescope?\Wow!\So this is the Seeker Camp, huh?\It's really quite high up there...\Huh? Speaking of that...\What's wrong?\Um, well... response:	I heard the Seeker Camp always has a lookout on duty.
context: the telescope?\Wow!\So this is the Seeker Camp, huh?\It's really quite high up there...\Huh? Speaking of that...\What's wrong?\Um, well...\I heard the Seeker Camp always has a lookout on duty. response:	So when someone starts approaching, I was told they lower the gondola for them...
context: Wow!\So this is the Seeker Camp, huh?\It's really quite high up there...\Huh? Speaking of that...\What's wrong?\Um, well...\I heard the Seeker Camp always has a lookout on duty.\So when someone starts approaching, I was told they lower the gondola for them... response:	A Red Whistle... A robot...
context: So this is the Seeker Camp, huh?\It's really quite high up there...\Huh? Speaking of that...\What's wrong?\Um, well...\I heard the Seeker Camp always has a lookout on duty.\So when someone starts approaching, I was told they lower the gondola for them...\A Red Whistle... A robot... response:	They might be feeling wary...
context: It's really quite high up there...\Huh? Speaking of that...\What's wrong?\Um, well...\I heard the Seeker Camp always has a lookout on duty.\So when someone starts approaching, I was told they lower the gondola for them...\A Red Whistle... A robot...\They might be feeling wary... response:	Reg, are you able to stretch your arm up there?
context: Huh? Speaking of that...\What's wrong?\Um, well...\I heard the Seeker Camp always has a lookout on duty.\So when someone starts approaching, I was told they lower the gondola for them...\A Red Whistle... A robot...\They might be feeling wary...\Reg, are you able to stretch your arm up there? response:	Maybe with both arms, or...
context: What's wrong?\Um, well...\I heard the Seeker Camp always has a lookout on duty.\So when someone starts approaching, I was told they lower the gondola for them...\A Red Whistle... A robot...\They might be feeling wary...\Reg, are you able to stretch your arm up there?\Maybe with both arms, or... response:	Let's give it a try.
context: Um, well...\I heard the Seeker Camp always has a lookout on duty.\So when someone starts approaching, I was told they lower the gondola for them...\A Red Whistle... A robot...\They might be feeling wary...\Reg, are you able to stretch your arm up there?\Maybe with both arms, or...\Let's give it a try. response:	Seems I managed to re-
context: I heard the Seeker Camp always has a lookout on duty.\So when someone starts approaching, I was told they lower the gondola for them...\A Red Whistle... A robot...\They might be feeling wary...\Reg, are you able to stretch your arm up there?\Maybe with both arms, or...\Let's give it a try.\Seems I managed to re- response:	Reg, what's wrong?
context: So when someone starts approaching, I was told they lower the gondola for them...\A Red Whistle... A robot...\They might be feeling wary...\Reg, are you able to stretch your arm up there?\Maybe with both arms, or...\Let's give it a try.\Seems I managed to re-\Reg, what's wrong? response:	Something has...
context: A Red Whistle... A robot...\They might be feeling wary...\Reg, are you able to stretch your arm up there?\Maybe with both arms, or...\Let's give it a try.\Seems I managed to re-\Reg, what's wrong?\Something has... response:	grabbed...
context: They might be feeling wary...\Reg, are you able to stretch your arm up there?\Maybe with both arms, or...\Let's give it a try.\Seems I managed to re-\Reg, what's wrong?\Something has...\grabbed... response:	my arms.
context: Reg, are you able to stretch your arm up there?\Maybe with both arms, or...\Let's give it a try.\Seems I managed to re-\Reg, what's wrong?\Something has...\grabbed...\my arms. response:	Huh?!
context: Maybe with both arms, or...\Let's give it a try.\Seems I managed to re-\Reg, what's wrong?\Something has...\grabbed...\my arms.\Huh?! response:	So she's still alive... that brat.
context: Let's give it a try.\Seems I managed to re-\Reg, what's wrong?\Something has...\grabbed...\my arms.\Huh?!\So she's still alive... that brat. response:	The Unmovable Sovereign, Ozen the Immovable...
context: Seems I managed to re-\Reg, what's wrong?\Something has...\grabbed...\my arms.\Huh?!\So she's still alive... that brat.\The Unmovable Sovereign, Ozen the Immovable... response:	a White Whistle who possesses unrivaled physical strength.
context: Reg, what's wrong?\Something has...\grabbed...\my arms.\Huh?!\So she's still alive... that brat.\The Unmovable Sovereign, Ozen the Immovable...\a White Whistle who possesses unrivaled physical strength. response:	That glint in her eyes...
context: Something has...\grabbed...\my arms.\Huh?!\So she's still alive... that brat.\The Unmovable Sovereign, Ozen the Immovable...\a White Whistle who possesses unrivaled physical strength.\That glint in her eyes... response:	For these children, will it prove to be a glint of hope?
context: grabbed...\my arms.\Huh?!\So she's still alive... that brat.\The Unmovable Sovereign, Ozen the Immovable...\a White Whistle who possesses unrivaled physical strength.\That glint in her eyes...\For these children, will it prove to be a glint of hope? response:	Or is it instead an ominous omen?
context: my arms.\Huh?!\So she's still alive... that brat.\The Unmovable Sovereign, Ozen the Immovable...\a White Whistle who possesses unrivaled physical strength.\That glint in her eyes...\For these children, will it prove to be a glint of hope?\Or is it instead an ominous omen? response:	The glittering waves that float in the sky
context: Huh?!\So she's still alive... that brat.\The Unmovable Sovereign, Ozen the Immovable...\a White Whistle who possesses unrivaled physical strength.\That glint in her eyes...\For these children, will it prove to be a glint of hope?\Or is it instead an ominous omen?\The glittering waves that float in the sky response:	Let's bundle them and build a rainbow bridge
context: So she's still alive... that brat.\The Unmovable Sovereign, Ozen the Immovable...\a White Whistle who possesses unrivaled physical strength.\That glint in her eyes...\For these children, will it prove to be a glint of hope?\Or is it instead an ominous omen?\The glittering waves that float in the sky\Let's bundle them and build a rainbow bridge response:	A dangerous foothold, a slope we slide on
context: The Unmovable Sovereign, Ozen the Immovable...\a White Whistle who possesses unrivaled physical strength.\That glint in her eyes...\For these children, will it prove to be a glint of hope?\Or is it instead an ominous omen?\The glittering waves that float in the sky\Let's bundle them and build a rainbow bridge\A dangerous foothold, a slope we slide on response:	A signpost of the past and future
context: a White Whistle who possesses unrivaled physical strength.\That glint in her eyes...\For these children, will it prove to be a glint of hope?\Or is it instead an ominous omen?\The glittering waves that float in the sky\Let's bundle them and build a rainbow bridge\A dangerous foothold, a slope we slide on\A signpost of the past and future response:	Your left hand, with my right hand
context: That glint in her eyes...\For these children, will it prove to be a glint of hope?\Or is it instead an ominous omen?\The glittering waves that float in the sky\Let's bundle them and build a rainbow bridge\A dangerous foothold, a slope we slide on\A signpost of the past and future\Your left hand, with my right hand response:	Join it, connect us, and let's begin
context: For these children, will it prove to be a glint of hope?\Or is it instead an ominous omen?\The glittering waves that float in the sky\Let's bundle them and build a rainbow bridge\A dangerous foothold, a slope we slide on\A signpost of the past and future\Your left hand, with my right hand\Join it, connect us, and let's begin response:	I am always beside you
context: Or is it instead an ominous omen?\The glittering waves that float in the sky\Let's bundle them and build a rainbow bridge\A dangerous foothold, a slope we slide on\A signpost of the past and future\Your left hand, with my right hand\Join it, connect us, and let's begin\I am always beside you response:	In the past, the present, and also the future
context: The glittering waves that float in the sky\Let's bundle them and build a rainbow bridge\A dangerous foothold, a slope we slide on\A signpost of the past and future\Your left hand, with my right hand\Join it, connect us, and let's begin\I am always beside you\In the past, the present, and also the future response:	So let's walk along without hesitating
context: Let's bundle them and build a rainbow bridge\A dangerous foothold, a slope we slide on\A signpost of the past and future\Your left hand, with my right hand\Join it, connect us, and let's begin\I am always beside you\In the past, the present, and also the future\So let's walk along without hesitating response:	Pile up multicolored dreams
context: A dangerous foothold, a slope we slide on\A signpost of the past and future\Your left hand, with my right hand\Join it, connect us, and let's begin\I am always beside you\In the past, the present, and also the future\So let's walk along without hesitating\Pile up multicolored dreams response:	Where will we head toward tomorrow?
context: A signpost of the past and future\Your left hand, with my right hand\Join it, connect us, and let's begin\I am always beside you\In the past, the present, and also the future\So let's walk along without hesitating\Pile up multicolored dreams\Where will we head toward tomorrow? response:	If I can be together with you, the world will begin to shine
context: Your left hand, with my right hand\Join it, connect us, and let's begin\I am always beside you\In the past, the present, and also the future\So let's walk along without hesitating\Pile up multicolored dreams\Where will we head toward tomorrow?\If I can be together with you, the world will begin to shine response:	Let's search for flowers that bloom at the ends of the earth
