context: Naminanakai Public Hospital response:	Episode Fourteen: The Promised Day
context: What are we going to do about her?\She doesn't have any relatives on the surface...\Chisaki-chan...\You can come live with us.\B-But...\You've already got a full house in your apartment.\And...\I'm from the sea, as well. response:	Grandpa, the lady next door wanted to give this to you...
context: She doesn't have any relatives on the surface...\Chisaki-chan...\You can come live with us.\B-But...\You've already got a full house in your apartment.\And...\I'm from the sea, as well.\Grandpa, the lady next door wanted to give this to you... response:	Grandp
context: Chisaki-chan...\You can come live with us.\B-But...\You've already got a full house in your apartment.\And...\I'm from the sea, as well.\Grandpa, the lady next door wanted to give this to you...\Grandp response:	Grandpa!
context: You can come live with us.\B-But...\You've already got a full house in your apartment.\And...\I'm from the sea, as well.\Grandpa, the lady next door wanted to give this to you...\Grandp\Grandpa! response:	Please, wake up! Grandpa!
context: B-But...\You've already got a full house in your apartment.\And...\I'm from the sea, as well.\Grandpa, the lady next door wanted to give this to you...\Grandp\Grandpa!\Please, wake up! Grandpa! response:	In Surgery
context: You've already got a full house in your apartment.\And...\I'm from the sea, as well.\Grandpa, the lady next door wanted to give this to you...\Grandp\Grandpa!\Please, wake up! Grandpa!\In Surgery response:	If you're a family member, please wait over here.
context: And...\I'm from the sea, as well.\Grandpa, the lady next door wanted to give this to you...\Grandp\Grandpa!\Please, wake up! Grandpa!\In Surgery\If you're a family member, please wait over here. response:	No! Don't take Grandpa away!
context: I'm from the sea, as well.\Grandpa, the lady next door wanted to give this to you...\Grandp\Grandpa!\Please, wake up! Grandpa!\In Surgery\If you're a family member, please wait over here.\No! Don't take Grandpa away! response:	Chisaki, calm down.
context: Grandpa, the lady next door wanted to give this to you...\Grandp\Grandpa!\Please, wake up! Grandpa!\In Surgery\If you're a family member, please wait over here.\No! Don't take Grandpa away!\Chisaki, calm down. response:	Don't leave me...
context: Grandp\Grandpa!\Please, wake up! Grandpa!\In Surgery\If you're a family member, please wait over here.\No! Don't take Grandpa away!\Chisaki, calm down.\Don't leave me... response:	Don't take anyone else away from me!
context: Grandpa!\Please, wake up! Grandpa!\In Surgery\If you're a family member, please wait over here.\No! Don't take Grandpa away!\Chisaki, calm down.\Don't leave me...\Don't take anyone else away from me! response:	Chisaki.
context: Please, wake up! Grandpa!\In Surgery\If you're a family member, please wait over here.\No! Don't take Grandpa away!\Chisaki, calm down.\Don't leave me...\Don't take anyone else away from me!\Chisaki. response:	Chisaki.
context: In Surgery\If you're a family member, please wait over here.\No! Don't take Grandpa away!\Chisaki, calm down.\Don't leave me...\Don't take anyone else away from me!\Chisaki.\Chisaki. response:	Um... Did you pack your underwear?
context: If you're a family member, please wait over here.\No! Don't take Grandpa away!\Chisaki, calm down.\Don't leave me...\Don't take anyone else away from me!\Chisaki.\Chisaki.\Um... Did you pack your underwear? response:	Don't worry about it, I'll do it myself.
context: No! Don't take Grandpa away!\Chisaki, calm down.\Don't leave me...\Don't take anyone else away from me!\Chisaki.\Chisaki.\Um... Did you pack your underwear?\Don't worry about it, I'll do it myself. response:	No way. You're not all there when it comes to stuff like this.
context: Chisaki, calm down.\Don't leave me...\Don't take anyone else away from me!\Chisaki.\Chisaki.\Um... Did you pack your underwear?\Don't worry about it, I'll do it myself.\No way. You're not all there when it comes to stuff like this. response:	So you're gonna be a college student in the big city...
context: Don't leave me...\Don't take anyone else away from me!\Chisaki.\Chisaki.\Um... Did you pack your underwear?\Don't worry about it, I'll do it myself.\No way. You're not all there when it comes to stuff like this.\So you're gonna be a college student in the big city... response:	Oceanography researcher is really amazing.
context: Don't take anyone else away from me!\Chisaki.\Chisaki.\Um... Did you pack your underwear?\Don't worry about it, I'll do it myself.\No way. You're not all there when it comes to stuff like this.\So you're gonna be a college student in the big city...\Oceanography researcher is really amazing. response:	You should be proud!
context: Chisaki.\Chisaki.\Um... Did you pack your underwear?\Don't worry about it, I'll do it myself.\No way. You're not all there when it comes to stuff like this.\So you're gonna be a college student in the big city...\Oceanography researcher is really amazing.\You should be proud! response:	Sorry that you somehow ended up taking care of Gramps.
context: Chisaki.\Um... Did you pack your underwear?\Don't worry about it, I'll do it myself.\No way. You're not all there when it comes to stuff like this.\So you're gonna be a college student in the big city...\Oceanography researcher is really amazing.\You should be proud!\Sorry that you somehow ended up taking care of Gramps. response:	Well, this is my other family.
context: Um... Did you pack your underwear?\Don't worry about it, I'll do it myself.\No way. You're not all there when it comes to stuff like this.\So you're gonna be a college student in the big city...\Oceanography researcher is really amazing.\You should be proud!\Sorry that you somehow ended up taking care of Gramps.\Well, this is my other family. response:	My precious...
context: Don't worry about it, I'll do it myself.\No way. You're not all there when it comes to stuff like this.\So you're gonna be a college student in the big city...\Oceanography researcher is really amazing.\You should be proud!\Sorry that you somehow ended up taking care of Gramps.\Well, this is my other family.\My precious... response:	Family, huh...
context: No way. You're not all there when it comes to stuff like this.\So you're gonna be a college student in the big city...\Oceanography researcher is really amazing.\You should be proud!\Sorry that you somehow ended up taking care of Gramps.\Well, this is my other family.\My precious...\Family, huh... response:	I'm going to do research in college.
context: So you're gonna be a college student in the big city...\Oceanography researcher is really amazing.\You should be proud!\Sorry that you somehow ended up taking care of Gramps.\Well, this is my other family.\My precious...\Family, huh...\I'm going to do research in college. response:	About the sea villages,
context: Oceanography researcher is really amazing.\You should be proud!\Sorry that you somehow ended up taking care of Gramps.\Well, this is my other family.\My precious...\Family, huh...\I'm going to do research in college.\About the sea villages, response:	about what happened that day...
context: You should be proud!\Sorry that you somehow ended up taking care of Gramps.\Well, this is my other family.\My precious...\Family, huh...\I'm going to do research in college.\About the sea villages,\about what happened that day... response:	I'm sure they're tied into what's going to happen on the surface.
context: Sorry that you somehow ended up taking care of Gramps.\Well, this is my other family.\My precious...\Family, huh...\I'm going to do research in college.\About the sea villages,\about what happened that day...\I'm sure they're tied into what's going to happen on the surface. response:	Tsumugu...
context: Well, this is my other family.\My precious...\Family, huh...\I'm going to do research in college.\About the sea villages,\about what happened that day...\I'm sure they're tied into what's going to happen on the surface.\Tsumugu... response:	I'm sure they're fine.
context: My precious...\Family, huh...\I'm going to do research in college.\About the sea villages,\about what happened that day...\I'm sure they're tied into what's going to happen on the surface.\Tsumugu...\I'm sure they're fine. response:	If everything takes a turn for the better,
context: Family, huh...\I'm going to do research in college.\About the sea villages,\about what happened that day...\I'm sure they're tied into what's going to happen on the surface.\Tsumugu...\I'm sure they're fine.\If everything takes a turn for the better, response:	I'm sure we'll see them again.
context: I'm going to do research in college.\About the sea villages,\about what happened that day...\I'm sure they're tied into what's going to happen on the surface.\Tsumugu...\I'm sure they're fine.\If everything takes a turn for the better,\I'm sure we'll see them again. response:	Yeah.
context: About the sea villages,\about what happened that day...\I'm sure they're tied into what's going to happen on the surface.\Tsumugu...\I'm sure they're fine.\If everything takes a turn for the better,\I'm sure we'll see them again.\Yeah. response:	So good!
context: about what happened that day...\I'm sure they're tied into what's going to happen on the surface.\Tsumugu...\I'm sure they're fine.\If everything takes a turn for the better,\I'm sure we'll see them again.\Yeah.\So good! response:	What the hell? Mine is all potatoes!
context: I'm sure they're tied into what's going to happen on the surface.\Tsumugu...\I'm sure they're fine.\If everything takes a turn for the better,\I'm sure we'll see them again.\Yeah.\So good!\What the hell? Mine is all potatoes! response:	Let's hurry up and eat.
context: Tsumugu...\I'm sure they're fine.\If everything takes a turn for the better,\I'm sure we'll see them again.\Yeah.\So good!\What the hell? Mine is all potatoes!\Let's hurry up and eat. response:	The Tomoebi is about to start.
context: I'm sure they're fine.\If everything takes a turn for the better,\I'm sure we'll see them again.\Yeah.\So good!\What the hell? Mine is all potatoes!\Let's hurry up and eat.\The Tomoebi is about to start. response:	Minegishi, what about Shiodome?
context: If everything takes a turn for the better,\I'm sure we'll see them again.\Yeah.\So good!\What the hell? Mine is all potatoes!\Let's hurry up and eat.\The Tomoebi is about to start.\Minegishi, what about Shiodome? response:	Huh? Uh...
context: I'm sure we'll see them again.\Yeah.\So good!\What the hell? Mine is all potatoes!\Let's hurry up and eat.\The Tomoebi is about to start.\Minegishi, what about Shiodome?\Huh? Uh... response:	Come on.
context: Yeah.\So good!\What the hell? Mine is all potatoes!\Let's hurry up and eat.\The Tomoebi is about to start.\Minegishi, what about Shiodome?\Huh? Uh...\Come on. response:	Today's the day you prove you're a man.
context: So good!\What the hell? Mine is all potatoes!\Let's hurry up and eat.\The Tomoebi is about to start.\Minegishi, what about Shiodome?\Huh? Uh...\Come on.\Today's the day you prove you're a man. response:	Seriously, boys are so stupid.
context: What the hell? Mine is all potatoes!\Let's hurry up and eat.\The Tomoebi is about to start.\Minegishi, what about Shiodome?\Huh? Uh...\Come on.\Today's the day you prove you're a man.\Seriously, boys are so stupid. response:	Your tray. I'll go put it away.
context: Let's hurry up and eat.\The Tomoebi is about to start.\Minegishi, what about Shiodome?\Huh? Uh...\Come on.\Today's the day you prove you're a man.\Seriously, boys are so stupid.\Your tray. I'll go put it away. response:	Oh, right...
context: The Tomoebi is about to start.\Minegishi, what about Shiodome?\Huh? Uh...\Come on.\Today's the day you prove you're a man.\Seriously, boys are so stupid.\Your tray. I'll go put it away.\Oh, right... response:	The currents...
context: Minegishi, what about Shiodome?\Huh? Uh...\Come on.\Today's the day you prove you're a man.\Seriously, boys are so stupid.\Your tray. I'll go put it away.\Oh, right...\The currents... response:	It's about to start.
context: Huh? Uh...\Come on.\Today's the day you prove you're a man.\Seriously, boys are so stupid.\Your tray. I'll go put it away.\Oh, right...\The currents...\It's about to start. response:	Yes, it is.
context: Come on.\Today's the day you prove you're a man.\Seriously, boys are so stupid.\Your tray. I'll go put it away.\Oh, right...\The currents...\It's about to start.\Yes, it is. response:	Since that day, the sea has been calm.
context: Today's the day you prove you're a man.\Seriously, boys are so stupid.\Your tray. I'll go put it away.\Oh, right...\The currents...\It's about to start.\Yes, it is.\Since that day, the sea has been calm. response:	Quietly... Quietly...
context: Seriously, boys are so stupid.\Your tray. I'll go put it away.\Oh, right...\The currents...\It's about to start.\Yes, it is.\Since that day, the sea has been calm.\Quietly... Quietly... response:	Not telling me what's happening below.
context: Your tray. I'll go put it away.\Oh, right...\The currents...\It's about to start.\Yes, it is.\Since that day, the sea has been calm.\Quietly... Quietly...\Not telling me what's happening below. response:	Shiodome!
context: Oh, right...\The currents...\It's about to start.\Yes, it is.\Since that day, the sea has been calm.\Quietly... Quietly...\Not telling me what's happening below.\Shiodome! response:	Um...
context: The currents...\It's about to start.\Yes, it is.\Since that day, the sea has been calm.\Quietly... Quietly...\Not telling me what's happening below.\Shiodome!\Um... response:	Are you... asking me out?
context: It's about to start.\Yes, it is.\Since that day, the sea has been calm.\Quietly... Quietly...\Not telling me what's happening below.\Shiodome!\Um...\Are you... asking me out? response:	Huh?! Wh-Wha...
context: Yes, it is.\Since that day, the sea has been calm.\Quietly... Quietly...\Not telling me what's happening below.\Shiodome!\Um...\Are you... asking me out?\Huh?! Wh-Wha... response:	I'm sorry, I was being overly self-conscious.
context: Since that day, the sea has been calm.\Quietly... Quietly...\Not telling me what's happening below.\Shiodome!\Um...\Are you... asking me out?\Huh?! Wh-Wha...\I'm sorry, I was being overly self-conscious. response:	If I'm wrong, don't worry about it.
context: Quietly... Quietly...\Not telling me what's happening below.\Shiodome!\Um...\Are you... asking me out?\Huh?! Wh-Wha...\I'm sorry, I was being overly self-conscious.\If I'm wrong, don't worry about it. response:	You're not wrong!
context: Not telling me what's happening below.\Shiodome!\Um...\Are you... asking me out?\Huh?! Wh-Wha...\I'm sorry, I was being overly self-conscious.\If I'm wrong, don't worry about it.\You're not wrong! response:	Then let me say this first.
context: Shiodome!\Um...\Are you... asking me out?\Huh?! Wh-Wha...\I'm sorry, I was being overly self-conscious.\If I'm wrong, don't worry about it.\You're not wrong!\Then let me say this first. response:	I'm in love with someone else.
context: Um...\Are you... asking me out?\Huh?! Wh-Wha...\I'm sorry, I was being overly self-conscious.\If I'm wrong, don't worry about it.\You're not wrong!\Then let me say this first.\I'm in love with someone else. response:	Huh?
context: Are you... asking me out?\Huh?! Wh-Wha...\I'm sorry, I was being overly self-conscious.\If I'm wrong, don't worry about it.\You're not wrong!\Then let me say this first.\I'm in love with someone else.\Huh? response:	So... I'm sorry.
context: Huh?! Wh-Wha...\I'm sorry, I was being overly self-conscious.\If I'm wrong, don't worry about it.\You're not wrong!\Then let me say this first.\I'm in love with someone else.\Huh?\So... I'm sorry. response:	I can't!
context: I'm sorry, I was being overly self-conscious.\If I'm wrong, don't worry about it.\You're not wrong!\Then let me say this first.\I'm in love with someone else.\Huh?\So... I'm sorry.\I can't! response:	I've always liked you! Ever since grade school!
context: If I'm wrong, don't worry about it.\You're not wrong!\Then let me say this first.\I'm in love with someone else.\Huh?\So... I'm sorry.\I can't!\I've always liked you! Ever since grade school! response:	I can't just give up...
context: You're not wrong!\Then let me say this first.\I'm in love with someone else.\Huh?\So... I'm sorry.\I can't!\I've always liked you! Ever since grade school!\I can't just give up... response:	I can't... just give up.
context: Then let me say this first.\I'm in love with someone else.\Huh?\So... I'm sorry.\I can't!\I've always liked you! Ever since grade school!\I can't just give up...\I can't... just give up. response:	I can't give up!
context: I'm in love with someone else.\Huh?\So... I'm sorry.\I can't!\I've always liked you! Ever since grade school!\I can't just give up...\I can't... just give up.\I can't give up! response:	Who is this guy you like?
context: Huh?\So... I'm sorry.\I can't!\I've always liked you! Ever since grade school!\I can't just give up...\I can't... just give up.\I can't give up!\Who is this guy you like? response:	Tell me!
context: So... I'm sorry.\I can't!\I've always liked you! Ever since grade school!\I can't just give up...\I can't... just give up.\I can't give up!\Who is this guy you like?\Tell me! response:	Well...
context: I can't!\I've always liked you! Ever since grade school!\I can't just give up...\I can't... just give up.\I can't give up!\Who is this guy you like?\Tell me!\Well... response:	Shiodome!
context: I've always liked you! Ever since grade school!\I can't just give up...\I can't... just give up.\I can't give up!\Who is this guy you like?\Tell me!\Well...\Shiodome! response:	This is the Tomoebi...
context: I can't just give up...\I can't... just give up.\I can't give up!\Who is this guy you like?\Tell me!\Well...\Shiodome!\This is the Tomoebi... response:	It's quite magnificent, isn't it?
context: I can't... just give up.\I can't give up!\Who is this guy you like?\Tell me!\Well...\Shiodome!\This is the Tomoebi...\It's quite magnificent, isn't it? response:	Hey, what is that?
context: I can't give up!\Who is this guy you like?\Tell me!\Well...\Shiodome!\This is the Tomoebi...\It's quite magnificent, isn't it?\Hey, what is that? response:	Something big is showing up on screen...
context: Who is this guy you like?\Tell me!\Well...\Shiodome!\This is the Tomoebi...\It's quite magnificent, isn't it?\Hey, what is that?\Something big is showing up on screen... response:	Is it a fish?
context: Tell me!\Well...\Shiodome!\This is the Tomoebi...\It's quite magnificent, isn't it?\Hey, what is that?\Something big is showing up on screen...\Is it a fish? response:	H-Hey, what's wrong?
context: Well...\Shiodome!\This is the Tomoebi...\It's quite magnificent, isn't it?\Hey, what is that?\Something big is showing up on screen...\Is it a fish?\H-Hey, what's wrong? response:	Miuna, you...
context: Shiodome!\This is the Tomoebi...\It's quite magnificent, isn't it?\Hey, what is that?\Something big is showing up on screen...\Is it a fish?\H-Hey, what's wrong?\Miuna, you... response:	Hikari!
context: This is the Tomoebi...\It's quite magnificent, isn't it?\Hey, what is that?\Something big is showing up on screen...\Is it a fish?\H-Hey, what's wrong?\Miuna, you...\Hikari! response:	He hasn't changed at all from back then... not at all.
context: It's quite magnificent, isn't it?\Hey, what is that?\Something big is showing up on screen...\Is it a fish?\H-Hey, what's wrong?\Miuna, you...\Hikari!\He hasn't changed at all from back then... not at all. response:	He's not breathing!
context: Hey, what is that?\Something big is showing up on screen...\Is it a fish?\H-Hey, what's wrong?\Miuna, you...\Hikari!\He hasn't changed at all from back then... not at all.\He's not breathing! response:	Um, I don't think doing mouth-to-mouth on a person from the sea will...
context: Something big is showing up on screen...\Is it a fish?\H-Hey, what's wrong?\Miuna, you...\Hikari!\He hasn't changed at all from back then... not at all.\He's not breathing!\Um, I don't think doing mouth-to-mouth on a person from the sea will... response:	H-Hika
context: Is it a fish?\H-Hey, what's wrong?\Miuna, you...\Hikari!\He hasn't changed at all from back then... not at all.\He's not breathing!\Um, I don't think doing mouth-to-mouth on a person from the sea will...\H-Hika response:	Manaka!
context: H-Hey, what's wrong?\Miuna, you...\Hikari!\He hasn't changed at all from back then... not at all.\He's not breathing!\Um, I don't think doing mouth-to-mouth on a person from the sea will...\H-Hika\Manaka! response:	Who... are you?
context: Miuna, you...\Hikari!\He hasn't changed at all from back then... not at all.\He's not breathing!\Um, I don't think doing mouth-to-mouth on a person from the sea will...\H-Hika\Manaka!\Who... are you? response:	She's Miuna.
context: Hikari!\He hasn't changed at all from back then... not at all.\He's not breathing!\Um, I don't think doing mouth-to-mouth on a person from the sea will...\H-Hika\Manaka!\Who... are you?\She's Miuna. response:	Huh? Miuna?
context: He hasn't changed at all from back then... not at all.\He's not breathing!\Um, I don't think doing mouth-to-mouth on a person from the sea will...\H-Hika\Manaka!\Who... are you?\She's Miuna.\Huh? Miuna? response:	Tsumugu?
context: He's not breathing!\Um, I don't think doing mouth-to-mouth on a person from the sea will...\H-Hika\Manaka!\Who... are you?\She's Miuna.\Huh? Miuna?\Tsumugu? response:	Hikari's eyes...
context: Um, I don't think doing mouth-to-mouth on a person from the sea will...\H-Hika\Manaka!\Who... are you?\She's Miuna.\Huh? Miuna?\Tsumugu?\Hikari's eyes... response:	had stopped moving in sadness.
context: H-Hika\Manaka!\Who... are you?\She's Miuna.\Huh? Miuna?\Tsumugu?\Hikari's eyes...\had stopped moving in sadness. response:	Like the lull of the sea.
context: Manaka!\Who... are you?\She's Miuna.\Huh? Miuna?\Tsumugu?\Hikari's eyes...\had stopped moving in sadness.\Like the lull of the sea. response:	The reason Hikari came back...
context: Who... are you?\She's Miuna.\Huh? Miuna?\Tsumugu?\Hikari's eyes...\had stopped moving in sadness.\Like the lull of the sea.\The reason Hikari came back... response:	You look like you've seen a monster.
context: She's Miuna.\Huh? Miuna?\Tsumugu?\Hikari's eyes...\had stopped moving in sadness.\Like the lull of the sea.\The reason Hikari came back...\You look like you've seen a monster. response:	Talk about a turn of events.
context: Huh? Miuna?\Tsumugu?\Hikari's eyes...\had stopped moving in sadness.\Like the lull of the sea.\The reason Hikari came back...\You look like you've seen a monster.\Talk about a turn of events. response:	I changed from back then?
context: Tsumugu?\Hikari's eyes...\had stopped moving in sadness.\Like the lull of the sea.\The reason Hikari came back...\You look like you've seen a monster.\Talk about a turn of events.\I changed from back then? response:	Hikari... came back.
context: Hikari's eyes...\had stopped moving in sadness.\Like the lull of the sea.\The reason Hikari came back...\You look like you've seen a monster.\Talk about a turn of events.\I changed from back then?\Hikari... came back. response:	Episode Fifteen: The Protector of Smiles
